,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jairo's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A filha perfeita,"Berry, Lucinda*",6555663723,9786555663723,B0CV6LTKKS,unknown,4.05,"123,200","Mar 01, 2019","Mar 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,ebook,view,/book/show/207788474-a-filha-perfeita
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Marina,"Ruiz Zafón, Carlos",8581050166,9788581050164,8581050166,189        pp,4.12,"76,917",1999,"Oct 03, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,Paperback,view,/book/show/12969386-marina
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Meio sol amarelo,"Adichie, Chimamanda Ngozi",,,,504        pp,4.34,"158,873","Sep 12, 2006","Jun 24, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2024",,Paperback,view,/book/show/29386373-meio-sol-amarelo
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Primavera num espelho partido,"Benedetti, Mario",8556520804,9788556520807,,240        pp,4.11,"5,849",1982,Feb 2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Hardcover,view,/book/show/43825789-primavera-num-espelho-partido
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O Segredo de Espinosa,"Rodrigues dos Santos, José",9897776664,9789897776663,9897776664,560        pp,4.23,370,"Oct 19, 2023","Oct 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Paperback,view,/book/show/199179575-o-segredo-de-espinosa
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tempos Ásperos,"Vargas Llosa, Mario",855652107X,9788556521071,855652107X,280        pp,4.03,"6,680","Oct 08, 2019","Sep 25, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Mario Vargas Llosa é um escritor, político, jornalista e professor universitário peruano, sendo um dos romancistas mais importantes da América Latina,Mario Vargas Llosa é um escritor, político, jornalista e professor universitário peruano, sendo um dos romancistas mais importantes da América Latina, ganhador do Prêmio Nobel da Literatura em 2010. ""Tempos Ásperos"" foca no golpe de Estado de 1954 para derrubar Jacobo Árbenz, presidente democraticamente eleito da Guatemala, cujo governo introduzira uma série de reformas, como a apreensão e expropriação de terras não utilizadas, e a distribuição destas para camponeses e índios, até então marginalizados na sociedade. A intervenção da CIA por conta de uma suposta ameaça soviética se deu graças ao lobby e às fake news espalhadas pela United Fruit Company, uma multinacional norte-americana que tinha grande interesse econômico no fracasso dessa distribuição de terras, da revisão de contratos de cessão de propriedade, da retomada da cobrança de impostos, etc., derrubando por fim um governo que tinha real interesse em transformar a Guatemala numa democracia liberal e capitalista!A operação foi planejada para armar e treinar um ""exército de libertação"", com cerca de 400 rebeldes sob o comando do coronel Carlos Castillo Armas, o qual não tinha respaldo na população nem no próprio comando militar para assumir o país. Ao longo das próximas quatro décadas após a derrubada de Árbenz, a sucessão de governantes militares iria criar uma guerra de contra insurgência, que desestabilizou por completo a sociedade guatemalteca, numa escala de violência que causou a morte e o desaparecimento de centenas de milhares de pessoas.Esses não são os únicos personagens (reais) que assumem o protagonismo dessa excelente narrativa de Llosa, que conta ainda com diversos atores dessa surpreendente estória de intriga, traição e interesses escusos, como Johnny Abes Garcia, chefe do Serviço de Inteligência Militar durante a ditadura de Rafael Trujillo na República Dominicana, e Marta Borrero, a ""Miss Guatemala"", amante e confidente de Castillo Armas. Interessante leitura para entender um pouco mais de uma história pouco contada por aqui nos anos mais críticos da Guerra Fria.Avaliação Final: 8,0/10Leitura Concluída: 12º livro de 2024Próxima Leitura: ""A Rainha do Sul"" (Arturo Pérez-Reverte)...more",Notes are private!,0,2,1,"Mar 19, 2024","Mar 27, 2024","Feb 24, 2024",,Paperback,view (with text),/book/show/55878214-tempos-speros
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Casa das Lembranças Perdidas,"Morton, Kate*",8532523560,9788532523563,8532523560,536        pp,3.95,"118,049",2006,2006,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/28506432-a-casa-das-lembran-as-perdidas
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dissolução,"Sansom, C.J.",9724144283,9789724144283,9724144283,415        pp,4.06,"53,915","Apr 28, 2003",Nov 2005,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Paperback,view,/book/show/12611772-dissolu-o
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,As Sete Luas de Maali Almeida,"Karunatilaka, Shehan*",,9789897246920,,432        pp,3.93,"39,492","Aug 04, 2022","Sep 20, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Paperback,view,/book/show/197869149-as-sete-luas-de-maali-almeida
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Inconveniente Loja de Conveniência,"Ho-yeon, Kim",655838244X,9786558382447,655838244X,272        pp,4.16,"2,075","Apr 20, 2021","Nov 20, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2024",,Paperback,view,/book/show/200765562-a-inconveniente-loja-de-conveni-ncia
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O Impulso,"Audrain, Ashley*",8584391983,9788584391981,8584391983,328        pp,4.06,"337,349","Jan 05, 2021","Jan 22, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Paperback,view,/book/show/56568141-o-impulso
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Matéria escura,"Crouch, Blake*",,,655560655X,352        pp,4.13,"499,932","Jul 26, 2016","Aug 03, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Blake Crouch aborda nesse livro uma temática bastante comum em livros e filmes: os caminhos que não percorremos e as mudanças na nossa vida se optásseBlake Crouch aborda nesse livro uma temática bastante comum em livros e filmes: os caminhos que não percorremos e as mudanças na nossa vida se optássemos por escolhas diferentes.A narrativa aqui acompanha Jason Dessen, um professor universitário e dedicado pai de família que, voltando numa noite para casa pelas ruas de Chicago, é sequestrado e transportado para uma realidade alternativa da sua própria vida, na qual ele é um cientista renomado, mas não é casado.Quem me acompanha sabe que não sou um entusiasta de ficção científica, mas além da escrita marcante que permeia toda a obra, gostei das reflexões que ela gera. O autor trabalha muito bem o (já batido) conceito de família versus carreira, e mostra que desistir do sucesso profissional em nome do amor não é, necessariamente, sinônimo de fracasso. Mais que isso, o multiverso de Jason é apresentado de uma forma bem palatável, com descrições e explicações (até exageradamente) detalhadas, minimizando um eventual impacto do inverossímil presente em literaturas desse tipo. A narrativa é, assim, habilmente estruturada, alternando entre momentos de suspense, reflexão e ação frenética que, acredito, agradará os leitores mesmo que não sejam, como eu, fãs desse gênero.""Matéria Escura"" será adaptado para a TV numa série da Apple TV, que estreia logo mais, em maio deste ano!Avaliação Final: 9,0/10Leitura Concluída: 9º livro de 2024Próxima Leitura: ""Outro Lugar"" (Ayelet Gundar-Goshen)...more",Notes are private!,0,1,1,"Mar 04, 2024","Mar 10, 2024","Feb 07, 2024",,Paperback,view (with text),/book/show/194886813-mat-ria-escura
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Quatro soldados,"Machado, Samir Machado de*",8561249471,9788561249472,8561249471,320        pp,4.09,89,Aug 2013,Aug 2013,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"O Tratado de Madri foi assinado em 13 de janeiro de 1750, sendo basicamente um acordo diplomático entre Espanha e Portugal, na época governados pelos O Tratado de Madri foi assinado em 13 de janeiro de 1750, sendo basicamente um acordo diplomático entre Espanha e Portugal, na época governados pelos reis Fernando VI e João V, respectivamente. Esse acordo foi assinado com o propósito de resolver conflitos de fronteiras que eram travados pelas duas nações europeias, e ficou reconhecido por delimitar uma parte importante das atuais fronteiras do Brasil. Por meio desse tratado, consolidou-se enfim o processo de expansão territorial do Brasil e, como um dos seus desdobramentos, deu-se a desocupação das missões jesuíticas nos Sete Povos das Missões.É nesse contexto que Samir Machado de Machado nos apresenta ""Quatro Soldados"", a estória de personagens bastante peculiares nessa época do fim da guerra contra índios e jesuítas: um alferes que, ainda jovem, já recebe seu primeiro comando; um rígido e melancólico capitão da cavalaria; um desertor que vive do contrabando de livros; e um tenente de motivações espúrias.As estórias, contadas por um único narrador, entrelaçam-se, e a escrita num português arcaico artificial, pra mim, foi um recurso do autor que se mostrou contraproducente. Licurgo, o jovem e ingênuo alferes, tem dificuldades em cumprir sua missão num entreposto isolado, tendo em vista seu passado trágico e o abandono familiar; Andaluz é a veia cômica e divertida do livro, um boêmio e mulherengo que vive num bordel em Laguna e centraliza as ações da narrativa. Por sua vez, Antônio Coluna faz o seu contraponto, um personagem equilibrado e austero, que têm a missão de proteger uma família de uma emboscada. Por fim, Silvério é um assassino de aluguel, que mata usando um arco e fecha, apelidado de Índio Branco, e tem seu caminho cruzado com Coluna.Fato é que, diferente do que a resenha do livro tenta vender, saí incólume da leitura desse livro, esperando bem mais do que o autor entregou. Uma narrativa linear, que insere elementos fantásticos sem muito critério, e que perde oportunidades de desenvolver seus personagens por meio de um narrador distante e impessoal.Avaliação Final: 5,0/10Leitura Concluída: 8º livro de 2024Próxima Leitura: ""Matéria Escura"" (Blake Crouch)...more",Notes are private!,1,2,1,"Feb 27, 2024","Mar 04, 2024","Feb 07, 2024",,Paperback,view (with text),/book/show/18667153-quatro-soldados
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Reparação,"McEwan, Ian*",,,,456        pp,3.94,"519,690","Sep 20, 2001","Apr 23, 2002",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Reparação"" (2001) é o 3º livro que leio do Ian McEwan, depois dos marcantes ""Amsterdam"" e ""Enclausurado"". O romance segue aqui um ritmo próprio, à re""Reparação"" (2001) é o 3º livro que leio do Ian McEwan, depois dos marcantes ""Amsterdam"" e ""Enclausurado"". O romance segue aqui um ritmo próprio, à revelia da expectativa do leitor. Na primeira parte, numa narrativa arrastada e excessivamente detalhista, acompanhamos a rotina da família Tallis, com foco na jovem Briony, que aspira ser uma grande escritora e, como tal, tem uma mente muito fantasiosa. Estamos no ano de 1935, e num dia quente de verão, Briony vê sua irmã Cecilia mergulhar na fonte do quintal de casa somente de sutiã e calcinha, estando junto de Robbie, o filho da faxineira da família, que é seu amigo desde infância. Essa imagem marca Briony a ponto de, numa sucessão de equívocos, ela acusar Robbie de importunação sexual.A continuação de ""Reparação"" é marcada por uma mudança de perspectiva e atmosfera, uma vez que a primeira parte se desenrola na Inglaterra pré-Segunda Guerra Mundial, com um tom mais leve, e agora mergulha-se profundamente nos horrores da guerra e suas consequências. A ideia do autor era a representação visceral e muitas vezes perturbadora da brutalidade da guerra...McEwan descreve os horrores do campo de batalha de maneira intensa e realista, destacando o sofrimento humano, o medo e a desolação. Essa abordagem pode ser considerada impactante, mas também desafiadora para alguns leitores, uma vez que a mudança de foco narrativo para a segunda parte, que agora segue Robbie Turner durante a evacuação de Dunkerque, traz grandes impactos à coesão da trama.A parte final do livro volta suas atenções para Briony, agora trabalhando como enfermeira num hospital atendendo feridos da guerra, prolongando o longo martírio do leitor que espera ansiosamente pela tal reparação do mal que ela causou a Robbie, que só vem nas últimas 50 páginas. Seu reencontro com Cecilia é, enfim, o ponto alto de uma trama que deixou muito a desejar.Nota: o livro foi adaptado para o cinema em 2007 sob o título ""Desejo e Reparação"", dirigido por Joe Wright.Avaliação Final: 4,0/10Leitura Concluída: 7º livro de 2024Próxima Leitura: ""Quatro Soldados"" (Samir Machado de Machado)...more",Notes are private!,2,2,1,"Feb 16, 2024","Feb 27, 2024","Feb 04, 2024",,Paperback,view (with text),/book/show/6282939-repara-o
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Estrada,"McCarthy, Cormac",8560281268,,,234        pp,3.99,"904,397","Sep 26, 2006",2006,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Paperback,view,/book/show/27136498-a-estrada
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Falsa testemunha,"Slaughter, Karin*",6555111887,9786555111880,B099CRRS5B,634        pp,4.10,"92,569","Jul 20, 2021","Aug 15, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Kindle Edition,view,/book/show/58800604-falsa-testemunha
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Novembro de 63,"King, Stephen*",8581051901,9788581051901,8581051901,736        pp,4.33,"540,626","Nov 08, 2011","Oct 21, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Paperback,view,/book/show/18590655-novembro-de-63
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Uma Vida Pequena,"Yanagihara, Hanya*",8501071544,9788501071545,8501071544,784        pp,4.34,"618,299","Mar 10, 2015","Apr 11, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Paperback,view,/book/show/30237209-uma-vida-pequena
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Último olhar,"Tavares, Miguel Sousa",6559215946,9786559215942,B0BYBBC6VP,301        pp,3.84,760,unknown,"May 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Kindle Edition,view,/book/show/124947163-ltimo-olhar
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Os Últimos Dias da Noite,"Moore, Graham*",8535929215,9788535929218,8535929215,440        pp,4.15,"40,371","Aug 16, 2016","Jul 13, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Os Últimos Dias da Noite"" traz uma premissa muito interessante: baseado em fatos reais - mas entregando um romance ficcional, o autor Graham Moore, r""Os Últimos Dias da Noite"" traz uma premissa muito interessante: baseado em fatos reais - mas entregando um romance ficcional, o autor Graham Moore, roteirista de ""O Jogo da Imitação"", descreve uma incrível batalha pela patente da lâmpada elétrica, envolvendo Thomas Edison (1847-1931) e George Westinghouse (1846-1914).Estamos em 1888, e o engenheiro Westinghouse busca o auxílio de um jovem advogado, Paul Cravath (1861-1940), para tentar utilizar as lâmpadas desenvolvidas em seu laboratório com o inovador sistema de corrente alternada sem infringir a patente obtida pelo poderoso Thomas Edison anos antes. Para tanto, além da sua astúcia, Cravath vai buscar valorosos conselhos com outros desafetos de Edison, como Alexander Graham Bell (1847-1922) - com quem brigou pela patente do telefone, e Nikola Tesla (1856-1943) - com quem trabalhou por um curto período até ter desavenças profissionais.O livro vai muito bem como romance histórico, construindo e moldando a personalidade desses gênios, usando como base documentos e depoimentos da época. O problema é que o autor, fascinado pela precária documentação que obteve de Cravath ao realizar sua pesquisa, leva a narrativa para o caminho de um thriller jurídico pouco inspirado, deixando os verdadeiros protagonistas dessa estória como meros coadjuvantes. Em particular, eu esperava uma exploração mais profunda dessas mentes brilhantes por trás das inovações tecnológicas que moldaram o mundo moderno, mas ao privilegiar a perspectiva jurídica, o autor perdeu a oportunidade de mergulhar mais profundamente nos aspectos científicos e criativos da ""guerra das correntes"". Essa escolha narrativa certamente decepcionará aqueles que buscavam uma abordagem mais equilibrada entre os bastidores legais e as mentes geniais por trás das descobertas revolucionárias da época. A estória em si não é, portanto, conduzida com brilhantismo, mas ao nos aproximarmos do final, tem o mérito de fazer crescer uma inquietação para lermos as notas do autor e descobrir o que é fato e o que é ficcional na obra.Avaliação Final: 7,0/10Leitura Concluída: 3º livro de 2024Próxima Leitura: ""Atos Humanos"" (Kang Han)...more",Notes are private!,0,2,1,"Jan 21, 2024","Jan 30, 2024","Jan 02, 2024",,Paperback,view (with text),/book/show/35612190-os-ltimos-dias-da-noite
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A História de Shuggie Bain,"Stuart, Douglas*",6555602767,9786555602760,6555602767,528        pp,4.31,"151,860","Feb 11, 2020","Oct 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/59340218-a-hist-ria-de-shuggie-bain
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Herdeiras do Mar,"Bracht, Mary Lynn",8584391746,9788584391745,8584391746,304        pp,4.40,"20,917","Jan 30, 2018","Jun 09, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 17, 2023",,Paperback,view,/book/show/54751117-herdeiras-do-mar
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Um Delicado Equilíbrio,"Mistry, Rohinton",8573021721,,,725        pp,4.37,"149,467",1995,1997,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 14, 2023",,Paperback,view,/book/show/33821649-um-delicado-equil-brio
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,4 3 2 1,"Auster, Paul",8535931090,9788535931099,8535931090,816        pp,3.96,"30,874","Jan 31, 2017","Jun 11, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""4 3 2 1"" inicia-se com a premissa cativante de apresentar quatro destinos diferentes para o protagonista, ao melhor estilo ""efeito borboleta"", propor""4 3 2 1"" inicia-se com a premissa cativante de apresentar quatro destinos diferentes para o protagonista, ao melhor estilo ""efeito borboleta"", proporcionando uma exploração multifacetada de suas escolhas e circunstâncias, tendo como pano de fundo o conturbado cenário político e social dos Estados Unidos na década de 60 (Guerra do Vietnã, segregação racial, etc.). A promessa de acompanhar as quatro versões de Archie Ferguson, cada uma com seu próprio enredo e desenvolvimento, cria uma expectativa de profundidade e variedade que, infelizmente, não se cumpre completamente.Ao longo das mais de 800 páginas, as histórias se desenrolam em quatro linhas temporais paralelas que acompanham as diferentes iterações de Archie, mas as nuances que poderiam diferenciar suas experiências muitas vezes se perdem em uma estrutura narrativa similar e confusa. A sobreposição de eventos, diálogos e situações semelhantes entre as quatro estórias contribui para uma sensação de repetição um tanto quanto exaustiva. Essas escolhas contraproducentes do autor deixam um sentimento de desapontamento, com a falta de variações mais significativas. As mudanças na trajetória do protagonista muitas vezes parecem mais superficiais do que transformadoras, resultando em uma falta de impacto emocional no desenvolvimento do livro, que poderia ter sido explorado de maneira muito mais profunda. Assim, ""4 3 2 1"" mostra-se em sua grande parte uma jornada redundante, mas que, como mérito, consegue apresentar finais interessantes para cada uma das quatro estórias... Avaliação Final: 6,0/10Recomendação: pelo tamanho do livro, fuja!Leitura Concluída: 1º livro de 2024Próxima Leitura: ""A Luz na escuridão"" (Sharon Cameron)...more",Notes are private!,0,2,1,"Dec 20, 2023","Jan 16, 2024","Dec 13, 2023",,Paperback,view (with text),/book/show/40778266-4-3-2-1
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Olive Kitteridge,"Strout, Elizabeth*",8535930531,9788535930535,8535930531,336        pp,3.85,"236,065","Mar 25, 2008",2017,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 12, 2023",,Paperback,view,/book/show/39331391-olive-kitteridge
