,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Greg's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brief Flashings in the Phenomenal World,"Arnold, Katie",1952692695,9781952692697,1952692695,208        pp,5.00,2,unknown,"Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Paperback,view,/book/show/190854977-brief-flashings-in-the-phenomenal-world
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Intermezzo,"Rooney, Sally*",,,,unknown,4.44,9,"Sep 24, 2024","Sep 24, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/209311051-intermezzo
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Craft: Stories I Wrote for the Devil,"Lima, Ananda*",1250292972,9781250292971,1250292972,192        pp,4.55,56,"Jun 18, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/195790835-craft
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bright Side Sanctuary for Animals,"Mandelbaum, Becky*",1982112980,9781982112981,1982112980,336        pp,3.62,920,"Aug 04, 2020","Aug 04, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Hardcover,view,/book/show/52765833-the-bright-side-sanctuary-for-animals
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Body Work: The Radical Power of Personal Narrative,"Febos, Melissa*",1646220854,9781646220854,1646220854,171        pp,4.25,"4,524","Mar 15, 2022","Mar 15, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm working on a sort of personal narrative, and I recently met Melissa Febos in person at an event (she is FIERCE and funny and really cool), so I deI'm working on a sort of personal narrative, and I recently met Melissa Febos in person at an event (she is FIERCE and funny and really cool), so I decided to give this book a try. Not a craft book at all -- a point she makes clear at the beginning -- but this was super helpful in thinking about how to frame elements of personal narrative.And then there's this: On a recent writing retreat, we were asked to discuss some of the challenges we thought with our work. I explained that I think the biggest challenge for my project is: Who cares? Why would anyone else want to read about the inside jokes of one middle-upper class white midwestern family. But then 24 pages into Febos's book, I found this line: “Sometimes, while writing this book, a question intruded: who cares? I snapped out of the reverie of my work, struck by a sudden fear that I was wasting my time, indulging subjects that had already been written about.” That was like a smack in the face. People will care. I also really loved this paragraph about how she thinks about successful memoir: “Successful narration of a memoir depends upon the careful interplay of the past I and the present – whether it be explicit or implicit in the text. Self-knowledge, the insights unavailable in the past and acquired in the time since, are what give memoir its depth. It is not experience that qualifies a person to write a memoir, but insight into experience, and the ability to tell a story of the past that contains both dimensions. That is, past experience has been integrated into the larger narrative of the author’s life.” So...if you're writing memoir, this book -- though there is a lot about writing sex scenes and trauma, which may or may not be completely useful -- is fantastic for equal parts advice and simply ways to think differently about how you write....more",Notes are private!,0,0,1,"Feb 21, 2024","Feb 27, 2024","Feb 21, 2024",,Paperback,view (with text),/book/show/58393129-body-work
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lessons,"McEwan, Ian*",0593535200,9780593535202,0593535200,448        pp,4.01,"23,363","Sep 13, 2022","Sep 13, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is probably McEwan's best novel since Atonement, but given some of the weird stuff he's been up to in his last several books (his robot novel, hiThis is probably McEwan's best novel since Atonement, but given some of the weird stuff he's been up to in his last several books (his robot novel, his fetus Hamlet novel, his sort-of spy novel), that's not a super-high bar.Still, if you were a fan of Atonement, you'll likely enjoy this. It's the story of one man's life and his swim through the currents and ripples of historical events of the second half of the 20th century. McEwan is a reader's writer -- smooth and engaging (even earnest to the point of near-humorlessness). If you're looking for an on-ramp to find your way back to McEwan's work, this is a good book for that. ...more",Notes are private!,0,1,1,"Feb 06, 2024","Feb 18, 2024","Feb 06, 2024",,Hardcover,view (with text),/book/show/60092581-lessons
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Martyr!,"Akbar, Kaveh",0593537610,9780593537619,0593537610,352        pp,4.25,"6,772","Jan 23, 2024","Jan 23, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Does this ever happen to you? You're connecting to a piece of art on a very deep level, and suddenly, totally independent of the content of that art, Does this ever happen to you? You're connecting to a piece of art on a very deep level, and suddenly, totally independent of the content of that art, you start getting choked up. Like you feel so overwhelmed and awed by what this piece of art is doing that it literally causes you to get emotional. It's sounds dramatic, I know. But it does occasionally happen to me. And it happened to me reading this novel. It's that good. There's not much of a plot, per se. It's about one Iranian American dude's search for meaning. You'll have to trust me it's not boring. Not even a little bit boring. I honestly didn't know you could do with words what Kaveh Akbar does with words here. Rather than a regular , here are 10 thoughts on this truly one-of-a-kind work:1. This is a novel not about the meaning of life, but the meaning of death. Our protagonist Cyrus's mother died in the Iran Air Flight 655 disaster (the US mistook the commercial flight for a war jet and shot it down) in July 1988. Cyrus was a baby when this happened, and doesn't remember his mother, but this has always haunted him. When someone dies before their time, what does it mean? Is the way they died meaningful? Why? How? Cyrus, depressed, a recovering addict, and just floating through his 20s in a small college town in Indiana, wonders if he ""martyrs"" himself (commits suicide), would anything about his death be meaningful since his life to this point has been so devoid of meaning? Is that the only thing stopping him from doing it?2. This is a novel both about the inadequacy and also the power of language. This argument throughout the novel is one of its strengths. Regarding the former, one character says: “A photograph can say ‘This is what it was.’ Language can only say ‘This is what it was like.’” But regarding the latter, another character says, “An alphabet, like a life, is a finite set of shapes. With it, one can produce almost anything.” I'd submit that this novel itself is a testament to the power of language. It's one of the more profound and beautifully written pieces of fiction I've read in a long time!3. This is a novel about addiction. Cyrus is a recovering addict, and now that he's mostly kicked his habit in his late 20s, he's lost his way again. At least booze and drugs gave him direction. Now he's trying to fill that void by writing poetry. And failing. 4. This is a novel about ass-backward American values. We don't value art anymore. We should.5. This is a master class in craft from a structure standpoint. What we think are flashbacks or background info slowly start to gain momentum and then absolutely EXPLODES into the real-time action as crucial facets of the story. To say more would be to spoil. Just trust me -- and trust the writer. He knows what he's doing. 6. Cyrus's uncle Arash has a most unusual role in the Iranian military. During the Iraq-Iran war, he dresses in a dark cloak, holds a flash light to his face, and rides around a battlefield where men are slowly dying. The idea is they seem him as an angel, and they're convinced, then, to be ""martyred"" honorably, rather than committing suicide. This detail is not just significant to the story, it's one of those things you read in a novel that just blows your mind. This blew my mind. 7. Some of my favorite -- and the funniest -- parts of this novel are conversations Akbar gives us between, say, Lisa Simpson and Cyrus's mother, or Kareem Abdul-Jabbar and Cyrus's younger brother Beethoven (who doesn't actually exist, neither in the real world or the fictional world of the novel). They're dreams Cyrus has, which would normally be kind of annoying. These are not only immensely entertaining set pieces, they also further the themes of the novel. That's to say, they do have a purpose. 8. The blurbs! I basically picked this up because of the blurbs. Lauren Groff, Tommy Orange, Leslie Jamison, JOHN GREEN, and Mary Karr. You get a collection of writers this varied to all offer immense praise on a book, you read that book. 9. One of the reasons I almost DIDN'T pick this up is because I HATE the cover. It's cartoonish, almost like a Monty Python sketch as cover art. There are definitely funny parts to this novel, but this cover design belies the novel's profundity. I hope they'll go back to the drawing board for the paperback.10. Two more fantastic quotes: “At the intersection of Iranian-ness and Midwestern-ness was pathological politeness, an immobilizing compulsivity to avoid causing distress to anyone."" AND “She was Christian but American Christian, the kind that believed Jesus had just needed a bigger gun.”Summary: READ THIS. I read the last 200 pages of this novel in one day. I'm going to have to go back reread it to let it sink in more. But on first reading, just WOW. It's February 5, and I already have my favorite novel of 2024. ...more",Notes are private!,3,5,1,"Feb 02, 2024","Feb 04, 2024","Jan 24, 2024",,Hardcover,view (with text),/book/show/139400713-martyr
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,David Copperfield,"Dickens, Charles",0553211897,9780553211894,0553211897,938        pp,4.03,"238,602",Nov 1850,"Oct 01, 1981",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 23, 2024",not set,"Jan 23, 2024",,Mass Market Paperback,view,/book/show/1589619.David_Copperfield
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Magic Hours: Essays on Creators and Creation,"Bissell, Tom",1936365766,9781936365760,1936365766,301        pp,3.75,770,"Apr 10, 2012","Apr 03, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Paperback,view,/book/show/13235858-magic-hours
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Creative Types and Other Stories,"Bissell, Tom",152474915X,9781524749156,152474915X,224        pp,3.36,320,"Mar 23, 2021","Dec 14, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Hardcover,view,/book/show/50699225-creative-types-and-other-stories
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Best American Short Stories 2023,"Lee, Min Jin",0063275902,9780063275904,0063275902,336        pp,3.77,359,"Oct 17, 2023","Oct 17, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Highlights for me are:His Finest Moment, by Tom BissellTreasure Island Alley, by Da-LinThe Mine, by Nathan HarrisPeking Duck, by Ling Ma...and the besHighlights for me are:His Finest Moment, by Tom BissellTreasure Island Alley, by Da-LinThe Mine, by Nathan HarrisPeking Duck, by Ling Ma...and the best short story I've read in a long time:Annunciation, by Lauren Groff...more",Notes are private!,0,1,1,"Jan 16, 2024","Feb 15, 2024","Jan 16, 2024",,Paperback,view (with text),/book/show/84097249-the-best-american-short-stories-2023
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Music for Wartime,"Makkai, Rebecca*",0143109235,9780143109235,0143109235,256        pp,4.06,"1,774","Jun 23, 2015","Jun 07, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The next time someone tells me they don't like short stories because there's not enough time to connect with characters or form depth of feeling, I'llThe next time someone tells me they don't like short stories because there's not enough time to connect with characters or form depth of feeling, I'll give them this collection to change their minds about truly what you can do in 20 pages and 10,000 words. Amazing....more",Notes are private!,0,1,1,"Jan 06, 2024","Jan 14, 2024","Jan 06, 2024",,Paperback,view (with text),/book/show/27068016-music-for-wartime
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gentle Writing Advice: How to Be a Writer Without Destroying Yourself,"Wendig, Chuck*",1440301204,9781440301209,1440301204,256        pp,4.31,358,unknown,"Jun 06, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"As I wade carefully back into the ""writer's pool,"" one of my goals for 2024 is to read more craft books. This one is exactly what I needed to start ofAs I wade carefully back into the ""writer's pool,"" one of my goals for 2024 is to read more craft books. This one is exactly what I needed to start off. There's nothing exactly earth-shattering here in terms of advice -- indeed, Wendig's advice boils down to this: Do what works for you. But that's really good writing advice. Wendig tells you what works for him, what might work for you, and importantly, explains how important it is to give yourself a break -- to not stress, not put pressure on yourself, take breaks, be you. It's truly gentle advice. If you've read Wendig's fiction, you know he's pretty cool -- and here, there's a nice mix of funny, profane, and groan-inducing-dad-jokes. I loved it! I'm inspired to keep going. Let's write!...more",Notes are private!,0,1,1,"Jan 02, 2024","Jan 15, 2024","Jan 02, 2024",,Paperback,view (with text),/book/show/119007180-gentle-writing-advice
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Write an Autobiographical Novel,"Chee, Alexander*",1328764524,9781328764522,1328764524,277        pp,4.40,"11,087","Apr 17, 2018","Apr 17, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2024",,Paperback,view,/book/show/35721123-how-to-write-an-autobiographical-novel
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Appleseed,"Bell, Matt*",0063040158,9780063040151,0063040158,496        pp,3.57,"2,984","Jul 13, 2021","Jul 05, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 but rounding up because game respect the game. How the hell did he do this?This is a hugely inventive novel -- three interconnected stories separa3.5 but rounding up because game respect the game. How the hell did he do this?This is a hugely inventive novel -- three interconnected stories separated by thousands of years combine tell the story of a planet in transition/decay, as we dumb humans try to bend nature to our will. Spoiler (that's not a spoiler): This will turn out poorly. The three-stories-for-the-price-of-one structure is certainly ambitious, almost to a fault. I always felt like I was getting kicked out of each story when it had just started getting good. And though Bell is a supremely talented writer and I love his sentences and descriptions, he does have a tendency to overwrite at times. Still, mad props to him for putting this novel together, making it work, and making it mostly very good. That could NOT have been easy....more",Notes are private!,0,0,1,"Dec 29, 2023","Jan 06, 2024","Dec 29, 2023",,Paperback,view (with text),/book/show/57246007-appleseed
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Winner,"Wayne, Teddy*",0008656150,9780008656157,0008656150,368        pp,3.97,29,"May 28, 2024","Jun 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 15, 2023",,Hardcover,view,/book/show/128076343-the-winner
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Familiaris,"Wroblewski, David",,9798212194297,B0CLF6YZYX,980        pp,4.50,2,unknown,"Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 14, 2023",,Hardcover,view,/book/show/200262412-familiaris
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Company,"Sanders, Shannon",1644452510,9781644452516,B0C3YR3W8C,246        pp,3.95,275,"Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 14, 2023",,Hardcover,view,/book/show/65215464-company
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Island City,"Adamczyk, Laura",0374282277,9780374282271,0374282277,288        pp,3.84,70,"Mar 14, 2023","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2023",,Paperback,view,/book/show/60784739-island-city
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Berlin,"Setton, Bea",014313762X,9780143137627,014313762X,256        pp,3.62,"2,689","Jul 07, 2022","May 16, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I picked up this novel because of an upcoming trip to Berlin, which is my no-hesitation answer when anyone asks me ""what's your favorite city in the wI picked up this novel because of an upcoming trip to Berlin, which is my no-hesitation answer when anyone asks me ""what's your favorite city in the world?"" This book was fine. It's about a Millennial who moves to Berlin from London to escape life complications. In Berlin, with no job and not much to keep her occupied except her German language class and her morning runs, she encounters more complications, largely of her own making due to her compulsive lying. At first, I felt bad for Daphne. Then I was annoyed with her. A quick, uncomplicated ""fish out of water"" story in the vein of the trendy ""Millennial autofiction"" that's sweeping bookshelves these days. ...more",Notes are private!,1,1,1,"Dec 07, 2023","Dec 11, 2023","Dec 07, 2023",,Paperback,view (with text),/book/show/62050489-berlin
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rich People Have Gone Away,"Porter, Regina*",059324186X,9780593241868,059324186X,352        pp,3.80,10,"Aug 06, 2024","Aug 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2023",,Hardcover,view,/book/show/201750876-the-rich-people-have-gone-away
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Take What You Need,"Novey, Idra*",0593652851,9780593652855,,256        pp,3.58,"3,405","Mar 14, 2023","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2023",,Hardcover,view,/book/show/61151289-take-what-you-need
