,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Celeste's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
366,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Whalebone Theatre,"Quinn, Joanna*",0593321707,9780593321706,0593321707,558        pp,4.07,"24,628","Jun 09, 2022","Oct 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 21, 2022",,Hardcover,view,/book/show/59900661-the-whalebone-theatre
367,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Mouth,"Malfi, Ronald*",1789098653,9781789098655,1789098653,436        pp,3.98,"4,658","Jul 19, 2022","Jul 19, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Black Mouth is the first of Malfi’s books I’ve read and, while it won’t be the last because I enjoy his ideas, I didn’t immediately connect with the wBlack Mouth is the first of Malfi’s books I’ve read and, while it won’t be the last because I enjoy his ideas, I didn’t immediately connect with the writing itself. That’s not to say that the writing is bad; on the contrary, I found the prose and pacing solid, the characters and plot intriguing. However, I liked the building blocks and concepts of this book more than I liked the execution. I felt like Malfi, to go all English Literature class, did a lot more telling in his writing than he did showing. I’m not a fan of being spoon-fed, and I felt a bit of that throughout the novel. The characters’ motivations and thoughts and struggles and fears were all laid bare in the exposition instead of being revealed through their actions. Even though I liked most of the characters and found their back stories interesting, this writing decision kept them from feeling fully three-dimensional to me. This book gave me strong vibes of other stories. I was very much reminded of Stephen King’s IT, especially as regards a group of childhood friends who went through something horrible and supernaturally traumatic coming back together as adults when the dark source of that trauma resurfaces. I was reminded of Joe Hill’s Nos4a2, especially concerning the harvesting of children and the existence of a dark and impossible place hidden from the world but still, inexplicably, real. I was reminded of Ray Bradbury’s Something Wicked This Way Comes with the creepy carnival setting and dastardly, otherworldly magician. And I was reminded of John Steinbeck’s Of Mice and Men by Dennis, who I liked but who felt like little more than a mystic version of Lennie. These are all stories that I like or at least appreciate, and I didn’t feel that their use as inspiration here was too overt or mishandled in any way, but it made this particular story feel less original to me, unfortunately.I felt that the strongest portions of Black Mouthwere those that were flashbacks to that life-altering summer the four friends shared as children. There was a nostalgia to the writing there that reminded me of what I loved most about IT and Something Wicked This Way Comes and other books like them. That nostalgia paints the past in rosy hues, even in the midst of horrific events, and I love that mingling of ideas that should be such polar opposites but which somehow instead complement each other in inexpressible ways. It also dug deeply into generational trauma and the breaking of those cycles, which added a power to the story being told that I appreciated.Black Mouth worked better for me in idea than in actuality, but I’m still glad that I read it. I’ve now been exposed to a new-to-me author with a backlist to explore, and I fully intend to do so. Because, while I might have not quite connected to his writing, I’m very interested to see if that disconnect was a one-off. I’m hoping very much that this experience mirrors my early encounters with Stephen King, whose work I once disliked but who is now one of my favorite authors of all time. And, even though I didn’t love Black Mouth, I definitely didn’t dislike it to that extent, so I think this is a promising beginning!...more",Notes are private!,0,4,1,"Aug 20, 2022","Sep 06, 2022","Aug 20, 2022",,Paperback,view (with text),/book/show/59120294-black-mouth
368,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stories of Your Life and Others,"Chiang, Ted",1101972122,9781101972120,1101972122,286        pp,4.26,"104,481","Jul 05, 2002","Jun 14, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Sometimes you need to read something that stretches you. Or at least, I do. Because reading is such a vital part of my life, and something to which I Sometimes you need to read something that stretches you. Or at least, I do. Because reading is such a vital part of my life, and something to which I give such a large portion of my time, I try to read things on occasion that push me to think outside of myself. It’s been a long while since I found a book that did that as successfully as Ted Chiang’s Stories of Your Life and Others. I felt as if I were trying to keep my head above water the entire time I was reading it, but in the best way possible. Chiang raises some truly profound moral, theological, and philosophical questions, and he does so in a way that doesn’t lead you to any specific conclusion. Sometimes it’s enough to think and to question, and Chiang’s stories give readers the freedom to do just that. It was completely unclear what type of worldview he was writing from, which I actually loved. More than one of these stories had some heavy religious connotations, but felt neither like proselytization or a subtle ridicule of believers. That is a very difficult balance to strike in one story, let along an entire collection. I am in awe of Chiang’s mind, and was equally awed by every single story housed in this book.The opening story, “Tower of Babylon,” immediately gripped me. The idea of God allowing the completion of the Tower isn’t a new concept, but it’s never been handled in the way Chiang presented it. Here, the build is due to a reverence for Yahweh, not a belief in mankind’s ability to become His equal if they reach heaven. This story follows miners from other kingdoms who have come to break through the vault of Heaven now that the Tower has been completed. The questions asked along the way, and what our protagonist finds on the other side, were fascinating and truly profound.“Understand” reminded me of Flowers for Algernon in the first few pages before jumping to Blake Crouch’s Upgrade, but much earlier and, in my opinion, far more successful despite (or maybe because of) its brevity. The ways in which we see our perspective character’s personality subtly but continually shift as his intelligence skyrockets were extremely interesting. The patterns he observed as his mind broadened were also very intriguing. And the conclusion was wild. The paranoia that almost always comes with such extreme intelligence is always fascinating to witness.“Division by Zero” is probably the story that went the farthest over my head, due in large part to the fact that it centered around math. I did appreciate the discourse around how a faith disproven can break a person. It demonstrated how the hyper-fixation of a brilliant mind can wreck other aspects of their lives. But if I had to choose a least favorite story in the collection, it would be this one.“Story of Your Life” is the entire reason I was interested in this collection in the first place. Arrival is one of my favorite sci-fi movies, so I was very excited to read the source material. The concepts of language and a less linear approach to time as viewed by the heptopods completely gripped my imagination. The idea of seeing all of life at once instead of experiencing it as it unfolds is a baffling but profound one, that gave me a lot of food for thought. I also love how original and utterly unique the heptopods are as an alien race, in every single aspect of themselves. Their form, their written language, and their cognition stretch the mind of our perspective character to its limits. The inclusion of said character’s life with her daughter was lovely and poignant.What’s in a name, and what power can it contain? I’ve always found the idea of golems from Jewish tradition captivating, so “Seventy-Two Letters” really captured my mind, as well. This intersection of religion and technology speaks to me. Seeing belief used for practicality, how science and theology can not only co-exist but help bolster one another, was lovely and inspiring. But this story also shows how the “secularization of the sacred,” so to speak, can lead to man playing God. “The Evolution of Human Science” is one of the shortest stories in the collection, and expresses a world in which the creation has surpassed the creators and rendered them somewhat obsolete. Here we have a world where meta-humans can function at a much higher level of cognition than humans, and their thought processes are baffling to the general population. Humans who were once among the most intelligent beings on the planet find trying to translate the works of meta-humans into something intelligible for the general population a full-time job, leaving their previous scientific jobs to those who are now more capable, all because of human intervention. “Hell is the Absence of God” has to be one of the most profound stories I’ve ever read. In this world, not only is it completely unquestioned that God is real, angelic visitations are fairly common. While miracles accompany these visits, there is also tremendous fallout, leaving others dead or broken in the wake of the supernatural. Souls can also be visibly witnessed either ascending to Heaven or descending to its counterpart. The faith struggle of our main character was painful to witness, and the ending was bleak, but rarely in my life has any work of fiction made me think as deeply. This is undoubtedly a story that will stay with me for the rest of my life.The format of “Liking What You See: A Documentary,” was a lot of fun. It truly was like reading a script for a documentary. I loved the idea behind this. There is an invention that allows you to see people outside of their level of physical attractiveness, and a debate is raging as one university campus tries to decide whether it should be a requirement for all of their students. Seeing so many sides of this debate was illuminating, and made me waver on whether or not I would choose calliagnosia for myself if it existed. I wouldn’t, as I would hate to miss appreciating any form of beauty, but it was interesting to consider.Stories of Your Life and Others is one of the strongest short story collections I’ve ever had the pleasure of reading. The stories within it have won a multitude of awards, and been nominated for even more; every single win and nomination was much deserved. Reading this was not exactly fun, but it was rewarding. It was difficult, and I often felt like I wasn’t quite smart enough to grasp the concepts, but the writing itself kept things down-to-earth enough for me to follow. However, even as I struggled, I found each and every story immensely enriching to read. I feel like this collection made me grow, and that seems like a wonderful compliment to pay a book. I can’t recommend it highly enough, though I would like to caution against consuming it too quickly. Let these stories breathe, and give your mind this to ponder. Chiang’s incredible talent is worth giving his work more of your time.You can find  this  and more at Novel Notions. ...more",Notes are private!,0,12,1,"Aug 20, 2022","Aug 27, 2022","Aug 20, 2022",,Paperback,view (with text),/book/show/28503870-stories-of-your-life-and-others
369,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Undertaking of Hart and Mercy,"Bannen, Megan*",0316394211,9780316394215,0316394211,448        pp,4.10,"27,089","Aug 23, 2022","Aug 23, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I received an advance copy of this novel from the publisher, Orbit Books, in exchange for an honest .I was drawn to The Undertaking of Hart and I received an advance copy of this novel from the publisher, Orbit Books, in exchange for an honest .I was drawn to The Undertaking of Hart and Mercy by a two-pronged attack of adorable cover art and interesting comparisons. I was told that this book had Howl’s Moving Castle vibes, and I can only see that if I squint, and only as regards that personalities of the main characters. I was also informed that it was basically You’ve Got Mail but in a fantasy world, and I get this comparison even though I’ve never actually watched that movie. (Yes, yes. I know. I promise to rectify that eventually.) While romance hasn’t been my genre of choice this year because I read so much of it last year, I decided to give this a go anyway simply because I thought the premise sounded fun. And I’m so glad that I did, because The Undertaking of Hart and Mercy was a snarky delight of a rom-com housed in a fascinating fantasy world. Mercy Birdsall is doing her best to hold her family’s undertaking business together. One of the only things keeping them afloat right now is a government grant that gives them a stipend any time they take a keyless corpse that was recently reanimated before being put (back) down by a marshal. Unfortunately, one of those marshals is Hart Ralston. Hart and Mercy hated each other at first site, and the venom flies freely every time Hart brings in a body to Mercy’s funeral home. After a particularly nasty run-in, Hart pens an anonymous letter to an ethereal “Friend,” simply out of a need to feel like someone cared enough to listen. Never in his wildest dreams did he imagine the letter actually being delivered to a real person, someone else who was just as desperate for a connection. Can you guess who that “friend” is? Obviously, both drama and hilarity ensue from here, leading to a romance as hilarious as it is tender.While I did eventually become invested in the romantic lives of our main characters, I was initially much more interested in their occupations. I found Mercy’s work as an undertaker fascinating, especially given the radical differences between funeral rites and the afterlife in her world as compared to our own. I was also interested in Hart’s job as a marshal and how that compared to traveling marshals in the American West in the late 1800s. The letters between the two struck me as cute but quaint, and bordering on cheesy. But by the middle of the book, I was rooting for them with my whole heart.Both characters had some quirks that made me roll my eyes, but not as much as I did at Mercy’s family. For a family that’s supposedly so close, there was a weird amount of miscommunication and secret-keeping, and it drove me nuts. I felt like those lines of the plot were added in almost exclusively to up the drama factor, but that’s just my opinion. The Undertaking of Hart and Mercy is a fun, frothy, addictive ride with plenty of substance and heart. I very much enjoyed my time with it, and am already pressing it into the hands of others. It made me interested in seeing out more cozy fantasy with rom-com elements, and obviously I now desperately need to watch You’ve Got Mail. If you’re on the hunt for a light escape from reality that still has some serious stakes, this is story you’re looking for.You can find  this  and more at Novel Notions. ...more",Notes are private!,0,12,1,"Aug 15, 2022","Aug 23, 2022","Aug 15, 2022",,Paperback,view (with text),/book/show/59801786-the-undertaking-of-hart-and-mercy
370,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mariel of Redwall        (Redwall, #4)","Jacques, Brian",0142302392,9780142302392,0142302392,400        pp,4.00,"28,505",1992,"Mar 31, 2003",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Actual rating: 3.5 starsRedwall Abbey is always a wonderfully cozy place to revisit, no matter the plight facing its inhabitants. However, I have to cActual rating: 3.5 starsRedwall Abbey is always a wonderfully cozy place to revisit, no matter the plight facing its inhabitants. However, I have to confess that those plights are beginning to blur together in my mind, because each book is so formulaic. Almost without fail, the Abbey will be under some sort of siege by unsavory characters looking to enslave those within its walls and steal their home and resources. As this occurs, those most warrior-like from the Abbey are off on a quest far from home to defeat someone or win back an item that in some way correlates to the happenings back home in Mossflower forest and Redwall. And this tends to be under the guidance of the spirit of Martin the Warrior. Do I have any problem with this plot line? Not at all. But I have to admit that it’s becoming a tad redundant this many volumes into the series.One thing I did really appreciate about this book as compared to those preceding it was the fact that the titular hero was a female. Mariel is brave and fierce and feisty and determined and terrifically skilled with a weapon for one untrained. I found her journey an interesting and intense one to witness. But there were a couple of things about this installment in particular that bugged me. First of all, I found the central villain fairly unbelievable. His level of obsession with this bell, to the point of no longer sleeping and then falling prey to madness, made no sense to me. He went from sly to completely mental over the course of a scant few chapters, and it simply didn’t feel believable to me. Even in a story about anthropomorphic animals running an Abbey and waging wars, this bell-induced insanity was where my skepticism couldn’t be kept at bay. There’s also a place near the end of the book where a couple of creatures fight over who has the right to kill another character. This is such a stupid discussion to me, whenever I happen to see it in media. Who cares who can claim the kill, as long as the beast in question is put down in the end? It’s utterly nonsensical and baffles me any time I come across it.I might’ve had qualms with this volume, but I still enjoyed the story and the setting. And, of course, the food. Jacques wrote food descriptions like no one else I’ve ever read, and they never fail to make me hungry for things I’m pretty sure would actually be vile in real life. I also love knowing that everything is going to work out all right in the end, which makes this series perfect for children just getting into fantasy and adults looking for something cozy and nostalgic to provide a brief escape from the darker world of most adult fantasy fiction. Even if this wasn’t a perfect book, it was a fun one, and I’ll definitely be continuing on with the series....more",Notes are private!,0,11,1,"Aug 15, 2022","Aug 19, 2022","Aug 15, 2022",,Paperback,view (with text),/book/show/7993.Mariel_of_Redwall
371,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Twyford Code,"Hallett, Janice",1668003228,9781668003220,1668003228,336        pp,3.63,"24,363","Jan 13, 2022","Jan 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 15, 2022",,Hardcover,view,/book/show/61273330-the-twyford-code
372,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pandora,"Stokes-Chapman, Susan*",1787302881,9781787302884,1787302881,432        pp,3.68,"12,840","Jan 17, 2022","Jan 27, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Actual rating: 4.5 stars, rounded up.I received an audio copy of this novel from the publisher, Harper Audio, via NetGalley in exchange for an honest Actual rating: 4.5 stars, rounded up.I received an audio copy of this novel from the publisher, Harper Audio, via NetGalley in exchange for an honest .I know you’re not supposed to judge a book by its cover, but that’s what initially drew me to Pandora. While not yet officially available in the US, it’s been out in the UK since January of 2022, and I had read some mixed s about it. But something about it still called to me, and when the audio became available to request on NetGalley, I jumped at the chance. I’m incredibly glad that I did, because this story was incredible, and I actually don’t know that I would have enjoyed it quite so much in any other format.Our setting is London, 1799. Pandora “Dora” Blake is the orphaned daughter of noted antiquarians who specialized in Grecian artifacts and who died tragically on a dig site when Dora was just a girl. Dora’s uncle, Hezekiah, gained custody of both Dora and her parents’ London shop. There is no love lost between them. Hezekiah has always resented Dora, and Dora despises Hezekiah for running her birthright into the ground and slowly ruining the reputation her parents had built during their lifetime. Dora dreams of designing high-end jewelry and buying herself a life free from Hezekiah’s control. Along the way, Dora meets Edward Lawrence, an aspiring antiquarian, and they determine to help one another. When a Greek pithos of indeterminable age and in pristine condition makes its way to the shop, family secrets and buried trauma slowly, and almost sinisterly, comes to a head. Even though I went into this novel hopeful, I have to confess that I didn’t have very high expectations. I have a serious weakness for anything inspired by Greek mythology, but I also can’t seem to help but judge said inspired stories a bit harshly, as well. And I’m just starting to get into historical fiction, which has always been a very hit-or-miss genre for me. But Pandora was recommended for fans of The Essex Serpent, which made me even more hopeful. My expectations were not only met, but exceeded. I can’t definitely see why it was compared to Sarah Perry’s work, and I can’t wait to get a physical copy to shelf next to The Essex Serpent. While not quite as philosophically profound, Pandora definitely scratched the same itch.I loved the fact that I couldn’t decide whether or not there was a touch of magical realism to this book. Much like The Essex Serpent, it straddles that divide in such a way that you’re never entirely certain. Though, in this case, I’m leaning strongly in the direction of there being just a touch of the supernatural housed within the story. Especially when it comes to the pithos itself. It’s beautiful and somehow disturbing in its perfection, magnetic and repellant. I loved the undercurrent of similarities between Dora and her Grecian namesake. And the identity hinted at for one particular side character near the end of novel was a very fun touch.While Pandora got off to a bit of a slow start, the tension and the atmosphere in this book were absolutely fantastic. I really enjoyed my reading of it. I highly recommend this audio version, as Olivia Vinall did an excellent job. This is one of those stories that I’m not sure I would have enjoyed to quite this extent had I read it with only my eyes instead of my ears. Listening to Pandora gave me strong Dickensian vibes, but with less meandering in the storytelling itself. I highly recommend this book to anyone who loves historical fiction, or a good mystery. It’s a book that I can see myself reading again, and one that I look forward to adding to my physical collection someday.You can find  this  and more at Novel Notions. ...more",Notes are private!,0,11,1,"Aug 11, 2022","Aug 20, 2022","Aug 11, 2022",,Hardcover,view (with text),/book/show/55676326-pandora
373,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fairy Tale,"King, Stephen*",1668002175,9781668002179,1668002175,608        pp,4.12,"233,803","Sep 06, 2022","Sep 06, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“That much is true about songs (and many stories) even in my own world. They speak mind to mind, but only if you listen.” Fairy Tale has been one of m“That much is true about songs (and many stories) even in my own world. They speak mind to mind, but only if you listen.” Fairy Tale has been one of my most anticipated reads of the 2022 since it was announced. I preordered it in February, the day it first became available. So to say my expectations were sky-high would be an understatement. Reading anything you’ve been looking forward to for that long with your hopes for it residing somewhere in the clouds is always a tenuous undertaking. While Fairy Tale didn’t disappoint, it couldn’t quite live up to the hype in my head. “it’s the stories of our childhood that make the deepest impressions and last the longest.”Something that King does wonderfully well is coming-of-age stories, and that was on full display here. This is, at its core, the story of a boy and his dog. And that core was my absolute favorite thing about the book. I felt a little bit in love with Charlie as a character, and his relationship with Radar was just the sweetest thing. He’s had a lot of struggles in his life, but somehow he is still good. Well, mostly. Charlie is a pure soul with a kernel of darkness at his core. This darkness serves him well on occasion throughout the story, though sometimes he regrets it in hindsight. But he’s overwhelmingly good. The bond he forms with Mr. Bowditch as he seeks to pay it forward, so to speak, after his dad stops drinking, was heartwarming. “There’s a dark well in everyone, I think, and it never goes dry. But you drink from it at your peril. That water is poison.” Speaking of his dad, I loved seeing someone struggling with an addiction without becoming a monster, and actually trying to do better. Alcoholism is used so often in fiction to propel forward a plot, and King himself has used it many times in the past. But there was something refreshing about how it was portrayed so hopefully in Charlie’s dad. The relationship between Charlie and his dad was beautiful, even with its scars. I thought this showed trauma and response to said trauma in a very believable, balanced light.“A brave man helps. A coward just gives presents.”I found Fairy Tale reminiscent of other stories by King; specifically The Talisman and Hearts in Atlantis, both of which are works I adore. The coming-of-age, boy on a journey, portal fantasy with a period of captivity, all reminded me me strongly of The Talisman. Even the tone was similar. And Charlie’s relationship with Mr. Bowditch, and how that relationship revealed an entire hidden world, were very much in keeping with Hearts in Atlantis. For some reason, I actually found that portion, which comprised the first third of the novel, more emotionally compelling than the fantasy aspects that come later in the novel. It was when Charlie finally entered the shaft shown on the front of the U.S. edition that I thought the story would pick up, and yet that’s when I found myself having a harder and harder time focusing on the plot. “You never know where the trapdoors are in your life, do you?”Even if this wasn’t my favorite King book, I did still really like it. And I think it’s going to hold up really well to rereading. King did a lovely job capturing the eponymous fairy tale vibe while still maintaining his unique voice. There were a host of interesting characters, a fascinating world under a dark curse, and plenty of stakes. The protagonist was likable with a ton of heart. But something about the body of the plot seemed to drag. While I found myself thinking about the book often, I wasn’t feeling compelled to keep reading or sacrifice sleep, which is a feeling a tend to associate with King’s work.“Time is the water, Charlie. Life is just the bridge it flows under.”I think my main issue with Fairy Tale is that I firmly believe it would’ve been a far stronger novel if it were about 150 pages or so shorter. King tends to have a problem with bloat in his novels, and this one unfortunately was no exception. It was very good, and I would give it a solid 4 stars, but with some tighter editing it could easily have been one of my favorite books of the year. I actually think I might have enjoyed it more in audio than in print, so I plan to reread in that format sometime in the not-too-distant future. However, I will say that I was very pleased with the ending. King doesn’t always stick the landing, but he did here. He even poked a bit of fun at his readers for wanting a happy ending even as he delivered one.“good people shine brighter in dark times.”It may not sound like it from this , but I did very much enjoy Fairy Tale. It gave a quintessential King story with a wonderful new setting and an even more wonderful protagonist. And I will always have a weakness for any story about a boy and his dog. I just wish the book had been edited down a bit. However, I really can’t wait to reread this, because my expectations won’t be so unreachably high. Which means that I have little doubt that Fairy Tale will blow those more tempered expectations out of the water when I return to it someday.You can find  this  and more at Novel Notions. ...more",Notes are private!,0,14,1,"Sep 23, 2022","Oct 04, 2022","Aug 06, 2022",,Hardcover,view (with text),/book/show/60177373-fairy-tale
374,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Always Never,"Lafebre, Jordi",1506731376,9781506731377,1506731376,152        pp,4.38,"7,146","Sep 25, 2020","Sep 27, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I think reading this made my heart grow three sizes.Always Never is one of the loveliest graphic novels, and most unique love stories, I’ve ever experI think reading this made my heart grow three sizes.Always Never is one of the loveliest graphic novels, and most unique love stories, I’ve ever experienced. Spanish cartoonist Jordi Lafebre both wrote and illustrated this himself, and there’s a level of cohesion to the prose and the art that feels incredibly rare to me because of that. I was captured from the very beginning by both the art and the unique format.This is the story of a romance delayed. The book opens with chapter 20, where we see the 37-year delayed date of an older couple who life has kept apart for all that time. Readers are immediately left with questions. Why did they wait so long? What kept them apart? What drew them to one another in the first place? From here, we journey further and further back in their story, finally ending in chapter 1, when the two meet for the very first time.This format for a love story was absolutely brilliant. Starting with the end and working back toward the beginning was a fascinating, refreshing look at what was already a very unconventional romance, mostly kept alive through late-night office phone calls and letters with no return addresses. It was lovely, and somehow still retained an air of mystery even after the final pages of chapter 1. I was both delighted by it and profoundly moved.A couple of things about this graphic novel blew my mind. First of all, this is a translation. While I was made aware of this in my research, it never felt like one to me, which speaks highly of both the original prose and the translation itself. Secondly, Lafebre is a phenomenal artist. The expressiveness in the eyes of his characters blew me away, and the reverse aging of the cast was incredible to behold. The skill and raw talent on display here were truly humbling.I don’t read a ton of graphic novels, and romance hasn’t been my genre of choice this year, but I’m thankful for whatever bookish serendipity brought Always Never into my reading life. It was exquisite, and an absolute delight to read. I’ve already added a physical copy to my wishlist, as this is a story I hope to revisit time and again as I grow older. It gave me an even deeper appreciation for my own love story, and the ease of it, and I want to have access to that lovely reminder on my shelf.You can find  this  and more at Novel Notions. ...more",Notes are private!,0,14,1,"Aug 03, 2022","Aug 05, 2022","Aug 03, 2022",,Hardcover,view (with text),/book/show/60465276-always-never
375,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Prey Without Ceasing,"Franks, Andrew*",,,B09GL3CRVC,101        pp,4.24,123,unknown,"Nov 11, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I became friends with Andrew Franks on TikTok before I realized he was an author, because I enjoyed his taste and his content. When he reached out offI became friends with Andrew Franks on TikTok before I realized he was an author, because I enjoyed his taste and his content. When he reached out offering a code to the audiobook for Prey Without Ceasing, I was both excited and nervous. I tend to shy away from reading books written by people I’ve developed any kind of relationship with, because I try to be as (kindly) honest as I can be about every book I read, and this has cost me relationships in the past. But the synopsis of this book called to me so strongly that I accepted his offer and also purchased the Kindle book so I could tandem read and make notes. I made the right decision. This was definitely a book worth reading, and I related to portions of it so deeply that it was painful.While I never experienced quite the spiritual turmoil (internal or external) that Dalton underwent in this story, I related to his struggles and doubts and attempts to live out his shaky faith on a profound level. I am incredibly fortunate in that my family was always wonderfully supportive. I was never yelled at or struck or judged and found lacking. My home, and my church, was always a safe space. But the internal struggles and questions Dalton was wrestling with? I’ve been there. I’ve felt that same guilty confusion as I tried to work out my own faith, live it out to the best of my ability, and deal with the stomach-churning disappointment that came anytime I fell short. I am so, so incredibly thankful that I didn’t have the dad Dalton did. Pastor Gary was horrible. He’s the epitome of the legalistic, judgmental, hypocritical Christian that drives so many away from the faith. The minute things he chose to harp on, like light profanity in movies for example, don’t matter even the tiniest bit in the scheme of things. And yet Gary placed so much weight on these unimportant things that it threatened to crush the faith of his (very faithful) son. If I could’ve reached through the pages of this book and smacked him, I totally would have.“I’ve seen a lot of kids grow up and walk away from God because of the way they were treated at church. They walked away because of the reckless way faith was presented to them.”I loved the symbolism in Dalton’s nighttime visit to the church, how it looked rundown and decaying and infested by things that kept to the shadows. However, it still wasn’t without its beauty. Dalton’s “dark night of the soul” was tense, but the horror elements were a bit lighter (and more heavily symbolic) than I would’ve expected. I was reminded a bit of The Visitation and House, books that I loved as a teen.Kellen Boyle did an absolutely fantastic job narrating the audiobook. He captured the feeling of living in the Bible Belt in the American South. His slight drawl was perfect for this story. Reading this was very nostalgic, as it reminded me of the Christian horror novels I loved so much in my youth, from authors like Ted Dekker and Frank Peretti. And, similar to those authors, there were times when the spiritual symbolism and message felt just a tad heavy-handed; it could have used as touch more finesse in the writing, but so could the books I loved from Dekker and Peretti and they were very effective. I also thought that it felt a tiny bit rushed, though I often feel that way about novellas. I really enjoyed Prey Without Ceasing, and felt somehow seen by it. It was quick but still deeply thoughtful, and it brought me back to the time when my faith was young and sometimes shaky. Franks did a great job with it, and the audio version was superb. This is a book that I’ll be pressing into the hands of my cousins and others who have had a similar Christian experience, though I think that even those who don’t share that faith will find it fascinating.You can find  this  and more at Novel Notions. ...more",Notes are private!,0,4,1,"Aug 03, 2022","Aug 04, 2022","Aug 03, 2022",,Kindle Edition,view (with text),/book/show/59662090-prey-without-ceasing
376,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Great Goddesses: Life Lessons From Myths and Monsters,"Gill, Nikita*",0593085647,9780593085646,0593085647,256        pp,4.17,"7,420","Sep 03, 2019","Sep 03, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Actual rating: 4.5 starsGreat Goddesses has cemented Nikita Gill as my favorite poet, usurping T.S. Eliot, who has held that pride of place since I waActual rating: 4.5 starsGreat Goddesses has cemented Nikita Gill as my favorite poet, usurping T.S. Eliot, who has held that pride of place since I was in high school. While I didn’t love it quite as much as Fierce Fairytales, Great Goddesses was still an incredibly solid collection. It took the classic tales of the Greek gods and goddesses and manages to both reaffirm them and turn them on their head. Here, Gill gives stories we already know depth and new life, while also pondering what these deities would be up to today, if present in our world. We see goddesses finally coming into their own, if in far different ways than they ever envisioned, while certain gods are now facing repercussions for their actions. Great Goddesses is fiercely, unapologetically feminist without vilifying every male character or setting each female on a pedestal. It’s beautifully balanced and beautifully rendered, in every way.Outside of the content, I’d like to take a moment to simply praise Gill for the quality of form in her work. Every piece in this collection, be it poetry or prose, is perfectly clear and easy to follow. Her writing is profound, and yet it’s never ethereal. There’s something very grounded about her voice. It’s this voice and its constancy that has compelled me to crown Gill my favorite poet. I’m astonished that her writing about the inner and supposed lives of beings from ancient myth can be so much easier to follow that someone else’s poetry about nature. There’s a clear story to everything she produces and, though not imbued with any kind of rigid meter as it is written in free verse, there’s a natural rhythm to each piece that draws you steadily along. I’ve never come across another poet whose work is quite such a joy to read.I always appreciate an updating or reimagining to stories already well known, though I tend to be weirdly protective of Greek myth as I have loved it so fervently since I was a child. But Greek reimaginings done well always find a special place in my heart, which is exactly where Great Goddesses now resides, alongside more prosaic works like Olympus Texas and Circe. I especially enjoyed Gill’s “Where are they now?” take on many of these deities. The one involving Hera was particularly touching, as she learned from her past and dedicated her present to helping those who had survived the very abuse she once punished them for enduring.If you’re a fantasy lover who is looking to dip your toes into poetry, look no further than Nikita Gill for your introduction. Whether you choose Great Goddesses or Fierce Fairytales (my favorite) or another that I’ve yet to read, I believe that her poetic style and her choice of topic will make a wonderful first impression. I’m already looking forward to revisiting both collections I’ve read thus far, as well as digging further into her work. Gill’s voice is lovely, and she always have something to say. I hope my ears and heart and mind will always be open enough to listen....more",Notes are private!,0,8,1,"Aug 02, 2022","Aug 31, 2022","Aug 02, 2022",,Paperback,view (with text),/book/show/45152559-great-goddesses
