,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Trin's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Buck,"Askaripour, Mateo*",0358627982,9780358627982,0358627982,400        pp,3.72,"26,790","Jan 05, 2021","Jan 18, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 26, 2024","Mar 30, 2024","Mar 30, 2024",,Paperback,view,/book/show/58311996-black-buck
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Slow Horses        (Slough House, #1)","Herron, Mick",1641292970,9781641292979,1641292970,408        pp,3.99,"44,595","Jun 01, 2010","Nov 24, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 26, 2024","Mar 28, 2024","Mar 28, 2024",,Paperback,view,/book/show/56534999-slow-horses
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Saguaro Sanction,"Graham, Scott",,,1948814757,275        pp,3.99,112,unknown,"Mar 07, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 23, 2024","Mar 25, 2024","Mar 25, 2024",,Paperback,view,/book/show/91359605-saguaro-sanction
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Doctor Who: Death and the Queen        (The Tenth Doctor Adventures, #1.3)","Goss, James",,9781785752346,1785752340,unknown,4.21,519,"May 31, 2016","May 31, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Goss continues to be the MVP of Doctor Who tie-in media. The speech Ten gives about how everyone (and in particular, Donna) always leaves him eventualGoss continues to be the MVP of Doctor Who tie-in media. The speech Ten gives about how everyone (and in particular, Donna) always leaves him eventually, and how he never gets to rest, feels insanely prescient (and poignant) after the 60th anniversary specials....more",Notes are private!,0,0,1,"Mar 24, 2024","Mar 25, 2024","Mar 25, 2024",,Audio CD,view (with text),/book/show/28426786-doctor-who
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Death in the Spires,"Charles, K.J.*",1805082280,9781805082286,B0CX9NJRC2,273        pp,4.63,202,"Apr 11, 2024","Apr 11, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Dec 2020,Dec 2020,"Mar 25, 2024",,Kindle Edition,view,/book/show/209563735-death-in-the-spires
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Memory Piece,"Ko, Lisa*",059354210X,9780593542101,,304        pp,3.46,427,"Mar 19, 2024","Mar 19, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Oct 2021,Oct 2021,"Mar 25, 2024",,Hardcover,view,/book/show/193759650-memory-piece
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Garden Against Time: In Search of a Common Paradise,"Laing, Olivia*",0393882004,9780393882001,0393882004,336        pp,4.00,16,"May 02, 2024","Jun 25, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/200869482-the-garden-against-time
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hypocrite,"Hamya, Jo",0593701038,9780593701034,0593701038,240        pp,4.27,11,"Apr 25, 2024","Aug 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 13, 2024","Mar 15, 2024","Mar 15, 2024",,Hardcover,view,/book/show/202102022-the-hypocrite
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bryony and Roses,"Kingfisher, T.",1614503990,9781614503996,1614503990,216        pp,4.08,"7,352","May 18, 2015","Nov 21, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 12, 2024","Mar 15, 2024","Mar 15, 2024",,Paperback,view,/book/show/36671975-bryony-and-roses
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sleeve Should Be Illegal & Other Reflections on Art at the Frick,"Gopnik, Adam",1942884796,9781942884798,1942884796,168        pp,4.04,50,unknown,Jan 2021,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 12, 2024","Mar 14, 2024","Mar 14, 2024",,Hardcover,view,/book/show/56379492-the-sleeve-should-be-illegal-other-reflections-on-art-at-the-frick
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Doctor Who: The Dark Path,"McIntee, David A.",0426205030,9780426205036,0426205030,295        pp,3.75,204,"Apr 20, 1997","Jan 01, 1997",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 12, 2024","Mar 13, 2024","Mar 13, 2024",,Paperback,view,/book/show/882493.Doctor_Who
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Will of the Many        (Hierarchy, #1)","Islington, James*",1982141174,9781982141172,1982141174,630        pp,4.64,"27,799","May 23, 2023","May 23, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Hardcover,view,/book/show/62919748-the-will-of-the-many
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Language of the Night: Essays on Writing, Science Fiction, and Fantasy","Le Guin, Ursula K.",1668034905,9781668034903,1668034905,304        pp,4.50,4,unknown,"May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Paperback,view,/book/show/199798061-the-language-of-the-night
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Doctor Who: Harvest of Time,"Reynolds, Alastair",0385346808,9780385346801,0385346808,365        pp,3.90,"1,455","Jan 01, 2013","Jun 04, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 08, 2024","Mar 08, 2024","Mar 09, 2024",,Paperback,view,/book/show/17162398-doctor-who
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Call the Midwife: A Memoir of Birth, Joy, and Hard Times","Worth, Jennifer",0143123254,9780143123255,0143123254,340        pp,4.19,"72,666",2002,"Aug 29, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What an odd, contradictory book. Parts are truly compelling: Worth paints the East End of London of the 1950s vividly, describing a variety of living What an odd, contradictory book. Parts are truly compelling: Worth paints the East End of London of the 1950s vividly, describing a variety of living conditions and people with an evocative eye for detail. She makes the work of a '50s midwife sound fascinating, brutally hard, and often rewarding, and she brings you fully in to her world. As her midwife training took place at a convent, she also lets the reader in to the nuns' lives, and the sisters are some of the most fully realized characters, with sympathetic backstories, idiosyncrasies, and surprising senses of humor. But then there are parts that just feel fake, or created to push an agenda -- often one that feels distasteful. Worth is admirably not anti-sex, and is very enthusiastically pro offering affordable housing and services to the poor; she is also sympathetic toward sex workers. However, one of the worst -- and longest running -- pieces in the book is the story of the ""turning out"" of a young Irish girl. Worth deliberately gives the girl's seducer an ethnic sounding name, and then describes the abuses inflicted against her in highly unpleasant as well as cliched and frankly faux detail. She also focuses three (3!) chapters on the increase in mixed race children born in the UK in the 1950s, but bizarrely from an angle that presents all circumstances of this as white women who cheat on their white husbands with Black men, and the drama that causes. Weird choice, Jennifer!I also could have done without the ultimate framing of midwifery (avec nuns) being behind Worth's call to God. It's not overbearing in the narrative, but it's also still just Not For Me.I do think Worth's evocation of the period and the very specific place make this a worthwhile (pun unintended) read, just with some caveats. And I am curious enough to check out the TV series now -- in hopes it improves upon some of the book's faults....more",Notes are private!,0,3,1,"Mar 08, 2024","Mar 08, 2024","Mar 09, 2024",,Paperback,view (with text),/book/show/15810860-call-the-midwife
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Doctor Who: The Integral        (The Companion Chronicles #10.03),"Bartlett, David",,,,unknown,3.75,12,"Jun 23, 2016",Jun 2016,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Very happy to be back with my favorite vintage TARDIS Team*. Good character study of Jamie and Zoe.*Thus far; the big watch/rewatch is still underway.,Notes are private!,0,0,1,"Mar 07, 2024","Mar 07, 2024","Mar 08, 2024",,Audio CD,view (with text),/book/show/55656589-doctor-who
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Doctor Who: The Story of Extinction        (The Companion Chronicles #10.02),"Atkins, Ian",,,,unknown,3.77,26,"May 23, 2016",Jun 2016,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"2.5? Another one where I like the idea much more than the execution. My favorite part was the thread about Victoria and then the Doctor teaching Jamie2.5? Another one where I like the idea much more than the execution. My favorite part was the thread about Victoria and then the Doctor teaching Jamie to read.I'm only now realizing that Frazer Hines does the voices of both Jamie and the Second Doctor in these, which I have to admit I find...weirdly romantic. (I will be your voice when you are gone...)...more",Notes are private!,0,0,1,"Mar 07, 2024","Mar 07, 2024","Mar 07, 2024",,Audio CD,view (with text),/book/show/55652256-doctor-who
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"My Man Jeeves        (Jeeves, #1)","Wodehouse, P.G.",1585678759,9781585678754,1585678759,256        pp,4.06,"43,186","May 01, 1919","May 10, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I'm 99% sure I've read this one before...but unfortunately not recently to remember that it's not all Jeeves and Bertie. There is too much Reggie PeppI'm 99% sure I've read this one before...but unfortunately not recently to remember that it's not all Jeeves and Bertie. There is too much Reggie Pepper by half! (Literally.)...more,Notes are private!,0,0,1,"Mar 05, 2024","Mar 07, 2024","Mar 07, 2024",,Hardcover,view (with text),/book/show/200572.My_Man_Jeeves
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Doctor Who: The Mouthless Dead,"Pritchard, John",9781785750,,,unknown,4.11,28,"Jun 23, 2016",Jun 2016,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A DW take on ""The Signal-Man,"" mixing it with the horror and grief over World War I. The atmosphere in this, particularly in the first half, was excelA DW take on ""The Signal-Man,"" mixing it with the horror and grief over World War I. The atmosphere in this, particularly in the first half, was excellent. I have missed Two and Jamie more than I realized....more",Notes are private!,0,0,1,"Mar 06, 2024","Mar 06, 2024","Mar 06, 2024",,Audio CD,view (with text),/book/show/40489546-doctor-who
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Doctor Who: Blood of the Daleks, Part 2","Lyons, Steve",1844352560,9781844352562,1844352560,0        pp,3.92,594,"Feb 01, 2007","Feb 28, 2007",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not bad but sort of boring/standard Doctor Who Dalek story in which an evil/misguided human teams up with Daleks and oh no curse your sudden but ineviNot bad but sort of boring/standard Doctor Who Dalek story in which an evil/misguided human teams up with Daleks and oh no curse your sudden but inevitable betrayal, etc. Hayley Atwell (!) is fairly wasted as a cookie cutter version of this character; they don't let her be nearly camp enough.The Eighth Doctor also has a new companion who sort of feels like a mix of Rose and Donna (she's also dropped into the TARDIS suddenly), but with some potential interest in that she's been sent to the Doctor by the Time Lords, who, this being a pre-War adventure, aren't dead for the thousandth time yet. That's not really developed here though so...we'll see.Except I won't right away because I'm switching to some Two stories. Sorry, Eight!...more",Notes are private!,0,0,1,"Mar 05, 2024","Mar 06, 2024","Mar 06, 2024",,Radio Drama,view (with text),/book/show/908620.Doctor_Who
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Stand: The Night Has Come,"Aguirre-Sacasa, Roberto",0785136452,9780785136453,0785136452,186        pp,4.55,"3,164","Feb 22, 2012","Jan 01, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was a good adaptation, and Aguirre-Sacasa ties things up as best he can. But I still think the back end of The Stand lets down the amazing openinThis was a good adaptation, and Aguirre-Sacasa ties things up as best he can. But I still think the back end of The Stand lets down the amazing opening. The story as a whole is the best and the worst of Stephen King in one.And better female characters (or some more respect for the existing ones) would have really done a lot to redeem this story's weaker spots. Alas....more",Notes are private!,0,0,1,"Mar 05, 2024","Mar 05, 2024","Mar 06, 2024",,Hardcover,view (with text),/book/show/12495799-the-stand
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Doctor Who: Blood of the Daleks, Part 1","Lyons, Steve",1844352552,9781844352555,1844352552,0        pp,3.98,785,"Jan 01, 2007","Jan 01, 2007",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 05, 2024","Mar 05, 2024","Mar 06, 2024",,Audio CD,view,/book/show/908613.Doctor_Who
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mrs. Dalloway,"Woolf, Virginia",0143136135,9780143136132,0143136135,179        pp,3.79,"306,485","May 14, 1925","Jan 05, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 03, 2024","Mar 03, 2024","Mar 03, 2024",,Paperback,view,/book/show/53436895-mrs-dalloway
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Stand: No Man's Land,"Aguirre-Sacasa, Roberto",078513624X,9780785136248,078513624X,136        pp,4.56,"3,797","Jun 01, 2011","Jan 01, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"MAN I JUST HATE NADINE'S STORYLINE SO MUCH.This is where the OG novel really starts to go off the rails for me. I know King was stuck and then had thiMAN I JUST HATE NADINE'S STORYLINE SO MUCH.This is where the OG novel really starts to go off the rails for me. I know King was stuck and then had this ""revelation"" about the bomb, but while it does kickstart the plot again, it doesn't really make a lot of sense regarding what he'd thus far set up. Nick's story in particular just cuts off entirely. (And I forget if this is a problem in the actual book too, but in these graphic adaptions, it also creates a continuity error: in the nasty and unnecessary scene with Julie, they say Nick will have to deal with her again but...he dead. It didn't happen.) Annoying!But not as annoying as how badly all the women are written in this. Maybe Aguirre-Sacasa & Co. couldn't actually fix that, but this adaptation could have made the cast less white. It really stands out: they couldn't have at least had someone on the council not a white dude?Can't wait for the final installment, where four men go out to make a stand (iirc, they barely do anything) while the women wait at home and gestate babies.Three stars for continuing to do a decent job with far from my favorite King....more",Notes are private!,3,0,1,"Mar 03, 2024","Mar 03, 2024","Mar 03, 2024",,Hardcover,view (with text),/book/show/10195032-the-stand
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Lumiat        (Doctor Who: Missy Series 2, #1)","McMullin, Lisa",,,,unknown,4.11,28,unknown,2020,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I like the premise of this one -- that Missy/the Master has their own equivalent of the Valeyard, a future or alternate regeneration who is their oppoI like the premise of this one -- that Missy/the Master has their own equivalent of the Valeyard, a future or alternate regeneration who is their opposite -- more, sadly, than the execution. Someone should write a Lumiat/Valeyard fic and make it a big tragic O. Henry-esque deal. Please....more",Notes are private!,0,0,1,"Mar 02, 2024","Mar 03, 2024","Mar 03, 2024",,Audiobook,view (with text),/book/show/56599828-the-lumiat
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Briar Club,"Quinn, Kate*",0063244748,9780063244740,0063244748,432        pp,4.48,79,"Jul 09, 2024","Jul 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Hardcover,view,/book/show/181110045-the-briar-club
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Should Be So Lucky,"Sebastian, Cat*",0063272806,9780063272804,0063272806,400        pp,4.65,339,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/196774347-you-should-be-so-lucky
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Moon Is Down,"Steinbeck, John",0140187464,9780140187465,0140187464,112        pp,3.93,"28,546",1942,"Nov 01, 1995",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 02, 2024","Mar 02, 2024","Mar 02, 2024",,Paperback,view,/book/show/763808.The_Moon_Is_Down
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Painter,"Heller, Peter",0804170150,9780804170154,0804170150,369        pp,3.82,"15,576","May 06, 2014","Mar 03, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Mar 2024,"Mar 02, 2024","Mar 02, 2024",,Paperback,view,/book/show/23012502-the-painter
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Doctor Who: No Place        (The Tenth Doctor Adventures, #3.1)","Goss, James",,9781787037595,1787037592,unknown,3.97,143,"May 16, 2019","May 16, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 rounded up because Joel Fry reads one of the parts in this! Also Donna and the Doctor roleplay as a married couple even though it is entirely unne3.5 rounded up because Joel Fry reads one of the parts in this! Also Donna and the Doctor roleplay as a married couple even though it is entirely unnecessary to their ruse/investigation for them to do so. It seems to be mostly an excuse for them to call each other ridiculous pet names and try to get the other to break, like they've invented Straight Chicken. They're the best....more",Notes are private!,0,5,1,Mar 2024,"Mar 02, 2024","Mar 02, 2024",,Audio CD,view (with text),/book/show/45859303-doctor-who
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Belly of the Beast        (Doctor Who: Missy Series 1, #4)","Morris, Jonathan*",,,,unknown,3.67,46,"Feb 12, 2019","Feb 12, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,The least interesting in this series so far. At least we have (more) definitive proof that Missy would definitely fuck her own clone.,Notes are private!,0,1,1,"Feb 29, 2024","Feb 29, 2024","Feb 29, 2024",,Audiobook,view (with text),/book/show/44002610-the-belly-of-the-beast
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Doctor Who: The Giggle (Target Collection),"Goss, James",1785948474,9781785948473,1785948474,220        pp,4.54,220,"Mar 12, 2024","Apr 09, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"In the game of TV tie-ins, James Goss set out to win. And he did.The sheer creativity -- the audacity! -- with which he approached this... he truly diIn the game of TV tie-ins, James Goss set out to win. And he did.The sheer creativity -- the audacity! -- with which he approached this... he truly didn't let a single opportunity pass him by. There is the Toymaker POV, the games within games, meta elements galore -- the man went for it. You can't read this and not smile. It's the rare retelling that actually adds something to the original story.And the Doctor is an Inside Dog. <3...more",Notes are private!,0,0,1,"Feb 26, 2024","Feb 28, 2024","Feb 28, 2024",,Paperback,view (with text),/book/show/195855284-doctor-who
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Broken Clock        (Doctor Who: Missy Series 1, #3)","Fountain, Nev*",,,,unknown,3.92,48,Feb 2018,"Feb 12, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A parody of American true crime shows; a clever and surprising timey-wimey adventure; an unexpectedly poignant look at one of the Master's most tragicA parody of American true crime shows; a clever and surprising timey-wimey adventure; an unexpectedly poignant look at one of the Master's most tragic victims; a showcase for questionable American accents....more,Notes are private!,0,2,1,"Feb 28, 2024","Feb 28, 2024","Feb 28, 2024",,Audiobook,view (with text),/book/show/44002590-the-broken-clock
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Divorced, Beheaded, Regenerated        (Doctor Who: Missy Series 1, #2)","Dorney, John",,,,unknown,4.25,53,Feb 2019,"Feb 12, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Mad fun. It's Missy vs. the Meddling Monk in a romp through Tudor England. Featuring at least one deeply terrifying mode of death, as is a Doctor Who Mad fun. It's Missy vs. the Meddling Monk in a romp through Tudor England. Featuring at least one deeply terrifying mode of death, as is a Doctor Who specialty. Would love to someday see the teased Doctor/Master/Monk showdown in canon. ...more",Notes are private!,0,1,1,"Feb 27, 2024","Feb 28, 2024","Feb 28, 2024",,Audiobook,view (with text),/book/show/44002565-divorced-beheaded-regenerated
