,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jennifer's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Una Vita di Uomini,"Darrell, Ciahnan*",,9791255371243,B0CW1HHGRX,434        pp,5.00,1,unknown,"Nov 23, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Che bello! Questo libro ti fa pensare, ti fa piangere, ti fa credere nell'amore. Lo raccomando con tutto il mio cuore.Che bello! Questo libro ti fa pensare, ti fa piangere, ti fa credere nell'amore. Lo raccomando con tutto il mio cuore....more",Notes are private!,0,2,1,not set,not set,"Apr 07, 2024",,Kindle Edition,view (with text),/book/show/209083717-una-vita-di-uomini
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Favorite Terrible Thing,"Henry, Madeleine*",1662517432,9781662517433,1662517432,301        pp,3.61,"1,032","Apr 09, 2024","May 01, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Apr 06, 2024","Apr 07, 2024","Apr 07, 2024",,Paperback,view,/book/show/183138184-my-favorite-terrible-thing
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Monstrous Misses Mai,Van Hoang*,166251784X,9781662517846,166251784X,347        pp,3.82,831,"Apr 02, 2024","Apr 01, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 06, 2024","Apr 06, 2024",,Paperback,view,/book/show/198190203-the-monstrous-misses-mai
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cleopatra's Dagger,"Lawrence, Carole",1542014298,9781542014298,B099RVZMNP,361        pp,3.76,"7,555","Apr 01, 2022","Apr 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 02, 2024","Apr 02, 2024",,Kindle Edition,view,/book/show/58990962-cleopatra-s-dagger
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hero of Ages        (Mistborn, #3)","Sanderson, Brandon*",0765316897,9780765316899,0765316897,556        pp,4.53,"426,588","Oct 14, 2008","Oct 14, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Apr 02, 2024","Apr 02, 2024",,Hardcover,view,/book/show/2767793-the-hero-of-ages
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hive,"Olsen, Gregg*",1542016452,9781542016452,B07YKQ289D,475        pp,3.83,"19,846","Jun 08, 2021","Jun 08, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 25, 2024","Mar 25, 2024",,Kindle Edition,view,/book/show/52734671-the-hive
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Zero: The Biography of a Dangerous Idea,"Seife, Charles",0140296476,9780140296471,0140296476,248        pp,3.97,"10,865","Feb 07, 2000","Feb 07, 2000",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Mar 19, 2024","Mar 19, 2024",,Paperback,view,/book/show/329336.Zero
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Benito's Truth,"Somerset, John*",1398493619,9781398493612,B0CSF82KGW,290        pp,0.00,0,"Sep 15, 2023","Sep 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Kindle Edition,view,/book/show/205565933-benito-s-truth
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Zodiac: A Graphic Memoir,"Weiwei, Ai",1984863002,9781984863003,1984863002,176        pp,3.80,246,unknown,"Jan 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Paperback,view,/book/show/139400708-zodiac
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The 7 1/2 Deaths of Evelyn Hardcastle,"Turton, Stuart*",149267012X,9781492670124,149267012X,458        pp,3.83,"374,794","Feb 08, 2018","May 07, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Paperback,view,/book/show/40914164-the-7-1-2-deaths-of-evelyn-hardcastle
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Mermaid        (Detectives von Klint and Berg, #2)","Edvinsson, Anki",1662515995,9781662515996,B0C24V16PX,425        pp,4.36,176,unknown,"Mar 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Kindle Edition,view,/book/show/128526953-the-mermaid
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Truth about the Devlins,"Scottoline, Lisa*",0525539700,9780525539704,0525539700,384        pp,4.07,"3,121","Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Hardcover,view,/book/show/181350612-the-truth-about-the-devlins
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When Women Ran Fifth Avenue: Glamour and Power at the Dawn of American Fashion,"Satow, Julie*",0385548753,9780385548755,0385548753,320        pp,4.62,24,2024,"Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Hardcover,view,/book/show/198563695-when-women-ran-fifth-avenue
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To Slip the Bonds of Earth        (Katharine Wright #1),"Flower, Amanda*",1496747666,9781496747662,1496747666,288        pp,4.19,185,"Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Hardcover,view,/book/show/181037562-to-slip-the-bonds-of-earth
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wild Side,"Michaels, Fern*",1496746805,9781496746801,1496746805,288        pp,4.11,523,"Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Hardcover,view,/book/show/181037618-the-wild-side
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Search For The Centuries Prize,"MacNamera, David*",,9798871898086,B0CQBH2936,384        pp,4.40,5,unknown,"Dec 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Kindle Edition,view,/book/show/203814734-search-for-the-centuries-prize
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Shadow Within        (A King's Wrath, #1)","Szklanny, M.Z.*",,9798878587488,B0CV82242P,424        pp,4.83,6,unknown,"Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Paperback,view,/book/show/207900523-the-shadow-within
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Change the Story of Your Health: Using Shamanic and Jungian Techniques for Healing,"Greer, Carl*",1844097161,9781844097166,1844097161,224        pp,3.73,78,unknown,"Mar 14, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Paperback,view,/book/show/31213557-change-the-story-of-your-health
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Neighborhood Watch,"Reida, Sarah*",1684429633,9781684429639,1684429633,320        pp,4.22,85,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Hardcover,view,/book/show/63111450-neighborhood-watch
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Forgotten Sisters,"Pelayo, Cynthia*",1662513909,9781662513909,B0C9R6BVQ1,298        pp,3.58,263,"Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Kindle Edition,view,/book/show/181840762-forgotten-sisters
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Waves Take You Home,"Vélez, María Alejandra Barrios*",1662513968,9781662513961,B0C3RT77HW,328        pp,4.08,245,unknown,"Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Kindle Edition,view,/book/show/142913679-the-waves-take-you-home
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Rockpool Murder        (Shell House Detectives, #3)","Hall, Emylia*",1662505175,9781662505171,B0C6NJ6KJT,380        pp,4.40,620,"Apr 23, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Kindle Edition,view,/book/show/168433794-the-rockpool-murder
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jaded,"Lee, Ela*",1668010992,9781668010990,1668010992,384        pp,4.29,920,"Feb 08, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Hardcover,view,/book/show/176442986-jaded
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Well of Ascension        (Mistborn, #2)","Sanderson, Brandon*",0765316889,9780765316882,0765316889,590        pp,4.38,"468,218","Aug 21, 2007","Aug 21, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Mar 16, 2024","Mar 16, 2024",,Hardcover,view,/book/show/68429.The_Well_of_Ascension
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hangman        (Chief Inspector Armand Gamache, #6.5)","Penny, Louise*",1926583248,9781926583242,1926583248,87        pp,3.70,"23,631","Jan 01, 2010",2010,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 09, 2024","Mar 09, 2024","Mar 09, 2024",,Paperback,view,/book/show/9221521-the-hangman
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Book of Bonn,"Labuskes, Brianna*",0063259281,9780063259287,0063259281,374        pp,4.14,330,"Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/179311289-the-lost-book-of-bonn
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daughter of Mine,"Miranda, Megan*",1668010445,9781668010440,1668010445,368        pp,4.15,"1,353","Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Hardcover,view,/book/show/176443330-daughter-of-mine
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Murder of Madison Garcia,"McCreary, Marcy*",0744308402,9780744308402,0744308402,336        pp,3.92,111,"Mar 28, 2023","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/178810776-the-murder-of-madison-garcia
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Paradise of the Damned: The True Story of an Obsessive Quest for El Dorado, the Legendary City of Gold","Thomson, Keith*",0316497002,9780316497008,0316497002,400        pp,4.25,4,"May 21, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/198493814-paradise-of-the-damned
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Win Every Argument,"Hasan, Mehdi",125085346X,9781250853462,125085346X,336        pp,4.10,"2,002","Feb 28, 2023","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Paperback,view,/book/show/127282592-win-every-argument
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Whale Fall,"O'Connor, Elizabeth",0593700910,9780593700914,0593700910,224        pp,4.12,201,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/195888522-whale-fall
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Miss Morgan's Book Brigade,"Charles, Janet Skeslien*",166800898X,9781668008980,166800898X,336        pp,4.28,290,"May 07, 2024","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/199798905-miss-morgan-s-book-brigade
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chasing Beauty: The Life of Isabella Stewart Gardner,"Dykstra, Natalie",1328515753,9781328515759,1328515753,512        pp,4.07,27,unknown,"Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/179311302-chasing-beauty
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where They Lie,"Coughlan, Claire",,,,272        pp,3.58,304,"Feb 01, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Paperback,view,/book/show/156007326-where-they-lie
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mastering the Art of French Murder        (An American In Paris, #1)","Cambridge, Colleen*",1496739604,9781496739605,1496739604,272        pp,3.63,"6,457","Apr 25, 2023","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Paperback,view,/book/show/157995339-mastering-the-art-of-french-murder
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Deadly Endeavor,"Adams, Jenny*",1639106952,9781639106950,1639106952,352        pp,4.35,187,"Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/173476149-a-deadly-endeavor
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Carry the Sea in Our Hands,"Kim, Janie*",1639107533,9781639107537,1639107533,336        pp,4.38,8,"Jul 09, 2024","Jul 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/199373378-we-carry-the-sea-in-our-hands
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Silo 42: Deception,"Paiss, Zev*",,9798988102649,B0CRMFP9S7,241        pp,4.17,103,"Dec 21, 2013","Jan 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Kindle Edition,view,/book/show/204916785-silo-42
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Kind of Game,"Copeland,, Johanna*",0063329689,9780063329683,0063329689,304        pp,4.37,30,"Jul 09, 2024","Jul 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/199392460-our-kind-of-game
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Drowning House,"Priest, Cherie*",1728292824,9781728292823,1728292824,432        pp,3.78,40,"Jul 23, 2024","Jul 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Paperback,view,/book/show/199426853-the-drowning-house
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Red Grove,"Fontaine, Tessa*",0374605815,9780374605810,0374605815,336        pp,4.06,18,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/195790694-the-red-grove
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Memory Bank        (Memory Bank Thrillers, #1)","Shea, Brian Christopher*",,,B0CHH3HT45,416        pp,4.15,81,unknown,"Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Kindle Edition,view,/book/show/198668366-the-memory-bank
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Heart of Tibetan Buddhism: Advice for Life, Death, and Enlightenment","Sangpo, Khenpo Sherab",164547206X,9781645472063,164547206X,248        pp,5.00,1,unknown,"Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Paperback,view,/book/show/179270363-the-heart-of-tibetan-buddhism
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Return of Ellie Black,"Jean, Emiko*",1668023938,9781668023938,1668023938,320        pp,4.19,357,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/199798460-the-return-of-ellie-black
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Better World,"Langan, Sarah*",1982191066,9781982191061,1982191066,368        pp,3.97,242,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/176443112-a-better-world
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Raven Thief        (Secret Staircase Mysteries, #2)","Pandian, Gigi*",125089185X,9781250891853,125089185X,336        pp,3.81,"1,003","Mar 21, 2023","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Paperback,view,/book/show/127281198-the-raven-thief
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everyone Who Can Forgive Me Is Dead,"Hollander, Jenny*",1250890845,9781250890849,,292        pp,3.33,"3,985","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/126919062-everyone-who-can-forgive-me-is-dead
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Lives of Puppets,"Klune, T.J.*",1250217431,9781250217431,1250217431,480        pp,3.94,"58,887","Apr 25, 2023","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Paperback,view,/book/show/127306396-in-the-lives-of-puppets
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Weyward,"Hart, Emilia",1250842727,9781250842725,1250842727,416        pp,4.09,"139,859","Feb 02, 2023","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Paperback,view,/book/show/127280850-weyward
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"As the Wicked Watch        (Jordan Manning, #1)","Hall, Tamron",,,B08THSNQLT,396        pp,3.52,"6,132","Oct 26, 2021","Oct 26, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Kindle Edition,view,/book/show/57866495-as-the-wicked-watch
