,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ronald's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Man Called Ove,"Backman, Fredrik*",1476738017,9781476738017,,337        pp,4.38,"1,031,715","Aug 27, 2012","Jul 15, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book was delightful, predictable, heartwarming, cliched, funny, beautifully written, and worth every minute. By now, you know the plot: grumpy olThis book was delightful, predictable, heartwarming, cliched, funny, beautifully written, and worth every minute. By now, you know the plot: grumpy old fart, big heart, lost the love of his life, decides to oft himself, but too many wonderful, goofy, loving people give him a new lease on life. Within a few pages, this all becomes pretty clear. And you may wonder, why keep going with this predictable tear jerker?Because the author is brilliant. The main character—rusty, grumpy old Ove—is hilarious in author Fredrick Bakman’s hands. Ove’s view of the world puts poison daggers through the stupid and bureaucratic of everyday life. Bakman could be a stand-up comedian with some of his lines. And his sense of absurdity, humaneness, and connections that we all so long for in this life make this book a wonderful read. ...more",Notes are private!,0,1,1,not set,not set,"Jul 03, 2019",,Hardcover,view (with text),/book/show/18774964-a-man-called-ove
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Shroud for a Nightingale        (Adam Dalgliesh, #4)","James, P.D.",0743219600,9780743219600,0743219600,368        pp,4.03,"26,192",1971,"Sep 11, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Two dead nurses, a closeted Nazi, a dour nursing school in a cold winter rain, and Scotland Yard's smartest detective--how can you go wrong? You can'tTwo dead nurses, a closeted Nazi, a dour nursing school in a cold winter rain, and Scotland Yard's smartest detective--how can you go wrong? You can't. P.D. James' The Shroud of the Nightingale had just the feel and delicious danger I like. The first nurse is murdered ""live,"" so to speak, during a teaching demonstration gone horribly wrong--with a hospital quality inspector in the audience, no less. The police come in, ask questions, bumble about and, well, another nurse is suddenly dead. This time it seems to be poison in her daily nightcap. This starts star-detective (and sometime poet) Adam Dalgliesh on a murder investigation centered on a group of young student nurses, several suspicious administrators and hospital officials, and one haughty physician who admits to having an affair with one of the deceased. All of this wrapped into a taught plot, with smart writing. I had a sense I would like the book early-on, when the hospital inspector arrives on the hospital grounds and senses ""a sweet fungoid stench of decay."" It only gets better from there....more",Notes are private!,0,0,1,not set,not set,"Jun 11, 2019",,Paperback,view (with text),/book/show/764434.Shroud_for_a_Nightingale
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The White Darkness,"Grann, David*",038554457X,9780385544573,038554457X,160        pp,3.95,"6,991","Oct 30, 2018","Oct 30, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 27, 2019",,Hardcover,view,/book/show/39723730-the-white-darkness
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Victoria,"Goodwin, Daisy*",1250045460,9781250045461,1250045460,404        pp,3.93,"28,746","Nov 01, 2016","Nov 22, 2016",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This story of the young Victoria--just as she assumes the throne--reads like a romance novel. It focuses primarily on her alleged infatuation with theThis story of the young Victoria--just as she assumes the throne--reads like a romance novel. It focuses primarily on her alleged infatuation with the Prime Minister Lord Melbourne and his considerable interest in her. While parts of the book are interesting, especially the interrelationships among the royalty of Europe, Russia, and Great Britain, its style is often breathy and absurd. I haven't watched the PBS series, but I would certainly pass on the book....more",Notes are private!,0,0,1,Mar 2019,"Apr 05, 2019","Apr 19, 2019",,Hardcover,view (with text),/book/show/30841109-victoria
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Killing Commendatore,"Murakami, Haruki",052552004X,9780525520047,052552004X,681        pp,3.91,"58,885","Feb 24, 2017","Oct 09, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Just finished reading this impressive book, Killing Commendatore by Haruki Murakami. I will now need about as much time to think about what it's all aJust finished reading this impressive book, Killing Commendatore by Haruki Murakami. I will now need about as much time to think about what it's all about. This shouldn't take more than, oh, two or three months. A small note: One thing I love about Murakami (which drives some people absolutely nuts) is his moment-to-moment narrative of the main character's activities: boiling water for tea, going to the fridge for cold cuts, settling into a thick couch, listening to Strauss' Rosenkavalier, picking out a shirt. Often inconsequential, these moments are nevertheless also often vital to his themes, not the least of which is the importance of each tiny moment of time, the present moment, the quantum world of meaning within each drop--of course, a Buddhist principal contrary to the vast rush of the West forward and to the future.Tim Lott wrote an excellent essay in Aeon in September, 2012, which captures this notion: ""The emphasis on the present moment is perhaps Zen’s most distinctive characteristic. In our Western relationship with time, in which we compulsively pick over the past in order to learn lessons from it and then project into a hypothetical future in which those lessons can be applied, the present moment has been compressed to a tiny sliver on the clock face between a vast past and an infinite future. Zen, more than anything else, is about reclaiming and expanding the present moment.""That's not to say that Murakami doesn't  the past, especially the damages from World War II, or peer into the future. It's just that so much of his work sends us inward, to the internal beating of our souls, ushered there in part by attention to the nano-moments of time. Now, back to figuring out what Murakami had in mind in Killing Commendatore....more",Notes are private!,0,2,2,"Feb 06, 2019not set","Mar 20, 2019not set","Mar 19, 2019",,Hardcover,view (with text),/book/show/38820047-killing-commendatore
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Euphoria,"King, Lily*",0802122558,9780802122551,0802122558,256        pp,3.86,"92,598","Jun 03, 2014","Jun 03, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Mar 03, 2019",,Hardcover,view,/book/show/18467802-euphoria
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Be Both,"Smith, Ali",,,B00IPXLLO8,376        pp,3.66,"23,911","Aug 28, 2014","Sep 04, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 18, 2018",,Kindle Edition,view,/book/show/20439328-how-to-be-both
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let the Great World Spin,"McCann, Colum*",1400063736,9781400063734,1400063736,351        pp,3.95,"104,954","Jun 16, 2009","Jun 23, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Let the Great World Spin, Colum McCann's novel of gritty, crowded, sweating New York in the summer of 1974 is an ode to the strong threads, the interwLet the Great World Spin, Colum McCann's novel of gritty, crowded, sweating New York in the summer of 1974 is an ode to the strong threads, the interwoven strands--sometimes nearly invisible--that run through our lives, that tie us together, that link one point with another and then another, and that awaken us sometimes by the sheer audacity of their existence, even in the darkest times. Like the small tightrope walker who, in August 1974, inched his way along the steel thread he'd strung between the Twin Towers, and who brought the city beneath him to a near stop, the people of New York make their way onward, step-by-step, into what lies ahead. Prostitutes, priests, judges, mothers, pedestrians, artists, cops, bartenders, office workers, all balance themselves amid the frequent despair of life, best they can. Along the way, they fail, often. Wars take the sons of mothers. Prostitution and poverty rob the hopes of the young. Car accidents, and snap decisions, and failed marriages, and broken bureaucracies defeat even the most determined, as if life is little but randomness and chaos. And, as readers, we know what is coming--for the Twin Towers, for the people that inhabit them, for the city and the world, in the aftermath of 9/11. But McCann's story, made up of what sometimes feel like unconnected short stories, pulls us forward nonetheless, through the din and the danger. It's strands show us the links in lives, the rebirth and rebuilding, the foundation that, despite frequent destruction, grows stronger--captured brilliantly, in a moment, when a young man on a tightrope performs a death-defying act, against all odds, that makes every little corner of the chaotic world beneath him stop and look and wonder, in awe of the audacity of such hope....more",Notes are private!,0,4,1,not set,not set,"Jul 23, 2018",,Hardcover,view (with text),/book/show/5941033-let-the-great-world-spin
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Member of the Family: My Story of Charles Manson, Life Inside His Cult, and the Darkness That Ended the Sixties","Lake, Dianne",0062695576,9780062695574,0062695576,384        pp,4.18,"6,850","Oct 24, 2017","Oct 24, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Jul 15, 2018",,Hardcover,view,/book/show/34217494-member-of-the-family
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Absolutely on Music: Conversations with Seiji Ozawa,"Murakami, Haruki",1846559197,9781846559198,1846559197,272        pp,3.89,"5,981","Nov 30, 2011","Sep 01, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a gem. Two masters in conversation. Murakami draws out insights from Ozawa, ranging from the drama behind otherwise invisible moments in classThis is a gem. Two masters in conversation. Murakami draws out insights from Ozawa, ranging from the drama behind otherwise invisible moments in classical scores to sharing a box with Liz Taylor and Richard Burton when Ozawa was an assistant conductor of the New York Philharmonic. And Murakami’s mastery of the classical music canon makes me want to go back to my teenage years and substitute a little Brahms for Beach Boys. This caution though: if you are not a committed fan of either of these guys, you will go to sleep reading it. But then that would make you an unfortunate soul. ...more",Notes are private!,0,5,1,not set,not set,"Jul 02, 2018",,Paperback,view (with text),/book/show/28092838-absolutely-on-music
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Sweetness at the Bottom of the Pie        (Flavia de Luce, #1)","Bradley, Alan*",0385342306,9780385342308,0385342306,374        pp,3.82,"168,877","Apr 28, 2009","Apr 28, 2009",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Cute. But not worth the time. I couldn’t wait to be done. To be sure, it is a tidy little mystery with an 11-year old mystery-solver who is a cross beCute. But not worth the time. I couldn’t wait to be done. To be sure, it is a tidy little mystery with an 11-year old mystery-solver who is a cross between Shirley Temple and Sherlock Holmes. But it is too cute, too obvious, and too long. ...more",Notes are private!,0,3,1,Feb 2018,"Feb 11, 2018","Feb 11, 2018",,Hardcover,view (with text),/book/show/6218281-the-sweetness-at-the-bottom-of-the-pie
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Last Bus to Wisdom,"Doig, Ivan",1594632022,9781594632020,1594632022,453        pp,4.08,"16,707","Aug 18, 2015","Aug 18, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 26, 2017","Dec 31, 2017","Jan 04, 2018",,Hardcover,view,/book/show/24611732-last-bus-to-wisdom
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kafka on the Shore,"Murakami, Haruki",1400079276,9781400079278,1400079276,467        pp,4.13,"468,860",Sep 2002,"Jan 03, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Aug 28, 2017",,Paperback,view,/book/show/4929.Kafka_on_the_Shore
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wind-Up Bird Chronicle,"Murakami, Haruki",0965341984,9780965341981,0965341984,607        pp,4.15,"283,472","Apr 12, 1994",1997,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,2,"Aug 28, 2017not set","Oct 09, 2018not set","Jul 04, 2017",,Paperback,view,/book/show/11275.The_Wind_Up_Bird_Chronicle
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Rising Sun, Falling Star","Hall, Vickie*",,,B00D52FD48,346        pp,4.06,18,"Jun 01, 2013","Jun 01, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 12, 2017",,Kindle Edition,view,/book/show/18042305-rising-sun-falling-star
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Lady in Gold: The Extraordinary Tale of Gustav Klimt's Masterpiece, Portrait of Adele Bloch-Bauer","O'Connor, Anne-Marie*",,,,370        pp,3.97,"9,193","Feb 07, 2012","Feb 07, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Feb 06, 2017",,Kindle Edition,view,/book/show/13369549-the-lady-in-gold
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"All the Pretty Horses        (The Border Trilogy, #1)","McCarthy, Cormac",0679744398,9780679744399,0679744398,302        pp,4.04,"123,984",1992,"Jun 29, 1993",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2017",,Paperback,view,/book/show/469571.All_the_Pretty_Horses
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nothing Is True and Everything Is Possible: The Surreal Heart of the New Russia,"Pomerantsev, Peter",1610394550,9781610394550,1610394550,256        pp,3.97,"10,672","Nov 11, 2014","Nov 11, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Peter Pomerantsev was a TV producer/filmmaker working in Russia after Putin came to power. These are his stories about individuals and characters he rPeter Pomerantsev was a TV producer/filmmaker working in Russia after Putin came to power. These are his stories about individuals and characters he ran into....more,Notes are private!,0,1,1,not set,not set,"Dec 06, 2016",,Hardcover,view (with text),/book/show/21413849-nothing-is-true-and-everything-is-possible
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Call for the Dead        (George Smiley, #1)","le Carré, John",0743431677,9780743431675,0743431677,144        pp,3.85,"38,876",1961,"Jan 29, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Le Carre's first George Smiley novel, Call for the Dead is a treat for long-time fans of the author and his famous, doughy, unassuming, yet brilliant Le Carre's first George Smiley novel, Call for the Dead is a treat for long-time fans of the author and his famous, doughy, unassuming, yet brilliant spy. Here we have George as he routinely interviews a Foreign Office official who has been fingered (anonymously) as a Soviet spy. All seems well and good--George allows that at that time, in the early 1960s, virtually every intellectual had toyed with Communism as a viable option for the West--so he gives him the all-clear. But the intrigue that follows brings Smiley together with his spy-hunting team (which becomes famous when Le Carre publishes Tinker, Tailor, Soldier, Spy) as they disentangle multiple allegiances and double-dealing in post-WWII/Coldwar Germany. But I hasten to add that this book also works wonderfully as an introduction to Smiley & Company for new Le Carre readers: it starts up a brilliant fictional character that will entertain you for many books to come....more",Notes are private!,0,0,1,not set,not set,"Dec 02, 2016",,Paperback,view (with text),/book/show/46460.Call_for_the_Dead
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Pigeon Tunnel: Stories from My Life,"le Carré, John",0241976871,9780241976876,0241976871,310        pp,4.06,"6,149","Sep 08, 2016","Sep 08, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 02, 2016","Oct 09, 2018","Dec 02, 2016",,Paperback,view,/book/show/29662443-the-pigeon-tunnel
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How We Got to Now: Six Innovations That Made the Modern World,"Johnson, Steven*",1594632960,9781594632969,1594632960,293        pp,4.11,"14,548","Sep 25, 2014","Sep 30, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 27, 2016",,Hardcover,view,/book/show/20893477-how-we-got-to-now
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dead Wake: The Last Crossing of the Lusitania,"Larson, Erik*",0307408868,9780307408860,0307408868,430        pp,4.11,"144,177",2015,"Mar 03, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 16, 2016",,Hardcover,view,/book/show/22551730-dead-wake
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Serena,"Rash, Ron*",0061470856,9780061470851,0061470856,371        pp,3.54,"36,010","Oct 07, 2008","Oct 07, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm terribly biased, because my 2014 novel, The Woods, covers ground very similar to Ron Rash's, Serena. Both are set in logging camps, during the GreI'm terribly biased, because my 2014 novel, The Woods, covers ground very similar to Ron Rash's, Serena. Both are set in logging camps, during the Great Depression, featuring timber barons clashing with workers, and a hidden mystery. Though my story takes place in the Pacific Northwest, not North Carolina, and ultimately takes a very different route than Serena, it was hard, as an author, to read past these similarities.That said, I'll try. Serena is a beautifully written novel that mixes mystery, ambition, and survival in a steamy cauldron of Depression-era logging, bureaucratic infighting, and, well, sex. It opens with two of the most amazing sentences I've read in a novel, speaking both of their structure and ability to kick-start a plot. From there, we are introduced to characters that open themselves slowly, so readers discover the nuances and imperfections--and their true intentions--only a bit at a time. There's George Pemberton, who wants to build a powerful timber company in the North Carolina hills; his wife, Serena, whose ambition is every bit as grand as her husband's, and exudes a kind of mystical presence; a pregnant young woman, who works for the timber company and carries Pemberton's unborn child; and various roughnecks, troublemakers, snooty-rich businessmen, and hill people.Rash moves this along nicely, and with evenness, and introduces the true complexity that drives the novel to its conclusion with writing that is as gentle and evocative as the North Carolina forests. But I must also say that the story itself is dark, despite all this beauty. I'm usually up for any kind of mayhem or disharmony in a well-written, well-told story, but this one felt too cold. I had trouble feeling empathy for any of the characters and came to dislike them--well, most of them. Maybe Rash is too good at telling about how mean some people can be.But I'd recommend this book nonetheless. A very enjoyable read. It deserves 4 stars...more",Notes are private!,0,0,1,Mar 2016,"Mar 11, 2016","Mar 07, 2016",,Hardcover,view (with text),/book/show/2815590-serena
