,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,William's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Goldfinch,"Tartt, Donna",0316055433,9780316055437,0316055433,771        pp,3.94,"925,224","Sep 23, 2013","Oct 22, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I read all my books now on the Kindle, which means I buy them from Amazon, which means I can read the reader s before I buy. I only read the oneI read all my books now on the Kindle, which means I buy them from Amazon, which means I can read the reader s before I buy. I only read the one star s. The five star s are often written by or for the publisher. One star s are not always perfect - so many complain of the price, etc. - but often you get a hint of whether or not you might like the book. (I know you can do the same thing on Goodreads). The one star  I read of the Goldfinch almost kept me from reading it. The er complained that the pace was too slow moving, with too much description. Did it go on like this forever? I finally decided to give the book a try despite the bad  and was enthralled by what a great book it is.Which leads me to the thought that too many of us today read for the same reason we watch TV: to pass the time quickly without too much involvement, to escape and be entertained. And there are thousands of books that do just that. But is that the only reason to read? Or even reason to read at all? What if a book can slowly drag you into its world, surround you with a the smell and feel of where it takes place? And what if the characters become so real you grow furious with them when they make bad decisions? This is what you find in Dickens and Tolstoy and all the greats. This is what makes literature memorable.The Goldfinch does this better than any contemporary book I've read in years. It's a book for a stormy night and a nice fire (or good radiator). Along with the ability to make you see and know the characters, Tartt tells a good story, making you wonder from the beginning how all of it is going to get straightened out. The breath of the setting, from New York to Las Vegas, from art to antique furniture to drug dealing and criminality id wondrous.So far it is my favorite book of 2013. Highly recommended....more",Notes are private!,0,4,1,not set,"Nov 22, 2013","Nov 27, 2013",,Hardcover,view (with text),/book/show/17333223-the-goldfinch
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Orphan Master's Son,"Johnson, Adam",0812992792,9780812992793,0812992792,443        pp,4.06,"100,177","Jan 10, 2012","Jan 10, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This a very good book indeed. The title derives from a young man who was raised in an orphanage in North Korea and suffers the indignity of being an oThis a very good book indeed. The title derives from a young man who was raised in an orphanage in North Korea and suffers the indignity of being an orphan when he wasn't. His father ran the orphanage.No character in any book you have read suffers through more than the orphan master's son. He has an indomitable will to survive and does through every kind of hardship you can imagine. In telling his story, life in North Korean is described. Johnson is not Korean, but through research and a great story telling ability he had captured what the world sees in that terrible country.Well worth the read!...more",Notes are private!,0,0,1,not set,"Sep 30, 2013","Oct 31, 2013",,Hardcover,view (with text),/book/show/11529868-the-orphan-master-s-son
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Letters of a Successful T.D.,"Keane, John Brendan",0853420947,9780853420941,0853420947,88        pp,4.11,28,Jan 1967,"Jan 01, 1967",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,The is a tiny book by a very funny Irish writer. It consists of letters back a forth between the TD (i.e. Irish representative) and his family. Keane The is a tiny book by a very funny Irish writer. It consists of letters back a forth between the TD (i.e. Irish representative) and his family. Keane was very controversial in Ireland and I think I know why. He had a brilliant knack of describing the Irish as they really are instead of the way they wish they were. And in doing that he described us all....more,Notes are private!,0,0,1,not set,"Oct 10, 2013","Oct 31, 2013",,Paperback,view (with text),/book/show/2065306.Letters_of_a_Successful_T_D_
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Breaking Night: A Memoir of Forgiveness, Survival, and My Journey from Homeless to Harvard","Murray, Liz",0786868910,9780786868919,0786868910,334        pp,4.21,"21,061",2011,"Sep 07, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 31, 2013",,Hardcover,view,/book/show/1432370.Breaking_Night
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Flamethrowers,"Kushner, Rachel*",1439142009,9781439142004,1439142009,383        pp,3.50,"21,681","Apr 02, 2013","Apr 02, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I read this book because it is nominated for a National Book Award and the Kindle version cost only $1.99 at Amazon. Can't beat the price.It's an inteI read this book because it is nominated for a National Book Award and the Kindle version cost only $1.99 at Amazon. Can't beat the price.It's an interesting book, very well written, but I have absolutely no idea what the author was trying to tell me.The story centers on a young woman who goes from Nevada to New York in the 1970s to become an artist and the art scene takes up a good part of the book. She falls for an older artist who comes from a very rich Italian family, visits Italy with him, and becomes involved with social riots taking place there.What did I find wrong with the book? Well, like most literary fiction these days the story jumps around. It's written in the first person when the young woman is speaking. But then tells the story - in bits and pieces - of the Italian artist's grandfather. Added to this are narratives of revolutionaries in New York and stories that might be lies of one of the main artist characters. And then it just ends. It's unfortunate that in today's literary fiction the idea of love and commitment are not allowed. Theres a great deal of sleeping around, but never the connection that seems so important to society's well being and the goal of most of us. Heaven forbid the main characters live happily ever after.Why this is up for a NBA is beyond me. Much of the writing is really beautiful, but the story is disjointed and strange....more",Notes are private!,0,0,1,not set,"Oct 29, 2013","Oct 31, 2013",,Hardcover,view (with text),/book/show/15803141-the-flamethrowers
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Age of Faith        (The Story of Civilization, #4)","Durant, Will",0965000753,9780965000758,0965000753,"1,196        pp",4.38,"1,467",1950,1950,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 31, 2013",,Hardcover,view,/book/show/78166.The_Age_of_Faith
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Son,"Meyer, Philipp*",0062120395,9780062120397,0062120395,561        pp,4.02,"35,475","May 28, 2013","May 28, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Finally I've found an American writer with something to say and the talent to say it. This is a story of five generations of a Texas family and coversFinally I've found an American writer with something to say and the talent to say it. This is a story of five generations of a Texas family and covers the period from 1836 to the present, but it is really a book about America and it's failings. The founding member of the family is captured by indians, lives with them, survives terrible hardships and through grit and cruelty starts a dynasty that end up owning hundreds of thousands of acres of land only to see it ruined by overgrazing and irrigation. It is saved by oil, which makes the family fabulously rich. The story captures well the greed and ruthlessness of the family, and also the guilt of the more thoughtful members. I don't want to say too much to give away the story, which jumps back and forth though the generations, telling the story of the family though the eyes of each generation. Not only is it a great read, it is also a book that makes you think.Phillip Meyer is a write to watch.I cannot wait to read American Rust, his first book. ...more",Notes are private!,0,1,1,not set,"Aug 18, 2013","Aug 18, 2013",,Hardcover,view (with text),/book/show/16240761-the-son
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Bunker Hill: A City, a Siege, a Revolution        (The American Revolution Series)","Philbrick, Nathaniel*",0670025445,9780670025442,0670025445,398        pp,4.05,"9,259","Apr 30, 2013","Apr 28, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 18, 2013",,Hardcover,view,/book/show/16158546-bunker-hill
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Crazy Rich Asians        (Crazy Rich Asians, #1)","Kwan, Kevin*",0385536976,9780385536974,0385536976,403        pp,3.90,"490,033","Jun 11, 2013","Jun 11, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 29, 2013",,Hardcover,view,/book/show/16085481-crazy-rich-asians
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Are All Completely Beside Ourselves,"Fowler, Karen Joy*",0399162097,9780399162091,0399162097,310        pp,3.71,"121,281","May 30, 2013","May 30, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jul 22, 2013","Jul 23, 2013",,Hardcover,view,/book/show/16176440-we-are-all-completely-beside-ourselves
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"American Savage: Insights, Slights, and Fights on Faith, Sex, Love, and Politics","Savage, Dan*",0525954104,9780525954101,0525954104,301        pp,3.96,"4,560","May 21, 2013","May 28, 2013",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I could not finish this book. Of course, saying that will cause an general outcry of homophobia, but I assure you that is not the case. The problem wiI could not finish this book. Of course, saying that will cause an general outcry of homophobia, but I assure you that is not the case. The problem with the book is that it keeps returning to the same theme, sort of like probing a loose tooth - it hurts to keep pulling at it, but you can't stop. I expected more....more",Notes are private!,0,0,1,not set,"Jul 15, 2013","Jul 23, 2013",,Hardcover,view (with text),/book/show/16101100-american-savage
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Interestings,"Wolitzer, Meg",1594488398,9781594488399,1594488398,468        pp,3.59,"118,447","Apr 09, 2013","Apr 09, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jul 19, 2013","Jul 23, 2013",,Hardcover,view,/book/show/15815333-the-interestings
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Bad Monkey        (Andrew Yancy, #1)","Hiaasen, Carl*",0307272591,9780307272591,0307272591,337        pp,3.72,"45,023","Jun 11, 2013","Jun 11, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 23, 2013",,Hardcover,view,/book/show/16071701-bad-monkey
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cooked: A Natural History of Transformation,"Pollan, Michael*",1594204217,9781594204210,1594204217,468        pp,4.07,"24,981","Apr 23, 2013","Apr 23, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm old enough to remember when food was food, before the advent of mass produced meals loaded with salt and chemicals. Everyone should read this bookI'm old enough to remember when food was food, before the advent of mass produced meals loaded with salt and chemicals. Everyone should read this book just to find out what they are missing. Go Michael!...more",Notes are private!,0,0,1,not set,"Jun 10, 2013","Jul 23, 2013",,Hardcover,view (with text),/book/show/15811496-cooked
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Whitey Bulger: America's Most Wanted Gangster and the Manhunt That Brought Him to Justice,"Cullen, Kevin",0393087727,9780393087727,0393087727,496        pp,3.97,"2,019","Feb 11, 2013","Feb 11, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 23, 2013",,Hardcover,view,/book/show/16241144-whitey-bulger
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Merchant, Soldier, Sage: A New History of Power","Priestland, David",184614485X,9781846144851,184614485X,400        pp,3.59,176,"Aug 01, 2012","Sep 25, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 23, 2013",,Hardcover,view,/book/show/15956431-merchant-soldier-sage
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Place of Greater Safety,"Mantel, Hilary",0312426399,9780312426392,0312426399,749        pp,3.99,"10,083",1992,"Nov 14, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I am becoming a real Hillary Mantel fan. This is an earlier book of hers, written in the same style as Woolf Hall, which allows her to cover a huge amI am becoming a real Hillary Mantel fan. This is an earlier book of hers, written in the same style as Woolf Hall, which allows her to cover a huge amount of information and number of characters in a minimum of words. This is the story of the French Revolution or al least the story of the three main characters, Danton, Robespierre, and Camille Desmoulins, three men who were instrumental in bringing on and establishing the revolution but were betrayed by the terror they had created.I've read a number of histories of the French Revolution, including Thomas Carlyle's great work. All of them suffer from the great fault of history, which is to shorten time and make it seem that everything happened quickly, even as they present you very clearly with the dates. The advantage of Mantel's book is that it stretches out time, and shows how each incremental event added to the sum total. It also explains how Napoleon was able to eventually rise to power, even though the story predates him and he is mentioned only once in passing. The leaders of the revolution, including the three main characters, suffered from a sort of paranoia that doomed them to failure and the guillotine.Excellent book....more",Notes are private!,0,1,1,not set,"May 19, 2013","May 20, 2013",,Paperback,view (with text),/book/show/101921.A_Place_of_Greater_Safety
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"All Standing: The Remarkable Story of the Jeanie Johnston, The Legendary Irish Famine Ship","Miles, Kathryn*",1451610130,9781451610130,1451610130,256        pp,3.82,395,"Aug 07, 2012","Jan 08, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 20, 2013",,Hardcover,view,/book/show/13260174-all-standing
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Look Homeward, Angel","Wolfe, Thomas",0743297318,9780743297318,0743297318,544        pp,3.92,"14,820",1929,"Oct 10, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 20, 2013",,Paperback,view,/book/show/12448.Look_Homeward_Angel
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity","Boo, Katherine",1400067553,9781400067558,1400067553,278        pp,3.98,"109,800","Apr 08, 2012","Feb 07, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 20, 2013",,Hardcover,view,/book/show/11869272-behind-the-beautiful-forevers
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Going Clear: Scientology, Hollywood, and the Prison of Belief","Wright, Lawrence*",0307700666,9780307700667,0307700666,430        pp,4.04,"43,267","Jan 17, 2013","Jan 17, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a great read about a very bizarre religion - if you can call it that, which the IRS does. It's the story of how L Ron Hubbard, writer extraordThis is a great read about a very bizarre religion - if you can call it that, which the IRS does. It's the story of how L Ron Hubbard, writer extraordinary, developed the religion we now call Scientology and how it was nurtured in the glitz of Hollywood. Much of it goes beyond understanding and at times you feel L Ron must have been insane. But it is now a growing religion with followers all over the world.Wright does a very good job of being fair with a subject that is easily written off as too odd for words. A good one third of the book is devoted to acknowledgments and notes. In the end he reminds us that all religions are a bit crazy until tradition makes them acceptable.That said, the book is filled with ideas and situations that just seem downright insane. Well worth reading....more",Notes are private!,0,0,1,not set,"Mar 14, 2013","Mar 15, 2013",,Hardcover,view (with text),/book/show/16142053-going-clear
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Gold Mountain: The One-Hundred-Year Odyssey of My Chinese-American Family,"See, Lisa*",0679768521,9780679768524,0679768521,448        pp,3.95,"10,542",1995,"Aug 27, 1996",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I gave this book only three stars because it very much sags toward the end. The story of her great-grandfather and his father in America make it worthI gave this book only three stars because it very much sags toward the end. The story of her great-grandfather and his father in America make it worth reading. The later generations cover so many people it gets a bit boring. I always thought See was full Chinese, but she's only 1/16 Chinese. I'll forgiver her for that slight deception because I really like her books. That one sixteenth was good stock, made up for people who succeeded in a land stacked against them. Why do the people already in America - all of whom came from somewhere else - hate to see new people come? It's a story so often repeated....more",Notes are private!,0,0,1,not set,"Feb 28, 2013","Mar 06, 2013",,Paperback,view (with text),/book/show/24468.On_Gold_Mountain
