,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Piper's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Three Little Birds,"Blake, Sam*",,9781805460121,,480        pp,3.80,304,unknown,"Jan 04, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 10, 2024","Apr 03, 2024",,ebook,view,/book/show/199862698-three-little-birds
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bookbinder of Jericho,"Williams, Pip",1922806625,9781922806628,1922806625,432        pp,4.09,"18,681","Mar 28, 2023","Mar 28, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5Had super high hopes but in the end it was okay.,Notes are private!,0,0,1,not set,"Feb 06, 2024","Apr 03, 2024",,Paperback,view (with text),/book/show/61410172-the-bookbinder-of-jericho
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Family Remains        (The Family Upstairs, #2)","Jewell, Lisa*",1982178892,9781982178895,1982178892,452        pp,3.89,"120,684","Jul 26, 2022","Aug 09, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5,Notes are private!,0,0,1,not set,"Feb 02, 2024","Apr 03, 2024",,Hardcover,view (with text),/book/show/58855185-the-family-remains
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Southern Book Club's Guide to Slaying Vampires,"Hendrix, Grady*",,,,410        pp,3.80,"217,289","Apr 07, 2020","Apr 07, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Another GREAT audiobook. Had me gagging while listening and totally rapt. Also made me feel slightly insane about the injustices of being a woman.,Notes are private!,0,0,1,not set,"Jan 26, 2024","Apr 03, 2024",,Kindle Edition,view (with text),/book/show/44074800-the-southern-book-club-s-guide-to-slaying-vampires
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Red Rising        (Red Rising Saga, #1)","Brown, Pierce*",,,,382        pp,4.27,"433,143","Jan 28, 2014","Jan 28, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.75Classic boy has demons and avenges those he loves, so, pretty fun but not revolutionary.",Notes are private!,0,0,1,not set,"Jan 13, 2024","Jan 17, 2024",,Hardcover,view (with text),/book/show/15839976-red-rising
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sad Girl Novel,"Finkemeyer, Pip",1761152033,9781761152030,B0BRK5NPTF,320        pp,3.11,556,Jun 2023,"Jun 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.25A bit like The Idiot where some things were boring and others were fantastic. Lots of anootations. Helps that I was in Berlin recently.,Notes are private!,0,0,1,not set,"Jan 06, 2024","Jan 17, 2024",,Kindle Edition,view (with text),/book/show/123995598-sad-girl-novel
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everyone in My Family Has Killed Someone: A Novel,"Stevenson, Benjamin*",,9798212200752,,unknown,3.81,"100,304","Mar 29, 2022","Jan 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Audio CD,view,/book/show/63334394-everyone-in-my-family-has-killed-someone
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Diary of a Void,"Yagi, Emi",0143136879,9780143136873,0143136879,213        pp,3.52,"17,915",2020,"Aug 09, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This was an interesting read but just a little bit too much 'I have no idea what's going on' for me. This was an interesting read but just a little bit too much 'I have no idea what's going on' for me. ...more,Notes are private!,0,0,1,"Dec 24, 2023","Dec 27, 2023","Dec 24, 2023",,Hardcover,view (with text),/book/show/59629744-diary-of-a-void
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dark Mode,"Kalagian Blunt, Ashley*",1761151266,9781761151262,B0BHXVKLQD,400        pp,3.97,"2,570","Mar 08, 2023","Mar 08, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5Stayed up late reading this, from jet lag or suspense not sure",Notes are private!,0,0,1,"Dec 21, 2023","Dec 23, 2023","Dec 24, 2023",,Kindle Edition,view (with text),/book/show/63222344-dark-mode
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Maid        (Molly the Maid, #1)","Prose, Nita*",000843574X,,B08R8SH69Y,352        pp,3.78,"538,866","Jan 04, 2022","Jan 20, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5,Notes are private!,0,0,1,"Dec 17, 2023","Dec 21, 2023","Dec 17, 2023",,Kindle Edition,view (with text),/book/show/59452617-the-maid
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"My Sister, the Serial Killer","Braithwaite, Oyinkan*",0385544235,9780385544238,0385544235,226        pp,3.67,"293,701","Jul 17, 2018","Nov 20, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Finally managed to borrow this from the library, surprisingly enjoyable read, glad I managed to get it.",Notes are private!,0,0,1,"Dec 16, 2023","Dec 17, 2023","Dec 17, 2023",,Hardcover,view (with text),/book/show/38819868-my-sister-the-serial-killer
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Case of the Distressed Lady - a Parker Pyne Short Story,"Christie, Agatha",0062302531,9780062302533,0062302531,18        pp,3.76,170,Aug 1932,"Oct 22, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Recommendation from Lola, needed a boost to convince myself I can reach my reading goal by the end of the year.",Notes are private!,0,0,1,"Dec 16, 2023","Dec 16, 2023","Dec 17, 2023",,Kindle Edition,view (with text),/book/show/17851757-the-case-of-the-distressed-lady---a-parker-pyne-short-story
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ballad of Songbirds and Snakes        (The Hunger Games, #0)","Collins, Suzanne",,,,541        pp,3.95,"752,153","May 19, 2020","May 19, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5This was very fun but reading after watching the movie meant it dragged a bit,Notes are private!,0,0,1,Dec 2023,"Dec 11, 2023","Dec 01, 2023",,Kindle Edition,view (with text),/book/show/51901147-the-ballad-of-songbirds-and-snakes
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Want to Die But I Want to Eat Tteokbokki,"Baek, Se-hee",152665086X,9781526650863,152665086X,209        pp,3.31,"51,832","Jun 20, 2018","Jun 23, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 24, 2023","Nov 29, 2023","Nov 24, 2023",,Hardcover,view,/book/show/60400779-i-want-to-die-but-i-want-to-eat-tteokbokki
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Bullet That Missed        (Thursday Murder Club, #3)","Osman, Richard",0241512425,9780241512425,0241512425,413        pp,4.39,"165,262","Sep 15, 2022","Sep 15, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Absolutely I'm enjoying these books more as they go on. I don't care that they're completely unrealistic, I don't care to read about the realistic retAbsolutely I'm enjoying these books more as they go on. I don't care that they're completely unrealistic, I don't care to read about the realistic retirement of an MI6 agent (or is it MI5?), I want to read about kind, loving pensioners. I love Joyce with my entire heart <3...more",Notes are private!,0,0,1,"Nov 20, 2023","Nov 24, 2023","Nov 24, 2023",,Hardcover,view (with text),/book/show/58957615-the-bullet-that-missed
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Man Who Died Twice        (Thursday Murder Club, #2)","Osman, Richard",,,B08GS1BT6T,422        pp,4.38,"222,307","Sep 16, 2021","Sep 16, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Actually preferred this sequel to the first, these characters are growing on me, it's so silly and lovelyActually preferred this sequel to the first, these characters are growing on me, it's so silly and lovely...more",Notes are private!,0,0,1,"Nov 13, 2023","Nov 19, 2023","Nov 24, 2023",,Kindle Edition,view (with text),/book/show/55457493-the-man-who-died-twice
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What My Best Friend Did,"Dawson, Lucy*",1489490442,9781489490445,1489490442,0        pp,3.47,"1,829","Mar 19, 2009","Mar 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 10, 2023",not set,"Nov 10, 2023",,Audio CD,view,/book/show/42931583-what-my-best-friend-did
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pomegranate Season,"Polizzotto, Carolyn",1863682260,9781863682268,1863682260,256        pp,3.77,22,Apr 1998,"Jan 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 10, 2023",not set,"Nov 10, 2023",,Hardcover,view,/book/show/4381487-pomegranate-season
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Heir to Blackwood Library,"Fox, Hester*",1525804782,9781525804786,1525804782,336        pp,3.36,"11,041","Apr 04, 2023","Apr 04, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5I had quite a fun time reading this. Libraries and curses and memory loss wooOOooo,Notes are private!,0,0,1,"Nov 06, 2023","Nov 12, 2023","Nov 10, 2023",,Paperback,view (with text),/book/show/61155405-the-last-heir-to-blackwood-library
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The List,"Adegoke, Yomi",0008544514,9780008544515,B09QFSCGDL,384        pp,3.11,"16,882","Oct 03, 2023","Jul 20, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5Just for fun and to see what the hype was about. Reinforces my desire to never be in the public light I can't imagine anything worse.3.5Just for fun and to see what the hype was about. Reinforces my desire to never be in the public light I can't imagine anything worse....more,Notes are private!,0,0,1,Nov 2023,"Nov 05, 2023","Nov 01, 2023",,Hardcover,view (with text),/book/show/108918649-the-list
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Silence,"Allott, Susan*",0008389772,9780008389772,0008389772,362        pp,3.80,"3,336","May 19, 2020","Apr 20, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 22, 2023","Oct 25, 2023","Oct 30, 2023",,Paperback,view,/book/show/51071757-the-silence
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secrets of Midwives,"Hepworth, Sally*",,,,320        pp,3.87,"28,181","Feb 01, 2015",2021,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5Audiobook fun,Notes are private!,0,0,1,"Oct 10, 2023","Oct 14, 2023","Oct 16, 2023",,Paperback,view (with text),/book/show/59770606-the-secrets-of-midwives
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Home Scar,"MacMahon, Kathleen",1844885992,9781844885992,1844885992,336        pp,3.74,268,unknown,"Feb 09, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"2.5Took me ages and I got bored, the quality of the book I'm sure is good2.5Took me ages and I got bored, the quality of the book I'm sure is good...more",Notes are private!,0,0,1,"Oct 16, 2023","Oct 22, 2023","Oct 16, 2023",,Paperback,view (with text),/book/show/62345197-the-home-scar
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Summer Book,"Jansson, Tove",0954221710,9780954221713,0954221710,192        pp,4.03,"39,198",1972,"May 29, 2003",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5This was a lovely book but the reality is that nature is not really one of my interests, and so I find it difficult to fully engage.",Notes are private!,0,0,1,"Dec 12, 2023","Dec 16, 2023","Oct 08, 2023",,Paperback,view (with text),/book/show/79550.The_Summer_Book
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hike,"Clarke, Lucy*",0008462429,9780008462420,0008462429,384        pp,3.73,"19,349","Apr 27, 2023","Apr 27, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5Finally broken the bad audiobook streak,Notes are private!,0,0,1,"Oct 07, 2023","Oct 11, 2023","Oct 07, 2023",,Hardcover,view (with text),/book/show/61424779-the-hike
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Children of Paradise,"Grudova, Camilla",183895631X,9781838956318,183895631X,200        pp,3.50,"2,507","Jul 07, 2022","Jul 07, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Constant work, rotting away, lonely young person -core",Notes are private!,0,1,1,Oct 2023,"Oct 04, 2023","Oct 01, 2023",,Hardcover,view (with text),/book/show/60450976-children-of-paradise
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vanishing Museum on the Rue Mistral        (Verlaque and Bonnet #9),"Longworth, M.L.*",0143135295,9780143135296,0143135295,336        pp,4.09,"1,468","Apr 13, 2021","Apr 13, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 24, 2023",Oct 2023,"Sep 24, 2023",,Paperback,view,/book/show/54994166-the-vanishing-museum-on-the-rue-mistral
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bloodrust and other stories,"Prendergast, Julia",,,B0B9FWBB8Z,unknown,4.00,6,unknown,"Aug 10, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5,Notes are private!,0,0,1,"Sep 19, 2023","Sep 23, 2023","Sep 24, 2023",,Kindle Edition,view (with text),/book/show/75601592-bloodrust-and-other-stories
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Warlow Experiment,"Nathan, Alix",1788161696,9781788161695,1788161696,288        pp,3.30,"1,774","Jul 04, 2019","Jul 04, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5This was a very interesting premise, but kind of dragged on.",Notes are private!,0,0,1,"Sep 13, 2023","Sep 18, 2023","Sep 13, 2023",,Hardcover,view (with text),/book/show/43861558-the-warlow-experiment
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maybe in Another Life,"Reid, Taylor Jenkins*",176110313X,9781761103131,176110313X,368        pp,3.80,"254,727","Jul 07, 2015","Jul 07, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** 3.75This was a lovely book. Silly and sappy and lovely. I found it incredibly reassuring that both realities turned out wonderful, g**spoiler alert** 3.75This was a lovely book. Silly and sappy and lovely. I found it incredibly reassuring that both realities turned out wonderful, gives me hope for life. I may have slightly teared up on the train reading the acknowledgments. ...more",Notes are private!,0,0,1,"Sep 10, 2023","Sep 12, 2023","Sep 12, 2023",,Paperback,view (with text),/book/show/59607278-maybe-in-another-life
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Poppy War        (The Poppy War, #1)","Kuang, R.F.*",0062662597,9780062662590,,545        pp,4.17,"260,060","May 01, 2018","May 01, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I forgot how fun fantasy can be, the fight scenes in this book made me stop eating my lunch from sheer NERVES",Notes are private!,0,1,1,"Sep 02, 2023","Sep 08, 2023","Sep 02, 2023",,ebook,view (with text),/book/show/35068705-the-poppy-war
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"My Name is Lucy Barton        (Amgash, #1)","Strout, Elizabeth*",,,B016AZWRIQ,196        pp,3.58,"161,437","Jan 12, 2016","Feb 04, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 18, 2023","Aug 22, 2023","Aug 27, 2023",,Kindle Edition,view,/book/show/27875970-my-name-is-lucy-barton
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Offing,"Myers, Benjamin*",1526611309,9781526611307,1526611309,261        pp,4.25,"14,692","Aug 22, 2019","Mar 05, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was very lovely, a young man venturing through the Irish highlands learning who he is in the world under the guidance of a woman who has seen theThis was very lovely, a young man venturing through the Irish highlands learning who he is in the world under the guidance of a woman who has seen the world and lived....more",Notes are private!,0,0,1,"Aug 23, 2023","Aug 31, 2023","Aug 23, 2023",,Paperback,view (with text),/book/show/52964846-the-offing
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sea Change,"Chung, Gina*",103501940X,9781035019403,B0BTYSG1MZ,289        pp,3.59,"5,352","Mar 28, 2023","Aug 10, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5I love books where the sci-fi elements simply exist and aren't a big deal3.5I love books where the sci-fi elements simply exist and aren't a big deal...more,Notes are private!,0,0,1,"Aug 23, 2023","Aug 31, 2023","Aug 23, 2023",,Kindle Edition,view (with text),/book/show/122790527-sea-change
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Purple Hibiscus,"Adichie, Chimamanda Ngozi",,,B009YBU8CQ,322        pp,4.18,"119,968","Oct 30, 2003",Jun 2018,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 15, 2023","Aug 17, 2023","Aug 15, 2023",,Kindle Edition,view,/book/show/40651692-purple-hibiscus
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Games and Rituals,"Heiny, Katherine",052565951X,9780525659518,,226        pp,3.84,"3,064","Apr 18, 2023","Apr 18, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This was a great collection,Notes are private!,0,0,1,"Aug 08, 2023","Aug 11, 2023","Aug 08, 2023",,Hardcover,view (with text),/book/show/61387869-games-and-rituals
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Search History,"Taylor, Amy",1761068504,9781761068508,1761068504,320        pp,3.52,"2,435","May 02, 2023","May 02, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5,Notes are private!,0,0,1,"Aug 06, 2023","Aug 07, 2023","Aug 06, 2023",,Paperback,view (with text),/book/show/122990830-search-history
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pizza Girl,"Frazier, Jean Kyoung*",0008356440,9780008356446,0008356440,208        pp,3.38,"23,093","Jun 09, 2020","Apr 01, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 31, 2023","Aug 04, 2023","Aug 02, 2023",,Paperback,view,/book/show/58037661-pizza-girl
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everything You Ever Wanted,"Sauma, Luiza*",024136356X,9780241363560,024136356X,272        pp,3.63,"4,835","Jun 27, 2019","Sep 10, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This was a good book. It reminded me a bit of Severance by Ling Ma.,Notes are private!,0,0,1,"Jul 31, 2023","Aug 02, 2023","Aug 02, 2023",,Paperback,view (with text),/book/show/49095695-everything-you-ever-wanted
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All The Little Things,"Lawton, Sarah*",1800321686,,B08L61YW7H,230        pp,3.84,"1,330","Mar 25, 2021","Mar 25, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5,Notes are private!,0,0,1,"Jul 27, 2023","Jul 30, 2023","Jul 30, 2023",,Kindle Edition,view (with text),/book/show/57090099-all-the-little-things
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Thursday Murder Club        (Thursday Murder Club, #1)","Osman, Richard",,,B07S5D5TH7,382        pp,3.89,"475,943","Sep 03, 2020","Sep 03, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5This was fun, old people causing havoc. My inability to retain names makes reading crime difficult. Plot twist and identify revalued, all I know is3.5This was fun, old people causing havoc. My inability to retain names makes reading crime difficult. Plot twist and identify revalued, all I know is that the name is vaguely familiar…...more",Notes are private!,0,0,1,"Jul 23, 2023","Jul 28, 2023","Jul 23, 2023",,Kindle Edition,view (with text),/book/show/46000520-the-thursday-murder-club
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,None of This Is True,"Jewell, Lisa*",,,B0BH7VSYVZ,400        pp,4.15,"425,902","Jul 20, 2023","Jul 20, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,4.5This was a fantastic audiobook. Makes me remember that not all books make good audiobooks. This was a high-quality production.,Notes are private!,0,0,1,not set,"Jan 17, 2024","Jul 23, 2023",,Kindle Edition,view (with text),/book/show/67990541-none-of-this-is-true
