,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Steve's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sunburn,"Lippman, Laura*",0062389920,9780062389923,0062389920,292        pp,3.47,"23,369","Feb 20, 2018","Feb 20, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is my first Laura Lippman novel but not the last. The cover has a Washington Post blurb saying she's one of our best novelists, period. I agree. This is my first Laura Lippman novel but not the last. The cover has a Washington Post blurb saying she's one of our best novelists, period. I agree. It's very skillfully done, paced well, clever, rich in characterizations of very different people well rendered, and with a tough, smart main character, Polly, who will have you in her corner all the way. I just finished this. I'm full of admiration for Laura Lippman. I'd never heard of her. It's taken me years to get over being an English major snob about detective fiction. My loss. Elmore Leonard cured me of that and Laura Lippman has shown me how good and complex this kind of novel can be, especially in the hands of such an accomplished writer as she is. (The Goodreads site says I have read this twice. Not so. Just this once but I don't know how to correct the error.)...more",Notes are private!,0,0,2,May 2018not set,May 2018not set,"May 27, 2018",,Hardcover,view (with text),/book/show/35207298-sunburn
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Generosity: An Enhancement,"Powers, Richard",0374161143,9780374161149,0374161143,296        pp,3.59,"2,301",2009,"Sep 29, 2009",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Interesting in spurts and then it bogged down for me. I found it hard to believe in a plot that calls for serious scientists to think there could be sInteresting in spurts and then it bogged down for me. I found it hard to believe in a plot that calls for serious scientists to think there could be such a thing as a ""happiness"" gene. I began to get irritated with it about half way through and then plain annoyed. Powers can be awfully pretentious....more",Notes are private!,0,0,1,May 2018,May 2018,"May 20, 2018",,Hardcover,view (with text),/book/show/6346773-generosity
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vegetarian,Han Kang,0553448188,9780553448184,0553448188,188        pp,3.58,"165,691","Oct 30, 2007","Feb 02, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I don't know about this one. I finished it. The best I could come up with is three stars, and that's for style. Is what happens to the main character I don't know about this one. I finished it. The best I could come up with is three stars, and that's for style. Is what happens to the main character her rejection of life in a culture that sanctions violence? Also, I've read before about how hierarchichal Korean society is, and how that might have been responsible for a Korean Air 747 crashing. The first officer couldn't bring himself to tell the captain to pull up on the effing stick. I guess the captain was from a higher stratum of society and inferiors DO NOT tell him what to do. That hierarchy is also reflected in the forms of address people in different strata use to address each other. That's from memory. Happened quite a while ago. Probably wrong...more",Notes are private!,0,0,1,"May 18, 2018","May 20, 2018","May 18, 2018",,Hardcover,view (with text),/book/show/25489025-the-vegetarian
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vanishing Princess,"Diski, Jenny",0297840622,9780297840626,0297840622,192        pp,4.05,510,"May 08, 1995",1995,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Review in progress,Notes are private!,0,0,1,"May 05, 2018","May 18, 2018","May 05, 2018",,,view (with text),/book/show/1078869.The_Vanishing_Princess
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Little Red Chairs,"O'Brien, Edna",0316378232,9780316378239,0316378232,299        pp,3.24,"9,953","Oct 27, 2015","Mar 29, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Review in progress,Notes are private!,0,0,1,"Apr 27, 2018","May 05, 2018","Apr 27, 2018",,Hardcover,view (with text),/book/show/25064563-the-little-red-chairs
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Munich,"Harris, Robert*",1473519691,9781473519695,1473519691,352        pp,3.87,"24,899","Sep 21, 2017","Sep 21, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A wonderful rendering of the complex issues surrounding the Munich agreement between Hitler and Chamberlain that the British hoped would prevent a genA wonderful rendering of the complex issues surrounding the Munich agreement between Hitler and Chamberlain that the British hoped would prevent a general war. It's taut while not quite a thriller (we know what's going to happen). What was exceptional to me is the way he shows us the nightmarish creepiness of the Nazis and the fear they instilled not just on those they threatened but among themselves. He shows a Germany run by an insane man who attracted other insane men who wanted...what? What did they want? People knew Hitler was nuts but they were unwilling to take the measures that might have stopped him. They thought they might be able to finesse their way out of a confrontation and avoid plunging Europe again into war when the awful carnage of WWI was still fresh in their minds, an understandable collective case of PTSD. We can hardly blame them. We look back on a time when those trying to stop Hitler were taking measures with results that would be in their futures, as the author quotes an historian at the beginning of the book. They did the best they could, took a chance, and lost....more",Notes are private!,0,0,1,"Apr 24, 2018","Apr 27, 2018","Apr 24, 2018",,Kindle Edition,view (with text),/book/show/33539583-munich
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chicago,"Mamet, David",0062797212,9780062797216,,352        pp,2.92,"1,444","Feb 27, 2018","Feb 27, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was okay but that's all. Mamet is supposed to write interesting dialogue but too often it's as if he writes a sentence with a lot of clauses and This was okay but that's all. Mamet is supposed to write interesting dialogue but too often it's as if he writes a sentence with a lot of clauses and then scrambles them up before putting them back on the page. I guess that's supposed to indicate ""style,"" though, to me, it's distracting. I know a lot of people often talk in this disjointed way more or less naturally. We say something that's not quite right and then have to go back and correct that or add to it or whatever, but we do the going back and correcting by going forward with explanations, adding stuff to clarify what we just said incompletely. Some of that is okay but it seemed overdone to me. There are a lot of hard-bitten, Chicago tough guys-- cops and criminals, etc., and some of that is okay, even good. So, for a slice of nitty-gritty Chicago life after WWI, I suppose this will do....more",Notes are private!,0,0,1,"Apr 05, 2018","Apr 24, 2018","Apr 05, 2018",,ebook,view (with text),/book/show/35098030-chicago
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Idiot,"Batuman, Elif",1594205612,9781594205613,1594205612,423        pp,3.67,"79,390","Mar 14, 2017","Mar 14, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Appealing and very smart.,Notes are private!,0,0,2,"Apr 05, 2018not set","Apr 05, 2018not set","Apr 05, 2018",,Hardcover,view (with text),/book/show/30962053-the-idiot
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Gods of Guilt        (The Lincoln Lawyer, #5; Harry Bosch Universe, #26)","Connelly, Michael*",0316069515,9780316069519,0316069515,389        pp,4.20,"61,992","Dec 02, 2013","Dec 02, 2013",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I did finish this. But unless you love detective novels I wouldn't bother. There are better authors.I did finish this. But unless you love detective novels I wouldn't bother. There are better authors....more,Notes are private!,0,0,2,"Apr 05, 2018not set","Apr 05, 2018not set","Apr 05, 2018",,Hardcover,view (with text),/book/show/17333227-the-gods-of-guilt
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Tyranny: Twenty Lessons from the Twentieth Century,"Snyder, Timothy*",0804190119,9780804190114,0804190119,126        pp,4.19,"63,183","Feb 28, 2017","Mar 28, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 05, 2018","Apr 05, 2018","Apr 05, 2018",,Paperback,view,/book/show/33917107-on-tyranny
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Heather, the Totality","Weiner, Matthew",0316435309,9780316435307,,144        pp,2.92,"6,892",Nov 2017,"Nov 01, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 05, 2018","Apr 05, 2018","Apr 05, 2018",,ebook,view,/book/show/31933063-heather-the-totality
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sing, Unburied, Sing","Ward, Jesmyn*",,,,285        pp,4.01,"135,224","Sep 05, 2017","Sep 05, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 05, 2018","Apr 05, 2018","Apr 05, 2018",,Hardcover,view,/book/show/32920226-sing-unburied-sing
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Why Buddhism Is True: The Science and Philosophy of Meditation and Enlightenment,"Wright, Robert",1508235406,9781508235408,1508235406,11        pp,4.01,"23,178","Aug 08, 2017","Aug 08, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This very good book is a clear explanation of the central tenets of Buddhism without going into the weeds too far. This is for westerners interested iThis very good book is a clear explanation of the central tenets of Buddhism without going into the weeds too far. This is for westerners interested in a secular system of thought that provides a way to relate to the uncertainties of life without worrying about a vengeful God. While none of these ideas are unique to Buddhism, they were at the time of Siddhartha, the Budda, and they don't form the central core of belief of the Abrahamic religions. I'm thinking of Christianity and Islam, not Judaism. Christians and Muslims have God or Allah to answer to. The Jews are a lot more circumspect about defining the Deity. My impression is that they regard even talking about a Deity as presumptuous. That makes more sense to me. Now that science has disclosed just how immense and bizarre the universe actually is it seems the Jews got that one right, that is, presuming you believe in a deity at all. So if are you wondering how to live in this world without being freighted down by the doctrinal nonsense the entrenched religions (Christianity and Islam) insist you'd better believe, or else, pal, this is the book for you....more",Notes are private!,0,0,1,"Feb 25, 2018","Feb 25, 2018","Feb 25, 2018",,Audiobook,view (with text),/book/show/32895535-why-buddhism-is-true
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Short History of Nearly Everything,"Bryson, Bill",076790818X,9780767908184,076790818X,544        pp,4.21,"386,062",2003,"Sep 14, 2004",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 26, 2017","Feb 25, 2018","Jul 26, 2017",,Paperback,view,/book/show/21.A_Short_History_of_Nearly_Everything
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Pastoral,"Roth, Philip",,,0099771810,432        pp,3.94,"80,029","May 12, 1997","Sep 01, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I like Roth and his snap, crackle, pop brain. He's so smart he's exhausting but he convinces me that if you don't pay careful attention to everything-I like Roth and his snap, crackle, pop brain. He's so smart he's exhausting but he convinces me that if you don't pay careful attention to everything-- and it takes intelligence to do that even if you don't quite get it-- you'll miss the crucial point he's so patiently trying to make plain.This is about Swede Lavov, a lucky guy. He's big, tall, athletic, smart, handsome, popular, effortlessly successful in everything he does while at the same time being kind, tolerant, hard-working, honest, decent, considerate, self-sacrificing, modest, fated for a greatness that is expected and cheered by his grateful admirers, and then the whole thing comes crashing down and leaves him smashed and face-down in the slough of despond, and none of it is his fault. I'll leave it at that. See, there's this big mismatch between what we think is reality and reality, and the real reality is going to get us, all of us, and there's nothing we can do about it. Even so, Roth tries. He's a serious man with a grimly comedic take on the whole thing, the whole catastrophe. He tries and tries and tries again. Sisyphus is proud of him....more",Notes are private!,0,0,1,"Jun 16, 2017","Jul 26, 2017","Jun 16, 2017",,Paperback,view (with text),/book/show/11650.American_Pastoral
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eileen,"Moshfegh, Ottessa",1594206627,9781594206627,1594206627,260        pp,3.58,"96,233","Aug 18, 2015","Aug 18, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I gave this three stars because she is a pretty good writer, especially in the second half of this book. But the main character is not sympathetic enoI gave this three stars because she is a pretty good writer, especially in the second half of this book. But the main character is not sympathetic enough, in my view, even though her family situation is terrible. There are plot points that are problematic; and there is one character who just sort of disappears....more",Notes are private!,0,0,1,"Jun 10, 2017","Jun 10, 2017","Jun 10, 2017",,Hardcover,view (with text),/book/show/23453099-eileen
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Exit West,"Hamid, Mohsin",0735212171,9780735212176,0735212171,231        pp,3.75,"138,453","Mar 07, 2017","Mar 07, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A good story of what I guess it's like to be a refugee from Syria. Anyone who thinks his or her life results from the ""choices"" they make ought to reaA good story of what I guess it's like to be a refugee from Syria. Anyone who thinks his or her life results from the ""choices"" they make ought to read it....more",Notes are private!,0,0,1,"Jun 10, 2017","Jun 10, 2017","Jun 10, 2017",,Hardcover,view (with text),/book/show/30688435-exit-west
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Moon Tiger,"Lively, Penelope",0802135331,9780802135339,0802135331,208        pp,3.91,"16,669",1987,"Sep 18, 1997",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is first rate. For other reasons I had to return some of her books to the library but I will take them back out as soon as I can. It's a love stoThis is first rate. For other reasons I had to return some of her books to the library but I will take them back out as soon as I can. It's a love story, in major part, but also a narrative of a young woman's experiences in 30's and 40's England, and then in North Africa during WWII, then the decades following, told from memory as she nears the end of her life. She also displays in admirable fashion that trait that I associate with so many of the British of looking at the world and people straight on, without illusion, without sentimentality, or at least limiting each as much as possible, and it's that attitude that makes real emotion possible. P.S. I have to add the last image in the book is among the most moving I've ever read....more",Notes are private!,0,0,1,"May 25, 2017","May 25, 2017","May 25, 2017",,Paperback,view (with text),/book/show/130028.Moon_Tiger
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Three Novels of the Early 1960s: The Zebra-Striped Hearse / The Chill / The Far Side of the Dollar,"Macdonald, Ross",1598534793,9781598534795,1598534793,792        pp,4.46,65,"Apr 19, 2016","Apr 19, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Very good mystery novels by the observant Ross Macdonald. Smart, laconic, with complicated, well motivated plots.",Notes are private!,0,2,1,"Apr 28, 2017","May 25, 2017","Apr 28, 2017",,Hardcover,view (with text),/book/show/25982870-three-novels-of-the-early-1960s
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Fine Mess: A Global Quest for a Simpler, Fairer, and More Efficient Tax System","Reid, T.R.",1594205515,9781594205514,1594205515,288        pp,4.22,"1,039","Apr 04, 2017","Apr 04, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Another very good book by T.R. Reid. Read his THE HEALING OF AMERICA about health systems around the world compared to ours, and you will weep. This oAnother very good book by T.R. Reid. Read his THE HEALING OF AMERICA about health systems around the world compared to ours, and you will weep. This one, about our tax ""system"" will have you sobbing. We waste so much money. I read the other day that so far we have spent 800 billion in Afghanistan and there is no end in sight. Same thing for health, same thing for our method of taxation. Huge amounts of money squandered. We could have a society with every modern amenity and still have rich people, no homeless people, a life as free from existential dread as we know how to produce for everyone with an even better one in realistic reach if we devoted enough to research. If we did that a phrase like ""American exceptionalism"" might make some sense. But no. Greed and stupidity hold us back. That's it. Those two....more",Notes are private!,0,0,1,"Apr 28, 2017","Apr 28, 2017","Apr 28, 2017",,Hardcover,view (with text),/book/show/32301945-a-fine-mess
