,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Patricia's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hope to Die        (DI Fawley, #6)","Hunter, Cara*",0063263815,9780063263819,0063263815,432        pp,4.36,"5,549","Jul 21, 2022","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Paperback,view,/book/show/200525230-hope-to-die
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On the Sea of Memory: A Journey from Forgetting to Remembering,"Cott, Jonathan",1400060583,9781400060580,1400060583,240        pp,3.33,30,"Oct 04, 2005","Oct 04, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Hardcover,view,/book/show/720971.On_the_Sea_of_Memory
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Words With My Father: A Bipolar Journey Through Turbulent Times,"Klessig, Lowell",0960118934,9780960118939,B0BXFN7B49,264        pp,4.21,38,"Mar 02, 2023","Mar 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Kindle Edition,view,/book/show/123843860-words-with-my-father
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Were Liars,"Lockhart, E.*",0385741278,9780385741279,0385741278,280        pp,3.67,"1,144,783","May 13, 2014","May 29, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Really good and intersting book. It seemed to be a different way of telling a story, the way it was written. There were parts of it where you figured Really good and intersting book. It seemed to be a different way of telling a story, the way it was written. There were parts of it where you figured out the characters were not really real. The story is about a young girl who is trying to remember what happened to her after an accident with a head memory that gave her memory loss and PTSD. Her mother has told family members not to talk to her about the incident. The girl and her mother go back to place the accident happens to spend time and as her memory comes back, she realizes that things that happened were a bigger tragedy than she thought. As I said, IMO, a very different way of telling the story. Quick read and very interesting. Could not put it down. ...more",Notes are private!,0,7,1,"Apr 03, 2024","Apr 06, 2024","Apr 03, 2024",,Paperback,view (with text),/book/show/38139937-we-were-liars
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Annie's Ghosts: A Journey Into a Family Secret,"Luxenberg, Steve*",,,B002EBDPHI,428        pp,3.77,"3,319",2009,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Kindle Edition,view,/book/show/8450602-annie-s-ghosts
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Father, Son and CIA","Weinstein, Harvey M.",0887801595,9780887801594,0887801595,308        pp,3.93,14,"Jan 01, 1988","Jan 01, 1990",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Paperback,view,/book/show/103135.Father_Son_and_CIA
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rednecks,"Brown, Taylor*",1250329345,9781250329349,B0CGRYJPTQ,320        pp,4.24,121,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Kindle Edition,view,/book/show/198111988-rednecks
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ferryman,"Cronin, Justin*",0525619496,9780525619499,0525619496,560        pp,3.94,"27,658","May 02, 2023","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Paperback,view,/book/show/205064676-the-ferryman
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Noise Downstairs,"Barclay, Linwood*",0062678256,9780062678256,0062678256,357        pp,3.84,"15,895","Jul 12, 2018","Jul 24, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Hardcover,view,/book/show/36461789-a-noise-downstairs
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Who Was Levi Strauss?,"Labrecque, Ellen",0448488566,9780448488561,0448488566,112        pp,4.29,87,unknown,"Mar 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/54226922-who-was-levi-strauss
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The One that Got Away with Murder,"Lundy, Trish*",1250292166,9781250292162,B0C39ZRNGK,382        pp,3.99,460,"Apr 16, 2024","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/122765706-the-one-that-got-away-with-murder
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shelter,"Yun, Jung*",1250075645,9781250075642,1250075645,336        pp,3.73,"8,662","Mar 01, 2016","Mar 15, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Unknown Binding,view,/book/show/25658832-shelter
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Idiot,"Batuman, Elif",014311106X,9780143111061,014311106X,432        pp,3.67,"79,367","Mar 14, 2017","Feb 13, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Paperback,view,/book/show/35535660-the-idiot
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Closers,"Connelly, Michael*",145555071X,9781455550715,145555071X,463        pp,4.18,"56,289","May 01, 2005","Dec 16, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Mass Market Paperback,view,/book/show/21926855-the-closers
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Invisible World,"Fussner, Nora",0593684842,9780593684849,B0BSKXW6YZ,292        pp,3.52,337,"Sep 26, 2023","Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Kindle Edition,view,/book/show/98535773-the-invisible-world
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Darling Girls,"Hepworth, Sally*",125028452X,9781250284525,125028452X,368        pp,4.21,"17,488","Apr 23, 2024","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/127280429-darling-girls
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House on Biscayne Bay,"Cleeton, Chanel*",,,,336        pp,3.98,599,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,ebook,view,/book/show/205163142-the-house-on-biscayne-bay
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,French Exit,"deWitt, Patrick",0062846949,9780062846945,,256        pp,3.55,"26,073","Aug 28, 2018","Aug 28, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,ebook,view,/book/show/36300687-french-exit
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Snowbound,"Barker, Freya*",,,B0CLKY9FC8,69        pp,4.41,275,unknown,"Dec 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Kindle Edition,view,/book/show/201799349-snowbound
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Fifth Witness        (The Lincoln Lawyer, #4; Harry Bosch Universe, #23)","Connelly, Michael*",0316069353,9780316069359,0316069353,421        pp,4.22,"77,905","Apr 05, 2011","Apr 05, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/9681098-the-fifth-witness
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When I Found You,"Hyde, Catherine Ryan*",161109979X,9781611099799,161109979X,410        pp,4.02,"45,293","Aug 13, 2009","Apr 23, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** This is one of the best books I've read in a long time. It had so much heart. This author is very good at that. This is a story abou**spoiler alert** This is one of the best books I've read in a long time. It had so much heart. This author is very good at that. This is a story about a man named Nathan who finds a new born baby abandoned in the woods while he is duck hunting. The baby is eventually given to his grandmother who names him Nathan but calls him Nat. As the child grows up he becomes hostile and his grandmother has many problems with him. She ends up giving the young boy to Nathan, the man, because she can't control him and she thinks Nathan can help him. The story goes through the life and relationship of this man and the boy as he grows up into a man. It takes a while for the young one to realize that older Nathan is just trying to help him but under the guidance he finally grows up into a substantial person and starts to understand everything that has happened to him. This is a story of love and devotion. This man gave his whole life to this young man because he felt like that was what he was led to do, even gave up his marriage but he was always there for him. LIke I said this story has so much heart and I could not put it down until I finished....more",Notes are private!,1,11,1,"Mar 26, 2024","Mar 30, 2024","Mar 26, 2024",,Paperback,view (with text),/book/show/17199407-when-i-found-you
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Winter King        (The Arthur Books, #1)","Cornwell, Bernard*",0718137620,9780718137625,0718137620,448        pp,4.26,"48,898",Feb 1994,"Jan 01, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/3104570-the-winter-king
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Flames,"Haydock, Sophie*",1419766317,9781419766312,1419766317,464        pp,4.02,"1,788","Mar 17, 2022","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/61783836-the-flames
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What You Are Looking For Is in the Library,"Aoyama, Michiko",1335005625,9781335005625,1335005625,304        pp,4.10,"31,650","Nov 09, 2020","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/91274427-what-you-are-looking-for-is-in-the-library
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Destroy America in Three Easy Steps,"Shapiro, Ben",006300187X,9780063001879,006300187X,288        pp,4.10,"4,530","Jul 21, 2020","Jul 21, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Hardcover,view,/book/show/50496911-how-to-destroy-america-in-three-easy-steps
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One by One,"McFadden, Freida*",,,B089XYQ8SH,295        pp,4.01,"126,502","Jul 13, 2020","Jul 13, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Kindle Edition,view,/book/show/54197718-one-by-one
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Summer Place,"Weiner, Jennifer*",1501133578,9781501133572,1501133578,432        pp,3.56,"62,503","May 10, 2022","May 10, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Hardcover,view,/book/show/58532615-the-summer-place
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Cheerfully Refuse,"Enger, Leif",0802162932,9780802162939,0802162932,336        pp,4.18,317,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Hardcover,view,/book/show/198276006-i-cheerfully-refuse
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Used to Live Here,"Kliewer, Marcus*",1982198788,9781982198787,1982198788,320        pp,4.22,175,"Jun 18, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Hardcover,view,/book/show/199798006-we-used-to-live-here
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Off the Air,"Estes, Christina*",1250863856,9781250863850,1250863856,320        pp,3.13,824,"Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Hardcover,view,/book/show/127305643-off-the-air
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House of the Spirits,"Allende, Isabel*",0553383809,9780553383805,0553383809,448        pp,4.28,"269,466",1982,"Aug 30, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Paperback,view,/book/show/9328.The_House_of_the_Spirits
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The New Couple in 5B,"Unger, Lisa*",0778333345,9780778333340,0778333345,382        pp,3.68,"9,786","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Hardcover,view,/book/show/128007059-the-new-couple-in-5b
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Place for Vanishing,"Fraistat, Ann*",0593382218,9780593382219,0593382218,464        pp,4.02,568,"Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Hardcover,view,/book/show/160047194-a-place-for-vanishing
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Talking to Strangers,"Barton, Fiona*",1787630854,9781787630857,B0CBTYCZQZ,368        pp,3.96,24,"Aug 15, 2024","Jul 25, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Kindle Edition,view,/book/show/123202705-talking-to-strangers
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hitchcock Hotel,"Wrobel, Stephanie*",059354711X,9780593547113,059354711X,352        pp,4.07,29,"Sep 24, 2024","Sep 24, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Hardcover,view,/book/show/204316865-the-hitchcock-hotel
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Very Worst Missionary: A Memoir or Whatever,"Wright, Jamie*",,,B073QZPYLX,230        pp,4.07,"3,791","Apr 03, 2018","Apr 03, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Kindle Edition,view,/book/show/36519506-the-very-worst-missionary
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Game of Lies        (DC Morgan, #2)","Mackintosh, Clare*",1728296501,9781728296500,1728296501,368        pp,4.03,"4,539","Jul 20, 2023",Apr 2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Hardcover,view,/book/show/123513986-a-game-of-lies
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All Fours,"July, Miranda*",0593190262,9780593190265,0593190262,336        pp,4.30,158,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Hardcover,view,/book/show/197798168-all-fours
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tales from Outer Suburbia,"Tan, Shaun",0545055873,9780545055871,0545055873,96        pp,4.33,"9,675",2008,"Feb 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Hardcover,view,/book/show/5970382-tales-from-outer-suburbia
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Calamity of Souls,"Baldacci, David*",1538765020,9781538765029,1538765020,496        pp,4.56,263,"Apr 16, 2024","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Hardcover,view,/book/show/198494052-a-calamity-of-souls
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Road from Belhaven,"Livesey, Margot*",0593537041,9780593537046,0593537041,272        pp,3.83,689,"Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/150247348-the-road-from-belhaven
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Queen of Sugar Hill: A Novel of Hattie McDaniel,"Tate, ReShonda*",006329107X,9780063291072,006329107X,432        pp,4.00,837,"Jan 30, 2024","Jan 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/139506611-the-queen-of-sugar-hill
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Best Lies,"Ellis, David",0698162005,9780698162006,B0CLNHSSM7,416        pp,4.26,82,"Jul 23, 2024","Jul 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Kindle Edition,view,/book/show/200554208-the-best-lies
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Toxic Prey        (Lucas Davenport, #34)","Sandford, John",0593714490,9780593714492,0593714490,400        pp,4.53,435,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/192761553-toxic-prey
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Clete        (Dave Robicheaux, #24)","Burke, James Lee",0802163076,9780802163073,0802163076,336        pp,4.20,30,unknown,"Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/197525334-clete
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Think Twice        (Myron Bolitar, #12)","Coben, Harlan*",1538756315,9781538756317,1538756315,368        pp,4.37,253,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/198494009-think-twice
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Piglet,"Hazell, Lottie",125028984X,9781250289841,125028984X,320        pp,3.60,"5,796","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/127282554-piglet
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Three-Inch Teeth        (Joe Pickett #24),"Box, C.J.",0593331354,9780593331354,B0C6HJV15J,378        pp,4.43,"9,594","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Kindle Edition,view,/book/show/165937983-three-inch-teeth
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The King of Torts,"Grisham, John*",0440241537,9780440241539,0440241537,472        pp,3.72,"86,037","Feb 04, 2003","Dec 16, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Mass Market Paperback,view,/book/show/1125055.The_King_of_Torts
