,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,J.M.'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Empire Falls,"Russo, Richard*",0375726403,9780375726408,0375726403,483        pp,3.94,"121,787","May 08, 2001","Apr 12, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 09, 2017",,Paperback,view,/book/show/187020.Empire_Falls
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lonesome Dove        (Lonesome Dove, #1)","McMurtry, Larry",067168390X,9780671683900,067168390X,960        pp,4.53,"190,854",1985,"Oct 01, 1999",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 09, 2017",,Mass Market Paperback,view,/book/show/256008.Lonesome_Dove
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Old Man and the Sea,"Hemingway, Ernest",0684830493,9780684830490,0684830493,96        pp,3.80,"1,148,302","Sep 01, 1952",1996,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 09, 2017",,Hardcover,view,/book/show/2165.The_Old_Man_and_the_Sea
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Color Purple,"Walker, Alice",,,,295        pp,4.27,"685,376","Jun 01, 1982","Apr 01, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 09, 2017",,Paperback,view,/book/show/11486.The_Color_Purple
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Light We Cannot See,"Doerr, Anthony*",1476746583,9781476746586,1476746583,531        pp,4.32,"1,661,477","May 06, 2014","Jan 01, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 09, 2017",not set,"Feb 09, 2017",,Hardcover,view,/book/show/18143977-all-the-light-we-cannot-see
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Whiskey Tango Foxtrot,"Shafer, David",0316252638,9780316252638,0316252638,432        pp,3.48,"6,148","Aug 05, 2014","Aug 05, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A young humanitarian sees something she shouldn't near the Chinese border and finds herself, along with two men, tangled up in a nefarious plot to steA young humanitarian sees something she shouldn't near the Chinese border and finds herself, along with two men, tangled up in a nefarious plot to steal all of the world's information. This premise kept me turning the pages to the end of the book. Also, the descriptiveness and creeping menace in the earliest chapters were outstanding. But the prose seemed to weaken after that, and the two male leads were almost cartoonishly drawn. That, combined with frequently passive sentence structure and inadequate scene settings left me disappointed after such a promising beginning.Am I being a literary snob? Yes, definitely. If you're in it for the mind candy and love a good thriller, you'll enjoy this novel immensely. The prose is far better than that in the Jack Reacher novels or anything Ludlum ever wrote. Overall, I give the book three stars....more",Notes are private!,0,0,1,not set,"Dec 25, 2014","Dec 25, 2014",,Hardcover,view (with text),/book/show/19161864-whiskey-tango-foxtrot
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bone Clocks,"Mitchell, David",1400065674,9781400065677,1400065674,624        pp,3.84,"95,736","Sep 02, 2014","Sep 02, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Bone Clocks is a collection of six interconnected novellas forming a larger story about a battle to the death between two groups of immortals. SouThe Bone Clocks is a collection of six interconnected novellas forming a larger story about a battle to the death between two groups of immortals. Sounds too far out there? Not hardly. These stories are beautifully written and grounded so deeply in the real world (and plausible future versions of it) that the paranormal element takes a back seat. By the time it does seize control of the novel, you, the avid reader, will be so engaged in the characters and plot, you won’t be able to turn the pages fast enough.Each novella is presented from the first-person narrative point of view, starting with Holly Sykes, a plucky sixteen-year-old English girl who runs away from home in 1984 over a tiff with her mother. From there, the novel hopscotches forward in time to the early 90s where we become intimately familiar with a young grifter; then to the early 2000s where we meet Holly’s eventual husband, a war correspondent; then another decade or two forward to a fading novelist and close friend of Holly’s; and then, some twenty years forward to Dr. Marinus, an immortal warrior who needs Holly’s unwitting assistance in a fierce battle. Each of these characters is fascinating in his own right, and also adds to our perception of Holly, who makes appearances in their stories. Finally we see the world through Holly’s eyes again in her old age, when climate change is causing the collapse of civilization.Climate change? Is this novel not about a paranormal war? Well that takes place, too, and the battle to the death is a seat-gripper for sure. But this novel has so much more!I give it five stars. A must read....more",Notes are private!,0,1,1,not set,"Sep 23, 2014","Sep 25, 2014",,Hardcover,view (with text),/book/show/20819685-the-bone-clocks
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shotgun Lovesongs,"Butler, Nickolas*",1250039819,9781250039811,1250039819,307        pp,3.79,"18,204","Mar 11, 2014","Mar 11, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Funny thing about this novel. It doesn’t follow the typical formula—the characters’ goals and motivations are hazy at best, the main conflict doesn’t Funny thing about this novel. It doesn’t follow the typical formula—the characters’ goals and motivations are hazy at best, the main conflict doesn’t rear its ugly head until halfway through the book, and the story doesn’t have much action.Mostly, this is day-in-the-life type stuff with LOTS of internal thought.But I couldn’t put it down. I flipped through the pages as if I were reading a thriller.The unique storytelling style got me. Five different characters took turns narrating episodes of the novel in a first-person, skipping-stone approach from one wedding to the next and a few events in between. Each of them regarded the others from a different angle, allowing me as a reader to gradually piece together five complete profiles. Henry, the young farmer who never left the tiny town of Little Wing. Two of his friends, Kip and Lee, who found fortune and fame but lost their bearings along the way—they return to Little Wing to reestablish roots and, in Lee’s case, find the love of his life. Ronny, the rodeo rider who came home a mentally-damaged man from an accident, but not nearly as damaged as his friends think. And Beth, Henry’s wife—the focal point of a love triangle. A few interesting side characters, Lucy the stripper, Felicia the disappointed wife, and Chloe the fickle movie star add spice to the brew.Ultimately, this is a story about a group of friends who try to control but ultimately become overwhelmed by the world they live in and all of its emotional complexity. I wanted the novel to go on forever....more",Notes are private!,0,0,1,not set,"May 16, 2014","May 21, 2014",,Hardcover,view (with text),/book/show/17934521-shotgun-lovesongs
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bloodstone,"Johannes, Helen C.*",1628300566,,B00G8GTHRC,319        pp,3.42,195,"Oct 26, 2013","Oct 26, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Shadow Man hides his face behind a gray cloth, because a mage’s spell would cause anyone looking at him to be struck dead by horror. Durren trudgeThe Shadow Man hides his face behind a gray cloth, because a mage’s spell would cause anyone looking at him to be struck dead by horror. Durren trudges through the Wehrland, a haunted, mountainous region teeming with deadly man-beasts known as the Krad. He is badgered by a voice in his head. stalked by a lioness, and tormented by flashbacks about the inadvertent death of a trusted companion during a battle with the mage. Lately, something else has crept into his subconscious. Vivid dreams about a beautiful young woman able to slip past his defenses and survive his gaze.Mirianna has these dreams as well, and these midnight trysts with her mysterious lover intensify as she journeys through the Wehrland. She and her father have set out on a perilous quest to find bloodstone, a priceless gem formed by petrified dragon’s blood. Soon she meets her lover in the flesh and discovers him to be the terrifying Shadow Man. As part of a bargain to save her father from the Krad, she agrees to travel with him to his ruined castle. Once there, they forge a Beauty and the Beast relationship until a villain forces Durren to confront his past.Helen Johannes uses compelling prose to tell the story of this remarkable couple in a style that will have the reader turning the pages not only to see what happens next but to enjoy the mastery of language and descriptiveness she brings to the table. I hope you enjoy this novel as much as I did....more",Notes are private!,0,3,1,not set,"Nov 04, 2013","Nov 04, 2013",,Kindle Edition,view (with text),/book/show/18723830-bloodstone
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Six Years,"Coben, Harlan*",0525953485,9780525953487,0525953485,351        pp,3.84,"86,230","Mar 19, 2013","Mar 19, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Harlan Coben’s Six Years captivated me from beginning to end. This is the first of his novels I’ve read (Yep. I live in a cave). After completing it, Harlan Coben’s Six Years captivated me from beginning to end. This is the first of his novels I’ve read (Yep. I live in a cave). After completing it, I was delighted to learn he has almost two dozen more waiting for me.Here’s the hook. Six years after Jake Fisher’s lover dumps him to marry another man, he learns that the happy groom has been murdered. Star-struck longing compels him to attend the funeral, even though his ex, Natalie, made him promise he’d never look for her again. But the bereaved widow he meets at the funeral turns out to be a woman who is not Natalie.So where is Natalie? Why can Jake now find no record of the marriage he attended? Or of her? Is he crazy? Has he stumbled into a far-fetched scam? These are only a few of the questions that will keep you turning the pages.Harlan Coben has a large fan base, and that makes him the sort of writer I typically avoid. As I mentioned, I’m the live in a cave type. I hate doing what everyone else is doing. Also, an author who has written this many novels should have slipped into mail-it-in mode by now. But, in Coben’s case, I was wowed from page 1 by a fantastic voice and a gripping plot. Joe...more",Notes are private!,0,0,1,not set,not set,"May 27, 2013",,Hardcover,view (with text),/book/show/15811568-six-years
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Divergent        (Divergent, #1)","Roth, Veronica*",0062024035,9780062024039,0062024035,487        pp,4.14,"3,974,336","Apr 25, 2011","Jan 01, 2012",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was ready to throw this novel against the wall after about the first hundred pages. None of the characters are likeable, the author is terrible at dI was ready to throw this novel against the wall after about the first hundred pages. None of the characters are likeable, the author is terrible at describing scenes, and her world building is weak. Also, the dystopian society she created is too damned depressing for me to even think about reading the next two novels. I wouldn't want to be part of any of these factions. Who the hell would? A far better novel could have been written about the factionless rising up to fight all five sets of these Chicagoland clowns.Having slogged through the entire novel now, I still have no clue whether the Greater Chicago area is the only place people live anymore. If so, what happened to cause this? How did great numbers of people (five groups of them!) agree to restrict themselves to a single character trait without having been injected with a heavy dose of drugs? When someone flunked an initiation to join a particular faction why weren't they given a chance to join a different one?This book was all action, little voice, and no depth. ...more",Notes are private!,0,0,1,not set,Nov 2012,"Nov 01, 2012",,Paperback,view (with text),/book/show/13335037-divergent
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Age of Miracles,"Walker, Karen Thompson*",0812983602,9780812983609,0812983602,294        pp,3.66,"92,249",1989,"Jun 26, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Karen Thompson Walker's debut initially caught my eye, because she supposedly received a seven-figure advance from her publisher. The fascinating premKaren Thompson Walker's debut initially caught my eye, because she supposedly received a seven-figure advance from her publisher. The fascinating premise later compelled me to buy the book, and Karen's outstanding voice kept me reading it.This is the story of a slow-motion catastrophe as seen through the eyes of a twelve-year-old girl. The rotation of the earth has inexplicably begun to slow. Just a few minutes per day at first, then more. Gravity becomes affected. Birds start falling from the sky. Our clocks grow increasingly out-of-sync with the lengthening days and nights, leading to a social poloraziation between those who decide to doggedly live by the clock and those who want to rise at daybreak and sleep after nightfall.As the situation worsens with every passing day and the possible obliteration of all plant life looms ever nearer, young Julia lives the semblance of a normal teenage life -- suffering from shyness, dealing with the rejection by a close friend, falling for a boy who doesn't seem to notice her, and watching her parents' marriage disintegrate. This would be an excellent coming of age story even without the fascinating disaster ever present in the background.The author was a professional editor when she wrote this book, and it shows. The writing is strong and flows well. Some of the similes Karen uses are so original as to be breathtaking. Definitely worth the read and an easy book to get through. I raced through it over a weekend. ...more",Notes are private!,0,0,1,not set,not set,"Oct 09, 2012",,Paperback,view (with text),/book/show/12401556-the-age-of-miracles
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Silver Screen Heroes,"Fridl, Ilona*",1601545096,9781601545091,1601545096,276        pp,3.75,4,"Jul 02, 2009","Jul 02, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Silver Screen Heroes is the story of Addie Garcia, a struggling, silent-movie actress in 1920 Hollywood. Throughout the story, she deals with prejudicSilver Screen Heroes is the story of Addie Garcia, a struggling, silent-movie actress in 1920 Hollywood. Throughout the story, she deals with prejudice against her Mexican ancestry as well as against her gender. As anyone who watched the movie Changeling knows, women were little more than prisoners in a man’s world during that era. Even a movie star (and Addie briefly becomes one) had little freedom.The novel is a romantic suspense revolving around Addie’s run-in with a brutal family of bootlegging mobsters and her awkward love affair with a studio hand, Zeke Shafer. These storylines are compelling and give the book a good overall flow. I particularly like how the author drives a wedge between Addie and Zeke by using a highly discriminatory event appropriate to the era (which I won’t spoil by describing here). Illona Fridl clearly did her homework in putting this novel together, and it shows.I don’t read many romance novels, although I must admit guilt in writing one. Silver Screen Heroes follows the formula. Girl meets boy, girl loses boy, and so on. But the telling is quite interesting, particularly with the many period details pulling the reader into 1920’s Hollywood.I would have preferred a little more of the story from Zeke’s point of view. Illona writes the male point of view well. But Addie is clearly the protagonist, so maybe this preference is just me being a guy. One thing I’d like to see all romance writers do though is lose the inner dialogue. For those of you reading a romance novel for the first time, you’ll sometimes find brief italicized passages in which the character is basically talking to herself in her head. Often this boils down to I like him and I hope he likes me musing that doesn’t advance the plot and often diffuses the tension. This novel didn’t have a lot of that, but it did have some.Overall, I found Silver Screen Heroes to be a fine first novel and enjoyable read, particularly with its many interesting historical references and the unique conflicts the heroine faces....more",Notes are private!,0,0,1,not set,"Jul 23, 2012","Jul 24, 2012",,Paperback,view (with text),/book/show/7850807-silver-screen-heroes
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gone Girl,"Flynn, Gillian*",,,0297859382,399        pp,4.13,"3,091,076","Dec 06, 2012","May 24, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wow. I didn’t intend to read Gillian Flynn’s Gone Girl when I did. Two other books sat on the top of the pile, begging for a thorough read, the AmazonWow. I didn’t intend to read Gillian Flynn’s Gone Girl when I did. Two other books sat on the top of the pile, begging for a thorough read, the Amazon reader  thing, and so on. But one dark day, I needed a book with an edge to it, and having peeked at a sample page of Gone Girl already, I knew where to find that edge.Gone Girl is the story of Nick and Amy, a seemingly perfect couple to anyone looking in from the outside. But at the start of the book, on the couple’s fifth anniversary, when Nick comes home to a ransacked living room and a missing wife, the marriage has already deteriorated to a far from perfect state. Talk about your love hate relationship. Nick and Amy have one in spades at this point – mostly hate, but with love so excruciatingly painted around the edges you can’t imagine a better combination.Nick’s clumsy handling of himself during the police investigation and an accumulating, increasingly-damning pile of evidence soon point the finger at him as the murderer. We, the readers, don’t know whether he is one or not, even though we’ve been reading most passages from his first person point of view.So is he or isn’t he? I won’t spoil it. Let me instead touch on two compelling aspects of this novel. First, Gillian’s voice is one that many writers would kill for (bad pun, I know). Through the first half of the book she alternates her passages from Nick’s point of view (written in a Jess Walter voice, and you never think for one second that hmmm this is a woman trying to write from a man’s POV), and Amy’s point of view as found in diary entries written before the climactic murder or abduction or whatever actually happened (because I still refuse to tell). Amy’s voice is much different than Nick’s and I love that. She’s brilliant and has a fascinating perceptiveness about each of those many people who just can’t help but revolve around her irresistible gravitational force.The other can’t-put-it-down aspect of this novel is the quick pacing both before and after a sudden switch in plot halfway through. By that point, as a reader, you think you know the whole story and how it will all end, and you can’t imagine what the second half of the book will be for. Why isn’t this a novella? What’s coming next? What’s coming next is motive, and true circumstances, plans going awry, plans being reshaped, and a remarkable elevation of compromise to an art form.I loved this book.Joe ...more",Notes are private!,0,0,1,not set,"Jul 09, 2012","Jul 09, 2012",,Hardcover,view (with text),/book/show/8442457-gone-girl
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Visit from the Goon Squad,"Egan, Jennifer*",0307592839,9780307592835,0307592839,274        pp,3.69,"226,780","Jun 08, 2010","Jun 08, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A Visit from the Goon Squad is a collection of intertwined stories about a small group of people with ties to the music industry and/or each other. WeA Visit from the Goon Squad is a collection of intertwined stories about a small group of people with ties to the music industry and/or each other. We get to learn about them not only from their own points of view but from the eyes of their peers and family members. Each person travels a journey from starry-eyed youth to humbling adulthood, point A to point B, and the characterization is amazing.So is the writing. Jennifer Egan celebrates various narrative styles from first person to third, present case to past, and even perhaps her best chapter, written entirely as a Power Point presentation.If you read books in the hope of falling in love with interesting (and authentic) characters, this novel is for you. If you are a writer, A Visit from the Goon Squad is a textbook full of examples of how to bring your characters to life on the page.Joe...more",Notes are private!,0,0,1,not set,"Jan 07, 2012","Jan 08, 2012",,Hardcover,view (with text),/book/show/7331435-a-visit-from-the-goon-squad
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Whistling in the Dark,"Kagen, Lesley*",0451221230,9780451221230,0451221230,298        pp,3.90,"12,370","May 01, 2007","May 01, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Whistling in the Dark is a rare find, a nostalgic look at an era (1959) we like to remember as simpler and better than today, even though it wasn't. BWhistling in the Dark is a rare find, a nostalgic look at an era (1959) we like to remember as simpler and better than today, even though it wasn't. But that isn't this book's chief selling point. Whistling in the Dark has one of the best point-of-view narratives I've ever read. Thanks to the author's genius, I glimpsed the fascinating inner workings of a ten-year-old's mind. Sally brought me into her world where I discovered all of its little pleasures, its humors, and its fears. Through her eyes, I could see events unfold first as she perceived them and then as I interpreted them to be....more",Notes are private!,0,1,1,"Nov 12, 2011","Nov 12, 2011","Nov 12, 2011",,Paperback,view (with text),/book/show/913689.Whistling_in_the_Dark
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Don't Breathe a Word,"McMahon, Jennifer*",006207945X,9780062079459,006207945X,340        pp,3.59,"16,331","May 17, 2011","May 17, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Every now and then an exceptional paranormal comes along . . . exceptional, because you can’t be sure the premise is paranormal until you’ve turned thEvery now and then an exceptional paranormal comes along . . . exceptional, because you can’t be sure the premise is paranormal until you’ve turned the last page. Rosemary’s Baby comes to mind. And now we have Don’t Breathe a Word.I’m going to follow the title’s advice. To say more than a little about this novel’s plot would be to reveal its secrets. Let’s just go with the overall concept. Twenty-five-year old Sam and his girlfriend, Phoebe try to solve a missing person case from fifteen years ago. At that time, Sam’s twelve-year-old sister disappeared in the woods, supposedly snatched away by Teilo, King of the Fairies.This writer’s voice has its flaws. A bit too much telling instead of showing, and inconsistent descriptiveness, particularly when it comes to reminding the reader what various side characters look like. (Inquiring minds need to know if. like me, they set the book down after a chapter and don’t pick it up again until the next day.) Nevertheless, this story is brilliant and kept me glued....more",Notes are private!,0,2,1,not set,"Oct 07, 2011","Oct 07, 2011",,Kindle Edition,view (with text),/book/show/10821800-don-t-breathe-a-word
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Solar,"McEwan, Ian*",,,,287        pp,3.28,"27,509",2010,"Apr 12, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ian McEwan is a great writer with a large following. Amazon contains many reader s of Solar that are far more eloquent than anything I can writeIan McEwan is a great writer with a large following. Amazon contains many reader s of Solar that are far more eloquent than anything I can write, so I’ll keep this brief. Solar is the story of Michael Beard, a former noble prize winner now in his declining years. He is living off the fame of his earlier accomplishments, a fame that is now fading, and he seizes the opportunity to recapture former glory by stealing the design of a brilliant alternative energy device. The weight of poor decisions, neglected relationships, and an outright felony or two press down on him throughout this story, but rather than learn from his mistakes, he tends toward self-destruction by compounding them.Solar is the first book I’ve read by this novelist, but it won’t be the last. Ian McEwan has a witty, engaging voice, and he’s a great, anecdotal storyteller. Nevertheless, this book was a disappointment. The protagonist is a despicable, misogynistic, self-centered slob. He has no scruples, and he shows no growth in character. I didn’t find any of the other characters interesting or well-developed. The story itself has some great passages, entirely because of Ian’s voice, and even a laugh out loud moment or two, but it tends to drag from about the middle on....more",Notes are private!,0,0,1,not set,"Jan 05, 2011","Feb 06, 2011",,Hardcover,view (with text),/book/show/7140754-solar
