,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Vanessa's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Darling Dreadful Thing,"Veen, Johanna van",1728281547,9781728281544,1728281547,384        pp,4.24,206,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/193544852-my-darling-dreadful-thing
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Floating Hotel,"Curtis, Grace*",0756419301,9780756419301,0756419301,291        pp,3.84,549,"Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/195186006-floating-hotel
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House on Biscayne Bay,"Cleeton, Chanel*",0593440501,9780593440506,0593440501,336        pp,3.99,628,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/186872393-the-house-on-biscayne-bay
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Middle of the Night,"Sager, Riley*",0593472373,9780593472378,0593472373,384        pp,4.09,322,"Jun 18, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/199026522-middle-of-the-night
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Five Broken Blades,"Corland, Mai",1649376901,9781649376909,1649376901,512        pp,4.41,88,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/200982383-five-broken-blades
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rebel Girl: My Life as a Feminist Punk,"Hanna, Kathleen",0062825232,9780062825230,0062825232,336        pp,4.49,45,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/78130090-rebel-girl
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Age of Grievance,"Bruni, Frank",1668016435,9781668016435,1668016435,288        pp,4.12,8,"Apr 30, 2024","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/176443156-the-age-of-grievance
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If Something Happens to Me,"Finlay, Alex*",1250863791,9781250863799,1250863791,336        pp,4.25,842,"May 28, 2024","May 28, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/195790670-if-something-happens-to-me
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Home Is Where the Bodies Are,"Rose, Jeneva*",,9798212182843,B0CCK3XKYK,270        pp,4.08,405,"Apr 30, 2024","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/194020321-home-is-where-the-bodies-are
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Perfect Couple,"Ware, Ruth*",1668025590,9781668025598,1668025590,400        pp,3.96,577,"May 21, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/199798953-one-perfect-couple
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rednecks,"Brown, Taylor*",1250329337,9781250329332,1250329337,320        pp,4.25,122,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/195790759-rednecks
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All Fours,"July, Miranda*",0593190262,9780593190265,0593190262,336        pp,4.30,158,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/197798168-all-fours
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Reliquary        (Pendergast, #2)","Preston, Douglas*",0765354950,9780765354952,0765354950,464        pp,4.03,"46,758",1997,"Aug 01, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Back in 1997, there was this pretty decent monster horror movie called Relic. It's kind of hard to find gifs of and, more germane, my s these daBack in 1997, there was this pretty decent monster horror movie called Relic. It's kind of hard to find gifs of and, more germane, my s these days get less action than the Tastee Freez in my hometown (and that place has been closed for 30 years, babump-tsssss) so, it's not really worth spelunking the Internet for. Anyway, that movie is based off of the first book and (a small) part of the second book in this series. A lot of stuff was changed but what I find most curious is the character, FBI agent Pendergast, who is the mc that runs through this long series was written out completely. Several of the other characters such as young biologist Margo Green, Chicago (NYC in the book) cop Vincent D'Agosta, elderly faculty advisor Professor Frock, and conniving competing biologist Greg Kawakita remain, in slighty altered forms. (Honestly, the Pendergast character is mad entertaining but strains credulity frequently. My favorite oddball fact: he owns an apartment in the Dakota. THE Dakota. And he works for the FBI. Okurr.) This book picks up around a year and a half after the first book. Our main characters (minus Greg, who seems to have disappeared) are trying to move on with their careers and their bad dreams when a police diver discovers two skeletons. One of them turns out to be the remains of a missing socialite and one turns out to be not exactly human so Lieutenant D'Agosta finds himself needing the expertise of the Museum of Natural History and the fabulous Dr. Margo Green again. Why does this thing look so similar to the museum monster they killed 18 months ago? Is it related to murders of homeless living in the tunnels beneath the city? WTF is track rabbit? (Y'all don't want to know and you probably really want to skip over the brief section where it's eaten.) This is high quality popcorn reading. Monsters, monster nom noms, science facts, crazy information about the multi-storied tunnels beneath Manhattan that is at least partly true, valiant cops and their incompetent leaders, conniving journalists, mean rich ladies. Lots of savory and sweet ingredients here, mixed well. I read the first book 20 years ago, so I don't remember it well. I definitely want to continue with this series though for at least a few more books. Fun trivia: co-author Douglas Preston is the brother of Richard Preston, author of The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus, amongst other things....more",Notes are private!,0,1,1,"Mar 18, 2024","Mar 23, 2024","Mar 18, 2024",,Mass Market Paperback,view (with text),/book/show/39030.Reliquary
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Devout: A Memoir of Doubt,"Gazmarian, Anna*",1668004038,9781668004036,1668004038,192        pp,3.80,122,"Mar 12, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2024",,Hardcover,view,/book/show/176443151-devout
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Run Me to Earth,"Yoon, Paul",1501154044,9781501154041,1501154044,272        pp,3.69,"3,186","Jan 28, 2020","Jan 28, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Hardcover,view,/book/show/46221896-run-me-to-earth
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Listen for the Lie,"Tintera, Amy*",1250880319,9781250880314,1250880319,352        pp,4.22,"34,580","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Hardcover,view,/book/show/127279000-listen-for-the-lie
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Enigma Girls: How Ten Teenagers Broke Ciphers, Kept Secrets, and Helped Win World War II","Fleming, Candace*",1338749579,9781338749571,1338749579,371        pp,4.17,204,unknown,"Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Hardcover,view,/book/show/124932715-enigma-girls
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Redwood Court,"Dameron, DeLana R.A.*",0593447026,9780593447024,0593447026,304        pp,3.38,"2,353","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Hardcover,view,/book/show/150247430-redwood-court
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lifeform,"Slate, Jenny*",0316263931,9780316263931,0316263931,240        pp,0.00,0,unknown,"Oct 22, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Hardcover,view,/book/show/208209822-lifeform
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Library Thief,"Shenjé, Kuchenga",1335909699,9781335909695,1335909699,368        pp,3.63,65,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/200153487-the-library-thief
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wildest Sun,"Lemmie, Asha*",,,B0BXKGF4T7,336        pp,3.80,"1,209","Dec 05, 2023","Dec 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Kindle Edition,view,/book/show/57822184-the-wildest-sun
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The War Librarian,"Armstrong, Addison*",,,B09LH5YTXT,384        pp,4.01,"3,086","Aug 09, 2022","Aug 09, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Kindle Edition,view,/book/show/59616292-the-war-librarian
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Killing Moon        (Dreamblood, #1)","Jemisin, N.K.*",0356500764,9780356500768,0356500764,428        pp,3.95,"20,524","May 01, 2012","May 01, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/11774272-the-killing-moon
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Neferura,"Evans, Malayna*",1728278724,9781728278728,1728278724,368        pp,3.64,467,"Feb 13, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/136276903-neferura
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Leonardo, Frida and the Others: The History of Art, 800 Years - 100 Artists","Jouneaux, Camille",3791377183,9783791377186,3791377183,360        pp,0.00,0,unknown,"Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/195475523-leonardo-frida-and-the-others
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Accordion Eulogies: A Memoir of Music, Migration, and Mexico","Álvarez, Noé*",1646220900,9781646220908,B0CGTS2HLK,0        pp,5.00,1,unknown,"May 28, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Kindle Edition,view,/book/show/198136878-accordion-eulogies
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Book of Days,"Smith, Patti*",,,,400        pp,4.25,"2,936",unknown,"Nov 15, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/60587120-a-book-of-days
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mojo Collection: The Greatest Albums of All Time,"Irvin, Jim",184195067X,9781841950679,184195067X,unknown,4.05,279,"Aug 09, 2001","Jan 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/893037.The_Mojo_Collection
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Under the Big Black Sun: A Personal History of L.A. Punk,"Doe, John",0306824086,9780306824081,0306824086,277        pp,4.10,"2,056","Apr 26, 2016","Apr 26, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/25898106-under-the-big-black-sun
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Revolution Was Televised: How The Sopranos, Mad Men, Breaking Bad, Lost, and Other Groundbreaking Dramas Changed TV Forever","Sepinwall, Alan*",1476739676,9781476739670,1476739676,400        pp,4.00,"4,681","Nov 09, 2012","May 21, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/17559246-the-revolution-was-televised
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Difficult Men: Behind the Scenes of a Creative Revolution: From The Sopranos and The Wire to Mad Men and Breaking Bad,"Martin, Brett*",1594204195,9781594204197,1594204195,303        pp,3.84,"3,356","Jul 03, 2013","Jul 03, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/16158518-difficult-men
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Get the Picture: A Mind-Bending Journey Among the Inspired Artists and Obsessive Art Fiends Who Taught Me How to See,"Bosker, Bianca*",0525562206,9780525562207,0525562206,384        pp,4.25,617,unknown,"Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/156741696-get-the-picture
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lesser Bohemians,"McBride, Eimear",1101903481,9781101903483,1101903481,320        pp,3.83,"4,617","Sep 01, 2016","Sep 20, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/28363987-the-lesser-bohemians
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Normal People,"Rooney, Sally*",1984822179,9781984822178,1984822179,273        pp,3.81,"1,385,384","Aug 28, 2018","Apr 16, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/41057294-normal-people
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Out of Love,"Hayes, Hazel",1783528966,9781783528967,1783528966,384        pp,3.84,"16,250","Jun 11, 2020","Jun 11, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/50705453-out-of-love
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Old God's Time,"Barry, Sebastian",0593296109,9780593296103,0593296109,261        pp,3.88,"11,074","Mar 01, 2023","Mar 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/61358640-old-god-s-time
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Bloom,"Tremblay, Paul*",1662516908,9781662516900,B0CF3TK4B9,35        pp,3.08,"8,011","Sep 26, 2023","Sep 26, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was my favorite thus far of the Creature Feature Amazon Originals series (Get ‘em for free on Kindle Unlimited!)Tremblay’s style feels a lot likeThis was my favorite thus far of the Creature Feature Amazon Originals series (Get ‘em for free on Kindle Unlimited!)Tremblay’s style feels a lot like Stephen King’s and maybe that’s why I like him (If you’re a horror fan, you need to get on A Head Full of Ghosts.) This story effectively built tension and managed to leave me in the dark about where it was going. Best of all, I love all the unanswered questions (very intentionally unanswered) that are going to live rent free in my brain. Sir, please more....more",Notes are private!,0,7,1,"Mar 07, 2024","Mar 07, 2024","Mar 07, 2024",,Kindle Edition,view (with text),/book/show/195945770-in-bloom
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dominoes,"Mcintosh, Phoebe",0593596684,9780593596685,0593596684,329        pp,3.88,276,"Mar 07, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Paperback,view,/book/show/62628930-dominoes
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fervor,"Lloyd, Toby",166803333X,9781668033333,166803333X,288        pp,3.73,165,"Feb 22, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Hardcover,view,/book/show/176442884-fervor
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Worry,"Tanner, Alexandra*",1668018616,9781668018613,1668018616,304        pp,3.68,660,"Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Hardcover,view,/book/show/176443441-worry
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Glorious Exploits,"Lennon, Ferdia*",1250893690,9781250893697,1250893690,304        pp,4.27,584,unknown,"Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Hardcover,view,/book/show/127278133-glorious-exploits
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Three Kinds of Lucky        (The Shadow Age #1),"Harrison, Kim*",0593437470,9780593437476,0593437470,452        pp,4.03,"1,230","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/57427858-three-kinds-of-lucky
