,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Misty's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Five Lies of Our Anti-Christian Age,"Butterfield, Rosaria Champagne",1433573539,9781433573538,1433573539,368        pp,4.53,"1,148",unknown,"Sep 12, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Mar 05, 2024","Apr 03, 2024","Mar 05, 2024",,Hardcover,view,/book/show/60354443-five-lies-of-our-anti-christian-age
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Hope This Doesn't Find You,"Liang, Ann*",1338827154,9781338827156,1338827154,320        pp,4.23,"13,618","Feb 06, 2024","Feb 06, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 25, 2024","Feb 25, 2024","Feb 25, 2024",,Hardcover,view,/book/show/124932739-i-hope-this-doesn-t-find-you
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Babylon: Mesopotamia and the Birth of Civilization,"Kriwaczek, Paul",1848871562,9781848871564,1848871562,310        pp,3.91,"2,426","Jan 01, 2010","Jul 01, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 22, 2024","Feb 22, 2024","Feb 22, 2024",,Hardcover,view,/book/show/8617614-babylon
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gateway of the Gods: The Rise and Fall of Babylon,"Gill, Anton*",1847246699,9781847246691,1847246699,192        pp,4.25,20,2008,"Sep 01, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 22, 2024","Mar 18, 2024","Feb 22, 2024",,Hardcover,view,/book/show/6845589-gateway-of-the-gods
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Unselected Journals of Emma M. Lion, Vol. 1","Brower, Beth*",0998063614,9780998063614,0998063614,121        pp,4.34,"2,472",unknown,"Nov 05, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I get the hype on this one! It seems this book series is everywhere I look and I LOVE their classic covers in macaron colors.What’s so special about tI get the hype on this one! It seems this book series is everywhere I look and I LOVE their classic covers in macaron colors.What’s so special about them, you may ask? I’ve only read this one so far, but Emma’s journals are witty, smart, and as unhinged as a girl in 1883 London could be. She’s unique! And so are all her friends and enemies and her house and especially her town! (Is there some magical realism going on in this book?)The book is super short and it’s clearly just a set up— it’s as if we are reading Emma’s journal as she writes it. I’m seeing so many fun possibilities of romance and adventure.I would say it’s a feistier Downton Abbey, though obviously not the same time setting. I honestly can’t think of any other historical fiction with a bit of whimsical eccentricity and maybe that’s why this one is so fun! No mature content.I will order the second one soon. Delightful. #bethbrower #historicalfiction #readfineprints #theunselectedjournalsofemmamlion #prettybooks #booksbooksbooks ...more",Notes are private!,0,5,1,"Feb 22, 2024","Feb 22, 2024","Feb 22, 2024",,Paperback,view (with text),/book/show/52085140-the-unselected-journals-of-emma-m-lion-vol-1
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trust,"Diaz, Hernan*",0593420314,9780593420317,0593420314,402        pp,3.84,"97,383","May 03, 2022","May 03, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"⭐️⭐️⭐️⭐️⭐️FIVE STAR READI found this book on audio and vaguely remembered it won the Pulitzer, so I gave it a try. (I seriously thought part of this b⭐️⭐️⭐️⭐️⭐️FIVE STAR READI found this book on audio and vaguely remembered it won the Pulitzer, so I gave it a try. (I seriously thought part of this book was read by Gwyneth Paltrow! But I guess the reader just sounds an awfully lot like the actress.)A fourth of the way in I got confused and wondered if I’d missed something. I researched and read a quote of someone calling parts of the book a “puzzle,” so I got excited. Some of this book is a puzzle indeed!The story is told in a unique way, so that the reader is unsure of what the true story actually IS. There is a lot about finance/stock that flew over my head, but what I loved was the depth of the writing, the story told from different perspectives, the themes of our priorities in this fleeting life, and the ending. I’ll include the quotes below and in the comments so you can read some for yourself!Barely any mature content. A little profanity. I think you will like this if you like profound literary books like Steinbeck or Ishiguro. I think a good movie comparison is The Father with Anthony Hopkins for tone, not subject matter. That’s a great movie by the way! Quotes below and in comments.Intimacy can be an unbearable burden for those who, first experiencing it after a lifetime of proud self-sufficiency, suddenly realize it makes their world complete. Finding bliss becomes one with the fear of losing it. Silence between two is always shared, but one of the two owns it, and shares it with the other.My job is about being right. Always. If I’m ever wrong, I must make use of all my means and resources to bend and align reality according to my mistake so that it ceases to be a mistake.I know the days ahead of me are fewer than those I have left behind. There is no escaping this most basic fact of accounting. A certain amount of time is allotted to each of us. How much, only God knows. We cannot invest it. We cannot hope for a return of any kind. All we can do is spend it, second by second, decade by decade, until it runs out. Still, even if our days on this Earth are limited, we can always, through toil and industry, hope to extend our influence into the future. And so it is that, having lived my life with an eye set on posterity in the hopes of improving the lives of later generations, I enter these remaining years of mine not with nostalgia for all that is gone but with a sense of excitement for what is yet to come.She was unable to stop thinking about her thoughts. Her speculations reflected one another like parallel mirrors and endlessly each image inside the vertiginous tunnel looked at the next, wondering if it was the original, or a reproduction? This, she told herself, was the beginning of madness. [She] was exuberant in her grief, exploring all social possibilities of mourning. She found unsuspected radiance in the deepest shades of black and made sure to surround herself with particularly plaintive and misty eyed friends, so she could highlight her arrogant form of sorrow which she called dignified....more",Notes are private!,1,2,1,"Feb 21, 2024","Feb 21, 2024","Feb 21, 2024",,Hardcover,view (with text),/book/show/58210933-trust
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All Manner of Things,"Finkbeiner, Susie*",0800735692,9780800735692,0800735692,448        pp,4.41,"2,173",Jun 2019,"Jun 04, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"⭐️⭐️⭐️⭐️⭐️FIVE STAR READIt’s 1967. Annie Jacobson’s brother is in Vietnam and her dad left their family a long time ago. This book isn’t action packed⭐️⭐️⭐️⭐️⭐️FIVE STAR READIt’s 1967. Annie Jacobson’s brother is in Vietnam and her dad left their family a long time ago. This book isn’t action packed or suspenseful, it’s a girl growing up, facing the pain and joys life brings her, it’s a family leaning on their faith through “all manner of things.”I cried, you guys. That doesn’t often happen. My favorite character is Mike— oh how I love Mike. But I also love the mom. These characters felt very real to me. Their love for each other was never sappy or forced.The author’s most recent book is The All-American, which I enjoyed, but I think this 2019 one is my favorite of hers so far. No mature content but I would give it a PG-13 just for maturity of the story. Also I mostly listened to the audio of this one and it was good.Read this if you like literary fiction like Ann Patchett, but I’m struggling to think of a similar movie. If you read this, do you have one? I’d like to see it...more",Notes are private!,0,4,1,"Feb 12, 2024","Feb 14, 2024","Feb 12, 2024",,Paperback,view (with text),/book/show/42196508-all-manner-of-things
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Knowing God,"Packer, J.I.",,,,286        pp,4.32,"58,212",1973,"Jun 24, 1993",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"KNOWING GOD BY J.I. PACKER⭐️⭐️⭐️⭐️⭐️FIVE STAR READThis book is considered a Christian classic, and now I understand why. Each chapter seems devoted toKNOWING GOD BY J.I. PACKER⭐️⭐️⭐️⭐️⭐️FIVE STAR READThis book is considered a Christian classic, and now I understand why. Each chapter seems devoted to a separate theological subject, but they are definitely woven together and address the same themes. What are the themes, you may ask? I would say the dual nature of God is a definite theme. Packer explores the wrath of God, how God is a judge, and how God’s goodness is displayed right along with his severity in the Bible. See the quote below that describes how we are to understand God based on what the Bible says, not on what we think God should be. Another theme is wisdom. In his chapters on guidance, wisdom, and the Holy Spirit, Packer puts forth a view of God’s guidance that is very different from our culture’s habit of praying for feelings and peace to guide us toward God’s specific, narrow path. And of course, a theme is KNOWING GOD. How do we truly know him? Jeremiah 9:23 says “Let not the wise man boast of his wisdom or the strong man boast of his strength or the rich man boast of his riches, but let him who boasts boast about this: that he understands and knows me.” Below are a few of the many quotes I jotted down from this amazing book. On the subject of how our God is called jealous:  “The first step in answering this question is to make it clear that this is not a case of imagining anything. Were we imagining a God, then, naturally, we should ascribe to him only characteristics that we admire, and jealousy would not enter the picture. Nobody would imagine a jealous God. But we are not making up an idea of God, by drawing on our own imagination; we are seeking instead to listen to the words of holy scripture, in which God himself tells us the truth about himself.” (Other quotes in comments.) On the subject of why do we study theology: “…to be preoccupied with getting theological knowledge as an end to itself, to approach Bible study with no higher a motive than a desire to know all the answers, is the direct route to a state of self-satisfied self-deception. We need to guard our hearts against such an attitude, and pray to be kept from it.”  “… [a mistake that is commonly made] to suppose, in other words, that the gift of wisdom consists in a deepened insight into the providential meaning and purpose of events going on around us, an ability to see why God has done what he has done in a particular case and what he is going to do next. People feel that if they were really walking close to God, so that he could impart wisdom to them freely, then they would, so to speak, find themselves in a signal box; they would discern the real purpose of everything that happened to them, and it would be clear to them every moment how God was making all things work together for good.” “’Our thoughts of God are too human,’ said Martin Luther… Our thoughts of God are not great enough; we fail to reckon with the reality of his limitless wisdom and power. Because we ourselves are limited and weak, we imagine that at some points God is too, and find it hard to believe that he is not. We think of God as too much like what we are.”...more",Notes are private!,0,6,1,"Feb 10, 2024","Mar 05, 2024","Feb 10, 2024",,Paperback,view (with text),/book/show/139855.Knowing_God
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pineapple Street,"Jackson, Jenny*",059349069X,9780593490693,059349069X,304        pp,3.58,"153,191","Mar 07, 2023","Mar 07, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 29, 2024","Feb 10, 2024","Jan 29, 2024",,Hardcover,view,/book/show/61246258-pineapple-street
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Becoming Elisabeth Elliot,"Vaughn, Ellen",1535910933,9781535910934,1535910933,320        pp,4.63,"4,767",Sep 2020,"Sep 15, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 10, 2024","Feb 10, 2024","Jan 10, 2024",,Hardcover,view,/book/show/53419962-becoming-elisabeth-elliot
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,"Brown, Daniel James*",067002581X,9780670025817,067002581X,404        pp,4.39,"312,295","Jun 04, 2013","Jan 01, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jan 04, 2024","Jan 16, 2024","Jan 04, 2024",,Hardcover,view,/book/show/16158542-the-boys-in-the-boat
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Good Lie,"Torre, A.R.*",1542020174,9781542020176,B08KH8YT2S,257        pp,4.14,"106,670","Jul 20, 2021","Jul 20, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jan 04, 2024","Jan 04, 2024","Jan 04, 2024",,Kindle Edition,view,/book/show/56238004-the-good-lie
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Foster,"Keegan, Claire",080216014X,9780802160140,080216014X,128        pp,4.33,"80,837",Feb 2010,"Nov 01, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 02, 2024","Jan 02, 2024","Jan 02, 2024",,Hardcover,view,/book/show/61022861-foster
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Letter for the King        (The Letter for the King, #1)","Dragt, Tonke",,9781782690818,1782690816,508        pp,4.17,"12,395",1962,2014,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"⭐️⭐️⭐️⭐️⭐️FIVE STAR READI looked forward to reading this book every night. Checking in on Tiuri’s adventures felt like a mug of hot coffee or a cozy b⭐️⭐️⭐️⭐️⭐️FIVE STAR READI looked forward to reading this book every night. Checking in on Tiuri’s adventures felt like a mug of hot coffee or a cozy blanket. It’s a big book. I knew it would be a long while before Tiuri got his message to the king— if he ever did— but I enjoyed every single adventure along the way.It’s a kids book. It’s a fantasy book, because the lands and the way of life don’t exist, but there are no other fantastical elements. The Letter for the King would make a perfect read aloud for any age, though it may take a while at 500 pages. This protagonist is one you can let your kid aspire to be. He’s strong, smart, and above all, he’s just so good.I can’t remember who told me to read this Dutch classic! This edition with the metallic letters and the snow is so pretty. I don’t read sequels but I may read this next one! The two others are The Secrets of the Wild Wood and The Song of Seven. They are in the same Pushkin Children’s Book series and they match this one.I tried to watch the Netflix series adaptation of this book but I couldn’t do it. It is completely unrecognizeable as this story and I’m sad it exists...more",Notes are private!,0,4,1,Jan 2024,"Feb 12, 2024","Jan 01, 2024",,Paperback,view (with text),/book/show/23633448-the-letter-for-the-king
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Does Prayer Change Things?        (Crucial Questions, #3)","Sproul, R.C.",156769652X,,B0038OMARG,88        pp,4.42,"2,275","Nov 30, 1998","Sep 18, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Dec 31, 2023","Jan 10, 2024","Dec 31, 2023",,Logos,view,/book/show/8428685-does-prayer-change-things
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Unbreakable: What the Son of God Said About the Word of God,"Wilson, Andrew",1909611867,9781909611863,1909611867,78        pp,4.29,405,"Oct 01, 2014","Oct 01, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 31, 2023","Dec 31, 2023","Dec 31, 2023",,Paperback,view,/book/show/23383597-unbreakable
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Red Pony,"Steinbeck, John",,9780141962825,0141962828,95        pp,3.48,"55,301",1933,"Mar 03, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 30, 2023","Dec 30, 2023","Dec 30, 2023",,Paperback,view,/book/show/8732.The_Red_Pony
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ghost        (Track, #1)","Reynolds, Jason",1481450158,9781481450157,1481450158,181        pp,4.21,"45,175","Aug 30, 2016","Aug 30, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 26, 2023","Dec 26, 2023","Dec 26, 2023",,Hardcover,view,/book/show/28954126-ghost
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Advent of Glory: 24 Devotions for Christmas,"Sproul, R.C.",178498891X,9781784988913,178498891X,144        pp,4.54,285,unknown,"Oct 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Dec 23, 2023","Dec 26, 2023","Dec 23, 2023",,Paperback,view,/book/show/136285628-the-advent-of-glory
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Winter Fire: Christmas with G.K. Chesterton,"Smith, Ryan Whitaker",0802429289,9780802429285,0802429289,240        pp,4.61,134,unknown,"Aug 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 22, 2023","Dec 22, 2023","Dec 22, 2023",,Hardcover,view,/book/show/63348084-winter-fire
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Things Like These,"Keegan, Claire",0802158749,9780802158741,0802158749,128        pp,4.19,"153,377","Nov 05, 2021","Nov 30, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Dec 14, 2023","Dec 14, 2023","Dec 14, 2023",,Hardcover,view,/book/show/58662236-small-things-like-these
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Because of Winn-Dixie,"DiCamillo, Kate*",0763616052,9780763616052,0763616052,182        pp,4.09,"257,087","Mar 01, 2000","Aug 06, 2001",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Dec 13, 2023","Dec 15, 2023","Dec 13, 2023",,Paperback,view,/book/show/357664.Because_of_Winn_Dixie
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,"Grann, David*",0593470834,9780593470831,0593470834,416        pp,4.15,"340,108","Apr 18, 2017","Oct 10, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 13, 2023","Dec 13, 2023","Dec 13, 2023",,Paperback,view,/book/show/193388249-killers-of-the-flower-moon
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Characters of Christmas: The Unlikely People Caught Up in the Story of Jesus,"Darling, Daniel*",0802419291,9780802419293,0802419291,192        pp,4.18,650,unknown,"Oct 01, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 09, 2023","Dec 09, 2023","Dec 09, 2023",,Paperback,view,/book/show/44174434-the-characters-of-christmas
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Emmanuel: An Invitation to Prepare Him Room at Christmas and Always,"Simons, Ruth Chou*",0736984968,9780736984966,0736984968,240        pp,4.63,"1,384",unknown,"Sep 13, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Dec 06, 2023","Dec 30, 2023","Dec 06, 2023",,Hardcover,view,/book/show/60492093-emmanuel
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Plot Twist,"Turner, Bethany*",0785244484,9780785244486,0785244484,321        pp,3.61,"4,445","Jun 15, 2021","Jun 15, 2021",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Dec 06, 2023not set","Dec 06, 2023not set","Dec 06, 2023",,Paperback,view,/book/show/55918631-plot-twist
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chenneville,"Jiles, Paulette*",0063252686,9780063252684,0063252686,307        pp,4.16,"3,972","Sep 12, 2023","Sep 12, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"FIVE STAR REVIEW ⭐️⭐️⭐️⭐️⭐️CHENNEVILLE BY PAULETTE JILESPaulette Jiles wrote News of the World which I absolutely loved. Jiles wrote three books: NewsFIVE STAR REVIEW ⭐️⭐️⭐️⭐️⭐️CHENNEVILLE BY PAULETTE JILESPaulette Jiles wrote News of the World which I absolutely loved. Jiles wrote three books: News of the World, Simon the Fiddler, and Chenneville (in that order) and they aren’t a series, they’re “companion” books, and I read them in the wrong order. Simon the Fiddler is next for me.Chenneville is a western novel (see my last reel on my defense of westerns!) and the synopsis gives away too much of the book! Don’t read it. The story is about a wounded civil war soldier who comes home to find it different than he left it, so he embarks on a journey of “murder, loss, and vengeance,” as the tag line says.A civil war soldier on a journey, his isolation and despair, his adventures along the way, all are reminiscent of the classic Cold Mountain by Charles Frazier, which is not a favorite of mine. You might say Chenneville is “Warm Valley.” ...more",Notes are private!,0,0,1,"Nov 13, 2023","Nov 16, 2023","Nov 13, 2023",,Hardcover,view (with text),/book/show/112975135-chenneville
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Little Something Different,"Hall, Sandy*",1250061776,9781250061775,1250061776,272        pp,3.57,"23,404","Aug 26, 2014","Aug 26, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Nov 10, 2023","Nov 10, 2023","Nov 10, 2023",,Unknown Binding,view,/book/show/20801166-a-little-something-different
