,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ewa (humanizmowo)'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wszyscy jesteśmy łotrami        (Villains, #1)","Foody, Amanda*",8383211643,9788383211640,8383211643,520        pp,3.88,"35,052","Nov 09, 2021","Jan 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Paperback,view,/book/show/127073773-wszyscy-jeste-my-otrami
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wszystkie nasze klęski        (Villains, #2)","Foody, Amanda*",8383213158,9788383213156,,616        pp,3.88,"12,795","Aug 30, 2022","Apr 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Paperback,view,/book/show/122783614-wszystkie-nasze-kl-ski
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nawyki zamiast cudów,"Mochnaczewska, Anna",8327738232,9788327738233,,208        pp,3.24,41,unknown,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Paperback,view,/book/show/202425991-nawyki-zamiast-cud-w
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mózg chce więcej. Dopamina. Naturalny dopalacz,"Lieberman, Daniel Z.*",8372298335,9788372298331,8372298335,320        pp,4.15,"12,627",2018,"Apr 03, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Paperback,view,/book/show/45173359-m-zg-chce-wi-cej-dopamina-naturalny-dopalacz
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Niezależność finansowa i emocjonalna dla kobiet,"Łukaszyn, Anna",,9788367604215,,368        pp,4.40,5,unknown,2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Paperback,view,/book/show/207213719-niezale-no-finansowa-i-emocjonalna-dla-kobiet
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oddam matkę w dobre ręce. Cała prawda o domach opieki,"Jaros, Magda",8383430167,9788383430164,8383430167,352        pp,4.05,44,"May 16, 2023","May 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Paperback,view,/book/show/168740594-oddam-matk-w-dobre-r-ce-ca-a-prawda-o-domach-opieki
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ruinerwold. Wychowałem się w sekcie mojego ojca,"Dorsten, Israel van",,,,304        pp,4.02,"5,078",unknown,"Feb 28, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Paperback,view,/book/show/206832252-ruinerwold-wychowa-em-si-w-sekcie-mojego-ojca
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Limfa. Zrodlo energii i zdrowia,"Gainsley, Lisa Levitt",8328720930,9788328720930,8328720930,368        pp,5.00,1,unknown,"Jan 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/99477634-limfa-zrodlo-energii-i-zdrowia
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Naturalna. Ziolowe wsparcie na kazdy dzien,"Korn, Leslie*",8324075062,9788324075065,8324075062,336        pp,0.00,0,unknown,"Jan 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/99384303-naturalna-ziolowe-wsparcie-na-kazdy-dzien
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Zerwij z cukrem. Proste wskazowki i przepisy, ktore pomoga ci wyeliminowac cukier ze swojej diety","Bassford, Katherine",8366416305,9788366416307,8366416305,0        pp,4.50,2,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/96545505-zerwij-z-cukrem-proste-wskazowki-i-przepisy-ktore-pomoga-ci-wyeliminow
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Superniania kontra trzyletni Antoś. Jak telewizja uczy wychowywać dzieci,"Golus, Anna",8367075315,9788367075312,8367075315,312        pp,3.78,283,"Jun 15, 2022","Jun 15, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/60678626-superniania-kontra-trzyletni-anto-jak-telewizja-uczy-wychowywa-dzieci
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Uspokój swoje hormony,"Oleszczuk, Tadeusz",8381037077,9788381037075,8381037077,272        pp,4.10,42,"Feb 24, 2021","Feb 24, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/57476553-uspok-j-swoje-hormony
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Szczęśliwe jelita. Program oczyszczania, który pomoże ci wyeliminować ból, pozbyć się toksyn i pasożytów oraz schudnąć","Pedre, Vincent*",,9788365442451,,400        pp,3.53,"1,173","Mar 10, 2015","Nov 04, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,ebook,view,/book/show/40118817-szcz-liwe-jelita-program-oczyszczania-kt-ry-pomo-e-ci-wyeliminowa-b
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Królowa oszczędzania. Mój rok bez zakupów,"Flanders, Cait*",8365170302,9788365170309,8365170302,240        pp,3.47,"53,923","Jan 16, 2018","Feb 27, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/43544254-kr-lowa-oszcz-dzania-m-j-rok-bez-zakup-w
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Finansowa feministka,"Dunlap, Tori*",838032966X,9788380329669,838032966X,369        pp,4.11,"8,962","Dec 27, 2022","Sep 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/199804824-finansowa-feministka
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Patoposłuszeństwo. Jak szkoła, rodzina i państwo uczą nas bezradności i co z tym zrobić?","Marcela, Mikołaj",8324064974,9788324064977,8324064974,304        pp,3.70,56,"Aug 22, 2022","Aug 22, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/61365588-patopos-usze-stwo-jak-szko-a-rodzina-i-pa-stwo-ucz-nas-bezradno-ci-i
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Partnerstwo bliskości. Jak teoria więzi pomoże ci stworzyć szczęśliwy związek,"Levine, Amir",8366380408,9788366380400,8366380408,328        pp,4.15,"86,815","Dec 30, 2010","Feb 12, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/54765505-partnerstwo-blisko-ci-jak-teoria-wi-zi-pomo-e-ci-stworzy-szcz-liwy-zw
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Superzwiązek. Jak stworzyć dobrą i trwałą relację, która się nie rozpadnie","Adamowicz, Alina",8382511198,9788382511192,8382511198,216        pp,3.61,41,"Apr 20, 2022","Apr 20, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/60761091-superzwi-zek-jak-stworzy-dobr-i-trwa-relacj-kt-ra-si-nie-rozpadn
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Podzieleni,"Shusterman, Neal*",8361386211,9788361386216,8361386211,445        pp,4.17,"229,181","Nov 06, 2007","Oct 10, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/16180066-podzieleni
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hillary. Historia alternatywna,"Sittenfeld, Curtis*",8382301851,9788382301854,8382301851,544        pp,3.83,"44,351","May 19, 2020","Oct 27, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/59045196-hillary-historia-alternatywna
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kochankowie i pisarze,"King, Lily*",8382341861,9788382341867,8382341861,352        pp,4.02,"142,101","Mar 03, 2020","Jul 06, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/57961091-kochankowie-i-pisarze
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Na zgodę. 5 kłótni, które wzmocnią wasz związek","Harrison, Joanna",8383195427,9788383195421,8383195427,304        pp,3.45,44,unknown,"Feb 28, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/205832726-na-zgod-5-k-tni-kt-re-wzmocni-wasz-zwi-zek
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ile kosztuje żona? Reportaż o systemowej przemocy wobec kobiet,"Rymszewicz, Violetta",8324084436,9788324084432,8324084436,288        pp,4.19,93,"Aug 08, 2022","Aug 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/61396134-ile-kosztuje-ona-reporta-o-systemowej-przemocy-wobec-kobiet
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mistyka kobiecości,"Friedan, Betty",8375546119,9788375546118,8375546119,520        pp,3.87,"28,303","Feb 19, 1963",Sep 2012,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/16054308-mistyka-kobieco-ci
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ministerstwo przewodnictwa uprasza o niepozostawianie w kraju,"Majd, Hooman",8362376783,9788362376780,8362376783,369        pp,3.51,"1,106","Nov 05, 2013","Mar 16, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/25525999-ministerstwo-przewodnictwa-uprasza-o-niepozostawianie-w-kraju
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jak być kobietą,"Moran, Caitlin",8375084638,9788375084634,8375084638,400        pp,3.72,"108,901","Jun 16, 2011","Mar 07, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/15836453-jak-by-kobiet
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ćpuny wojny. Tego nie zobaczysz w relacjach z frontu,"Wojtacha, Anna",8311158118,9788311158115,8311158118,382        pp,3.94,138,2012,"Jan 29, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/50728880-puny-wojny-tego-nie-zobaczysz-w-relacjach-z-frontu
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kiedy będziemy wolne,"Ebadi, Shirin",8324042407,9788324042401,8324042407,320        pp,4.27,"1,756","Mar 15, 2016","Oct 09, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.5Imponująca kobieta, ta książka to świadectwo odwagi i siły jaka potrafi być w człowieku. Jeśli wątpicie w swoje możliwości i wytrzymałość to koniec4.5Imponująca kobieta, ta książka to świadectwo odwagi i siły jaka potrafi być w człowieku. Jeśli wątpicie w swoje możliwości i wytrzymałość to koniecznie przeczytajcie....more",Notes are private!,0,3,1,"Mar 14, 2024","Mar 26, 2024","Feb 24, 2024",,Hardcover,view (with text),/book/show/36318237-kiedy-b-dziemy-wolne
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jedyna płeć,"Kielos, Katrine",,9788375547337,,210        pp,3.68,"3,146",2012,"Mar 19, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 12, 2024",not set,"Feb 24, 2024",,ebook,view,/book/show/22319276-jedyna-p-e
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Irańska Historia Miłosna. Ocenzurowano.,"Mandanipour, Shahriar",,,,440        pp,3.67,"1,963",2008,"Sep 21, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Apr 2024,not set,"Feb 24, 2024",,Hardcover,view,/book/show/9298837-ira-ska-historia-mi-osna-ocenzurowano
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Księgarz z Kabulu,"Seierstad, Åsne",8374140739,9788374140737,8374140739,310        pp,3.77,"53,489","Sep 02, 2002",Jan 2005,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/6640647-ksi-garz-z-kabulu
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Indie rozdarte,"Roy, Arundhati*",8364142313,9788364142314,8364142313,176        pp,4.07,"1,056",2011,"Mar 05, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/21504510-indie-rozdarte
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dobra pustynia,"Kozińska, Dorota",8377477432,9788377477434,8377477432,208        pp,3.26,35,"Jun 01, 2012","Jun 01, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5Dobry reportaż, spodobało mi się, że autorka dodawała dużo osobistych komentarzy.",Notes are private!,0,3,1,"Mar 10, 2024","Mar 14, 2024","Feb 24, 2024",,Paperback,view (with text),/book/show/19503300-dobra-pustynia
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dzienniki Kamasutry. Podróże intymne po współczesnych Indiach,"Howard, Sally",8394311865,9788394311865,8394311865,232        pp,3.46,117,2013,"Apr 19, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5ahhhhhh, uwielbiam Indie but I hate man",Notes are private!,0,7,1,"Mar 07, 2024","Mar 10, 2024","Feb 24, 2024",,Paperback,view (with text),/book/show/29915649-dzienniki-kamasutry-podr-e-intymne-po-wsp-czesnych-indiach
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Umma. Reporter na Bliskim Wschodzie,"Montesquiou, Alfred de",8328021773,9788328021778,8328021773,542        pp,4.35,65,"Apr 04, 2013","Sep 09, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/26167811-umma-reporter-na-bliskim-wschodzie
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Belfast. 99 ścian pokoju,"Łojek, Aleksandra",8380491017,9788380491014,8380491017,184        pp,3.73,506,"Jul 01, 2015","Jul 01, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 26, 2024",not set,"Feb 24, 2024",,Hardcover,view,/book/show/25866469-belfast-99-cian-pokoju
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Migracje,"McConaghy, Charlotte*",8381431700,9788381431705,8381431700,352        pp,4.14,"73,114","Aug 04, 2020","Dec 09, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Hardcover,view,/book/show/56129578-migracje
