,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Roy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
169,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ballad of Black Tom,"LaValle, Victor",0765387867,9780765387868,0765387867,149        pp,3.86,"28,328","Feb 16, 2016","Feb 16, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2017",,Paperback,view,/book/show/26883558-the-ballad-of-black-tom
170,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Changeling,"LaValle, Victor",0812995945,9780812995947,0812995945,431        pp,3.79,"23,354","Jun 13, 2017","Jun 13, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Nov 22, 2017",,Hardcover,view,/book/show/31147267-the-changeling
171,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Never Caught: The Washingtons' Relentless Pursuit of Their Runaway Slave, Ona Judge","Dunbar, Erica Armstrong",1501126393,9781501126390,1501126393,253        pp,3.83,"9,138","Feb 07, 2017","Feb 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Nov 01, 2017",,Hardcover,view,/book/show/30753748-never-caught
172,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Underground Railroad,"Whitehead, Colson*",0385542364,9780385542364,0385542364,320        pp,4.06,"401,199","Aug 02, 2016","Aug 02, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This novel is a grand literary achievement, well deserving of its accolades and the Pulitzer Prize. It is a story of American slavery, and of daring tThis novel is a grand literary achievement, well deserving of its accolades and the Pulitzer Prize. It is a story of American slavery, and of daring to dream of freedom. It depicts the shackles that physically held people in bondage as well as mentally chaining them to the inescapable past. Slaves who did not have their spirits broken by enforced servitude had one chance to claim a life worth living. They could run and hope to make it to the underground railroad. Colson Whitehead makes the interesting choice of depicting it as an actual railroad running beneath the ground, giving the story somewhat of a science fiction feel. But for the most part the narrative is a gritty, realistic one. A woman named Cora is at its center. She escapes bondage much as her mother, who was never heard from again, did before her. Freedom is fleeting. Just as Cora has grown comfortable and believes she has found a permanent place for herself, she ends up imprisoned in an attic, hiding until found and recaptured. Once again she escapes and this time she finds a utopia, a community of black people living prosperously and independently. But paradise found is only a sweet respite until it is lost. A slave catcher named Ridgeway relentlessly pursues Cora even after the man who hired him to find her has died. His determination to return Cora to bondage is a match for her desire to live on her own terms rather than those dictated by a barbaric society. Yet Ridgeway can hold Cora captive to no greater degree than one can grasp the wind. Once again she escapes and goes on the run, riding the subterranean rails towards a future that is beyond the reach of slavery. The story is told at a pulse quickening pace, with quiet moments interspersed that resemble freedom and present the possibility of Cora choosing a lifelong home, until she finds herself being hunted again. We hope for Cora's fate to be merciful, knowing that the railroad's journey to a better tomorrow is mighty long, continuing in certain ways to this very day....more",Notes are private!,0,23,1,Nov 2017,Nov 2017,"Oct 09, 2017",,Hardcover,view (with text),/book/show/30555488-the-underground-railroad
173,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Origin        (Robert Langdon, #5)","Brown, Dan*",0385514239,9780385514231,0385514239,461        pp,3.89,"326,202","Oct 03, 2017","Oct 03, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Dan Brown is at it again and so is his favorite protagonist, Robert Langdon. I have read several of his novels to date and have been impressed by the Dan Brown is at it again and so is his favorite protagonist, Robert Langdon. I have read several of his novels to date and have been impressed by the consistency and reliability of their quintessential Dan Brown-ness. Will you get a page turner thriller in which the fate of the world is at stake? Check. Will you be bombarded by elements of both science and religion, with the legitimacy of faith in God seemingly in peril at every turn, yet somehow managing to persevere? Check. Will you feel like you took a college course after having learned about multiple fascinating locations and organizations and rituals that you never knew existed before? Check. Will Robert Langdon, the ultimate know-it-all, be an expert on just about everything encountered in the course of the story? Check. Will he juggle adventure going and mystery solving with a flirtation due to having a beautiful woman at the hip throughout his journey, but in the end it won't amount to much as Robert Langdon, unlike say James Bond, is the sort of hero who always meets but never gets the girl? Check. The fact that Brown never strays or deviates from his tried and true formula does not mean that I have grown weary of it. I have not enjoyed all Dan Brown novels equally, but they each have their charm. The question: ARE YOU NOT ENTERTAINED? has continued to be answered by his books in the affirmative. Origin does not feature the threat of deadly widespread peril that we got in Inferno. It strays closer to his biggest hit The Da Vinci Code in that the big climax we're headed towards is a revelation (or two or three) that will likely rock humanity to its core. In The Da Vinci Code the big reveal is whether Jesus married, fathered a child, and if there is a descendant from his bloodline living among us. That, rather than a golden chalice, turns out to be the legendary holy grail. In Origin, a genius computer whiz (who happens to be a former student of Robert Langdon) promises/threatens to reveal the answers to the two biggest questions of all time. How did all of this begin (Is the truth the Bible's Adam & Eve story, the Big Bang Theory; the result of Extraterrestrial DNA drop off; some other explanation that has eluded mankind until now) is the first question. Where are we destined to go or become is the second. This may differ from reader to reader, but I personally found the questions posed and explored in Origin to be less compelling than the mysteries unearthed in fictional form in The Da Vince Code. And mankind isn't being threatened with extinction or population cleansing in Origin such as was the case with the more urgent plot of Inferno. There is no deadly vendetta against the Catholic Church by my favorite club - the Illuminati - like there was in Angels in Demons. Instead, the big payoff in Origin is basically a press conference hosted in dramatic high tech fashion by a man named Edmond Kirsch. So the stakes are not quite as high in Origin as in previous Dan Brown books. I try to remain spoiler free in s so will simply say that Edmond is initially thwarted from delivering his ""earth shattering"" messages. But where there is a will there is a way, and what Edmond cannot pull off on his own perhaps can be accomplished on his behalf by a determined Robert Langdon, who as usual is accompanied by a beautiful woman he has decided to trust, but our hero is never distracted from the task at hand. He is also aided by Edmond's resourceful Artificial Intelligence assistant - Winston. Having Winston at his constant virtual disposal, except for a period of time after he is forced to ditch his cell phone, allows the extremely learned Robert Langdon to be even more of a know-it-all than usual. But Dan Brown always has a few cards hidden up his sleeve until the final scene. I wasn't blown away by Origin. There was a predictability to the outcome in my opinion. I'm not the best at guessing how writers will wrap up a story, but with this book I did pretty well in anticipating how things would turn out. I also was a little less attached to the secondary characters than has previously been the case. How attached can one grow to a computer program? And since the woman running around with Landgon is engaged to another man, he has even less of a shot at getting the girl than usual. Nevertheless I did enjoy and race through Origin. Dan Brown is a master at getting readers to hungrily turn through his pages. I look forward to his next offering, which I will tackle when in the mood for the easiest of reads....more",Notes are private!,0,4,1,"Jul 27, 2020","Jul 27, 2020","Oct 03, 2017",,Hardcover,view (with text),/book/show/32283133-origin
174,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Jungle,"Sinclair, Upton",1884365302,9781884365300,1884365302,335        pp,3.77,"145,498",1906,"Apr 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 02, 2017",,Paperback,view,/book/show/41681.The_Jungle
175,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Water for Elephants,"Gruen, Sara*",1565125606,9781565125605,1565125606,368        pp,4.11,"1,615,252","May 22, 2006","Apr 09, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was vaguely aware that a movie adaptation has been made of this novel when picking it up to read. I have yet to see the movie, but in general when II was vaguely aware that a movie adaptation has been made of this novel when picking it up to read. I have yet to see the movie, but in general when I see that a book has been made into a movie, I figure the book must be pretty good. This way of thinking can prove to be false of course. At most it's probably a solid indicator that the book sold well. We know that plenty of lousy movies have been adapted from far superior books, and perhaps less frequently but it does happen, a pretty good movie sometimes can be the result of adaptation from a so-so book. In the case of Water for Elephants since I haven't seen the movie, I can't speak as to which version I enjoyed best. I can only speak to the novel which I thought was mediocre. It's the story of a man in his nineties living in a nursing home who thinks back on his days spent working as a veterinarian in a traveling circus. The setting jumps back and forth from Jacob being a young man on a train with a bunch of circus folk to being an old man dealing with the erosion of his body and mind. Most of the book is dedicated to his circus days and how he ends up with the woman who would become his wife and mother of his children. These sections are where most of the action takes place. In the present it doesn't get more dramatic than Jacob being cranky about nursing home life, him becoming disoriented sometimes, and family members forgetting to visit him on the one day when a circus happens to be nearby. Yet I found the writing to be more engaging in quiet scenes set in the present where nothing much took place than the portions dealing with circus life. Plenty of elements are in place for intriguing storytelling. We have a circus owner with a complex over not being the Ringling Brothers Circus who is willing to cut losses of human lives if that's what it takes to keep the show going on. There is the paranoid schizophrenic boss who switches from charming to psychotic on a dime. His beautiful headline act wife whom Jacob can not stop thinking about. Also aboard the train are performers, some more freakish than others, and animals, some more dangerous than others, that are in Jacob's care. The scenes taking place during Jacob's youth felt rushed to me. It was as if the author wanted to include as many eventful happenings during this period as could be crammed in, but she dwells on none of them for long because it's already time to move on to the next one. Everybody seemed to be a character sketch of a personality type rather than a fully fleshed out human being. The lone exception is Jacob, but only because the book focuses on him in his senior years along with his adventurous youthful days, giving us a little more time to learn what makes him tick. Water for Elephants is an easy read that covers some interesting territory, but it fell well short of being the greatest show on earth. I wouldn't be surprised if I enjoy the movie more than the book if I ever get around to watching it. I've rounded up from 2-1/2 to 3 stars because I like the title of this book and that's as good a reason as any....more",Notes are private!,0,5,2,"Apr 09, 2018not set","Apr 09, 2018not set","Sep 01, 2017",,Paperback,view (with text),/book/show/43641.Water_for_Elephants
176,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sing, Unburied, Sing","Ward, Jesmyn*",,,,285        pp,4.01,"135,227","Sep 05, 2017","Sep 05, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 17, 2017",,Hardcover,view,/book/show/32920226-sing-unburied-sing
177,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Crazy Rich Asians        (Crazy Rich Asians, #1)","Kwan, Kevin*",0385536976,9780385536974,0385536976,403        pp,3.90,"490,024","Jun 11, 2013","Jun 11, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,0,not set,not set,"Aug 06, 2017",,Hardcover,view,/book/show/16085481-crazy-rich-asians
178,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Five-Carat Soul,"McBride, James*",073521669X,9780735216693,073521669X,320        pp,4.01,"4,238","Sep 26, 2017","Sep 26, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 27, 2017",,Hardcover,view,/book/show/34626370-five-carat-soul
179,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The 19th Wife,"Ebershoff, David*",1400063973,9781400063970,1400063973,514        pp,3.65,"59,583","Aug 05, 2008","Aug 05, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 18, 2017",,Hardcover,view,/book/show/2586771-the-19th-wife
180,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"One Mountain, Many Paths","Swift, Patrick",0978934903,9780978934903,0978934903,160        pp,3.67,3,"Apr 01, 2007","Apr 01, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 18, 2017",,Paperback,view,/book/show/462296.One_Mountain_Many_Paths
181,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Purity,"Franzen, Jonathan",0374239215,9780374239213,0374239215,563        pp,3.64,"48,805","Sep 01, 2015","Sep 01, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 10, 2017",,Hardcover,view,/book/show/23754479-purity
182,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cold Mountain,"Frazier, Charles",0802142842,9780802142849,0802142842,449        pp,3.88,"242,739","Jan 01, 1997","Aug 31, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 10, 2017",,Paperback,view,/book/show/10920.Cold_Mountain
183,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If Beale Street Could Talk,"Baldwin, James",0307275930,9780307275936,0307275930,197        pp,4.27,"60,719",1974,"Oct 10, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 10, 2017",,Paperback,view,/book/show/38463.If_Beale_Street_Could_Talk
184,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Quitting Jehovah's Witnesses & Other Cults: how to do it & why you should,"Stocking, Angus",0976504375,9780976504375,B00EP59KUW,68        pp,4.00,4,"Aug 21, 2013","Aug 21, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 26, 2017",,Kindle Edition,view,/book/show/19429132-quitting-jehovah-s-witnesses-other-cults
185,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Garden of Eden,"Hemingway, Ernest",0684804522,9780684804521,0684804522,248        pp,3.71,"21,272","May 01, 1986",2003,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 16, 2017",,Paperback,view,/book/show/10775.The_Garden_of_Eden
186,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret Life of Houdini: The Making of America's First Superhero,"Kalush, William",0743272072,9780743272070,0743272072,608        pp,3.86,"2,572",2006,"Oct 31, 2006",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4 stars earned because the subject of this book led such an interesting life. 2 stars earned because the tedious writing style pulled off the feat of 4 stars earned because the subject of this book led such an interesting life. 2 stars earned because the tedious writing style pulled off the feat of making Houdini's exploits seem quite mundane. So I've split the difference to give it 3 stars. Overall I'm glad I read this book. What I came into it already knowing about Houdini only scratched the surface of his accomplishments. I had no idea that he was a major participant in the earliest days of airplane flight. Not until reading the jacket cover did I know he most likely participated in spying for the government. Turns out he was also a Hollywood star (writing, directing, acting), a bibliophile who amassed practically a public library's worth of books, a man on a mission to warn the public against con artists who promised (for a price) to provide connections to the dearly departed, and perhaps least surprising - a ladies man. Houdini proved to be much better at escaping from all manner of devices than at keeping his extramarital affairs secret from his wife. The subject matter of this biography is juicy but the prose manages to be overlong and repetitive and I'll just say that it's way less of a page turner than it could have been. But I read through to the end and now feel that I know just about everything there is to know about Harry Houdini EXCEPT how he managed to pull off all that wonderful magic. He is and probably forever will be the gold standard of mystifying entertainment....more",Notes are private!,0,3,1,"Aug 25, 2017","Aug 25, 2017","May 23, 2017",,Hardcover,view (with text),/book/show/13944.The_Secret_Life_of_Houdini
187,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Topdog/Underdog,"Parks, Suzan-Lori",1559362014,9781559362016,1559362014,110        pp,3.83,"6,418","Jun 01, 2001",Dec 2001,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 10, 2017",,Paperback,view,/book/show/764270.Topdog_Underdog
188,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Chasing Space: An Astronaut's Story of Grit, Grace, and Second Chances","Melvin, Leland",0062496727,9780062496720,0062496727,256        pp,3.76,"1,112","May 23, 2017","May 23, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 22, 2017",,Hardcover,view,/book/show/31867520-chasing-space
189,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Year of the Rat,"McIntyre, Ridley*",0998426504,9780998426501,0998426504,162        pp,4.20,5,unknown,"Nov 23, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2017",,Paperback,view,/book/show/34002902-year-of-the-rat
190,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hate U Give        (The Hate U Give, #1)","Thomas, Angie*",,,0062498533,454        pp,4.47,"897,654","Feb 28, 2017","Feb 28, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Mar 04, 2017",,Hardcover,view,/book/show/32075671-the-hate-u-give
191,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kindred: A Graphic Novel Adaptation,"Duffy, Damian",141970947X,9781419709470,141970947X,256        pp,4.20,"10,095","Jan 10, 2017","Jan 10, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Feb 08, 2017",,Hardcover,view,/book/show/28818221-kindred
192,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Letter from the Birmingham Jail,"King Jr., Martin Luther",0062509551,9780062509550,0062509551,48        pp,4.72,"7,485","Apr 16, 1963","Jan 01, 1994",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,not set,not set,"Jan 16, 2017",,Hardcover,view,/book/show/203899.Letter_from_the_Birmingham_Jail
193,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Middlesex,"Eugenides, Jeffrey",0312422156,9780312422158,0312422156,529        pp,4.03,"639,179","Sep 04, 2002","Sep 16, 2002",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not many perfect books have been written but a handful can make a legitimate claim to the title. Middlesex by Jeffrey Eugenides is the type of novel tNot many perfect books have been written but a handful can make a legitimate claim to the title. Middlesex by Jeffrey Eugenides is the type of novel that would have made me fall helplessly in love with reading if I wasn't already there. The steady handed prose does not try to shock or even take us by surprise, but instead takes readers on a fascinating journey up a family tree, leading us to the end of a narrative branch where we reach its strange fruit. ...more",Notes are private!,0,7,1,not set,"Mar 19, 2017","Dec 06, 2016",,Paperback,view (with text),/book/show/2187.Middlesex
194,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Calf,"Kleine, Andrea*",1593766556,9781593766559,1593766556,304        pp,3.53,237,"Sep 01, 2015","Nov 15, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 28, 2016",,Paperback,view,/book/show/28593120-calf
195,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sherlock Holmes and The Nine-Dragon Sigil,"Symonds, Tim*",1787050351,9781787050358,1787050351,368        pp,4.23,44,"Nov 06, 2016","Nov 21, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2016",,Paperback,view,/book/show/32666837-sherlock-holmes-and-the-nine-dragon-sigil
196,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Swing Time,"Smith, Zadie",1594203989,9781594203985,1594203989,453        pp,3.56,"72,882","Nov 15, 2016","Nov 15, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 13, 2016",,Hardcover,view,/book/show/29734992-swing-time
197,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Homegoing,"Gyasi, Yaa*",,,,305        pp,4.47,"341,239","Jun 07, 2016","Jun 07, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This novel is magnificent. A truly extraordinary achievement and an absolute pleasure to read. The plot is perfectly simple. A family tree gets split This novel is magnificent. A truly extraordinary achievement and an absolute pleasure to read. The plot is perfectly simple. A family tree gets split into two branches in Africa. Two sisters who never get to know each other are separated, one married off to a white slave trader and the other ending up as one of the slaves held literally beneath their feet. Subsequent chapters bounce back and forth between descendants of the two sisters. Each chapter gives us a slice in the life of a character. It picks up at what seems like a random spot in a person's life, gets us absorbed in that story, and then abruptly abandons it. The next chapter introduces us to a new character who falls in the other half of the family lineage. Reading Yaa Gyasi's wonderful novel is like watching a literary tennis match, our attention drawn to one side of the net and then pulled to the other and back and forth the narrative goes. We reach the end of each chapter with a tinge of regret because it was a riveting tale unto itself and we are naturally curious to follow it further. But we are equally anxious to dive into the next story from the other side of the net. Homegoing is a novel that very much has the feeling of an anthology of short stories. Each story is a sequel to the one that we read two chapters back, introducing us to the son or daughter of the father or mother we previously read about. Inevitably the two family/narrative lines will meet up, or so we hope and expect. Ultimately it is a single family and story divided up into various segments that contain varying amounts of joy and tragedy and hope. Homegoing is the story of the atrocities of the slave trade, and colonization, and segregation, and Jim Crow, and the Great Migration, and the war on drugs, and mass incarceration which is basically full circle back to slavery in modern society. It is a story of family, not just this particular fictional one but the real world African American family. Splintered into pieces that may never reconnect. Like the characters who populate this book, each of us have entirely different and unique stories. Yet we all share the same, single path. We are each other's brothers and sisters even if fated to never cross paths. Trace back far enough and we can find where the connection began. And if we cannot, we still know that the connection is out there somewhere, and so we should relate to and treat one another with this understanding. Decades ago Alex Haley gave us the masterful Roots and now Yaa Gyasi has given us the brilliant Homegoing. The latter is a work of pure fiction but feels like truth as the best of fiction does. Put this book immediately into the literary canon. Homegoing should be mandatory reading for all students of African American history, and Black Literature, and English Majors. If you're not a student in any of those classes then read it anyway because it's a wonderful novel that you will be glad to have read. It is a story for everyone as the best of fiction is, but will resonate particularly with the souls of black folk. Bravo, Yaa Gyasi. Bravo!...more",Notes are private!,0,17,1,"May 29, 2021","May 29, 2021","Nov 08, 2016",,Hardcover,view (with text),/book/show/27071490-homegoing
198,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nobody's Fool        (Sully #1),"Russo, Richard*",0679753338,9780679753339,B00A2OH066,549        pp,4.11,"30,176","May 25, 1993","Apr 12, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 04, 2016",,Paperback,view,/book/show/659388.Nobody_s_Fool
199,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everybody's Fool        (Sully #2),"Russo, Richard*",0307270645,9780307270641,0307270645,477        pp,4.11,"16,041","May 03, 2016","May 03, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 04, 2016",,Hardcover,view,/book/show/27068575-everybody-s-fool
200,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Z: A Novel of Zelda Fitzgerald,"Fowler, Therese Anne*",1250028647,9781250028648,,464        pp,3.86,"55,900","Apr 09, 2013","Mar 26, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A fine piece of literary historical fiction. I've always been fascinated by the Jazz Age and the artists who gave it its reputation. Especially the AmA fine piece of literary historical fiction. I've always been fascinated by the Jazz Age and the artists who gave it its reputation. Especially the American writers who took a break from our shores to live in Paris and join the future icons from Europe in wine, cheese and debauchery. Therese Anne Fowler did an exemplary job of bringing familiar names and reputations from literature anthologies to life, skillfully transporting us to romanticized days. Reading this novel I felt like Owen Wilson's character in Woody Allen's Midnight in Paris, suddenly thrust into a world where each day was filled to the brim with an excess of genius, celebration, and elegant style. In the middle of this story we find Zelda Fitzgerald, a woman who on the one hand was perfectly emblematic of this time, yet on the other could not fit in the way she truly yearned to because she was a woman/wife/mother in a man's world. Zelda was a person of bursting talent and ambition that could not be fully exploited and showcased because of her role as Mrs. Fitzgerald. Fowler explores the great passion that brought and somehow held the Fitzgeralds together over the course of their tempestuous marriage. The reader knows before turning to the first page that greatness is in store for them, most especially for F. Scott, but Zelda is more of a mystery to us. As the pages are turned and the narrative unfolds, we learn that there is more to Zelda than her reputation as a rather unstable temptress. We watch her try to be a good wife as the time period defined this term to the man she loved, while also trying to be a woman ahead of her time who hoped to carve out her own place in the history books. We watch her desires nearly destroy her as her husband's vices wreak havoc on their roller coaster marriage and his health. Various famous names flit in and out of their lives. Ernest Hemingway plays a major role in expanding F. Scott Fitzgerald's insecurities and loosening the bonds of his devotion to Zelda. There is plenty of glamour and globetrotting and name dropping and a Great War and eventually another one. In the center of it all is a fun loving southern belle who decides to take a chance on a cocky northern soldier that her daddy does not approve of. She chooses to defy conventions and expectations, and tries to discover herself along the way rather than meekly accepting who society says she is supposed to be. F. Scott Fitzgerald casts a great shadow. Seeking light nearly destroyed Zelda, but she was a formidable woman who could withstand everything but the literal flames that consumed her on her final day. With able assistance from Therese Anne Fowler, Zelda has risen from the ashes and assumed her place as an icon from a magical time....more",Notes are private!,0,3,1,not set,"Nov 26, 2016","Oct 12, 2016",,ebook,view (with text),/book/show/15994634-z
201,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mothers,"Bennett, Brit*",0399184511,9780399184512,0399184511,288        pp,3.89,"119,147","Oct 11, 2016","Oct 11, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,11,1,"Sep 25, 2017","Oct 09, 2017","Sep 28, 2016",,Hardcover,view,/book/show/28815371-the-mothers
202,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Wave From Mama,"Allen, A. Robert*",,,,246        pp,4.46,118,"Aug 01, 2016","Aug 01, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 16, 2016",,Kindle Edition,view,/book/show/31331913-a-wave-from-mama
203,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Matters of Convenience,"Jr., Roy L. Pickering*",0692673989,9780692673980,0692673989,427        pp,4.33,9,"Nov 15, 2016","Nov 15, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 06, 2016",,Mass Market Paperback,view,/book/show/31847283-matters-of-convenience
204,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Another Brooklyn,"Woodson, Jacqueline*",0062359983,9780062359988,0062359983,192        pp,3.87,"39,183","Aug 09, 2016","Aug 09, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 26, 2016",,Hardcover,view,/book/show/27213163-another-brooklyn
