,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jeanette's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Invisible Hour,"Hoffman, Alice*",1982175389,9781982175382,1982175389,272        pp,3.63,"27,995","Aug 15, 2023","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Paperback,view,/book/show/199798000-the-invisible-hour
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Here in the Dark,"Soloski, Alexis",125088294X,9781250882943,125088294X,256        pp,3.40,"1,008","Dec 05, 2023","Dec 05, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Zowza! Outlier indeed. In all the senses I can evaluate too. But the genre is more horror, psychological style than it is detecting in any genre form.Zowza! Outlier indeed. In all the senses I can evaluate too. But the genre is more horror, psychological style than it is detecting in any genre form. It was taken totally unknown from the ""New"" shelf. Probably one of the only times my outcome is a 5 star read experience after such a simple ""like the cover"" gambit.But few readers will like this one as much as I did. EXCELLENT vocabulary. Anhedonic or ultramimetic? This author is a woman after my heart. Would Mylifeisart ever be a service website?This is REAL New York City. So I warn. And warn again. Because there ARE many there like Vivian who reside in Manhattan. Ones who also have all the answers yet not a morsel of their own core self-identity and/or self worth to surround. Sorrowfully true. Because they are always acting and 90% disconnected from ""other"". And purposely keep that so.I won't go long although I could. But this is very dark and centered on a mentally ill/ personality disordered woman. Who also happens to be an excellent live theater/ stage performances critic. It's written for Arts majors and those who have MFA's etc. Not practical applications people like I am. So I am shocked by my own appreciation. This novel is cruel and coarse. And very real. Think quite opposite of any type of cozy.Warning: foul and excelling language. Both. Dark and darkness uses of alcohol and other addictions. Pleasure gotten through pain. Escape from singular life and the personal by living as an actor or in make believe worlds. But all done in reverse. Or looking in instead of out? Or not? It IS in chronological order.I could NOT put it down. And the ending I only guessed about 10 pages before the end of the book.I sure wonder if this author will ever do other novels? IMHO, this perhaps is highly autobiographical. By a very, very brilliant woman. Hope she is not as sick as Vivian seems. But I'll not forget the name Soloski. Let's all pretend!""My body feels like a dress bought on clearance, one that never really fit.""...more",Notes are private!,0,13,1,"Apr 04, 2024","Apr 08, 2024","Apr 04, 2024",,Hardcover,view (with text),/book/show/65211841-here-in-the-dark
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Waterland,"Swift, Graham",0679739793,9780679739791,0679739793,368        pp,3.90,"9,289",1983,"Mar 31, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Paperback,view,/book/show/871594.Waterland
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Miller's Dance        (Poldark, #9)","Graham, Winston",0330345028,9780330345026,0330345028,485        pp,4.22,"5,981",1982,"Jan 01, 1996",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Apr 11, 2024",not set,"Apr 04, 2024",,Paperback,view,/book/show/194620.The_Miller_s_Dance
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Loving Cup        (Poldark, #10)","Graham, Winston",0330345036,9780330345033,0330345036,324        pp,4.29,"5,617","Oct 29, 1984","Jan 01, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 09, 2024",not set,"Apr 04, 2024",,Paperback,view,/book/show/837086.The_Loving_Cup
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Body Farm: Stories,"Geni, Abby",1640096264,9781640096264,1640096264,304        pp,4.67,12,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/195830894-the-body-farm
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Following Caesar: From Rome to Constantinople, the Pathways That Planted the Seeds of Empire","Keahey, John*",1250792401,9781250792402,1250792401,256        pp,3.42,106,"Dec 12, 2023","Dec 12, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is interesting but not at all enthralling. For me, anyway. I enjoy most travelogues more, although I loved the places featured in this one.The auThis is interesting but not at all enthralling. For me, anyway. I enjoy most travelogues more, although I loved the places featured in this one.The author may be a great traveler but not a writer up to that equal. He rather tells more about the help he engenders along the way and the search questions to natives of these places than he does re the places themselves. It seems he wants to stress his own serendipity type of long term and slow (months given to this) type of travel. Other than the planned, appointed, scheduled type of travel most humans are able to complete presently.The areas of core interest re former Roman Empire roads was an excellent tale and observation onus for the book. But the telling got much off subject into tangent and sometimes rambling. But I did enjoy it, although I could speed read parts as they were so dry.The other ers note no photos. The photos in my hardcover were SUPERB. Excellent- 6 stars. They were the best part of the book. To view the layers and the top stones of the various Via! Such a legacy- leaving this for us to see 2000 plus years ""after"". The engineering was fabulous and the idea and outcome changed the world. Not only for trade either....more",Notes are private!,0,7,1,"Mar 30, 2024",Apr 2024,"Mar 30, 2024",,Hardcover,view (with text),/book/show/65213123-following-caesar
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Shadow of Time,"Ansbro, Kevin*",1914083229,9781914083228,1914083229,388        pp,4.31,132,"Aug 30, 2021","Aug 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Paperback,view,/book/show/58889695-in-the-shadow-of-time
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ten Thousand Doors of January,"Harrow, Alix E.*",0316421995,9780316421997,0316421995,374        pp,4.03,"137,973","Sep 10, 2019","Sep 10, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/43521657-the-ten-thousand-doors-of-january
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hidden in Shadows        (The Åre Murders #2),"Sten, Viveca",1542037522,9781542037525,B0BXVBH6WK,443        pp,4.15,"4,469","Oct 01, 2021","Dec 05, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,The Hanna story becomes so overblown and juvenile that it seems ridiculous to me. With a sister like Lydia supplying you such a life of top notch lodgThe Hanna story becomes so overblown and juvenile that it seems ridiculous to me. With a sister like Lydia supplying you such a life of top notch lodging and ultimate backing? I won't continue with the Are locale series even if they do translate further into English. I totally understand why #3 never made the cut after this drawn out crazy pastor etc. mess.Plot here is abysmal. And 90% of the humans act like they are 13 rather than 30 plus. Complaint is the coming summer's sport. 12 to a side.Daniel is also ridiculous as are the so called hours of acceptable work etc. You can take your paternity leave in the summer and fall because there are so few cases then? Rolling down the alley laughing!Since when do people who move in with others for 3 or 5 years. with no marriage and with the original owner staying there after the move in person leaves; how can they deserve (or even begin to think) that they have earned a percentage of home ownership equity paid to them? Disgusting and just wrong. Just because they paid some small portion of a utility or other bills. Who has the mortgage and the name on the purchase! Nearly as bad as squatters thinking their presence equates to ownership. And with such high property taxes too. I doubt this author knows any law. She also thinks taking care of a baby is responsibility beyond bearing. She turns to reciting this for 10 pages out of each 100.This author truly wrecked the progression. The locale didn't deserve it....more,Notes are private!,0,7,1,"Mar 28, 2024","Apr 09, 2024","Mar 27, 2024",,Kindle Edition,view (with text),/book/show/123221953-hidden-in-shadows
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hidden in Snow        (The Åre Murders, #1)","Sten, Viveca",1542037506,9781542037501,B09RWR44VC,434        pp,4.07,"20,742","Oct 14, 2020","Dec 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is her other series start (Are #1). I've read one of the beginning novels for her other/ alternate Swedish isle locale series. This one is locateThis is her other series start (Are #1). I've read one of the beginning novels for her other/ alternate Swedish isle locale series. This one is located in Are which is a very outlier rural mountain village part of Sweden. (Glorious mansions have just been built. Think Aspen category residents in part.) The ski lifts park/ venues are gearing up within the treacherous beginning of a winter blizzard period. Weather is key here throughout- it is focus. Deep snow and more and more. I will remind that this is for a length of daylight (well sort of) of no more than 5-1/2 hours total length of sunlight (murky too) daily. So darkness to search? Nearly a constant factor as well.Missing Amanda (just 18 years old) cores. And also Hanna finding herself after a turn of events which in some ways just dismissed her inclusion in the Stockholm police force. So the beginning itself was done quite well. With Hanna in turmoil and out of her city, urban reality completely. And this is the core problem with all her books that I've read so far and with this one too. Good beginning and more than adequate going to excellent endings. All. But scattered progressions, at best- and way, way too much repetitive filler in between. Sten does that the most in her introduction books to a series. It makes them overlong and at points hard to come back to with enthusiasm. So most of the book read feels like a 3 star. Also, I am always flabbergasted by the Swedish law procedures and in/out (ok let's just go in here again now or switch jurisdictions etc.) ploys. Which would never, ever be allowed in so many other countries.Yes, we know Hanna has poor self-esteem and is a mess up. Over and over we need to read chapter after chapter of her self-defeating thoughts? More than 100 pages of that onus with breaks of minute inquiry in this book. But that is how Sten gets any character depth? Not a fan.Also her characters, almost all of them. And especially all the primes. Why are they so always with tempers or wanting instant revenge. They act more Sicilian than they do Swedish? Beats me. But for this book especially- that almost made it a 3 star. I only rounded it up for the spectacular locale feel and accurate death. Well done. I don't think I have approached the slow freeze done as well and it is rarely, rarely attempted. Not even in the Nordic noir or any genre on the whole. With that weather you would think it is as common as the strangling has become.Well- even her main men characters all have a screw loose and snap. And the women are 90% juvenile (tearing apart clothing or wrecking with vandalism every time a ""hurt"" or rejection comes home to register). At 30 or 40 something? Sounds like teenager moronic reaction to me. Adults I know are not so universally triggered so fast. Is she (Sten) doing that as a habit to make the ""morose"" Scandinavian in most other writers' of this genre dissolve? Regardless- not everyone is perfect (like Lydia in this tale) but people in such jobs (law/copper/lab etc.) are just not as apt to be so over the top emotional. I have known many and I can't think of a one who is. Maybe also a warning for the animal lovers because a dog suffers retribution in this one. Another emotional snapper character- UGH!Overlong in repetition, but a writer of place and season that is memorable. 3 stars for all else- but 4 for that alone. I didn't completely guess the correct perp as I did in her others. Everything is more complex in this one so the social onus stance (trafficking, migration etc.) becomes much wider. Overall this is extremely sad too. Even having a 3 month old baby is made to seem too much for any adult to overcome. I hated that. Also she gets in her usual Mother or Mother-in-Law despicable older woman in there as usual. Drinking is more than featured by all as well....more",Notes are private!,1,7,1,"Apr 03, 2024","Apr 06, 2024","Mar 27, 2024",,Kindle Edition,view (with text),/book/show/60400625-hidden-in-snow
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Still Waters        (Sandhamn Murders, #1)","Sten, Viveca",150390704X,9781503907041,B00TUOH582,387        pp,3.76,"21,552",2008,"Oct 01, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It is closer to 3.5 stars in total. But I did round it up for the locale feel of Sandhamn Island and the isles around it. Also for Nora's story- as thIt is closer to 3.5 stars in total. But I did round it up for the locale feel of Sandhamn Island and the isles around it. Also for Nora's story- as that one was highly pertinent to the modern era.But it was overlong and at least 1/2 of the middle portions needed less telling. Most especially within the 4 or 5 paragraph description of each place using nearly identical words to do so too. And also for Thomas's long winded surrounds or ferry or boating or walking portions to get to an inquiry or office space. But his workplace and associates were NOT overdone either, so the balance was off, IMHO. All else was (I cannot relate how many times the archipelago word in several forms or the same house flowers were again described and praised or at least noted) using page after page of little else but the very much alike description. And even after the third death a decent edit count and task could have scoured out at least 25 pages of the last third and it would have been a better book.Yet the ending made up for it. The last 40-50 pages were the full 4 stars. The stone tower and much else of the juxtapositions were done well.I will go on to book #2 and hope that the repetition habit becomes more cured as she publishes. And that she has better continuity- as this one had some points of huge jumpiness. And I did guess the correct murderer too just at about the half way point because of how that omitting ""jumping"" to others or Thomas's hierarchy was progressing.But I really do think she did Nora to a full 4 star level. Her thoughts, her activity, her sleep etc. with the 2 boys. That was very close to real life for this type of fiction genre. I'm a big fan of that aspect. Hope in book #2 that she does take the job in Malmo.It seems like nearly every one of these Scandinavian writers have characters that are orphans, family bereft, singles of dire happenstance etc. in majority. At least this one holds some people who have living parents, siblings who didn't all go to another continent or kids that are alive and/or at least talking to them. That was a plus for Still Waters. And the food was nearly minimal but they all DID at least eat something other than toast too. ...more",Notes are private!,0,1,2,"Apr 2024Mar 27, 2024","Apr 04, 2024not set","Mar 27, 2024",,Kindle Edition,view (with text),/book/show/25365325-still-waters
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Still Waters,"Goldman, Matt*",1250325692,9781250325693,1250325692,304        pp,4.11,9,"May 21, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Paperback,view,/book/show/195790648-still-waters
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Listen for the Lie,"Tintera, Amy*",1250880319,9781250880314,1250880319,352        pp,4.22,"34,151","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/127279000-listen-for-the-lie
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Beasts of Paris,"Penney, Stef",1639363777,9781639363773,,352        pp,3.76,278,"Jul 06, 2023","Jul 04, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was a slog for me as it was read between much better books. It didn't hold together as one book well either- too long with the animals a separateThis was a slog for me as it was read between much better books. It didn't hold together as one book well either- too long with the animals a separate story?Liked her other works far more. Too much description and over the top effusion pulsing for me to embed with these characters. And the locale feel was just tell, tell so long that I sped read to finish. 1871 is still the Chicago fire for me. ...more",Notes are private!,0,5,1,Apr 2024,"Apr 05, 2024","Mar 24, 2024",,ebook,view (with text),/book/show/61272042-the-beasts-of-paris
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wonder State,"Murphy, Sara Flannery*",0374601771,9780374601775,0374601771,375        pp,4.07,626,"Jul 18, 2023","Jul 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"DNF This is just hard to describe. It's basically Chick Lit. gone woo-woo. But regardless, I couldn't even follow the continual up and back switching DNF This is just hard to describe. It's basically Chick Lit. gone woo-woo. But regardless, I couldn't even follow the continual up and back switching in time etc. None of the characters seemed interesting either. Arkansas more so.Overall it became a slog and fantasy translated to real- silly....more",Notes are private!,0,5,1,"Mar 24, 2024","Mar 29, 2024","Mar 24, 2024",,Hardcover,view (with text),/book/show/62039193-the-wonder-state
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Liberators,"Koh, E.J.*",1959030159,9781959030157,1959030159,240        pp,3.48,571,"Nov 07, 2023","Nov 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,2.5 stars rounded up for some element of depth here. Really nothing is frivolous.It is a difficult read although short. The writing style is abrupt. J2.5 stars rounded up for some element of depth here. Really nothing is frivolous.It is a difficult read although short. The writing style is abrupt. Jumps. And frankly is mostly out of order English common sentences. Others speak of beauty etc.- to me nearly or actually incomprehensible.My enjoyment if it was a 2 star. I lost most of the connective tissue by the last third. It was my unknown book grab surprise of the month off the NEW shelf. I wanted to learn more about split Korea than I did. Seems to me that Japan has over eons caused odd self identity Korean population issues over all. It's beyond my grasping for sure. Sad....more,Notes are private!,0,9,1,"Mar 24, 2024","Mar 26, 2024","Mar 24, 2024",,Hardcover,view (with text),/book/show/96178191-the-liberators
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sito: An American Teenager and the City that Failed Him,"Ralph, Laurence*",153874032X,9781538740323,153874032X,320        pp,4.17,29,unknown,"Feb 20, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"One of thousands of heart breaking stories of teen gang banger death. The copy talked AT you. Like a lecture. There was hardly enough Sito biographicaOne of thousands of heart breaking stories of teen gang banger death. The copy talked AT you. Like a lecture. There was hardly enough Sito biographical or personal information to be the core of the title. Most of the book was about himself and the Black teenagers in various other cities. Not only San Francisco. Not only now either; then or always. And the title is not ""answered"" at all within specifics but with more theory, IMHO.He uses this terrible outcome for page after page of his own former publications as advertisement and also in repeated copy stats. And one of them is filled with what is called in tech social media sites ""misinformation"". Because I was there in Chicago during the ""glory days"" of his associates. This interpretation of the Weathermen and Black Rangers/ Black Panthers Nation etc. etc. is highly inaccurate. Murderers and terrorists all. Some were jailed for life. Some lead rolls now as if they hadn't killed 3 or up to a dozen innocent people each. When that is only the tip of the iceberg for their depth of horrific deeds, at that.People who read this type of highly educated theory posited as if most of it IS biography or is true? Well, I wish I would have had a cell phone camera about 10 times in my life before I was 30. Because almost the entire Chicago portion was like Pontius Pilate relating the events of Jesus of Nazareth's Palm Sunday parade.At points he says teenagers of this placement and time period is like being a leopard. They have ""leopards"" inside them and they cannot help many emotional actions of various terrible results. When emotional actions lead to vast destruction, murders, life long disabilities from assaults, destruction of property to where it can never recover- or just plain evil outcomes when victims can no longer hold any trust- than I believe it IS the fault of the person who committed the act. Never explained as ""normal"" either.Here, once again, the option of little to no consequence is posited as the answer for these acts? With all police as the tyrants? Oh, of course.What is hardest to swallow is the educational levels of these parental or step-father etc. relations as they ARE described. Where were they when the kid was growing up? Oh, probably seeking fulfillment or in schools of renown. The mother AND the father - he was NO priority.The writing itself- the form is just terrible. Vastly without continuity or order. Going on tangents of lecture or aside consistently....more",Notes are private!,0,8,1,"Mar 24, 2024","Mar 25, 2024","Mar 24, 2024",,Hardcover,view (with text),/book/show/173404634-sito
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Agrippina: Empress, Exile, Hustler, Whore","Southon, Emma",,,,285        pp,4.23,"1,634",2018,2018,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"You can give this anything across the boards and make valid arguments for your rating. If you have no tolerance for gross, foul, and crass language anYou can give this anything across the boards and make valid arguments for your rating. If you have no tolerance for gross, foul, and crass language and/or comparisons to judgments made here that don't translate well after 2000 years? Well, you see what I mean? I bet there were more street words for sexual intercourse in this book than any other I've read. Well, I read in quantity- but not ones like those using such gutter language much. So anyone who had to listen to this (audio)? Bonking in 100 forms. F words used in/as every part of speech. Then why the rating?Well, I almost gave it a 5 star rating. Because she gets you into the times of Agrippina. The razor's edge that being a great-granddaughter of Augustus gets you. Among a place, culture, time that was intensely rule bound and hierarchy dictated. Southon uses modern media and entertainment ""knowns"" (by her generation raised in England anyway)- to exactly differentiate. And it is like the layers of an onion. Everything small? Not really, as it gets peeled back to reveal more. You do ""get it"". This was a time of such power and in /for women- not at all the same as the present. Even 200 years ago women were NOT so lawfully restricted to their own singular existences. They in the Roman Empire did not even hold a lawful voice at all- only a male relative could own, speak, decide for them.The critics of Southon are so turned about by the constant ""I"" talk in this book coupled with feminist modern observations that they fail to see the lack within the historic record. This is an excellence that Southon notes and displays well. Or do most ers of this truly grasp the entire manner of writing and record that was done in the centuries after Agrippina's life which required it. And not just about her or any Empress or power female figurer either- but about the base mindset of the historic writer himself or the common person of those times beliefs/truths re women and authority. Common beliefs often became truth for the long term. They do now too. When truth is the farthest reach (opposite) of what WAS or IS.Some of the political ""sides"" are just as projecting today (accusing deeds which they themselves do continually) as they were in Agrippina's life span. So many of those events or outcomes were distorted too by the recorders afterwards. The Roman cognition/emotion/definition being that men and women could never be associates or friends in purposes (both good and bad purposes) without sex being involved between them. Coming from an Italian culture which still sits there- I do understand. Other cultures are worse. That's true. Still is.Read the other s for this too. It IS (her life and her actions) much more complex than Game of Thrones. If you ever watched I, Claudius on PBS (ancient now- probably most of you were not even born then)- you might understand this better. What you saw is not always what you got. Also I think this gives you a taste of the real religious sense of that era. Omens, tradition, clothing to reflect etc. Excellent- 5 stars. If anything she underestimates the superstition of curses, spells, sacrifices etc. The numbers of executions and annihilating entire populations went way down during Agrippina's run as Empress and in her persuasions overall too. The numbers recorded were an excellent window seldom exposed. I've read tomes of Rome for 60 plus years. Never saw that before.If you do nothing and detest flippant and crass historic details? Although most certainly close to truth- at least read page 141 in the hard cover. It's a masterful reciting of what Roman Empire DID to the provinces. It tells you much. How Roman Empire and colonization methods HAVE/DID advance the world. Because the message in education now is totally the opposite. Roads and peace were the least of it. Longevity, shelter, trade, engineering (I could get verbose) etc. The part about the draining of the lake festival! OMG, this was 2000 years ago and they DID that without any heavy equipment or mechanical power machines. Just passing the bath habit and places was a millennia of progress in health/ disease etc. Agrippina was smart and many will like her. I did not. But I do think she walked such an edge that she lived up to being Germanicus's daughter. Having her entire birth family but 1 sister (9 or 10 people depending on the historian) killed or dead before she herself was in her 20's? Well, I wonder who of us could have done better. I differ from Southon in several opinions and have read Roman history. Too much is unknown- especially upon what happened right before Claudius was poisoned. If you love Roman power reads- this is one of the best. Nearly a 5 star read but not, IMHO, because of the style of telling; it becomes abhorrent at points. Although the similes to similar modern tv or brands etc. comparisons make it much easier to absorb than most dry history relating. Why it loses the one star, maybe more- is that she at points does as Zinn did in his history ""telling"". Slant the ""eyes"" to make modern values apply or omits things that don't ""fit"" for personal/ individual appraisals. Not as horribly off as Zinn because at least she does (not all the time but most times) state the opposing theory/ events which may have happened/ alliances/ REAL outcomes that do not jibe etc. Zinn never does. Also she left out no time periods in Agrippina's life. Not even the ones of near silence or exile.I read her second book. It was not as good as this one centered on Agrippina. But I still can see SOME of the lower star ratings for this tone. Of course, only men ever wrote the history and it was only within eyes of their own social constructs. Some people now NEVER get that at all....more",Notes are private!,0,4,1,"Mar 28, 2024","Mar 31, 2024","Mar 23, 2024",,,view (with text),/book/show/40977850-agrippina
