,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,theduckthief's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mordew        (Cities of the Weft, #1)","Pheby, Alex*",1913111024,9781913111021,1913111024,617        pp,3.60,"3,073","Aug 13, 2020","Aug 13, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Hardcover,view,/book/show/53438794-mordew
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Fellowship of the Ring        (The Lord of the Rings, #1)","Tolkien, J.R.R.",,,B007978NPG,432        pp,4.39,"2,808,188","Jul 29, 1954",Jun 2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Kindle Edition,view,/book/show/61215351-the-fellowship-of-the-ring
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Natural History of Dragons        (The Memoirs of Lady Trent, #1)","Brennan, Marie*",0765331969,9780765331960,0765331969,334        pp,3.84,"36,736","Feb 05, 2013","Feb 05, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Hardcover,view,/book/show/12974372-a-natural-history-of-dragons
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Redwall        (Redwall, #1)","Jacques, Brian",1862301387,9781862301382,1862301387,352        pp,4.14,"119,347",1986,"Sep 04, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Paperback,view,/book/show/7996.Redwall
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Theft of Swords        (The Riyria Revelations, #1-2)","Sullivan, Michael J.*",0316187747,9780316187749,0316187747,691        pp,4.23,"68,557","Nov 23, 2011","Nov 23, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Paperback,view,/book/show/10790290-theft-of-swords
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Foundryside        (The Founders Trilogy, #1)","Bennett, Robert Jackson*",1524760374,,B077RG422Z,501        pp,4.19,"41,362","Aug 21, 2018","Aug 21, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Kindle Edition,view,/book/show/37173847-foundryside
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sabriel        (Abhorsen,  #1)","Nix, Garth*",0064471837,9780064471831,0064471837,491        pp,4.17,"208,033",May 1995,"Sep 30, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Mass Market Paperback,view,/book/show/518848.Sabriel
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Jade City        (The Green Bone Saga, #1)","Lee, Fonda*",0316440884,9780316440882,0316440884,560        pp,4.10,"65,148","Nov 07, 2017","Jun 26, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Paperback,view,/book/show/43587154-jade-city
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Deadhouse Gates        (Malazan Book of the Fallen, #2)","Erikson, Steven*",0765310023,9780765310026,0765310023,604        pp,4.27,"73,500","Sep 01, 2000","Feb 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Hardcover,view,/book/show/55401.Deadhouse_Gates
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Throne of Jade        (Temeraire, #2)","Novik, Naomi*",0345481291,9780345481290,0345481291,398        pp,3.89,"49,679","Apr 25, 2006","Apr 25, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Mass Market Paperback,view,/book/show/14069.Throne_of_Jade
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Spinning Silver,"Novik, Naomi*",,,,465        pp,4.20,"129,763","Jul 10, 2018","Jul 10, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Kindle Edition,view,/book/show/36896898-spinning-silver
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Priory of the Orange Tree        (The Roots of Chaos, #1)","Shannon, Samantha*",,,B07DFFQ2WQ,848        pp,4.20,"201,828","Feb 26, 2019","Feb 26, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Kindle Edition,view,/book/show/40275288-the-priory-of-the-orange-tree
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Song of Achilles,"Miller, Madeline*",,,,408        pp,4.33,"1,484,680","Sep 20, 2011","Aug 28, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Paperback,view,/book/show/13623848-the-song-of-achilles
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Howl’s Moving Castle        (Howl’s Moving Castle, #1)","Jones, Diana Wynne",006441034X,9780064410342,006441034X,329        pp,4.29,"356,407",Apr 1986,"Aug 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Mass Market Paperback,view,/book/show/6294.Howl_s_Moving_Castle
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ancillary Justice        (Imperial Radch, #1)","Leckie, Ann*",,,,386        pp,3.99,"106,161","Oct 01, 2013","Oct 01, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Paperback,view,/book/show/17333324-ancillary-justice
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Rage of Dragons        (The Burning, #1)","Winter, Evan*",031648976X,9780316489768,031648976X,535        pp,4.31,"33,154","Sep 10, 2017","Jul 16, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Hardcover,view,/book/show/41952489-the-rage-of-dragons
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Dragonbone Chair        (Memory, Sorrow, and Thorn, #1)","Williams, Tad*",0756402697,9780756402693,0756402697,672        pp,3.97,"71,200","Oct 25, 1988",Mar 2005,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Paperback,view,/book/show/91981.The_Dragonbone_Chair
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Lies of Locke Lamora        (Gentleman Bastard, #1)","Lynch, Scott*",,,,752        pp,4.30,"295,901","Jun 01, 2006",Mar 2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Kindle Edition,view,/book/show/29588376-the-lies-of-locke-lamora
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Shadow of the Gods        (The Bloodsworn Saga, #1)","Gwynne, John*",0356514188,9780356514185,0356514188,480        pp,4.24,"40,891","May 04, 2021","May 06, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Hardcover,view,/book/show/52694527-the-shadow-of-the-gods
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Blacktongue Thief        (Blacktongue, #1)","Buehlman, Christopher*",1250621194,9781250621191,1250621194,416        pp,4.23,"21,424","Mar 16, 2021","May 25, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Hardcover,view,/book/show/55077697-the-blacktongue-thief
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Blade Itself        (The First Law, #1)","Abercrombie, Joe",0575079797,9780575079793,0575079797,515        pp,4.21,"246,717","May 04, 2006","Mar 08, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Paperback,view,/book/show/944073.The_Blade_Itself
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Will of the Many        (Hierarchy, #1)","Islington, James*",,,B0BHTMBW5B,639        pp,4.64,"27,720","May 23, 2023","May 23, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Kindle Edition,view,/book/show/58416952-the-will-of-the-many
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The World in Winter,"Christopher, John",0241975549,9780241975541,0241975549,240        pp,3.37,449,1962,"Sep 29, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 21, 2018","Jan 28, 2018","Jan 28, 2018",,Paperback,view,/book/show/29776927-the-world-in-winter
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,From the Dust Returned,"Bradbury, Ray",0743429982,9780743429986,0743429982,206        pp,3.75,"5,963",Oct 2001,Sep 2002,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 19, 2018","Jan 24, 2018","Jan 24, 2018",,Mass Market Paperback,view,/book/show/9634.From_the_Dust_Returned
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Big Water,"Curtis, Andrea*",1459815718,9781459815711,1459815718,192        pp,3.44,342,unknown,"Mar 06, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 12, 2018","Jan 14, 2018","Jan 20, 2018",,Paperback,view,/book/show/35797217-big-water
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The 6th Extinction        (Sigma Force, #10)","Rollins, James*",0062194925,9780062194923,,608        pp,4.08,"17,960","Aug 12, 2014","Aug 12, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""This is sierra, victor, whiskey. There’s been a breach. Fail-safe initiated. No matter the outcome: Kill us…kill us all.” In Northern California a mi""This is sierra, victor, whiskey. There’s been a breach. Fail-safe initiated. No matter the outcome: Kill us…kill us all.” In Northern California a military research facility is blown up along with its staff in order to contain the experiments within. The precautions fail however, unleashing a deadly cloud that destroys everything it touches. Bad weather coupled with a lack of information has bureaucrats looking at a possible nuclear option. Sigma Force must now find a cure, traveling as far afield as the Amazon rainforest and Antarctica for answers and a cure. The book is part of a series but can be read as a stand-alone. There will be references to past exploits and characters that can be confusing if you haven’t read the previous books but it doesn’t detract from the plot.As well I appreciated how much the book leaned on real science for the foundation of the plot, addressing the ethical issues that can arise in the face of new technology as well as showing what happens when morality isn’t a consideration. For readers looking for an explanation of terms there is an entire section in the Author’s Note dedicated to expanding on the locations, history and science cited.The main problem I had with the book was balance. While the book doesn’t drag in terms of plot, which is appreciated, it’s so long and unrelenting in terms of action that it gives readers no room to breathe. Rollins weaves multiple storylines together to create a complex plot but at times we jump around too much to stay grounded with one chapter being only five pages long. Also almost every chapter ended on a cliff-hanger which while exciting, also became predictable and exhausting. The pace of action never lagged but at over 500 pages it was a slog to reach the end.It was an entertaining read that immediately grabs the reader and doesn’t let go. With a story and secrets that span centuries, this book will keep you on your toes until the very end. ...more",Notes are private!,0,0,1,Dec 2017,"Jan 14, 2018","Jan 14, 2018",,ebook,view (with text),/book/show/18655866-the-6th-extinction
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Poor Richard's Almanack,"Franklin, Benjamin",0880889187,9780880889186,0880889187,80        pp,4.11,"2,400","Dec 28, 1732","Jun 01, 1980",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Nov 2017,Nov 2017,"Dec 06, 2017",,Hardcover,view,/book/show/855913.Poor_Richard_s_Almanack
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Diary of an Early American Boy,"Sloane, Eric",0345321006,9780345321008,0345321006,128        pp,4.23,800,"Mar 28, 1958","Jan 01, 1984",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Nov 29, 2017not set","Nov 30, 2017not set","Nov 30, 2017",,Paperback,view,/book/show/977445.Diary_of_an_Early_American_Boy
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Year in Provence        (Provence, #1)","Mayle, Peter",0679731148,9780679731146,0679731148,224        pp,4.00,"76,854","Dec 31, 1989","Jun 04, 1991",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 22, 2017","Nov 28, 2017","Nov 29, 2017",,Paperback,view,/book/show/40189.A_Year_in_Provence
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Fog Diver        (The Fog Diver, #1)","Ross, Joel N.",0062352938,9780062352934,0062352938,332        pp,4.13,"2,220","May 26, 2015","May 26, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 17, 2017","Nov 21, 2017","Nov 21, 2017",,Hardcover,view,/book/show/23215464-the-fog-diver
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Corpse Bridge        (Ben Cooper & Diane Fry, #14)","Booth, Stephen*",,,B00FLY3RVY,401        pp,3.79,"1,459","Jan 01, 2014","Jun 19, 2014",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Oct 2017,Oct 2017,"Nov 19, 2017",,Kindle Edition,view,/book/show/20094177-the-corpse-bridge
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Annihilation        (Southern Reach, #1)","VanderMeer, Jeff*",0374104093,9780374104092,0374104093,195        pp,3.77,"232,174","Feb 04, 2014","Feb 04, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Oct 2017,Oct 2017,"Oct 30, 2017",,Paperback,view,/book/show/17934530-annihilation
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lucifer's Harvest        (The Chronicles of Hugh de Singleton, Surgeon #9)","Starr, Mel",1782641882,9781782641889,1782641882,160        pp,4.10,672,"Aug 19, 2016","Aug 19, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 13, 2017","Oct 16, 2017","Oct 18, 2017",,Paperback,view,/book/show/30353894-lucifer-s-harvest
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Letters to a Young Novelist,"Vargas Llosa, Mario",0312421729,9780312421724,0312421729,136        pp,3.86,"3,620",1997,"Jun 01, 2003",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Sep 12, 2017not set","Sep 12, 2017not set","Sep 12, 2017",,Paperback,view,/book/show/418824.Letters_to_a_Young_Novelist
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Short History of Byzantium,"Norwich, John Julius",0679772693,9780679772699,0679772693,496        pp,4.11,"2,453",1997,"Dec 29, 1998",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book is a fascinating look at the transition of the known world from the Roman to Byzantine Empire, spanning over 1000 years where murder, intrigThis book is a fascinating look at the transition of the known world from the Roman to Byzantine Empire, spanning over 1000 years where murder, intrigue and war are everyday backdrops to life. We begin with the creation of Constantinople, designated as the new capital of the Roman Empire. This decision would echo down through the centuries, dividing the Empire into East and West along religious and economic lines. Throughout this timeline Norwich provided an account of Byzantine Emperors who inherited the tradition of their Roman counterparts with marriage and the ever-present problems of heirs as a central concern of their lives.It was interesting to see how people or events decades or even hundreds of years in the past could influence people, places and the decisions in the present. One issue was that at times the book seemed at times to be overly detailed. This may be because this is a condensed version of an original trilogy. Instead of allowing the reader room to breathe or elaborating on events and their effects, the story just plows on with its unending list of dates and people. This invariably leads to confusion as in numerous family names are passed down through the generations, causing the reader to be unsure as to who did what when. Ultimately though, the book is the story of the slow and sad decline of the Roman Empire. The transition of the capital gave the empire a new name but instead of expanding on the traditions and imperial ambitions of Rome, land, respect and wealth is slowly lost. Through mismanagement and poor-decision making by incompetent rulers who obtained power through inheritance or usurpation rather than by merit, the Byzantine Empire is only a frail shadow when Constantinople is finally overrun in 1453....more",Notes are private!,0,0,2,Jan 2017not set,Jan 2017not set,"Aug 27, 2017",,Paperback,view (with text),/book/show/6106.A_Short_History_of_Byzantium
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pandemic Survival: It's Why You're Alive,"Love, Ann",1770492682,9781770492684,1770492682,128        pp,3.85,91,"Jan 01, 2013","Aug 27, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2017,"Aug 18, 2017",,Hardcover,view,/book/show/17262774-pandemic-survival
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Treaties, Trenches, Mud, and Blood        (Nathan Hale’s Hazardous Tales, #4)","Hale, Nathan*",1419708082,9781419708084,1419708082,128        pp,4.42,"4,019","Mar 18, 2014","May 13, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 16, 2017",,Hardcover,view,/book/show/18405492-treaties-trenches-mud-and-blood
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Stop Time,"Haig, Matt*",1782118616,9781782118619,1782118616,325        pp,3.84,"171,910","Jul 06, 2017","Jul 06, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 16, 2017",,Hardcover,view,/book/show/33590076-how-to-stop-time
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Gauntlet        (The Gauntlet, #1)","Riazi, Karuna",,,B01GD9CG1C,305        pp,3.71,"1,870","Mar 28, 2017","Mar 28, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 16, 2017",,Kindle Edition,view,/book/show/33368336-the-gauntlet
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Three Kingdoms        (4-Volume Boxed Set),Luo Guanzhong,7119005901,9787119005904,7119005901,"2,339        pp",4.37,"5,634",1522,"Jan 01, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 16, 2017",,Paperback,view,/book/show/158770.Three_Kingdoms
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Delicious in Dungeon, Vol. 2","Kui, Ryoko",0316473057,9780316473057,0316473057,192        pp,4.41,"3,224","Aug 12, 2015","Aug 22, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 14, 2017",,Paperback,view,/book/show/34050718-delicious-in-dungeon-vol-2
