,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Donald's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Thursday Murder Club        (Thursday Murder Club, #1)","Osman, Richard",,,B07S5D5TH7,382        pp,3.89,"475,839","Sep 03, 2020","Sep 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2023",,Kindle Edition,view,/book/show/46000520-the-thursday-murder-club
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Indivisible: Daniel Webster and the Birth of American Nationalism,"Paul, Joel Richard",,,B09R6RDZZD,527        pp,3.91,98,unknown,"Oct 25, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book is not exclusively about Daniel Webster. He is covered in good detail but it is a history of the United States of America from about 1800 toThis book is not exclusively about Daniel Webster. He is covered in good detail but it is a history of the United States of America from about 1800 to 1850. Much of what is in this book is a recapitulation of what any history student would know; however, it covers many things in detail and from a perspective which make it unique, enlightening, interesting and fun to read. Every historian has their own take on things and this law professor/historian writes and conveys his clearly and precisely. For the time discussed and its major players this is a very good book of history. I recommend it to any serious American history buff....more",Notes are private!,0,9,1,"Feb 21, 2023","Mar 02, 2023","Feb 21, 2023",,Kindle Edition,view (with text),/book/show/61394438-indivisible
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eager to Love: The Alternative Way of Francis of Assisi,"Rohr, Richard",1616367016,9781616367015,1616367016,320        pp,4.36,"1,264","Jul 03, 2014","Jul 31, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 21, 2023",not set,"Feb 21, 2023",,Hardcover,view,/book/show/21918126-eager-to-love
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wicked Tacoma,"Stover, Karla",146714844X,9781467148443,146714844X,176        pp,3.80,5,unknown,"Jun 28, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A collection of odd stories about some of the characters and events in Tacoma's history. It is well written but some of the chapters leave one wantingA collection of odd stories about some of the characters and events in Tacoma's history. It is well written but some of the chapters leave one wanting more information. Some of it left me thinking: ""This doesn't have that much to do with Tacoma."" As Seattle's smaller sibling, Tacoma has always been a bit grittier and more disparaged. I am glad the author has tried to memorialize some of the grit....more",Notes are private!,0,2,1,Jan 2023,"Feb 21, 2023","Feb 21, 2023",,Paperback,view (with text),/book/show/56975827-wicked-tacoma
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Scheme: How the Right Wing Used Dark Money to Capture the Supreme Court,"Whitehouse, Sheldon",1620977389,9781620977385,1620977389,256        pp,4.44,255,unknown,"Oct 18, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An absolute must read for any American who cares about our country and our culture. This is an argument by a great lawyer, with each proposition beingAn absolute must read for any American who cares about our country and our culture. This is an argument by a great lawyer, with each proposition being proven by resounding, often irrefutable, evidence. Our Supreme Court, which Senator Whitehouse calls the ""captured court"" should be ashamed. I agree with every proposition he has stated and am ashamed of my lack of action over an over forty year career as a lawyer. I got too busy paying the bills and worrying about the cases I had rather than my participation in a system which has gotten broken, during my time.This book reveals how we are losing the promise and meaning of the country made by the constitution, it precedent revolution, and the blood, sweat and tears of real Americans who toiled to make a great country.It may take constitutional amendments to make this start in the right direction. It will take decades of hard work to turn anything. I hope America is up for it!...more",Notes are private!,0,7,1,"Jan 02, 2023","Feb 07, 2023","Feb 07, 2023",,Hardcover,view (with text),/book/show/60199845-the-scheme
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Republic of Violence: The Tormented Rise of Abolition in Andrew Jackson's America,"Dickey, J.D.",1643139282,9781643139289,1643139282,408        pp,4.13,23,unknown,"Mar 01, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A detailed explanation of the abolition movement in the Northern states in the 1830's. The main players are fully developed as are the hardships and vA detailed explanation of the abolition movement in the Northern states in the 1830's. The main players are fully developed as are the hardships and violence they faced in trying to form the movement. An account of the difficulties of the early progress against slavery was surprisingly violent, contentious and divisive within itself. This book is an important disclosure of history which has been less reported than it should have been. ...more",Notes are private!,0,11,1,"Jun 25, 2022","Jun 30, 2022","Jun 25, 2022",,Hardcover,view (with text),/book/show/58437946-the-republic-of-violence
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jill: A Biography of the First Lady,"Pace, Julie",0316377503,9780316377508,0316377503,320        pp,3.80,179,"Apr 19, 2022","Apr 19, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A good biography of a prominent American. The tone and content of the book mirror the image of Jill they were portraying. There is some balance becausA good biography of a prominent American. The tone and content of the book mirror the image of Jill they were portraying. There is some balance because she is shown as a true human. However, she does sound like a saint. I have had some teachers who felt that way to me, true mentors and moral teachers. I expect history will treat her better than a large number of Americans do currently.I hope to have her in our lives for years to come. Thank you for this wonderful little biography....more",Notes are private!,0,4,1,"Jun 17, 2022","Feb 24, 2023","Jun 17, 2022",,Hardcover,view (with text),/book/show/58684305-jill
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Take Up Space: The Unprecedented AOC,"Miller, Lisa",,,B09C6JGJHR,400        pp,3.83,202,"Feb 01, 2022","Feb 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,An objective view of a political phenomenon. The book kept her human and explored the points and curves of what this very smart young lady is negotiatAn objective view of a political phenomenon. The book kept her human and explored the points and curves of what this very smart young lady is negotiating to be her best self in a selfish cruel world....more,Notes are private!,0,16,1,"May 10, 2022","Jun 08, 2022","May 10, 2022",,Kindle Edition,view (with text),/book/show/59639210-take-up-space
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Order of the Day,"Vuillard, Éric",1635420407,9781635420401,1635420407,144        pp,3.90,"10,402","May 03, 2017","Jul 28, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 08, 2022",not set,"May 08, 2022",,Paperback,view,/book/show/54770655-the-order-of-the-day
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"When Evil Lived in Laurel: The ""White Knights"" and the Murder of Vernon Dahmer","Wilkie, Curtis",1324005750,9781324005759,1324005750,400        pp,3.91,364,"Jun 15, 2021","Jun 15, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A very detailed look at a group of the Klu Klux Klan in Laurel, Mississippi in the mid 1960's. This book caught my eye because of its connection to LaA very detailed look at a group of the Klu Klux Klan in Laurel, Mississippi in the mid 1960's. This book caught my eye because of its connection to Laurel, the location of HGTV's show, Home Town, one of my favorites. The book confirmed much of my uninformed opinions of Mississippi but, like the television show, made it more real and understandable. White supremacy, and all of its ramifications, is a horrible fact of our lives, with devastating impacts in so many aspects of all our lives. The television show, its characters and its producers avoid this topic, emphasizing the beauty, serenity, elegance and comity of small town life. I grew up in a very small town, smaller than Laurel. I like the effort and the effect of the television show. I am in abject horror of that town's history with white supremacy. A great book and an interesting read. A book that makes me think is always the goal, right?...more",Notes are private!,0,18,1,"Apr 26, 2022","May 02, 2022","Apr 26, 2022",,Hardcover,view (with text),/book/show/55298401-when-evil-lived-in-laurel
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Deep in the Woods: The 1935 Kidnapping of Nine-Year-Old George Weyerhaeuser, Heir to America's Mightiest Timber Dynasty","Johnston, Bryan*",164293903X,9781642939033,164293903X,336        pp,3.90,354,unknown,"Sep 14, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A good comprehensive report on one of the biggest events in Tacoma history. The book is well written and moves the story along quickly and concisely. A good comprehensive report on one of the biggest events in Tacoma history. The book is well written and moves the story along quickly and concisely. A few typographical errors about the lawyers. I wish books like this one would share more about the ""players"" during the many years after the ""main events"". A true crime story is hard to put down especially when you know and can see some of the places which were part of the story....more",Notes are private!,0,10,1,"Apr 21, 2022","Apr 21, 2022","Apr 21, 2022",,Paperback,view (with text),/book/show/56980610-deep-in-the-woods
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Original Meaning of the Fourteenth Amendment: Its Letter and Spirit,"Barnett, Randy E.",0674257766,9780674257764,0674257766,488        pp,4.36,53,unknown,"Nov 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 07, 2022",not set,"Mar 07, 2022",,Hardcover,view,/book/show/57155240-the-original-meaning-of-the-fourteenth-amendment
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Twilight of the Elites: America After Meritocracy,"Hayes, Christopher L.",0307720462,9780307720467,0307720462,292        pp,4.00,"5,945","Jun 12, 2012","Jun 11, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A book still very timely though now ten years old. Christopher had the guts and temerity to take on the big challenge of what is wrong with our culturA book still very timely though now ten years old. Christopher had the guts and temerity to take on the big challenge of what is wrong with our culture, our society. He did an admirable job and his solution of more equality is an example of simple to complex back to simple. A great book for anyone who cares about people....more",Notes are private!,0,11,1,"Feb 21, 2022","Mar 09, 2022","Feb 21, 2022",,Paperback,view (with text),/book/show/16030649-twilight-of-the-elites
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hamnet,"O'Farrell, Maggie*",,,,372        pp,4.20,"255,703","Mar 31, 2020","Apr 01, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A story of William Shakespeare and his family, especially his wife. The author is very descriptive but clear. The third person voice is concise and coA story of William Shakespeare and his family, especially his wife. The author is very descriptive but clear. The third person voice is concise and contemporary about some fairly ancient lifestyles. The story is compelling, interesting and lively. This book has earned its best selling status....more",Notes are private!,0,9,1,"Feb 17, 2022","Feb 21, 2022","Feb 17, 2022",,Paperback,view (with text),/book/show/53817428-hamnet
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All Boys Aren't Blue,"Johnson, George M.",,,B07YRL9DCW,304        pp,4.21,"37,132","Apr 28, 2020","Apr 28, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 14, 2022",not set,"Feb 13, 2022",,Kindle Edition,view,/book/show/48678512-all-boys-aren-t-blue
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,South to America: A Journey Below the Mason Dixon to Understand the Soul of a Nation,"Perry, Imani",0062977407,9780062977403,0062977407,410        pp,3.97,"6,414","Jan 25, 2022","Jan 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Feb 07, 2022",,Hardcover,view,/book/show/55276620-south-to-america
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No-No Boy,"Okada, John",0295955252,9780295955254,0295955252,260        pp,3.93,"6,574",1956,"Feb 01, 1978",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2022",,Paperback,view,/book/show/129910.No_No_Boy
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House on Mango Street,"Cisneros, Sandra",0679734775,9780679734772,0679734775,110        pp,3.69,"190,499",1984,"Apr 03, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Short vignettes of the author's life in her childhood home on Mango Street. The revealing stories are moving, sad, heartening, evocative of my childhoShort vignettes of the author's life in her childhood home on Mango Street. The revealing stories are moving, sad, heartening, evocative of my childhood and poem like. The prose is ultra simple, childlike. The depth of emotion is palpable. ...more",Notes are private!,0,4,1,"Feb 10, 2022","Feb 16, 2022","Feb 01, 2022",,Paperback,view (with text),/book/show/139253.The_House_on_Mango_Street
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Fellowship of the Ring        (The Lord of the Rings, #1)","Tolkien, J.R.R.",,9780345015339,,527        pp,4.39,"2,808,166","Jul 29, 1954",Mar 1973,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2022",,Mass Market Paperback,view,/book/show/3263607-the-fellowship-of-the-ring
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Unthinkable: Trauma, Truth, and the Trials of American Democracy","Raskin, Jamie",0063209780,9780063209787,0063209780,448        pp,4.51,"5,622",Jan 2022,"Jan 04, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The author is an amazing writer, Congressman, law professor, dad, husband, person. I think his analysis of the politics of America is correct and insiThe author is an amazing writer, Congressman, law professor, dad, husband, person. I think his analysis of the politics of America is correct and insightful. The one area on which he only obscurely alluded is the gullibility of large segments of our population. The book was a very touching and heartfelt discussion of his son. It is also a loving and kind description of an insider's view of Congress and, at least, the democratic party members of it. I thoroughly enjoyed this book which will serve as a tool for future historians. I think we will hear and see much more of Jamie Raskin. I am looking forward to it....more",Notes are private!,0,11,1,"Jan 18, 2022","Jan 27, 2022","Jan 17, 2022",,Hardcover,view (with text),/book/show/58935131-unthinkable
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The True Believer: Thoughts on the Nature of Mass Movements,"Hoffer, Eric",0060505915,9780060505912,0060505915,177        pp,4.21,"10,396",1951,"Jan 19, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2022",,Paperback,view,/book/show/15916.The_True_Believer
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Madam: The Biography of Polly Adler, Icon of the Jazz Age","Applegate, Debby*",,,B08VSJJ71S,576        pp,3.81,"1,180","Nov 02, 2021","Nov 02, 2021",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Too long. Too tedious. Too lacking in story.,Notes are private!,0,7,1,"Jan 03, 2022","Jan 27, 2022","Jan 03, 2022",,Kindle Edition,view (with text),/book/show/57796194-madam
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dissent: The Radicalization of the Republican Party and Its Capture of the Court,"Calmes, Jackie",1538700794,9781538700792,1538700794,496        pp,4.10,126,unknown,"Jun 15, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A bit long and the prose seems to prolong it further. The facts are important parts of American history and current politics. The Book is a complete rA bit long and the prose seems to prolong it further. The facts are important parts of American history and current politics. The Book is a complete rendition of all things Kavanaugh, including a brief discussion of some of his acts on The Court since his installation. This is an important book on important facts. The author's analysis seemed objective and correct in my humble opinion. The fifth star is withheld because the writing made the going a bit slow....more",Notes are private!,0,10,1,"Dec 15, 2021",Feb 2022,"Dec 13, 2021",,Hardcover,view (with text),/book/show/55898090-dissent
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Life in Parts,"Cranston, Bryan",,,B01E4BC1SE,289        pp,4.20,"20,306",2016,"Oct 11, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"He revealed himself fully. He uses humor very well. He writes clearly and is a good storyteller. HIs real story is inspiring and while full of how he He revealed himself fully. He uses humor very well. He writes clearly and is a good storyteller. HIs real story is inspiring and while full of how he ""did it"", he gives proper credit to ""luck"".I have always thought him a great actor and very versatile. Personally he can be a bit judgmental but no human is perfect. I totally enjoyed this book, admire him and recommend everyone read this for a true slice of Americana....more",Notes are private!,0,12,1,"Dec 13, 2021","Dec 14, 2021","Dec 11, 2021",,Kindle Edition,view (with text),/book/show/30136987-a-life-in-parts
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Americana: A 400-Year History of American Capitalism,"Srinivasan, Bhu",,,B01N5X436J,575        pp,4.40,"1,688","Sep 26, 2017","Sep 26, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A good general history of the United States with an emphasis on the economic conditions/events. Of course, many people say, ""follow the money"" becauseA good general history of the United States with an emphasis on the economic conditions/events. Of course, many people say, ""follow the money"" because it usually reveals what is so important to so many people. ...more",Notes are private!,0,11,1,"Dec 23, 2021","Dec 28, 2021","Dec 11, 2021",,Kindle Edition,view (with text),/book/show/35569731-americana
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Rebel Cinderella: Rose Pastor Stokes: Sweatshop Immigrant, Aristocrat’s Wife, Socialist Crusader","Hochschild, Adam",,,B07T1FXP99,304        pp,3.77,605,"Mar 03, 2020","Mar 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2021",,Kindle Edition,view,/book/show/49234342-rebel-cinderella
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Farenheit 451,"Bradbury, Ray",,200110550463,,208        pp,3.97,"2,416,888","Oct 19, 1953",2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Dec 07, 2021",,,view,/book/show/56302573-farenheit-451
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Harry Potter and the Sorceror's Stone,"Rowling, J.K.",,,,unknown,4.47,"10,051,871","Jun 26, 1997",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Dec 07, 2021",,Audiobook,view,/book/show/53027676-harry-potter-and-the-sorceror-s-stone
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Predator: The Hunt for the Most Meticulous Serial Killer of the 21st Century,"Callahan, Maureen",052542864X,9780525428640,052542864X,285        pp,4.09,"38,351","Jul 01, 2019","Jul 02, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A good true crime book is a good read every now and then. This gripping story is as shocking and baffling as any. It is well written and keeps one turA good true crime book is a good read every now and then. This gripping story is as shocking and baffling as any. It is well written and keeps one turning pages. I wish so many of these monsters did not have a connection to Pierce County, Washington....more",Notes are private!,0,9,1,"Dec 05, 2021","Dec 05, 2021","Dec 05, 2021",,Hardcover,view (with text),/book/show/43231095-american-predator
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Overstory,"Powers, Richard",039335668X,9780393356687,039335668X,502        pp,4.12,"159,496","Apr 03, 2018","Apr 02, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 01, 2021",,Paperback,view,/book/show/40180098-the-overstory
