,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Edward's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Sport And A Pastime,"Salter, James",1447247264,9781447247265,1447247264,192        pp,3.66,"10,002",1967,2013,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A wonderful piece of erotic (though rarely arousing) realism. The style is a blend of the romantic and the practical, as is the novel's treatment of sA wonderful piece of erotic (though rarely arousing) realism. The style is a blend of the romantic and the practical, as is the novel's treatment of sex, which is neither idealised nor relegated to the background, but portrays both the ugliness and beauty of the act, and above all (as so few novels do) the importance of this most fundamental human connection.The final chapter seemed unnecessary, but I suppose you can't have everything....more",Notes are private!,2,13,1,"Mar 19, 2023","Apr 29, 2023","Mar 16, 2023",,Mass Market Paperback,view (with text),/book/show/30091195-a-sport-and-a-pastime
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sabbath’s Theater,"Roth, Philip",0099518767,9780099518761,0099518767,451        pp,3.88,"11,080",1995,2007,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2022",,Paperback,view,/book/show/2446999.Sabbath_s_Theater
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Some Rain Must Fall: And Other Stories,"Faber, Michel",1841950718,9781841950716,1841950718,242        pp,3.78,"1,054",1981,"Jan 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2022",,Paperback,view,/book/show/123067.Some_Rain_Must_Fall
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Prince,"Machiavelli, Niccolò",0140447520,9780140447521,0140447520,106        pp,3.84,"337,571",1513,"Jan 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2022",,Paperback,view,/book/show/849923.The_Prince
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Canterbury Tales,"Chaucer, Geoffrey",0140424385,9780140424386,0140424385,504        pp,3.52,"221,782",1400,"Feb 04, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2022",,Paperback,view,/book/show/2696.The_Canterbury_Tales
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,2021 on Goodreads,Various,,,,unknown,4.17,"1,399",2021,2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm still alive (!), though I've been largely absent from Goodreads (and reading in general) for most of the year. I put this down to mounting wearineI'm still alive (!), though I've been largely absent from Goodreads (and reading in general) for most of the year. I put this down to mounting weariness from another year of COVID disruptions, combined with a streak of long and challenging books, which reduced my overall enthusiasm for reading. For much of the second half of the year I'd put reading aside in favour of other hobbies, though I have been chipping away slowly at Knausgaard's Dancing in the Dark for several months now.I did, however, manage to reach my challenge goal of 20 books, though looking back over my 2021 reads at this late stage, it all feels like something done in a past life. The COVID era seems to be having that effect on time. These are the books I read in 2021:Perfume, Patrick Süskind ✰✰✰My Struggle: 1 - A Death in the Family, Karl Ove Knausgård ✰✰✰Riddley Walker, by Russell Hoban ✰✰✰The Thirty-Nine Steps, John Buchan ✰✰Beowulf ✰✰✰✰The Left Hand of Darkness, Ursula K. Le Guin ✰✰✰Thus Spoke Zarathustra, Friedrich Nietzsche ✰✰✰Wise Blood, Flannery O'Connor ✰✰✰✰Everything And More A Compact History Of [Infinite]David Foster Wallace ✰✰Hourglass, Danilo Kiš ✰✰✰✰✰Man and His Symbols, Carl Jung ✰✰Exhalation, Ted Chiang ✰✰✰A Game of Chess and Other Stories, Stefan Zweig ✰✰✰✰✰Arguably: Selected Essays, Christopher Hitchens ✰✰✰✰A Man in Love, Karl Ove Knausgård ✰✰✰✰Boyhood Island, Karl Ove Knausgård ✰✰✰Dead People Don't Make Jam, Sean Crawley ✰✰✰Alexis, , Marguerite Yourcenar ✰✰✰The Master and Margarita, Mikhail Bulgakov (not yet ed)The Combinations, Louis Armand (not yet ed)Except for a few standouts, I'd say it was a middling year for reading. I'll let the s speak for themselves. As for the last two books, these may have broken me, but I do intend to complete a  eventually.Happy (very belated) New Year to you all!...more",Notes are private!,0,34,0,not set,not set,"Jan 15, 2022",,,view (with text),/book/show/56127226-2021-on-goodreads
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Body Artist,"DeLillo, Don",0330484958,9780330484954,0330484958,124        pp,3.28,"11,283","Jan 01, 2001",2001,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 25, 2021",,Hardcover,view,/book/show/317602.The_Body_Artist
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Encyclopedia of the Dead,"Kiš, Danilo",081011514X,9780810115149,081011514X,199        pp,4.07,"3,406",1983,"Jan 07, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 29, 2021",,Paperback,view,/book/show/259655.The_Encyclopedia_of_the_Dead
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Klara and the Sun,"Ishiguro, Kazuo*",0571364888,9780571364886,0571364888,307        pp,3.75,"336,623","Mar 02, 2021","Mar 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 26, 2021",,Paperback,view,/book/show/57143821-klara-and-the-sun
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Take Five,"Mano, D. Keith",1564781933,9781564781932,1564781933,582        pp,4.15,137,1982,"Sep 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 18, 2021",,Paperback,view,/book/show/606234.Take_Five
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,House of Holes,"Baker, Nicholson*",143918951X,9781439189511,143918951X,262        pp,3.10,"2,699","Aug 09, 2011","Aug 09, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 25, 2021",,Hardcover,view,/book/show/10108469-house-of-holes
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Box of Matches,"Baker, Nicholson*",0375706038,9780375706035,0375706038,192        pp,3.69,"2,509","Jan 07, 2003","Mar 09, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 25, 2021",,Paperback,view,/book/show/28231.A_Box_of_Matches
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Anthologist        (The Paul Chowder Chronicles #1),"Baker, Nicholson*",1416572449,9781416572442,1416572449,256        pp,3.76,"4,003","Jan 01, 2009","Sep 08, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 25, 2021",,Hardcover,view,/book/show/6364068-the-anthologist
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eunoia,"Bök, Christian",1552450929,9781552450925,1552450929,105        pp,4.05,"1,668","Jan 19, 1999","Sep 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 25, 2021",,Paperback,view,/book/show/765252.Eunoia
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Locus Solus,"Roussel, Raymond",0714507342,9780714507347,0714507342,256        pp,4.02,"1,206",1913,"Jan 01, 1984",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 25, 2021",,Paperback,view,/book/show/507725.Locus_Solus
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Things Fall Apart,"Achebe, Chinua",,,,152        pp,3.73,"371,859",1958,2001,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 22, 2021",,Paperback,view,/book/show/45361760-things-fall-apart
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remembering Babylon,"Malouf, David",009930242X,9780099302421,009930242X,201        pp,3.48,"3,440",1993,"Jan 01, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2021",,Paperback,view,/book/show/1009038.Remembering_Babylon
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Against the Day,"Pynchon, Thomas",0099512335,9780099512332,0099512335,"1,220        pp",4.03,"9,545","Nov 21, 2006","Jan 01, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2021",,Paperback,view,/book/show/862082.Against_the_Day
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Awakening and Selected Stories,"Chopin, Kate",0140390227,9780140390223,0140390227,286        pp,3.82,"2,415","Apr 22, 1899","Apr 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2021",,Paperback,view,/book/show/1033210.The_Awakening_and_Selected_Stories
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Aeneid,Virgil,014044551X,9780140445510,014044551X,443        pp,3.86,"130,236",-19,1990,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2021",,Paperback,view,/book/show/3130731-the-aeneid
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rosencrantz and Guildenstern are Dead,"Stoppard, Tom",0571081827,9780571081820,0571081827,118        pp,4.04,"89,495",1966,1968,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2021",,Paperback,view,/book/show/828386.Rosencrantz_and_Guildenstern_are_Dead
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Empire of the Sun,"Ballard, J.G.",,,,351        pp,3.98,"20,648","Sep 13, 1984","Aug 28, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2021",,Paperback,view,/book/show/585608.Empire_of_the_Sun
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jakob von Gunten,"Walser, Robert",,,,176        pp,3.90,"5,265",1909,1999,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2021",,Paperback,view,/book/show/513275.Jakob_von_Gunten
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Man and His Symbols,"Jung, Carl",0385052219,9780385052214,0385052219,320        pp,4.19,"28,807",1964,1969,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I picked this up out of curiosity, but abandoned it about two-thirds of the way through (or at least skimmed the last third). Jung's method is completI picked this up out of curiosity, but abandoned it about two-thirds of the way through (or at least skimmed the last third). Jung's method is completely unscientific. He draws conclusions from tenuous assumptions, upon which he bases an entire treatment methodology. As evidence, he presents a series of anecdotes from patients whose lives he has ""transformed"". Yet there is no scientific grounding for his assertion that dreams are coherent narratives that are created by the subconscious to express hidden desires and intentions. Nor is there any rigour in his methodology for dream interpretation - it's astrological in its subjectivity. I'm not a psychologist, but I can imagine there could be some utility to dream interpretation, in the same way it might be insightful to interpret a piece of literature, or a film, or music, or to undertake a Rorschach test, in that the interpretation reveals something about the interpreter. This is perhaps even more true of dreams, in that the dreamer has an acute sense of identifying with the dream, which is not usually the case with other art. But none of this requires Jung's strange metaphysical claims. Similarly, the Jungian archetypes, and the idea of the Collective Unconscious are compelling from an anthropological, or metaphorical perspective, but are completely unfounded as a method for understanding psychological phenomena....more",Notes are private!,0,29,1,"Mar 21, 2021","Jul 09, 2021","Mar 21, 2021",,Hardcover,view (with text),/book/show/393363.Man_and_His_Symbols
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Pale View of Hills,"Ishiguro, Kazuo*",,,,183        pp,3.79,"34,620",1982,"Mar 03, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2021",,Paperback,view,/book/show/28920.A_Pale_View_of_Hills
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ravelstein,"Bellow, Saul",0140291555,9780140291551,0140291555,233        pp,3.63,"3,851",Apr 2000,2001,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2021",,Paperback,view,/book/show/360770.Ravelstein
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dead People Don't Make Jam,"Crawley, Sean*",1760418609,9781760418601,,236        pp,4.20,5,unknown,"Feb 16, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I don't usually read anything on a whim, without prior research or familiarity with the reputation of the work or its author, but I received this collI don't usually read anything on a whim, without prior research or familiarity with the reputation of the work or its author, but I received this collection of short stories by a local author as a birthday gift from a friend. The stories are very short - only a few pages each, on average, but I was generally impressed with the quality of the writing, which exceeded my expectations for a self-published book*. The prose is polished, and the stories themselves possess a lot of originality and cover a range of diverse subjects, mostly about ordinary Australian life, but sometimes delving into sci-fi or speculative territory. My main criticism is that the style is very geared towards short story writing competitions, and has a close adherence to that distinctive voice and prose style that seems so coveted by judges and writing workshops. It would be interesting to see where this author could go with a little more emphasis on finding a unique and independent voice.* Edited: It's not self-published....more",Notes are private!,0,12,1,"Mar 03, 2021","Mar 13, 2021","Feb 25, 2021",,ebook,view (with text),/book/show/50973387-dead-people-don-t-make-jam
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oblomov,"Goncharov, Ivan",0140449876,9780140449877,0140449876,496        pp,4.12,"38,650",1859,"Sep 27, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 28, 2020",,Paperback,view,/book/show/226384.Oblomov
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Some Rain Must Fall        (My Struggle, #5)","Knausgård, Karl Ove",0099590182,9780099590187,0099590182,663        pp,4.42,"9,708","Jun 15, 2010","Jan 01, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2020",,Paperback,view,/book/show/28501492-some-rain-must-fall
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The End        (My Struggle, #6)","Knausgård, Karl Ove",,,,"1,160        pp",4.14,"6,119",2011,Sep 2018,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2020",,Paperback,view,/book/show/33757250-the-end
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The great novels of Thomas Hardy: Tess of the D'Urbervilles, Far from the Madding Crowd, The Mayor of Casterbridge","Hardy, Thomas",1854871684,9781854871688,B0059R7MZU,724        pp,4.43,7,unknown,"Jan 01, 1983",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2020",,Paperback,view,/book/show/9866093-the-great-novels-of-thomas-hardy
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jude the Obscure,"Hardy, Thomas",1853262617,9781853262616,1853262617,376        pp,3.83,"71,798","Apr 16, 1895","Mar 31, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2020",,Paperback,view,/book/show/826912.Jude_the_Obscure
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Both Flesh and Not: Essays,"Wallace, David Foster",,9781926428185,1926428188,336        pp,3.86,"5,828","Oct 24, 2012",2012,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"These essays are mainly about tennis and literature, which are two of my favourite things. But it's clear that the publishers were scraping the barrelThese essays are mainly about tennis and literature, which are two of my favourite things. But it's clear that the publishers were scraping the barrel when compiling this collection. The pieces grow increasingly esoteric; one or two are short fragments; and several don't really work so well removed from their original context. DFW is always a pleasure to read, but this one was uneven. ...more",Notes are private!,0,10,1,"Dec 22, 2020","Dec 24, 2020","Feb 22, 2020",,Paperback,view (with text),/book/show/16064314-both-flesh-and-not
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Great Expectations,"Dickens, Charles",0192833596,9780192805218,0192833596,544        pp,3.79,"802,528","Dec 01, 1860",1998,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 31, 2020",,Paperback,view,/book/show/2623.Great_Expectations
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Red and the Black,Stendhal,0140447644,9780140447644,0140447644,577        pp,3.87,"75,036",1830,2002,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 31, 2020",,Paperback,view,/book/show/14662.The_Red_and_the_Black
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Metamorphoses,Ovid,014044789X,9780140447897,014044789X,723        pp,4.09,"71,263",8,"Aug 03, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 31, 2020",,Paperback,view,/book/show/1715.Metamorphoses
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Alexis,"Yourcenar, Marguerite",0374519064,9780374519063,0374519064,128        pp,3.98,"1,915",1929,"Oct 01, 1985",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a beautiful little novella that should receive more recognition. From its perfect opening sentence, Alexis is written in an captivating, intenThis is a beautiful little novella that should receive more recognition. From its perfect opening sentence, Alexis is written in an captivating, intense, elegant style. It is an epistolary novel comprised of a single letter: a confession. Its manner of treating matters of homosexuality are perhaps too subtle and understated by today's standards, but must have been groundbreaking when the novel was published in the 1920s. The author describes her work as a character study, in which aim it succeeds, though perhaps to its own detriment, being somewhat too lacking in dimension and too inevitable to be entirely satisfying as a complete work....more",Notes are private!,0,11,1,"Jan 02, 2021","Jan 04, 2021","Jan 30, 2020",,Paperback,view (with text),/book/show/953556.Alexis
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gulliver’s Travels,"Swift, Jonathan",0141439491,9780141439495,B06XVF5QFY,306        pp,3.58,"273,966",1726,"Jan 01, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"There is more to Gulliver's Travels than you might expect based on the numerous adaptations we have all seen in popular culture. Throughout the book tThere is more to Gulliver's Travels than you might expect based on the numerous adaptations we have all seen in popular culture. Throughout the book there is a progression from the familiar, jaunty adventure to more serious satire and criticism. The first two parts of the book (Lilliput and Brobdingnag) are most recognisable, most straightforward in their premises, and are perhaps the most entertaining of the four parts in terms of their storytelling. By the third part, something has developed akin to modern science-fiction. The premises become more detailed and complex, allowing Swift to isolate, highlight and contrast various aspects of culture, politics, science and technology, history and anthropology. The relevance of many of these analyses is diminished by the passage of time, but they are nonetheless thoughtful and trenchant. The fourth section is most surprising in its tone and in the degree of its pessimism. It presents a bleak portrayal of humanity as irredeemable by its very nature, and therefore purposeless in its striving. All of this makes Gulliver's Travels quite a strange yet compelling mix of styles and themes. It is perhaps itself like an adventure into unknown territory: it begins in search of one thing and ends up discovering something else entirely....more",Notes are private!,0,53,1,"Jan 22, 2020","Jan 28, 2020","Jan 21, 2020",,Paperback,view (with text),/book/show/7733.Gulliver_s_Travels
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Iron Earth, Copper Sky","Kemal, Yaşar",1860461050,9781860461057,1860461050,unknown,4.32,737,1963,"Jan 01, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 14, 2020",,Paperback,view,/book/show/430922.Iron_Earth_Copper_Sky
