,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Derek's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dollhouse Family,"Carey, Mike*",1779504640,9781779504647,1779504640,144        pp,3.77,"1,921","Oct 13, 2020","Oct 13, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I totally loved this despite what felt like a slow start. . . This is another great collaboration between Mike Carey and Peter Gross (The Unwritten anI totally loved this despite what felt like a slow start. . . This is another great collaboration between Mike Carey and Peter Gross (The Unwritten and Lucifer were truly exceptional!) The Dollhouse Family is such a fine horror comic it is at par with the likes of The Haunting of Hill House and The Shinning. It follows the story of Alice Dealey, who when she’s six, receives this elaborate dollhouse from her gran. But this is no ordinary dollhouse, it is sentient and Alice can — for lack of a better word: teleport into the dollhouse and play with the antique dolls who are people in their own right. they comfort and make her feel right at home. only it’s not that benevolent. as Alice finds out much later. the dollhouse messes with Alice’s life and she has to find a way to fight back. that’s where all the fun is: that almost futile struggle where broken and fallible humans are pitted against absolute malevolent forces. almost . . ....more",Notes are private!,0,0,1,"Mar 09, 2024","Mar 10, 2024","Mar 09, 2024",,Hardcover,view (with text),/book/show/51233715-the-dollhouse-family
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ghostroots: Stories,"Aguda, 'Pemi",1324065850,9781324065852,1324065850,224        pp,4.35,20,unknown,"May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Hardcover,view,/book/show/200196202-ghostroots
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Possibility of an Island,"Houellebecq, Michel",0753821184,9780753821183,B0092G6AAC,432        pp,3.81,"15,293","Aug 31, 2005","Dec 01, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 25, 2024","Mar 17, 2024","Feb 25, 2024",,Paperback,view,/book/show/820359.The_Possibility_of_an_Island
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gatsby OGN,"Holt, Jeremy*",1953165486,9781953165480,B0C3P7CYG1,189        pp,3.16,61,unknown,"May 10, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 24, 2024","Feb 24, 2024","Feb 24, 2024",,Kindle Edition,view,/book/show/62919610-gatsby-ogn
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Portnoy's Complaint,"Roth, Philip",0375507930,9780375507939,0375507930,274        pp,3.71,"68,394",1969,2002,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""She was so deeply imbedded in my consciousness that for the first year of school I seem to have believed that each of my teachers was my mother in di""She was so deeply imbedded in my consciousness that for the first year of school I seem to have believed that each of my teachers was my mother in disguise. . .""It has a killer first line, and the first 120 or so pages are rife with Roth's brilliant prose, but once he gets into the teenage years and the constant wanking, the novel kind of loses its brilliance. It becomes a little too juvenile, and dated. Frankly I skimmed through most of these parts and just didn't even bother with the last 50 pages of the book -- something that's sacrilegious for me. I appreciate what he was trying to do here, it just didn't come together as well as I would've liked. ...more",Notes are private!,0,4,1,"Feb 16, 2024","Feb 24, 2024","Feb 16, 2024",,Hardcover,view (with text),/book/show/415466.Portnoy_s_Complaint
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Absolution Vol. 1,"Milligan, Peter",,,B0BQ7VL5W2,112        pp,3.33,9,unknown,"Jan 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Kindle Edition,view,/book/show/75367813-absolution-vol-1
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sacrament,"Milligan, Peter",1953165435,9781953165435,1953165435,128        pp,3.39,105,unknown,"Mar 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 10, 2024","Feb 10, 2024","Feb 10, 2024",,Paperback,view,/book/show/61354075-sacrament
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"VS, Vol. 1","Brandon, Ivan*",1534306935,9781534306936,1534306935,144        pp,2.92,154,"Aug 08, 2018","Aug 14, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,one word: ESAD RIBIĆ. the artwork is incredible but it’s undermined by the underdeveloped narrative. if both had clicked this would’ve been one hell oone word: ESAD RIBIĆ. the artwork is incredible but it’s undermined by the underdeveloped narrative. if both had clicked this would’ve been one hell of a story. ...more,Notes are private!,0,0,1,"Feb 09, 2024","Feb 10, 2024","Feb 10, 2024",,Paperback,view (with text),/book/show/37491891-vs-vol-1
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Home to Stay!: The Complete Ray Bradbury EC Stories,"Bradbury, Ray",1683966562,9781683966562,1683966562,232        pp,4.54,57,unknown,"Oct 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Hardcover,view,/book/show/60594908-home-to-stay
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Complete American Gods,"Gaiman, Neil*",1506720765,9781506720760,1506720765,712        pp,4.47,126,unknown,"Sep 14, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 10, 2024",not set,"Feb 10, 2024",,Hardcover,view,/book/show/54317250-the-complete-american-gods
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sacrificers #6,"Remender, Rick",,,B0CQLL9Z1K,31        pp,4.49,51,unknown,"Jan 10, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 10, 2024","Feb 10, 2024","Jan 31, 2024",,Kindle Edition,view,/book/show/204154440-sacrificers-6
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sacrificers #5,"Remender, Rick",,,B0CNKDBX6H,31        pp,4.50,52,unknown,"Dec 06, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,what a great twist! didn’t see that coming!,Notes are private!,0,1,1,"Feb 10, 2024","Feb 10, 2024","Jan 31, 2024",,Kindle Edition,view (with text),/book/show/202462114-the-sacrificers-5
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Only Story,"Barnes, Julian",1784708313,9781784708313,1784708313,213        pp,3.61,"23,639","Feb 01, 2018","Jan 01, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“I hope you never get there yourself — but some of us get to the point in life where we realize that nothing matters. Nothing fucking matters. And one“I hope you never get there yourself — but some of us get to the point in life where we realize that nothing matters. Nothing fucking matters. And one of the few side-benefits of that is you know you're not going to go to hell for filling in the wrong answers in the crossword. Because you've been to hell and back already and you know all too well what it's like.”Bleak but captivatingly brilliant; this is your quintessential JB novel about tender love, devastating heartbreak and the poignant philosophy of mismatched relationships....more",Notes are private!,0,1,1,"Jan 13, 2024","Jan 27, 2024","Jan 13, 2024",,Paperback,view (with text),/book/show/40060720-only-story
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Truth & Justice,"Thorne, Geoffrey*",1779512775,9781779512772,1779512775,232        pp,2.83,36,"Nov 30, 2021","Nov 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2024",,Paperback,view,/book/show/58568004-truth-justice
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Loneliness of the Abyss,"Dimitris, Vanellis",,9791032814604,B0CMD7ZXP2,0        pp,3.51,41,unknown,"Nov 29, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This story has a great build up but not a very well-executed pay off. that ending was very much ‘closing things off’ rather than coming to a worthy reThis story has a great build up but not a very well-executed pay off. that ending was very much ‘closing things off’ rather than coming to a worthy resolution. enjoyed it still, just wish the execution at the end was a little better handled ...more",Notes are private!,0,0,2,"Jan 05, 2024not set","Jan 05, 2024not set","Jan 05, 2024",,Kindle Edition,view (with text),/book/show/201337194-the-loneliness-of-the-abyss
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ice Cream Man, Volume 4: Tiny Lives","Prince, W. Maxwell",1534313761,9781534313767,1534313761,128        pp,3.93,"1,190","Dec 24, 2019","Dec 24, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Dec 31, 2023not set","Dec 31, 2023not set","Dec 31, 2023",,Paperback,view,/book/show/44512919-ice-cream-man-volume-4
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Haha: Sad Clown Stories,"Prince, W. Maxwell",153431914X,9781534319141,153431914X,176        pp,3.80,428,"Sep 28, 2021","Oct 05, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Only the first two stories are really good - the Bartleby & Ruby storylines are actual gems. The preceding stories were handicapped by having those fiOnly the first two stories are really good - the Bartleby & Ruby storylines are actual gems. The preceding stories were handicapped by having those first two stories to try and live up to...more,Notes are private!,0,0,1,"Dec 30, 2023","Dec 31, 2023","Dec 30, 2023",,Paperback,view (with text),/book/show/56220015-haha
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ice Cream Man, Volume 3: Hopscotch Melange","Prince, W. Maxwell",1534312269,9781534312265,1534312269,128        pp,3.65,"1,508","Jun 18, 2019","Jun 18, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 28, 2023","Dec 31, 2023","Dec 28, 2023",,Paperback,view,/book/show/42835855-ice-cream-man-volume-3
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ice Cream Man, Volume 2: Strange Neapolitan","Prince, W. Maxwell",1534308768,9781534308763,1534308768,128        pp,3.86,"2,627","Dec 12, 2018","Dec 18, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 28, 2023","Dec 28, 2023","Dec 28, 2023",,Paperback,view,/book/show/38812898-ice-cream-man-volume-2
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ice Cream Man, Volume 1: Rainbow Sprinkles","Prince, W. Maxwell",1534306757,9781534306752,1534306757,144        pp,3.59,"4,778","Jun 26, 2018","Jun 26, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"If you’re a fan of horror comics, this will appeal to you. I’m a fan of horror comics in general. This would’ve rated higher if the stories were more If you’re a fan of horror comics, this will appeal to you. I’m a fan of horror comics in general. This would’ve rated higher if the stories were more about tightly wrapped up and weren’t too experimental. I particularly loved the first 2 stories in the collection, the latter weren’t that well executed in my opinion. But it’s definitely a series worth reading so i’ll do just that. ...more",Notes are private!,0,0,1,"Dec 28, 2023","Dec 28, 2023","Dec 28, 2023",,Paperback,view (with text),/book/show/36992226-ice-cream-man-volume-1
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Dogs,"McEwan, Ian*",,,,174        pp,3.45,"12,658",1992,1998,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** Black Dogs is a brilliantly moving tale though it reads like a bunch of disjointed short stories. The main tale is built around an E**spoiler alert** Black Dogs is a brilliantly moving tale though it reads like a bunch of disjointed short stories. The main tale is built around an English couple honeymooning in a French village and they encounter two terrifying and rabid black dogs. The wife fights off the dogs, stabbing one of them with her small pocket knife while the husband’s a few yards away gazing at a rare species of caterpillar. From there their lives spiral into woe and bitterness and disillusion that makes them live apart though they deeply love each other. Fast track fifty years later they are forced to reconnect and their son in law embarks on a righteous endeavour to write the mother in law’s memoir. It is a deeply compassionate book that strays from the pitfalls of sentimentality. A surprisingly easy read, full of clever honest idealism about humanity, moral complexity and a utopian vision of Europe that the main characters hoped to have achieved....more",Notes are private!,0,2,1,"Dec 23, 2023",Jan 2024,"Dec 23, 2023",,Paperback,view (with text),/book/show/13449953-black-dogs
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Swim in a Pond in the Rain: In Which Four Russians Give a Master Class on Writing, Reading, and Life","Saunders, George",,,B0871LKPJ3,403        pp,4.54,"18,704","Jan 12, 2021","Jan 12, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 20, 2023",not set,"Dec 20, 2023",,Kindle Edition,view,/book/show/53487237-a-swim-in-a-pond-in-the-rain
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Monstress, Vol. 5: Warchild","Liu, Marjorie M.*",1534316612,9781534316614,1534316612,176        pp,4.34,"5,497","Sep 29, 2020","Oct 06, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,The siege on Ravenna is a beautiful piece of work.,Notes are private!,0,0,1,"Dec 11, 2023","Dec 20, 2023","Dec 11, 2023",,Paperback,view (with text),/book/show/52637764-monstress-vol-5
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Monstress, Vol. 4: The Chosen","Liu, Marjorie M.*",1534313362,9781534313361,1534313362,176        pp,4.24,"8,610","Sep 25, 2019","Oct 01, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It could be that I've taken at least a year between reading Monstress vol.3 and this volume, but I was totally lost on most of what was happening. As It could be that I've taken at least a year between reading Monstress vol.3 and this volume, but I was totally lost on most of what was happening. As beautiful as the comic is, it can sometimes have too much going on to adequately follow all the subplots....more",Notes are private!,0,1,1,"Dec 08, 2023","Dec 09, 2023","Dec 08, 2023",,Paperback,view (with text),/book/show/45899240-monstress-vol-4
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Are You My Mother? A Comic Drama,"Bechdel, Alison",0618982507,9780618982509,0618982507,290        pp,3.71,"33,501","May 01, 2012","May 01, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is more or less a therapy memoir, to really enjoy it (or even remotely get some of the references,) you have to have more than just a working knoThis is more or less a therapy memoir, to really enjoy it (or even remotely get some of the references,) you have to have more than just a working knowledge of Freud and his psychoanalyst contemporaries. I don't, i thought I did, but I actually came up short with most of what was alluded to here. It's certainly not as plain going as Fun Home...more",Notes are private!,0,2,1,"Jan 25, 2024","Jan 26, 2024","Dec 08, 2023",,Hardcover,view (with text),/book/show/11566956-are-you-my-mother-a-comic-drama
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sacrificers #4,"Remender, Rick",,9798368806037,B0CLZ1LW9W,30        pp,4.17,54,unknown,"Nov 01, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,papa pigeon’s pathos is this issue’s only saving grace. RR does a good job getting us to empathise with papa pigeon but everything else that goes on ipapa pigeon’s pathos is this issue’s only saving grace. RR does a good job getting us to empathise with papa pigeon but everything else that goes on in the background is your run of the mill selfish gods feasting on the blood of the innocents. wish there was more of papa pigeon. ...more,Notes are private!,0,1,1,"Dec 07, 2023","Dec 07, 2023","Dec 07, 2023",,Kindle Edition,view (with text),/book/show/200836899-the-sacrificers-4
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Adventures of Barry Ween, Boy Genius 1","Winick, Judd",1929998007,9781929998005,1929998007,88        pp,4.12,442,"Feb 01, 2000","Aug 01, 2000",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 05, 2023","Dec 07, 2023","Dec 07, 2023",,Paperback,view,/book/show/559398.The_Adventures_of_Barry_Ween_Boy_Genius_1
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sacrificers #3,"Remender, Rick",,,B0CJRWQ2W1,31        pp,4.18,55,unknown,"Oct 04, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,“roaches on a dung heap climbing to see which can get the better view of the shit.” what a line!,Notes are private!,0,0,1,"Dec 06, 2023","Dec 06, 2023","Dec 06, 2023",,Kindle Edition,view (with text),/book/show/199527774-the-sacrificers-3
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sacrificers #2,"Remender, Rick",,,B0CGK5MC7S,35        pp,4.08,60,unknown,"Sep 06, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,the story is getting good!,Notes are private!,0,0,1,"Dec 06, 2023","Dec 06, 2023","Dec 06, 2023",,Kindle Edition,view (with text),/book/show/197811149-the-sacrificers-2
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sacrificers #1,"Remender, Rick",,,,42        pp,3.98,106,unknown,2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Excellent first issue. The artwork is visually stunning, the colours quite literally jump off the page, so do the characters. I’m intrigued by the worExcellent first issue. The artwork is visually stunning, the colours quite literally jump off the page, so do the characters. I’m intrigued by the world building and the epic characters. Though there are lots of questions to be answered by subsequent issues, the central idea the book presents (well, in fact only teases) is quite BIG but at the same time feels grounded. ...more",Notes are private!,0,1,1,"Dec 06, 2023","Dec 06, 2023","Dec 06, 2023",,,view (with text),/book/show/150251790-the-sacrificers-1
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Proxima Centauri,"Dalrymple, Farel*",1534310290,9781534310292,1534310290,160        pp,3.05,187,"Jan 29, 2019","Jan 29, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"DNF at page 50. This comic looks really good, but not enough of a story / character to actually hook you on an emotional level. I wish I could really DNF at page 50. This comic looks really good, but not enough of a story / character to actually hook you on an emotional level. I wish I could really get into it...more",Notes are private!,0,0,1,"Dec 05, 2023","Dec 06, 2023","Dec 06, 2023",,Paperback,view (with text),/book/show/40629248-proxima-centauri
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Genkaku Picasso, Vol. 1        (1)","Furuya, Usamaru",1421536757,9781421536750,1421536757,256        pp,3.73,660,"Feb 04, 2009","Nov 02, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 03, 2023",,Paperback,view,/book/show/8549962-genkaku-picasso-vol-1
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Swan Songs #5        (of 6),"Prince, W. Maxwell",,,B0CLZ1VHNP,32        pp,4.54,28,unknown,"Nov 29, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Very kooky kind of tale (but then again, which tale in the series isn't kooky) I particularly loved the collage art - very well done.Very kooky kind of tale (but then again, which tale in the series isn't kooky) I particularly loved the collage art - very well done....more",Notes are private!,0,0,1,"Dec 04, 2023","Dec 04, 2023","Dec 03, 2023",,Kindle Edition,view (with text),/book/show/200836834-swan-songs-5
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Swan Songs #4        (of 6),"Prince, W. Maxwell",,,B0CJST8JL1,31        pp,4.03,33,unknown,"Oct 11, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 03, 2023","Dec 03, 2023","Dec 03, 2023",,Kindle Edition,view,/book/show/199370936-swan-songs-4
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Swan Songs #3        (of 6),"Prince, W. Maxwell",,,B0CGKNXQFW,32        pp,3.92,36,unknown,"Sep 06, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 03, 2023","Dec 03, 2023","Dec 03, 2023",,Kindle Edition,view,/book/show/197811144-swan-songs-3
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Swan Songs #2        (of 6),"Prince, W. Maxwell",,,B0CCBXD49T,32        pp,4.34,41,unknown,"Aug 09, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 03, 2023","Dec 03, 2023","Dec 03, 2023",,Kindle Edition,view,/book/show/193537847-swan-songs-2
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Swan Songs #1        (of 6),"Prince, W. Maxwell",,,B0C6YJG42P,28        pp,4.06,64,unknown,"Jul 05, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Dec 03, 2023not set","Dec 03, 2023not set","Dec 03, 2023",,Kindle Edition,view,/book/show/171831331-swan-songs-1
