,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Pamela's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women in the Castle,"Shattuck, Jessica*",0062563661,9780062563668,0062563661,356        pp,3.85,"62,778","Mar 28, 2017","Mar 28, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Like any novel about WWII, it's sometimes hard to read and somber, but an interesting insight into what it might have been like to be a German woman aLike any novel about WWII, it's sometimes hard to read and somber, but an interesting insight into what it might have been like to be a German woman at the time. Three different women deal with life before during and after the war. It had me wondering what I would have done. Thought provoking. ...more",Notes are private!,0,2,1,"Mar 21, 2024","Mar 25, 2024","Mar 21, 2024",,Hardcover,view (with text),/book/show/30653967-the-women-in-the-castle
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Stranger in the Mirror,"Constantine, Liv*",,,,336        pp,3.73,"27,841","Jul 06, 2021","Jul 06, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Lots of twists, like normal for this author. I guessed who the bad guy was, but was still blown away when I found out the extent of his evil, and maniLots of twists, like normal for this author. I guessed who the bad guy was, but was still blown away when I found out the extent of his evil, and manipulations. This book is a testament to how much people can hide about themselves. At times, it's creepy. ...more",Notes are private!,0,0,1,"Mar 18, 2024","Mar 21, 2024","Mar 18, 2024",,Hardcover,view (with text),/book/show/54798460-the-stranger-in-the-mirror
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cold Pursuit        (Ryland & St. Clair #1),"Mehl, Nancy",0764240455,9780764240454,0764240455,336        pp,4.13,834,"Jul 11, 2023","Jul 11, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Good cold case mystery plot, but too much repetitive introversion of the POV characters. They'd be better, more fleshed out characters, if we were shoGood cold case mystery plot, but too much repetitive introversion of the POV characters. They'd be better, more fleshed out characters, if we were shown them doing things, rather than being told all their thoughts. Some good banter in the dialog, but a lot of stilted dialog, too. ...more",Notes are private!,0,0,1,"Mar 15, 2024","Mar 18, 2024","Mar 15, 2024",,Paperback,view (with text),/book/show/62921692-cold-pursuit
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Like Honey for the Bones,"Heineman, Brandy*",,9798988307433,B0C3V3V8JV,385        pp,4.12,48,Jul 2023,"Jul 24, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Two complex characters who’ve made mistakes and paid the consequences get caught up in a crime ring and fall in love while solving a mystery from the Two complex characters who’ve made mistakes and paid the consequences get caught up in a crime ring and fall in love while solving a mystery from the early twentieth century. Though it’s a complicated plot, it kept my attention and all the threads were tied up. The faith aspects were appropriate....more",Notes are private!,0,1,1,"Mar 11, 2024","Mar 15, 2024","Mar 11, 2024",,Kindle Edition,view (with text),/book/show/143373080-like-honey-for-the-bones
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sun Down Motel,"St. James, Simone*",0440000173,9780440000174,0440000173,327        pp,4.02,"149,231","Feb 18, 2020","Feb 18, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Well written two -timeline mystery. I guessed a few things and was surprised by a few. I could relate to the characters.,Notes are private!,0,1,1,"Mar 05, 2024","Mar 08, 2024","Mar 05, 2024",,Hardcover,view (with text),/book/show/45885644-the-sun-down-motel
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Miracle in Milan,"Diorio, MaryAnn*",0930037758,9780930037758,B0929FZKDS,214        pp,4.17,18,unknown,"May 08, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Kindle Edition,view,/book/show/57977051-miracle-in-milan
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Why We Read: On Bookworms, Libraries, and Just One More Page Before Lights Out","Reed, Shannon*",1335007962,9781335007964,1335007962,336        pp,3.80,967,"Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Hardcover,view,/book/show/127975811-why-we-read
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Love Talker,"Peters, Elizabeth",0380733404,9780380733408,0380733404,368        pp,3.69,"2,006",1980,"May 01, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Baffling who-dunit even with few suspects. I enjoyed the nostalgia of the time period, though it was present day when it was written - late seventies.Baffling who-dunit even with few suspects. I enjoyed the nostalgia of the time period, though it was present day when it was written - late seventies. Still stands up....more",Notes are private!,0,0,1,"Mar 02, 2024","Mar 04, 2024","Mar 02, 2024",,Mass Market Paperback,view (with text),/book/show/66513.The_Love_Talker
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wonders in the Deep,"Booth, Columba*",,,B0CNMCGVQJ,364        pp,4.60,20,unknown,"Nov 17, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Flawed characters—much like people you know and see in the mirror—make mistakes but find redemption when they own their mistakes and seek Jesus. Some Flawed characters—much like people you know and see in the mirror—make mistakes but find redemption when they own their mistakes and seek Jesus. Some of the scenes could be pared down, but I found myself rooting for the characters. If you’re looking for hope in a dark world, this book is for you. ...more",Notes are private!,0,0,1,"Feb 28, 2024","Mar 02, 2024","Feb 28, 2024",,Kindle Edition,view (with text),/book/show/202374690-wonders-in-the-deep
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Frozen River,"Lawhon, Ariel*",0385546874,9780385546874,0385546874,432        pp,4.48,"58,091","Dec 05, 2023","Dec 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Hardcover,view,/book/show/112975658-the-frozen-river
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Echoes Among the Stones,"Wright, Jaime Jo*",0764233882,9780764233883,0764233882,378        pp,4.12,"1,611","Dec 03, 2019","Dec 03, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/43887290-echoes-among-the-stones
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Midnight Is the Darkest Hour,"Winstead, Ashley*",1728269962,9781728269962,1728269962,386        pp,3.44,"19,276","Oct 03, 2023","Oct 03, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Good mystery, but the only character I liked was minor. I thought the ending was appropriate, hence the third star.",Notes are private!,0,2,1,"Mar 08, 2024","Mar 11, 2024","Feb 23, 2024",,Hardcover,view (with text),/book/show/68054323-midnight-is-the-darkest-hour
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Lost Castle        (The Lost Castle, #1)","Cambron, Kristy*",0718095464,9780718095468,0718095464,384        pp,4.06,"3,856",Feb 2018,"Feb 06, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Paperback,view,/book/show/35554148-the-lost-castle
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bad Weather Friend,"Koontz, Dean*",1662500483,9781662500480,B0C2VYV9KD,374        pp,3.92,"21,208","Jan 23, 2024","Feb 01, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 21, 2024","Feb 27, 2024","Feb 21, 2024",,Kindle Edition,view,/book/show/135415637-the-bad-weather-friend
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happiness Falls,"Kim, Angie*",0593448200,9780593448205,0593448200,387        pp,3.76,"47,077","Aug 29, 2023","Aug 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2024",,Hardcover,view,/book/show/75495002-happiness-falls
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Disappearance of Astrid Bricard,"Lester, Natasha*",1538706954,9781538706954,1538706954,454        pp,4.20,"2,674","Sep 27, 2023","Jan 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2024",,Hardcover,view,/book/show/145624794-the-disappearance-of-astrid-bricard
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Christmas Murder Game,"Benedict, Alexandra",1728263034,9781728263038,1728263034,279        pp,3.40,"18,894","Sep 30, 2021","Oct 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Paperback,view,/book/show/60260682-the-christmas-murder-game
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Songs That Could Have Been,"Wen, Amanda*",0825447690,9780825447693,0825447690,272        pp,4.46,271,unknown,"May 24, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Paperback,view,/book/show/59766494-the-songs-that-could-have-been
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Darkness Calls the Tiger,"Tromp, Janyre*",0825448506,9780825448508,0825448506,352        pp,4.69,16,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/149599576-darkness-calls-the-tiger
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Tourist's Guide to Murder        (Mystery Bookshop, #6)","Burns, V.M.*",1496728955,9781496728951,1496728955,250        pp,4.02,960,"Jan 26, 2021","Jan 26, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Though it took about 25% of the book to reach the mystery, this was a fun, quick read.",Notes are private!,0,0,1,"Feb 08, 2024","Feb 10, 2024","Feb 08, 2024",,Paperback,view (with text),/book/show/53599417-a-tourist-s-guide-to-murder
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Dry        (Aaron Falk, #1)","Harper, Jane*",,,,336        pp,4.06,"239,199","Nov 08, 2016","May 31, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Intriguing mystery and relatable characters kept me reading. Toward the end, though I didn't think all the backstory was necessary. Intriguing mystery and relatable characters kept me reading. Toward the end, though I didn't think all the backstory was necessary. ...more",Notes are private!,0,1,1,"Feb 19, 2024","Feb 21, 2024","Feb 06, 2024",,Kindle Edition,view (with text),/book/show/27824826-the-dry
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The White Lady: A British Historical Mystery,"Winspear, Jacqueline*",0062867997,9780062867995,0062867997,336        pp,4.06,"14,887","Mar 21, 2023","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2024",,Paperback,view,/book/show/176823458-the-white-lady
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mrs. Dalloway,"Woolf, Virginia",0151009988,9780151009985,0151009988,194        pp,3.79,"306,454","May 14, 1925","Oct 28, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 02, 2024",,Hardcover,view,/book/show/14942.Mrs_Dalloway
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Dark Guest        (The Cold War Legacy, #1)","Hamaker, Sarah*",,9781958375006,,unknown,4.47,102,unknown,"May 15, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Really 3 1/2 stars. The suspense plot was intriguing, and I loved the main characters and the romance, but the misunderstanding at the end wasn't convReally 3 1/2 stars. The suspense plot was intriguing, and I loved the main characters and the romance, but the misunderstanding at the end wasn't convincing. The first half was excellent, sucked me in, wanting to know what was in Violet's past, but then her brother was so eveil he seemed a bit cartoonish for me. ...more",Notes are private!,0,0,1,"Feb 02, 2024","Feb 04, 2024","Feb 02, 2024",,Paperback,view (with text),/book/show/60894329-the-dark-guest
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seamstress of Acadie,"Frantz, Laura*",0800740688,9780800740689,0800740688,416        pp,4.53,729,"Jan 09, 2024","Jan 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2024",,Paperback,view,/book/show/182093563-the-seamstress-of-acadie
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Protecting Tanner Hollow        (Tanner Hollow, #1-4)","Eason, Lynette*",080073646X,9780800736460,080073646X,384        pp,4.29,994,"Nov 05, 2019","Nov 05, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"For a small town, there’s a lot of danger in Tanner Hollow, the setting of the four romantic suspense novellas included in the book. My heart raced inFor a small town, there’s a lot of danger in Tanner Hollow, the setting of the four romantic suspense novellas included in the book. My heart raced in a few places but not long enough to be uncomfortable. A good read if you’re into clean romantic suspense about Christian characters not struggling with their faith or mentioning it often. ...more",Notes are private!,0,0,1,"Jan 27, 2024","Jan 30, 2024","Jan 27, 2024",,Paperback,view (with text),/book/show/43838304-protecting-tanner-hollow
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yellowface,"Kuang, R.F.*",,,,329        pp,3.80,"428,261","May 25, 2023","May 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2024",,Hardcover,view,/book/show/59357120-yellowface
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Midnight Library,"Haig, Matt*",,,,288        pp,4.00,"1,766,833","Aug 13, 2020","Sep 29, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2024",,Hardcover,view,/book/show/52578297-the-midnight-library
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When Among Crows,"Roth, Veronica*",1250855489,9781250855480,1250855489,176        pp,4.07,296,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 25, 2024",,Hardcover,view,/book/show/195790597-when-among-crows
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If You Ask Me,"White, Betty",0399157530,9780399157530,0399157530,258        pp,3.76,"44,744","May 03, 2011","May 03, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 25, 2024",,Hardcover,view,/book/show/9972053-if-you-ask-me
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Double Take        (Lake City Heroes, #1)","Eason, Lynette*",0800741196,9780800741198,0800741196,320        pp,4.32,"1,473","Jan 09, 2024","Jan 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 24, 2024",,Paperback,view,/book/show/182093503-double-take
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Bullet That Missed        (Thursday Murder Club, #3)","Osman, Richard",0241512425,9780241512425,0241512425,413        pp,4.39,"165,245","Sep 15, 2022","Sep 15, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It's not the best writing style, but I enjoy these characters and am often surprised by plot points.It's not the best writing style, but I enjoy these characters and am often surprised by plot points....more",Notes are private!,0,1,1,"Jan 23, 2024","Jan 27, 2024","Jan 23, 2024",,Hardcover,view (with text),/book/show/58957615-the-bullet-that-missed
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Noble Scheme        (The Imposters, #2)","White, Roseanna M.*",0764240935,9780764240935,0764240935,352        pp,4.56,301,Mar 2024,"Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 22, 2024",,Paperback,view,/book/show/182094112-a-noble-scheme
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Lies,"Sanders, Nicola*",,,,215        pp,4.02,"27,345","Sep 22, 2020","Sep 22, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Kindle Edition,view,/book/show/55422036-all-the-lies
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,26 Below        (Alaskan Cyber Hunters #1),"Woodhouse, Kimberley*",0825447720,9780825447723,0825447720,272        pp,4.09,388,"Apr 04, 2023","Apr 04, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Well-written and chilling (in more ways than one), this book gives insight into living in Alaska, cyber security, and coming back to faith after wandeWell-written and chilling (in more ways than one), this book gives insight into living in Alaska, cyber security, and coming back to faith after wandering away from God....more",Notes are private!,0,1,1,"Feb 04, 2024","Feb 07, 2024","Jan 19, 2024",,Paperback,view (with text),/book/show/75295287-26-below
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret Book Club,"Robinson, Shauna*",000860195X,9780008601959,B0C6YHN8CX,384        pp,3.76,199,"Jan 18, 2024","Jan 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Kindle Edition,view,/book/show/171831883-the-secret-book-club
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To Enchant a Lady's Heart        (The British Are Coming #1),"Hatcher, Robin Lee*",,9798987150436,,137        pp,4.33,231,May 2023,"May 22, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Paperback,view,/book/show/123022834-to-enchant-a-lady-s-heart
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Beautiful Disguise        (The Imposters, #1)","White, Roseanna M.*",0764240927,9780764240928,,400        pp,4.31,"1,143",Aug 2023,"Aug 22, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Yes! A first book in a series where one storyline is completed. Complex characters solving a mystery in an interesting setting, including medieval homYes! A first book in a series where one storyline is completed. Complex characters solving a mystery in an interesting setting, including medieval homes, circus wagons, trapezes, and a trained not tame lion, make this a fun read. I’m looking forward to book two!...more",Notes are private!,0,0,1,"Jan 16, 2024","Jan 20, 2024","Jan 16, 2024",,Paperback,view (with text),/book/show/62611264-a-beautiful-disguise
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"When the Day Comes        (Timeless, #1)","Meyer, Gabrielle*",0764239740,9780764239748,0764239740,384        pp,4.41,"4,223","May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Paperback,view,/book/show/59627675-when-the-day-comes
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Houseboat,"Bahr, Dane",,,,256        pp,2.93,"1,005","Mar 08, 2022","Mar 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Hardcover,view,/book/show/59060037-the-houseboat
