,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kat's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Pilgrim's Progress,"Bunyan, John",0393927717,9780393927719,0393927717,512        pp,4.05,"138,368","Feb 18, 1678","Oct 20, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,1,0,1,"Jan 15, 2024","Mar 14, 2024","Jan 15, 2024",,Paperback,view,/book/show/976019.The_Pilgrim_s_Progress
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hippopotamus,"Fry, Stephen",,,B00LKIBYBK,418        pp,3.68,"10,102",1994,"Jul 01, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 18, 2023",,Kindle Edition,view,/book/show/41021732-the-hippopotamus
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Girl with the Louding Voice,"Daré, Abi",1524746029,9781524746025,1524746029,371        pp,4.44,"149,226","Feb 04, 2020","Feb 04, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 10, 2023",,Hardcover,view,/book/show/50214741-the-girl-with-the-louding-voice
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Iron Flame        (The Empyrean, #2)","Yarros, Rebecca*",1649374178,9781649374172,1649374178,640        pp,4.35,"920,883","Nov 07, 2023","Nov 07, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I set this aside very early on. It just didn't hold my interest like its predecessor, Fourth Wing, and the repetition, a staple in romantic fiction whI set this aside very early on. It just didn't hold my interest like its predecessor, Fourth Wing, and the repetition, a staple in romantic fiction which has already become problematic by the end of Fourth Wing, began very early in this novel. ...more",Notes are private!,0,0,1,"Dec 06, 2023","Dec 08, 2023","Dec 06, 2023",,Hardcover,view (with text),/book/show/90202302-iron-flame
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Romola,"Eliot, George",0140434704,9780140434705,B00VM4G9OY,688        pp,3.76,"4,489",Aug 1863,"Mar 31, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 06, 2023",not set,"Dec 06, 2023",,Paperback,view,/book/show/835508.Romola
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Madonna in a Fur Coat,"Ali, Sabahattin",,,B016LOZZEY,168        pp,4.42,"58,461","Mar 01, 1943","May 05, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It's almost incredible that this novel by a Turkish author was originally published in 1943, as it puts in the mouth of its chief female character somIt's almost incredible that this novel by a Turkish author was originally published in 1943, as it puts in the mouth of its chief female character some of the most feminist sentiments in literature. For that reason, and because it is always compelling reading, I've given it four stars. I admit I'm still puzzling over the novel's odd structure. It begins in the voice of an unnamed (I believe) narrator who speaks eloquently about one of his colleagues, Raif Efendi, a man he describes as ordinary, but a man he admires very much. He details the way he gradually gets to know Efendi a bit better, and becomes a visitor to his house. Then, during a severe illness, Efendi asks the narrator to bring him a notebook from his desk at the office. The contents of that notebook, written by Efendi in the first person, comprise the remainder of the novel, which is set primarily in Berlin and describes how Efendi falls in love with a woman artist from the first glimpse of her self-portrait at an exhibit. This ""Madonna in a fur coat"" turns out to be a character fascinating not only to Efendi but to the reader, and the growth of their relationship proves compelling reading. ...more",Notes are private!,0,0,1,not set,"Dec 03, 2023","Dec 06, 2023",,ebook,view (with text),/book/show/27793819-madonna-in-a-fur-coat
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fourth Wing        (The Empyrean, #1)","Yarros, Rebecca*",1649374046,9781649374042,1649374046,498        pp,4.59,"1,501,146","May 02, 2023","May 02, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is one of my occasional dives into the fantasy genre. I learned about this novel from a er who called it a ""romantasy,"" and the romance betThis is one of my occasional dives into the fantasy genre. I learned about this novel from a er who called it a ""romantasy,"" and the romance between the main character--Violet and the man she falls in love with (no spoilers here) is certainly a central element, which means that the novel includes both the strengths and weaknesses of the romance genre. But the novel is well-plotted and quite a page-turner if the romance element doesn't disqualify it for you. Violet is a young woman who has intended to study to be a scribe, as her father was. But her mother, a cold, distant and critical figure who holds a position high in the military hierarchy, decrees in the wake of the father's death that Violet should be a dragon-rider, like others in the family. Violet takes up the challenge in spite of having physical pain and limitations that make it difficult for her. (In this way the novel is a bit reminiscent of Bujold's Vorkosigan series.) As the novel progresses, we begin to suspect the higher-ups are concealing important facts from the students at the dragon-riding academy. The novel is the first in a series, so the ending, while dramatic and satisfying, doesn't wrap everything up. On to IRON FLAME, the second book of the series......more",Notes are private!,0,0,1,not set,"Dec 03, 2023","Dec 06, 2023",,Hardcover,view (with text),/book/show/61431922-fourth-wing
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Miracle at St. Anna,"McBride, James*",1573229717,9781573229715,1573229717,320        pp,3.88,"3,941",2001,"Jan 07, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is another novel that fell into two favorite categories: It's both set in World War II and in Italy, a country in which I take a special interestThis is another novel that fell into two favorite categories: It's both set in World War II and in Italy, a country in which I take a special interest. Its characters are part of a group of African-American soldiers who are fighting in the mountains of Tuscany. One of them--a massive southerner named Train--rescues a white child and bonds with him. Three other soldiers are sent after him, and the four--plus the boy--become separated from the main division and from their white commanding officer. They come to an Italian village filled with interesting characters with painful histories and take refuge there. All that sounds slow, but the novel is never that because the characters are so convincing and compelling. The novel dabbles in magic realism, which I tend not to enjoy, but in this case the ""magic"" was so gentle and ambiguous that it all hung together perfectly. ...more",Notes are private!,0,0,1,not set,not set,"Dec 06, 2023",,Paperback,view (with text),/book/show/23438.Miracle_at_St_Anna
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heat of the Day,"Bowen, Elizabeth",0385721285,9780385721288,0385721285,415        pp,3.40,"2,510",1948,"Jul 09, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Elizabeth Bowen tends to be one of those novelists you love or you hate. I recommended her to a friend once who was indignant with her, and felt she wElizabeth Bowen tends to be one of those novelists you love or you hate. I recommended her to a friend once who was indignant with her, and felt she was ""deliberately obfuscating."" She does have an ambiguous prose style, and I often have to reread her sentences and ponder what she could have meant by them. I love that about her, however, while my friend hated it. This novel, which was a reread for me (possibly a third read), is set in London during World War II, but isn't a historical novel--Bowen wrote it just after having lived through it. Stella, the main character, is a divorced woman with a grown son who has found passionate love in the midst of wartime dangers and austerities. Then one day she's approached by a British intelligence officer who makes an incredible assertion. How Stella deals with that forms much of the novel's content. ...more",Notes are private!,0,1,1,not set,"Nov 26, 2023","Dec 06, 2023",,Paperback,view (with text),/book/show/195987.The_Heat_of_the_Day
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Sultan's Seal        (Kamil Pasha, #1)","White, Jenny",0393329208,9780393329209,0393329208,366        pp,3.41,"1,222","Feb 13, 2006","Feb 17, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This title is both a historical novel and a mystery, but is more of the former than the latter, by which I think I mean that it was the characters andThis title is both a historical novel and a mystery, but is more of the former than the latter, by which I think I mean that it was the characters and the setting that kept me turning the pages so avidly, rather than wanting to know just who killed the Englishwoman. Set in Istanbul in the late nineteenth century, during the Ottoman Empire, its main character, Kamil Pasha, is responsible for finding out just what happened, but must steer a careful course to avoid offending anyone at the palace. His investigation takes him to the British embassy where he meets and is drawn to the daughter of the ambassador. Both he and she have grieving fathers whose behaviors have begun to unravel in different ways. We also meet a young Turkish woman who is rebelling against or at any rate sidestepping the constraints put on Turkish girls of her class; her involvement in the mystery is one of the more compelling plot elements, but her character also fascinates and is not the cliche suggested by my summary of it. The novel is obviously intensely researched, and gives a real feeling for the time and place. ...more",Notes are private!,0,0,1,not set,"Nov 26, 2023","Dec 06, 2023",,Paperback,view (with text),/book/show/540454.The_Sultan_s_Seal
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Slaves of Solitude,"Hamilton, Patrick",1590172205,9781590172209,1590172205,242        pp,4.08,"2,642",1947,"Feb 20, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I love novels set during the second world war and I also enjoy novels that explore the subtleties of relationships between people. This novel qualifieI love novels set during the second world war and I also enjoy novels that explore the subtleties of relationships between people. This novel qualifies on both counts. The main character, Miss Roach, who works in a lesser position at a publishing firm in London, has been bombed out of her flat and now lives in a suburban lodging house with a number of other solitary men and women. Hamilton is masterful at creating these characters, bringing them to life in a few sentences. When a German woman who has been living in England since before the war began joins the group and horns in on Miss Roach's tenuous relationship with an American soldier, Hamilton superbly demonstrates how Miss Roach forces her feelings underground in order to be ""reasonable."" The novel is compelling without being dramatic, and I greatly enjoyed the conclusion. ...more",Notes are private!,0,0,1,not set,"Oct 26, 2023","Dec 06, 2023",,Paperback,view (with text),/book/show/176964.The_Slaves_of_Solitude
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heart's Invisible Furies,"Boyne, John*",,,,582        pp,4.51,"162,342","Feb 09, 2017","Aug 22, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 31, 2023",,Hardcover,view,/book/show/33253215-the-heart-s-invisible-furies
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Play for the End of the World,"Chakrabarti, Jai*",0525658920,9780525658924,0525658920,304        pp,4.01,826,"Sep 07, 2021","Sep 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2023",,Hardcover,view,/book/show/56293632-a-play-for-the-end-of-the-world
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Afterword,"Schuyler, Nina*",,9781955904704,,229        pp,4.36,91,unknown,"May 23, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 31, 2023",,Paperback,view,/book/show/63320466-afterword
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Kingdom,"Carrère, Emmanuel",,,B01MFBXO6K,382        pp,3.96,"4,320","Aug 29, 2014","Mar 02, 2017",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I felt I was being brave by trying a ""nonfiction novel,"" but apparently I'm just not open-minded enough to enjoy this poorly organized work. The firstI felt I was being brave by trying a ""nonfiction novel,"" but apparently I'm just not open-minded enough to enjoy this poorly organized work. The first section is rather interesting. In it this French author looks back with embarrassment at a time in his life in which he experienced conversion to the (Catholic) faith of his childhood and became passionately devoted to the church, but then loses his faith altogether. But when Carrere starts to speculate about the feelings the Christian leaders in the Epistles, it reads rather like notes for a possible historical novel the author is too lazy to write. Though I read 150 pages of the book, in the end I set it aside and went on to fiction novels. I'm afraid I will always love best stuff that is made up. ...more",Notes are private!,0,0,1,"Aug 21, 2023","Dec 06, 2023","Aug 21, 2023",,Kindle Edition,view (with text),/book/show/34350046-the-kingdom
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Touchstone,"Wharton, Edith",097460786X,9780974607863,097460786X,124        pp,3.66,"1,460",1900,"Sep 01, 2004",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The protagonist of THE TOUCHSTONE was once the close friend of a distinguished woman novelist, now deceased. In fact, she loved him, though he couldn'The protagonist of THE TOUCHSTONE was once the close friend of a distinguished woman novelist, now deceased. In fact, she loved him, though he couldn't return the sentiment. He has in his possession a large number of letters that she wrote to him, which are now of considerable monetary value. Our protagonist wishes to marry, but hasn't the money. Such is the situation at the opening of this interesting novella.I must confess that this sort of thing is absolutely my cup of tea. I would rather read the scrutiny of complex characters and their moral dilemmas than almost anything. What Wharton describes isn't a simple picture of deed plus consequences, but a journey with anguished twists and turns, and a resolution that is complicated enough to satisfy. ...more",Notes are private!,0,0,1,"Aug 07, 2023","Aug 20, 2023","Aug 07, 2023",,Paperback,view (with text),/book/show/398143.The_Touchstone
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Namesake,"Lahiri, Jhumpa",0618485228,9780618485222,0965141667,291        pp,4.01,"269,640","Sep 16, 2003","Jan 01, 2003",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was disappointed in this novel. I'd heard Lahiri's name often, and knew this book had been made into a film, so I was expecting more. In my view a nI was disappointed in this novel. I'd heard Lahiri's name often, and knew this book had been made into a film, so I was expecting more. In my view a novel should have, at the minimum, either a plot or complex characterization. THE NAMESAKE has neither. Though the intent of the author seems to be to reveal the immigrant experience of a particular class and religion of Indians, after its dramatic and interesting opening it becomes a novel of surfaces, with small events and mostly predictable characters. The author herself seems almost to apologize for the failures of this first novel in an afterward, and to swear that her writing today bears little similarity to what it was when she wrote this....more",Notes are private!,0,0,2,"Aug 07, 2023not set","Sep 06, 2023not set","Aug 07, 2023",,Paperback,view (with text),/book/show/33917.The_Namesake
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Frederick Sisters Are Living the Dream,"Zusy, Jeannie*",1982185384,9781982185381,1982185384,320        pp,3.54,"1,944","Sep 20, 2022","Sep 20, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 07, 2023",,Hardcover,view,/book/show/59366239-the-frederick-sisters-are-living-the-dream
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,May We Be Forgiven,"Homes, A.M.*",0670025488,9780670025480,0670025488,480        pp,3.67,"15,993","Sep 01, 2012","Sep 27, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This novel begins with a series of violent and dramatic events which upend the lives of narrator Harry Silver, an academic who specializes in the lifeThis novel begins with a series of violent and dramatic events which upend the lives of narrator Harry Silver, an academic who specializes in the life of Richard Nixon, and his brother George, a prominent television network executive. I wondered how the aftermath would manage to hold my attention after such a dramatic start, but that turned out not to be a problem. Some of the tags in the s were ""funny"" ""compassionate"" and ""humane,"" and I like all those things, so I enjoyed what turned out to be an absurdist fable about contemporary life and constructed families. But in spite of the fact that the novel isn't strictly realist, I can't help commenting that it vastly understates the difficulties of parenting and of caring for older adults with dementia. ...more",Notes are private!,0,0,1,"Jul 06, 2023","Aug 07, 2023","Jul 06, 2023",,Hardcover,view (with text),/book/show/16061734-may-we-be-forgiven
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cold Millions,"Walter, Jess",006286808X,9780062868084,006286808X,342        pp,3.96,"18,337","Oct 27, 2020","Oct 27, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 30, 2023",,Hardcover,view,/book/show/50358038-the-cold-millions
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pereira Maintains,"Tabucchi, Antonio",1847675719,9781847675712,1847675719,196        pp,4.18,"29,425",Jan 1994,2010,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The title of this novel is used as a rhetorical device throughout. ""But the fact is Pereira began dwelling upon death, he maintains."" ""Pereira maintaiThe title of this novel is used as a rhetorical device throughout. ""But the fact is Pereira began dwelling upon death, he maintains."" ""Pereira maintains that Monteiro Rossi muttered he would come to the office that very day..."" Etc. The reader immediately wonders: to whom is Pereira maintaining these things? Since the novel is set in Portugal during the Spanish Civil War, when the government was leaning toward Fascism, possible answers are grim, and this is always in the back of the reader's mind as Pereira--an overweight, Catholic journalist who claims to be neutral politically--becomes drawn into very political matters. I won't spoil the ending, but will say only that it is powerful, noteworthy, and absolutely perfect. ...more",Notes are private!,0,0,1,"Jun 30, 2023","Jul 22, 2023","Jun 30, 2023",,Hardcover,view (with text),/book/show/7849308-pereira-maintains
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paradox Hotel,"Hart, Rob*",1984820648,9781984820648,1984820648,336        pp,3.54,"8,578","Feb 22, 2022","Feb 22, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I love any novel that messes with time, and this one does that in spades. (Do people still say that?) I wouldn't want to call it a time travel novel, I love any novel that messes with time, and this one does that in spades. (Do people still say that?) I wouldn't want to call it a time travel novel, because the reader doesn't go far into the past or future with the characters. But January, the protagonist, has come Unstuck from our basic timeline and has ""slips"" in which she experiences the past (especially glimpses of her lover, now dead) and the future (in which she finds a hotel guest murdered). The setup and execution of the plot is complex (it would take several paragraphs to describe), and yet I never felt confused. (Having said that, I should add that I'm more comfortable with uncertainty than many readers, so maybe I was sometimes confused but fine with it.) Also good to know: It isn't one of those plot-driven books with no characterization. We sympathize with January in spite of how badly she's treating others in the midst of her grief and mental confusion. Her hacked drone, Ruby, is another fascinating ""character."" And for me, the book doesn't have a slow spot in it. ...more",Notes are private!,0,0,1,"Jun 30, 2023","Jul 05, 2023","Jun 30, 2023",,Hardcover,view (with text),/book/show/58175765-the-paradox-hotel
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hello Beautiful,"Napolitano, Ann*",,,B0B7R4Q5DJ,416        pp,4.18,"297,668","Mar 14, 2023","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 02, 2023",,Kindle Edition,view,/book/show/61771675-hello-beautiful
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Can You Forgive Her?        (Palliser #1),"Trollope, Anthony",0140430865,9780140430868,0140430865,847        pp,3.99,"7,791",1865,"Jun 30, 1975",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Full disclosure: The four stars are not because this is such a brilliant novel but because that's how much I enjoy reading Trollope. In spite of the fFull disclosure: The four stars are not because this is such a brilliant novel but because that's how much I enjoy reading Trollope. In spite of the fact that some passages about a woman's relationship with her husband are ""fighting words"" to any feminist, I continue to love Trollope because his female characters are more interesting and complex than those of any other writer of his era. This novel is one of his best; it's the opening novel to his famous Palliser series, which includes much parliamentary talk. Okay, not THAT much--they are novels about personal relationships against the backdrop of a society based on class. You will never wonder just where a Trollope character fits into that hierarchy--he will tell you exactly. So that the economics of marriage are at the forefront, as they are in Austen. ...more",Notes are private!,0,0,1,"Jun 02, 2023","Aug 03, 2023","Jun 02, 2023",,Paperback,view (with text),/book/show/374371.Can_You_Forgive_Her_
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Damiano's Lute        (Damiano, #2)","MacAvoy, R.A.",0553171550,9780553171556,0553171550,254        pp,3.86,646,1984,Jun 1985,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Okay, the devil has told you that you're going to die soon...do you believe him? How will your belief affect your behavior? Can angels meddle in the aOkay, the devil has told you that you're going to die soon...do you believe him? How will your belief affect your behavior? Can angels meddle in the affairs of mortals? These are some of the questions addressed in Damiano's Lute, the middle book of the Damiano trilogy. I enjoyed reading about Damiano, the archangel Raphael, and the street dancer Gaspare who becomes Damiano's companion. The book dips into some interesting historical moments, such as plague in Avignon. But I couldn't help missing a certain character from book one who did not continue on the journey. Enough said. ...more",Notes are private!,0,0,1,"Jun 02, 2023","Jun 07, 2023","Jun 02, 2023",,Paperback,view (with text),/book/show/643992.Damiano_s_Lute
