,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Uzma's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Monstrilio,"Sámano Córdova, Gerardo*",1638930368,9781638930365,1638930368,336        pp,4.15,"10,100","Mar 07, 2023","Mar 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 21, 2023",,Hardcover,view,/book/show/62888191-monstrilio
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle*",,,,401        pp,4.18,"845,181","Jul 05, 2022","Jul 05, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Rich storytelling that is so strong it overshadows technique, which I typically prefer, so that was an odd experience for me. Cried and laughed. This Rich storytelling that is so strong it overshadows technique, which I typically prefer, so that was an odd experience for me. Cried and laughed. This book literally made me want to die but in the best way? No it was more like a medium way. Man idk stop reading this.My lazy ass has been postponing writing a  for this so I just gave up and did a really short one, yeah whatever!...more",Notes are private!,0,18,1,"Dec 09, 2023","Dec 29, 2023","Dec 09, 2023",,Hardcover,view (with text),/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'm Glad My Mom Died,"McCurdy, Jennette",,,,320        pp,4.47,"965,386","Aug 09, 2022","Aug 09, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Just finished the audiobook of I'm Glad My Mom Died narrated by Jennette McCurdy herself. I absolutely adored this, literally devoured it in a couple Just finished the audiobook of I'm Glad My Mom Died narrated by Jennette McCurdy herself. I absolutely adored this, literally devoured it in a couple of days. I'm thinking about writing a piece on this and other books relating to motherhood, so I will keep this short. Walking through McCurdy's life felt seamless, transitioning from one stage to the other as we grew up with her. Her level of honesty in this book sets it apart from others, leaving me wondering how she felt so comfortable with revealing everything to what turned out to be a massive audience. What particularly stuck with me was her conflicting feelings for her mother -- judging from the title, I was expecting McCurdy to despise her. Yet, she disclosed these complex feelings of love, betrayal, adoration, and resentment all at once. A girl's relationship with her mother may never be perfect, but we always hope for it to be. This memoir was multilayered and confessional. I especially enjoyed learning about the aspects of childhood stardom through McCurdy's eyes. I just had a great time. ...more",Notes are private!,0,33,1,"Jul 31, 2023","Aug 04, 2023","Aug 04, 2023",,ebook,view (with text),/book/show/59364173-i-m-glad-my-mom-died
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Centre,"Siddiqi, Ayesha Manazir",,9781638930549,,288        pp,3.42,"9,009","Jul 11, 2023","Jul 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 01, 2023",,Hardcover,view,/book/show/68005500-the-centre
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Gunslinger        (The Dark Tower, #1)","King, Stephen*",,,,231        pp,3.92,"610,779","Jun 01, 1982",Jul 2003,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Read this bc my boyfriend relentlessly begged me to dive into the Dark Tower books. He warned me even Stephen King fans found this first one boring (aRead this bc my boyfriend relentlessly begged me to dive into the Dark Tower books. He warned me even Stephen King fans found this first one boring (although his own loyalty refused to falter here), only laboring through it to get to the heart of the story that is the rest of the series. That pretty much sums up my experience with it. Finally ramping the plot up in the final pages of the book, The Gunslinger is nothing but backstory. I found it tiresome even with King’s stylistic narration. Which is so cute bc his quips are so similar to the ones my bf writes. He talks so much ab him. He’s such a fanboy. It’s so cute...more",Notes are private!,0,12,1,"Jul 11, 2023","Dec 10, 2023","Jul 11, 2023",,Paperback,view (with text),/book/show/43615.The_Gunslinger
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Elsewhere,"Schaitkin, Alexis*",1250219620,9781250219626,1250219620,240        pp,3.82,"4,546","Jun 28, 2022","Jul 11, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My s are sooo lackluster these days cause I psych myself out. And I think they’re just another item on my to-do list instead of me just yapping!My s are sooo lackluster these days cause I psych myself out. And I think they’re just another item on my to-do list instead of me just yapping!!! It’s always me just yapping!!Anyway this one took me forever. It centers on one woman living in this isolated community that does not know the outside world exists (that knowledge, or lack thereof, is mutual). If that wasn’t weird enough, all the mothers, at one point or other, turn into mist and disappear forever! Will our main character be saved from the same fate? Who’s to say!!Love the themes here. Love that it points out the all-or-none identity of motherhood. But no matter how well the world is developed, the mundanities just end up being boringggg affff. And it’s all described in such an apathetic tone. So I couldn’t get into it. Okay that’s all I’m gonna say blah!!! I still have to write my Cleo&frank  here but soooo muchhhh workkkkk. ...more",Notes are private!,1,10,1,"Jul 11, 2023","Mar 15, 2024","Jul 11, 2023",,Paperback,view (with text),/book/show/61884977-elsewhere
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When Breath Becomes Air,"Kalanithi, Paul",,,B00XSSYR50,208        pp,4.40,"668,402","Jan 12, 2016","Jan 12, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 06, 2023",,Kindle Edition,view,/book/show/25899336-when-breath-becomes-air
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Firefly Lane        (Firefly Lane #1),"Hannah, Kristin*",,,,497        pp,4.17,"391,326","Feb 05, 2008",Feb 2020,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I am so emo right now.Kate and Tully withstand every battle the universe throws at them as they stand hand-in-hand through over thirty years of friendI am so emo right now.Kate and Tully withstand every battle the universe throws at them as they stand hand-in-hand through over thirty years of friendship. God damn, that's a long time, and I don't think I'd be able to do it myself but nonetheless.... When the two first meet at the age of 14, Kate is awestruck by how cool Tully is. She knows what clothes to wear and what kids to talk to so that the crown of popularity can grace her head within the first few days of moving to her town. While it's true Tully is cool, she's not exactly content with her life. Seeing her new neighbor Kate and family eating dinner every night all happy together makes her feelings of inadequacy toward having a stoner mom exacerbated. But after a rough night, Tully opens up to Kate and befriends her. Their story unfolds from there.Of course, the dichotomy between the two girls did not just disappear when they vowed to stay friends forever -- rather, it manifests in quite harmful ways. Although the two internally care for each other, many writers would argue that one of the hallmarks of female friendship is this simultaneous presence of love and resentment. TullyandKate toe the line like it's the only thing they know how to do. After all, it is one of the only character traits they have in common. I am truly at a lack of words trying to express how wonderful this book was. As we travel through time and grow up with the girls, the book metamorphoses. At first, it takes one form we grow to become familiar with, but so seamlessly, it melds into another. Without even noticing, you've reached the final pages and realized you've read a book that's turned from childhood innocence to envious relationships to loving families. I feel like I've lived a LIFE, only to realize I've just read it through someone else's eyes. I don't know. I really don't know. I audibly sobbed my way through the last 50 pages, and no book has ever come close to leaving me like that (runners-up are The Great Alone and The Nightingale, which, not coincidentally, happen to also be written by Kristin Hannah. I love that woman.)While I will mention that Tully and Kate sometimes feel like caricatures of certain personality traits, I don't think it detracts from the book too far. Often times, their stubbornness to grow is what prompts issues in their life to arise and reveals the effect each of them have on the other. Perhaps, it can feel like a bit of an exaggeration, but the consequences are all fluid. They make sense. And one can only read the full story to understand what happens from there.But I would recommend this a million times over. To those who enjoy the journey. To people who need to apologize and people who need to forgive. And to any woman ever. This is the female friendship wrapped up in a pretty little package. Mrs. Mularkey would probably say, ""life is like a book,"" and it would be this one....more",Notes are private!,0,10,1,"May 21, 2023","May 22, 2023","May 21, 2023",,Kindle Edition,view (with text),/book/show/51851163-firefly-lane
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Why Fish Don’t Exist: A Story of Loss, Love, and the Hidden Order of Life","Miller, Lulu",,,,225        pp,4.17,"39,234","Apr 14, 2020","Apr 14, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 27, 2023",,Hardcover,view,/book/show/50887097-why-fish-don-t-exist
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Motherthing,"Hogarth, Ainslie*",0593467027,9780593467022,0593467027,288        pp,3.69,"17,807","Sep 27, 2022","Sep 27, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"After sitting with my thoughts on this book for two whole days, I am still wavering back and forth on it -- I truly cannot decide where I stand on it.After sitting with my thoughts on this book for two whole days, I am still wavering back and forth on it -- I truly cannot decide where I stand on it.The nature of the internet morphs a book, a movie, a painting, or whatever into some 3 words fully encapsulating its essence, except it doesn't. People fail to find the essence but it's marketed as that anyway. What I've seen is that they take the most shocking parts of it all and chalk it up to be the highlights, even though, in reality, they probably wouldn't even make the reel. This is a rant about me being told that this book was a horror because it was much less like that and much more like a Moshfegh -- sorry guys. Death In Her Hands type beat. But let me not get distracted. As always, a plot lowdown: Upon her husband (Ralph)'s mother's suicide, protagonist and narrator Abby rejoices over the fact that she no longer has to deal with offhand remarks about her character in a manner so delightful that could win her the motherly love she so always longed for...because that was never going to work anyway. Abby steals the ring off her late mother-in-law's finger while her body is in the hospital. She buries it in the yard, hoping to bring it back up to Ralph when she's finished grieving, like ""Oh! I just found this what!"" Maybe he'll give her the ring that his mother refused to pass down to her. But things get weird as Ralph starts noticing his mother around the house -- what could she be back for? After long pages of rambling from an insecure woman (which I get, I don't blame her), I started thinking to myself, ""How does one define horror?"" And then I got to the climax and thought to myself ""Ahhh. I think I get it now."" In the middle of multiple ""wtf just happened"" moments of the final pages, I had to try to analyze what literally any of it meant. What I've deduced is that author Hogarth is examining a woman's desire to be a good mother, whether that be instigated by society or childhood trauma (or is it innate? Bc if so, evolution skipped that one out on me). And in being the perfect mother, you must also be the perfect wife. But even if you try your darndest to fit this mold, you'll still get flak from the people you're supposed to call your loved ones. You're not a good mother. No one is.So is the only good mother a dead one? The one who, in her absence, is absolutely incapable of making mistakes, or causing conflict? Hogarth's diction is masterfully chosen to communicate all these things. The word ""baby"" is stretched to its edges as all its different meanings are used in close proximity to each other, whether it's to describe a lover or a yet-to-be-conceived child. It makes you feel disgusted, but I can't believe someone was capable of making me feel that way with only one word. I don't know. I'll leave you with this quote to think about.""But now [Ralph's mother] was quiet, now that she might be gone, Ralph was being pummeled by the full typhoon of his love for her, one of life's cruelest tricks, that the extent of this love waits to reveal itself."" Why do we love people most when they're dead?...more",Notes are private!,0,21,1,"Apr 16, 2023","Apr 25, 2023","Apr 16, 2023",,Paperback,view (with text),/book/show/60097451-motherthing
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Slade House,"Mitchell, David",,,B00S3RILQW,241        pp,3.81,"64,532",Oct 2015,"Oct 27, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"No book has left my mind feeling as thrilled as my body would after a rollercoaster ride. I don't know how I've only read Utopia Avenue by this man beNo book has left my mind feeling as thrilled as my body would after a rollercoaster ride. I don't know how I've only read Utopia Avenue by this man because this was a stroke of genius. I fell in love.In a paranormal psychological thriller, Mitchell divides this book into sections, each following a new first person perspective, from either a victim of the mysteries of the Slade House or someone otherwise related. Your classic haunted house story takes a turn as these interconnected plots jump 9 years forward each time to give you another mini-story that serves as a puzzle piece for the audience. I'll spare you the dirty details for the sake of your enjoyment... but if you've read this, please message me. I need someone to talk to about it. Every single time I thought I had a well-rounded idea of where the story was going to go, I was completely swept off the Earth's axis. At first, I assumed the novel would follow the first person, Nathan's, perspective for its entirety, but I was a bit disappointed when I was proved wrong -- for his storytelling remains my favorite out of all of them.But that is not to say that the others were terrible! No no NO they were far from it. Each of the characters were SO distinct. Little nuances appeared across them that differentiated the present perspective from the last, and I am truly in awe at Mitchell's mastery in giving each character their own voice. I don't know how he managed to get inside the head of each one. It's like he knew them. It felt raw and authentic, as though the story was being told to me by the character themselves.I think it's important to note that the final act references Mitchell's The Bone Clocks, which I'm very regretful for not having read prior to this. I feel as though the payoff would have been that much more satisfying, so I don't know if those of you reading would like to heed some advice. Nonetheless, I don't feel like the tie-in detracted from the main story at all, unlike the de Zoet plotline in Utopia Avenue (imo). This could absolutely stand on its own, but also allows room for further stories to be built.I feel like i've written an essay, so in spirit of those written by most high schoolers at one point or other... in conclusion...... this book was phenomenal, unpredictable, unputdownable, and just downright entertaining. I'd recommend to anyone and everyone. Read it....more",Notes are private!,0,9,1,"Apr 15, 2023","Apr 16, 2023","Apr 16, 2023",,Kindle Edition,view (with text),/book/show/40611069-slade-house
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gunk Baby,"Lau, Jamie Marina*",166260145X,9781662601453,166260145X,352        pp,3.14,585,2021,"Dec 13, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 14, 2023",not set,"Mar 14, 2023",,Paperback,view,/book/show/60645663-gunk-baby
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Annihilation,"Nakamura, Fuminori",1641292725,9781641292726,1641292725,264        pp,3.34,"3,323","Jun 18, 2016","Jan 11, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Have to get one thing out of the way first. No matter how surprised a plot twist makes me, something about the details of SA and the like just set me Have to get one thing out of the way first. No matter how surprised a plot twist makes me, something about the details of SA and the like just set me off. I guess that's what trigger warnings are for but idk. Previous descriptions of such things have not made me so uncomfortable before... I guess Nakamura particularly has a knack for tapping into disgust. But this is a major reason why the book is getting four stars, and it's completely on my own volition so take that into account. Let's dive in! This book opens with a man who is reading the journal of another man because he is trying to assume that man's identity. This journal is weird and grotesque, with descriptions of serial killers and past childhood traumas. Neither the reader nor the narrator knows what to think of it. And that's all I'm going to leave it at, folks, if you want to know more, you are simply going to have to read the rest of the novel -- a platform I'm not sure whether or not I want to support. I'll just say this: the book does not go where you think it's going. No! I don't care if you think you got it right. You don't. Decide for yourselves if you want to subject yourselves to this. There's a reason why the tagline is ""Turn this page, and you may give up your entire life.""Quick notes: perhaps it's the translation from Japanese that makes some of the writing feel awkward, but who's to say. pacing is stellar, once it all comes together, it's wrapped up in the tightest little bow. also my head hurts....more",Notes are private!,0,10,1,"Mar 09, 2023","Mar 14, 2023","Mar 09, 2023",,Hardcover,view (with text),/book/show/59241078-my-annihilation
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yellowface,"Kuang, R.F.*",,,,329        pp,3.80,"428,261","May 25, 2023","May 25, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"After reading from this book how authors are human beings (wow shocker) and are undeniably affected by negative s, I feel a bit bad giving this After reading from this book how authors are human beings (wow shocker) and are undeniably affected by negative s, I feel a bit bad giving this book only 3 stars, especially since R.F. Kuang’s previous works have been so highly praised. Although I heard amazing things for The Poppy War and Babel, both works that I’ve been wanting to pick up for quite some time, this was a bit of a letdown for me. I’m going to say one thing right off the bat: after reading the masterpiece that is Disorientation by Elaine Hsieh Chou, which has VERY similar themes to this book, Yellowface simply could not measure up to me. In that novel, stolen Asian literature is tackled both so maturely and humorously in a way that makes it feel like the pinnacle of modern satire. R.F. Kuang’s approach to this was surely unique: writing from the white woman’s perspective, a task that was likely challenging considering she had to prioritize humanizing the main character while pointing out her flaws. There were a lot of great questions opened up here — who has the right to tell certain stories? when does inspiration become stealing? do white men fetishize their asian partners? and the like. Yet, I feel as though the answers to these questions weren’t explored as deeply as they could have been. This novel was tied so closely to the plot (mainly a lot of insight into the publishing process) that any actual thesis wasn’t backed up with much contextual evidence. I just could not stop thinking about how much more masterfully these ideas were examined in Disorientation. I wish I didn’t have to compare, but these are my thoughts! Otherwise, the book was compulsively readable. Yes, I was entertained, but for an author of Kuang’s status, I was just expecting so much more. I can’t wait to hear everyone’s thoughts when the book comes out. Thank you Harper Collins for the copy!...more",Notes are private!,0,30,1,"Mar 05, 2023","Mar 08, 2023","Mar 05, 2023",,Hardcover,view (with text),/book/show/59357120-yellowface
