,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Di'ana's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ventės kalvis,Skomantas,9986476178,9789986476177,9986476178,160        pp,4.00,22,1997,"Jan 01, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Paperback,view,/book/show/3360677-vent-s-kalvis
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mėlynojo varno paslaptis,Skomantas,,,,160        pp,4.00,15,1996,1996,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Paperback,view,/book/show/22882644-m-lynojo-varno-paslaptis
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Plėšikų pilis,Skomantas,,,,143        pp,3.95,22,1995,1995,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Paperback,view,/book/show/18463437-pl-ik-pilis
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Captive,Skomantas,9986476143,9789986476146,9986476143,152        pp,3.98,45,1993,1997,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Paperback,view,/book/show/3360672-the-captive
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dingusių žodžių žodynas,"Williams, Pip",6094930738,9786094930737,6094930738,480        pp,4.03,"141,136","Mar 31, 2020",2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Hardcover,view,/book/show/210079141-dingusi-od-i-odynas
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Žmonių šešėliai,"Mukherjee, Abir*",,9786094667114,,384        pp,4.30,"2,813","Nov 11, 2021",2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Hardcover,view,/book/show/176608443-moni-e-liai
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gedimino kraujas,"Gudas, Eimantas",6090158992,9786090158999,6090158992,520        pp,4.70,10,unknown,2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Hardcover,view,/book/show/209412480-gedimino-kraujas
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ariadne,"Saint, Jennifer*",1472273877,9781472273871,1472273877,389        pp,3.80,"114,537","Mar 30, 2021","Mar 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Paperback,view,/book/show/57676019-ariadne
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Meilė ir melas        (Nedorėlių taisyklės, #3)","MacLean, Sarah*",6090309400,9786090309407,6090309400,480        pp,3.86,"22,346","Nov 26, 2013","Dec 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Hardcover,view,/book/show/204242619-meil-ir-melas
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dūmai ir pelenai,"Mukherjee, Abir*",,9786094665318,,374        pp,4.17,"4,700","Jun 07, 2018",Jan 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Hardcover,view,/book/show/56815399-d-mai-ir-pelenai
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ellery Queen's Japanese Golden Dozen: The Detective Story World in Japan,"Queen, Ellery",0804812543,9780804812542,0804812543,288        pp,3.77,177,1978,"May 01, 1978",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Hardcover,view,/book/show/352028.Ellery_Queen_s_Japanese_Golden_Dozen
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 3,Rou Bao Bu Chi Rou,1638589348,9781638589341,1638589348,436        pp,4.72,"2,913",unknown,"Sep 26, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Mar 03, 2024","Mar 09, 2024","Mar 03, 2024",,Paperback,view,/book/show/60587540-the-husky-and-his-white-cat-shizun
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Vidurnakčio karūna        (Stiklo sostas, #2)","Maas, Sarah J.*",6090158569,9786090158562,6090158569,520        pp,4.36,"1,004,981","Aug 15, 2013",2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/208871366-vidurnak-io-kar-na
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Meilužė,"Quick, Amanda*",,9786090303542,,384        pp,3.96,"9,425","Jun 01, 1994","Apr 01, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/39346991-meilu
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Slemas        (Slammed, #1)","Hoover, Colleen*",,9786090111284,,256        pp,4.17,"363,718","Jan 04, 2012",2013,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/19052173-slemas
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Babel,"Kuang, R.F.*",0063021420,9780063021426,0063021420,544        pp,4.20,"218,475","Aug 23, 2022","Aug 23, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Hardcover,view,/book/show/57945316-babel
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vilnius: meilės stotelės,"Matonienė, Liuda",,9786094662232,,216        pp,3.70,110,unknown,2017,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Paperback,view,/book/show/34199091-vilnius
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Magas,"Tóibín, Colm",6094902734,9786094902734,6094902734,496        pp,4.03,"15,418","Sep 07, 2021",2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Hardcover,view,/book/show/207017199-magas
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Apie šarkų žmogžudystes        (Sjuzana Railand, #1)","Horowitz, Anthony*",6090158240,9786090158241,6090158240,552        pp,3.95,"135,216","Oct 06, 2016","Jan 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2024",,Hardcover,view,/book/show/204503468-apie-ark-mog-udystes
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tobula tyla,"Fields, Helen Sarah*",6094902750,9786094902758,6094902750,416        pp,4.41,"6,240","Aug 23, 2018",2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2024",,Paperback,view,/book/show/206834483-tobula-tyla
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Milžino namas,"McCracken, Elizabeth",6090309443,9786090309445,6090309443,320        pp,3.66,"7,591","Jun 01, 1996","Jan 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2024",,Hardcover,view,/book/show/205832139-mil-ino-namas
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Six Crimson Cranes        (Six Crimson Cranes, #1)","Lim, Elizabeth*",0593300939,9780593300930,,454        pp,4.21,"75,496","Jul 06, 2021","Jul 06, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2024",,ebook,view,/book/show/53457092-six-crimson-cranes
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pavydo ekspertas ir kitos istorijos,"Nesbø, Jo*",,9786094797781,,272        pp,3.60,"3,541","Apr 08, 2021","Aug 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Hardcover,view,/book/show/196246423-pavydo-ekspertas-ir-kitos-istorijos
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Meko sodas,"Vilė, Jurga",6098335176,9786098335170,6098335176,168        pp,4.45,11,unknown,Feb 2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Paperback,view,/book/show/208042455-meko-sodas
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Apie Afrikos žmones ir žvėris,"Štaraitė, Gabrielė",,9786098233315,,328        pp,4.19,135,2019,2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Paperback,view,/book/show/46031542-apie-afrikos-mones-ir-v-ris
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Šanchajaus sugulovė,Hong Ying,,9789955388463,9955388463,376        pp,3.32,374,2003,2011,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Hardcover,view,/book/show/25908278-anchajaus-sugulov
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Norse Mythology,"Gaiman, Neil*",,,,301        pp,4.11,"319,288","Feb 07, 2017","Mar 06, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Paperback,view,/book/show/37903770-norse-mythology
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,極主夫道 3 [Gokushufudō 3],"Oono, Kousuke",4107721914,9784107721914,4107721914,160        pp,4.36,"6,512","Jun 08, 2019","Jun 08, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 03, 2024","Feb 03, 2024","Feb 03, 2024",,Paperback,view,/book/show/43619964-3-gokushufud-3
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Way of the Househusband, Vol. 3","Oono, Kousuke",1974713466,9781974713462,1974713466,168        pp,4.36,"6,512","Jun 08, 2019","May 19, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Feb 02, 2024",,Paperback,view,/book/show/52758090-the-way-of-the-househusband-vol-3
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,極主夫道 2 [Gokushufudō 2],"Oono, Kousuke",410772137X,9784107721372,410772137X,160        pp,4.37,"9,154","Dec 07, 2018","Dec 07, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 03, 2024","Feb 03, 2024","Jan 29, 2024",,Paperback,view,/book/show/41583802-2-gokushufud-2
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,極主夫道 1 [Gokushufudō 1],"Oono, Kousuke",4107721043,9784107721044,4107721043,160        pp,4.32,"26,175","Aug 09, 2018","Aug 09, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 03, 2024","Feb 03, 2024","Jan 29, 2024",,Paperback,view,/book/show/40553160-1-gokushufud-1
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Way of the Househusband, Vol. 1","Oono, Kousuke",197470940X,9781974709403,197470940X,160        pp,4.32,"26,175","Aug 09, 2018","Sep 17, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2024",,Paperback,view,/book/show/44018869-the-way-of-the-househusband-vol-1
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Haris Poteris. Burtininkų almanachas,"Rowling, J.K.",,9786090153758,,208        pp,4.34,"2,892","Oct 10, 2023",2023,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Jan 27, 2024","Jan 27, 2024","Jan 27, 2024",,Hardcover,view,/book/show/201574663-haris-poteris-burtinink-almanachas
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Saldainių namelis,"Egan, Jennifer*",,9786094445194,,284        pp,3.65,"57,140","Apr 05, 2022","Sep 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 24, 2024",,Hardcover,view,/book/show/198156721-saldaini-namelis
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pergalės miestas,"Rushdie, Salman",,9786094445293,,352        pp,3.81,"10,365","Feb 07, 2023","Oct 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 24, 2024",,Hardcover,view,/book/show/199053932-pergal-s-miestas
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Svetimkūniai,"Tilvikaitė, Patricija",6094874242,9786094874246,6094874242,276        pp,4.29,270,"Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Hardcover,view,/book/show/204793508-svetimk-niai
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sakmė apie strazdą ir gyvatę        (Bado žaidynės, #0)","Collins, Suzanne",,9786094793370,,557        pp,3.95,"752,197","May 19, 2020","Oct 30, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Jan 14, 2024","Jan 19, 2024","Jan 14, 2024",,Hardcover,view,/book/show/53443658-sakm-apie-strazd-ir-gyvat
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Weird Things Customers Say in Bookshops,"Campbell, Jen*",1780334834,9781780334837,1780334834,119        pp,3.74,"28,804",2012,2012,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 14, 2024",,Hardcover,view,/book/show/12640991-weird-things-customers-say-in-bookshops
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Įtakingiausios mūsų laikų asmenybės,"Mottadelli, Roberto",6094940539,9786094940538,6094940539,224        pp,3.77,22,unknown,2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 11, 2024","Jan 14, 2024","Jan 11, 2024",,Hardcover,view,/book/show/204454238-takingiausios-m-s-laik-asmenyb-s
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pavojingi žodžiai,"Radzevičiūtė, Undinė*",,9786094803987,,180        pp,3.84,87,Dec 2023,Dec 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/202451062-pavojingi-od-iai
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kastamaro dvaro virėja,"Múñez, Fernando J.",,9786090153864,,720        pp,4.12,"2,742","Jan 29, 2019",2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/74962740-kastamaro-dvaro-vir-ja
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pirmoji aktorė,"Gortner, C.W.*",,9786090157237,,448        pp,4.07,"1,416","May 26, 2020",Nov 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/199252196-pirmoji-aktor
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Migruojantys paukščiai,"Ale, Ignė",6090309397,9786090309391,6090309397,256        pp,4.01,190,"Dec 28, 2023","Dec 28, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Jan 21, 2024","Jan 24, 2024","Jan 07, 2024",,Hardcover,view,/book/show/203835021-migruojantys-pauk-iai
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Karalius, dama, valetas","Nabokov, Vladimir",,9789955139706,,272        pp,3.82,"5,522",Oct 1928,Mar 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Hardcover,view,/book/show/56924984-karalius-dama-valetas
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Slapyvardis: Vilanelė        (Nužudyti Evą #1),"Jennings, Luke",6094667352,9786094667350,6094667352,229        pp,3.55,"23,226",2017,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Hardcover,view,/book/show/137364016-slapyvardis
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Nesutramdomoji solistė        (Sklando gandai, #3)","Heath, Virginia*",,9786090309032,,320        pp,4.01,165,unknown,May 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/157635930-nesutramdomoji-solist
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Išdavę Hipokratą: sovietinė psichiatrija kaip ginklas prieš kitaminčius,"Nikolajev, Jevgenij",,9786094940897,,384        pp,4.04,28,unknown,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Paperback,view,/book/show/202264049-i-dav-hipokrat
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kai nuvykau pas tėvą,"Shin, Kyung-Sook",6094797795,9786094797798,6094797795,372        pp,3.73,598,Mar 2021,"Aug 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/197294988-kai-nuvykau-pas-t-v
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ką aš kalbu, kai kalbu apie bėgimą","Murakami, Haruki",,,,192        pp,3.87,"167,217","Oct 15, 2007",2012,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/15779038-k-a-kalbu-kai-kalbu-apie-b-gim
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mįslinga Billio Milligano istorija,"Keyes, Daniel",,9786094940521,,504        pp,4.29,"29,129",Oct 1981,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 31, 2024","Feb 08, 2024","Jan 02, 2024",,,view,/book/show/187648715-m-slinga-billio-milligano-istorija
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kopos vaikai        (Kopa, #3)","Herbert, Frank",,9786094275432,,416        pp,3.96,"188,147",Apr 1976,"Feb 27, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,13,1,Jan 2024,"Jan 07, 2024","Jan 01, 2024",,Hardcover,view,/book/show/83844304-kopos-vaikai
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kai jis buvo pašėlęs        (Bridžertonai, #6)","Quinn, Julia*",,9786090156513,,400        pp,4.00,"179,467","Jun 29, 2004","Aug 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Hardcover,view,/book/show/195471369-kai-jis-buvo-pa-l-s
62,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 8,Mò Xiāng Tóng Xiù,1638585539,9781638585534,1638585539,404        pp,4.84,"6,446",unknown,"Nov 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 29, 2023","Dec 29, 2023","Dec 29, 2023",,Paperback,view,/book/show/60044962-heaven-official-s-blessing
