,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Maggie's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Earth We're Briefly Gorgeous,"Vuong, Ocean",0525562028,9780525562023,0525562028,246        pp,4.04,"299,676","Jun 04, 2019","Jun 04, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 03, 2023","May 07, 2023","May 03, 2023",,Hardcover,view,/book/show/41880609-on-earth-we-re-briefly-gorgeous
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Native Speaker,"Lee, Chang-rae",1573225312,9781573225311,1573225312,349        pp,3.75,"8,216",1995,1996,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 04, 2023","May 04, 2023","May 03, 2023",,Paperback,view,/book/show/298664.Native_Speaker
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dictee,"Cha, Theresa Hak Kyung",0520231120,9780520231122,0520231120,179        pp,4.02,"3,385",Oct 1982,"Sep 28, 2001",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"May 04, 2023","May 04, 2023","Feb 28, 2023",,Paperback,view,/book/show/90894.Dictee
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman Warrior,"Kingston, Maxine Hong",0679721886,9780679721888,0679721886,204        pp,3.73,"31,822","Aug 12, 1976","Apr 23, 1989",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 11, 2023","Feb 22, 2023","Feb 11, 2023",,Paperback,view,/book/show/30852.The_Woman_Warrior
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No-No Boy,"Okada, John",0295955252,9780295955254,0295955252,260        pp,3.93,"6,576",1956,"Feb 01, 1978",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 04, 2023","Feb 11, 2023","Feb 04, 2023",,Paperback,view,/book/show/129910.No_No_Boy
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Butcher's Crossing,"Williams, John",1590171985,9781590171981,1590171985,274        pp,4.17,"23,545",1960,"Jan 16, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 02, 2023","May 03, 2023","Feb 02, 2023",,Paperback,view,/book/show/457228.Butcher_s_Crossing
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stay True,"Hsu, Hua*",0385547773,9780385547772,0385547773,208        pp,4.04,"27,015","Sep 27, 2022","Sep 27, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 02, 2023","May 28, 2023","Feb 02, 2023",,Hardcover,view,/book/show/59900070-stay-true
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wall,"Haushofer, Marlen",1573440949,9781573440943,1573440949,240        pp,4.04,"17,966",1963,"Dec 01, 1999",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 29, 2022","Jan 17, 2023","Dec 29, 2022",,Paperback,view,/book/show/586852.The_Wall
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Play It As It Lays,"Didion, Joan",0374529949,9780374529949,0374529949,231        pp,3.92,"67,111",1970,"Nov 15, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 06, 2022","Dec 28, 2022","Dec 06, 2022",,Paperback,view,/book/show/428.Play_It_As_It_Lays
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La Nuit des temps,"Barjavel, René",,,,394        pp,4.05,"13,536",1968,"Jan 01, 1988",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 15, 2022",,Mass Market Paperback,view,/book/show/466405.La_Nuit_des_temps
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Teaching My Mother How to Give Birth,"Shire, Warsan*",1905233299,9781905233298,1905233299,37        pp,4.25,"20,353","Dec 29, 2011","Dec 29, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 15, 2022",,Paperback,view,/book/show/13376363-teaching-my-mother-how-to-give-birth
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Young Mungo,"Stuart, Douglas*",0802159559,9780802159557,0802159559,390        pp,4.39,"57,159","Apr 05, 2022","Apr 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 27, 2022",,Hardcover,view,/book/show/58891551-young-mungo
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sea of Tranquility,"Mandel, Emily St. John*",0593321448,9780593321447,0593321448,259        pp,4.08,"231,610","Apr 05, 2022","May 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 20, 2022",,Hardcover,view,/book/show/58446227-sea-of-tranquility
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let the Great World Spin,"McCann, Colum*",1400063736,9781400063734,1400063736,351        pp,3.95,"104,956","Jun 16, 2009","Jun 23, 2009",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,actually fuck this book it was so bad collum went to new york for a weekend and then decided that he would write the worst fanfiction i've ever read wactually fuck this book it was so bad collum went to new york for a weekend and then decided that he would write the worst fanfiction i've ever read who gave him the national book award they are sick in the head ...more,Notes are private!,0,3,1,"Oct 20, 2022","Nov 27, 2022","Oct 20, 2022",,Hardcover,view (with text),/book/show/5941033-let-the-great-world-spin
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Running in the Family,"Ondaatje, Michael",,,,208        pp,3.83,"9,151",1982,"Nov 30, 1993",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 17, 2022",,Paperback,view,/book/show/5941.Running_in_the_Family
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Skin of a Lion,"Ondaatje, Michael",0679772669,9780679772668,0679772669,256        pp,3.85,"18,263",1987,"Jan 14, 1997",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Oct 11, 2022","Oct 19, 2022","Oct 11, 2022",,Paperback,view,/book/show/5946.In_the_Skin_of_a_Lion
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Naked Eye,"Tawada, Yōko",0811217396,9780811217392,0811217396,256        pp,3.55,429,2004,"May 26, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Sep 10, 2022","Oct 11, 2022","Sep 10, 2022",,Paperback,view,/book/show/6276297-the-naked-eye
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To the Lighthouse,"Woolf, Virginia",,,140679239X,209        pp,3.80,"183,347","May 05, 1927","Dec 27, 1989",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jul 26, 2022","Aug 29, 2022","Jul 26, 2022",,Paperback,view,/book/show/59716.To_the_Lighthouse
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Novel 11, Book 18","Solstad, Dag",1843432110,9781843432111,1843432110,218        pp,3.68,"1,370",1992,"Dec 16, 2008",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,idk how to feel,Notes are private!,0,1,1,"Jul 24, 2022","Jul 26, 2022","Jul 24, 2022",,Hardcover,view (with text),/book/show/3284100-novel-11-book-18
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Frankenstein: The 1818 Text,"Shelley, Mary",,,,260        pp,3.87,"1,597,661",1818,"Mar 08, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,it was actually surprising good. like it was kind of boots. dr frankenstein giving major hamlet vibes,Notes are private!,0,1,1,not set,not set,"Jul 23, 2022",,Paperback,view (with text),/book/show/35031085-frankenstein
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Autobiography of Red,"Carson, Anne",037570129X,9780375701290,037570129X,160        pp,4.28,"29,418","Mar 31, 1998","Aug 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 20, 2022",,Paperback,view,/book/show/61049.Autobiography_of_Red
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Chronology of Water,"Yuknavitch, Lidia*",0979018838,9780979018831,0979018838,310        pp,4.21,"13,710","Apr 01, 2011","Apr 01, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 16, 2022",,Paperback,view,/book/show/9214995-the-chronology-of-water
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Good Earth        (House of Earth, #1)","Buck, Pearl S.",1416500189,9781416500186,1416500189,418        pp,4.00,"249,689","Mar 02, 1931","Mar 29, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jun 27, 2022","Jul 08, 2022","Jun 27, 2022",,Paperback,view,/book/show/1078.The_Good_Earth
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Slouching Towards Bethlehem,"Didion, Joan",,,,238        pp,4.19,"67,272",1968,"Oct 28, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jun 09, 2022","Jun 27, 2022","Jun 09, 2022",,Paperback,view,/book/show/424.Slouching_Towards_Bethlehem
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bluest Eye,"Morrison, Toni",,,,216        pp,4.11,"252,672","Jun 01, 1970","Sep 06, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,Jun 2022,"Jul 22, 2022","Jun 01, 2022",,Paperback,view,/book/show/11337.The_Bluest_Eye
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Close to the Knives: A Memoir of Disintegration,"Wojnarowicz, David",0679732276,9780679732273,0679732276,288        pp,4.47,"3,799","May 07, 1991","May 07, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 29, 2022",,Paperback,view,/book/show/89213.Close_to_the_Knives
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chronicle of a Death Foretold,"García Márquez, Gabriel",140003471X,9781400034710,140003471X,120        pp,3.97,"193,446",1981,"Oct 07, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,idi if anyone has seen that snl sketch that's if wes anderson directed horror. this book is like that but with marquez and true crime. still slayed thidi if anyone has seen that snl sketch that's if wes anderson directed horror. this book is like that but with marquez and true crime. still slayed tho. gabriel can do no wrong. ...more,Notes are private!,0,1,1,"May 28, 2022",Jun 2022,"May 28, 2022",,Paperback,view (with text),/book/show/23878.Chronicle_of_a_Death_Foretold
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rabbits for Food,"Kirshenbaum, Binnie",1641290536,9781641290531,1641290536,384        pp,3.59,"4,065","May 07, 2019","May 07, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 24, 2022",,Hardcover,view,/book/show/42977510-rabbits-for-food
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Netanyahus,"Cohen, Joshua",1913097609,9781913097608,1913097609,240        pp,3.81,"13,656","May 05, 2021","May 05, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,deserved the pulitzer,Notes are private!,0,5,1,"May 23, 2022","May 27, 2022","May 23, 2022",,Paperback,view (with text),/book/show/55817233-the-netanyahus
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Interior Chinatown,"Yu, Charles*",,,0307907198,288        pp,3.97,"58,323","Jan 28, 2020","Jan 28, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"May 19, 2022","Jun 09, 2022","May 19, 2022",,Hardcover,view,/book/show/44436221-interior-chinatown
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Distance,"Diaz, Hernan*",1566894883,9781566894883,1566894883,256        pp,4.12,"17,130","Oct 03, 2017","Oct 10, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,lgbt laura ingles wilder minecraft,Notes are private!,0,5,1,"May 18, 2022","May 22, 2022","May 18, 2022",,Paperback,view (with text),/book/show/34381330-in-the-distance
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Miss Lonelyhearts,"West, Nathanael",082220763X,9780822207634,082220763X,208        pp,3.58,"6,163",1933,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 17, 2022",,Paperback,view,/book/show/250041.Miss_Lonelyhearts
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Interpreter of Maladies,"Lahiri, Jhumpa",0618101365,9780618101368,0618101365,198        pp,4.17,"193,368","Apr 20, 1999","Jan 01, 2000",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"May 28, 2023","May 28, 2023","May 12, 2022",,Hardcover,view,/book/show/5439.Interpreter_of_Maladies
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Amazing Adventures of Kavalier & Clay,"Chabon, Michael",0312282990,9780312282998,B007C4D1G2,639        pp,4.18,"202,692","Sep 19, 2000","Jan 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 12, 2022",,Paperback,view,/book/show/3985.The_Amazing_Adventures_of_Kavalier_Clay
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The English Patient,"Ondaatje, Michael",0771068719,9780771068713,0771068719,320        pp,3.87,"132,008",Sep 1992,"Apr 18, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 11, 2022",,Hardcover,view,/book/show/11713.The_English_Patient
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Good Behaviour,"Keane, Molly",,,,291        pp,3.88,"3,243","Apr 12, 1981","Dec 15, 2005",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Apr 30, 2022","May 18, 2022","Apr 30, 2022",,Paperback,view,/book/show/439712.Good_Behaviour
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Catching Fire        (The Hunger Games, #2)","Collins, Suzanne",0439023491,9780439023498,0439023491,391        pp,4.33,"3,679,725","Sep 01, 2009","Sep 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 29, 2022",,Hardcover,view,/book/show/6148028-catching-fire
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Howl and Other Poems,"Ginsberg, Allen",0872863107,9780872863101,0872863107,56        pp,4.13,"111,484",1956,"Jan 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 28, 2022",,Hardcover,view,/book/show/6295.Howl_and_Other_Poems
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Magic Mountain,"Mann, Thomas",0679772871,9780593688137,B0CBYNXV4Z,706        pp,4.13,"49,445",1924,1996,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 26, 2022",,Paperback,view,/book/show/88077.The_Magic_Mountain
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Castle,"Kafka, Franz",0805211063,9780805211061,0805211063,328        pp,3.94,"62,708",1926,"Dec 15, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 26, 2022",,Paperback,view,/book/show/333538.The_Castle
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Death of Ivan Ilych,"Tolstoy, Leo",1600964338,9781600964336,1600964338,86        pp,4.13,"163,969",1886,"Aug 03, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 26, 2022",,Paperback,view,/book/show/18386.The_Death_of_Ivan_Ilych
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fever Dream,"Schweblin, Samanta",0399184597,9780399184598,0399184597,183        pp,3.73,"39,591","Oct 02, 2014","Jan 10, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 26, 2022",,Hardcover,view,/book/show/30763882-fever-dream
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Life Before Us,"Gary, Romain",081120961X,9780811209618,081120961X,192        pp,4.21,"30,277","Sep 14, 1975","Feb 17, 1986",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 23, 2022","Apr 28, 2022","Apr 23, 2022",,Paperback,view,/book/show/58177.The_Life_Before_Us
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Under the Glacier,"Laxness, Halldór",1400034418,9781400034413,1400034418,240        pp,3.56,"2,691",1968,"Mar 08, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,weird af,Notes are private!,0,2,1,"Apr 18, 2022","Apr 21, 2022","Apr 18, 2022",,Paperback,view (with text),/book/show/14265.Under_the_Glacier
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hamlet,"Shakespeare, William",0521618746,9780521618748,0521618746,289        pp,4.02,"952,067",1601,"Dec 19, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 12, 2022",,Paperback,view,/book/show/1420.Hamlet
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Breasts and Eggs,"Kawakami, Mieko",1609455878,9781609455873,1609455878,430        pp,3.86,"54,428","Jul 11, 2019","Apr 07, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 30, 2022","Apr 12, 2022","Mar 30, 2022",,Hardcover,view,/book/show/50736031-breasts-and-eggs
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Du côté de chez Swann        (À la recherche du temps perdu, #1)","Proust, Marcel",0142437964,9780142437964,0142437964,710        pp,4.14,"60,148","Nov 14, 1913","Mar 01, 1988",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 17, 2022",not set,"Mar 17, 2022",,Mass Market Paperback,view,/book/show/12749.Du_c_t_de_chez_Swann
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Metamorphosis,"Kafka, Franz",,,,201        pp,3.86,"1,057,757",Oct 1915,"Mar 01, 1972",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 15, 2022","Mar 16, 2022","Mar 15, 2022",,Paperback,view,/book/show/485894.The_Metamorphosis
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Breath, Eyes, Memory","Danticat, Edwidge",037570504X,9780375705045,037570504X,234        pp,3.90,"30,029","Apr 01, 1994","May 31, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 03, 2022",,Paperback,view,/book/show/5186.Breath_Eyes_Memory
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Door,"Szabó, Magda",1843431939,9781843431930,1843431939,262        pp,4.10,"27,095",1987,"Aug 23, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 15, 2022",not set,"Feb 15, 2022",,Paperback,view,/book/show/497499.The_Door
