,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ali's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hey, Hun: Sales, Sisterhood, Supremacy, and the Other Lies Behind Multilevel Marketing","Paulson, Emily Lynn*",1955905258,9781955905251,1955905258,384        pp,3.66,"8,577","May 30, 2023","May 30, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Listened to this one. Definitely interesting.,Notes are private!,0,2,1,not set,"Jun 23, 2023","Jun 23, 2023",,Hardcover,view (with text),/book/show/62241157-hey-hun
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,She Started It,"Gilbert, Sian*",0063286297,9780063286290,,352        pp,3.57,"39,900","Jun 13, 2023","Jun 13, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I honestly didn’t like this one. Horrible people who treat each other horribly. Guessed the twist early on. Jest meh.,Notes are private!,0,3,1,not set,"Jun 18, 2023","Jun 18, 2023",,Hardcover,view (with text),/book/show/62292419-she-started-it
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stash: My Life in Hiding,"Robbins, Laura Cathcart",1668005336,9781668005330,1668005336,288        pp,3.93,"3,532","Mar 07, 2023","Mar 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Read for book club.,Notes are private!,0,0,1,not set,"Jun 04, 2023","Jun 04, 2023",,Hardcover,view (with text),/book/show/61273338-stash
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Have Some Questions for You,"Makkai, Rebecca*",0593490142,9780593490143,0593490142,438        pp,3.62,"101,855","Feb 21, 2023","Feb 21, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"May 27, 2023","May 27, 2023",,Hardcover,view,/book/show/61053829-i-have-some-questions-for-you
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Word,"Adams, Taylor*",0063222892,9780063222892,0063222892,340        pp,3.73,"53,718","Apr 25, 2023","Apr 25, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,**spoiler alert** I’m a little conflicted about what to say about this one. (1) I read it over a couple days because it’s pretty fast paced without a **spoiler alert** I’m a little conflicted about what to say about this one. (1) I read it over a couple days because it’s pretty fast paced without a lot of extra fluff. (2) It’s basically violent over and over and over again (like watching a horror movie) - it was just one thing after another and by the end I just wanted it to be over. It felt much more like a “horror” book vs. a “thriller.” ...more,Notes are private!,0,2,1,not set,"May 17, 2023","May 17, 2023",,Hardcover,view (with text),/book/show/61767163-the-last-word
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hello Beautiful,"Napolitano, Ann*",,,B0B7R4Q5DJ,416        pp,4.18,"297,356","Mar 14, 2023","Mar 14, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Loved this one. All the complex feels for family relationships + choices. A good reminder to me how much I enjoy multi-generational stories.,Notes are private!,0,14,2,not setnot set,"May 14, 2023not set","May 14, 2023",,Kindle Edition,view (with text),/book/show/61771675-hello-beautiful
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mad Honey,"Picoult, Jodi*",1984818384,9781984818386,1984818384,464        pp,4.10,"387,708","Oct 04, 2022","Oct 04, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Had a hard time putting this one down. Lots of feelings + thoughts. Recommend reading without spoilers.,Notes are private!,0,15,1,not set,"May 03, 2023","May 03, 2023",,Hardcover,view (with text),/book/show/59912428-mad-honey
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Only Survivors,"Miranda, Megan*",1668010410,9781668010419,1668010410,339        pp,3.55,"56,656","Apr 11, 2023","Apr 11, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Decent thriller. Maybe more like 3.5,Notes are private!,0,2,1,not set,"Apr 22, 2023","Apr 23, 2023",,Hardcover,view (with text),/book/show/61273351-the-only-survivors
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stolen Focus: Why You Can't Pay Attention— and How to Think Deeply Again,"Hari, Johann",0593138511,9780593138519,0593138511,357        pp,4.24,"50,035","Jan 06, 2022","Jan 25, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,not set,not set,"Apr 19, 2023",,Hardcover,view,/book/show/57933306-stolen-focus
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Spare,Prince Harry,0593593804,9780593593806,0593593804,410        pp,3.86,"353,999","Jan 10, 2023","Jan 10, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Listened to this one for Book Club and am really glad I did.,Notes are private!,0,10,1,not set,"Apr 09, 2023","Apr 09, 2023",,Hardcover,view (with text),/book/show/62296528-spare
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Good Girl's Guide to Murder        (A Good Girl's Guide to Murder, #1)","Jackson, Holly*",1405293187,9781405293181,1405293187,433        pp,4.33,"1,043,451","May 02, 2019","May 02, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Enjoyable YA thriller. One of my 14 year olds said all the girls who are into reading are reading this one.,Notes are private!,0,9,2,not setnot set,"Mar 19, 2023not set","Mar 19, 2023",,Paperback,view (with text),/book/show/40916679-a-good-girl-s-guide-to-murder
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Soulmate,"Hepworth, Sally*",1250229707,9781250229700,1250229707,327        pp,3.81,"119,842","Oct 25, 2022","Apr 04, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Super fast thriller with short chapters. I was into it.,Notes are private!,0,10,1,"Mar 11, 2023","Mar 12, 2023","Mar 12, 2023",,Hardcover,view (with text),/book/show/60784540-the-soulmate
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Measure,"Erlick, Nikki",0063204207,9780063204201,0063204207,353        pp,4.00,"196,043","Jun 28, 2022","Jun 28, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Read for Book club. Looking forward to discussing with good friends.,Notes are private!,0,8,1,not set,"Feb 27, 2023","Feb 27, 2023",,Hardcover,view (with text),/book/show/58884736-the-measure
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Villa,"Hawkins, Rachel*",125028001X,9781250280015,125028001X,279        pp,3.64,"95,449","Jan 03, 2023","Jan 03, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Vacation read. I was in it.,Notes are private!,0,6,1,not set,"Feb 20, 2023","Feb 20, 2023",,Hardcover,view (with text),/book/show/60784641-the-villa
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,These Silent Woods,"Grant, Kimi Cunningham*",1250793394,9781250793393,1250793394,275        pp,4.08,"71,219","Nov 16, 2021","Nov 16, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Read it.,Notes are private!,0,11,1,not set,"Feb 19, 2023","Feb 19, 2023",,Hardcover,view (with text),/book/show/56268973-these-silent-woods
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Just the Nicest Couple,"Kubica, Mary*",0778333116,9780778333111,0778333116,320        pp,3.56,"116,701","Jan 10, 2023","Jan 10, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Feb 18, 2023","Feb 18, 2023",,Hardcover,view,/book/show/60666845-just-the-nicest-couple
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Housemaid        (The Housemaid, #1)","McFadden, Freida*",,,B09TWSRMCB,338        pp,4.33,"1,063,830","Apr 26, 2022","Apr 26, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Just read it. It’s a good ride.,Notes are private!,0,12,1,not set,"Feb 16, 2023","Feb 17, 2023",,Kindle Edition,view (with text),/book/show/60556912-the-housemaid
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Writing Retreat,"Bartz, Julia*",1982199458,9781982199456,1982199458,313        pp,3.43,"58,398","Feb 21, 2023","Feb 21, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,2,not setnot set,"Feb 15, 2023not set","Feb 15, 2023",,Hardcover,view,/book/show/61273863-the-writing-retreat
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Last Party        (DC Morgan, #1)","Mackintosh, Clare*",172825096X,9781728250960,172825096X,432        pp,3.78,"36,887","Aug 04, 2022","Nov 08, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I liked it. Didn’t love it. The ending was the face with palms up emoji for me. It’s a long book + I definitely wanted to know what happened but once I liked it. Didn’t love it. The ending was the face with palms up emoji for me. It’s a long book + I definitely wanted to know what happened but once it was revealed it just didn’t feel as satisfying as I hoped. ...more,Notes are private!,0,1,2,"Dec 18, 2022not set","Dec 25, 2022not set","Dec 26, 2022",,Hardcover,view (with text),/book/show/60305071-the-last-party
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Are the Light,"Quick, Matthew*",1668005425,9781668005422,1668005425,256        pp,3.79,"18,304","Nov 01, 2022","Nov 01, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I felt this story deeply ❤️.,Notes are private!,0,11,1,"Nov 25, 2022","Nov 27, 2022","Nov 27, 2022",,Hardcover,view (with text),/book/show/60321061-we-are-the-light
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Quarry Girls,"Lourey, Jess*",1542034302,9781542034302,B09G6DMDVR,335        pp,4.06,"85,119","Nov 01, 2022","Nov 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I really liked this one - it felt like a unique blend of thriller with a little more depth coming from the descriptive writing.,Notes are private!,0,2,1,"Nov 20, 2022","Nov 25, 2022","Nov 25, 2022",,Hardcover,view (with text),/book/show/57836903-the-quarry-girls
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Family Game,"Steadman, Catherine*",0593158067,9780593158067,0593158067,319        pp,3.85,"65,572","Sep 29, 2022","Oct 18, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Fast thriller. Enjoyed the ride.,Notes are private!,0,4,1,"Nov 18, 2022","Nov 22, 2022","Nov 22, 2022",,Hardcover,view (with text),/book/show/60417443-the-family-game
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle*",,,,418        pp,4.18,"844,883","Jul 05, 2022","Jul 05, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I just really loved this one: the topic, the relationships, the scope of time, the tenderness.",Notes are private!,0,14,1,"Oct 20, 2022","Nov 16, 2022","Oct 20, 2022",,Kindle Edition,view (with text),/book/show/58916147-tomorrow-and-tomorrow-and-tomorrow
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hester,"Albanese, Laurie Lico*",1250278554,9781250278555,1250278554,322        pp,3.97,"35,845","Oct 04, 2022","Oct 04, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I really enjoyed this one. Perfect time of year to read it + it simply took my away to another time + place. I loved reading The Scarlet Letter in higI really enjoyed this one. Perfect time of year to read it + it simply took my away to another time + place. I loved reading The Scarlet Letter in high school but don’t remember all the plot details - loved the characters here and the colors and the stitching and the emphasis on writing your own story. Really so good. ...more,Notes are private!,0,14,1,"Oct 03, 2022","Oct 20, 2022","Oct 20, 2022",,Hardcover,view (with text),/book/show/59807978-hester
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When We Were Bright And Beautiful,"Medoff, Jillian*",0063142023,9780063142022,0063142023,336        pp,3.41,"25,024","Aug 02, 2022","Aug 02, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"No idea how to rate this or even what to say about it. Read the whole thing, but I have intense mixed feelings about it.",Notes are private!,0,0,1,"Sep 21, 2022","Sep 28, 2022","Sep 28, 2022",,Hardcover,view (with text),/book/show/59314715-when-we-were-bright-and-beautiful
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Chaos Machine: The Inside Story of How Social Media Rewired Our Minds and Our World,"Fisher, Max",031670332X,9780316703321,031670332X,400        pp,4.30,"5,216","Sep 06, 2022","Sep 06, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Listened to this one after hearing about it on a podcast. Super important + very well laid out history of the rise of social media + the companies behListened to this one after hearing about it on a podcast. Super important + very well laid out history of the rise of social media + the companies behind it all. Sobering. Scary. Vital knowledge. ...more,Notes are private!,0,10,1,"Sep 04, 2022","Sep 25, 2022","Sep 25, 2022",,Hardcover,view (with text),/book/show/58950736-the-chaos-machine
