,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Mark's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maigret's Pickpocket        (Inspector Maigret Book 66),"Simenon, Georges",0525504184,9780525504184,B07P9MW6LC,186        pp,3.82,"1,022",1967,"Dec 03, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 15, 2024","Feb 20, 2024","Feb 17, 2024",,Kindle Edition,view,/book/show/44666067-maigret-s-pickpocket
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maigret and the Dead Girl        (Maigret #45),"Simenon, Georges",0241297257,9780241297254,0241297257,176        pp,3.79,"1,179",1954,"Feb 06, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 09, 2024","Feb 12, 2024","Feb 09, 2024",,Paperback,view,/book/show/34204307-maigret-and-the-dead-girl
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maigret in Court        (Inspector Maigret #55),"Simenon, Georges",0141029633,9780141029634,0141029633,126        pp,3.79,819,1960,"Jan 01, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 06, 2024","Feb 09, 2024","Feb 06, 2024",,Paperback,view,/book/show/997804.Maigret_in_Court
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maigret and the Lazy Burglar,"Simenon, Georges",,,B001SQ0NK2,unknown,4.00,1,unknown,"Jan 01, 1963",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 30, 2024",Feb 2024,"Feb 01, 2024",,Hardcover,view,/book/show/197152499-maigret-and-the-lazy-burglar
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maigret's First Case        (Inspector Maigret #30),"Simenon, Georges",0241206383,9780241206386,0241206383,192        pp,3.69,"1,684",1948,"Nov 29, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 18, 2024","Jan 23, 2024","Jan 18, 2024",,Paperback,view,/book/show/28807419-maigret-s-first-case
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maigret and the Wine Merchant: Inspector Maigret #71,"Simenon, Georges",0241304296,9780241304297,0241304296,0        pp,3.50,8,unknown,"Sep 05, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 14, 2024","Jan 17, 2024","Jan 14, 2024",,ebook,view,/book/show/60100282-maigret-and-the-wine-merchant
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maigret and the Nahour Case: Inspector Maigret #65,"Simenon, Georges",0241304164,9780241304167,0241304164,0        pp,3.71,14,unknown,"Mar 07, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 05, 2024","Jan 13, 2024","Jan 14, 2024",,ebook,view,/book/show/60100309-maigret-and-the-nahour-case
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Breakfast at Tiffany's & Other Voices, Other Rooms: Two Novels","Capote, Truman",0812994361,9780812994360,0812994361,304        pp,3.68,951,unknown,"Feb 05, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Jan 2024,"Feb 06, 2024","Jan 01, 2024",,Hardcover,view,/book/show/15798121-breakfast-at-tiffany-s-other-voices-other-rooms
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Town,"Wilder, Thornton",0060512636,9780060512637,0060512636,181        pp,3.72,"54,155",1938,"Jan 01, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 19, 2023","Dec 28, 2023","Dec 28, 2023",,Paperback,view,/book/show/205476.Our_Town
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Country Life: Homes of the Catskill Mountains and Hudson Valley,"Abranowicz, William",086565431X,9780865654310,086565431X,272        pp,4.00,7,unknown,"Aug 08, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 21, 2023","Dec 28, 2023","Dec 28, 2023",,Hardcover,view,/book/show/98650487-country-life
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,843","Aug 01, 2023","Aug 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A really satisfying kind of novel. The kind where you go back to passages and read them over, even though you are many pages ahead by now. The kind thA really satisfying kind of novel. The kind where you go back to passages and read them over, even though you are many pages ahead by now. The kind that tugs at your heartstrings. The kind where the characters live in your psyche when you are far from the book. The kind of book that when you close it sometimes you hug it a little bit and that you feel kind of hugs you back....more",Notes are private!,0,0,1,"Nov 18, 2023","Dec 03, 2023","Nov 18, 2023",,Hardcover,view (with text),/book/show/63241104-tom-lake
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Lantern's Dance        (Mary Russell and Sherlock Holmes, #18)","King, Laurie R.*",0593496590,9780593496596,0593496590,300        pp,4.48,"2,110","Feb 13, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 07, 2023",,Hardcover,view,/book/show/154462653-the-lantern-s-dance
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Long Island        (Eilis Lacey, #2)","Tóibín, Colm",1476785112,9781476785110,1476785112,304        pp,4.07,148,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 07, 2023",,Hardcover,view,/book/show/199798868-long-island
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Inspector Cadaver,"Simenon, Georges",0241188474,9780241188477,0241188474,170        pp,3.78,"1,017",1943,"Oct 01, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 06, 2023","Nov 08, 2023","Nov 06, 2023",,Paperback,view,/book/show/24662081-inspector-cadaver
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vaster Wilds,"Groff, Lauren*",0593418395,9780593418390,0593418395,272        pp,3.79,"24,372","Sep 12, 2023","Sep 12, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 31, 2023","Nov 03, 2023","Oct 31, 2023",,Hardcover,view,/book/show/62952130-the-vaster-wilds
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Running Grave        (Cormoran Strike, #7)","Galbraith, Robert",0316572101,9780316572101,0316572101,960        pp,4.62,"65,789","Sep 26, 2023","Sep 26, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 31, 2023",,Hardcover,view,/book/show/139399948-the-running-grave
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Camera Girl: The Coming of Age of Jackie Bouvier Kennedy,"Anthony, Carl Sferrazza",1982141875,9781982141875,1982141875,400        pp,4.00,912,"May 02, 2023","May 02, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is, simply put, an excellent biography. Picking a distinct period of time when she was Jacqueline Bouvier and not a Kennedy or Onassis, one can rThis is, simply put, an excellent biography. Picking a distinct period of time when she was Jacqueline Bouvier and not a Kennedy or Onassis, one can really chart the progression of her development as well as understand so many of her decisions later in life. It was extremely illuminating. While she had been in the spotlight as a Kennedy and Onassis, she was also on a pedestal. With this biography, one can really understand and value her as a person. ...more",Notes are private!,0,0,1,"Sep 18, 2023","Oct 03, 2023","Sep 18, 2023",,Hardcover,view (with text),/book/show/62919749-camera-girl
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maigret is Afraid        (Maigret #42),"Simenon, Georges",0241277485,9780241277485,0241277485,169        pp,3.78,952,1953,"Nov 07, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,The beauty of Simenon is Maigret. The beauty of Maigret is Simenon.,Notes are private!,0,0,1,"Aug 14, 2023","Aug 17, 2023","Aug 17, 2023",,Paperback,view (with text),/book/show/32737595-maigret-is-afraid
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Somebody's Fool,"Russo, Richard*",0593317890,9780593317891,,464        pp,4.28,"5,811","Jul 25, 2023","Jul 25, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Third in the trilogy that began with Nobody’s Fool. A Russo novel is a delight no matter which way you look at it - characters you feel you come to knThird in the trilogy that began with Nobody’s Fool. A Russo novel is a delight no matter which way you look at it - characters you feel you come to know so well and a rich and deep narrative, with fun plot twists all in a setting that you can see and feel. What’s not to like? This third installment carries us beyond the anchor of the past two - Sully - but who continues to loom large as a presence. On this one, for me, I could have done with a little less of the intense though progression of some of the characters explained so thoroughly. Some of it I questioned the actual likelihood that the character thought with such clarity. But apart from that, a wonderful read that one is sorry to have over. ...more",Notes are private!,0,0,1,"Jul 28, 2023","Aug 13, 2023","Jul 26, 2023",,Hardcover,view (with text),/book/show/62952125-somebody-s-fool
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Burgess Boys,"Strout, Elizabeth*",1400067685,9781400067688,1400067685,320        pp,3.62,"64,790","Mar 26, 2013","Mar 26, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I love her books. She, Anne Tyler and Richard Russo each have a way of capturing ordinary people in ordinary life and making it extraordinary. The proI love her books. She, Anne Tyler and Richard Russo each have a way of capturing ordinary people in ordinary life and making it extraordinary. The prose is always simple, but the emotions run thick. This novel was moving on many levels, including the way people, and their relationships change - human frailty and fault exposed very adroitly. You can imagine narrating elements of your own life as you read this novel....more",Notes are private!,0,0,1,not set,"Jun 24, 2023","Jun 24, 2023",,Hardcover,view (with text),/book/show/15823461-the-burgess-boys
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maigret and the Spinster,"Simenon, Georges",0156028433,9780156028431,0156028433,168        pp,3.79,"1,221",1942,"Apr 21, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 27, 2023","Jun 03, 2023","May 27, 2023",,Paperback,view,/book/show/140771.Maigret_and_the_Spinster
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Day,"Cunningham, Michael*",0399591346,9780399591341,0399591346,273        pp,3.62,"7,843","Nov 14, 2023","Nov 14, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Jan 2024,"Jan 29, 2024","May 27, 2023",,Hardcover,view,/book/show/123033397-day
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gay Bar: Why We Went Out,"Atherton Lin, Jeremy *",0316458732,9780316458733,0316458732,320        pp,3.81,"3,783","Feb 09, 2021","Feb 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 25, 2023",,Hardcover,view,/book/show/53915332-gay-bar
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Best Strangers in the World: Stories from a Life Spent Listening,"Shapiro, Ari",0063221349,9780063221345,0063221349,256        pp,4.06,"4,928","Mar 23, 2023","Mar 21, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 25, 2023",,Hardcover,view,/book/show/61357874-the-best-strangers-in-the-world
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"So Shall You Reap        (Commissario Brunetti, #32)","Leon, Donna",0802162363,9780802162366,0802162363,262        pp,4.08,"6,404","Mar 09, 2023","Mar 14, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This is my 32nd read of this series. It is always a joy to spend time with Guido Brunetti. You always feel good with Guido.,Notes are private!,0,0,1,"Mar 25, 2023","Apr 03, 2023","Mar 25, 2023",,ebook,view (with text),/book/show/61686727-so-shall-you-reap
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tinker, Tailor, Soldier, Spy        (George Smiley, #5; Karla Trilogy, #1)","le Carré, John",0143119788,9780143119784,0143119788,381        pp,4.06,"94,545",Apr 1974,"Jun 07, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2023",,Paperback,view,/book/show/10073506-tinker-tailor-soldier-spy
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Secrets of the Bastide Blanche        (Verlaque and Bonnet, #7)","Longworth, M.L.*",0143131427,9780143131427,0143131427,336        pp,3.98,"1,410","Apr 03, 2018","Apr 03, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 04, 2023","Sep 18, 2023","Feb 08, 2023",,Paperback,view,/book/show/35725098-the-secrets-of-the-bastide-blanche
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vanishing Museum on the Rue Mistral        (Verlaque and Bonnet #9),"Longworth, M.L.*",0143135295,9780143135296,0143135295,336        pp,4.09,"1,468","Apr 13, 2021","Apr 13, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Loving this series, but sad to nearly reach the end!",Notes are private!,0,0,1,"Dec 09, 2023","Dec 18, 2023","Feb 08, 2023",,Paperback,view (with text),/book/show/54994166-the-vanishing-museum-on-the-rue-mistral
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Curse of La Fontaine        (Verlaque and Bonnet, #6)","Longworth, M.L.*",0143110942,9780143110941,0143110942,320        pp,4.01,"1,374","Apr 04, 2017","Apr 04, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 16, 2023","Sep 04, 2023","Feb 08, 2023",,Paperback,view,/book/show/31158963-the-curse-of-la-fontaine
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Murder on the Île Sordou        (Verlaque and Bonnet, #4)","Longworth, M.L.*",0143125540,9780143125549,0143125540,320        pp,4.03,"1,938","Sep 30, 2014","Sep 30, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,"May 27, 2023not set","Feb 08, 2023",,Paperback,view,/book/show/20821020-murder-on-the-le-sordou
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Mystery of the Lost Cezanne        (Verlaque and Bonnet, #5)","Longworth, M.L.*",0143128078,9780143128076,0143128078,320        pp,4.02,"1,842","Sep 15, 2015","Oct 02, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I am halfway through the series. They have all been good, but I think this has been my favorite. There are many twists and turns, not only in the plotI am halfway through the series. They have all been good, but I think this has been my favorite. There are many twists and turns, not only in the plot, but in the on-going character development of everyone in the novels. A great read, like catching up with old friends. ...more",Notes are private!,0,0,2,not setnot set,"Jul 28, 2023not set","Feb 08, 2023",,Paperback,view (with text),/book/show/24612132-the-mystery-of-the-lost-cezanne
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Disaster at the Vendome Theater        (Verlaque and Bonnet #10),"Longworth, M.L.*",,,B09PZSYY6L,336        pp,4.01,946,"Oct 04, 2022","Oct 04, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 15, 2023","Dec 31, 2023","Feb 08, 2023",,Kindle Edition,view,/book/show/60069654-disaster-at-the-vendome-theater
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Murder in the Rue Dumas        (Verlaque and Bonnet, #2)","Longworth, M.L.*",0143121545,9780143121541,0143121545,304        pp,3.88,"2,750","Sep 25, 2012","Sep 25, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 08, 2023",,Paperback,view,/book/show/13542921-murder-in-the-rue-dumas
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Death in the Vines        (Verlaque and Bonnet, #3)","Longworth, M.L.*",0143122444,9780143122449,0143122444,289        pp,3.95,"2,063","May 28, 2013","May 28, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 08, 2023",,Paperback,view,/book/show/16171225-death-in-the-vines
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Noël Killing        (Verlaque and Bonnet #8),"Longworth, M.L.*",014313406X,9780143134060,014313406X,304        pp,3.92,"1,425","Nov 12, 2019","Nov 12, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,3,"Nov 07, 2023not setnot set","Nov 18, 2023Nov 18, 2023not set","Feb 08, 2023",,Paperback,view,/book/show/44137241-a-no-l-killing
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Death at the Chateau Bremont        (Verlaque and Bonnet, #1)","Longworth, M.L.*",0143119524,9780143119524,B006QS1AWW,320        pp,3.61,"4,448","Jun 28, 2011","Jun 28, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 08, 2023","Feb 22, 2023","Feb 08, 2023",,Paperback,view,/book/show/10264081-death-at-the-chateau-bremont
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Go Tell It on the Mountain,"Baldwin, James",0141185910,9780141185910,0141185910,256        pp,4.04,"68,527","May 18, 1953",2001,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2023",,Paperback,view,/book/show/17143.Go_Tell_It_on_the_Mountain
