,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ed's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,George Harrison: The Reluctant Beatle,"Norman, Philip",,,198219586X,512        pp,3.93,833,unknown,"Oct 24, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I've always enjoyed GH's music and songs. This new biography describes the man, warts and all. Maybe it dwells too much on the warts. I didn't see anyI've always enjoyed GH's music and songs. This new biography describes the man, warts and all. Maybe it dwells too much on the warts. I didn't see any mention of his work with Badfinger, for instance. I wish I'd seen more stories about his sly sense of humor. The Concert for George wasn't covered enough. Anyway, I loved spending some time with George Harrison. It took me back 50 years. ...more",Notes are private!,2,8,1,"Mar 03, 2024","Mar 13, 2024","Mar 03, 2024",,Hardcover,view (with text),/book/show/134696221-george-harrison
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Five Decembers,"Kestrel, James*",1789096111,9781789096118,1789096111,429        pp,4.44,"7,764","Oct 19, 2021","Oct 19, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This ambitious World War II novel is set in Hawaii and Japan during the war years. The murder mystery with spies is compellng as is the romance angle.This ambitious World War II novel is set in Hawaii and Japan during the war years. The murder mystery with spies is compellng as is the romance angle. The plot structure feels abrupt in a few places as compressing 600 pages into 400 pages would result in. A couple of the Decembers are skipped over. At any rate, I enjoyed reading it. ...more",Notes are private!,0,10,1,"Feb 20, 2024","Mar 02, 2024","Feb 20, 2024",,Hardcover,view (with text),/book/show/57522883-five-decembers
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Glory Denied: The Saga of Jim Thompson, America's Longest-Held Prisoner of War","Philpott, Tom",0452283167,9780452283169,0452283167,480        pp,4.21,171,"May 01, 2001","Apr 01, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2024",,Paperback,view,/book/show/246719.Glory_Denied
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Why We Love Baseball: A History in 50 Moments,"Posnanski, Joe*",0593472675,9780593472675,0593472675,377        pp,4.58,"2,359","Sep 05, 2023","Sep 05, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Lots of good baseball stories, just in time for Spring Training!",Notes are private!,0,4,2,"Feb 11, 2024not set","Feb 19, 2024not set","Feb 11, 2024",,Hardcover,view (with text),/book/show/65650219-why-we-love-baseball
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Traffic,"Lynskey, Ed*",,9798856889849,B0CV5QYNJX,112        pp,0.00,0,unknown,"Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Mar 08, 2024Feb 09, 2024","Mar 13, 2024Feb 10, 2024","Feb 07, 2024",,Paperback,view,/book/show/207682835-traffic
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Line Becomes a River: Dispatches from the Border,"Cantú, Francisco",,,,250        pp,3.97,"14,380","Feb 06, 2018","Feb 06, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I learned a lot for this book about the chaotic border situation between the United States and Mexico. The author was a Border Patrol officer. His secI learned a lot for this book about the chaotic border situation between the United States and Mexico. The author was a Border Patrol officer. His sections on that experience are the most interesting parts. The long dream sequences and philosophical tangents didn't work for me. I ended up skipping most of them. ...more,Notes are private!,0,5,1,"Feb 04, 2024","Feb 11, 2024","Feb 04, 2024",,Hardcover,view (with text),/book/show/34818440-the-line-becomes-a-river
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Opposable Thumbs: How Siskel & Ebert Changed Movies Forever,"Singer, Matt",0593540158,9780593540152,0593540158,352        pp,4.09,"1,756","Oct 24, 2023","Oct 24, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I enjoyed revisiting Siskel & Ebert's careers as movie critics who hosted several popular TV shows during the 1980s and 1990s. They're credited for stI enjoyed revisiting Siskel & Ebert's careers as movie critics who hosted several popular TV shows during the 1980s and 1990s. They're credited for starting the thumbs-up and thumbs-down rating system. Their snarky banter and professional rivalry kept the viewers' attention. So, I had a few laughs. I also liked reading about their home city of Chicago. I also added a few recommendations they made to my ""must-watch"" movies list. You might get a kick out of this book if you're a movie buff like I am. It moves fast and delivers the goods. ...more",Notes are private!,0,7,1,"Jan 27, 2024","Feb 03, 2024","Jan 27, 2024",,Hardcover,view (with text),/book/show/65650231-opposable-thumbs
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"When Last Seen Alive        (Aaron Gunner, #5)","Haywood, Gar Anthony",0425170276,9780425170274,0425170276,241        pp,3.82,34,"Dec 29, 1997","Sep 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 22, 2024",,Mass Market Paperback,view,/book/show/846449.When_Last_Seen_Alive
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shaft,"Tidyman, Ernest",0747537771,9780747537779,0747537771,unknown,3.47,270,"Apr 27, 1970",1997,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This gritty, action-filled first novel started the Shaft franchise. I liked Isaac Hayes' theme song when it played on the radio back in the 1970s. PI This gritty, action-filled first novel started the Shaft franchise. I liked Isaac Hayes' theme song when it played on the radio back in the 1970s. PI John Shaft is a complex character who fights his personal demons, including PTSD from his military service in Vietnam. Some of the political content is dated now, but it doesn't distract from the novel. Tidyman's muscular prose style is also appealing. I don't know if I'll continue reading the next titles in the Shaft series, but I'm glad I read this first one. ...more",Notes are private!,0,9,1,"Jan 13, 2024","Jan 27, 2024","Jan 13, 2024",,Paperback,view (with text),/book/show/1227993.Shaft
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sisterhood: The Secret History of Women at the CIA,"Mundy, Liza*",0593238176,9780593238189,B0BSL12WJ7,400        pp,4.25,"1,739","Oct 17, 2023","Oct 17, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"If you've ever wondered just what lady spies and CIA agents do, this informative, clear-eyed nonfiction is a solid place to start. I learned a lot. ThIf you've ever wondered just what lady spies and CIA agents do, this informative, clear-eyed nonfiction is a solid place to start. I learned a lot. The author uses a lot of quotes from the female subjects who paint the picture. Of course, the good-old-boy office politics play an unfortunate role in limiting their careers. After 9/11, the situation changed, and women analysts led the way into the counterintelligence probes conducted nowadays against terrorists and other bad actors. All of us benefit from it, too. ...more",Notes are private!,0,16,1,"Jan 07, 2024","Jan 19, 2024","Jan 07, 2024",,Hardcover,view (with text),/book/show/81360005-the-sisterhood
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crib        (P.I. Frank Johnson Mystery Book 22),"Lynskey, Ed*",,,B0CR9CTZM2,145        pp,0.00,0,unknown,"Dec 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,3,"Feb 05, 2024not setJan 18, 2024","Feb 11, 2024Feb 11, 2024Jan 22, 2024","Jan 04, 2024",,Kindle Edition,view,/book/show/204617149-crib
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What the Dead Know: Learning About Life as a New York City Death Investigator,"Butcher, Barbara*",1982179384,9781982179380,1982179384,288        pp,4.14,"3,830","Jun 20, 2023","Jun 20, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I enjoyed reading this very well-written story. The author does a good job of writing about both her difficult job and personal life challenges. Her 9I enjoyed reading this very well-written story. The author does a good job of writing about both her difficult job and personal life challenges. Her 9/11 story is especially poignant and harrowing....more,Notes are private!,0,6,1,"Dec 31, 2023","Jan 07, 2024","Dec 31, 2023",,Hardcover,view (with text),/book/show/62919823-what-the-dead-know
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Valiant Women: The Extraordinary American Servicewomen Who Helped Win World War II,"Andrews, Lena*",0063088339,9780063088337,0063088339,351        pp,4.02,"1,090","Aug 01, 2023","Aug 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This well-written history begins my 2024 reading journey. I learned a lot about the important military roles women played during World War II. The autThis well-written history begins my 2024 reading journey. I learned a lot about the important military roles women played during World War II. The author interviews some of the surviving servicewomen, which adds a layer of authenticity. I never understood the large scope of their contributions to winning the war. The material is presented well, and I never hit a boring stretch. I like reading nonfiction where I learn something new and interesting. ...more",Notes are private!,0,9,1,"Dec 22, 2023",Jan 2024,"Dec 22, 2023",,Hardcover,view (with text),/book/show/61858962-valiant-women
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Untold Power: The Fascinating Rise and Complex Legacy of First Lady Edith Wilson,"Roberts, Rebecca Boggs",0593489993,9780593489994,0593489993,320        pp,3.83,"1,040","Mar 07, 2023","Mar 07, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I knew very little about Edith Wilson's role during her sick husband's time as president. This well-written historical account nicely fills in the misI knew very little about Edith Wilson's role during her sick husband's time as president. This well-written historical account nicely fills in the missing blank. I sometimes I wonder just what got covered in my history classes in high school and college. At any rate, the author has an engaging writing style and a keen eye for including the right details. Edith Wilson was a fascinatingly strong woman who essentially ran the White House. ...more",Notes are private!,1,9,1,"Dec 20, 2023","Dec 22, 2023","Dec 20, 2023",,Hardcover,view (with text),/book/show/61327483-untold-power
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ghosts of Honolulu: A Japanese Spy, A Japanese American Spy Hunter, and the Untold Story of Pearl Harbor","Harmon, Mark*",1400337011,9781400337019,1400337011,272        pp,3.80,"2,254","Nov 14, 2023","Nov 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Interesting and compact history of Pearl Harbor with emphasis on the Japanese population living in Hawaii at the time. Lots of names and dates which IInteresting and compact history of Pearl Harbor with emphasis on the Japanese population living in Hawaii at the time. Lots of names and dates which I liked. ...more,Notes are private!,0,1,1,"Dec 10, 2023","Dec 20, 2023","Dec 10, 2023",,Hardcover,view (with text),/book/show/123266603-ghosts-of-honolulu
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mr Wilder & Me,"Coe, Jonathan*",0241454662,9780241454664,0241454662,320        pp,3.76,"6,004","Nov 05, 2020","Sep 27, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This short, breezy novel is one of the best books I've read in 2023. It concerns a woman narrator and her association with the famed director Billy WiThis short, breezy novel is one of the best books I've read in 2023. It concerns a woman narrator and her association with the famed director Billy Wilder (Some Like It Hot, Double Indemity, and Sunset Boulevard). I'm a sucker for watching old movies and looking up their histories. Billy Wilder comes across as a real human, who is sad about his family lost in the Holocaust but happy to make his movies. The prose is smooth and flows well. The pace is just right, moving things along. The rich details are an added bonus. Recommended. ...more",Notes are private!,0,4,1,"Dec 07, 2023","Dec 15, 2023","Dec 07, 2023",,Hardcover,view (with text),/book/show/51889050-mr-wilder-me
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Snatch        (P.I. Frank Johnson Mystery Book 21),"Lynskey, Ed*",,,B0CPB453BN,147        pp,0.00,0,unknown,"Nov 30, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 02, 2023","Dec 07, 2023","Dec 02, 2023",,Kindle Edition,view,/book/show/203056328-snatch
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pacific Interlude,"Wilson, Sloan",0877953333,9780877953333,0877953333,317        pp,4.01,156,Jul 1982,"Jan 01, 1982",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My library recommended this book, and the description sounded interesting. I know the author wrote A Summer Place and The Man in the Gray Flannel SuitMy library recommended this book, and the description sounded interesting. I know the author wrote A Summer Place and The Man in the Gray Flannel Suit, both made into popular movies, which I haven't watched. Sloan Wilson wrote this maritime novel based on his wartime experiences in the South Pacific during the 1940s. The shipboard section is bookended by the protagonist's shorter times spent on land. I liked the shipboard section a lot more. (Do we really care if he has three orgasms while he's on shore leave?) At any rate, I immensely enjoyed reading Pacific Interlude. If you like World War II narratives, this one is a real corker. The prose is smooth, and the pace excellent. ...more",Notes are private!,0,8,1,"Nov 29, 2023","Dec 07, 2023","Nov 29, 2023",,Hardcover,view (with text),/book/show/2230136.Pacific_Interlude
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Post Office,"Bukowski, Charles",,,,162        pp,3.94,"126,105",1971,"Oct 13, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My friend worked for the United States Postal Service in the late 1970s, not long after Buk's 13-year stint. His mundane job experience parallels Buk'My friend worked for the United States Postal Service in the late 1970s, not long after Buk's 13-year stint. His mundane job experience parallels Buk's days at the post office. This short novel is fast-paced and humorous at times. Hank Chinasky (Buk's fictional alter-ego) lives for booze, women, and playing the ponies. Follow his adventures and enjoy the ride. ...more",Notes are private!,0,11,1,"Nov 21, 2023","Nov 26, 2023","Nov 21, 2023",,Kindle Edition,view (with text),/book/show/40409718-post-office
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Exceptional Clearance,"Caunitz, William J.",0517109786,9780517109786,0517109786,308        pp,3.52,271,"Aug 20, 1991","Jun 07, 1995",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I liked reading this cop procedural. The sharp writing, realistic characters, and fast-paced plot are its strong points. I also liked the unusual antaI liked reading this cop procedural. The sharp writing, realistic characters, and fast-paced plot are its strong points. I also liked the unusual antagonist. There's even a little romance thrown in. I believe I read another novel by the author a few years back. If you like cop novels, this one might be what you're looking for. ...more",Notes are private!,0,6,1,"Nov 09, 2023","Nov 21, 2023","Nov 09, 2023",,Hardcover,view (with text),/book/show/1889436.Exceptional_Clearance
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Darkness Visible: A Memoir of Madness,"Styron, William",0679736395,9780679736394,0679736395,84        pp,3.99,"29,227","Sep 04, 1990","Jan 08, 1992",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This short memoir is about William Styron's major depression episode during the 1980s. His experiences with the doctors, medications, and other treatmThis short memoir is about William Styron's major depression episode during the 1980s. His experiences with the doctors, medications, and other treatments are familiar to those of us who battled our own depression during the same time period. He had the good medical insurance to pay for his hospitalization at a flagship medical center. Interesting and somewhat dated in 2023. ...more",Notes are private!,0,7,1,"Nov 06, 2023","Nov 09, 2023","Nov 06, 2023",,Paperback,view (with text),/book/show/249042.Darkness_Visible
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Don't Tell Anybody the Secrets I Told You: A Memoir,"Williams, Lucinda",0593136497,9780593136492,0593136497,272        pp,3.97,"2,995","Apr 25, 2023","Apr 25, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I enjoyed seeing Lucinda Williams play as the opening act for Tom Petty in 1999 or 2000. Her gnarly, entertaining memoir is a short read. The best parI enjoyed seeing Lucinda Williams play as the opening act for Tom Petty in 1999 or 2000. Her gnarly, entertaining memoir is a short read. The best parts are where she writes about her music, friends, and father, the poet Miller Williams. She's written powerful song lyrics and given us her honest singing. How can you not admire and like her?...more",Notes are private!,0,5,1,"Nov 03, 2023","Nov 06, 2023","Nov 03, 2023",,Hardcover,view (with text),/book/show/61612836-don-t-tell-anybody-the-secrets-i-told-you
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Roz        (P.I. Frank Johnson Mystery Book 20),"Lynskey, Ed*",,,B0CM9P2DJC,144        pp,0.00,0,unknown,"Oct 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Nov 2023,"Nov 03, 2023","Nov 01, 2023",,Kindle Edition,view,/book/show/201254407-roz
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heaven & Earth Grocery Store,"McBride, James*",0593422945,9780593422946,0593422945,380        pp,4.08,"128,872","Aug 08, 2023","Aug 08, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I liked this folksy, poignant, and insightful novel about the Jewish and Black people living in a Pennsylvania town. It kept my attention, which is onI liked this folksy, poignant, and insightful novel about the Jewish and Black people living in a Pennsylvania town. It kept my attention, which is one way I tell if I like reading a novel. The author creates great characters in both communities....more",Notes are private!,0,14,1,"Oct 15, 2023","Nov 03, 2023","Oct 15, 2023",,Hardcover,view (with text),/book/show/65678550-the-heaven-earth-grocery-store
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nymph,"Lynskey, Ed*",,,B0CK63JLJ7,173        pp,0.00,0,unknown,"Sep 30, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 04, 2023","Oct 13, 2023","Oct 04, 2023",,ebook,view,/book/show/199278684-nymph
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Demon Copperhead,"Kingsolver, Barbara",,,,560        pp,4.51,"397,503","Oct 18, 2022","Oct 18, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This long, ambitious, and gritty novel chronicles the hard-scrabble life of a young man in modern Appalachia. There's a lot of misery, death, and narcThis long, ambitious, and gritty novel chronicles the hard-scrabble life of a young man in modern Appalachia. There's a lot of misery, death, and narcotics. However, he persists. I enjoyed reading it, and it kept my attention the whole way through. I loved the narrative voice and the regional vernacular used by the author. It's well-plotted and multi-layered with complex characters. It was a fun two-week reading experience for me. ...more",Notes are private!,0,15,1,"Sep 28, 2023","Oct 14, 2023","Sep 28, 2023",,Hardcover,view (with text),/book/show/60194162-demon-copperhead
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hero of This Book,"McCracken, Elizabeth",0062971271,9780062971272,0062971271,192        pp,3.78,"4,811","Oct 04, 2022","Oct 04, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This short, quirky, and diverting book is a memoir/novel. Or the author pitches it that way. Once I got with the swing of things, I enjoyed reading itThis short, quirky, and diverting book is a memoir/novel. Or the author pitches it that way. Once I got with the swing of things, I enjoyed reading it. She has a dry sense of humor, which I found amusing. She writes about her parents, especially her mother. Worth a read. ...more",Notes are private!,0,7,2,"Sep 21, 2023Sep 21, 2023","Sep 26, 2023Sep 21, 2023","Sep 21, 2023",,Hardcover,view (with text),/book/show/60095078-the-hero-of-this-book
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Madge        (P.I. Frank Johnson Mystery Book 18),"Lynskey, Ed*",,,B0CH3SZ3D2,156        pp,5.00,1,unknown,"Aug 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 02, 2023","Sep 05, 2023","Sep 02, 2023",,Kindle Edition,view,/book/show/198376242-madge
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Crook Manifesto        (Ray Carney, #2)","Whitehead, Colson*",0385545150,9780385545150,,336        pp,3.90,"13,322","Jul 18, 2023","Jul 18, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I've read two previous novels by Mr. Whitehead. This literary crime fiction title was also a lot of fun to read. A Black entrepreneur/fence running a I've read two previous novels by Mr. Whitehead. This literary crime fiction title was also a lot of fun to read. A Black entrepreneur/fence running a furniture store in 1976 Harlem presents its unique challenges. ...more,Notes are private!,1,10,1,"Aug 25, 2023","Sep 10, 2023","Aug 25, 2023",,Hardcover,view (with text),/book/show/61812836-crook-manifesto
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Missing Hearts,"Ng, Celeste*",0593492544,9780593492543,0593492544,335        pp,3.81,"174,111","Oct 04, 2022","Oct 04, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This is an engrossing read and cautionary tale of a future U.S. society that discriminates against Asian-Americans and what it would be like.,Notes are private!,0,4,1,"Aug 13, 2023","Aug 25, 2023","Aug 13, 2023",,Hardcover,view (with text),/book/show/60149573-our-missing-hearts
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blaze,"Lynskey, Ed*",,9798364324559,B0CDNMH64X,130        pp,0.00,0,unknown,"Aug 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 05, 2023","Aug 08, 2023","Aug 05, 2023",,Paperback,view,/book/show/195728601-blaze
