,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Janet's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Trip: Psychedelics, Alienation, and Change","Lin, Tao*",1101974516,9781101974513,1101974516,320        pp,3.79,"1,757","May 01, 2018","May 01, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/37508405-trip
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On the Road,"Kerouac, Jack",0140042598,9780140042597,0140042598,307        pp,3.61,"411,207","Sep 05, 1957","Jan 01, 1976",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I had to send the audiobook back to the library--now waiting for renewal... so 'interrupted.'  This is probably the third time I've read On the Road--I had to send the audiobook back to the library--now waiting for renewal... so 'interrupted.'  This is probably the third time I've read On the Road--and each time, it's been a completely different book.The first time I read it as a young teenager completely infatuated with the freedom and the footloose life of Sal Paradise and his friends, the click of it, the tight circle of friends, the landscapes, as I yearned to be so free and syncopated, learning how to catch rides on freight trains and let myself be swept along by a good-looking madman like Dean Moriarty--the roaring trips across America, living the beat life--though feeling even then somewhat uneasy with the faceless women of the book, I was more enamored than analytical about it. It was the glorious theme of the times and one didn't dig too deeply into it. I was going to live in a book like this, a life like this, in my own way.The second time I was in my twenties, a college girl, hyperaware of its disregard for its women and its blindness to women's exclusion from such freedom in the world. Sure, I knew women who had gone on the road like Kerouac and crew, but their willingness to endure sexual depredations and occasional violence as a matter of course was beyond my tolerance level. It just made me sad to read about the boys' grand adventures when the only women were ""somebody's girlfriend"" ""the gorgeous girls of so and so"" and mostly dumped and lied to or used for financial support. It got in the way of my love--because, having been out in the world a bit, I knew there was no place in that adventure for me.Now that I am many years older than anybody in the book--older than Kerouac ever got to be--I am so enjoying it. I'm still nobody in it, but it's easy to accept now, and just enjoy the book as I would enjoy any window into a distant culture--and especially reveling in Kerouac's rolling prose. Having it read aloud reinforces the great sound of it. The guy was not ironic, he was not a hater, he embraced everyone and everything, and the book has a specific music which anybody who loves American prose written to an American beat will find contagiously great. He was known as the Great Memory, and any writer would envy the texture and detail he captured. I've also been reading around in The Dharma Bums once the library snatched my On the Road away, and it's not nearly the fun of On The Road--because the former is fueled--literally driven--by Dean Moriarty (Neal Cassidy) and there's a beat to it, a musical beat. Dharma Bums I like for the nature writing, also Big Sur, nobody writes a landscape that's more alive than Kerouac. But the embrace and fun and friendships of On The Road are still alive, free of the ponderous and barely digested Buddhism of Dharma Bums--though you have to grit your teeth once in a while, like finding little stones in your rice, at the occasional retrograde viewpoint or language. Worth it worth it worth it. Reading On the Road alongside Jack's Book, an Oral Biography by Barry Gifford, added to my enjoyment, to understand the actual events behind the novelized memoir which is Kerouac's grand project, as well as learn more specifically about the writer's artistic development....more",Notes are private!,10,23,1,"Mar 12, 2024","Apr 05, 2024","Mar 12, 2024",,Paperback,view (with text),/book/show/70401.On_the_Road
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mother Doll,"Apekina, Katya*",1419770950,9781419770951,1419770950,320        pp,4.08,115,"Mar 12, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Hardcover,view,/book/show/195660554-mother-doll
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'Archipel d'une autre vie,"Makine, Andreï",2021329178,9782021329179,2021329178,288        pp,4.18,912,"Aug 18, 2016","Aug 18, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Paperback,view,/book/show/31380391-l-archipel-d-une-autre-vie
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,These Violent Delights,"Nemerever, Micah*",0062963635,9780062963635,0062963635,460        pp,3.99,"17,685","Sep 15, 2020","Sep 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/49203397-these-violent-delights
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Women of Paris,"Maurois, André",,,B001OLSGD2,0        pp,4.33,12,1935,"Jan 01, 1958",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This charming little book came to me as a gift from a friend, a rare book collector, who knew I would adore it. A series of short essays, just 46 pageThis charming little book came to me as a gift from a friend, a rare book collector, who knew I would adore it. A series of short essays, just 46 pages in all, plus photographs by Nico Jesse, illustrating the very people and places mentioned in the essays--exploring the lives, work and opinions of the modern Parisienne circa 1958 (as opposed to the mythic ""La Parisienne"" of the 19th Century, made famous in literature and drama by the likes of Balzac et al). It opens like this: ""Women of Paris: not La Parisienne The two things are by no means the same.The Parisienne was a myth, an idea, an essence. The women of Paris exist, diverse, individual and picturesque. The writers invented the Parisienne... For Henri Becque... she represented the feminine element in a menage a trois... For Balzac, she mingled an air of candor with an enchanting falsity."" The focus on the difference between the provincial and the exquisite, sophisticated Parisienne. But the Parisienne of 1958 comes from anywhere, it's her presence in the city that changes her. And Maurois wants to know and describe the real women of Paris he sees every day. The contemporary reader might smile a bit at the hubris of a man saying, ""she is--"" but he does interview the women, he is actually interested in learning who they are rather than making assumptions about them, and that respect and genuine curiosity is what marks this little book.I was reading The Years by Annie Ernaux when I received this, and the bleed of that time period was perfect. I started listening to Juliette Greco and absorbing the unique flavor of those times in Paris, the postwar poverty still in evidence, women themselves seeking to define themselves in society, their relationship to work, to marriage and family.The fact that the book is divided by profession is an interesting one, because it portrays the women, married and single, as very much living in the outer world. Its divisions tell you much about Maurois' interests and perception of the city's character: StudentsArtists and modelsFashion and its acolytes (a terrific section on 'Bettina' who works as a PR woman for one of the fashion houses--not the romance of fashion but fashion as workplace)The women of the market--working class women selling their goods, from butchers in Les Halles to florists... such a sense of the citySaint-Germain-des-Pres ""the existentialist cellars"" and the rise of Juliette GrecoThe concierges of Paris--my favorite section. The women who keep an eye on everything that goes on in the building, like one-women Greek Choruses.Paris ballerina, and other dancersThe Comedie Francais--originally the only stages where actual women could act.Working Women--including secretaries, typists and factory workers.The thing I noticed most, in all categories, is the pragmatism of the 1958 Parisienne. Kind of shocking to read about young women especially, at an age when one would expect a romantic approach to life, explaining how much things cost, evaluating a marriage prospect based on the man's earnings. Perhaps because of the hardships of war, the bare realities of life are taken straight on. How brave these women seem, to look life straight in the eye and say, if that's how the world is, then that's the world I'm dealing with....more",Notes are private!,0,13,1,"Feb 05, 2024","Apr 06, 2024","Feb 05, 2024",,Paperback,view (with text),/book/show/86196073-women-of-paris
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle*",,,,401        pp,4.18,"845,302","Jul 05, 2022","Jul 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Hardcover,view,/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Deeper the Water the Uglier the Fish,"Apekina, Katya*",1937512754,9781937512750,1937512754,353        pp,4.08,"4,633","Sep 18, 2018","Sep 18, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Paperback,view,/book/show/40663721-the-deeper-the-water-the-uglier-the-fish
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'll Sell You a Dog,"Villalobos, Juan Pablo",1908276754,,B01H65WFY0,255        pp,3.96,"1,463",Oct 2014,"Aug 04, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 14, 2024",,Kindle Edition,view,/book/show/31350987-i-ll-sell-you-a-dog
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Extinction of Irena Rey,"Croft, Jennifer*",1639731709,9781639731701,1639731709,320        pp,3.42,526,"Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Hardcover,view,/book/show/172979818-the-extinction-of-irena-rey
