,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Robert's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What You Bring Back,"Ruz, Christopher*",,,B007ATTCH6,10        pp,4.00,2,"Feb 17, 2012","Feb 17, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 18, 2021","Jun 18, 2021","Jun 18, 2021",,Kindle Edition,view,/book/show/19522249-what-you-bring-back
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Real Life Gangbang Stories: I Caught My College Girlfriend Fucking 3 Hung Studs at Once,"Langford, Chip",,,B007Q6WJ1E,16        pp,2.00,2,"Mar 30, 2012","Mar 30, 2012",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 18, 2021","Jun 18, 2021","Jun 18, 2021",,Kindle Edition,view,/book/show/20639842-real-life-gangbang-stories
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Last Call,"Hartman, Brian*",,,B004HYH9UY,23        pp,2.44,9,"Jan 03, 2011",unknown,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 18, 2021","Jun 18, 2021","Jun 18, 2021",,Kindle Edition,view,/book/show/10150679-last-call
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ashes,"Nicholson, Scott*",1907190961,,B0037263Y0,143        pp,3.42,792,"Feb 03, 2010","Feb 03, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 12, 2021","Jun 18, 2021","Jun 12, 2021",,Kindle Edition,view,/book/show/8135745-ashes
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Taking the Handmaid to Bed,"Hayne, Stella",,,B008CX094O,16        pp,2.75,4,"Jun 19, 2012","Jun 19, 2012",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 11, 2021","Jun 11, 2021","Jun 11, 2021",,Kindle Edition,view,/book/show/19251272-taking-the-handmaid-to-bed
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Updown,"Haynes, Simon*",,,B0067EYXLA,25        pp,3.67,27,"Nov 13, 2011","Nov 13, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 11, 2021","Jun 11, 2021","Jun 11, 2021",,Kindle Edition,view,/book/show/13056989-updown
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hysteria 4,Kimberlyn,,,B0067XN8Y4,17        pp,2.00,2,unknown,"Nov 14, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 11, 2021","Jun 11, 2021","Jun 11, 2021",,Kindle Edition,view,/book/show/54965048-hysteria-4
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Does The Body Good (a suburban fantasy) - a one act play,"Link, Patrick*",,,B004N626L8,53        pp,3.00,1,"Feb 09, 2011","Feb 09, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 11, 2021","Jun 11, 2021","Jun 11, 2021",,Kindle Edition,view,/book/show/19437037-does-the-body-good-a-suburban-fantasy---a-one-act-play
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Critical Hit,"Stevens, Em*",,,B01NABP8CU,254        pp,3.93,321,"Nov 25, 2016","Nov 25, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 11, 2021",not set,"Jun 11, 2021",,Kindle Edition,view,/book/show/43790835-critical-hit
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Grave Reservations        (The Booking Agents, #1)","Priest, Cherie*",1982168897,9781982168896,1982168897,304        pp,3.58,"6,948","Oct 26, 2021","Oct 26, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 19, 2021",,Hardcover,view,/book/show/56898241-grave-reservations
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Looking for Alaska,"Green, John*",0593109066,9780593109069,0593109066,272        pp,3.97,"1,598,960","Mar 03, 2005","Sep 24, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2021",,Paperback,view,/book/show/46264133-looking-for-alaska
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Raped by Clothing,"Nigro, Guido",1450060447,9781450060448,B003CYKVWI,265        pp,1.00,2,"Mar 15, 2010","Mar 15, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 20, 2020",not set,"Dec 20, 2020",,Kindle Edition,view,/book/show/19559369-raped-by-clothing
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Molly Synthia Collection Volume 4 - 3 Erotic Short Stories!,"Synthia, Molly",,,B007QY4RNE,43        pp,2.00,1,"Mar 30, 2012","Mar 30, 2012",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 04, 2020","Dec 04, 2020","Dec 04, 2020",,Kindle Edition,view,/book/show/22738378-molly-synthia-collection-volume-4---3-erotic-short-stories
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lipstick ""Lesbian""","Sexton, Marlene",,,B007K3E44S,15        pp,3.49,43,"Mar 13, 2012","Mar 13, 2012",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 04, 2020","Dec 04, 2020","Dec 04, 2020",,Kindle Edition,view,/book/show/18619448-lipstick-lesbian
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lot Lizards,"Garton, Ray*",1497627516,9781497627512,B00J90CIU2,198        pp,3.74,313,"Oct 01, 1991","Apr 01, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 03, 2020","Dec 04, 2020","Dec 03, 2020",,Kindle Edition,view,/book/show/22570847-lot-lizards
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Carnal Surgery,"Lee, Edward",,,B00H3TWA5E,172        pp,3.65,286,"Mar 14, 2011","Dec 04, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 03, 2020","Dec 03, 2020",,Kindle Edition,view,/book/show/19394241-carnal-surgery
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mycophoria,"Adams, Tom G.H.*",,,B07DTLQJPK,216        pp,3.81,420,"Aug 05, 2018","Aug 05, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 02, 2020","Dec 02, 2020",,Kindle Edition,view,/book/show/40623801-mycophoria
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Summer,"Su, Pay",,,B00839H166,4        pp,2.00,1,"May 12, 2012","May 12, 2012",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 09, 2020","Nov 09, 2020",,Kindle Edition,view,/book/show/25772480-this-summer
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tony Holkham : The Sonnets,"Holkham, Tony",,,B007FSKWTY,62        pp,1.00,2,unknown,"Feb 29, 2012",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 08, 2020","Nov 09, 2020","Nov 08, 2020",,Kindle Edition,view,/book/show/31434703-tony-holkham
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sloppy Seconds Filthy Thirds,"Hocking, Candice",,,B0053DLBS4,23        pp,3.33,3,"May 29, 2011","May 29, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 08, 2020","Nov 08, 2020","Nov 08, 2020",,Kindle Edition,view,/book/show/20877908-sloppy-seconds-filthy-thirds
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rice Dishes : The 10 Greatest Rice Dish Recipes Ever,"Marriot, Alexander",,,B008A6TN7M,20        pp,2.00,1,"Jun 08, 2012","Jun 08, 2012",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 08, 2020","Nov 08, 2020","Nov 08, 2020",,Kindle Edition,view,/book/show/19343434-rice-dishes
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Different Points of View I,"Holland, J.T.*",,,B007ATTC9E,33        pp,3.00,2,"Feb 17, 2012","Feb 17, 2012",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 07, 2020","Nov 07, 2020","Nov 07, 2020",,Kindle Edition,view,/book/show/20406456-different-points-of-view-i
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lose Weight by Turning On the Powerful Enzyme That Controls Fat Burning,"House, Duane",,,B007DQI06A,10        pp,2.91,33,"Feb 25, 2012","Feb 25, 2012",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 04, 2020","Nov 04, 2020","Nov 04, 2020",,Kindle Edition,view,/book/show/22041587-lose-weight-by-turning-on-the-powerful-enzyme-that-controls-fat-burning
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Infernal Ink Magazine (vol. 5 issue 3 for July 2016): Devilishly Erotic Horror,"Star, Hydra M.*",,,B01HLL5Z4G,116        pp,3.00,3,unknown,"Jul 01, 2016",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 04, 2020","Nov 04, 2020",,Kindle Edition,view,/book/show/30760326-infernal-ink-magazine-vol-5-issue-3-for-july-2016
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Collection in Time,"Scorah, Andrew",,,B007AU2628,32        pp,1.00,1,"Feb 17, 2012","Feb 17, 2012",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 03, 2020","Nov 03, 2020","Nov 03, 2020",,Kindle Edition,view,/book/show/19522304-a-collection-in-time
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Becoming His Roommate's Gay Sex Toy,"Hayne, Stella",,,B0083NTQZ6,33        pp,3.45,11,"May 15, 2012","May 15, 2012",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 03, 2020","Nov 03, 2020","Nov 03, 2020",,Kindle Edition,view,/book/show/20515795-becoming-his-roommate-s-gay-sex-toy
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,41 Fast and Delicious Vegan Recipes For Lunch - The Vegan Recipes Collection Book 3,"Maxwell, Alana",,,B008085NSI,67        pp,3.00,2,"May 03, 2012","May 03, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Nov 2020,"Nov 02, 2020","Nov 01, 2020",,Kindle Edition,view,/book/show/19107664-41-fast-and-delicious-vegan-recipes-for-lunch---the-vegan-recipes-collec
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fantasies of the Waking Dreamer: A small collection of poetry,"McCabe, K.W.*",,,B0074RPN9U,13        pp,3.62,13,"Feb 01, 2012","Feb 01, 2012",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Nov 2020,Nov 2020,"Nov 01, 2020",,Kindle Edition,view,/book/show/18964926-fantasies-of-the-waking-dreamer
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Grilled Chicken Breast Recipes : The 10 Greatest Grilled Chicken Breast Recipes Ever,"Marriot, Alexander",,,B008A6Q1FY,17        pp,3.00,1,"Jun 08, 2012","Jun 08, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Nov 2020,Nov 2020,"Nov 01, 2020",,Kindle Edition,view,/book/show/20525803-grilled-chicken-breast-recipes
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"SPOON: Soup, Stew & Chowder Recipes (Spring)","Hay, Dana*",,,B007IYB5IW,57        pp,3.56,71,"Mar 09, 2012","Mar 09, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 30, 2020","Oct 30, 2020",,Kindle Edition,view,/book/show/13645336-spoon
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kinky Red Riding Hood: Werewolf Gangbang,"Harding, Lotte",,,B00817F8I8,14        pp,2.00,1,"May 06, 2012","May 06, 2012",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 29, 2020","Oct 29, 2020","Oct 29, 2020",,Kindle Edition,view,/book/show/22693362-kinky-red-riding-hood
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sexy Little Cheerleaders: Practice Makes Perfect,"Hale, Hannah",,,B0069E2SFQ,22        pp,2.87,163,"Nov 17, 2011","Dec 06, 2012",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 27, 2020","Oct 29, 2020","Oct 27, 2020",,Kindle Edition,view,/book/show/17561130-sexy-little-cheerleaders
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Keely's Kinky Secrets: My First Foursome,"Eve, Keely",,,B006X7NESE,15        pp,3.14,28,"Jan 13, 2012","Jan 13, 2012",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 26, 2020","Oct 26, 2020","Oct 26, 2020",,Kindle Edition,view,/book/show/18952824-keely-s-kinky-secrets
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Undead: Book One, Overview","Pugh, Michael*",,,B008J33P4I,250        pp,3.72,18,"Jul 08, 2012","Jan 21, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 20, 2020","Oct 25, 2020","Oct 20, 2020",,Kindle Edition,view,/book/show/25711357-the-undead
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,KICK IT TOGETHER!,McDroll*,,,B00762LXC4,53        pp,4.59,32,"Oct 25, 2011","Feb 12, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 20, 2020",not set,"Oct 20, 2020",,ebook,view,/book/show/12962938-kick-it-together
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rough Sex In Her Lonely Cabin,"Meaker, Kitty",,,B0072KNON6,11        pp,2.58,225,"Jan 26, 2012","Jan 26, 2012",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 20, 2020","Oct 20, 2020","Oct 20, 2020",,Kindle Edition,view,/book/show/18682250-rough-sex-in-her-lonely-cabin
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Scream a Little Softer - A Ten Minute Play,"Murphy, Gerald P.",,,B004MPRUPM,5        pp,1.00,1,unknown,"Feb 07, 2011",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 20, 2020","Oct 20, 2020","Oct 20, 2020",,Kindle Edition,view,/book/show/38769346-scream-a-little-softer---a-ten-minute-play
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Slave Mansion 3,"Velvet, Emily",,,B0076F148O,19        pp,2.29,7,"Feb 06, 2012","Feb 06, 2012",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 18, 2020","Oct 18, 2020","Oct 18, 2020",,Kindle Edition,view,/book/show/13518450-slave-mansion-3
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Red Emma Speaks: An Emma Goldman Reader,"Shulman, Alix Kates",,,B007GQXGTI,477        pp,4.18,379,1972,"Apr 03, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 24, 2020","Oct 18, 2020","Sep 24, 2020",,Kindle Edition,view,/book/show/19164570-red-emma-speaks
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sexy Asian Naked - Galina #2,TheHotPrince,,,B008HUOZ92,0        pp,2.00,1,unknown,"Jul 04, 2012",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 24, 2020","Sep 24, 2020","Sep 24, 2020",,Kindle Edition,view,/book/show/55448776-sexy-asian-naked---galina-2
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Quirky Pot Luck Recipes,"Ardans, Katy",,,B007V745W4,64        pp,3.49,254,"Apr 17, 2012","Apr 17, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 24, 2020","Sep 24, 2020","Sep 24, 2020",,Kindle Edition,view,/book/show/18869692-our-quirky-pot-luck-recipes
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tara's Ball        (Urdu Children's Book Level 2 Easy Reader),"Verma, Archit",,,B007C6ZPUA,0        pp,2.50,2,"Feb 21, 2012","Feb 21, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 24, 2020","Sep 24, 2020","Sep 24, 2020",,Kindle Edition,view,/book/show/26086763-tara-s-ball
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Poetry,"Wayne, Arthur",,,B004XW6K3C,16        pp,1.00,1,"Apr 24, 2011","Apr 24, 2011",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 24, 2020","Sep 24, 2020","Sep 24, 2020",,Kindle Edition,view,/book/show/21076811-poetry
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Seducing Sadie,"X, Lexie*",,,B005T4Y2RE,13        pp,4.45,11,"Oct 05, 2011",unknown,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 24, 2020","Sep 24, 2020","Sep 24, 2020",,Kindle Edition,view,/book/show/12949894-seducing-sadie
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Data Corp,"Young, R.L.",,,B008HU9IEY,66        pp,2.50,6,"Jul 04, 2012","Jul 04, 2012",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 23, 2020","Sep 24, 2020","Sep 23, 2020",,Kindle Edition,view,/book/show/21186966-data-corp
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sex Stories,"Yvette, Avril*",,,B007PUTS2E,23        pp,3.10,10,"Mar 28, 2012","Mar 28, 2012",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 23, 2020","Sep 23, 2020","Sep 23, 2020",,Kindle Edition,view,/book/show/18925957-sex-stories
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Minor, Hidden Prophecies in John Denver's Songs","Rodgers, Susan Ripley",,,B007QZ4QLQ,6        pp,1.00,1,unknown,"Apr 02, 2012",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 22, 2020","Sep 22, 2020","Sep 22, 2020",,Kindle Edition,view,/book/show/55426806-minor-hidden-prophecies-in-john-denver-s-songs
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rhyme upon a time 3,"Turner, Jen",,,B007I7OEN2,20        pp,3.00,5,"Mar 06, 2012","Mar 06, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 22, 2020","Sep 22, 2020","Sep 22, 2020",,Kindle Edition,view,/book/show/19318293-rhyme-upon-a-time-3
