,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Gillian's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Through Painted Deserts: Light, God, and Beauty on the Open Road","Miller, Donald",0785209824,9780785209829,0785209824,256        pp,3.91,"10,335","Aug 01, 2005","Aug 14, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/29597.Through_Painted_Deserts
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ours,"Williams, Phillip B.*",059365482X,9780593654828,,592        pp,3.91,244,"Feb 20, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Hardcover,view,/book/show/195095780-ours
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Neon Gods        (Dark Olympus, #1)","Robert, Katee*",1728231736,9781728231730,1728231736,380        pp,3.71,"236,665","Jun 01, 2021","Jun 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Paperback,view,/book/show/54659771-neon-gods
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Single Thread,"Chevalier, Tracy*",,,,336        pp,3.75,"28,467","Sep 17, 2019","Sep 17, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Kindle Edition,view,/book/show/43943459-a-single-thread
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tipping the Velvet,"Waters, Sarah",,,,472        pp,4.05,"71,070","Feb 05, 1998","May 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Paperback,view,/book/show/25104465-tipping-the-velvet
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daddy's Gone A-Hunting,"Mortimer, Penelope",1903155673,9781903155677,1903155673,240        pp,3.92,657,1958,2008,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Paperback,view,/book/show/3254071-daddy-s-gone-a-hunting
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Doreen,"Noble, Barbara",1903155509,9781903155509,1903155509,238        pp,4.35,266,1946,"Sep 22, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Paperback,view,/book/show/2728105-doreen
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Flèche,"Chan, Mary Jean",0571348041,9780571348046,0571348041,78        pp,4.22,"1,143","Jul 02, 2019","Mar 31, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Paperback,view,/book/show/42185758-fl-che
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Becoming Unbecoming,Una*,1908434694,9781908434692,1908434694,207        pp,4.25,"3,592","Sep 30, 2015","Sep 30, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Paperback,view,/book/show/25363212-becoming-unbecoming
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Boy's Life,"McCammon, Robert",,,B005T54I2W,625        pp,4.39,"34,968",Aug 1991,"Oct 18, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Kindle Edition,view,/book/show/36505403-boy-s-life
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Phantoms,"Koontz, Dean*",0425181103,9780425181102,0425181103,448        pp,3.96,"73,971",1983,"Feb 05, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Mass Market Paperback,view,/book/show/32435.Phantoms
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Prodigal Summer,"Kingsolver, Barbara",0060959037,9780060959036,0060959037,444        pp,4.03,"114,400","Oct 17, 2000","Oct 16, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2024",,Paperback,view,/book/show/14249.Prodigal_Summer
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Good Material,"Alderton, Dolly",0241523672,9780241523674,0241523672,345        pp,4.02,"61,978","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Paperback,view,/book/show/96177629-good-material
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hurricane Girl,"Dermansky, Marcy*",0593320883,9780593320884,0593320883,240        pp,3.66,"5,259","Jun 14, 2022","Jun 14, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Hardcover,view,/book/show/58065398-hurricane-girl
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Berry Pickers,"Peters, Amanda*",1646221958,9781646221950,1646221958,307        pp,4.18,"48,978","Apr 04, 2023","Oct 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2024",,Hardcover,view,/book/show/123036004-the-berry-pickers
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Things We Do to Our Friends,"Darwent, Heather*",0593497163,9780593497166,0593497163,336        pp,3.21,"5,626","Jan 10, 2023","Jan 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Hardcover,view,/book/show/60880813-the-things-we-do-to-our-friends
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,After You'd Gone,"O'Farrell, Maggie*",0142000329,9780142000328,0142000329,384        pp,4.03,"17,317","Jan 01, 2000","Feb 26, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Paperback,view,/book/show/675323.After_You_d_Gone
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O Caledonia,"Barker, Elspeth",1668004615,9781668004616,1668004615,188        pp,3.99,"6,383","Aug 19, 1991","Sep 20, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Paperback,view,/book/show/60321053-o-caledonia
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Inside Out & Back Again,"Lại, Thanhhà *",0061962783,9780061962783,0061962783,262        pp,4.12,"61,490","Feb 22, 2011","Feb 22, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/8537327-inside-out-back-again
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Alone in Berlin,"Fallada, Hans",014118938X,9780141189383,014118938X,590        pp,4.26,"32,251",1947,2009,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Paperback,view,/book/show/6801335-alone-in-berlin
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Testament of Youth,"Brittain, Vera",0143039237,9780143039235,0143039237,688        pp,4.11,"11,496","Aug 28, 1933","May 31, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Paperback,view,/book/show/374388.Testament_of_Youth
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,New Crobuzon Series 3 Books Collection Set By China Miéville,"Miéville, China*",9124014680,9789124014681,9124014680,0        pp,4.17,6,"Jan 01, 2020","Jan 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Paperback,view,/book/show/56292168-new-crobuzon-series-3-books-collection-set-by-china-mi-ville
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Jazz        (Beloved Trilogy, #2)","Morrison, Toni",0452269652,9780452269651,0452269652,229        pp,3.88,"32,170",Apr 1992,"Apr 01, 1993",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Paperback,view,/book/show/37398.Jazz
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Paradise        (Beloved Trilogy, #3)","Morrison, Toni",0452280397,9780452280397,B007CIHO02,318        pp,3.85,"27,013","Dec 24, 1997","Apr 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Paperback,view,/book/show/5198.Paradise
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Gifts        (Annals of the Western Shore, #1)","Le Guin, Ursula K.",0152051244,9780152051242,0152051244,286        pp,3.76,"10,449","Sep 01, 2004","Apr 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Paperback,view,/book/show/13648.Gifts
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"So Long, See You Tomorrow","Maxwell, William",,9781860464188,1860464181,135        pp,3.91,"12,280",1980,1998,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Paperback,view,/book/show/14276.So_Long_See_You_Tomorrow
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Good Lie,"Torre, A.R.*",1542020174,9781542020176,B08KH8YT2S,257        pp,4.14,"106,631","Jul 20, 2021","Jul 20, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 04, 2024",,Kindle Edition,view,/book/show/56238004-the-good-lie
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This One Wild and Precious Life: A Hopeful Path Forward in a Fractured World,"Wilson, Sarah*",1760556734,9781760556730,1760556734,368        pp,3.80,"3,915","Aug 25, 2020","Aug 25, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Hardcover,view,/book/show/54112488-this-one-wild-and-precious-life
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Legendborn        (The Legendborn Cycle, #1)","Deonn, Tracy*",1534441603,9781534441606,1534441603,502        pp,4.35,"134,282","Sep 15, 2020","Sep 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Hardcover,view,/book/show/50892338-legendborn
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Act Your Age, Eve Brown        (The Brown Sisters, #3)","Hibbert, Talia*",0062941283,9780062941282,,400        pp,4.11,"88,102","Mar 09, 2021","Mar 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,ebook,view,/book/show/51824384-act-your-age-eve-brown
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"You, Again","Goldbeck, Kate*",059344812X,9780593448120,059344812X,448        pp,3.64,"34,455","Sep 12, 2023","Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Paperback,view,/book/show/75665887-you-again
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Juniper & Thorn,"Reid, Ava*",0062973169,9780062973160,0062973169,368        pp,3.67,"18,253","Jun 21, 2022","Jun 21, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Hardcover,view,/book/show/58966216-juniper-thorn
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beautyland,"Bertino, Marie-Helene*",0374109281,9780374109288,0374109281,336        pp,4.26,"2,287","Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Hardcover,view,/book/show/127282939-beautyland
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lost in Summerland: Essays,"Swanson, Barrett",1640094180,9781640094185,1640094180,304        pp,4.19,210,"May 18, 2021","May 18, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Hardcover,view,/book/show/55344846-lost-in-summerland
62,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Open Throat,"Hoke, Henry*",037460987X,9780374609870,037460987X,176        pp,4.00,"7,119","Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Hardcover,view,/book/show/62039259-open-throat
