,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Julia's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stiff: The Curious Lives of Human Cadavers,"Roach, Mary",0393881725,9780393881721,0393881725,320        pp,4.06,"219,096","Apr 17, 2003","Aug 31, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 11, 2024",,Paperback,view,/book/show/56769575-stiff
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paris Library,"Charles, Janet Skeslien*",1982134194,9781982134198,1982134194,368        pp,4.07,"122,688","Feb 09, 2021","Feb 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 24, 2024",,Hardcover,view,/book/show/52761909-the-paris-library
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Grammar of Time,"Kreuzer, Markus",110871823X,9781108718233,110871823X,228        pp,5.00,1,unknown,"May 25, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A fabulous textbook,Notes are private!,0,0,1,not set,not set,"Jan 21, 2024",,Paperback,view (with text),/book/show/119999712-the-grammar-of-time
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mord in der Uckermark        (Miss Merkel, #1)","Safier, David",3463406659,9783463406657,3463406659,320        pp,3.63,"3,536","Oct 27, 2021","Mar 23, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Paperback,view,/book/show/56786893-mord-in-der-uckermark
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"It Starts with Us        (It Ends with Us, #2)","Hoover, Colleen*",1668001225,9781668001226,1668001225,323        pp,3.87,"1,436,675","Oct 18, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Paperback,view,/book/show/60393672-it-starts-with-us
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,843","Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Hardcover,view,/book/show/63241104-tom-lake
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Berlin,"Setton, Bea",014313762X,9780143137627,014313762X,256        pp,3.62,"2,691","Jul 07, 2022","May 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Paperback,view,/book/show/62050489-berlin
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Midnight Feast,"Foley, Lucy",0063003104,9780063003101,0063003104,368        pp,3.76,567,"Jun 06, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Hardcover,view,/book/show/199743738-the-midnight-feast
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dead and Gondola        (Christie Bookshop, #1)","Claire, Ann*",0593496345,9780593496343,0593496345,336        pp,3.53,"2,084","Nov 01, 2022","Nov 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Paperback,view,/book/show/60372420-dead-and-gondola
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bee Sting,"Murray, Paul",0374600309,9780374600303,0374600309,656        pp,4.01,"32,107","Jun 08, 2023","Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/62039166-the-bee-sting
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Grandmother Asked Me to Tell You She's Sorry,"Backman, Fredrik*",1501115065,9781501115066,1501115065,372        pp,4.08,"244,485","Sep 04, 2013","Jun 16, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book turned around in the last 100 pages and took me by surprise. It ended up being a story within an imaginary fairytale which brought people toThis book turned around in the last 100 pages and took me by surprise. It ended up being a story within an imaginary fairytale which brought people together. I loved the relationship between Elsa and her grandmother. Some of the beginning parts didn’t hold my attention and I wish the real action started sooner, but the ending made up for it. The book was a good reminder to not take things at face value and to remember that everyone has a story. ...more",Notes are private!,0,1,1,"Dec 24, 2023","Jan 13, 2024","Dec 24, 2023",,Hardcover,view (with text),/book/show/23604559-my-grandmother-asked-me-to-tell-you-she-s-sorry
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Good Eggs,"Hardiman, Rebecca",1982164298,9781982164294,1982164298,336        pp,3.56,"5,691","Mar 09, 2021","Mar 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 22, 2023",,Hardcover,view,/book/show/54303770-good-eggs
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happy Place,"Henry, Emily*",0593441273,9780593441275,0593441273,400        pp,4.02,"784,622","Apr 25, 2023","Apr 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 20, 2023",,Hardcover,view,/book/show/61718053-happy-place
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Forever, Interrupted","Reid, Taylor Jenkins*",,,,321        pp,3.66,"131,730","Jul 09, 2013","Jul 09, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The characters Ben and Elsie were very sweet even when the plot stung. Imagining experiencing the story in real-life was painful while reading. I likeThe characters Ben and Elsie were very sweet even when the plot stung. Imagining experiencing the story in real-life was painful while reading. I liked seeing the relationship between Elsie and Susan develop since the situation was so unique. At some points in the middle of the book I got a little bored, but overall this was a story I enjoyed!...more",Notes are private!,0,1,1,"Dec 19, 2023","Dec 20, 2023","Dec 19, 2023",,Paperback,view (with text),/book/show/16130531-forever-interrupted
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Leave the World Behind,"Alam, Rumaan*",0062667637,9780062667632,0062667637,241        pp,3.17,"148,528","Oct 06, 2020","Oct 06, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 09, 2023",,Hardcover,view,/book/show/50358031-leave-the-world-behind
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Der letzte Sommertag,"Hofmann, Marc",,,B0BYFKJBWR,194        pp,4.00,1,unknown,"May 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 09, 2023",,Kindle Edition,view,/book/show/129334850-der-letzte-sommertag
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fahrenheit 451,"Bradbury, Ray",,,B0064CPN7I,194        pp,3.97,"2,417,250","Oct 19, 1953","Dec 06, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 08, 2023",,Kindle Edition,view,/book/show/13079982-fahrenheit-451
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Little Women,"Alcott, Louisa May",,,0451529308,449        pp,4.15,"2,233,570",1868,"Apr 06, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 08, 2023",,Paperback,view,/book/show/1934.Little_Women
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Particular Sadness of Lemon Cake,"Bender, Aimee*",0385501129,9780385501125,0385501129,292        pp,3.24,"65,985","Jun 01, 2010","Jun 01, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 08, 2023",,Hardcover,view,/book/show/7048800-the-particular-sadness-of-lemon-cake
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Untamed,"Doyle, Glennon*",1984801252,9781984801258,1984801252,333        pp,3.99,"439,873","Mar 10, 2020","Mar 10, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 08, 2023",,Hardcover,view,/book/show/52129515-untamed
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Meet Me at the Lake,"Fortune, Carley*",0735243786,9780735243781,0735243786,336        pp,3.71,"199,453","May 02, 2023","May 02, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The “what-if” trope came through really strong in this book! And in a fun way. Yet another book-tok type romance book, but a fun read with compelling The “what-if” trope came through really strong in this book! And in a fun way. Yet another book-tok type romance book, but a fun read with compelling characters and life struggles. This might also be the first book that I’ve read that’s set in Canada! Fun to see the mentions of Banff and now I want to visit Toronto. The dual-time line plot was also fun and kept me engaged. ...more",Notes are private!,0,0,1,"Mar 23, 2024","Apr 02, 2024","Dec 08, 2023",,Paperback,view (with text),/book/show/61797464-meet-me-at-the-lake
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Middlesex,"Eugenides, Jeffrey",0312422156,9780312422158,0312422156,529        pp,4.03,"639,179","Sep 04, 2002","Sep 16, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 08, 2023",,Paperback,view,/book/show/2187.Middlesex
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wrong Place Wrong Time,"McAllister, Gillian*",0063252341,9780063252349,0063252341,416        pp,4.01,"305,352","May 12, 2022","Aug 02, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 08, 2023",,Hardcover,view,/book/show/59947696-wrong-place-wrong-time
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yellowface,"Kuang, R.F.*",,,,336        pp,3.80,"428,718","May 25, 2023","May 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 08, 2023",,Hardcover,view,/book/show/62047984-yellowface
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Carrie Soto Is Back,"Reid, Taylor Jenkins*",0593158687,9780593158685,0593158687,384        pp,4.22,"504,677","Aug 30, 2022","Aug 30, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Out of the reading slump! This was a great reset book and likely my favorite written by Reid. Carrie’s internal perspective developed throughout the bOut of the reading slump! This was a great reset book and likely my favorite written by Reid. Carrie’s internal perspective developed throughout the book in a relatable way. The ending was not expected but felt right for the story. I loved the sports focus and the relationship between Javier and Carrie was more prominent than any romance. Props to the Mannheim city library for finally adding this to the library! ...more,Notes are private!,0,1,1,"Feb 19, 2024","Feb 21, 2024","Nov 26, 2023",,Hardcover,view (with text),/book/show/60435878-carrie-soto-is-back
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Night Watchman,"Erdrich, Louise",0062671200,9780062671202,,464        pp,4.11,"74,871","Mar 03, 2020","Mar 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 26, 2023",,ebook,view,/book/show/43721059-the-night-watchman
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Thursday Murder Club        (Thursday Murder Club, #1)","Osman, Richard",,,B07S5D5TH7,382        pp,3.89,"476,065","Sep 03, 2020","Sep 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 26, 2023",,Kindle Edition,view,/book/show/46000520-the-thursday-murder-club
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hamnet,"O'Farrell, Maggie*",1472223799,9781472223791,1472223799,372        pp,4.20,"255,753","Mar 31, 2020","Mar 31, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 26, 2023",,Hardcover,view,/book/show/43890641-hamnet
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Caste: The Origins of Our Discontents,"Wilkerson, Isabel*",0593230256,9780593230251,0593230256,544        pp,4.54,"137,255","Aug 04, 2020","Aug 04, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 26, 2023",,Hardcover,view,/book/show/51152447-caste
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Four Winds,"Hannah, Kristin*",,,,464        pp,4.30,"669,675","Feb 02, 2021","Feb 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 26, 2023",,Hardcover,view,/book/show/53138081-the-four-winds
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ironweed,"Kennedy, William",0743263065,9780743263061,0743263065,208        pp,3.87,"16,845",1983,"Sep 30, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My first Kennedy novel! Ironweed has left me curious about the other books in the Albany Cycle and how they connect, I would like to know more about tMy first Kennedy novel! Ironweed has left me curious about the other books in the Albany Cycle and how they connect, I would like to know more about the Phelan family. At the beginning I was not sure how the story would develop, but by the end I enjoyed each page. Francis as a character didn’t seem to know what kind of man he wanted to be, which I found aggravating at times and had mixed feelings towards him. Is he the sober one? Is he the loving husband? Is he the alcoholic dead-beat? I found Helen’s story quite sad and I wanted better for Annie. Overall an enjoyable read with lovely language!...more",Notes are private!,0,0,1,"Jan 18, 2024","Jan 23, 2024","Nov 21, 2023",,Paperback,view (with text),/book/show/267243.Ironweed
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Legs,"Kennedy, William",0140064842,9780140064841,0140064842,320        pp,3.81,"1,879","May 28, 1975","Jan 27, 1983",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 21, 2023",,Paperback,view,/book/show/90761.Legs
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Buried Giant,"Ishiguro, Kazuo*",030727103X,9780307271037,030727103X,317        pp,3.57,"105,202","Mar 03, 2015",Mar 2015,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 14, 2023",,Hardcover,view,/book/show/22522805-the-buried-giant
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dark Places,"Flynn, Gillian*",0307341569,9780307341563,0307341569,424        pp,3.95,"751,339",2009,"May 05, 2009",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book went all over the place. I liked the beginning and the concept of solving the family’s murder, but the ending got a little weird. Satanic riThis book went all over the place. I liked the beginning and the concept of solving the family’s murder, but the ending got a little weird. Satanic rituals and really screwed up characters- it was hard to sympathize with anyone. I didn’t not enjoy the story, but it got a bit too creepy and disturbing for my taste. ...more",Notes are private!,0,0,1,"Dec 08, 2023","Jan 15, 2024","Nov 14, 2023",,Hardcover,view (with text),/book/show/5886881-dark-places
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Freedom,"Franzen, Jonathan",0374158460,9780374158460,0374158460,562        pp,3.78,"168,420","Aug 31, 2010","Aug 31, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I really did enjoy this read. Though for most of the time the story is quite sad and each character comes with a unique set of quirks and issues, it wI really did enjoy this read. Though for most of the time the story is quite sad and each character comes with a unique set of quirks and issues, it was still an entertaining Franzen story. Each character seemed to be in their own form of misery with the principle cause being in love with someone who was not their partner. The ending did make me smile. ...more",Notes are private!,0,1,1,"Nov 26, 2023","Dec 08, 2023","Nov 14, 2023",,Hardcover,view (with text),/book/show/7905092-freedom
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Harder They Come,"Boyle, T. Coraghessan*",0062390716,9780062390714,0062390716,384        pp,3.62,"6,906","Mar 30, 2015","Mar 31, 2015",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I just did not like this book. The writing was ok and kept me going through, but there was almost the lacking of an actual plot. Reading the varying pI just did not like this book. The writing was ok and kept me going through, but there was almost the lacking of an actual plot. Reading the varying perspectives was interesting, but most of the book felt like a whole lot of nothing. Just words on the page with minimal action taking place. ...more",Notes are private!,0,0,1,"Nov 16, 2023","Nov 25, 2023","Nov 14, 2023",,Paperback,view (with text),/book/show/23215481-the-harder-they-come
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Train to London,"Clayton, Meg Waite*",006294696X,9780062946966,,480        pp,4.13,"14,583","Sep 10, 2019","Sep 10, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A fast paced historical intrigue that pulled me in. I was able to recognize the different areas in Vienna that were mentioned and gave the story a betA fast paced historical intrigue that pulled me in. I was able to recognize the different areas in Vienna that were mentioned and gave the story a better visualization. ...more,Notes are private!,0,0,1,"Nov 09, 2023","Nov 14, 2023","Nov 09, 2023",,ebook,view (with text),/book/show/43386062-the-last-train-to-london
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beach Read,"Henry, Emily*",1984806734,9781984806734,1984806734,400        pp,4.01,"1,105,548","May 19, 2020","May 19, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,First ever real romance book. A really fun read that went by quick. The ending disappointed me a little but overall a good read.,Notes are private!,0,0,1,"Nov 03, 2023","Nov 05, 2023","Nov 03, 2023",,Paperback,view (with text),/book/show/52867387-beach-read
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Frankenstein: The 1818 Text,"Shelley, Mary",,,,260        pp,3.87,"1,597,677",1818,"Mar 08, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Frankenstein was perfect for the Halloween time! I wasn’t expecting what the story ended up being and I really enjoyed reading it. The themes of revenFrankenstein was perfect for the Halloween time! I wasn’t expecting what the story ended up being and I really enjoyed reading it. The themes of revenge were interesting and my sympathy went in the opposite direction that I anticipated. ...more,Notes are private!,0,1,1,"Oct 22, 2023","Nov 03, 2023","Oct 22, 2023",,Paperback,view (with text),/book/show/35031085-frankenstein
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Speak Whale: The Power and Wonder of Listening to Animals,"Mustill, Tom*",1538739119,9781538739112,1538739119,304        pp,4.28,"1,331","Mar 03, 2022","Sep 06, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 13, 2023",,Hardcover,view,/book/show/60021469-how-to-speak-whale
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Continent: Travels in Small-Town America,"Bryson, Bill",0060920084,9780060920081,0060920084,299        pp,3.81,"61,242","Aug 01, 1989","Aug 28, 1990",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 13, 2023",,Paperback,view,/book/show/26.The_Lost_Continent
