,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Pavlina's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Изгубената душа,"Tokarczuk, Olga",,9786197153606,,48        pp,4.33,"3,139","Oct 26, 2017","Dec 09, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Dec 12, 2019",,Hardcover,view,/book/show/49537465
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Балканалия,"Kentrić, Samira",,9789545533051,,150        pp,3.89,44,"Jan 01, 2015","Dec 05, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 12, 2019",,Paperback,view,/book/show/49094597
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Big Wolf & Little Wolf        (Big Wolf and Little Wolf #1),"Brun-Cosme, Nadine",1592700845,9781592700844,1592700845,32        pp,4.30,973,unknown,"Apr 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 15, 2019",,Board Book,view,/book/show/6226468-big-wolf-little-wolf
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ужасно силно и адски близо,"Foer, Jonathan Safran *",,9789543301386,,416        pp,3.97,"420,943",2005,2008,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 09, 2019","Oct 10, 2019",,Paperback,view,/book/show/6095818
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Нещата, които синът ми трябва да знае за света","Backman, Fredrik*",,9789542826958,,188        pp,3.99,"26,520","Aug 27, 2012","Sep 17, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Aug 12, 2019",,Paperback,view,/book/show/41710892
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Бегуни,"Tokarczuk, Olga",,9786197153491,,352        pp,3.76,"31,036",Sep 2007,"May 28, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 20, 2019",,Paperback,view,/book/show/45453520
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,180 секунди,"Park, Jessica*",,9786197153514,,300        pp,3.95,"18,492","Apr 25, 2017",May 2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 19, 2019",,Paperback,view,/book/show/45169157-180
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mindset: The New Psychology of Success,"Dweck, Carol S.",,,,276        pp,4.10,"150,836",2006,"Feb 28, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 19, 2019",,Hardcover,view,/book/show/40745.Mindset
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Да преподаваме с мисъл за бедността: Влиянието на бедността върху детския мозък и как може училището да помогне,"Jensen, Eric",,9786197482003,,235        pp,3.94,"2,276","Nov 19, 2009",Nov 2018,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2019",,Paperback,view,/book/show/45019949
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Изключителни учители за децата, растящи в бедност","Haberman, Martin",,9786199059524,,271        pp,3.79,98,"Jun 01, 1995",Mar 2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2019",,Paperback,view,/book/show/45019756
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Онзи в мен,"Shepard, Sam",,9786197350418,,220        pp,3.48,"1,131","Feb 17, 2017","Mar 26, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2019",,Paperback,view,/book/show/44641396
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Психология на тълпите,"Le Bon, Gustave",,9789548898362,,144        pp,3.83,"17,629",1895,2013,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 19, 2019",,Paperback,view,/book/show/20526319
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Отивам си е възвратен глагол,"Selasi, Taiye",,9786191864225,,372        pp,3.85,"11,749","Mar 05, 2013","Nov 23, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Jan 11, 2019",,Paperback,view,/book/show/42366553
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Becoming,"Obama, Michelle*",,,,426        pp,4.46,"1,047,740","Nov 13, 2018","Nov 13, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2019",,Hardcover,view,/book/show/38746485-becoming
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Educated,"Westover, Tara*",,,,352        pp,4.47,"1,525,717","Feb 20, 2018","Feb 20, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2019",,Hardcover,view,/book/show/35133922-educated
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shoe Dog: A Memoir by the Creator of Nike,"Knight, Phil",1501135910,9781501135910,1501135910,400        pp,4.47,"298,404","Apr 24, 2016","Apr 26, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2019",,Hardcover,view,/book/show/27220736-shoe-dog
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Measure What Matters,"Doerr, John",,,B078X4HKS9,299        pp,3.99,"32,388","Sep 05, 2017","Apr 24, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2019",,Kindle Edition,view,/book/show/39286958-measure-what-matters
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,4 приказки без връщане,"Букова, Яна",,9786191862917,,44        pp,3.89,46,2017,2017,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Jan 05, 2019not set","Jan 05, 2019not set","Jan 04, 2019",,Paperback,view,/book/show/33804867-4
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Балада за Георг Хених,"Paskov, Viktor",,9789542824039,,208        pp,4.59,"4,054","Sep 15, 1987",2017,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 01, 2019",,Hardcover,view,/book/show/36393730
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Аутопсия на една любов,"Paskov, Viktor",,9789542826750,,392        pp,3.96,"1,499",2005,2018,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 01, 2019",,Hardcover,view,/book/show/41183264
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Всеобща история на безчестието,"Borges, Jorge Luis",,9786190200116,,152        pp,3.91,"10,033",1935,"Apr 13, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Dec 29, 2018",,Paperback,view,/book/show/34674760
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Зулейха отваря очи,"Yakhina, Guzel",,9786190201236,,480        pp,4.40,"15,632","Feb 27, 2015","Dec 08, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 22, 2018",,Paperback,view,/book/show/36759809
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Езиковият инстинкт: Как умът създава езика,"Pinker, Steven*",,9789543213146,,592        pp,4.01,"21,709","Jan 01, 1994","Feb 09, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 22, 2018",,Hardcover,view,/book/show/17302426
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Щедрото дърво,"Silverstein, Shel",,9789549270822,,64        pp,4.38,"1,126,615",1964,"Dec 19, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 22, 2018",,Hardcover,view,/book/show/13261998
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,"Rosling, Hans",1250107814,9781250107817,1250107814,342        pp,4.36,"182,921","Apr 03, 2018","Apr 03, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2018",,Hardcover,view,/book/show/40933227-factfulness
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are","Stephens-Davidowitz, Seth*",0062390856,9780062390851,0062390856,338        pp,3.91,"40,300","May 09, 2017","May 09, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 07, 2018","Nov 25, 2018","Sep 07, 2018",,Hardcover,view,/book/show/28512671-everybody-lies
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Never Trust A Skinny Italian Chef,"Bottura, Massimo",0714867144,9780714867144,0714867144,296        pp,4.47,204,"Oct 06, 2014","Oct 06, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 02, 2018",,Hardcover,view,/book/show/22209663-never-trust-a-skinny-italian-chef
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Унтерщат,"Šojat, Ivana",,9786191611706,,384        pp,4.17,345,2009,2018,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 17, 2018",,Paperback,view,/book/show/40602354
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Завръщане,"Gyasi, Yaa*",,9786191710607,,416        pp,4.47,"341,232","Jun 07, 2016",2018,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 07, 2019","Dec 31, 2020","Jul 17, 2018",,Paperback,view,/book/show/40196735
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Смисълът на тревожността,"May, Rollo",,9786190102243,,536        pp,4.24,626,"Jan 01, 1977","Apr 12, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jun 10, 2018",,Paperback,view,/book/show/39709337
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Къде ми е шапката?,"Klassen, Jon",,9786197131345,,40        pp,4.35,"32,416","Sep 27, 2011",Jul 2017,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 06, 2018",,Paperback,view,/book/show/35683797
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Подземната железница,"Whitehead, Colson*",,9786197350265,,400        pp,4.06,"401,191","Aug 02, 2016","Jun 04, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 05, 2018",,Paperback,view,/book/show/40387431
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Камен и пиратите от 5Г,"Павлова, Елена*",,9786191514304,,288        pp,4.27,67,"Jun 01, 2018","Jun 01, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 04, 2018",,Paperback,view,/book/show/40380073-5
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Всичките наши тела,"Gospodinov, Georgi",,9786191864300,,148        pp,4.14,"1,643","May 24, 2018","May 24, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Jun 02, 2018",,Hardcover,view,/book/show/40103728
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Втора кожа,"Stoykova-Klemer, Katerina",,9786197153330,,80        pp,4.69,154,"Feb 10, 2018","Feb 10, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 30, 2018",,Paperback,view,/book/show/37939276
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Кедер,"Белева, Йорданка",,9786191863976,,94        pp,4.46,241,unknown,Jan 2018,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,2,"Mar 24, 2018not set","Mar 30, 2018not set","Mar 30, 2018",,Paperback,view,/book/show/38146521
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Независими сърца,"Foenkinos, David",,9789549490244,,128        pp,3.42,276,"Jan 01, 2006",2009,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 05, 2018","Mar 06, 2018",,Paperback,view,/book/show/11834646
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Щастливия принц,"Wilde, Oscar",,9786197350227,,40        pp,4.21,"34,134",May 1888,"Jan 30, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2018",,Paperback,view,/book/show/38311402
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Мъжка страна,"Matar, Hisham",,9786197153347,,280        pp,3.73,"6,733","Jan 01, 2006","Mar 15, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2018",,Paperback,view,/book/show/38232952
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let the Great World Spin,"McCann, Colum*",1400063736,9781400063734,1400063736,351        pp,3.95,"104,954","Jun 16, 2009","Jun 23, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Feb 11, 2018",,Hardcover,view,/book/show/5941033-let-the-great-world-spin
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Story: Substance, Structure, Style, and the Principles of Screenwriting","McKee, Robert",0060391685,9780060391683,0060391685,466        pp,4.28,"15,932",1997,"Nov 25, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2018",,Hardcover,view,/book/show/48654.Story
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Anatomy of Story: 22 Steps to Becoming a Master Storyteller,"Truby, John",0865479518,9780865479517,0865479518,445        pp,4.27,"6,406",2007,"Oct 30, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2018",,Hardcover,view,/book/show/1383168.The_Anatomy_of_Story
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Нашите раздели,"Foenkinos, David",,9786191507474,,200        pp,3.75,"2,018",2008,"Mar 21, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 06, 2018",,Paperback,view,/book/show/29494918
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Чуждестранният легион,"Lispector, Clarice",6191863888,9786191863884,,126        pp,4.16,926,Sep 1964,"Dec 21, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 02, 2018",,Paperback,view,/book/show/34946744
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Американският любовник,"Tremain, Rose",,9786197153316,,240        pp,3.66,"1,173","Dec 01, 2014","Dec 25, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2018",,Paperback,view,/book/show/36672018
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Земята вика майор Том,"Barnett, David M.",,9789547713888,,378        pp,4.12,"6,069","Jan 19, 2017",2017,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2018",,Paperback,view,/book/show/37120241
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Мама и аз и мама,"Angelou, Maya",,9786197350166,,176        pp,4.21,"25,449","Apr 02, 2013","Dec 05, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 01, 2018",,Paperback,view,/book/show/36595130
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Три ябълки паднаха от небето,"Abgaryan, Narine",,9786197055290,,200        pp,4.26,"13,735","Mar 16, 2015","May 20, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,not set,"Sep 17, 2017","Sep 23, 2017",,Paperback,view,/book/show/30217082
62,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Charlotte,"Foenkinos, David",,,,224        pp,4.33,"10,988","Jul 03, 2014","Aug 21, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Sep 22, 2017","Sep 23, 2017",,Paperback,view,/book/show/22819788-charlotte
63,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Висока облачност,"Стоянова, Оля",,9786191863358,,168        pp,3.86,65,"May 24, 2017",2017,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Най-хубавите разкази, които съм чела тази година.",Notes are private!,0,2,1,"Sep 24, 2017","Oct 07, 2017","Sep 13, 2017",,Paperback,view (with text),/book/show/35227922
64,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Promise of a Pencil: How an Ordinary Person Can Create Extraordinary Change,"Braun, Adam*",,,B00A285RC6,272        pp,4.13,"7,607","Mar 01, 2014","Mar 18, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 04, 2017",,Kindle Edition,view,/book/show/19598139-the-promise-of-a-pencil
65,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Плажът,"Garland, Alex",,,,280        pp,3.97,"87,490","Oct 14, 1996",1999,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 04, 2017",,Paperback,view,/book/show/18779143
