,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,"Debbie ""DJ""'s rating",my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Age of Enment: America Since the Sixties,"Caldwell, Christopher",1501106899,9781501106897,1501106899,352        pp,4.01,"1,317","Jan 21, 2020","Jan 21, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/52419341-the-age-of-entitlement
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Freshwater,"Emezi, Akwaeke*",0802127355,9780802127358,0802127355,229        pp,4.03,"31,621","Feb 13, 2018","Feb 13, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wow, I couldn’t put this book down! The writing! The story! It literally consumed me for three straight days as I tore through it. It tells a story frWow, I couldn’t put this book down! The writing! The story! It literally consumed me for three straight days as I tore through it. It tells a story from the perspective of a self splintered by trauma. The gods/spirits/deities that have taken hold to protect a young woman speak directly to us, the reader, and it’s simply mesmerizing. I don’t know how to describe it, so here’s a quote, “ We could not allow her terror because we would not allow a bridge between her and the past sections of her. We had separated them for a reason. Many things are better than a complete remembering; many things we do are a mercy.” I watched a clip of the author on The Daily Show, and am fascinated by her. She has such depth running through her. And what? She’s written 7 books in the past 4 years. Will definitely be reading more from this author!...more",Notes are private!,3,1,1,"Mar 26, 2024","Mar 29, 2024","Mar 25, 2024",,Hardcover,view (with text),/book/show/35412372-freshwater
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Powerful Hair: A Picture Book,"Lindstrom, Carole*",1419759434,9781419759437,1419759434,48        pp,4.56,849,"Mar 31, 2023","Mar 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Hardcover,view,/book/show/61783765-my-powerful-hair
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vulnerables,"Nunez, Sigrid",0593715519,9780593715512,0593715519,256        pp,3.66,"6,021","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Hardcover,view,/book/show/125930473-the-vulnerables
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fist & Fire: Poems that Inspire Action and Ignite Passion,"Honoré, Leslé",1389460851,9781389460852,1389460851,264        pp,4.72,32,"Oct 29, 2017","Oct 29, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Paperback,view,/book/show/36858961-fist-fire
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bandit Queens,"Shroff, Parini",059349895X,9780593498958,059349895X,342        pp,3.93,"30,861","Jan 03, 2023","Jan 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,DNF at 20%. Just not for me.,Notes are private!,0,4,1,"Mar 21, 2024","Mar 26, 2024","Mar 15, 2024",,Hardcover,view (with text),/book/show/61065982-the-bandit-queens
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Red Car,"Dermansky, Marcy*",1631493396,9781631493393,1631493396,224        pp,3.42,"2,842","Oct 16, 2016","Sep 12, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Paperback,view,/book/show/34082140-the-red-car
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Divide,"Henríquez, Cristina*",0063291320,9780063291324,0063291320,321        pp,3.76,"3,438","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Hardcover,view,/book/show/181110028-the-great-divide
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trashlands,"Stine, Alison*",,,B08QSCJ5S5,384        pp,3.66,"1,043","Oct 26, 2021","Oct 26, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Kindle Edition,view,/book/show/57669449-trashlands
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Olive, Again        (Olive Kitteridge, #2)","Strout, Elizabeth*",,,B07NCPLS2R,304        pp,4.11,"97,078","Oct 15, 2019",Nov 2022,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,2,"not setMar 14, 2024","Mar 20, 2024Mar 20, 2024","Mar 14, 2024",,Kindle Edition,view,/book/show/63343768-olive-again
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cobalt Red: How the Blood of the Congo Powers Our Lives,"Kara, Siddharth",1250284309,9781250284303,1250284309,288        pp,4.38,"6,489","Jan 31, 2023","Jan 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 28, 2024",,Hardcover,view,/book/show/60784614-cobalt-red
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How Can I Help You,"Sims, Laura*",059354370X,9780593543702,,256        pp,3.44,"9,732","Jul 18, 2023","Jul 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Hardcover,view,/book/show/60392079-how-can-i-help-you
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Under the Banyan Tree,"Dhillon, Raghbir",1453892346,9781453892343,1453892346,360        pp,4.07,212,"Nov 10, 2010","Nov 10, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Paperback,view,/book/show/10835498-under-the-banyan-tree
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,"Brown, Daniel James*",067002581X,9780670025817,067002581X,404        pp,4.39,"312,231","Jun 04, 2013","Jan 01, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Hardcover,view,/book/show/16158542-the-boys-in-the-boat
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Promise It Won't Always Hurt Like This: 18 Assurances on Grief,"Mackintosh, Clare*",1728281199,9781728281193,1728281199,224        pp,4.70,255,"Feb 02, 2023","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Paperback,view,/book/show/157020057-i-promise-it-won-t-always-hurt-like-this
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Redhead and the Slaughter King,"Falley, Megan",,9781938912450,1938912454,89        pp,4.46,197,"Oct 15, 2014","Oct 15, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Paperback,view,/book/show/18203289-redhead-and-the-slaughter-king
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How the Word Is Passed: A Reckoning with the History of Slavery Across America,"Smith, Clint*",0316492930,9780316492935,0316492930,336        pp,4.72,"33,081","Jun 01, 2021","Jun 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Hardcover,view,/book/show/55643287-how-the-word-is-passed
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No One Can Know,"Marshall, Kate Alice*",1250859913,9781250859914,1250859913,325        pp,3.72,"30,644","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2024",,Hardcover,view,/book/show/127305892-no-one-can-know
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Deeper the Water the Uglier the Fish,"Apekina, Katya*",1937512754,9781937512750,1937512754,353        pp,4.08,"4,631","Sep 18, 2018","Sep 18, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2024",,Paperback,view,/book/show/40663721-the-deeper-the-water-the-uglier-the-fish
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Two Women Walk into a Bar,"Strayed, Cheryl*",1662517920,9781662517921,B0CHK4W8CM,31        pp,4.09,"13,632",unknown,"Jan 01, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,not set,"Jan 19, 2024","Jan 14, 2024",,Kindle Edition,view,/book/show/198712875-two-women-walk-into-a-bar
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Drive Your Plow Over the Bones of the Dead,"Tokarczuk, Olga",,,B07KNV4RC3,275        pp,3.96,"100,271","Nov 25, 2009","Aug 13, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Kindle Edition,view,/book/show/42946966-drive-your-plow-over-the-bones-of-the-dead
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Society of Shame,"Roper, Jane*",0593468767,9780593468760,0593468767,352        pp,3.33,"2,390","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2024",,Hardcover,view,/book/show/61282523-the-society-of-shame
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hello Beautiful,"Napolitano, Ann*",,,B0B7R4Q5DJ,416        pp,4.18,"297,347","Mar 14, 2023","Mar 14, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,not set,"Feb 03, 2024","Dec 29, 2023",,Kindle Edition,view,/book/show/61771675-hello-beautiful
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Solace of Monsters,"Blauner, Laurie*",193524888X,9781935248880,193524888X,200        pp,4.10,31,unknown,"Oct 18, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 28, 2023",,Paperback,view,/book/show/29363270-the-solace-of-monsters
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Husband,"Ventura, Maud",0063274825,9780063274822,0063274825,272        pp,3.69,"18,517","Aug 19, 2021","Jul 11, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I enjoyed the ride! The main character says she’s still in love with her husband after many years. Well…maybe not so much love as obsession. I love beI enjoyed the ride! The main character says she’s still in love with her husband after many years. Well…maybe not so much love as obsession. I love being inside someone’s head and that’s what this read gave me. We can all make up stories about someone or something in our head, or at least I know I can. This takes those stories to an extreme and all I could do was watch with my mouth open!The ending was quite a surprise, but I’ve read a few thrillers with similar endings, so not as original as I’d hoped. Still, a fantastic read!...more",Notes are private!,3,6,1,"Dec 27, 2023","Jan 20, 2024","Dec 27, 2023",,Hardcover,view (with text),/book/show/63017297-my-husband
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Weyward,"Hart, Emilia",125028080X,9781250280800,125028080X,329        pp,4.09,"139,813","Feb 02, 2023","Mar 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 26, 2023",,Hardcover,view,/book/show/60654349-weyward
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seven Husbands of Evelyn Hugo,"Reid, Taylor Jenkins*",1501139231,9781501139239,1501139231,389        pp,4.42,"3,001,352","Jun 13, 2017","Jun 13, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 25, 2023",,Hardcover,view,/book/show/32620332-the-seven-husbands-of-evelyn-hugo
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bright Young Women,"Knoll, Jessica*",1501153226,9781501153228,1501153226,384        pp,4.03,"86,891","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 25, 2023",,Hardcover,view,/book/show/101124639-bright-young-women
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The First Bad Man,"July, Miranda*",1439172560,9781439172568,1439172560,288        pp,3.64,"28,664","Jan 13, 2015","Jan 13, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 23, 2023",,Hardcover,view,/book/show/21412400-the-first-bad-man
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,2023 on Goodreads,Various,,,,unknown,4.12,"1,420",2023,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 22, 2023",,,view,/book/show/62316199-2023-on-goodreads
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ms. Demeanor,"Lipman, Elinor*",0358677882,9780358677888,0358677882,304        pp,3.47,"11,132","Dec 27, 2022","Jan 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 21, 2023",,Paperback,view,/book/show/60839440-ms-demeanor
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ripe,"Etter, Sarah Rose*",1668011638,9781668011638,1668011638,288        pp,3.66,"13,156","Jul 11, 2023","Jul 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 21, 2023",,Hardcover,view,/book/show/62919394-ripe
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Guest,"Cline, Emma",0812998626,9780812998627,,304        pp,3.32,"64,847","May 16, 2023","May 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 21, 2023",,Hardcover,view,/book/show/61986136-the-guest
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dear Edward,"Napolitano, Ann*",198485478X,9781984854780,198485478X,340        pp,4.08,"179,400","Jan 06, 2020","Jan 06, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 20, 2023",,Hardcover,view,/book/show/45294613-dear-edward
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bunny,"Awad, Mona*",0525559752,9780525559757,0525559752,305        pp,3.52,"190,848","Jun 11, 2019","Jun 09, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 19, 2023",,Paperback,view,/book/show/53285047-bunny
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Mercies,"Lehane, Dennis*",,,B0B7NDZNDV,320        pp,4.31,"43,552","Apr 25, 2023","Apr 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 16, 2023",,Kindle Edition,view,/book/show/61468872-small-mercies
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Underworld: Journeys to the Depths of the Ocean,"Casey, Susan",0385545576,9780385545570,0385545576,352        pp,4.25,"2,098","Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 15, 2023",,Hardcover,view,/book/show/63241875-the-underworld
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heat Will Kill You First: Life and Death on a Scorched Planet,"Goodell, Jeff*",0316497576,9780316497572,0316497576,400        pp,4.32,"4,829","Jul 11, 2023","Jul 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 15, 2023",,Hardcover,view,/book/show/63251778-the-heat-will-kill-you-first
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Drive Here and Devastate Me,"Falley, Megan",1938912861,9781938912863,1938912861,100        pp,4.51,576,"Sep 15, 2018","Sep 26, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I listen to a Podcast called “We Can do Hard Things,” and Megan Falley and her partner Andrea Gibson were featured on one of the episodes. I listened I listen to a Podcast called “We Can do Hard Things,” and Megan Falley and her partner Andrea Gibson were featured on one of the episodes. I listened to their love story, and Andrea’s journey with terminal cancer. Towards the end, they both read each other a poem, and I had to pick myself up off the floor when they were finished! Seriously in tears…what, me?! Needless to say I knew I had to pick up one of their poetry books, and this one did not disappoint. It’s not big word, breathy poetry, it just puts simple words to emotions that are raw and deeply felt. I wanted to savor each poem, but I couldn’t stop myself from reading the next. So now I’ve read them all three times, and I know I’ll keep going back. It’s been a long time since I’ve read poetry, just wow!...more",Notes are private!,2,9,1,"Dec 13, 2023","Feb 07, 2024","Dec 13, 2023",,Paperback,view (with text),/book/show/39398593-drive-here-and-devastate-me
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Memory of Animals,"Fuller, Claire*",1953534872,9781953534873,1953534872,278        pp,3.62,"3,249","Apr 20, 2023","Jun 06, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,Feb 2023,"Dec 08, 2023",,Hardcover,view,/book/show/62972519-the-memory-of-animals
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Aroused: The History of Hormones and How They Control Just About Everything,"Epstein, Randi Hutter",0393357082,9780393357080,0393357082,336        pp,3.93,"1,691","Jun 26, 2018","Jun 18, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2023",,Paperback,view,/book/show/41817500-aroused
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Invisible Women: Data Bias in a World Designed for Men,"Criado Pérez, Caroline",1419729071,9781419729072,1419729071,448        pp,4.35,"117,281","Mar 07, 2019","Mar 12, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2023",,Hardcover,view,/book/show/41104077-invisible-women
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Under Alien Skies: A Sightseer's Guide to the Universe,"Plait, Philip*",0393867307,9780393867305,,336        pp,4.27,891,"Apr 18, 2023","Apr 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2023",,Hardcover,view,/book/show/61089455-under-alien-skies
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"We Are Electric: Inside the 200-Year Hunt for Our Body's Bioelectric Code, and What the Future Holds","Adee, Sally",0306826623,9780306826627,0306826623,352        pp,4.11,612,unknown,"Feb 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2023",,Hardcover,view,/book/show/61237010-we-are-electric
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,None of This Is True,"Jewell, Lisa*",1982179007,9781982179007,1982179007,380        pp,4.15,"425,194","Jul 20, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2023",,Hardcover,view,/book/show/62334530-none-of-this-is-true
