,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lynsi's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,"Kondo, Marie*",1607747308,9781607747307,1607747308,213        pp,3.87,"365,506","Dec 27, 2010","Oct 14, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 14, 2024","Mar 15, 2024","Mar 14, 2024",,Hardcover,view,/book/show/22318578-the-life-changing-magic-of-tidying-up
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Good to Great: Why Some Companies Make the Leap... and Others Don't,"Collins, James C.",0066620996,9780066620992,0066620996,300        pp,4.14,"219,821","Nov 01, 2001","Oct 16, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 07, 2024","Mar 17, 2024","Mar 07, 2024",,Hardcover,view,/book/show/76865.Good_to_Great
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Never Split the Difference: Negotiating as if Your Life Depended on It,"Voss, Chris*",1847941494,9781847941497,1847941494,288        pp,4.36,"158,370","May 17, 2016",Mar 2023,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 07, 2024","Mar 09, 2024","Mar 07, 2024",,Paperback,view,/book/show/123857637-never-split-the-difference
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What I Was Doing While You Were Breeding,"Newman, Kristin*",0804137609,9780804137607,0804137609,291        pp,3.86,"21,387","May 20, 2014","May 20, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Paperback,view,/book/show/18373272-what-i-was-doing-while-you-were-breeding
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Outlive: The Science and Art of Longevity,"Attia, Peter",0593236599,9780593236598,0593236599,496        pp,4.39,"44,343","Mar 28, 2023","Mar 28, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 02, 2024","Mar 06, 2024","Mar 02, 2024",,Hardcover,view,/book/show/61153739-outlive
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam","Armstrong, Karen",0517223120,9780517223123,0517223120,496        pp,3.88,"49,732",1993,"Mar 02, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Hardcover,view,/book/show/3873.A_History_of_God
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Infinite Game,"Sinek, Simon*",073521350X,9780735213500,073521350X,251        pp,4.17,"23,643","Oct 15, 2019","Oct 15, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Hardcover,view,/book/show/38390751-the-infinite-game
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Thing He Told Me,"Dave, Laura*",,,,320        pp,3.84,"941,357","May 04, 2021","May 04, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 20, 2024","Feb 20, 2024","Feb 20, 2024",,Hardcover,view,/book/show/54981009-the-last-thing-he-told-me
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Awe: The New Science of Everyday Wonder and How It Can Transform Your Life,"Keltner, Dacher",1984879685,9781984879684,1984879685,336        pp,3.64,"2,490","Jan 03, 2023","Jan 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/62352297-awe
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Art of Thinking Clearly,"Dobelli, Rolf",0062219685,9780062219688,,384        pp,3.85,"35,351",2011,"May 14, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 23, 2024",,Hardcover,view,/book/show/16248196-the-art-of-thinking-clearly
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Center Cannot Hold: My Journey Through Madness,"Saks, Elyn R.",140130138X,9781401301385,140130138X,340        pp,4.30,"19,686","Aug 14, 2007","Aug 14, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Hardcover,view,/book/show/1098486.The_Center_Cannot_Hold
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gift of Fear: Survival Signals That Protect Us from Violence,"Becker, Gavin de",0747538352,9780747538356,0747538352,352        pp,4.18,"43,540","Jan 01, 1997",Jul 2000,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Paperback,view,/book/show/56465.The_Gift_of_Fear
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ejaculate Responsibly: A Whole New Way to Think About Abortion,"Blair, Gabrielle Stanley",1523523182,9781523523184,1523523182,137        pp,4.52,"7,205","Oct 04, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Paperback,view,/book/show/61278539-ejaculate-responsibly
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lowland,"Lahiri, Jhumpa",0307265749,9780307265746,0307265749,340        pp,3.87,"93,353","Sep 24, 2013","Sep 24, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 23, 2023","Jan 06, 2024","Dec 23, 2023",,Hardcover,view,/book/show/17262100-the-lowland
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The School of Life: An Emotional Education,"de Botton, Alain*",0241382327,9780241382325,0241382327,310        pp,4.25,"7,228","Sep 05, 2019","Sep 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 08, 2023",,Paperback,view,/book/show/43264830-the-school-of-life
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Namesake,"Lahiri, Jhumpa",0618485228,9780618485222,0965141667,291        pp,4.01,"269,644","Sep 16, 2003","Jan 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 08, 2023",,Paperback,view,/book/show/33917.The_Namesake
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Look Me in the Eye,"Robison, John Elder*",0307395987,9780307395986,0307395987,288        pp,3.92,"67,696","Sep 25, 2007","Sep 25, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 03, 2023","Dec 23, 2023","Dec 03, 2023",,Hardcover,view,/book/show/454856.Look_Me_in_the_Eye
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The House of Gucci: A Sensational Story of Murder, Madness, Glamour, and Greed","Forden, Sara Gay",0060937750,9780060937751,0060937750,288        pp,3.44,"14,992",2000,"Oct 09, 2001",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 03, 2023","Dec 09, 2023","Dec 03, 2023",,Paperback,view,/book/show/61013.The_House_of_Gucci
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Battle Royale,"Takami, Koushun",156931778X,9781569317785,156931778X,624        pp,4.26,"75,803","Apr 21, 1999","Feb 26, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Paperback,view,/book/show/57891.Battle_Royale
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin","Larson, Erik*",0307408841,9780307408846,0307408841,448        pp,3.88,"201,632","May 10, 2011","May 10, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Hardcover,view,/book/show/9938498-in-the-garden-of-beasts
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","Larson, Erik*",0609608444,9780609608449,0609608444,447        pp,4.00,"682,624","Feb 11, 2003","Feb 11, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Hardcover,view,/book/show/397483.The_Devil_in_the_White_City
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Court of Thorns and Roses        (A Court of Thorns and Roses, #1)","Maas, Sarah J.*",1635575567,9781635575569,1635575567,419        pp,4.20,"2,491,613","May 05, 2015","Jun 02, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,1,1,1,"Nov 24, 2023","Dec 03, 2023","Nov 24, 2023",,Paperback,view,/book/show/50659467-a-court-of-thorns-and-roses
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Range: Why Generalists Triumph in a Specialized World,"Epstein, David*",0735214484,9780735214484,0735214484,352        pp,4.14,"67,783","May 28, 2019","May 28, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Nov 23, 2023","Dec 02, 2023","Nov 23, 2023",,Hardcover,view,/book/show/41795733-range
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Traction: A Startup Guide to Getting Customers,"Weinberg, Gabriel*",0976339609,9780976339601,0976339609,288        pp,4.12,"9,348","Aug 23, 2014","Aug 26, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2023",,Hardcover,view,/book/show/22091581-traction
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How Yoga Works,"Roach, Geshe Michael*",,,B088JPB8V5,415        pp,4.23,"2,500","Jan 09, 2004","Sep 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 24, 2023",,Kindle Edition,view,/book/show/53893322-how-yoga-works
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A New Earth: Awakening to Your Life's Purpose,"Tolle, Eckhart",0452287588,9780452287587,0452287588,316        pp,4.15,"200,685",2005,"Aug 29, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 24, 2023",,Paperback,view,/book/show/76334.A_New_Earth
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Apeirogon,"McCann, Colum*",030787804X,9780307878045,030787804X,15        pp,4.25,"21,707","Feb 25, 2020","Feb 25, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Oct 24, 2023","Nov 12, 2023","Oct 24, 2023",,Audio CD,view,/book/show/50732671-apeirogon
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Power to the Middle: Why Managers Hold the Keys to the Future of Work,"Schaninger, Bill",1647824850,9781647824853,1647824850,256        pp,3.83,94,unknown,"Jul 18, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Oct 12, 2023","Oct 22, 2023","Oct 12, 2023",,Hardcover,view,/book/show/121227044-power-to-the-middle
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One More Thing: Stories and Other Stories,"Novak, B.J.*",0385351836,9780385351836,0385351836,288        pp,3.67,"49,553","Feb 04, 2014","Feb 04, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I picked this up on my way to visit some of my friends in a nursing home with the hope of reading it to them. I quickly discovered this is not an apprI picked this up on my way to visit some of my friends in a nursing home with the hope of reading it to them. I quickly discovered this is not an appropriate book for that.Some of his stories I thought were pretty off the wall. I continuously thought, “where is this going?” Though some were deeply philosophical just illustrated through a funny story.I think the acknowledgments and discussion questions were some of the best parts....more",Notes are private!,0,1,1,"Oct 10, 2023","Oct 12, 2023","Oct 10, 2023",,Hardcover,view (with text),/book/show/18007533-one-more-thing
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Scarlet Letter,"Hawthorne, Nathaniel",0142437263,9780142437261,0142437263,279        pp,3.43,"865,277","Mar 16, 1850","Dec 31, 2002",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 stars. I find classics easier to listen to than read. I must confess, I had to spark notes a few sections to make sure I was understanding everyth3.5 stars. I find classics easier to listen to than read. I must confess, I had to spark notes a few sections to make sure I was understanding everything correctly. Couldn’t love the moral dilemmas more but could do without the super long introduction. Delightfully surprised Hester Prynne’s character was written by a man....more",Notes are private!,0,2,1,"Oct 07, 2023","Oct 10, 2023","Oct 07, 2023",,Paperback,view (with text),/book/show/12296.The_Scarlet_Letter
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Only Dull People Are Brilliant at Breakfast,"Wilde, Oscar",,,B017F6443K,60        pp,3.93,"13,377","Mar 03, 2016","Mar 03, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 17, 2023",,Kindle Edition,view,/book/show/29081916-only-dull-people-are-brilliant-at-breakfast
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What Got You Here Won't Get You There,"Goldsmith, Marshall*",,9781781251560,1781251568,256        pp,3.96,"29,269","Dec 28, 2006","Feb 01, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 08, 2023",,Paperback,view,/book/show/84525.What_Got_You_Here_Won_t_Get_You_There
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crying in H Mart,"Zauner, Michelle",0525657746,9780525657743,0525657746,256        pp,4.27,"417,233","Apr 20, 2021","Apr 20, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Despite loosely knowing this book was about someone grieving her mother’s death, I was surprised how horribly sad this was. Grateful to be finished wiDespite loosely knowing this book was about someone grieving her mother’s death, I was surprised how horribly sad this was. Grateful to be finished with it not because it wasn’t good, but so that the lump in my throat from sadness could go away. Four stars because it left something to be desired. I’m a poor critic because I don’t know what that is.“I hadn’t believed in God, since I was about 10 and still envisioned Mr. Rogers, when I prayed, but the years that followed, my mother’s passing were suspiciously charmed. I have been playing in band since I was 16 dreamt of succeeding as an artist practically my whole life as an American. I felt entitled to it in spite of my mothers aggrieved for warnings. I had fought for that dream thanklessly for eight long years, and only after she died to things, as if magically begin to happen.”...more",Notes are private!,0,4,1,"Sep 04, 2023","Sep 17, 2023","Sep 04, 2023",,Hardcover,view (with text),/book/show/54814676-crying-in-h-mart
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pride and Prejudice,"Austen, Jane",,,,279        pp,4.29,"4,269,297","Jan 28, 1813","Oct 10, 2000",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I can’t lie, it’s good. Social commentary still relevant today!",Notes are private!,0,2,1,"Sep 02, 2023","Sep 08, 2023","Sep 02, 2023",,Paperback,view (with text),/book/show/1885.Pride_and_Prejudice
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"You Think It, I'll Say It","Sittenfeld, Curtis*",1473552621,9781473552623,1473552621,256        pp,3.65,"40,680","Feb 06, 2017","May 03, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 26, 2023",,ebook,view,/book/show/35961720-you-think-it-i-ll-say-it
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The God of Small Things,"Roy, Arundhati*",0679457313,9780679457312,B006E58GFG,321        pp,3.95,"298,006",Apr 1997,1997,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 19, 2023",,Paperback,view,/book/show/9777.The_God_of_Small_Things
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Babel,"Kuang, R.F.*",0063021420,9780063021426,0063021420,544        pp,4.20,"218,540","Aug 23, 2022","Aug 23, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 17, 2023",,Hardcover,view,/book/show/57945316-babel
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Chosen        (Reuven Malther, #1)","Potok, Chaim",0449213447,9780449213445,0449213447,304        pp,4.07,"93,399",1966,"Apr 12, 1987",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was a slow read where the problem wasn’t presented abruptly but unraveled as it went on. It made me think how popular fiction books written now hThis was a slow read where the problem wasn’t presented abruptly but unraveled as it went on. It made me think how popular fiction books written now have more action and changing plot lines to keep the attention of the reader, whereas older books seem slower, maybe mirroring the societies of the time. This made me want to learn more about the Jewish religion. Character arcs 10/10....more",Notes are private!,0,1,1,"Aug 13, 2023","Sep 04, 2023","Aug 13, 2023",,Mass Market Paperback,view (with text),/book/show/187181.The_Chosen
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love,"Levine, Amir",1585428485,9781585428489,1585428485,304        pp,4.15,"86,829","Dec 30, 2010","Dec 30, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This came highly recommended and kept me engaged. I think the frameworks are valid but not gospel. This gave me lots to think about.,Notes are private!,0,3,1,"Aug 11, 2023","Aug 12, 2023","Aug 11, 2023",,Hardcover,view (with text),/book/show/9547888-attached
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"From Strength to Strength: Finding Success, Happiness, and Deep Purpose in the Second Half of Life","Brooks, Arthur C.",,,B08WCKY8MB,270        pp,3.94,"10,345",unknown,"Feb 15, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I saw Arthur Brooks give a talk in 2020 before the pandemic that I still think about today. I bet I will think about this book less. Essentially this I saw Arthur Brooks give a talk in 2020 before the pandemic that I still think about today. I bet I will think about this book less. Essentially this book is about retirement which I think gave me perspective now. I appreciated his nods to Buddhism, stoicism, and Christianity in it. My favorite line came from him quoting Stephen Colbert about the death of his father and brothers in a plane accident at age 10. (I learned to) “love the thing that I most wish had not happened. It’s a gift to exist and with that existence come suffering. I don’t want it to have happened, but if you are grateful for your life then you have to be grateful for all of it.”...more",Notes are private!,0,1,1,"Aug 10, 2023","Aug 10, 2023","Aug 10, 2023",,Kindle Edition,view (with text),/book/show/58100575-from-strength-to-strength
