,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jason's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hollow Places,"Kingfisher, T.",1534451129,9781534451124,1534451129,337        pp,3.80,"34,561","Oct 06, 2020","Oct 06, 2020",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is what passes for a good book these days? This story is something I would expect from a somewhat creative high school student. It's precocious, This is what passes for a good book these days? This story is something I would expect from a somewhat creative high school student. It's precocious, fun, light, and extremely amateur. This is the second book I've picked up at random at the book store that has been very disappointing. ""Ordinary Monsters"" was the first. And I have to lay the blame squarely on the blurbsters on the cover. Publishers Weekly. Cherie Priest. Chuck Wendigo. Freaking shame on all of you for crap-weasling your way through these blurbs. This book does not suck. But it's certainly not one I would recommend to anyone. ...more",Notes are private!,0,1,0,not set,not set,"Sep 20, 2023",,Paperback,view (with text),/book/show/50892288-the-hollow-places
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Cibola Burn        (The Expanse, #4)","Corey, James S.A.*",,,,581        pp,4.22,"106,918","Jun 17, 2014","Jun 17, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 15, 2023",,Hardcover,view,/book/show/18656030-cibola-burn
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Abaddon's Gate        (The Expanse, #3)","Corey, James S.A.*",,,0316129070,539        pp,4.27,"130,351","Jun 04, 2013","Jun 04, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 15, 2023",,Paperback,view,/book/show/16131032-abaddon-s-gate
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fall; or, Dodge in Hell        (Crypto, #3)","Stephenson, Neal*",006245871X,9780062458711,006245871X,883        pp,3.58,"18,523","Jun 04, 2019","Jun 04, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Hardcover,view,/book/show/41824495-fall-or-dodge-in-hell
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ordinary Monsters        (The Talents Trilogy #1),"Miro, J.M.",1250833663,9781250833662,1250833663,672        pp,3.79,"15,282","Jun 07, 2022","Jun 07, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"At page 71 I was already doing mighty battle with the derivative hordes contained within these pages. This book is like a motif collage of popular youAt page 71 I was already doing mighty battle with the derivative hordes contained within these pages. This book is like a motif collage of popular young adult story ideas: Super powered children. A shadowy academy/institute searching them out for shadowy purposes. The anti-feminine strong female lead. An (overwrought) High Gothic atmosphere. The shadowy pseudo-villainous figure pursuing the children for shadowy purposes. This is all fine and good if the story is strong enough to override the clichés. So far, this one is not. The back of the book has a statement: ""Charles Dickens meets Joss Whedon in Miro's otherworldly Netflix-binge-like novel."" Credited to the Washington Post, not to the journalist who penned it. I agree with that notion in part. The Whedon bit is obvious. As is the Dickens, but not in the way the er or the author would have us think. Whedon is undoubtedly a fine writer, however he is given to his own peculiar set of narrative patterns. Who knows if he would ever have grown beyond them, given his career has imploded, exploded, polyploded into little Whedon bits. I guess the guy was a massive gonad. It's a shame that people who are so good at things can be such ramrods. This story is at best derivative of Whedon's patterns, and at worst a blatant pattern snatch. You could be fooled into thinking Miro was a Nome de Plume of Whedon, but the dialogue is not nearly good enough. Nor are the characters. There is no charm here unfortunately. And Whedon could layer on the charm like spackle. As far as the Dickens bit goes, it is largely the same. Dickensian patterns have been aped to achieve a narrative end, but the strength and maturity of Dickens is not here. This is how Whedon and Dickens would write if they both had suffered lead poisoning as children. I was, as I very often am, attracted to this novel by the title, the graphic design, and the heft of it. Not the finest well honed criteria for choosing novels, but it has worked wildly well for me in general. I could list a great many books chosen under these circumstances that now hold permanent residency in my soul. The premise of super powered children and the academy/institute that seeks them out is relentlessly cliched and boring at this point. The Umbrella Academy and The Checquy Files represent all that ever needs to be said on this subject. Please no more....more",Notes are private!,0,0,1,"Aug 09, 2023","Aug 13, 2023","Aug 12, 2023",,Hardcover,view (with text),/book/show/58725025-ordinary-monsters
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Caliban's War        (Expanse, #2)","Corey, James S.A.*",,,B005SCRR1A,583        pp,4.38,"154,073","Jun 07, 2012","Jun 26, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 04, 2023","Jan 04, 2023",,Kindle Edition,view,/book/show/18142735-caliban-s-war
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Leviathan Wakes        (The Expanse, #1)","Corey, James S.A.*",1841499889,9781841499888,1841499889,592        pp,4.30,"267,317","Jun 02, 2011","Jun 02, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Awesome. Loved it. Hard to believe they made it into a TV series that wasn't a total smash hit. I never watched it. But I'm glad I read the book. EnjoAwesome. Loved it. Hard to believe they made it into a TV series that wasn't a total smash hit. I never watched it. But I'm glad I read the book. Enjoyed every page. I'm in for the next volume....more,Notes are private!,0,0,1,not set,not set,"Dec 03, 2022",,Paperback,view (with text),/book/show/8855321-leviathan-wakes
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Silkworm        (Cormoran Strike, #2)","Galbraith, Robert",0316206873,9780316206877,0316206873,464        pp,4.05,"269,626","Jun 19, 2014","Jun 19, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,It was OK. I enjoyed it. It was not as good as I thought it would be.,Notes are private!,0,0,1,not set,not set,"Nov 01, 2022",,Hardcover,view (with text),/book/show/18214414-the-silkworm
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Silent Patient,"Michaelides, Alex*",1250301696,9781250301697,1250301696,336        pp,4.18,"2,167,404",2018,"Feb 05, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** I’ve been having bad luck with random picks lately. I didn’t like the last book in read and I did not like this one. Boo. Boring. Tu**spoiler alert** I’ve been having bad luck with random picks lately. I didn’t like the last book in read and I did not like this one. Boo. Boring. Turgid. Derivative of The Murder of Roger Ackroyd. Silly plot twist. And in the end, why did he kill her? What was the point of that? Why go through the whole thing? Why seek her out to “treat” her? Lame. ...more",Notes are private!,0,0,1,"Jun 27, 2022","Jul 09, 2022","Jul 09, 2022",,Hardcover,view (with text),/book/show/40097951-the-silent-patient
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wolf        (Under the Northern Sky, #1)","Carew, Leo*",031652137X,9780316521376,031652137X,465        pp,3.88,"3,561","Apr 03, 2018","Apr 03, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I probably would have loved this book as a teenager. But it suffers from the same issue as a great many other fantasy stories; it’s been written alreaI probably would have loved this book as a teenager. But it suffers from the same issue as a great many other fantasy stories; it’s been written already. Like 1000 times. Predictable, interchangeable characters, plot lines, settings, historicity, and worst of all, dialogue. Am I at a place in my life where I do not want to read a book set in a (chronologically very distant) fictionalized pseudo-European past, where the characters repeatedly use a word like “protégé”….?Nope. I just don’t. The next two books in the series will unfortunately remain unread ...more",Notes are private!,0,0,1,Jul 2022,"Jul 03, 2022","Jul 03, 2022",,Paperback,view (with text),/book/show/35838138-the-wolf
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Whereabouts,"Lahiri, Jhumpa",0593312082,9780593312087,0593312082,176        pp,3.77,"29,428","Aug 30, 2018","Mar 29, 2022",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I hate it when writers I love publish what is essentially an essay as a novel. This is very very short. Sold at the price of a novel? Boo.,Notes are private!,0,0,1,not set,not set,"Jun 27, 2022",,Paperback,view (with text),/book/show/58735026-whereabouts
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Complete Works of William Shakespeare        (37 plays, 160 sonnets and 5 Poetry Books With Active Table of Contents)","Shakespeare, William",882284176X,9788822841766,B01LVXXQXW,93        pp,4.48,"55,339",1623,"Sep 09, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2022",,Kindle Edition,view,/book/show/31935106-the-complete-works-of-william-shakespeare
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Witching Hour        (Lives of the Mayfair Witches, #1)","Rice, Anne",,,,"1,038        pp",4.10,"117,502","Oct 01, 1990",May 1993,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 16, 2021","Aug 12, 2023","Dec 16, 2021",,Mass Market Paperback,view,/book/show/119089.The_Witching_Hour
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Eye of the World        (The Wheel of Time #1),"Jordan, Robert",,,,753        pp,4.19,"531,295","Jan 15, 1990","Oct 24, 2009",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Terrible. Hated it. I’m sure I would have liked it just fine 40 years ago when I hadn’t read 100 other stories just like it, but better. Sorry to the Terrible. Hated it. I’m sure I would have liked it just fine 40 years ago when I hadn’t read 100 other stories just like it, but better. Sorry to the people who love this. But I’m more inclined to read N. K. Jemesin or Stephen Erickson. Writers who have a unique voice. ...more",Notes are private!,0,1,1,"Dec 08, 2021","Dec 16, 2021","Dec 08, 2021",,Kindle Edition,view (with text),/book/show/59695557-the-eye-of-the-world
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Demon-Haunted World: Science as a Candle in the Dark,"Sagan, Carl",0345409469,9780345409461,0345409469,459        pp,4.29,"73,486","Feb 01, 1996","Feb 25, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 27, 2021",,Paperback,view,/book/show/17349.The_Demon_Haunted_World
