,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Paltia's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gina,"Climent, Maria",841200695X,9788412006957,841200695X,184        pp,4.06,"1,376",2019,2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2020",,Paperback,view,/book/show/52106885-gina
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Aviator,"Vodolazkin, Yevgeniy",1983433527,9781983433528,1983433527,228        pp,3.96,56,unknown,"Dec 30, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2020",,Paperback,view,/book/show/38469817-aviator
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Train Dreams,"Johnson, Denis",1250007658,9781250007650,1250007658,116        pp,3.90,"23,994",2002,"May 22, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"As the 20th century begins a young boy, Grainier, travels to his new home by train. His life story is told in 116 pages of the most gentle writing thaAs the 20th century begins a young boy, Grainier, travels to his new home by train. His life story is told in 116 pages of the most gentle writing that lifts the words right off the page and slowly into your heart. As the train whistle fades in the valley Grainier now a man he visited by dreams - his train dreams. Who was he then? At home with the wolves, coyotes and creatures of the hunt. Gentle, strong and patiently alive in the spirit of nature. He shares his knowing and skills while letting others go their way. Always he holds his mind open for when the spirits of those he lost return to him. He believes in what they tell him and so he remains alone, in the house he builds in the valley, waiting. A simply told beautiful story....more",Notes are private!,0,73,1,"Jan 18, 2020","Jan 18, 2020","Jan 10, 2020",,Paperback,view (with text),/book/show/12991188-train-dreams
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Wish Someone Were Waiting for Me Somewhere,"Gavalda, Anna",1573223557,9781573223553,1573223557,208        pp,3.51,"12,679",1999,"Dec 02, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2020",,Paperback,view,/book/show/47776.I_Wish_Someone_Were_Waiting_for_Me_Somewhere
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bridge,"Gandolfo, Enza*",1925713016,9781925713015,1925713016,384        pp,3.91,648,unknown,"May 14, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2020",,Paperback,view,/book/show/39222290-the-bridge
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To the River: Losing My Brother,"Gillmor, Don",0345814665,9780345814661,0345814665,272        pp,4.04,276,"Dec 31, 2018","Dec 31, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2020",,Hardcover,view,/book/show/40749219-to-the-river
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heartbeat of Wounded Knee: Native America from 1890 to the Present,"Treuer, David*",,,,526        pp,4.23,"5,905","Jan 22, 2019","Jan 22, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2020",,Kindle Edition,view,/book/show/36620482-the-heartbeat-of-wounded-knee
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Seven Fallen Feathers: Racism, Death, and Hard Truths in a Northern City","Talaga, Tanya",1487002262,9781487002268,1487002262,384        pp,4.53,"12,581","Sep 30, 2017","Sep 30, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A harrowing heart stopping history of the still unfolding betrayals against indigenous people. Seven Fallen Feathers brings the covered up history of A harrowing heart stopping history of the still unfolding betrayals against indigenous people. Seven Fallen Feathers brings the covered up history of repeated injustice and mistreatment into the light. Time after time First Nation people have gone through the experience of being uprooted against their will. They know the grief of losing their homes, sacred places, ancestor’s graves and their children. An enduring book that reminds one of the necessity of standing united and strong in resistance against oppression and injustice. Please read Taylor’s fine  as there is not much more I could add....more",Notes are private!,0,12,1,"Jan 08, 2020","Jan 10, 2020","Jan 08, 2020",,Paperback,view (with text),/book/show/33154545-seven-fallen-feathers
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Soon,"Murphy, Lois",0995409803,9780995409804,0995409803,288        pp,3.64,"1,469","Oct 01, 2017","Oct 01, 2017",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This was an okay read. Nothing particularly new or frightening here. There are a few well written sections but they didn’t salvage the overall story fThis was an okay read. Nothing particularly new or frightening here. There are a few well written sections but they didn’t salvage the overall story for me. ...more,Notes are private!,0,20,1,"Jan 07, 2020","Jan 11, 2020","Jan 07, 2020",,Paperback,view (with text),/book/show/35535296-soon
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Abra,"Barfoot, Joan",0140096620,9780140096620,0140096620,199        pp,4.28,186,1978,"Aug 05, 1987",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2020",,Paperback,view,/book/show/2522985.Abra
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Golden Hill,"Spufford, Francis*",0571225195,9780571225194,0571225195,344        pp,3.79,"13,136","Jun 02, 2016","Jun 02, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2020",,Hardcover,view,/book/show/13732457-golden-hill
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Swan Green,"Mitchell, David",,,,384        pp,3.97,"42,037","Apr 11, 2006","Apr 02, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 21, 2020",not set,"Jan 06, 2020",,Paperback,view,/book/show/25870997-black-swan-green
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rip,"Brandi, Mark*",0733641121,9780733641121,0733641121,272        pp,3.80,"1,821","Feb 26, 2019","Feb 26, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2020",,Paperback,view,/book/show/41841167-the-rip
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tradition,"Brown, Jericho",1556594860,9781556594861,1556594860,77        pp,4.24,"9,055","Apr 02, 2019","Apr 02, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jan 06, 2020",,Paperback,view,/book/show/41746324-the-tradition
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lone Wolf: Eric Rudolph and the Legacy of American Terror,"Vollers, Maryanne",0060598638,9780060598631,0060598638,384        pp,3.90,215,2006,"Nov 06, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2020",,Paperback,view,/book/show/825003.Lone_Wolf
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Selected Poems of Mark Strand,"Strand, Mark",0679733019,9780679733010,0679733019,152        pp,4.19,"1,006",1980,"Sep 26, 1990",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2020",,Paperback,view,/book/show/131946.Selected_Poems_of_Mark_Strand
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"When You Are Old: Early Poems, Plays, and Fairy Tales","Yeats, W.B.",014310764X,9780143107644,014310764X,333        pp,3.76,246,"May 24, 2012","Jun 09, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2020",,Paperback,view,/book/show/23399003-when-you-are-old
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Every Word Is a Bird We Teach to Sing: Encounters with the Mysteries and Meanings of Language,"Tammet, Daniel*",0316353051,9780316353052,0316353051,262        pp,3.88,702,"Sep 12, 2017","Sep 12, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2020",,Hardcover,view,/book/show/6417951-every-word-is-a-bird-we-teach-to-sing
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Painter,"Heller, Peter",,,B00GL3OJIY,386        pp,3.82,"15,575","May 06, 2014","May 06, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,0,not set,not set,"Jan 05, 2020",,Kindle Edition,view,/book/show/19761389-the-painter
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Nightblind        (Dark Iceland, #2)","Jónasson, Ragnar*",1910633127,9781910633120,B0167220KM,280        pp,3.75,"8,742","Oct 15, 2015","Dec 01, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2020",,Kindle Edition,view,/book/show/27248849-nightblind
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Behave: The Biology of Humans at Our Best and Worst,"Sapolsky, Robert M.",1594205078,9781594205071,1594205078,790        pp,4.41,"23,232","May 02, 2017","May 02, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2020",,Hardcover,view,/book/show/31170723-behave
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Lighthouses,"Barrera, Jazmina",1949641015,9781949641011,1949641015,174        pp,3.89,"1,158","Apr 03, 2017","May 12, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2020",,Hardcover,view,/book/show/52323356-on-lighthouses
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ragged Edge of the World: Encounters at the Frontier Where Modernity, Wildlands, and Indigenous Peoples Meet","Linden, Eugene*",0670022519,9780670022519,0670022519,272        pp,3.71,198,"Mar 17, 2011","Mar 17, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2020",,Hardcover,view,/book/show/9902160-the-ragged-edge-of-the-world
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Latitudes of Longing,"Swarup, Shubhangi*",0593132556,9780593132555,0593132556,320        pp,3.79,"3,324","Jul 31, 2018","May 05, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2020",,Hardcover,view,/book/show/51964497-latitudes-of-longing
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Man: Klaus Klump,"Tavares, Gonçalo M.",1628970340,9781628970340,1628970340,96        pp,3.93,787,2003,"Jun 05, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2020",,Paperback,view,/book/show/20794456-a-man
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When We Were Orphans,"Ishiguro, Kazuo*",0571225403,9780571225408,0571225403,320        pp,3.53,"41,113","Jan 16, 2000","Jan 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2020",,Paperback,view,/book/show/28923.When_We_Were_Orphans
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Measuring the World,"Kehlmann, Daniel",0375424466,9780375424465,0375424466,259        pp,3.73,"18,943",2005,"Nov 07, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,0,not set,not set,"Jan 02, 2020",,Hardcover,view,/book/show/642231.Measuring_the_World
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Erosion: Essays of Undoing,"Williams, Terry Tempest",0374280061,9780374280062,0374280061,318        pp,4.24,"1,862","Oct 08, 2019","Oct 08, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jan 02, 2020",,Hardcover,view,/book/show/43565362-erosion
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Abstainer,"McGuire, Ian*",1471191508,9781471191503,1471191508,0        pp,3.60,"3,047","Sep 15, 2020","Apr 30, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2020",,Audiobook,view,/book/show/50928942-the-abstainer
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Big Lies in a Small Town,"Chamberlain, Diane*",1250087333,9781250087331,1250087333,391        pp,4.14,"91,207","Jan 14, 2020","Jan 14, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2020",,Hardcover,view,/book/show/45046808-big-lies-in-a-small-town
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Bar In NYC,"Michels, Brian*",,,,248        pp,4.30,131,"Apr 15, 2016","Apr 24, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jan 02, 2020",,Kindle Edition,view,/book/show/30045811-the-last-bar-in-nyc
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wonder        (Wonder, #1)","Palacio, R.J.",,,,315        pp,4.37,"1,086,049","Feb 14, 2012","Feb 14, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2020",,Hardcover,view,/book/show/11387515-wonder
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Long Bright River,"Moore, Liz*",0525540679,9780525540670,0525540679,482        pp,4.04,"108,530","Jan 07, 2020","Jan 07, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2020",,Hardcover,view,/book/show/43834909-long-bright-river
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Correspondents,"Murphy, Tim*",0802129374,9780802129376,0802129374,448        pp,4.29,"1,454","May 15, 2019","May 15, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A poignant novel based on highly relevant issues of our times. This is a moving story of love and loss that never loses sight of hope even in times ofA poignant novel based on highly relevant issues of our times. This is a moving story of love and loss that never loses sight of hope even in times of war. Mr. Murphy always manages to keep true to the refrain that there’s a brighter day out there - somewhere. ...more,Notes are private!,0,14,1,"Jan 02, 2020","Jan 04, 2020","Jan 02, 2020",,Hardcover,view (with text),/book/show/42360843-correspondents
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Diversities of Gifts: Same Spirit,"Moore, Kym Gordon*",1432730428,9781432730420,1432730428,182        pp,5.00,1,"Jun 24, 2009","Jun 24, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2020",,Paperback,view,/book/show/7914487-diversities-of-gifts
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brigid of Kildare,"Terrell, Heather*",0345505123,9780345505125,0345505123,256        pp,3.83,"1,205","Jun 23, 2009","Feb 09, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2020",,Paperback,view,/book/show/6087731-brigid-of-kildare
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Don't Skip Out on Me,"Vlautin, Willy",0062684485,9780062684486,,304        pp,4.13,"3,060","Feb 13, 2018","Feb 13, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,One of the saddest take me home books I’ve ever read.,Notes are private!,0,12,1,"Dec 31, 2019",Jan 2020,"Jan 02, 2020",,ebook,view (with text),/book/show/35068765-don-t-skip-out-on-me
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Labyrinth of Ice: The Triumphant and Tragic Greely Polar Expedition,"Levy, Buddy*",1250182190,9781250182197,1250182190,400        pp,4.47,"2,758","Dec 03, 2019","Dec 03, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"When discussing the ideas for this book the author, Buddy Levy, was advised to tell the story as if you were sitting in a bar entertaining others. I’dWhen discussing the ideas for this book the author, Buddy Levy, was advised to tell the story as if you were sitting in a bar entertaining others. I’d say, without reservations, he’s accomplished this. It reads like a suspenseful adventure story. Never dull or dry summoning up the bitter cold long months of darkness lit by the northern lights where the polar bears are observed as silhouettes. I enjoyed every page....more",Notes are private!,0,17,1,"Dec 26, 2019","Dec 29, 2019","Jan 02, 2020",,Hardcover,view (with text),/book/show/43263275-labyrinth-of-ice
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An American Summer: Love and Death in Chicago,"Kotlowitz, Alex",0385538804,9780385538800,0385538804,287        pp,4.33,"4,632","Mar 05, 2019","Mar 05, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is not a book for you should you be seeking analysis or solutions. These narratives ring with anger, earthiness, love, truth and sadness. The theThis is not a book for you should you be seeking analysis or solutions. These narratives ring with anger, earthiness, love, truth and sadness. The theme is almost - almost enough. Kotlowitz lets the people speak for themselves. He gives voice to those who can no longer speak and those who live daily with loss. He opens us to full and complex lives that are hidden behind government issued statistics. ...more",Notes are private!,0,14,1,"Dec 27, 2019","Jan 02, 2020","Dec 27, 2019",,Hardcover,view (with text),/book/show/40594394-an-american-summer
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,People of New Zealand,"Moore, Sam",1988547121,9781988547121,1988547121,168        pp,4.42,36,unknown,"Feb 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2019",,Paperback,view,/book/show/51898746-people-of-new-zealand
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everything My Mother Taught Me,"Hoffman, Alice*",,9781542091459,B08LDD8KXK,28        pp,4.02,"26,363","Dec 19, 2019","Dec 19, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2019",,ebook,view,/book/show/48582002-everything-my-mother-taught-me
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Weather,"Offill, Jenny*",0385351100,9780385351102,0385351100,208        pp,3.56,"36,096","Feb 11, 2020","Feb 11, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Dec 27, 2019",,Hardcover,view,/book/show/37506228-weather
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Human Smoke: The Beginnings of World War II, The End of Civilization","Baker, Nicholson*",1416567844,9781416567844,1416567844,576        pp,4.04,"1,945",2008,"Mar 11, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A striking anti war book. Baker takes the reader through the years leading up to WWII using quotes, speeches, diaries and letters. There is much histoA striking anti war book. Baker takes the reader through the years leading up to WWII using quotes, speeches, diaries and letters. There is much history here we would like to think humans incapable of inflicting on one another and so we want to avert our eyes. Yet it is a compelling read horrific in its cold facts and nightmarish history with some shining lights of hope offered by those courageous souls willing to stand against war. ...more",Notes are private!,0,19,1,"Dec 24, 2019","Dec 27, 2019","Dec 27, 2019",,Hardcover,view (with text),/book/show/1948985.Human_Smoke
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Coastlines: The Poetry of Atlantic Canada,"Compton, Anne",0864923139,9780864923134,0864923139,312        pp,4.14,7,"Jan 01, 2002",2002,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 24, 2019",,Paperback,view,/book/show/1650221.Coastlines
