,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kerilynne's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Long Bright River,"Moore, Liz*",0525540687,9780525540687,0525540687,496        pp,4.04,"108,528","Jan 07, 2020","Dec 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/55835660-long-bright-river
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Celebrants,"Rowley, Steven*",0593540433,9780593540435,0593540433,352        pp,3.65,"37,496","May 30, 2023","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Paperback,view,/book/show/203663776-the-celebrants
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Within Arm's Reach,"Napolitano, Ann*",0593732499,9780593732496,0593732499,352        pp,3.41,692,2004,"Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Paperback,view,/book/show/203019737-within-arm-s-reach
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Myth of Normal: Trauma, Illness, and Healing in a Toxic Culture","Maté, Gabor",0593083881,9780593083888,0593083881,576        pp,4.33,"18,998","Sep 13, 2022","Sep 13, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Hardcover,view,/book/show/58537332-the-myth-of-normal
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All That Is Mine I Carry With Me,William Landay*,0345531868,9780345531865,0345531868,352        pp,3.85,"14,488","Mar 07, 2023","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Paperback,view,/book/show/199461391-all-that-is-mine-i-carry-with-me
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pineapple Street,"Jackson, Jenny*",0593490711,9780593490716,0593490711,320        pp,3.58,"153,191","Mar 07, 2023","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Paperback,view,/book/show/203767708-pineapple-street
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,By Any Other Name,"Picoult, Jodi*",059349721X,9780593497210,059349721X,544        pp,4.29,52,"Aug 20, 2024","Aug 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/203164368-by-any-other-name
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Things Like These,"Keegan, Claire",0802158749,9780802158741,0802158749,128        pp,4.19,"153,379","Nov 05, 2021","Nov 30, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Good story,Notes are private!,0,0,1,"Feb 25, 2024","Feb 25, 2024","Feb 25, 2024",,Hardcover,view (with text),/book/show/58662236-small-things-like-these
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hidden Life of Cecily Larson,"Baker, Ellen*",0063351196,9780063351196,0063351196,384        pp,3.92,"2,693","Feb 20, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Hardcover,view,/book/show/158649513-the-hidden-life-of-cecily-larson
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Things We Didn’t Know,"Pérez, Elba Iris*",1668012065,9781668012062,1668012065,320        pp,3.92,875,"Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Hardcover,view,/book/show/176442848-the-things-we-didn-t-know
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Are All the Same in the Dark,"Heaberlin, Julia*",0525621679,9780525621676,0525621679,352        pp,3.80,"45,105","Aug 11, 2020","Aug 11, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Hardcover,view,/book/show/49189494-we-are-all-the-same-in-the-dark
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Come and Get It,"Reid, Kiley",0593328205,9780593328200,0593328205,400        pp,3.45,"12,973","Jan 30, 2024","Jan 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Hardcover,view,/book/show/127482608-come-and-get-it
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Time Like the Future: An Optimist Considers Mortality,"Fox, Michael J.",1250265614,9781250265616,1250265614,256        pp,4.13,"20,452","Nov 17, 2020","Nov 17, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book was an introspection on how Parkinson’s Disease has impacted Mike’s life. It was poignant, funny, and touching. Some moments reminded me of This book was an introspection on how Parkinson’s Disease has impacted Mike’s life. It was poignant, funny, and touching. Some moments reminded me of my dad which touched me deeply. When he speaks about how the world treats him when he is in wheelchair, being ignored, unheard, and essentially not human, I thought of the hundreds of times that my dad felt this way. The idea that just because you are sitting, you no longer have feelings and needs. ...more",Notes are private!,0,2,1,"Feb 20, 2024","Feb 28, 2024","Feb 20, 2024",,Hardcover,view (with text),/book/show/50403451-no-time-like-the-future
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Third Gilmore Girl,"Bishop, Kelly",1668023776,9781668023778,1668023776,288        pp,4.75,4,unknown,"Sep 17, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Hardcover,view,/book/show/207298106-the-third-gilmore-girl
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beach Music,"Conroy, Pat",0553381539,9780553381535,0553381539,800        pp,4.18,"50,707","Jul 02, 1995","Mar 01, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Paperback,view,/book/show/16729.Beach_Music
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mom Dad Not Hear: 30 Powerful Stories and Lessons about Leadership, Life, and Love from My Deaf Parents","Carolan, Mickey*",,9798987992371,B0CRPXKRVN,214        pp,4.23,22,unknown,"Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Paperback,view,/book/show/204967386-mom-dad-not-hear
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Winterland,"Meadows, Rae*",125083452X,9781250834522,125083452X,288        pp,3.86,"2,457","Nov 29, 2022","Nov 29, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Hardcover,view,/book/show/60243146-winterland
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fourteen Days,"Atwood, Margaret*",0358616387,9780358616382,0358616387,363        pp,3.32,"2,232","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/58311985-fourteen-days
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Watershed,"Everett, Percival",0807016276,9780807016275,0807016276,208        pp,3.94,307,1996,"Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Paperback,view,/book/show/173476092-watershed
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How We Named the Stars,"Ordorica, Andrés N.*",1959030337,9781959030331,1959030337,304        pp,4.06,597,"Jan 30, 2024","Jan 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 31, 2024",,Paperback,view,/book/show/174070471-how-we-named-the-stars
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Doors,"Brown, Gareth*",1787637247,9781787637245,B0C5CGYC4Z,416        pp,4.05,"8,143","Feb 13, 2024","Feb 15, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Hardcover,view,/book/show/156480764-the-book-of-doors
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Olga Dies Dreaming,"Gonzalez, Xochitl*",1250786177,9781250786173,1250786177,369        pp,3.99,"61,756","Jan 04, 2022","Jan 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Hardcover,view,/book/show/57693171-olga-dies-dreaming
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James,"Everett, Percival",0385550367,9780385550369,0385550367,303        pp,4.63,"6,238","Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 23, 2024",,Hardcover,view,/book/show/173754979-james
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Change,"Miller, Kirsten*",0063144042,9780063144040,0063144042,480        pp,4.10,"41,024","May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Hardcover,view,/book/show/59030015-the-change
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,First Lie Wins,"Elston, Ashley*",0593492919,9780593492918,,340        pp,4.12,"187,765","Jan 02, 2024","Jan 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Hardcover,view,/book/show/164444179-first-lie-wins
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everything My Mother Taught Me,"Hoffman, Alice*",1542091454,,B07ZP34W7H,28        pp,4.02,"26,363","Dec 19, 2019","Dec 19, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Kindle Edition,view,/book/show/48617752-everything-my-mother-taught-me
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Counterfeit,"Chen, Kirstin*",,,,288        pp,3.49,"86,024","Jun 07, 2022","Jun 07, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Hardcover,view,/book/show/59314709-counterfeit
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Things in Jars,"Kidd, Jess*",1982121289,9781982121280,1982121289,369        pp,3.70,"23,030","Apr 04, 2019","Feb 04, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Hardcover,view,/book/show/49649443-things-in-jars
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When Things Fall Apart: Heart Advice for Difficult Times,"Chödrön, Pema",1570623449,9781570623448,1570623449,148        pp,4.28,"55,892","Dec 24, 1996","Sep 26, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 07, 2024",,Paperback,view,/book/show/687278.When_Things_Fall_Apart
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"When We Flew Away: A Novel of Anne Frank, Before the Diary        (0)","Hoffman, Alice*",0702337145,9780702337147,B0CRF5V4KP,0        pp,4.50,4,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Kindle Edition,view,/book/show/204790314-when-we-flew-away
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Family Family,"Frankel, Laurie*",1250236800,9781250236807,1250236800,400        pp,4.05,"7,342","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Hardcover,view,/book/show/127282881-family-family
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Duchess of Bloomsbury Street,"Hanff, Helene",155921144X,9781559211444,155921144X,160        pp,4.03,"6,990","Mar 01, 1973","Jan 01, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Paperback,view,/book/show/125035.The_Duchess_of_Bloomsbury_Street
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Bright Places,"Niven, Jennifer*",0385755880,9780385755887,0385755880,378        pp,4.13,"564,487","Jan 06, 2015","Jan 06, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/18460392-all-the-bright-places
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fever,"Keane, Mary Beth*",,,B008J4B4OK,346        pp,3.72,"15,087","Mar 12, 2013",Mar 2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Kindle Edition,view,/book/show/52673910-fever
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Half Moon,"Keane, Mary Beth*",1982172606,9781982172602,1982172606,304        pp,3.41,"22,851","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/60913577-the-half-moon
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hotel Portofino,"O'Connell, J.P.",,9798200816446,B09KP48CYB,330        pp,3.32,"3,789","Dec 23, 2021","Jan 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/59738365-hotel-portofino
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Monogamy,"Miller, Sue",006296965X,9780062969651,006296965X,338        pp,3.51,"23,477","Sep 08, 2020","Sep 08, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/49398039-monogamy
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bandit Queens,"Shroff, Parini",059349895X,9780593498958,059349895X,342        pp,3.93,"30,880","Jan 03, 2023","Jan 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2024",,Hardcover,view,/book/show/61065982-the-bandit-queens
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Big Swiss,"Beagin, Jen",1982153083,9781982153083,1982153083,336        pp,3.69,"62,751","Feb 07, 2023","Feb 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 31, 2023",,Hardcover,view,/book/show/60701439-big-swiss
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Red Sky Over Hawaii,"Ackerman, Sara*",0778309673,9780778309673,0778309673,352        pp,3.89,"4,089","Jun 09, 2020","Jun 09, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 30, 2023",,Paperback,view,/book/show/49932600-red-sky-over-hawaii
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Guncle Abroad        (The Guncle, #2)","Rowley, Steven*",059354045X,9780593540459,059354045X,336        pp,4.28,566,"May 21, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 26, 2023",,Hardcover,view,/book/show/197509272-the-guncle-abroad
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Flicker in the Dark,"Willingham, Stacy*",1250803829,9781250803825,1250803829,357        pp,4.00,"390,275","Jan 11, 2022","Jan 11, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 22, 2023",,Hardcover,view,/book/show/57693172-a-flicker-in-the-dark
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Go Tell It on the Mountain,"Baldwin, James",0141185910,9780141185910,0141185910,256        pp,4.04,"68,523","May 18, 1953",2001,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 21, 2023",,Paperback,view,/book/show/17143.Go_Tell_It_on_the_Mountain
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oona Out of Order,"Montimore, Margarita*",1250236606,9781250236609,1250236606,339        pp,3.86,"82,088","Feb 25, 2020","Feb 25, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5 stars ⭐️ ⭐️⭐️,Notes are private!,0,0,1,"Dec 27, 2023","Dec 31, 2023","Dec 20, 2023",,Hardcover,view (with text),/book/show/45046893-oona-out-of-order
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The New Couple in 5B,"Unger, Lisa*",0778333345,9780778333340,0778333345,382        pp,3.68,"9,888","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 19, 2023",,Hardcover,view,/book/show/128007059-the-new-couple-in-5b
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,By Any Other Name,"Picoult, Jodi*",1405961902,9781405961905,B0CKVMZL6D,400        pp,4.29,52,"Aug 20, 2024","Oct 10, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 19, 2023",,Kindle Edition,view,/book/show/199354555-by-any-other-name
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gaywyck,"Virga, Vincent",1617895725,9781617895722,B004OC06QI,384        pp,3.79,379,1980,"Feb 08, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 18, 2023",,Kindle Edition,view,/book/show/11135416-gaywyck
