,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lynda's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"One Perfect Grave        (Nikki Hunt, #2)","Green, Stacy*",1800192738,,B08L86892J,274        pp,4.40,"3,329","Feb 25, 2021","Feb 25, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Can it be possible that book #2 is even more riveting than the first? Yes. Not sure what it is, maybe the author's confidence is shining through, but Can it be possible that book #2 is even more riveting than the first? Yes. Not sure what it is, maybe the author's confidence is shining through, but special agent Nikki Hunt has more gumption, more pizzaz, and more grit in this sequel. One Perfect Grave (not sure of that title though if I'm being honest), is a great follow-up to the Nikki Hunt series.While wrapping things up from her previous case in Stillwater (the one that came about to start the series), Nikki finds herself with romantic feelings over the brother of the man wrongly convicted of her parents' murders, as well as knee-deep in looking for the killer of a young mother and her son. If that isn't enough, a second young boy turns up missing and his mother is none other than reporter Caitlin Newport, Nikki's nemesis. There is a lot of action in this one and you will not notice the time ticking as the pages seem to turn themselves. Well done, Stacy Green. I'm looking forward to reading book #3! Keep 'em coming....more",Notes are private!,0,0,1,"Mar 08, 2024","Mar 13, 2024","Mar 08, 2024",,Kindle Edition,view (with text),/book/show/55767592-one-perfect-grave
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Kite Runner,"Hosseini, Khaled*",,,,371        pp,4.34,"3,148,915","May 29, 2003",May 2004,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Amir, a Pushtun, and his childhood best friend, Hassan, a Hazara, are inseparable, at least outside the public eye. The two friends live on the same pAmir, a Pushtun, and his childhood best friend, Hassan, a Hazara, are inseparable, at least outside the public eye. The two friends live on the same piece of property owned by Amir's father, ""Baba,"" in Kabul Afghanistan. It's the 1970's and Hassan's father, Ali, works as a houseman for Baba.As Amir and Hassan grow, Amir fights for attention from Baba who showers both boys with attention. Born of Amir's jealousy, hidden resentment, and cowardness to stand up for what's right spring and threaten to take over Amir. And when egregious atrocities are inflicted on Hassan by fellow Pushtuns while outside their property, Amir hides, turning a blind eye, rather than taking action. This cowardly behavior will haunt and define Amir for the rest of his life. When the Russians invade Afghanistan and the Taliban takes over, changing the landscape of the country forever, Amir and Baba flee to America leaving everything and everyone else behind. Decades later, a call comes from Pakistan, urgently calling Amir home, to rectify his wrongs, and make amends. In this powerful story of fiction (except for the truth of the author fleeing with his Baba from Kabul to the U.S.), Khaled Hosseini brings to light the damage of entitlement and horrors of segregation and discrimination in a way that makes the reader have a much better understanding of how the Afghanistan we know today came to be. The Kite Runner is filled with beautiful descriptions of a land long ago peaceful that is now demonized (and rightly so by all accounts), and how stealing, as told by Baba, is the worst of all sins: ""When you kill a man, you steal a life. You steal his wife's right to a husband and rob his children of a father. When you tell a lie, you steal someone's right to the truth. When you cheat, you steal the right to fairness.""My two cents on the banning of this book (for sexually explicit content, language, and age appropriateness - marketed for not under 18 and has been apparently read by and/or required of high schoolers) is SO worth the read. The sexually explicit content is more implied than overt and pivotal to the story to show the low depths man will go to dominate and humiliate. Language - meh, unfounded. Age appropriateness should be read by people mature enough to handle the truth about war. I would allow my high school-age children to read The Kite Runner if I read it with them and was available for their questions. Many worthwhile teaching moments in this one....more",Notes are private!,0,0,1,"Mar 04, 2024","Mar 08, 2024","Mar 04, 2024",,Paperback,view (with text),/book/show/77203.The_Kite_Runner
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Two Ways,"Picoult, Jodi*",198481835X,9781984818355,198481835X,416        pp,3.66,"94,830","Sep 22, 2020","Sep 22, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Book of Two Ways is, essentially, a book that shows us how using theories of quantum physics and the science of Egyptology, there are multiverses The Book of Two Ways is, essentially, a book that shows us how using theories of quantum physics and the science of Egyptology, there are multiverses where we can and perhaps do live, love, and die simultaneously. Dawn, who was writing her doctoral thesis when she left the field and became a death doula, is one of only a handful of people to survive a plane crash. Following her examination by medical professionals, Dawn is told the airline will fly her anywhere she wants; seemingly intending her to go back home to her husband, Brian, and their daughter, Meret, in Boston. Instead, Dawn flies to Cairo, back to Wyatt, and to where it all began fifteen years ago. But she also goes home.As is now expected of Picoult’s book, TBOTW is remarkably well-researched, perhaps to much so to were I found my lids drooping. This book’s continuous explanation of what was going on, albeit necessary given the storyline, left me feeling like a student in a required advanced calculus class when my major was Russian literature. I skimmed a lot of the Egypt back history and my mind wandered elsewhere during much of the physics lessons. The story between all this, that I understand would be a complete mess without the explanations, was not much more than alright.It’s hard not to compare, and I try not to, but this is my least favorite of this author. That being said, with books that have utterly shaken my foundation, the bar has set ridiculously high. This one just fell short.This one is a 3.5/5, simply because it was a chore to not simply skip the Egypt chapters all together. ...more",Notes are private!,0,1,1,"Feb 26, 2024","Mar 03, 2024","Mar 01, 2024",,Hardcover,view (with text),/book/show/50265329-the-book-of-two-ways
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Night the River Wept,"Patrick, Lo",1728290449,9781728290447,1728290449,400        pp,3.83,35,"Jul 02, 2024","Jul 02, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Arlene struggles with grief following her miscarriage. To take her mind off things she gets a job as a ""tag and bagger"" at the local sheriff's departmArlene struggles with grief following her miscarriage. To take her mind off things she gets a job as a ""tag and bagger"" at the local sheriff's department in small town Faber. While in the basement waiting for evidence, the lecherous sheriff allows Arlene to look into a cold case to see if she can solve it. [Right here I'm like, Seriously??] The case involves the deaths of three young brothers who came from the ""wrong side"" of town, their sister who gave birth to a baby fathered by their father and whom the sister abandons with her boyfriend (the ""supposed"" baby-daddy), who then hangs himself, and some hardly visible character names J.P. who works in a stable. Lo Patrick's second book, The Night the River Wept, does have some charm. Arlene is quite clever for as simple as she sounds and she reads like the type of person ""pert near anyone"" could get along with. There are a few scenes that are humorous but wholly out of line with the plot, and I did appreciate the small-town references. But the charm wanes and the reader is left with a slow-moving, implausible, shallow story that was, at times, a chore to get through. I didn't hate The Night the River Wept, I just didn't see the reason for reading it. The writing was good enough that I wouldn't completely discount giving Patrick's other book a go. ...more",Notes are private!,0,1,1,"Feb 28, 2024","Mar 07, 2024","Feb 28, 2024",,Paperback,view (with text),/book/show/199442585-the-night-the-river-wept
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Playing Dead,"Heaberlin, Julia*",,,B005OCYRJE,352        pp,3.56,"7,518","May 29, 2012","May 29, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"When Tommie McCloud receives a mysterious letter from the wife of a convicted mob boss serving life in prison for multiple murders, life as she knows When Tommie McCloud receives a mysterious letter from the wife of a convicted mob boss serving life in prison for multiple murders, life as she knows it becomes a question mark. Am I the kidnapped little girl from this letter? Were my parents really NOT my parents? Could the mob be after me and my family?Coming home from her psychology position at a camp that helps traumatized youths, Tommie steps into a heap of troubling discoveries that take her form Texas to Chicago to Oklahoma as she searches for her true identity while dodging mob hits and sorting out who to trust and who wants her and her mother’s secrets buried. A well-paced story that will keep you turning the pages. There is no jaw-dropping revelations in this one, but there doesn’t need to be to hold your attention. Written in the engaging way Julia Heaberlin has, you will find many reasons to sneak under the covers with a flashlight to finish this one. I’m a fan of Heaberlin, and finding this older gem (published in 2012) shows me she has always had the power of the pen.*Note: I listened to this on audio and was often distracted by the narration. If I could do it over, I would pick up the old-fashioned paper book....more",Notes are private!,0,0,1,"Feb 21, 2024","Mar 02, 2024","Feb 21, 2024",,Kindle Edition,view (with text),/book/show/40582070-playing-dead
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rose Code,"Quinn, Kate*",0062943472,9780062943477,0062943472,624        pp,4.45,"251,482","Mar 09, 2021","Mar 09, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Bletchley Park was a hub for breaking German codes during WW2. Housing mathematicians, grand chess players, linguists, and individuals with a penchantBletchley Park was a hub for breaking German codes during WW2. Housing mathematicians, grand chess players, linguists, and individuals with a penchant for solving puzzles, the mansion and grounds of Bletchley Park soon turned into a haven for secret-keeping cryptologists and persons of unusual skill. The Rose Code is a fascinating tale that follows the true life and times that code breakers endured at the tucked-away grounds known as BP. When socialite Oslo Kendall (whose character is crafted after the real Oslo Benning) begins her tour at BP alongside new friends Mab and Beth, life for the three women will be turned upside down and inside out as they cipher German messages to thwart the Axis' push through Europe, while finding new loves and learning to navigate a life of utter secrecy. Following a cavernous split, the three former friends must come together and lean into their skills one last time to crack the code known as Rose and bring a traitor to justice. A lot is going on in this book, but it is utterly and truly fascinating. I learned so much about code breaking, the former Prince Phillip of Greece (who then married Queen Elizabeth), and bits about the War years that I would reread the book to ensure I didn't miss something (and I'm not a re-reader). Add in the fact that The Rose Code is superbly researched, narrowly walks the fictional line, and is written by the incomparable, Kate Quinn - it is worth a once or twice read. If you are into historical fiction, especially WW2, take a crack at the Rose Code; you won't regret it....more",Notes are private!,0,0,1,"Feb 06, 2024","Feb 18, 2024","Feb 06, 2024",,Paperback,view (with text),/book/show/53914938-the-rose-code
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Thirteenth Husband,"Macallister, Greer*",172829407X,9781728294070,172829407X,336        pp,3.64,61,"Aug 01, 2024","Aug 06, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A solid historical fiction read about a real-life heiress, Aimee Crocker in the late 1800s-early 1900s. Aimee is anything but conventional, especiallyA solid historical fiction read about a real-life heiress, Aimee Crocker in the late 1800s-early 1900s. Aimee is anything but conventional, especially for the time. She believes in love, marriage, divorce, and palm readers. To say Aimee is complicated would be a disservice, and to say The Thirteenth Husband told the entire story would be insurmountable. This Aimee Crocker lady lived one helluva life and Greer Macallister did a good job capturing the most believable parts of it. I will say I got a bit lost toward the end when the twist came about; I knew who the thirteenth husband was, but I felt the writing got a little in the weeds of the paranormal to where I had to fight the cobwebs to figure out what was going on. That being said, I'm glad to have read this book, admire Macallister's research and story abilities, and will look to read another Macallister book in the future. ...more",Notes are private!,0,0,1,"Feb 03, 2024","Feb 12, 2024","Feb 03, 2024",,Paperback,view (with text),/book/show/200174197-the-thirteenth-husband
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'm Glad My Mom Died,"McCurdy, Jennette",,,,320        pp,4.47,"965,464","Aug 09, 2022","Aug 09, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm not much into memoirs, but the title of this one drew me in; that's a story for another day. Unfortunately, the title was the best thing going forI'm not much into memoirs, but the title of this one drew me in; that's a story for another day. Unfortunately, the title was the best thing going for this one.I listened to the book which was read by the author and I've never been more disappointed in a performance. It's her book, written by her, yet she sounds so bored, so forced, so anxious just to push through. There are times when her mumbling is such I have to rewind and try again before I can understand what she is saying. As for the content, there are some awful events that McCurdy went through growing up, but unfortunately, and perhaps this was just her tone of voice in the audio version, she sounds like it's all passe, ho-hum, whatever. If that is the case, why put it in there? Maybe someone else should have read the book aloud if that isn't the case. Perhaps reading the book may have made some of the blase feel of it less pronounced.Lastly, this book makes me feel sad for the author -- she doesn't sound like someone who has healed from the torment she describes.I think I'll go back to my ""not into memories"" stance....more",Notes are private!,0,1,1,"Jan 31, 2024","Feb 02, 2024","Jan 31, 2024",,ebook,view (with text),/book/show/59364173-i-m-glad-my-mom-died
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beautiful Boy: A Father's Journey Through His Son's Addiction,"Sheff, David*",1328974715,9781328974716,1328974715,340        pp,4.15,"89,365",2007,"Sep 04, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"To be a parent means you are only as happy as your most unhappy child — this is never more profound as when your child is an addict. For parents of chTo be a parent means you are only as happy as your most unhappy child — this is never more profound as when your child is an addict. For parents of children who are not addicts, you will never know the grief, pain, loss, desperation, angst, guilt, anger, betrayal, and unimaginable fear we with addict children go through. I envy you. Beautiful Boy is a raw story of love and misery that one man goes through with his addict son. Sheff’s authentic introspection says it all: “I became addicted to my child’s addiction.” We parents of addicts become preoccupied, at the expense of other responsibilities, marriage, other children, work, friends, church. We justify. We beg. We make deals. We compromise, with them, and with our selves. And we never stop loving them. This is not a read for the weak. This is an in the trenches look at what it feels like to go through the ups and downs of life with an addict. This is not pretty. But this is necessary to know. Addiction is a disease of the brain that only the addict can choose to control. None of the platitudes work: They can just stop. It’s a choice. No one is making them take the drink/drug. And that is the rub for us parents: How can I not try to fix my child? How can I sit back and watch? How can they do this to themselves, to me, to their family? What could I have done differently? What did I do wrong? But again, this is about the addict and we parents just have to ride the waves, arms open for the fall; and the fall always comes. Hopefully, the fall will just be a slip, not a life altering or ending one. I have heard this book has been made into a movie, I’m sure it’s great. But my guess is that the book is far more powerful with its written descriptions of emotion, feeling, and fear. If you are going through it, or if you have been through it, or if you know someone who is in the through of a child with an addiction, this is one for you. I wish you well, you are not alone. ...more",Notes are private!,0,0,1,"Jan 30, 2024","Feb 03, 2024","Jan 30, 2024",,Paperback,view (with text),/book/show/35721089-beautiful-boy
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fly Away        (Firefly Lane, #2)","Hannah, Kristin*",0312577214,9780312577216,0312577214,400        pp,3.99,"131,378","Apr 13, 2013","Apr 23, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Kristin Hannah is a good writer, storyteller, and memory evoker. Fly Away is the sequel to the hit, Firefly Lane, which I admit, I did not read but waKristin Hannah is a good writer, storyteller, and memory evoker. Fly Away is the sequel to the hit, Firefly Lane, which I admit, I did not read but watched. I know I missed out on a spectacular book. That being said, I was intrigued by Fly Away, wondering how Hannah could do it justice following Firefly Lane. She did, mostly.Tully, following the death of her lifelong best friend, Kate, and Kate's family, struggle to cope. Tully becomes reckless with her health, career, and life, while Kate's 18-year-old daughter Marah is tumbling downhill fast without brakes. All this while Dorothy, formerly known as Cloud, has turned a corner and is looking for a reunion with her daughter, Tully. There is a lot to Firefly Lane, if you have nothing to compare it to and read it as a standalone, you will love, love, love Fly Away. I, however, compared (Sorry Ms. Hannah), and I was left flat. The book is great, it's just not Firefly Lane. That being said, I have yet to read a Kristin Hannah I did not appreciate. She is a fabulous author. As a standalone, I would give this a 5/5, but as a sequel a 4/5. Rounding up, this one is worth a 5, but I will not reside on my permanence shelf. I will be donating for someone else to enjoy. ...more",Notes are private!,0,1,1,"Jan 26, 2024","Jan 29, 2024","Jan 26, 2024",,Hardcover,view (with text),/book/show/16044981-fly-away
