,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Pam's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Para o Inferno        (Alex Stern, #2)","Bardugo, Leigh*",8542223918,9788542223910,B0CK9L12HS,629        pp,4.15,"115,172","Jan 10, 2023","Oct 23, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Dec 27, 2023",,Kindle Edition,view,/book/show/199288467-para-o-inferno
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Amanhã, amanhã, e ainda outro amanhã","Zevin, Gabrielle*",6555951478,9786555951479,B0B9ZNFLHP,531        pp,4.18,"845,800","Jul 05, 2022","Sep 30, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Kindle Edition,view,/book/show/62834648-amanh-amanh-e-ainda-outro-amanh
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Querido Edward,"Napolitano, Ann*",8584391916,9788584391912,8584391916,304        pp,4.08,"179,469","Jan 06, 2020","Dec 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 09, 2024",not set,"Dec 27, 2023",,Paperback,view,/book/show/55825064-querido-edward
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yellowface,"Kuang, R.F.*",,,,336        pp,3.80,"429,003","May 25, 2023","May 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/62047984-yellowface
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Meus dias na livraria Morisaki        (Meus dias na livraria Morisaki, #1)","Yagisawa, Satoshi",6558382431,9786558382430,6558382431,176        pp,3.66,"57,457","Sep 07, 2010","Nov 20, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Paperback,view,/book/show/200331082-meus-dias-na-livraria-morisaki
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Swimming in the Dark,"Jedrowski, Tomasz*",006289000X,9780062890009,006289000X,191        pp,4.26,"42,289","Feb 06, 2020","Apr 28, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/49977811-swimming-in-the-dark
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lugar errado, hora errada","McAllister, Gillian*",6555877472,9786555877472,6555877472,350        pp,4.01,"305,449","May 12, 2022","Jan 29, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,49,1,"Jan 11, 2024","Jan 13, 2024","Dec 27, 2023",,Paperback,view,/book/show/203943339-lugar-errado-hora-errada
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wishing Game,"Shaffer, Meg*",,,B0BHD79NZ9,320        pp,4.13,"103,759","May 30, 2023","May 30, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Kindle Edition,view,/book/show/60864829-the-wishing-game
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Roommate Is a Vampire,"Levine, Jenna*",0593548914,9780593548912,0593548914,341        pp,3.48,"52,403","Aug 29, 2023","Aug 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Paperback,view,/book/show/60041932-my-roommate-is-a-vampire
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Babel: Ou a necessidade de violência,"Kuang, R.F.*",8551008951,9788551008959,B0CQPC452M,811        pp,4.20,"218,643","Aug 23, 2022","Feb 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Kindle Edition,view,/book/show/204217079-babel
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bem-vindos à Livraria Hyunam-dong,"Bo-reum, Hwang",,,B0CCSJFPM1,295        pp,4.05,"10,449","Jan 17, 2022","Aug 10, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Um ótimo livro para as pessoas que estão perdidas e em busca de um sentido.,Notes are private!,0,183,1,"Dec 19, 2023","Jan 02, 2024","Dec 19, 2023",,Kindle Edition,view (with text),/book/show/195011497-bem-vindos-livraria-hyunam-dong
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Upgrade,"Crouch, Blake*",6555606339,9786555606331,6555606339,304        pp,3.81,"91,985","Jul 07, 2022","Aug 18, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3,5⭐️Blake Crouch trouxe uma ideia incrível, mas a execução se perdeu MUITO a partir da metade do livro.",Notes are private!,0,59,1,"Dec 17, 2023","Jan 29, 2024","Dec 17, 2023",,Paperback,view (with text),/book/show/195345578-upgrade
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A estranha Sally Diamond,"Nugent, Liz*",6555878657,9786555878653,B0CLGPJ99J,412        pp,4.22,"51,941","Jul 18, 2023","Nov 20, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,49,1,"Dec 10, 2023","Dec 10, 2023","Dec 10, 2023",,Kindle Edition,view,/book/show/200326263-a-estranha-sally-diamond
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Todo mundo da minha família já matou alguém        (Ernest Cunningham, #1)","Stevenson, Benjamin*",,,B0C4BD61LF,405        pp,3.81,"100,447","Mar 29, 2022","Jun 12, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"2,5 ⭐️",Notes are private!,1,33,1,not set,"Dec 04, 2023","Dec 05, 2023",,Kindle Edition,view (with text),/book/show/148957600-todo-mundo-da-minha-fam-lia-j-matou-algu-m
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nós dois sozinhos no Éter,"Blake, Olivie*",,,B0CB4Q82CJ,337        pp,3.84,"76,115","Jun 20, 2020","Jul 25, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,falei dele na terapiaReview no Youtube: https://youtu.be/hbP7C_P--zMfalei dele na terapiaReview no Youtube: https://youtu.be/hbP7C_P--zM...more,Notes are private!,0,153,1,"Nov 27, 2023","Nov 29, 2023","Nov 27, 2023",,Kindle Edition,view (with text),/book/show/183657279-n-s-dois-sozinhos-no-ter
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Os ausentes,"Beck, Haylen",655924122X,9786559241224,B0B9CHW7R9,373        pp,3.63,41,unknown,"Sep 19, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"2,5⭐️",Notes are private!,0,21,1,not set,"Nov 26, 2023","Nov 26, 2023",,Kindle Edition,view (with text),/book/show/122195784-os-ausentes
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A mulher em mim,"Spears, Britney",6553932808,9786553932807,B0CBQT339H,265        pp,3.91,"383,957","Oct 24, 2023","Oct 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Nov 2023,"Nov 01, 2023",,Kindle Edition,view,/book/show/188457556-a-mulher-em-mim
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mentiras Genuínas,"Roberts, Nora*",8528617718,9788528617719,8528617718,630        pp,4.05,"14,851","Aug 01, 1991",Jul 2013,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3,5 ⭐",Notes are private!,0,18,1,not set,"Oct 27, 2023","Oct 30, 2023",,Paperback,view (with text),/book/show/18214551-mentiras-genu-nas
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Matilda,"Dahl, Roald",6584824020,9786584824027,6584824020,252        pp,4.34,"949,273","Oct 01, 1988","Jul 11, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 06, 2023","Oct 10, 2023",,Paperback,view,/book/show/61208593-matilda
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Fantástica Fábrica de Chocolate        (Charlie Bucket, #1)","Dahl, Roald",8580632595,9788580632590,8580632595,173        pp,4.16,"851,416","Jan 17, 1964",2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Sep 29, 2023","Oct 10, 2023",,Paperback,view,/book/show/32871250-a-fant-stica-f-brica-de-chocolate
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vergonha,"Cherry, Brittainy C.*",,,B07NV3GFX8,410        pp,4.34,"28,604","Jun 28, 2018","Feb 25, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,3,59,1,not set,"Sep 28, 2023","Sep 28, 2023",,Kindle Edition,view,/book/show/44148162-vergonha
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Um favorzinho do vizinho,"Forest, Kristina*",6559242056,9786559242054,B0CBCVB24V,384        pp,3.80,"15,987","Feb 28, 2023","Aug 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,44,1,not set,"Sep 24, 2023","Sep 24, 2023",,Kindle Edition,view,/book/show/185417275-um-favorzinho-do-vizinho
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Procurando Jane,"Marshall, Heather*",8584392548,9788584392544,8584392548,328        pp,4.37,"39,383","Mar 01, 2022","Apr 06, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3,5 ⭐",Notes are private!,0,18,1,not set,"Aug 31, 2023","Sep 02, 2023",,Paperback,view (with text),/book/show/60980503-procurando-jane
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Um passo de sorte,"Moyes, Jojo*",6555607394,9786555607390,B0C6N18KH8,457        pp,3.97,"173,298","Feb 02, 2023","Jun 28, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,4.5 ⭐,Notes are private!,0,82,1,"Aug 19, 2023","Aug 21, 2023","Aug 21, 2023",,Kindle Edition,view (with text),/book/show/168420452-um-passo-de-sorte
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mindshift: Mude seu padrão mental e descubra do que você é capaz,"Oakley, Barbara",6557120220,9786557120224,B08DBXKVSY,340        pp,3.89,"1,619","Apr 18, 2017","Aug 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Aug 14, 2023","Aug 14, 2023",,Kindle Edition,view,/book/show/55209035-mindshift
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A noite passada no Telegraph Club,"Lo, Malinda*",6559241408,9786559241408,B0BGQFMD9F,420        pp,4.23,"84,499","Jan 19, 2021","Oct 17, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,66,1,"Aug 12, 2023","Aug 14, 2023","Aug 14, 2023",,Kindle Edition,view,/book/show/62882648-a-noite-passada-no-telegraph-club
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Inquilina Silenciosa,"Michallon, Clémence*",8542222946,9788542222944,B0CB1ZZRT5,426        pp,3.88,"66,601","Jun 20, 2023","Jul 17, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3,5⭐️O livro tem uma tensão muuuuuuito boa! Fiquei grudada nele até acabar. Mas acho que pecou nos detalhes da resolução e em algumas conveniências. É3,5⭐️O livro tem uma tensão muuuuuuito boa! Fiquei grudada nele até acabar. Mas acho que pecou nos detalhes da resolução e em algumas conveniências. É bem legal para passar o tempo....more",Notes are private!,0,52,1,"Aug 08, 2023","Aug 09, 2023","Aug 10, 2023",,Kindle Edition,view (with text),/book/show/190894962-a-inquilina-silenciosa
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Quando ela se foi,"Coben, Harlan*",8580419670,9788580419672,8580419670,256        pp,3.99,"36,015","Mar 29, 2009","May 09, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3,5 ⭐️Primeira vez que leio Harlan Coben e me diverti bastante! Fiquei curiosa para ler mais livros do autor.",Notes are private!,0,54,1,not set,"Aug 08, 2023","Aug 08, 2023",,Capa comum,view (with text),/book/show/52127638-quando-ela-se-foi
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Empregada        (A Empregada, #1)","McFadden, Freida*",,,B0C4G2PQ66,381        pp,4.33,"1,066,076","Apr 26, 2022","Jun 13, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Que livro ruim kkkkkkkLi até o final porque me prometeram plot twist sensacional Mas é muito fraco! As personagens parecem ser todas as mesmas pessoasQue livro ruim kkkkkkkLi até o final porque me prometeram plot twist sensacional Mas é muito fraco! As personagens parecem ser todas as mesmas pessoas, dilemas morais nem sequer são dilemas… e o pior de tudo: a explicação detalhada no final pra ter certeza que todo leitor entendeu. Uma pena, porque a premissa tinha potencial. ...more",Notes are private!,0,106,1,not set,"Jul 23, 2023","Jul 23, 2023",,Kindle Edition,view (with text),/book/show/149710511-a-empregada
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pimenta & Mel,"Babalola, Bolu",6559702278,9786559702275,B0BS775W35,489        pp,3.93,"32,538","Jul 05, 2022","Feb 15, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,75,1,"Jul 17, 2023","Jul 18, 2023","Jul 19, 2023",,Kindle Edition,view,/book/show/78444188-pimenta-mel
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Meninas Selvagens,"Power, Rory*",,,B08D2HJXNB,328        pp,3.46,"88,216","Jul 09, 2019","Aug 24, 2020",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,41,1,not set,"Jul 13, 2023","Jul 14, 2023",,Kindle Edition,view,/book/show/54558383-meninas-selvagens
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Greenwich Park,"Faulkner, Katherine",6555876271,9786555876277,B0BGML9ZCQ,463        pp,3.85,"62,868","Apr 01, 2021","Oct 17, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,31,1,"Jul 06, 2023","Jul 08, 2023","Jul 08, 2023",,Kindle Edition,view,/book/show/63914909-greenwich-park
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mulheres Negras Não Deveriam Morrer Exaustas,"Allen, Jayne*",6556091790,9786556091792,6556091790,384        pp,3.91,"14,072","Sep 06, 2018",2022,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,53,1,not set,"Jul 06, 2023","Jul 06, 2023",,Paperback,view,/book/show/61153816-mulheres-negras-n-o-deveriam-morrer-exaustas
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O ano do pensamento mágico,"Didion, Joan",6555111208,9786555111200,6555111208,240        pp,3.93,"242,946","Sep 01, 2005","May 17, 2021",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,32,1,Jul 2023,"Jul 02, 2023","Jul 02, 2023",,Paperback,view,/book/show/58556494-o-ano-do-pensamento-m-gico
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Humanos exemplares,"Leite, Juliana*",655921186X,9786559211869,,248        pp,4.16,165,unknown,"Jul 13, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,26,1,"Jun 27, 2023","Jun 29, 2023","Jun 29, 2023",,Paperback,view,/book/show/61079179-humanos-exemplares
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Em Carne Viva,"Woodson, Jacqueline*",6556922226,9786556922225,B09NML9BSP,163        pp,3.98,"78,236","Sep 17, 2019","Jan 14, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,36,1,"Jun 25, 2023","Jun 25, 2023","Jun 25, 2023",,Kindle Edition,view,/book/show/59986265-em-carne-viva
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Amêndoas,Sohn Won-Pyung,,,B0BX4LLMKZ,243        pp,4.17,"110,961","Mar 31, 2017","Mar 31, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,65,1,"Jun 21, 2023","Jun 22, 2023","Jun 22, 2023",,Kindle Edition,view,/book/show/123033353-am-ndoas
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cleópatra e Frankenstein,"Mellors, Coco*",9898860669,9789898860668,B0C8F8QC7M,420        pp,3.76,"106,601","Feb 15, 2022",Mar 2023,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,80,1,not set,"Jun 19, 2023","Jun 19, 2023",,Paperback,view,/book/show/115581245-cle-patra-e-frankenstein
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A mãe perfeita,"Molloy, Aimee",8595085757,9788595085756,B07XQJRLXP,304        pp,3.53,"59,271","May 01, 2018","Oct 02, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,34,1,"Jun 03, 2023","Jun 05, 2023","Jun 05, 2023",,Kindle Edition,view,/book/show/51994949-a-m-e-perfeita
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eu sei o que vocês fizeram no verão passado,"Duncan, Lois",655535576X,9786555355765,655535576X,192        pp,3.42,"16,791",Oct 1973,"Feb 04, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,32,1,not set,"May 24, 2023","May 24, 2023",,Paperback,view,/book/show/60161497-eu-sei-o-que-voc-s-fizeram-no-ver-o-passado
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A depressão é uma borboleta azul,"Cantele, Sabrine",6500766970,9786500766974,B0B48FWG1X,90        pp,3.45,521,unknown,"Jun 14, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,34,1,"May 13, 2023","May 13, 2023","May 13, 2023",,Kindle Edition,view,/book/show/63061323-a-depress-o-uma-borboleta-azul
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Depois daquele verão,"Fortune, Carley*",6553931305,9786553931305,B0BFZZNYVN,377        pp,4.22,"512,770","May 10, 2022","Oct 10, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,O melhor friends to lovers que eu já li e eu nem gosto de friends to lovers. Li em um dia!!!!!!!,Notes are private!,0,143,1,"May 11, 2023","May 11, 2023","May 12, 2023",,Kindle Edition,view (with text),/book/show/64409021-depois-daquele-ver-o
