,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,❀ Susan's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Can't Read, Can't Write, Here's My Book","Jacques, Michael",,9781775355007,,112        pp,4.70,84,unknown,unknown,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I had the privilege of hearing Michael Jacques and his “service” Dad (that is what Michael called him) speak last night. He was inspiring and his messI had the privilege of hearing Michael Jacques and his “service” Dad (that is what Michael called him) speak last night. He was inspiring and his message was one of belonging and inclusion! He has a legacy of focusing on his strengths and staying positive. This is a book that everyone should read, reflect on and think about the strengths that each individual brings. I am so inspired by this presentation and book. I am so pleased to add it to my book shelf dedicated to books signed by authors! ...more",Notes are private!,0,2,1,"Jan 30, 2024","Jan 30, 2024","Jan 30, 2024",,Paperback,view (with text),/book/show/40893279-can-t-read-can-t-write-here-s-my-book
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sleep Smarter: 21 Essential Strategies to Sleep Your Way to A Better Body, Better Health, and Bigger Success","Stevenson, Shawn",1623367395,9781623367398,1623367395,288        pp,3.97,"8,210","May 22, 2014","Mar 15, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Lots of sleep tips packed into one book. There was nothing revolutionary but I have blocked all light creeping into my room.,Notes are private!,0,0,1,"Jan 28, 2024","Feb 08, 2024","Jan 28, 2024",,Hardcover,view (with text),/book/show/26114128-sleep-smarter
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Miracle Equation: The Two Decisions That Move Your Biggest Goals from Possible, to Probable, to Inevitable","Elrod, Hal*",1984823701,9781984823700,1984823701,256        pp,4.16,"2,320",Dec 2017,"Apr 16, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"January has been a month of goal setting and this book, although it speaks of “miracles” really was about successful setting and meeting goals. Parts January has been a month of goal setting and this book, although it speaks of “miracles” really was about successful setting and meeting goals. Parts of it were inspiring including how to stay focused and avoid distractions (see also Things that Matter which I finished yesterday) and I am good with meditations, journaling and visualizing but he lost me with the affirmations…. I honestly can’t stop thinking about old SNL show’s and Phil Hartman’s character. I have rounded up my 2.5 to a 3. ...more",Notes are private!,0,0,1,"Jan 21, 2024","Jan 21, 2024","Jan 21, 2024",,Hardcover,view (with text),/book/show/42356916-the-miracle-equation
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Before the Coffee Gets Cold        (Before the Coffee Gets Cold, #1)","Kawaguchi, Toshikazu",1529029589,9781529029581,1529029589,272        pp,3.70,"406,566","Dec 06, 2015","Sep 19, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Before the coffee gets cold is a gentle palate cleanser when characters can time travel, learning about themselves and returning to the present “with Before the coffee gets cold is a gentle palate cleanser when characters can time travel, learning about themselves and returning to the present “with a change of heart”. The characters are gentle, kind and it is an easy read between more dense stories....more",Notes are private!,0,4,1,"Jan 21, 2024","Jan 28, 2024","Jan 21, 2024",,Paperback,view (with text),/book/show/44421460-before-the-coffee-gets-cold
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Peace Is Every Step: The Path of Mindfulness in Everyday Life,Thich Nhat Hanh,0553351397,9780553351392,0553351397,134        pp,4.31,"42,008",1992,"Mar 01, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Paperback,view,/book/show/14572.Peace_Is_Every_Step
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Things That Matter: Overcoming Distraction to Pursue a More Meaningful Life,"Becker, Joshua*",0593193970,9780593193976,0593193970,256        pp,3.82,"2,820",Apr 2022,"Apr 19, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book helps readers think about reducing the distractions in our lives and concentrating on our purpose and enjoying the journey. Reflections abouThis book helps readers think about reducing the distractions in our lives and concentrating on our purpose and enjoying the journey. Reflections about the distraction of social media and how it impacts focus, how we think about retirement and all the stuff that really doesn’t make us happy. ...more",Notes are private!,0,0,1,"Jan 19, 2024","Jan 20, 2024","Jan 19, 2024",,Hardcover,view (with text),/book/show/58636918-things-that-matter
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Because of Winn-Dixie,"DiCamillo, Kate*",0763616052,9780763616052,0763616052,182        pp,4.09,"257,087","Mar 01, 2000","Aug 06, 2001",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A friend was reading this book to his 5th grade class and I decided to listen to it over a couple of commutes. It is a sweet story of a girl and a dogA friend was reading this book to his 5th grade class and I decided to listen to it over a couple of commutes. It is a sweet story of a girl and a dog who rescue each other. There is a colourful cast of characters that learn and grow together as Opal comes to understand that you never really know what others are dealing with. ...more,Notes are private!,0,1,1,"Jan 03, 2024","Jan 16, 2024","Jan 16, 2024",,Paperback,view (with text),/book/show/357664.Because_of_Winn_Dixie
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Little Liar,"Albom, Mitch*",0062406655,9780062406651,0062406655,352        pp,4.62,"33,154",unknown,"Nov 14, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Sadly, there is always more to learn about the horrors of the Holocaust. Writing in an accessible, descriptive and easy to read flow of prose, Albom tSadly, there is always more to learn about the horrors of the Holocaust. Writing in an accessible, descriptive and easy to read flow of prose, Albom tells the tale of 4 individuals forever connected by the horrible events in Greece which led a community to the atrocities of Auschwitz. I had no idea that the Nazi horrors extended to the Jewish population in Greece. I grew attached to Nico, Sebastian and Fannie as they tried to put their lives back together and it made me reflect on how lucky I have been in my own lifetime. ...more",Notes are private!,0,3,1,"Jan 15, 2024","Jan 16, 2024","Jan 15, 2024",,Hardcover,view (with text),/book/show/112975105-the-little-liar
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Right Kind of Wrong: The Science of Failing Well,"Edmondson, Amy C.",1982195061,9781982195069,1982195061,368        pp,4.02,967,unknown,"Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 14, 2024",not set,"Jan 14, 2024",,Hardcover,view,/book/show/101162068-right-kind-of-wrong
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fourteen Days: An Unauthorized Gathering,"Atwood, Margaret*",,,B09PGCJQSK,384        pp,3.32,"2,232","Feb 06, 2024","Feb 06, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Fourteen Days is an interesting compilation of stories told on an apartment rooftop in the midst of the COVID-19 pandemic. While Margaret Atwood contrFourteen Days is an interesting compilation of stories told on an apartment rooftop in the midst of the COVID-19 pandemic. While Margaret Atwood contributed, she also edited the stories into the book Fourteen Days. Notable Canadian and American authors included: John Grisham, Emma Donahue, Tommy Orange, R.L. Stone, Celeste Ng, Diana Gabaldon and a myriad of other authors totalling 36 contributions.A ragtag group of individuals met on the roof, banged pots to celebrate health care providers and became a community while they alternated telling stories.Not to share a spoiler, all I will say is that the ending brought things together for me. I appreciated this collaborative fiction for its' unique voice and coming together of so many authors. Some of the stories left me puzzling and if I didn't have a mass of other books to read, I would be curious to go back and reread in the frame of which authors contributed each story. I probably would have rated. 3.5 if this was a goodreads possibility and appreciate the unique voices in the story of a pandemic....more",Notes are private!,0,2,1,"Mar 17, 2024","Mar 30, 2024","Jan 12, 2024",,Kindle Edition,view (with text),/book/show/57467696-fourteen-days
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yellowface,"Kuang, R.F.*",,,,336        pp,3.80,"428,365","May 25, 2023","May 16, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I enjoyed this book and would have liked to give it a 3.5. It is fan fiction yet entwined a serious topic of cultural appropriation. It is a quick reaI enjoyed this book and would have liked to give it a 3.5. It is fan fiction yet entwined a serious topic of cultural appropriation. It is a quick read, a fast moving story with a tension created by wanting to like Junie while knowing she did something terribly wrong. It addresses the horrible culture of social media with snippets of twitter (now renamed) and attacks that go viral. It leaves a reader reflecting on the ethics of writing and who should be telling stories. It will be a fun book club discussion for February! ...more",Notes are private!,0,1,1,"Jan 12, 2024","Jan 13, 2024","Jan 12, 2024",,Hardcover,view (with text),/book/show/62047984-yellowface
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bad Cree,"Johns, Jessica",1443465488,9781443465489,1443465488,304        pp,3.93,"10,593","Jan 10, 2023","Jan 10, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This story has left me reflecting on the love and close ties of family yet I struggled to keep focused on it. It was a very slow, lingering tale whichThis story has left me reflecting on the love and close ties of family yet I struggled to keep focused on it. It was a very slow, lingering tale which I started on 3 separate occasions, before and after it was announced as part of the Canada Reads short list.I appreciated the resilience, the family, the characters but found it was a bit slow for me. I think it will lead to excellent discussion on Canada Reads!!...more",Notes are private!,0,2,1,"Jan 11, 2024","Jan 14, 2024","Jan 11, 2024",,Paperback,view (with text),/book/show/61650564-bad-cree
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Meet Me at the Lake,"Fortune, Carley*",,,B0B845FVDJ,334        pp,3.71,"199,381","May 02, 2023","May 02, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"If it wasn't for the notes at the end, I probably would have given this book a 2. If I could give half stars, I would have given it a 2.5 but am roundIf it wasn't for the notes at the end, I probably would have given this book a 2. If I could give half stars, I would have given it a 2.5 but am rounding it up to a 3. This was my last of the 5 short-listed books and I should note that I LOVE that Canada Reads introduces books that I might not normally read and books that others enjoy. it is wonderful to be introduced to a variety of new authors, writing styles and genres. Although romance is not my favourite, I am looking forward to the discussion.As for this book, I couldn't help but roll my eyes at some of the descriptions, Stephen King in his book On Writing would definitely be cringing (perhaps that is not the point and I should have just got into the flow of the beach type read and suspended my critical eye...) but really??? here are some examples:""how dark his eyes are, black as a crows wing""or""the air tasted of vending machine sandwiches, diesel fumes and misery"".... what??or""she had a round face with hazel doe eyes and a tiny cherry of a nose that under most circumstances made her seem deceptively innocent""or ""bottom lashes were an exaggerated curve, as black as the lake at midnight""In the end, the story made me think of friends who do own and live on a resort in Huntsville. the setting seemed idyllic. I think I might have liked the story if the writers notes at the end, were more incorporated into the story, dealing with more of the serious issues on PPD and anxiety.I am looking forward to the debates... I know that the best book does not always win but the defenders are always interesting and it always gets more Canadians interested in reading!!Let the games begin!!!...more",Notes are private!,3,2,1,"Jan 18, 2024","Jan 20, 2024","Jan 11, 2024",,Kindle Edition,view (with text),/book/show/61848488-meet-me-at-the-lake
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shut Up You're Pretty,"Mutonji, Téa",1551527553,9781551527550,1551527553,135        pp,3.60,"2,794","Apr 01, 2019","Apr 01, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This series of linked short stories was gritty and raw. It is sad to think about the struggles of teens and young g adults as they live in public housThis series of linked short stories was gritty and raw. It is sad to think about the struggles of teens and young g adults as they live in public housing and try to fit in. It causes readers to reflect on what others have dealt with, struggle through and overcome. It highlights that throughout the challenges, there is resilience and a capacity to move forward despite hardships. As an adult, it is hard to think of youth dealing with these adult issues and this should lead to interesting discussions on Canada reads. ...more",Notes are private!,0,6,1,"Jan 11, 2024","Jan 12, 2024","Jan 11, 2024",,Paperback,view (with text),/book/show/41810931-shut-up-you-re-pretty
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Denison Avenue,"Wong, Christina",177041715X,9781770417151,177041715X,328        pp,4.17,"1,075",unknown,"May 02, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I am thankful that this book was flagged to me by the Canada Reads long-list and wish that I had read it in a paper version so appreciate the beautifuI am thankful that this book was flagged to me by the Canada Reads long-list and wish that I had read it in a paper version so appreciate the beautiful drawings more. It is a poignant tale of seniors living in their neighbourhood (Chinatown) as it changes. It is about love, loss, kindness, grief, comfort and every day coping. It is beautifully written and a book that I would like a hard copy to re-read, slowly, to take in the dialogue (written often in both Cantonese and English), the memories and think about the areas depicted in the art. This book would make very interesting discussion as we often don't think about seniors, their lives, their memories and what they have to offer as well as the changes in community and the impacts on the long-term residents. This book is reflective, thought-provoking and will stay with me....more",Notes are private!,4,14,1,"Jan 06, 2024","Jan 07, 2024","Jan 06, 2024",,Paperback,view (with text),/book/show/64995552-denison-avenue
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remarkably Bright Creatures,"Van Pelt, Shelby",0063204150,9780063204157,0063204150,360        pp,4.40,"540,960","May 03, 2022","May 03, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book is just what I needed today. It was light, had a cast of quirky characters trying to sort out their own messy circumstances and a majestic oThis book is just what I needed today. It was light, had a cast of quirky characters trying to sort out their own messy circumstances and a majestic octopus named Marcellus who bonded with Tova and solved problems in his own way. ...more",Notes are private!,0,1,1,"Jan 06, 2024","Jan 06, 2024","Jan 06, 2024",,Hardcover,view (with text),/book/show/58733693-remarkably-bright-creatures
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bluest Eye,"Morrison, Toni",,,,216        pp,4.11,"252,654","Jun 01, 1970","Sep 06, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Bluest Eye is a book my daughter will read for a nice English course. It also fits my January book club need for a banned book. This is a quick reThe Bluest Eye is a book my daughter will read for a nice English course. It also fits my January book club need for a banned book. This is a quick read, beautifully written but sad to empathize with the characters who have such hard lives. It is about resilience, hope, despair and struggle as a little girl wishes for blue eyes. ...more",Notes are private!,2,1,1,"Jan 05, 2024","Jan 05, 2024","Jan 05, 2024",,Paperback,view (with text),/book/show/11337.The_Bluest_Eye
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dialed In: Do Your Best When It Matters Most,"Sinclair, Dana",1982181877,9781982181871,1982181877,256        pp,3.68,41,unknown,"Jan 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 04, 2024",not set,"Jan 04, 2024",,Hardcover,view,/book/show/101160954-dialed-in
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Study for Obedience,"Bernstein, Sarah",1039009069,9781039009066,1039009069,208        pp,3.10,"7,230","Jul 06, 2023","Aug 22, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Perhaps the timing to read this book was not right for this Giller prize-winning novel… I struggled to stay focussed with the stream on consciousness Perhaps the timing to read this book was not right for this Giller prize-winning novel… I struggled to stay focussed with the stream on consciousness style of writing. The writing, itself, was lovely but I am still puzzling with the slow-paced story of an unnamed sister who goes to an unnamed place to live with her unnamed brother. It reads like past days of witch trials in some ways yet speaks to using the internet and cell phones. It is unique and well-written but not my cup of tea and was glad it was short in its’ oddness. ...more",Notes are private!,1,4,1,Jan 2024,"Jan 04, 2024","Jan 04, 2024",,Hardcover,view (with text),/book/show/123636870-study-for-obedience
