,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Maggi's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Refuge: An Unnatural History of Family and Place,"Williams, Terry Tempest",0679740244,9780679740247,0679740244,314        pp,4.18,"10,199",1991,2001,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 13, 2023",,Paperback,view,/book/show/820924.Refuge
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Island of Missing Trees,"Shafak, Elif*",0241434998,9780241434994,0241434998,354        pp,4.16,"102,013","Nov 02, 2021","Aug 05, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 07, 2023",,Hardcover,view,/book/show/56587382-the-island-of-missing-trees
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Have Some Questions for You,"Makkai, Rebecca*",0593490142,9780593490143,0593490142,438        pp,3.62,"101,922","Feb 21, 2023","Feb 21, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Interesting and compelling to read, but ultimately unsatisfying at the end. Raises good questions but does not really answer them.",Notes are private!,0,1,1,"Jun 05, 2023","Jun 17, 2023","May 01, 2023",,Hardcover,view (with text),/book/show/61053829-i-have-some-questions-for-you
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wish You Were Here,"Picoult, Jodi*",1984818414,9781984818416,1984818414,310        pp,3.93,"235,983","Nov 30, 2021","Nov 30, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 03, 2023",,Hardcover,view,/book/show/57701764-wish-you-were-here
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Demon Copperhead,"Kingsolver, Barbara",,,,560        pp,4.51,"398,005","Oct 18, 2022","Oct 18, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"One of Kingsolver's best, and I think have read them all. Her ability to voice a character whose life experiences are nothing like hers is absolutely One of Kingsolver's best, and I think have read them all. Her ability to voice a character whose life experiences are nothing like hers is absolutely mesmerizing. This book starts out sad and mildly interesting and slowly builds to a point where you can't put it down. For anyone afraid this book will be too bleak, I would say, keep reading. It's worth the emotional effort for all it offers....more",Notes are private!,0,4,1,Mar 2023,"Mar 18, 2023","Mar 01, 2023",,Hardcover,view (with text),/book/show/60194162-demon-copperhead
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Just Kids,"Smith, Patti*",,,,304        pp,4.21,"280,531","Jan 19, 2010","Jan 19, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Mar 2023,"Mar 18, 2023","Mar 01, 2023",,Hardcover,view,/book/show/341879.Just_Kids
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Year of the Monkey,"Smith, Patti*",0525657681,9780525657682,0525657681,171        pp,3.81,"17,058","Sep 24, 2019","Sep 24, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2023",,Hardcover,view,/book/show/44776548-year-of-the-monkey
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Line in the World: A Year on the North Sea Coast,"Nors, Dorthe",164445209X,9781644452097,164445209X,240        pp,3.98,628,"May 07, 2021","Nov 01, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 18, 2023",,Paperback,view,/book/show/59808431-a-line-in-the-world
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Spare,Prince Harry,0593593804,9780593593806,0593593804,410        pp,3.86,"354,171","Jan 10, 2023","Jan 10, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Much has been said about this book and to add my voice to the many is unnecessary, but I find people's reactions (and even some professional s) Much has been said about this book and to add my voice to the many is unnecessary, but I find people's reactions (and even some professional s) to this memoir puzzling. Harry spares no one in his family from an honest recounting, as is the norm for memoirs, and Spare is certainly well put together with J.R. Moehringer as ghostwriter, whose own memoir The Tender Bar  was a solid and compelling read. ""I'm tired of his whining,"" is a common response, as well as ""For people who want privacy, they sure share a lot,"" and ""Must be so awful having to go live in a mansion in Montecito."" All understandable, but as this book makes clear, Americans have no concept of the British tabloid culture nor the toll that the paparazzi takes on people's lives, offering large sums to neighbors, family members, and friends for photos and tidbits, harassing the royals and other celebrities and anyone who knows them absolutely mercilessly anywhere and everywhere. Another surprising aspect was how many even seemingly innocuous stories are completely made up out of whole cloth about conversations and situations that contain no truth whatsoever. Into this world comes Harry, whose beloved mother was hounded by paparazzi to her death. He watches as his fiancee and later wife is crucified for any and everything, in social media and newspaper stories that portray her as a villain for no apparent reason other than to take the spotlight off other family members who prefer their own reputations to be positive (Camilla does not come off well). Pretending to adhere to the ""don't complain, don't explain"" dictum, Harry's family offers not one word in defense of him or his wife, despite horrible and often racist ugliness that would crush any person, but especially one not accustomed to this madness. What I found in this book is a man who wanted to tell his side of a story that has been spun tightly and endlessly around him, a normal guy in a completely abnormal situation. A man from a wealthy family, born into great privilege with precious little agency or ability to act on his own, a man who has worked and used his fame to help others and to support good causes worldwide (particularly in Africa) and who finally escaped the insanity into which he was born. Does he overshare about his brother and father? This could certainly be argued, but as an American I don't see that the royal family has any particular entitlement to privacy, especially since it is not offered to them by their own press, and utter garbage about them all is printed constantly. What Harry and Meghan do with their notoriety now is anyone's guess, but I'm happy for them to have found some measure of peace....more",Notes are private!,0,2,1,not set,not set,"Feb 18, 2023",,Hardcover,view (with text),/book/show/62296528-spare
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remarkably Bright Creatures,"Van Pelt, Shelby",0063204150,9780063204157,0063204150,360        pp,4.40,"541,271","May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2023",,Hardcover,view,/book/show/58733693-remarkably-bright-creatures
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brotherless Night,"Ganeshananthan, V.V.*",0812997158,9780812997156,0812997158,348        pp,4.44,"2,033","Jan 03, 2023","Jan 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2023",,Hardcover,view,/book/show/60324341-brotherless-night
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Am I Alone Here?: Notes on Living to Read and Reading to Live,"Orner, Peter*",1936787253,9781936787258,1936787253,316        pp,3.97,919,"Oct 25, 2016","Oct 25, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2023",,Paperback,view,/book/show/28957174-am-i-alone-here
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lessons in Chemistry,"Garmus, Bonnie*",,,,390        pp,4.30,"1,230,733","Mar 31, 2022","Apr 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2023",,Hardcover,view,/book/show/58065033-lessons-in-chemistry
