,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sarah's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Killers of a Certain Age,"Raybourn, Deanna*",0593200705,9780593200704,0593200705,355        pp,3.86,"87,921","Sep 06, 2022","Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 12, 2023",,Paperback,view,/book/show/129927802-killers-of-a-certain-age
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Translation State,"Leckie, Ann*",031628971X,9780316289719,031628971X,422        pp,4.13,"8,713","Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 08, 2023",,Hardcover,view,/book/show/62873999-translation-state
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Out of the Everywhere, and Other Extraordinary Visions","Tiptree Jr., James",0345284852,9780345284853,0345284852,278        pp,4.20,162,"Nov 12, 1981","Nov 12, 1981",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 22, 2023",,Paperback,view,/book/show/27065.Out_of_the_Everywhere_and_Other_Extraordinary_Visions
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Songs of Betty Baach,"Taylor, Glenn",1625347308,9781625347305,1625347308,192        pp,4.33,15,"Mar 31, 2023","Mar 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2023",,Paperback,view,/book/show/63129849-the-songs-of-betty-baach
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Fever in the Heartland: The Ku Klux Klan's Plot to Take Over America, and the Woman Who Stopped Them","Egan, Timothy*",0735225265,9780735225268,0735225265,432        pp,4.40,"23,900","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2023",,Hardcover,view,/book/show/61423989-a-fever-in-the-heartland
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Always Crashing in the Same Car: A Novel after David Bowie,"Olsen, Lance",1573661996,9781573661997,,272        pp,4.23,30,unknown,"Feb 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2023",,Paperback,view,/book/show/61724214-always-crashing-in-the-same-car
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Road to Roswell,"Willis, Connie",0593499859,9780593499856,0593499859,399        pp,3.75,"4,927","Jun 27, 2023","Jun 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2023",,Hardcover,view,/book/show/58775691-the-road-to-roswell
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Haunting on the Hill,"Hand, Elizabeth",1408729571,9781408729571,1408729571,336        pp,3.38,"5,979","Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2023",,Hardcover,view,/book/show/62066190-a-haunting-on-the-hill
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"White Cat, Black Dog: Stories","Link, Kelly",0593449959,9780593449950,0593449959,272        pp,3.88,"4,716","Mar 28, 2023","Mar 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2023",,Hardcover,view,/book/show/61391802-white-cat-black-dog
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Broadway Revival,"Frankos, Laura",,,B09MR3MPNH,470        pp,4.72,53,unknown,"Nov 28, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2023",,Kindle Edition,view,/book/show/59753860-broadway-revival
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Waste Land: A Biography of a Poem,"Hollis, Matthew",0393240258,9780393240252,0393240258,544        pp,3.91,185,"Dec 20, 2022","Dec 20, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2023",,Hardcover,view,/book/show/60165376-the-waste-land
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Everyone In My Family Has Killed Someone        (Ernest Cunningham, #1)","Stevenson, Benjamin*",0143795651,9780143795650,0143795651,384        pp,3.81,"100,349","Mar 29, 2022","Mar 29, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2023",,Paperback,view,/book/show/59799026-everyone-in-my-family-has-killed-someone
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Astrotopia: The Dangerous Religion of the Corporate Space Race,"Rubenstein, Mary-Jane",0226821129,9780226821122,0226821129,224        pp,3.96,90,unknown,"Nov 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2023",,Hardcover,view,/book/show/60557045-astrotopia
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shy: The Alarmingly Outspoken Memoirs of Mary Rodgers,"Rodgers, Mary",0374298629,9780374298623,0374298629,480        pp,4.24,"1,749","Aug 09, 2022","Aug 09, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2023",,Hardcover,view,/book/show/58772710-shy
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Writing Retreat,"Bartz, Julia*",1982199458,9781982199456,1982199458,313        pp,3.43,"58,421","Feb 21, 2023","Feb 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2023",,Hardcover,view,/book/show/61273863-the-writing-retreat
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Candy House,"Egan, Jennifer*",1476716773,9781476716770,1476716773,368        pp,3.65,"57,143","Apr 05, 2022","Mar 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2023",,Paperback,view,/book/show/61272660-the-candy-house
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mr. Breakfast,"Carroll, Jonathan",1612199925,9781612199924,1612199925,272        pp,3.73,972,"Oct 15, 2019","Jan 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2023",,Hardcover,view,/book/show/61178503-mr-breakfast
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Translation State,"Leckie, Ann*",154916483X,9781549164835,,13        pp,4.13,"8,713","Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2023",,Audiobook,view,/book/show/62873911-translation-state
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Board to Death        (Board Game Shop, #1)","Connor,  C.J.*",1496742222,9781496742223,1496742222,240        pp,3.11,"1,157","Aug 22, 2023","Aug 22, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2023",,Paperback,view,/book/show/63882020-board-to-death
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happily: A Personal History-with Fairy Tales,"Mark, Sabrina Orah*",0593242475,9780593242476,0593242475,224        pp,3.89,506,"Mar 14, 2023","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2022",,Hardcover,view,/book/show/61327451-happily
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Orf,"Meltzer, David",,,,160        pp,4.25,4,1968,1968,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 04, 2022",,Mass Market Paperback,view,/book/show/43252313-orf
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hollywood’s Spies: The Undercover Surveillance of Nazis in Los Angeles        (Goldstein-Goren Series in American Jewish History, 11)","Rosenzweig, Laura B.",1479855170,9781479855179,1479855170,320        pp,3.96,47,unknown,"Sep 19, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 17, 2022",,Hardcover,view,/book/show/34791129-hollywood-s-spies
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Little Eve,"Ward, Catriona*",1250812658,9781250812650,1250812658,271        pp,3.76,"7,720","Jul 26, 2018","Oct 11, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 02, 2022",,Hardcover,view,/book/show/59808007-little-eve
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Terraformers,"Newitz, Annalee*",1250228018,9781250228017,1250228018,338        pp,3.39,"4,831","Jan 31, 2023","Jan 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 01, 2022",,Hardcover,view,/book/show/60784471-the-terraformers
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Terraformers,"Newitz, Annalee*",,,B09XL7N9XD,352        pp,3.39,"4,831","Jan 31, 2023","Jan 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 28, 2022",,Kindle Edition,view,/book/show/41070431-the-terraformers
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The First Bright Thing,"Dawson, J.R.*",1250805546,9781250805546,1250805546,336        pp,3.62,"2,335","Jun 13, 2023","Jun 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 22, 2022",,Hardcover,view,/book/show/61884813-the-first-bright-thing
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last House on Needless Street,"Ward, Catriona*",1788166167,9781788166164,1788166167,335        pp,3.86,"96,468","Mar 18, 2021","Jan 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Sep 17, 2022",,Hardcover,view,/book/show/54621094-the-last-house-on-needless-street
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Killers of a Certain Age,"Raybourn, Deanna*",0593200683,9780593200681,0593200683,368        pp,3.86,"87,921","Sep 06, 2022","Sep 06, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 15, 2022",,Hardcover,view,/book/show/60149532-killers-of-a-certain-age
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Little Devil in America: Notes in Praise of Black Performance,"Abdurraqib, Hanif",1984801198,9781984801197,1984801198,301        pp,4.61,"7,909","Mar 30, 2021","Mar 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 13, 2022",,Hardcover,view,/book/show/49247757-a-little-devil-in-america
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An Immense World: How Animal Senses Reveal the Hidden Realms Around Us,"Yong, Ed",,,,464        pp,4.47,"22,297","Jun 21, 2022","Jun 21, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 31, 2022",,Hardcover,view,/book/show/59575939-an-immense-world
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Form and Emptiness,"Ozeki, Ruth*",0399563644,9780399563645,0399563644,548        pp,4.03,"30,803","Sep 21, 2021","Sep 21, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 28, 2022",,Hardcover,view,/book/show/57004637-the-book-of-form-and-emptiness
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Summer in the City of Roses,"Keil, Michelle Ruiz*",1641291710,9781641291712,1641291710,336        pp,3.67,492,"Jul 06, 2021","Jul 06, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 22, 2022",,Hardcover,view,/book/show/56253675-summer-in-the-city-of-roses
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Water Museum,"Urrea, Luis Alberto*",0316334375,9780316334372,0316334375,272        pp,4.03,"1,231","Apr 07, 2015","Apr 07, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 22, 2022",,Hardcover,view,/book/show/22875098-the-water-museum
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Last Slave Ship: The True Story of How Clotilda Was Found, Her Descendants, and an Extraordinary Reckoning","Raines, Ben",1982136049,9781982136048,1982136049,304        pp,4.34,"2,417","Jan 25, 2022","Jan 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 22, 2022",,Hardcover,view,/book/show/58438513-the-last-slave-ship
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hopeland,"McDonald, Ian",1473202299,9781473202290,1473202299,648        pp,3.87,370,"Feb 16, 2023",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 03, 2022",,Paperback,view,/book/show/43063809-hopeland
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Many Half-Lived Lives of Sam Sylvester,"MacGregor, Maya",,9781635923599,163592359X,352        pp,4.21,"1,367","May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 02, 2022",,Hardcover,view,/book/show/49434060-the-many-half-lived-lives-of-sam-sylvester
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kismet,"Akhtar, Amina",1542034248,9781542034241,B09LVBGQLL,336        pp,3.51,"8,881","Aug 01, 2022","Aug 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 01, 2022",,Kindle Edition,view,/book/show/60166076-kismet
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Half-Built Garden,"Emrys, Ruthanna*",,,B09CNDZSYK,336        pp,3.65,"1,980","Jul 26, 2022","Jul 26, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Aug 01, 2022",,Kindle Edition,view,/book/show/41637112-a-half-built-garden
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Light of Days: The Untold Story of Women Resistance Fighters in Hitler's Ghettos,"Batalion, Judy*",0062874225,9780062874221,0062874225,592        pp,4.08,"8,102","Apr 06, 2021","Aug 02, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 31, 2022",,Paperback,view,/book/show/58385678-the-light-of-days
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Someone Should Pay for Your Pain,"Nicolay, Franz*",1948721139,9781948721134,1948721139,236        pp,4.15,135,unknown,"Aug 24, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 29, 2022",,Paperback,view,/book/show/54579015-someone-should-pay-for-your-pain
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Employees: A Workplace Novel of the 22nd Century,"Ravn, Olga",1999992881,9781999992880,1999992881,136        pp,3.68,"15,883","May 24, 2018","Oct 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,0,not set,not set,"Jul 28, 2022",,Paperback,view,/book/show/53780642-the-employees
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tales the Devil Told Me,"Fawkes, Jen*",1950413322,9781950413324,1950413322,190        pp,4.48,42,"Oct 05, 2021","Oct 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 21, 2022",,Paperback,view,/book/show/57934011-tales-the-devil-told-me
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Heart of Hidden Things        (The Gyrford Series #1),"Whitfield, Kit",152941489X,9781529414899,B09B1TR92P,362        pp,4.05,84,"Jun 09, 2022","Jun 09, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 21, 2022",,Kindle Edition,view,/book/show/59028207-in-the-heart-of-hidden-things
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dreams Must Explain Themselves,"Le Guin, Ursula K.",1473205948,9781473205949,1473205948,388        pp,4.22,226,1975,"Feb 01, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 18, 2022",,Paperback,view,/book/show/38455422-dreams-must-explain-themselves
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Siren Queen,"Vo, Nghi*",,,B09C4F52CS,281        pp,3.68,"10,626","May 10, 2022","May 10, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jul 15, 2022",,Kindle Edition,view,/book/show/54102727-siren-queen
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Klara and the Sun,"Ishiguro, Kazuo*",059331817X,9780593318171,059331817X,303        pp,3.75,"336,713","Mar 02, 2021","Mar 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2022",,Hardcover,view,/book/show/54120408-klara-and-the-sun
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Those Fantastic Lives: and Other Strange Stories,"Sides, Bradley*",1952536200,9781952536205,1952536200,130        pp,4.09,64,"Oct 01, 2021","Oct 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2022",,Paperback,view,/book/show/57137266-those-fantastic-lives
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daniel Boone’s Window: Poems,"Wimberley, Matthew",0807175684,9780807175682,0807175684,66        pp,4.60,10,unknown,"Sep 08, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2022",,Paperback,view,/book/show/57486673-daniel-boone-s-window
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Re-Enchantment of the World: Secular Magic in a Rational Age,"Landy, Joshua*",0804752990,9780804752992,0804752990,403        pp,3.80,10,"Jan 21, 2009","Jan 21, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"May 27, 2022",,Hardcover,view,/book/show/6322685-the-re-enchantment-of-the-world
