,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Marcy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How Can I Help You,"Sims, Laura*",059354370X,9780593543702,,256        pp,3.44,"9,738","Jul 18, 2023","Jul 18, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,0,not set,not set,"Jul 26, 2023",,Hardcover,view,/book/show/60392079-how-can-i-help-you
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hedge,"Delury, Jane*",1958506044,9781958506042,1958506044,304        pp,3.52,"1,013",2023,"Jun 06, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,0,not set,not set,"Jul 12, 2023",,Paperback,view,/book/show/121876799-hedge
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rewriting Illness: A View of My Own,"Benedict, Elizabeth*",,9781942134916,,204        pp,4.54,52,unknown,"May 23, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 19, 2023",,Paperback,view,/book/show/75345166-rewriting-illness
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Half-Life of a Stolen Sister,"Cantor, Rachel*",1641294647,9781641294645,1641294647,384        pp,3.38,160,"Jul 11, 2023","Jul 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 16, 2023",,Hardcover,view,/book/show/62981573-half-life-of-a-stolen-sister
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Go Back and Get It: A Memoir of Race, Inheritance, and Intergenerational Healing","Ford, Dionne*",164503013X,9781645030133,164503013X,256        pp,4.12,174,"Apr 04, 2023","Apr 04, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Dionne Ford did a very powerful thing with her memoir GO BACK AND GET IT. I see America differently, the backbone of the country's prosperity built upDionne Ford did a very powerful thing with her memoir GO BACK AND GET IT. I see America differently, the backbone of the country's prosperity built upon from the raping of black women. Wow. And yes. This book move's between Dionne's quest to the learn the history of her family, owner and slave. To understand why her ancestors stayed after receiving her freedom. It is one thing to learn about slavery in school. It is another to feel it in your bones. The past is personal. The author is shaken by history. As her reader, I was shaken by her discoveries. This book is able to connect the violence perpetrated on women then to the violence now. To the author's complicated present - and healing. Powerful and moving. ...more",Notes are private!,0,4,1,not set,not set,"Apr 18, 2023",,Hardcover,view (with text),/book/show/61918944-go-back-and-get-it
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A New Race of Men from Heaven,"Sen, Chaitali*",195604602X,9781956046021,195604602X,190        pp,4.28,65,unknown,"Jan 17, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,There is a certain kind of wonder in a short story. Chaitali can create an entire world in one evening -- like where a man goes out for dinner in a ThThere is a certain kind of wonder in a short story. Chaitali can create an entire world in one evening -- like where a man goes out for dinner in a Thai restaurant at a strip mall off of a highway. Fully realized immersive. ...more,Notes are private!,0,1,1,not set,not set,"Apr 16, 2023",,Paperback,view (with text),/book/show/62691800-a-new-race-of-men-from-heaven
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Last Innocent Year,"Florin, Daisy Alpert*",1250857031,9781250857033,1250857031,304        pp,3.76,"10,916","Feb 14, 2023","Feb 14, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Loved this book. It's this story, woman in college falling for her writing teacher, Daisy Alpert Florin wrote it as it was brand new, never written beLoved this book. It's this story, woman in college falling for her writing teacher, Daisy Alpert Florin wrote it as it was brand new, never written before. And it was. I felt like I was there, with Isabel, hearing her thoughts, experiencing her experiences, and I just loved her so much. ...more",Notes are private!,0,10,1,not set,not set,"Mar 31, 2023",,Hardcover,view (with text),/book/show/60741808-my-last-innocent-year
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vladimir,"Jonas, Julia May*",1982187638,9781982187637,1982187638,238        pp,3.45,"32,015","Feb 01, 2022","Feb 01, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The one word description I would give the experience of reading Vladimir: exhilarating. I got sucked in and then, I lost an entire day, because I had The one word description I would give the experience of reading Vladimir: exhilarating. I got sucked in and then, I lost an entire day, because I had to read this book until the end. ...more",Notes are private!,0,7,1,not set,not set,"Mar 23, 2023",,Hardcover,view (with text),/book/show/57846324-vladimir
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Age of Vice,"Kapoor, Deepti",0593328795,9780593328798,0593328795,544        pp,3.61,"28,127","Jan 03, 2023","Jan 03, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It's been a while since I have been so engrossed in this book. I admire the way Deepti Kapoor can handle such a big story -- from an eight year old AjIt's been a while since I have been so engrossed in this book. I admire the way Deepti Kapoor can handle such a big story -- from an eight year old Ajay sold into slavery, growing up the perfect servant, noticing the journalist girlfriend Neda of his boss -- and then the book moving perfectly into her story. There were other points of view, to, but these were the two characters I was most invested in, emotionally. This is the first of a trilogy and I am waiting for the next installment. ...more",Notes are private!,0,4,1,not set,not set,"Mar 11, 2023",,Hardcover,view (with text),/book/show/60177466-age-of-vice
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sense of Wonder,"Salesses, Matthew*",0316425710,9780316425711,0316425710,256        pp,3.65,"1,024","Jan 17, 2023","Jan 17, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,2,not setnot set,not setnot set,"Jan 01, 2023",,Hardcover,view,/book/show/61030525-the-sense-of-wonder
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dream Builders,"Mukherjee, Oindrila*",1953534635,9781953534637,1953534635,384        pp,3.68,531,"Jan 10, 2023","Jan 10, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Oct 24, 2022",,Paperback,view,/book/show/61340223-the-dream-builders
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The 12th Commandment,"Torday, Daniel*",1250191815,9781250191816,1250191815,304        pp,3.40,133,"Jan 17, 2023","Jan 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 24, 2022",,Hardcover,view,/book/show/60784625-the-12th-commandment
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Very Nice Box,"Blackett, Laura",,,B08C4RCYZL,320        pp,3.77,"4,263","Jul 06, 2021","Jul 06, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Obviously, I should have read this book a long time ago because it has Very Nice in the title and I wrote a book called Very Nice (but no boxes.) But Obviously, I should have read this book a long time ago because it has Very Nice in the title and I wrote a book called Very Nice (but no boxes.) But honestly, there were so many charming moment in the beginning and plot wise this book is a complete surprise, starts as one things and then becomes something else. It's a real box for dog lovers too. I am not a dog lover necessarily but I loved the dogs in this book. Ava is a wonderful main character. ...more",Notes are private!,0,4,1,not set,not set,"Oct 14, 2022",,Kindle Edition,view (with text),/book/show/54310999-the-very-nice-box
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Shore,"Runde, Katie*",198218017X,9781982180171,198218017X,294        pp,3.52,"4,470","May 10, 2022","May 24, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Oct 11, 2022",,Hardcover,view,/book/show/59097080-the-shore
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle*",,,,401        pp,4.18,"845,366","Jul 05, 2022","Jul 05, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,not set,not set,"Oct 01, 2022",,Hardcover,view,/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Disappearance of Trudy Solomon,"McCreary, Marcy*",0744304024,9780744304022,0744304024,400        pp,3.69,261,"Sep 07, 2021","Sep 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 28, 2022",,Paperback,view,/book/show/56960690-the-disappearance-of-trudy-solomon
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sweet Spot,"Poeppel, Amy*",1982176458,9781982176457,1982176458,400        pp,3.93,"11,560","Jan 31, 2023","Jan 31, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Amy Poeppel is basically the only writer who makes me laugh out loud. She is the creator of joyous anarchy -- there is a loveliness to her work. I lovAmy Poeppel is basically the only writer who makes me laugh out loud. She is the creator of joyous anarchy -- there is a loveliness to her work. I loved baby Hank and Waverly and Olivia and angry Melinda and so many of the characters in this book. I wish plots in real life could revolve the way they do in Poeppel's novels....more,Notes are private!,0,5,0,not set,not set,"Aug 24, 2022",,Paperback,view (with text),/book/show/61273778-the-sweet-spot
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fellowship Point,"Dark, Alice Elliott*",1982131810,9781982131814,1982131810,592        pp,4.07,"11,016","Jul 05, 2022","Jul 05, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A long book -- when it is wonderful -- is the very best thing. Strangely, I could have kept on reading this book, after it ended. It was a pleasure.",Notes are private!,0,2,1,not set,not set,"Aug 20, 2022",,Hardcover,view (with text),/book/show/58438505-fellowship-point
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Story Will Change: After the Happily Ever After,"Crane, Elizabeth*",1640094784,9781640094789,1640094784,272        pp,3.68,940,"Aug 09, 2022","Aug 09, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,It's always how astonishing how every divorce story is so different and so painful. I loved Crane's decision to write about hers in the third person aIt's always how astonishing how every divorce story is so different and so painful. I loved Crane's decision to write about hers in the third person and that the main character is called the wife. Crane is such a stylist and I kept on admiring sentences and paragraphs as I read. ...more,Notes are private!,0,5,1,not set,not set,"Aug 16, 2022",,Hardcover,view (with text),/book/show/58532977-this-story-will-change
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small World,"Zigman, Laura",0063088282,9780063088283,0063088282,304        pp,3.48,"4,160","Jan 10, 2023","Jan 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 11, 2022",,Hardcover,view,/book/show/60838158-small-world
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Girls' Guide to Hunting and Fishing,"Bank, Melissa",0143035479,9780143035473,0143035479,274        pp,3.36,"137,041","Dec 29, 1998","Mar 29, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I found a copy of this book in a free library and reread it. I don't love all the stories equally but the ones that I love, I love so much. Still. I fI found a copy of this book in a free library and reread it. I don't love all the stories equally but the ones that I love, I love so much. Still. I found out she just died of cancer -- and so last night, I finished the book. Big sigh. The stories about her boy friend, the older editor Archie and her father dying, they are as good as anything. This book also reminds me of a New York that doesn't really exist anymore, publishing too. Anyway, I loved it. ...more",Notes are private!,0,12,1,not set,not set,"Aug 04, 2022",,Mass Market Paperback,view (with text),/book/show/33926.The_Girls_Guide_to_Hunting_and_Fishing
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Flight,"Strong, Lynn Steger*",0063135140,9780063135147,0063135140,240        pp,3.44,"8,702","Nov 08, 2022","Nov 08, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,0,not set,not set,"Jul 13, 2022",,Hardcover,view,/book/show/60254211-flight
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lapvona,"Moshfegh, Ottessa",0593300262,9780593300268,0593300262,304        pp,3.54,"60,966","Jun 21, 2022","Jun 21, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 08, 2022",,Hardcover,view,/book/show/59089897-lapvona
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Evening Hero,"Lee, Marie Myung-Ok*",1476735077,9781476735078,1476735077,430        pp,3.83,"1,099","May 24, 2022","May 24, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,0,not set,not set,"Apr 30, 2022",,Hardcover,view,/book/show/59365049-the-evening-hero
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Win Me Something,"Wu, Kyle Lucia*",195114273X,9781951142735,195114273X,272        pp,3.55,"2,886","Nov 02, 2021","Nov 02, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I have always loved coming of age novels and I love Win Me Something. Willa is in her early twenties and doesn't know what do with her life. So she taI have always loved coming of age novels and I love Win Me Something. Willa is in her early twenties and doesn't know what do with her life. So she takes a nannying job with a nice girl -- with a ridiculously pretentious name (Bijou) in the the fanciest apartment in Tribeca and starts to feel like she belongs. Like she might be part of the family. Which she is not. She is the help. She has to pay for her own Mandarin lessons which is ironic and she is half Chinese and cannot speak the language. This is a quiet book. There were places for explosions that did not happen. Willa did not get caught wearing her bosses incredibly fancy dress and she did not have sex with her boss' attractive younger brother. But in the course of her year, she changes. A beautiful book. ...more",Notes are private!,0,4,1,not set,not set,"Apr 09, 2022",,Paperback,view (with text),/book/show/56889467-win-me-something
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Family Chao,"Chang, Lan Samantha*",0393868079,9780393868074,0393868079,303        pp,3.36,"9,087","Feb 01, 2022","Feb 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2022",,Hardcover,view,/book/show/58085230-the-family-chao
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Candy House,"Egan, Jennifer*",1476716765,9781476716763,1476716765,352        pp,3.65,"57,140","Apr 05, 2022","Apr 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2022",,Hardcover,view,/book/show/58437521-the-candy-house
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nightcrawling,"Mottley, Leila*",0593318935,9780593318935,0593318935,277        pp,3.99,"47,413","Jun 07, 2022","Jun 07, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2022",,Hardcover,view,/book/show/58537371-nightcrawling
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Now Is Not the Time to Panic,"Wilson, Kevin*",0062913506,9780062913500,0062913506,246        pp,3.69,"52,059","Nov 15, 2022","Nov 08, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I feel happy when in a world created by Kevin Wilson. He continuously surprised me in this book, the way he escalates the book. And so many small actsI feel happy when in a world created by Kevin Wilson. He continuously surprised me in this book, the way he escalates the book. And so many small acts of kindness. Like when Frankie Budge helps a boy win a slippery watermelon contest by getting her triplet brothers to help at the last minute. So many other examples. So many moments. Frankie Budge is just such a good character, too; I liked her so much. ...more",Notes are private!,0,16,0,not set,not set,"Mar 25, 2022",,Hardcover,view (with text),/book/show/60415700-now-is-not-the-time-to-panic
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Thrust,"Yuknavitch, Lidia*",0525534903,9780525534907,0525534903,352        pp,3.54,"1,969","Jun 28, 2022","Jun 28, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2022",,Hardcover,view,/book/show/59089701-thrust
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Work Wife,"Hart, Alison B.*",1525899767,9781525899768,1525899767,336        pp,3.32,"2,463","Jul 19, 2022","Jul 19, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Here is the blurb that I wrote for Alison's crazy engrossing debut novel:“Alison B. Hart’s debut novel, The Work Wife, takes us behind the scenes and Here is the blurb that I wrote for Alison's crazy engrossing debut novel:“Alison B. Hart’s debut novel, The Work Wife, takes us behind the scenes and into the carefully constructed lives of the Hollywood elite and their staff. It’s not pretty. Feminist and furious and sometimes very funny, The Work Wife is bursting with love for these wounded characters.”...more",Notes are private!,0,3,1,not set,not set,"Mar 18, 2022",,Hardcover,view (with text),/book/show/58686594-the-work-wife
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Matchmaker's Gift,"Loigman, Lynda Cohen*",1250278090,9781250278098,1250278090,320        pp,4.15,"17,002","Sep 20, 2022","Sep 20, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2022",,Hardcover,view,/book/show/59807961-the-matchmaker-s-gift
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Très sympa,"Dermansky, Marcy*",2258192609,9782258192607,B09KFPHY52,306        pp,3.24,"6,966","Jul 02, 2019","Feb 17, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Mar 11, 2022",,Kindle Edition,view,/book/show/59909049-tr-s-sympa
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Slouching Toward Radiance,"Barr, Heidi*",1953340504,9781953340504,1953340504,130        pp,4.71,28,unknown,"Apr 12, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2022",,Hardcover,view,/book/show/59041772-slouching-toward-radiance
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Run Towards the Danger: Confrontations with a Body of Memory,"Polley, Sarah",0593300351,9780593300350,0593300351,272        pp,4.34,"11,324","Mar 01, 2022","Mar 01, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I bought this book out of a base loyalty to Sarah Polley. I have loved her films for so long. I also used to always ask myself, why is she only in sucI bought this book out of a base loyalty to Sarah Polley. I have loved her films for so long. I also used to always ask myself, why is she only in such sad movies. This book explains a lot. While I don't think this was Polley's intention, I felt such heartbreak, reading about her as a child actress being asked to do insane things. Sexual abuse. And I felt a connection to her, wanting to do things differently, to be a mother. Walking her kids to school. There is something about the voice she lands on when writing, honest, direct, incisive. These essays are riveting. ...more",Notes are private!,0,10,2,not setnot set,not setnot set,"Mar 11, 2022",,Hardcover,view (with text),/book/show/58284103-run-towards-the-danger
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Time Tomorrow,"Straub, Emma*",052553900X,9780525539001,052553900X,310        pp,3.80,"131,375","May 17, 2022","May 17, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2022",,Hardcover,view,/book/show/59089704-this-time-tomorrow
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Things We Lost,"Giles, Maggie*",1990253040,9781990253041,1990253040,376        pp,3.87,190,"Apr 19, 2022","Apr 22, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2022",,Paperback,view,/book/show/58802276-the-things-we-lost
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When We Were Bright And Beautiful,"Medoff, Jillian*",0063142023,9780063142022,0063142023,336        pp,3.41,"25,029","Aug 02, 2022","Aug 02, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2022",,Hardcover,view,/book/show/59314715-when-we-were-bright-and-beautiful
