,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Tony's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,36 Yalta Boulevard: A Novel        (Ruthenia Quintet Book 3),"Steinhauer, Olen*",,,B003GY0KT8,320        pp,3.87,"1,300","May 19, 2005",unknown,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/8473091-36-yalta-boulevard
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Good German,"Kanon, Joseph*",,,B00FO7RO9O,548        pp,3.78,"6,790","Sep 30, 2001","Apr 01, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/20766540-the-good-german
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Istanbul Passage,"Kanon, Joseph*",,,B005GG0KJO,418        pp,3.64,"6,323","May 29, 2012","May 29, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/18856724-istanbul-passage
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Cry of the Icemark        (The Icemark Chronicles, #1)","Hill, Stuart",,,B004YVVS3E,478        pp,4.12,"11,531","Jan 01, 2005","May 01, 2011",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/11527322-the-cry-of-the-icemark
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Inheritors: Introduced by Ben Okri,"Golding, William",,,B007KOGVQ6,238        pp,3.52,"4,884",1955,"Mar 15, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/18995786-the-inheritors
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Zero to One: Notes on Startups, or How to Build the Future","Thiel, Peter",,,,223        pp,4.16,"355,025","Sep 16, 2014","Sep 16, 2014",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/22047640-zero-to-one
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Meditations,Marcus Aurelius,,,B00IMLL63O,130        pp,4.28,"247,837",180,"Feb 23, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/22466808-meditations
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Decline of the West, Vols 1-2","Spengler, Oswald",,,B00O0YNYNW,"1,271        pp",4.06,"1,978",1918,"Sep 28, 2014",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/23443402-decline-of-the-west-vols-1-2
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,George Washington's Rules of Civility Traced to their Sources and Restored by Moncure D. Conway,"Conway, Moncure Daniel",,,B0084C701S,88        pp,3.89,192,"Jan 01, 1890","May 17, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/18876181-george-washington-s-rules-of-civility-traced-to-their-sources-and-restor
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Child's Own Book of Great Musicians: Verdi,"Tapper, Thomas",,,B004TREDBM,12        pp,3.67,6,"Mar 24, 2011","Mar 24, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/19072209-child-s-own-book-of-great-musicians
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Child's Own Book of Great Musicians: Liszt,"Tapper, Thomas",,,B004TSBAWG,12        pp,2.86,7,"Mar 24, 2011","Mar 24, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/19167523-child-s-own-book-of-great-musicians
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Johann Sebastian Bach The story of the boy who sang in the streets,"Tapper, Thomas",,,B004UJI856,5        pp,3.53,15,"Nov 30, 2010","Mar 30, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/19063815-johann-sebastian-bach-the-story-of-the-boy-who-sang-in-the-streets
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mozart The story of a little boy and his sister who gave concerts,"Tapper, Thomas",,,B004UJAY80,32        pp,3.35,20,"Dec 06, 2010",unknown,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/11342105-mozart-the-story-of-a-little-boy-and-his-sister-who-gave-concerts
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Franz Joseph Haydn The Story of the Choir Boy who became a Great Composer,"Tapper, Thomas",,,B004UJIC1Q,11        pp,3.25,12,"Mar 30, 2011","Mar 30, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/19438810-franz-joseph-haydn-the-story-of-the-choir-boy-who-became-a-great-compose
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wagner The Story of the Boy Who Wrote Little Plays,"Tapper, Thomas",,,B004TRD8AE,8        pp,3.88,8,"Mar 24, 2011","Mar 24, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/19431998-wagner-the-story-of-the-boy-who-wrote-little-plays
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chopin The Story of the Boy Who Made Beautiful Melodies,"Tapper, Thomas",,,B004TRMLZC,44        pp,3.50,8,"Feb 16, 2011","Mar 24, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/19432208-chopin-the-story-of-the-boy-who-made-beautiful-melodies
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Schumann The Story of the Boy Who Made Pictures in Music,"Tapper, Thomas",,,B004TSB242,10        pp,4.00,4,"Mar 24, 2011","Mar 24, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/19432005-schumann-the-story-of-the-boy-who-made-pictures-in-music
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Child's Own Book of Great Musicians: Grieg,"Tapper, Thomas",,,B004TROWGI,13        pp,3.50,6,"Mar 24, 2011","Mar 24, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/19167521-child-s-own-book-of-great-musicians
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Child's Own Book of Great Musicians: Schubert,"Tapper, Thomas",,,B004TROK2O,11        pp,3.58,12,"Jan 28, 2011","Mar 24, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/19167529-child-s-own-book-of-great-musicians
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Child's Own Book of Great Musicians: Handel,"Tapper, Thomas",,,B004TRE3IU,13        pp,3.78,9,"Feb 16, 2011","Mar 24, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/19167533-child-s-own-book-of-great-musicians
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beethoven The story of a little boy who was forced to practice,"Tapper, Thomas",,,B004UJBYDE,13        pp,3.56,27,"Nov 30, 2010","Mar 30, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/19057551-beethoven-the-story-of-a-little-boy-who-was-forced-to-practice
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Call of the Wild,"London, Jack",,,B0083ZBW2Y,150        pp,3.90,"430,298",1903,"May 16, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/16064673-the-call-of-the-wild
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Martin Eden,"London, Jack",,,B004TPFKPM,807        pp,4.47,"43,036",1908,"Mar 24, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/11377018-martin-eden
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Anne:The Green Gables complete Collection, #1-8","Montgomery, L.M.",,,B00TVM31GS,"2,077        pp",4.45,"105,120","Jan 01, 1921","Feb 20, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/24994035-anne
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Go Set a Watchman,"Lee, Harper",,,,288        pp,3.31,"273,808","Jul 14, 2015","Jul 14, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/24818632-go-set-a-watchman
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"BEAU TRILOGY (BEAU GESTE, BEAU SABREUR, BEAU IDEAL) & 36 STORIES OF THE FOREIGN LEGION        (BEAU GESTE, BEAU SABREUR, BEAU IDEAL) & 36 STORIES OF THE FOREIGN LEGION (Timeless Wisdom Collection Book 3670)","Wren, P.C.",,,B00QQHIRB0,unknown,4.10,80,"Apr 12, 2010","Dec 07, 2014",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/24016950-beau-trilogy-beau-geste-beau-sabreur-beau-ideal-36-stories-of-the
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Coffee Break Classics Vol. One: Short Fiction by the World's Greatest Authors from Sparrow Classics,"Morneau, Alice",,,B00JKYWSNE,219        pp,2.00,1,"Jun 17, 2014","Jul 31, 2014",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/22709729-coffee-break-classics-vol-one
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration","Catmull, Ed",,,,368        pp,4.22,"92,932",Sep 2014,"Apr 08, 2014",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/19816540-creativity-inc
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Forever Amber,"Winsor, Kathleen",1613745133,,B0087GZ8EW,986        pp,3.99,"18,638",1944,"Feb 01, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/18906584-forever-amber
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Long Ships,"Bengtsson, Frans G.",,,B003WUYOP2,528        pp,4.27,"11,013",1941,"Jul 06, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/10081041-the-long-ships
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rabbit Who Wants to Fall Asleep: A New Way of Getting Children to Sleep,"Ehrlin, Carl-Johan Forssén",,,B014TE1FLU,27        pp,3.46,"2,215",2001,"Apr 08, 2014",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/26215264-the-rabbit-who-wants-to-fall-asleep
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Saban: The Making of a Coach,"Burke, Monte",,,B00P42WWXW,353        pp,4.14,856,"Aug 04, 2015","Aug 04, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/26036120-saban
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,1356        (The Grail Quest #4),"Cornwell, Bernard*",,,,627        pp,4.13,"14,239",2012,"Jan 08, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/15983602-1356
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Rebel        (The Starbuck Chronicles, #1)","Cornwell, Bernard*",,,B000N2HC1U,418        pp,3.91,"7,029",1993,unknown,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/8465050-rebel
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Bloody Ground        (The Starbuck Chronicles, #4)","Cornwell, Bernard*",,,B000N2HBZW,434        pp,4.21,"4,681","Jan 08, 1996",unknown,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/8714211-the-bloody-ground
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Last Kingdom        (The Saxon Stories, #1)","Cornwell, Bernard*",,,,384        pp,4.27,"100,506",2004,"Mar 17, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/5448281-the-last-kingdom
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Moral Sense,"Wilson, James Q.",,,B00317G7HE,338        pp,3.91,220,"Jun 18, 2008","Nov 06, 1997",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 05, 2016","May 28, 2018","Feb 05, 2016",,Kindle Edition,view,/book/show/19298033-the-moral-sense
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Copperhead        (The Starbuck Chronicles, #2)","Cornwell, Bernard*",,,B000N2HC06,484        pp,4.05,"5,099","Jan 01, 1994",unknown,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/8714210-copperhead
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Battle Flag        (The Starbuck Chronicles, #3)","Cornwell, Bernard*",,,B000N2HBZM,482        pp,4.14,"4,170","Jan 01, 1995",unknown,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/8487669-battle-flag
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Agincourt,"Cornwell, Bernard*",,,B001NLL8X8,467        pp,4.15,"29,582",2008,"Oct 06, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/8135399-agincourt
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sharpe's Rifles        (Sharpe, #6)","Cornwell, Bernard*",,,B000RAK4U4,306        pp,4.26,"17,983",1988,"Feb 01, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 05, 2016",,Kindle Edition,view,/book/show/6574677-sharpe-s-rifles
