,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Connie's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Argentine Ant,"Calvino, Italo",,,,unknown,3.27,443,1952,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,,view,/book/show/6752551-the-argentine-ant
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Man by the Name of Ziegler,"Hesse, Hermann",1465572279,9781465572271,B00AFE5JQ6,10        pp,3.75,28,"Jul 29, 2009","Jul 29, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Kindle Edition,view,/book/show/19285559-a-man-by-the-name-of-ziegler
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Father's Last Escape,"Schulz, Bruno",,,,unknown,3.30,27,"Jan 01, 1978",1978,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Father's Last Escape"" is a strange story that was published in Polish in 1937 in the collection, ""Sanatorium Under the Sign of the Hourglass."" It's t""Father's Last Escape"" is a strange story that was published in Polish in 1937 in the collection, ""Sanatorium Under the Sign of the Hourglass."" It's the last story in a series of interconnected short stories set in the Jewish quarter of Drohobycz.Joseph's family has gone through some hard times, and his father has been dying and reincarnated in other forms several times. His most recent transformation was into a crab or a large scorpion. The crab is constantly running around the house, crawling under doors, climbing the wallpaper, and the family feels on edge. Then someone intervenes in this strange situation.Everything in this story is surreal, and it makes one think about Kafka's ""Metamorphosis."" Does this weird story with absurd situations have a meaning? It could be a reflection on dying from a long illness such as Alzheimer's Disease or cancer with all the ups and downs of a terminal prognosis. The hourglass in the title of the collection also suggests death. The story could also refer to other ways we might transform in our lives, choosing new pathways to explore and reinventing ourselves. ""Father's Last Escape"" was an interesting little story that had me curious about the other stories in the collection.I'm reading this story from the ""Black Water"" anthology with The Short Story Club....more",Notes are private!,0,2,1,"Apr 10, 2024","Apr 11, 2024","Mar 22, 2024",,,view (with text),/book/show/15830381-father-s-last-escape
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lady into Fox,"Garnett, David",1932416056,9781932416053,1932416056,78        pp,3.65,"2,120",1922,"Jan 02, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Hardcover,view,/book/show/785371.Lady_into_Fox
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let Us Now Praise Famous Men,"Agee, James",0141188499,9780141188492,0141188499,416        pp,3.99,"3,818",Aug 1941,"Apr 06, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"In 1936, James Agee was sent to Alabama by Fortune magazine to write a story about the plight of tenant farmers during the Great Depression. His frienIn 1936, James Agee was sent to Alabama by Fortune magazine to write a story about the plight of tenant farmers during the Great Depression. His friend, photographer Walker Evans, traveled with him to photograph three families of impoverished tenant farmers in a rural area. The magazine article was not published, but the material was turned into a book in 1941.""Let Us Now Praise Famous Men"" opens with sixty-two of Evan's stark black and white photographs in unnumbered pages. Evans documents their gaunt, weary faces, their ragged clothing, and their rundown shelters. There is a feeling of strength and resilience in the eyes of the tenant families who are portrayed with dignity.James Agee, who was also a poet, wrote the text of the book in several styles. There are beautiful lyrical passages, journalistic descriptions, and stream of consciousness chapters where he often goes off topic. Agee was quite experimental and creative in his presentation with some parts of the book working better than others.In addition to writing about the tenant farmers, Agee also wrote about how the experience was making him feel. He struggled with the fact that he and Evans were spying on and possibly exploiting these tenant families for their own personal gain. It may have been good journalism, but Agee was revealing the intimate details of their lives to the general public.The tenant farmer has no land, no house, and sometimes lacks a mule and farming implements. The landlord gives him these in return for his share of cotton and corn. The tenant farmer will also owe the landlord for seed, fertilizer, and ration money that was advanced during the four months of March through June. The ration money usually runs out before the new crops are harvested so they go through some lean, hungry times unless they can find supplemental work at the sawmill or other employment. ""Let Us Now Praise Famous Men"" is an important work documenting both the 1930s and the struggle of the tenant families. ...more",Notes are private!,6,7,1,"Mar 29, 2024","Apr 10, 2024","Mar 21, 2024",,Paperback,view (with text),/book/show/243360.Let_Us_Now_Praise_Famous_Men
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Willows,"Blackwood, Algernon",1587156520,9781587156526,1587156520,105        pp,4.07,"13,226",1907,"Feb 04, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Paperback,view,/book/show/1335601.The_Willows
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tales From Firozsha Baag,"Mistry, Rohinton",0571230563,9780571230563,0571230563,320        pp,3.93,"4,346",1987,"Oct 19, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Paperback,view,/book/show/828698.Tales_From_Firozsha_Baag
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tell Me Everything,"Strout, Elizabeth*",0593446097,9780593446096,0593446097,336        pp,4.60,20,unknown,"Aug 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,Hardcover,view,/book/show/204811915-tell-me-everything
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shelterwood,"Wingate, Lisa*",0593726502,9780593726501,0593726502,368        pp,4.21,250,"Jun 04, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Hardcover,view,/book/show/198563674-shelterwood
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Memory Police,"Ogawa, Yōko",1101911816,9781101911815,1101911816,274        pp,3.73,"88,688","Jan 26, 1994","Jul 28, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Paperback,view,/book/show/50349968-the-memory-police
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Darkness at Noon,"Koestler, Arthur",1784873195,9781784873196,1784873195,304        pp,4.11,"30,628",1940,"Sep 17, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/49376777-darkness-at-noon
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Radio Golf,"Wilson, August",1559363088,9781559363082,1559363088,81        pp,3.93,763,"Jan 01, 2005","Jun 01, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Paperback,view,/book/show/516747.Radio_Golf
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tattooer,"Tanizaki, Jun'ichirō",,,B00TM97W38,116        pp,3.72,624,1910,"Feb 13, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,There are sadistic and erotic elements present in the title short story about a tattoo artist who tattoos the back of a beautiful woman. The image traThere are sadistic and erotic elements present in the title short story about a tattoo artist who tattoos the back of a beautiful woman. The image transforms and empowers her.An image of the Joro spider on the back of a woman from a movie (with a little different plot):https://criterionforum.org/Review/ire......more,Notes are private!,0,25,1,"Mar 21, 2024","Mar 23, 2024","Mar 06, 2024",,Kindle Edition,view (with text),/book/show/25041492-the-tattooer
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Peter og Rosa,"Dinesen, Isak",,,,unknown,4.23,13,unknown,1942,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"There is gorgeous spring imagery in the short story, ""Peter and Rosa,"" by the Danish author Isak Dinesen (Karen Blixen). It is part of her collection,There is gorgeous spring imagery in the short story, ""Peter and Rosa,"" by the Danish author Isak Dinesen (Karen Blixen). It is part of her collection, ""Winter Tales,"" published in the early 1940s. Peter has no use for his studies with his clergyman guardian who focuses on the hereafter. He feels he has to go to sea to fulfill his destiny, even though he knows that many sailors die in shipwrecks. Rosa has dreams of a darker nature. Peter and Rosa spend a beautiful spring afternoon together around the ice on the sound. They each fulfill their destinies, but not in the way they imagined.In the middle of the larger story, Peter tells a folktale about a sea captain and his wife that has a magical quality to it, and could be read as a stand-alone tale. Isak Dinesen was also a painter, and her artistic eye is very visible in her lovely descriptions....more",Notes are private!,8,23,1,"Mar 17, 2024","Mar 17, 2024","Mar 06, 2024",,,view (with text),/book/show/33949548-peter-og-rosa
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rime of the Ancient Mariner,"Coleridge, Samuel Taylor",0486223051,9780486223056,0486223051,77        pp,3.96,"59,083",1798,"Jun 01, 1970",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Paperback,view,/book/show/732562.The_Rime_of_the_Ancient_Mariner
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gem of the Ocean,"Wilson, August",1559362804,9781559362801,1559362804,85        pp,4.13,"1,604",2003,"Jul 17, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Paperback,view,/book/show/764325.Gem_of_the_Ocean
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,King Hedley II,"Wilson, August",155936260X,9781559362603,155936260X,104        pp,3.95,653,"May 01, 2005","May 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Paperback,view,/book/show/888792.King_Hedley_II
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Long Island        (Eilis Lacey, #2)","Tóibín, Colm",1476785112,9781476785110,1476785112,304        pp,4.07,147,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Hardcover,view,/book/show/199798868-long-island
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lady Windermere's Fan,"Wilde, Oscar",014062399X,9780140623994,014062399X,70        pp,3.92,"24,942",1892,1995,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The subtitle of Lady Windermere's Fan is ""A Play About a Good Woman."" Goodness and evil are at the heart of the play, and the characters change over tThe subtitle of Lady Windermere's Fan is ""A Play About a Good Woman."" Goodness and evil are at the heart of the play, and the characters change over the course of the action. Lady Windermere hears gossip about her husband and another woman which sets up a series of reactions. The morality of the characters is ambiguous, and is handled in a humorous way.The Victorian era was a time of double standards in terms of morality. Women were judged in much harsher terms, and reputations could be lost very easily in an unforgiving society. Maintaining a good appearance was important.There are several mothers in the play. The Dutchess of Berwick is a helicopter parent that never lets her daughter finish a sentence. Mrs Erlynne was not a good mother in her child's early life, but sacrifices herself later. Lady Windermere is upset about a rumor, but Mrs Erlynne keeps her from doing something drastic by reminding her that her son needs her.Lord Darlington is a charming man who has great witty lines that also make us think about society:""It is absurd to divide people into good and bad. People are either charming or tedious.""""We are all in the gutter, but some of us are looking at the stars.""Oscar Wilde's writing is superb in this comedy of manners. Although it is about Victorian society, it still feels fresh because human nature does not change....more",Notes are private!,2,19,1,"Feb 26, 2024","Feb 28, 2024","Feb 26, 2024",,Paperback,view (with text),/book/show/122649.Lady_Windermere_s_Fan
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How Wang-Fo Was Saved,"Yourcenar, Marguerite",,,,unknown,4.09,11,1936,unknown,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""How Wang-Fo Was Saved"" is a charming short story published in Marguerite Yourcenar's collection ""Oriental Tales"" in 1938. The Belgian author based th""How Wang-Fo Was Saved"" is a charming short story published in Marguerite Yourcenar's collection ""Oriental Tales"" in 1938. The Belgian author based the story on a Chinese legend, and it was translated by Alberto Manguel.Wang-Fo's artwork is so beautiful that it transcends reality. Some people, like his assistant Ling, can lose themselves inside the paintings so they are immersed in a world of beauty. Wang-Fo's and Ling's minds also transcend ordinary life because they are totally immersed in the beauty of the art world. The story tells about how the two men were imprisoned, and how Wang-Fo magically saves them through his total absorption and immersion in the scene he is painting.I read this story in ""Black Water: The Book of Fantastic Literature"" which I'm reading with the Short Story Club....more",Notes are private!,0,16,1,"Mar 04, 2024","Mar 05, 2024","Feb 23, 2024",,,view (with text),/book/show/205649743-how-wang-fo-was-saved
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"August 25, 1983","Borges, Jorge Luis",1101222557,9781101222553,,unknown,3.98,330,1980,"Jun 24, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A young Jorge Borges visits a dying Jorge Borges. They are the same person, but at different ages, each dreaming about his double or mirror. The olderA young Jorge Borges visits a dying Jorge Borges. They are the same person, but at different ages, each dreaming about his double or mirror. The older Borges tells his younger self about things he will experience in the future, but says he won't remember it because it's buried deep in a memory of a dream. (view spoiler)[But it might show up someday in a story he writes. (hide spoiler)]...more",Notes are private!,0,15,1,"Feb 28, 2024",Mar 2024,"Feb 23, 2024",,Audiobook,view (with text),/book/show/25361946-august-25-1983
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Seurat,"Russell, John",0500200327,9780500200322,0500200327,286        pp,3.72,25,1965,"Dec 30, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Paperback,view,/book/show/7010069-seurat
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Best Cat Ever,"Amory, Cleveland",0316089788,9780316089784,0316089788,272        pp,3.80,451,1993,"Oct 01, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Paperback,view,/book/show/58819.The_Best_Cat_Ever
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vaster Wilds,"Groff, Lauren*",0593418395,9780593418390,0593418395,272        pp,3.79,"24,350","Sep 12, 2023","Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2024",,Hardcover,view,/book/show/62952130-the-vaster-wilds
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Out of Ireland,"Wernicke, Marian O'Shea*",1647423996,9781647423995,,328        pp,4.05,152,unknown,"Apr 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2024",,Paperback,view,/book/show/63851437-out-of-ireland
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Then and Now,"Maugham, W. Somerset",,,,278        pp,3.58,634,"Jan 01, 1946",1946,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Plus ça change, plus c'est la même chose.""(The more things change, the more they stay the same.)The epigraph above, and the title ""Then and Now,"" sug""Plus ça change, plus c'est la même chose.""(The more things change, the more they stay the same.)The epigraph above, and the title ""Then and Now,"" suggest there may be political parallels between 1502 and 1946 when W. Somerset Maugham published the book. The story is about the three months when Niccolo Machiavelli worked as a Florentine diplomat negotiating with Cesare Borgia in Imola, Italy. Machiavelli later based his political book, ""The Prince,"" on the crafty Borgia, the illegitimate son of Pope Alexander VI. Borgia was fighting to control territory when Italy was a collection of city states and shifting loyalties.Maugham also includes some humorous episodes as Machiavelli manipulates people and makes elaborate plans in his quest to seduce the beautiful wife of his host where he is residing. Maugham took plot elements from Machiavelli's comic farce, ""The Mandrake,"" and wove them into ""Then and Now.""I would encourage readers to print out a map of the regions of Italy to get an idea of which areas are being fought over in 1502. In simple terms, France had influence in Naples, Milan, and some other northern provinces. Spain controlled some southern provinces in what is today's Italy. The Pope had influence in Rome and an alliance with the King of France. With the Pope's help, Cesare Borgia was trying to gain control of the city states in central Italy. He wanted an alliance with Machiavelli's Florence. Machiavelli and Borgia--both smart, devious men--were playing shrewd political games with each other.I found both Borgia and Machiavelli to be fascinating men, although I would not trust either of them. Maugham has taken ideas from ""The Prince"" and ""The Mandrake"" to create his own interesting fictional work....more",Notes are private!,4,28,1,"Feb 21, 2024","Feb 25, 2024","Feb 19, 2024",,Hardcover,view (with text),/book/show/5863383-then-and-now
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Importance of Being Earnest,"Wilde, Oscar",158049580X,9781580495806,158049580X,89        pp,4.17,"370,464","Feb 14, 1895",2005,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""The Importance of Being Earnest,"" an enjoyable comedy by Oscar Wilde, was first performed at the St James's Theatre in London in 1895. The farce feat""The Importance of Being Earnest,"" an enjoyable comedy by Oscar Wilde, was first performed at the St James's Theatre in London in 1895. The farce features two main male characters who adapt fictitious names whenever they want to get out of town to avoid social obligations or just have a good time. Their lies lead to many misunderstandings because both of the men have the same alias, and their new loves are women from each other's families.There's lots of upper-class social humor as the young people are evaluated for their suitability as potential mates by the imposing Lady Brocknell, the mother of Gwendolen. Wilde also plays with words that have a double meaning, the most obvious ones being Ernest and earnest. The three-act play was a delight to read with its clever satirical humor. I can only imagine how wonderful it would be with good comic actors on the stage. ...more",Notes are private!,4,33,1,"Feb 22, 2024","Feb 24, 2024","Feb 17, 2024",,Paperback,view (with text),/book/show/92303.The_Importance_of_Being_Earnest
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Journey of August King,"Ehle, John",0786880317,9780786880317,0786880317,224        pp,3.99,224,1971,"Nov 23, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Paperback,view,/book/show/994792.The_Journey_of_August_King
