,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Theresa's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Backyard Bird Chronicles,"Tan, Amy*",0593536134,9780593536131,,320        pp,4.32,94,"Apr 23, 2024","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Flexibound,view,/book/show/194803881-the-backyard-bird-chronicles
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Walden,"Thoreau, Henry David",,,,352        pp,3.78,"189,224","Aug 09, 1854","Apr 18, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2024",,Paperback,view,/book/show/16902.Walden
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Higher Ground: How Business Can Do the Right Thing in a Turbulent World,"Taylor, Alison",1647823439,9781647823436,1647823439,304        pp,4.61,18,unknown,"Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/122850181-higher-ground
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Waiting to Be Arrested at Night: A Uyghur Poet's Memoir of China's Genocide,Tahir Hamut Izgil,0593491793,9780593491799,0593491793,272        pp,4.31,"1,019",2023,"Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Hardcover,view,/book/show/63249763-waiting-to-be-arrested-at-night
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Invention of Nature: Alexander von Humboldt's New World,"Wulf, Andrea",038535066X,9780385350662,038535066X,473        pp,4.31,"25,275",Sep 2015,"Jan 01, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 30, 2023",,Hardcover,view,/book/show/23995249-the-invention-of-nature
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Flowers in Paris,"Jio, Sarah*",110188505X,9781101885055,110188505X,240        pp,4.22,"14,293","Aug 13, 2019","Aug 13, 2019",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Having just read Lilac Girls by Martha Hall Kelly, an historical fiction that also features female protagonists in Paris during WWII, this book by SarHaving just read Lilac Girls by Martha Hall Kelly, an historical fiction that also features female protagonists in Paris during WWII, this book by Sarah Jio pales in comparison in terms of historical accuracy and substance. Jio's writing style is romance with a bit of mystery - hence, my overall disappointment with this book. Both of her main characters, Celine and Caroline, made so many irrational decisions that caused me to roll my eyes quite a bit throughout the story. There were way too many convenient coincidences, and the ending could not have been more predictable. I finished it since it was a book club pick....more",Notes are private!,1,1,1,"Dec 31, 2023","Jan 10, 2024","Dec 18, 2023",,Hardcover,view (with text),/book/show/42859805-all-the-flowers-in-paris
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Loot,"James, Tania*",0593535979,9780593535974,0593535979,304        pp,3.83,"4,262","Jun 13, 2023","Jun 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 05, 2023",,Hardcover,view,/book/show/62802771-loot
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Plunder: Private Equity's Plan to Pillage America,"Ballou, Brendan*",1541702107,9781541702103,1541702107,368        pp,4.05,746,"Jun 27, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 19, 2023",not set,"Nov 27, 2023",,Hardcover,view,/book/show/62874267-plunder
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All Good People Here,"Flowers, Ashley*",0593496477,9780593496473,0593496477,312        pp,3.85,"220,292","Aug 16, 2022","Aug 16, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Hardcover,view,/book/show/60142750-all-good-people-here
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Woman They Could Not Silence: One Woman, Her Incredible Fight for Freedom, and the Men Who Tried to Make Her Disappear","Moore, Kate*",1492696722,9781492696728,1492696722,560        pp,4.30,"27,431","Jun 22, 2021","Jun 22, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Hardcover,view,/book/show/56132724-the-woman-they-could-not-silence
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,With the Old Breed: At Peleliu and Okinawa,"Sledge, E. B.",0195067142,9780195067149,0195067142,326        pp,4.47,"41,358","Nov 01, 1981","Oct 25, 1990",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 19, 2023",,Paperback,view,/book/show/771332.With_the_Old_Breed
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Helmet for My Pillow: From Parris Island to the Pacific,"Leckie, Robert",,,B0035J5DJ6,322        pp,4.21,"22,274",1957,"Feb 02, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 19, 2023",,Kindle Edition,view,/book/show/41021227-helmet-for-my-pillow
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Story of Edgar Sawtelle,"Wroblewski, David",0061374229,9780061374227,B005DIGU4O,566        pp,3.64,"98,778","Jun 01, 2008","Jun 01, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 12, 2023",,Hardcover,view,/book/show/2731276-the-story-of-edgar-sawtelle
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Before the Coffee Gets Cold        (Before the Coffee Gets Cold, #1)","Kawaguchi, Toshikazu",1529029589,9781529029581,1529029589,272        pp,3.70,"406,653","Dec 06, 2015","Sep 19, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not my cup of tea (coffee, in this case) - perhaps it's the translation, or maybe the premise, or the over-explanation throughout. Maybe it's best conNot my cup of tea (coffee, in this case) - perhaps it's the translation, or maybe the premise, or the over-explanation throughout. Maybe it's best consumed as a play and not as a book. The story did, however, get me thinking a bit philosophically about the idea of going back in time for a moment. Harai's situation with her sister and parents was the one that provided a compelling reason for the time travel. ...more",Notes are private!,0,0,1,"Nov 05, 2023","Nov 22, 2023","Oct 19, 2023",,Paperback,view (with text),/book/show/44421460-before-the-coffee-gets-cold
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Flight Girls,"Salazar, Noelle*",0778369226,9780778369226,0778369226,384        pp,4.23,"25,980","Jul 02, 2019","Jul 02, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not what I was expecting at all. Had the impression this would be a historical fiction book, but it ended up being romance, with a young adult twist. Not what I was expecting at all. Had the impression this would be a historical fiction book, but it ended up being romance, with a young adult twist. Majority of the book was about Audrey's confusion about two men and her eventual pining for one of them. WWII was a backdrop. Any descriptions or references to the war efforts or the surroundings felt superficial and poorly researched. It's like the author tried to sprinkle in names of military aircraft, programs, terms and some key places to indicate some level of research. And finally, the ending could not have been more predictable after a few chapters that had to do with her time in post-wartime Paris which lacked depth and emotion. ...more",Notes are private!,1,5,1,"Oct 16, 2023","Nov 03, 2023","Oct 16, 2023",,Paperback,view (with text),/book/show/41845116-the-flight-girls
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mr. Texas,"Wright, Lawrence*",0593537378,9780593537374,0593537378,323        pp,4.05,"1,955","Sep 19, 2023","Oct 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 16, 2023",,Hardcover,view,/book/show/78086724-mr-texas
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heaven & Earth Grocery Store,"McBride, James*",0593422945,9780593422946,0593422945,380        pp,4.08,"129,278","Aug 08, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 28, 2023",,Hardcover,view,/book/show/65678550-the-heaven-earth-grocery-store
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Changes: A Love Story,"Aidoo, Ama Ata",1558610650,9781558610651,1558610650,208        pp,3.79,"1,890",1991,"Nov 01, 1993",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A fascinating novella set in modern-day Ghana, Africa whose protagonists are grappling with gender, marriage, divorce, work and relationship concerns.A fascinating novella set in modern-day Ghana, Africa whose protagonists are grappling with gender, marriage, divorce, work and relationship concerns. It offered a look into the practice of polygamy that, while technically illegal, could still occur between a wealthy man and a willing female. References to the local foods, customs and places enriched the story. While Esi and Opokuya's characters were quite developed, the book would have been stronger with more about Fusena - Ali's 'first' wife. ...more",Notes are private!,0,3,1,"Sep 28, 2023","Oct 16, 2023","Sep 28, 2023",,Paperback,view (with text),/book/show/73973.Changes
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Solito,"Zamora, Javier*",0593498062,9780593498064,0593498062,384        pp,4.49,"40,610","Sep 06, 2022","Sep 06, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 25, 2023",,Hardcover,view,/book/show/59900688-solito
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Two Three,"Frankel, Laurie*",1250236770,9781250236777,1250236770,416        pp,3.88,"27,257","Jun 08, 2021","Jun 08, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 25, 2023",,Hardcover,view,/book/show/42346406-one-two-three
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Cake,"Wilkerson, Charmaine",059335835X,9780593358351,059335835X,416        pp,4.11,"176,134","Feb 01, 2022","Nov 29, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 25, 2023",,Paperback,view,/book/show/154605152-black-cake
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ordinary Men: Reserve Police Battalion 101 and the Final Solution in Poland,"Browning, Christopher R.",0060995068,9780060995065,0060995068,271        pp,4.10,"19,497","Feb 01, 1992","Apr 24, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 24, 2023",,Paperback,view,/book/show/647492.Ordinary_Men
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everything I Never Told You,"Ng, Celeste*",159420571X,9781594205712,159420571X,297        pp,3.85,"549,972","Jun 26, 2014","Jun 26, 2014",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Awful story with an overly-exaggerated ending about a family that I would describe as dysfunctional. The book skips along the surface and does not proAwful story with an overly-exaggerated ending about a family that I would describe as dysfunctional. The book skips along the surface and does not provide much depth of the characters - many of whom seem to have a short fuse and boil over with anger, vengeance and self-pity. I'm at a total loss about the youngest child, Hannah, who was always overlooked and who hid in the shadows, until the very end when she somehow is the one who brings comfort and peace to her grieving, shattered parents. ...more",Notes are private!,0,1,1,"Sep 06, 2023","Sep 28, 2023","Sep 06, 2023",,Hardcover,view (with text),/book/show/18693763-everything-i-never-told-you
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bad-Ass Librarians of Timbuktu and Their Race to Save the World’s Most Precious Manuscripts,"Hammer, Joshua*",1476777403,9781476777405,1476777403,280        pp,3.50,"11,436","Apr 19, 2016","Apr 19, 2016",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Written by an American journalist/war correspondent, this book is chock full of historical references to people, places and conflicts involving the miWritten by an American journalist/war correspondent, this book is chock full of historical references to people, places and conflicts involving the middle east and Africa which provide context for the central story about Haidara and the libraries he established to house ancient Islamic manuscripts. Personally, I would have enjoyed more about Haidara, the libraries, the manuscripts themselves and the librarians he employed to help preserve the manuscripts. He went to great lengths to procure the manuscripts and grants from international organizations that was in a way downplayed by the contextual information. It was certainly interesting to learn a bit about the long history of Timbuktu and the ebb and flow of its reputation as a cultural hub. The encyclopedic approach just didn't cut it for me. ...more",Notes are private!,0,0,1,Sep 2023,"Sep 24, 2023","Sep 01, 2023",,Hardcover,view (with text),/book/show/25814351-the-bad-ass-librarians-of-timbuktu-and-their-race-to-save-the-world-s-mo
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Life,"Messud, Claire",0156011654,9780156011655,0156011654,400        pp,3.53,"1,877",1999,"Sep 28, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Paperback,view,/book/show/3649.The_Last_Life
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Country of the Blind: A Memoir at the End of Sight,"Leland, Andrew",1984881426,9781984881427,1984881426,368        pp,4.16,"2,996","Jul 18, 2023","Jul 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 08, 2023",,Hardcover,view,/book/show/121561903-the-country-of-the-blind
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Old Man and the Sea,"Hemingway, Ernest",0684830493,9780684830490,0684830493,96        pp,3.80,"1,148,295","Sep 01, 1952",1996,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 06, 2023",,Hardcover,view,/book/show/2165.The_Old_Man_and_the_Sea
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Indigenous Continent: The Epic Contest for North America,"Hämäläinen, Pekka",1631497502,9781631497506,,592        pp,4.04,"1,644","Sep 20, 2022","Sep 20, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 30, 2023",,ebook,view,/book/show/61083361-indigenous-continent
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Humanity's Moment: A Climate Scientist's Case for Hope,"Gergis, Joëlle",1743822537,9781743822531,B09WMD6QYW,372        pp,4.24,138,"Aug 30, 2022","Aug 30, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 30, 2023",,Kindle Edition,view,/book/show/62220802-humanity-s-moment
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Changes Everything: Capitalism vs. the Climate,"Klein, Naomi",0307401995,9780307401991,0307401995,466        pp,4.15,"25,739","Sep 16, 2014","Sep 16, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 30, 2023",,Hardcover,view,/book/show/21978015-this-changes-everything
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Tattooist of Auschwitz        (The Tattooist of Auschwitz, #1)","Morris, Heather*",006287067X,9780062870674,006287067X,272        pp,4.30,"932,352","Jan 11, 2018","Sep 04, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Like many others, I find this to be a difficult book to . Primarily due to the fact that this is fictional book, yet so much of it is based on LLike many others, I find this to be a difficult book to . Primarily due to the fact that this is fictional book, yet so much of it is based on Lale and Gita's experiences in the concentration camp. First and foremost it is a love story. Given that Lale entrusted Heather Morris with his innermost descriptions of his war-time and post-war life experiences in 2003 after Gita had already passed, in many ways this book feels like a tribute to his everlasting adoration and love for her. So many times throughout the book Lale overcomes the most harrowing incidences that almost feel impossible. There is an overarching tone of hope, courage and determination that persists through the pages unlike any other WWII era book that I've read. Kudos to Morris for spending countless hours with Lale to really hear him and weave together this love story. What an honor that must have been. While the writing is a bit flat and even dry at times, it is nonetheless another important reminder about this unfathomable period in history. ...more",Notes are private!,0,4,1,"Jul 16, 2023","Jul 25, 2023","Jul 16, 2023",,Hardcover,view (with text),/book/show/38359036-the-tattooist-of-auschwitz
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Swamp Story,"Barry, Dave*",,,B0BHTPVBCY,320        pp,3.89,"6,257","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 16, 2023",,Kindle Edition,view,/book/show/63908522-swamp-story
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Apothecary,"Penner, Sarah *",0778311015,9780778311010,0778311015,301        pp,3.75,"369,416","Mar 02, 2021","Mar 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/53288434-the-lost-apothecary
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Beekeeper of Aleppo,"Lefteri, Christy",1984821210,9781984821218,1984821210,317        pp,4.17,"146,099","May 02, 2019","Aug 27, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 04, 2023",,Hardcover,view,/book/show/43124137-the-beekeeper-of-aleppo
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Agüero Sisters,"García, Cristina",0345406516,9780345406514,0345406516,336        pp,3.67,"1,534","Jan 01, 1988","Apr 20, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 15, 2023",,Paperback,view,/book/show/77091.The_Ag_ero_Sisters
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Covenant of Water,"Verghese, Abraham*",,,,724        pp,4.47,"150,577","May 02, 2023","May 02, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Incredibly detailed and engrossing novel - especially the first half. Dr. Verghese's writing transported me to the lush and exotic land in southern InIncredibly detailed and engrossing novel - especially the first half. Dr. Verghese's writing transported me to the lush and exotic land in southern India. He wove in so many descriptions about the ways of life there at that time as it relates to religion, commerce, politics, the caste system, etc. The multitude of family tragedies seemed overwhelming, yet characters like Big Ammachi, Shamuel, and Joppan were able to demonstrate their strengths. The occasional visits from Damo the elephant seemed magical. My 4 rating is primarily due to the length of the book. In my opinion, there were unnecessary sections in the second half of the book. For the majority of readers, I imagine the overly detailed descriptions about the surgical procedures and medical conditions are difficult to comprehend. My other struggle is with one of the main characters - Digby. Humans are flawed. Digby's flaw is taking advantage of vulnerable, distraught married women because he can't control his desires. And in both instances, the women end up experiencing insurmountable adversity as a result. I would have liked to learn more about other key characters such as Honorine and Dr. Rune - which then makes me wonder whether this brick of a bo0k could have been 2 separate books......more",Notes are private!,0,0,1,"May 30, 2023","Jul 04, 2023","May 22, 2023",,Hardcover,view (with text),/book/show/62687857-the-covenant-of-water
