,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Wendy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Quiet Room: A Journey Out of the Torment of Madness,"Schiller, Lori",0446671339,9780446671330,0446671339,288        pp,4.08,"9,069",1994,"Jan 01, 1996",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 19, 2011",,Paperback,view,/book/show/125424.The_Quiet_Room
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Out of Sheer Rage: Wrestling With D.H. Lawrence,"Dyer, Geoff*",0865475407,9780865475403,0865475407,256        pp,4.02,"2,205",1997,"Jun 16, 1999",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 19, 2011",,Paperback,view,/book/show/49423.Out_of_Sheer_Rage
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Savage God: A Study of Suicide,"Álvarez, Al",0393306577,9780393306576,0393306577,322        pp,4.04,"1,553","Jan 01, 1971","May 17, 1990",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 19, 2011",,Paperback,view,/book/show/1006306.The_Savage_God
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cathedral,"Carver, Raymond",0679723692,9780679723691,0679723692,230        pp,4.25,"35,744","Sep 15, 1983","Jun 18, 1989",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 19, 2011",,Paperback,view,/book/show/11449.Cathedral
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Collected Stories,"Hempel, Amy",0743289463,9780743289467,0743289463,432        pp,4.26,"7,121","May 09, 2006","May 09, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 19, 2011",,Hardcover,view,/book/show/33299.The_Collected_Stories
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Borrowed Time: An AIDS Memoir,"Monette, Paul",0156005816,9780156005814,0156005816,340        pp,4.36,"2,723","Jan 01, 1988","Jun 01, 1998",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 19, 2011",,Paperback,view,/book/show/52614.Borrowed_Time
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Supposedly Fun Thing I'll Never Do Again:  Essays and Arguments,"Wallace, David Foster",0316925284,9780316925280,0316925284,353        pp,4.22,"40,162","Feb 12, 1997","Feb 02, 1998",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 19, 2011",,Paperback,view,/book/show/6748.A_Supposedly_Fun_Thing_I_ll_Never_Do_Again
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Celebrations of Curious Characters,"Jay, Ricky",,,,111        pp,3.98,106,2011,2011,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 05, 2011",,Hardcover,view,/book/show/11388637-celebrations-of-curious-characters
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lonely Polygamist,"Udall, Brady",0393062627,9780393062625,0393062627,602        pp,3.52,"15,305","May 03, 2010","May 03, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2011",,Hardcover,view,/book/show/6944566-the-lonely-polygamist
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Half a Life,"Strauss, Darin",1934781703,9781934781708,1934781703,205        pp,3.58,"4,819","Sep 13, 2010","Sep 15, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2011",,Hardcover,view,/book/show/8114546-half-a-life
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stiltsville,"Daniel, Susanna*",0062005480,9780062005489,0062005480,336        pp,3.68,"2,930","Aug 03, 2010","Aug 03, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2011",,Kindle Edition,view,/book/show/8692565-stiltsville
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Comedy in a Minor Key,"Keilson, Hans",1843914565,9781843914563,1843914565,112        pp,3.72,"1,892",1947,"Nov 26, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2011",,Paperback,view,/book/show/7940355-comedy-in-a-minor-key
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cleopatra,"Schiff, Stacy*",,,B003YFIVHW,406        pp,3.73,"117,223","Nov 01, 2010","Nov 01, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2011",,Kindle Edition,view,/book/show/9722923-cleopatra
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Hollywood,"Simpson, Mona*",0307273520,9780307273529,0307273520,384        pp,3.10,"1,485","Jan 01, 2010","Aug 03, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2011",,Hardcover,view,/book/show/7674307-my-hollywood
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Running the Books: The Adventures of an Accidental Prison Librarian,"Steinberg, Avi*",0385529090,9780385529099,0385529090,399        pp,3.51,"4,282","Jan 01, 2010","Oct 19, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2011",,Hardcover,view,/book/show/7756979-running-the-books
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Imperfectionists,"Rachman, Tom*",0385343663,9780385343664,0385343663,272        pp,3.54,"49,530",2010,"Apr 06, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2011",,Hardcover,view,/book/show/6834410-the-imperfectionists
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Possessed: Adventures With Russian Books and the People Who Read Them,"Batuman, Elif",0374532184,9780374532185,0374532184,296        pp,3.71,"5,518","Feb 16, 2010","Feb 16, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2011",,Paperback,view,/book/show/6763627-the-possessed
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Invisible Circus,"Egan, Jennifer*",0330489119,9780330489119,0330489119,352        pp,3.54,"7,079","Dec 01, 1994","Mar 09, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2011",,Paperback,view,/book/show/122986.The_Invisible_Circus
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bitter in the Mouth,"Truong, Monique*",1400069084,9781400069088,1400069084,304        pp,3.66,"2,375","Aug 31, 2010","Aug 31, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 05, 2011",not set,"Jan 05, 2011",,Hardcover,view,/book/show/7857663-bitter-in-the-mouth
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An Object of Beauty,"Martin, Steve*",0446573647,9780446573641,0446573647,292        pp,3.78,"102,188","Nov 23, 2010","Nov 23, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 05, 2011",not set,"Jan 05, 2011",,Hardcover,view,/book/show/7907803-an-object-of-beauty
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Is There No Place on Earth for Me?,"Sheehan, Susan",0394713788,9780394713786,0394713788,352        pp,3.84,"1,229","Apr 01, 1982","May 12, 1983",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 06, 2010",,Paperback,view,/book/show/333897.Is_There_No_Place_on_Earth_for_Me_
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sense and Sensibility,"Austen, Jane",,,,409        pp,4.08,"1,190,059","Oct 30, 1811","Apr 29, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 26, 2010",,Paperback,view,/book/show/14935.Sense_and_Sensibility
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Like Water for Chocolate,"Esquivel, Laura",,,,222        pp,3.95,"366,796",1989,"Sep 16, 1993",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 26, 2010",,Paperback,view,/book/show/6952.Like_Water_for_Chocolate
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Divine Secrets of the Ya-Ya Sisterhood,"Wells, Rebecca*",006075995X,9780060759957,006075995X,383        pp,3.85,"557,143","May 22, 1996","Dec 07, 2004",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 26, 2010",,Paperback,view,/book/show/137791.Divine_Secrets_of_the_Ya_Ya_Sisterhood
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How the García Girls Lost Their Accents,"Alvarez, Julia*",0452287073,9780452287075,0452287073,286        pp,3.63,"29,974","Jan 04, 1991","Jan 01, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 26, 2010",,Paperback,view,/book/show/11208.How_the_Garc_a_Girls_Lost_Their_Accents
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Number the Stars,"Lowry, Lois*",0440227534,9780440227533,0440227534,137        pp,4.19,"567,875","Apr 24, 1989","Feb 09, 1998",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 26, 2010",,Paperback,view,/book/show/47281.Number_the_Stars
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Holes        (Holes, #1)","Sachar, Louis*",0439244196,9780439244190,0439244196,272        pp,4.00,"1,199,534","Aug 20, 1998","Sep 02, 2000",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 26, 2010",,Paperback,view,/book/show/38709.Holes
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Time of the Butterflies,"Alvarez, Julia*",0452274427,9780452274426,0452274427,324        pp,4.15,"71,770",1994,Aug 1995,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 26, 2010",,Paperback,view,/book/show/11206.In_the_Time_of_the_Butterflies
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Brilliant Career,"Franklin, Miles",0143105051,9780143105053,0143105051,253        pp,3.80,"6,910",1901,"Oct 02, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 16, 2010",,Paperback,view,/book/show/1981726.My_Brilliant_Career
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Invisible Bridge,"Orringer, Julie*",0307713547,9780307713544,0307713547,28        pp,4.18,"52,788","May 04, 2010","May 04, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 16, 2010",not set,"Nov 16, 2010",,Audiobook,view,/book/show/7274337-the-invisible-bridge
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Your Republic Is Calling You,Kim Young-ha,0151015457,9780151015450,0151015457,326        pp,3.60,"1,697",2006,"Sep 28, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 16, 2010","Jan 05, 2011","Nov 16, 2010",,Paperback,view,/book/show/8131789-your-republic-is-calling-you
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Half Broke Horses,"Walls, Jeannette*",1416586288,9781416586289,B0057D8XWW,272        pp,4.08,"163,604","Oct 06, 2008","Oct 06, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 10, 2010","Nov 16, 2010","Nov 10, 2010",,Hardcover,view,/book/show/6366437-half-broke-horses
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Read the Air,"Mengestu, Dinaw",1594487707,9781594487705,1594487707,305        pp,3.26,"2,685",2010,"Oct 14, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 10, 2010",not set,"Nov 10, 2010",,Hardcover,view,/book/show/7930252-how-to-read-the-air
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Just Kids,"Smith, Patti*",,,,304        pp,4.21,"280,531","Jan 19, 2010","Jan 19, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 10, 2010","Nov 16, 2010","Nov 10, 2010",,Hardcover,view,/book/show/341879.Just_Kids
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Parrot and Olivier in America,"Carey, Peter",1926428145,9781926428147,1926428145,464        pp,3.44,"7,503","Oct 26, 2009",Oct 2009,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What a relief to enter the nineteenth century, and in such brilliant hands!",Notes are private!,0,0,1,"Oct 28, 2010","Nov 10, 2010","Oct 28, 2010",,Hardcover,view (with text),/book/show/6632372-parrot-and-olivier-in-america
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Half Empty,"Rakoff, David",0385525249,9780385525244,0385525249,240        pp,3.82,"6,317",2010,"Sep 21, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"There are so many quotable passages in the witty, thrillingly honest, satiric and sweet report from the fields of contemporary urban America, but I'llThere are so many quotable passages in the witty, thrillingly honest, satiric and sweet report from the fields of contemporary urban America, but I'll choose one. In writing about his serious and ongoing bout with cancer, and knowing how difficult it can be for people to say the ""right thing"" he says:""people are really trying their best. Just like being happy and sad, you will find yourself on both sides of the equation many times over your lifetime, either saying or hearing the wrong thing. Let's all give each other a pass, shall we?""I smiled out loud at many passages and there are some good Jewish jokes. As for the of premise of the title, Rakoff posits that seeing the pessimistic side of things should be as value-free a trait as the color of one's eyes. That it has evolutionary value, (as all diversity does) and is statistically not going to affect the chances of a pessamistic person's succumbing to disease. People will just be gladder when we do....more",Notes are private!,0,2,1,"Oct 18, 2010","Oct 28, 2010","Oct 18, 2010",,Hardcover,view (with text),/book/show/7957361-half-empty
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Breaking Night: A Memoir of Forgiveness, Survival, and My Journey from Homeless to Harvard","Murray, Liz",0786868910,9780786868919,0786868910,334        pp,4.21,"21,061",2011,"Sep 07, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2010",,Hardcover,view,/book/show/1432370.Breaking_Night
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Great House,"Krauss, Nicole",0393079988,9780393079982,0393079988,289        pp,3.49,"18,281","Oct 12, 2010","Oct 12, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 10, 2010","Nov 16, 2010","Oct 12, 2010",,Hardcover,view,/book/show/7907782-great-house
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Richard Yates,"Lin, Tao*",1935554158,9781935554158,1935554158,208        pp,3.39,"2,475","Jan 01, 2010","Sep 07, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2010",,Paperback,view,/book/show/7665458-richard-yates
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Be Sick: A Buddhist-Inspired Guide for the Chronically Ill and Their Caregivers,"Bernhard, Toni*",0861716264,9780861716265,0861716264,191        pp,4.19,"2,309",2010,"Sep 14, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 12, 2010","Oct 18, 2010","Oct 12, 2010",,Paperback,view,/book/show/7902654-how-to-be-sick
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chronic City,"Lethem, Jonathan",0385518633,9780385518635,0385518633,467        pp,3.54,"8,905",2009,"Oct 13, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Chronically reading. Takes place in Manhattan in either a parallel universe or a wacky near-future. I love his characters and their names (Pinkus TootChronically reading. Takes place in Manhattan in either a parallel universe or a wacky near-future. I love his characters and their names (Pinkus Tooth, Oona Lazlo, Chase Insteadman) and his fantastical ideas. However, it's long and not particularly plot-driven so other books keep interceding. I hope to finish someday, but it's been on my ""currently reading"" list for too long, so it will sit on my ""read"" shelf for now....more",Notes are private!,0,0,1,"Oct 12, 2010",not set,"Oct 12, 2010",,Hardcover,view (with text),/book/show/6085191-chronic-city
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lovers,"Vida, Vendela",0060828390,9780060828394,0060828390,240        pp,3.22,"1,850",2010,"Jun 22, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 12, 2010","Oct 18, 2010","Oct 12, 2010",,Hardcover,view,/book/show/6920816-the-lovers
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Solar,"McEwan, Ian*",,,,287        pp,3.28,"27,509",2010,"Apr 12, 2010",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 06, 2010","Oct 12, 2010","Oct 06, 2010",,Hardcover,view,/book/show/7140754-solar
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,February,"Moore, Lisa",088784202X,9780887842023,088784202X,310        pp,3.71,"7,411","Jun 15, 2009","Jan 01, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 02, 2010",not set,"Oct 02, 2010",,Hardcover,view,/book/show/6486765-february
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Financial Lives of the Poets,"Walter, Jess",0061916056,9780061916052,0061916056,320        pp,3.70,"10,751",2009,"Sep 07, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 20, 2010",,Paperback,view,/book/show/7857552-the-financial-lives-of-the-poets
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ansel Adams in the National Parks: Photographs from America's Wild Places,"Adams, Ansel",0316078468,9780316078467,0316078468,344        pp,4.62,262,"Oct 18, 2010","Oct 18, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 20, 2010",,Hardcover,view,/book/show/8997043-ansel-adams-in-the-national-parks
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Solomon's Oak,"Mapson, Jo-Ann",1608193306,9781608193301,1608193306,384        pp,3.77,"2,721",2010,"Oct 12, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 20, 2010",,Hardcover,view,/book/show/7925361-solomon-s-oak
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,George Eliot in Love,"Maddox, Brenda",0230105181,9780230105188,0230105181,256        pp,3.73,55,"Sep 28, 2010","Sep 28, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 20, 2010",,Hardcover,view,/book/show/9202930-george-eliot-in-love
