,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Bruno's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il banchetto annuale della confraternita dei becchini,"Énard, Mathias",8833573753,9788833573755,8833573753,480        pp,3.55,762,"Oct 07, 2020","Sep 21, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 09, 2023","Jan 15, 2023",,Paperback,view,/book/show/59019353-il-banchetto-annuale-della-confraternita-dei-becchini
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Other Name: Septology I-II,"Fosse, Jon",,,,351        pp,4.10,"3,490",Sep 2019,"Oct 10, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,not set,not set,"Dec 18, 2022",,Paperback,view,/book/show/46024004-the-other-name
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lapvona,"Moshfegh, Ottessa",0593300262,9780593300268,0593300262,304        pp,3.54,"61,002","Jun 21, 2022","Jun 21, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Oh Ottessa! You're so much better than this. Oh Ottessa! You're so much better than this. ...more,Notes are private!,0,2,1,"Nov 02, 2022","Nov 12, 2022","Nov 02, 2022",,Hardcover,view (with text),/book/show/59089897-lapvona
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Racconti romani,"Moravia, Alberto",8845248976,9788845248979,8845248976,408        pp,3.92,975,1954,2001,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Un altro si sarebbe dato per vinto. Ma io l'amavo e desideravo tanto essere amato che persino se mi avesse dato una coltellata avrei potuto pensare chUn altro si sarebbe dato per vinto. Ma io l'amavo e desideravo tanto essere amato che persino se mi avesse dato una coltellata avrei potuto pensare che non era la coltellata definitiva o addirittura che me l'aveva data per amore e non per odio. L'amore certo non mi faceva vedere quel che non c'era; ma mi faceva sperare che tra le tante specie di amori ci fosse anche questo....more,Notes are private!,0,1,1,"Oct 19, 2022","Nov 02, 2022","Oct 19, 2022",,Paperback,view (with text),/book/show/94282.Racconti_romani
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Avere tutto,"Missiroli, Marco",,,B0BCKZK32S,167        pp,3.35,"1,487","Sep 27, 2022","Sep 27, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Vent'anni in meno, e cosa avrei potuto dirgli in più, cosa.-Il bene che gli vuoi, -fa Bibi. - A un padre cos'altro puoi dire, - allinea il passo con iVent'anni in meno, e cosa avrei potuto dirgli in più, cosa.-Il bene che gli vuoi, -fa Bibi. - A un padre cos'altro puoi dire, - allinea il passo con il mio e tiene il ritmo da piazza Cavour al ponte di Tiberio. [...]- Volevo dirgli che un po' di lui ce l'ho, - entriamo nel borgo San Giuliano. - Un po' di quello che mi ha dato.- Ma lo sapeva.- Non so se lo sapeva.- Massí che lo sapeva.- Sapeva che ero diverso.- Come tutti i figli. Sorrido. - Diverso sdozzo.- Sdozzo.- La mela caduta lontano dal melo. Si annoda la sciarpa. - Camminiamo va'. ...more",Notes are private!,0,0,1,"Oct 15, 2022","Oct 16, 2022","Oct 15, 2022",,Kindle Edition,view (with text),/book/show/62600437-avere-tutto
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Così per sempre,"Valerio, Chiara",8806252569,9788806252564,8806252569,464        pp,3.54,303,"Apr 05, 2022","Apr 05, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Certe volte l'eternità ingannava come l'estrema intelligenza, ti impediva di vedere il mondo perché preferivi supporlo. Che poi non è preferire, è cheCerte volte l'eternità ingannava come l'estrema intelligenza, ti impediva di vedere il mondo perché preferivi supporlo. Che poi non è preferire, è che che si mette meno a supporre che a guardare.Forse ci voleva un uomo per dimenticare un uomo, o forse avrebbe dovuto cercarne un altro uguale [...] Non capiva se il Conte si innamorasse sempre della stessa donna perché così è fatto il tempo, o se invece innamorandosi sempre della stessa donna fermasse il tempo che dunque pareva eterno, perché così sono gli essere umani, quasi tutti, si consolano nella ripetizione....more",Notes are private!,0,2,1,"Sep 13, 2022","Sep 22, 2022","Sep 13, 2022",,Hardcover,view (with text),/book/show/60701524-cos-per-sempre
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eugenio Onegin,"Pushkin, Alexander",8817165190,9788817165198,8817165190,656        pp,4.10,"64,511",1825,1985,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"XLIV. Ho conosciuto la voce d’altri desideri, ho conosciuto una nuova tristezza; per i primi non vi sono più speranze, e provo rimpianto per la tristeXLIV. Ho conosciuto la voce d’altri desideri, ho conosciuto una nuova tristezza; per i primi non vi sono più speranze, e provo rimpianto per la tristezza antica. Sogni, sogni! Dov’è la vostra dolcezza? E dove sei tu, che con questa parola eternamente fai rima, dove sei tu, giovinezza? Veramente, veramente è alfine sfiorita la sua corona? E in un baleno è proprio fuggita la primavera dei miei giorni, senza incanti elegiaci, come io, scherzando, ho sinora ripetuto? E davvero non ritornerà? Presto avrò dunque trent’anni?XLV. Sì, ho raggiunto il mio meriggio ed è necessario che me lo confessi, lo vedo. Sia pure. Salutiamoci amichevolmente, mia lieve giovinezza! Grazie per le gioie e per le tristezze, per i cari struggimenti, per i tumulti, e le tempeste, e i festini, per tutti i tuoi doni; grazie. Nelle angosce e nella pace, di te ho preso diletto, e completamente; basta, ora! Con l’anima limpida, m’incammino per una nuova strada, per riposare della vita passata.XLVI. Permetti che per un istante mi guardi indietro. Addio, ombre, dove nella remota profondità trascorsero i miei giorni, pieni di passioni e di pigrizia, colmi dei sogni di un’anima pensierosa. Ma tu, giovanile ispirazione, agita la mia fantasia, ravviva la sonnolenza del cuore, vola più sovente nel mio angolo, e fa sì che l’anima del poeta non geli, né diventi crudele o insensibile o di pietra, nell’incantesimo mortale del mondo, in questo gorgo dove con voi, cari amici, io mi immergo....more",Notes are private!,0,0,3,not setnot setnot set,not setnot setnot set,"Jun 16, 2022",,Paperback,view (with text),/book/show/9700121-eugenio-onegin
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Either/Or,"Batuman, Elif",0525557598,9780525557593,0525557598,368        pp,4.03,"20,938",2022,"May 24, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I just want to go to Russia and have a Eugene-Onegin-related nervous breakdown.,Notes are private!,0,2,1,not set,not set,"Jun 16, 2022",,Hardcover,view (with text),/book/show/58890783-either-or
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An Accidental Man,"Murdoch, Iris",0140036113,9780140036114,0140036113,448        pp,3.80,861,"Jan 01, 1971","Mar 01, 1988",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"May 07, 2022","Jun 16, 2022","May 07, 2022",,Paperback,view,/book/show/12056.An_Accidental_Man
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,50 tentati suicidi più 50 oggetti contundenti,"Carnaroli, Alessandra",8806247824,9788806247829,8806247824,120        pp,3.16,177,"Sep 28, 2021","Sep 28, 2021",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 01, 2022",,Paperback,view,/book/show/59121137-50-tentati-suicidi-pi-50-oggetti-contundenti
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Chosen,"Potok, Chaim",0141040777,9780141040776,0141040777,288        pp,4.07,"93,400",1966,"Nov 05, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,May 2022,"May 07, 2022","May 01, 2022",,Paperback,view,/book/show/7090577-the-chosen
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le cure della casa,"Bertola, Stefania",8806250221,9788806250225,8806250221,248        pp,3.51,515,"Oct 19, 2021","Oct 19, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 18, 2022","Feb 22, 2022","Feb 18, 2022",,Paperback,view,/book/show/59412652-le-cure-della-casa
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Niente di vero,"Raimo, Veronica",8806251899,9788806251895,8806251899,176        pp,3.59,"11,360","Feb 01, 2022","Feb 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Tutti i miei innamoramenti si nutrivano di solido platonismo. Non a caso l'anagramma del mio nome è 'invocare amori'. Cioè, non viverli.Tutti i miei innamoramenti si nutrivano di solido platonismo. Non a caso l'anagramma del mio nome è 'invocare amori'. Cioè, non viverli....more",Notes are private!,0,11,1,"Feb 15, 2022","Feb 16, 2022","Feb 15, 2022",,Hardcover,view (with text),/book/show/60162498-niente-di-vero
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lettere e biglietti,"Sapienza, Goliarda",8834606183,9788834606186,8834606183,432        pp,3.78,18,unknown,"Mar 04, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 17, 2022",May 2022,"Jan 17, 2022",,Paperback,view,/book/show/57308964-lettere-e-biglietti
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Play It As It Lays,"Didion, Joan",0374529949,9780374529949,0374529949,231        pp,3.92,"67,115",1970,"Nov 15, 2005",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 12, 2022","Jan 16, 2022","Jan 12, 2022",,Paperback,view,/book/show/428.Play_It_As_It_Lays
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La figlia oscura,"Ferrante, Elena",8866326429,9788866326427,8866326429,145        pp,3.73,"47,034","Jan 01, 2006","Mar 15, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Jan 02, 2022","Jan 04, 2022","Jan 02, 2022",,Hardcover,view,/book/show/26243040-la-figlia-oscura
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Slouching Towards Bethlehem,"Didion, Joan",,,,238        pp,4.19,"67,275",1968,"Oct 28, 2008",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Jan 01, 2022",,Paperback,view,/book/show/424.Slouching_Towards_Bethlehem
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crossroads,"Franzen, Jonathan",8806248421,9788806248420,8806248421,629        pp,4.06,"56,519","Oct 05, 2021","Oct 05, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,8,1,"Oct 18, 2021","Oct 30, 2021","Oct 18, 2021",,Hardcover,view,/book/show/58956279-crossroads
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Morning Star,"Knausgård, Karl Ove",1910701718,9781910701713,1910701718,688        pp,3.93,"11,103","Sep 18, 2020","Jan 01, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Apocalyptic-existentialist-paranormal Knausgård is everything I want. Can't wait for the sequel. Apocalyptic-existentialist-paranormal Knausgård is everything I want. Can't wait for the sequel. ...more,Notes are private!,0,4,1,"Oct 11, 2021","Oct 17, 2021","Oct 11, 2021",,Hardcover,view (with text),/book/show/56567218-the-morning-star
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le piccole virtù,"Ginzburg, Natalia",8806225731,9788806225735,8806225731,160        pp,4.10,"7,545",1962,2016,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Io come l'amica della Ginzburg:La mia amica qualche volta dice che è stufa di lavorare, e vorrebbe buttar la vita ai cani. Vorrebbe chiudersi in una bIo come l'amica della Ginzburg:La mia amica qualche volta dice che è stufa di lavorare, e vorrebbe buttar la vita ai cani. Vorrebbe chiudersi in una bettola a bere tutti i suoi risparmi, oppure mettersi a letto e non pensare più a niente, e lasciare che vengano a levarle il gas e la luce, lasciare che tutto vada alla deriva pian piano....more",Notes are private!,0,6,1,"Sep 23, 2021","Sep 25, 2021","Sep 23, 2021",,Paperback,view (with text),/book/show/33778871-le-piccole-virt
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Beautiful World, Where Are You","Rooney, Sally*",0374602603,9780374602604,0374602603,356        pp,3.54,"388,595","Sep 07, 2021","Sep 07, 2021",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Basically the story of two friends - Alice is a top and Eileen a bottom - who are too repressed to act on it so they write to each other very long gayBasically the story of two friends - Alice is a top and Eileen a bottom - who are too repressed to act on it so they write to each other very long gay emails. ...more,Notes are private!,0,16,1,"Sep 12, 2021","Sep 16, 2021","Sep 12, 2021",,Hardcover,view (with text),/book/show/56597885-beautiful-world-where-are-you
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Un amore,"Buzzati, Dino",8804668172,9788804668176,8804668172,262        pp,3.84,"5,614",Mar 1963,"Jul 06, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Dio Dio che cos'è quella torre grande e nera che sovrasta? La vecchia torre che gli era sempre rimasta sprofondata nell'animo da quando era ragazzo. DDio Dio che cos'è quella torre grande e nera che sovrasta? La vecchia torre che gli era sempre rimasta sprofondata nell'animo da quando era ragazzo. Della terribile torre però poco fa, nel turbine, si era completamente dimenticato, la velocità il precipizio gli avevano fatto dimenticare l'esistenza della grande torre inesorabile nera. Come aveva potuto dimenticare una cosa così importante, la più importante di tutte le cose? Adesso era là di nuovo si ergeva terribile e misteriosa come sempre, anzi sembrava alquanto più grande e più vicina....more",Notes are private!,0,0,1,"Sep 06, 2021","Sep 08, 2021","Sep 06, 2021",,Paperback,view (with text),/book/show/34618506-un-amore
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le ambizioni sbagliate,Moravia,8845235718,9788845235719,8845235718,468        pp,3.78,94,1935,"Jan 01, 1998",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Gli immorali, i perfidi e gli spregevoli saranno sempre i miei personaggi preferiti. Un Moravia a tinte dostoevskiane.",Notes are private!,0,2,1,"Aug 29, 2021","Sep 04, 2021","Sep 04, 2021",,Paperback,view (with text),/book/show/906382.Le_ambizioni_sbagliate
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'acqua del lago non è mai dolce,"Caminito, Giulia",8830103241,9788830103245,8830103241,297        pp,3.78,"8,100","Jan 13, 2021","Jan 13, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,L'AMICA GENIALE BUT MAKE IT DARKER.L'AMICA GENIALE BUT MAKE IT DARKER....more,Notes are private!,0,7,1,"Mar 21, 2021","Mar 24, 2021","Mar 21, 2021",,Paperback,view (with text),/book/show/56624799-l-acqua-del-lago-non-mai-dolce
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sembrava bellezza,"Ciabatti, Teresa",8804735244,9788804735243,8804735244,240        pp,3.27,"3,028","Jan 26, 2021","Jan 26, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Leggere la Ciabatti è come guardarmi allo specchio e vedermi per quello che sono realmente: brutto, sporco e cattivo. Operatemi!",Notes are private!,0,11,1,"Mar 14, 2021","Mar 17, 2021","Mar 14, 2021",,Hardcover,view (with text),/book/show/56398650-sembrava-bellezza
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il giardino delle delizie,"Oates, Joyce Carol",884282349X,9788842823490,884282349X,520        pp,3.85,"2,551",1967,"May 18, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 02, 2020","Mar 06, 2021","Dec 02, 2020",,Paperback,view,/book/show/35371316-il-giardino-delle-delizie
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The New York Stories (Classici contemporanei),"O'Hara, John",8845298191,9788845298196,8845298191,444        pp,3.83,393,"Aug 27, 2013","Jul 08, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Pranzi al club, pittori di cui nessuno si ricorda più, attrici con una carriera in declino costrette a farsi pagare il taxi, autisti di Rolls-Royce, ePranzi al club, pittori di cui nessuno si ricorda più, attrici con una carriera in declino costrette a farsi pagare il taxi, autisti di Rolls-Royce, editori, giardinieri, baristi, guardarobiere, impresari, cameriere, un ex giocatore di baseball e poi persone stipendiate. Persone che dovevano far quadrare i conti. Persone da caffè istantaneo e un quarto di panna al negozio di alimentari.Tra i preferiti:Posso rimanere qui: un'ex attrice che ospita a pranzo la giovane figlia di un vecchio spasimante che però si presenta già alticcia.Ellie: una coppia di fratelli texani trasferitisi a New York dopo la morte dei genitori.Frankie: il barbiere che tormenta la ragazza che si occupa della manicure.Arrivederci Herman: la visita da parte del barbiere del padre morto.Harrington & Whitehill: due cugine e una casa editrice.È energia mentale: Hickman il barista e la guardarobiera.e poi A vita privata, La carriera pubblica del Signor Harrisburg, Amici di nuovo e La tua buuuf fabuuuf fafaccia. ...more",Notes are private!,0,0,1,"Nov 28, 2020","Mar 06, 2021","Nov 28, 2020",,Paperback,view (with text),/book/show/36356698-the-new-york-stories-classici-contemporanei
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Resoconto,"Cusk, Rachel",,,B07H3F9M2Y,178        pp,3.68,"52,269","Sep 14, 2014","Sep 11, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Una marea di sconosciuti che sentono l'improvviso e inspiegabile bisogno di condividere in maniera dettagliata episodi ed esperienze della propria vitUna marea di sconosciuti che sentono l'improvviso e inspiegabile bisogno di condividere in maniera dettagliata episodi ed esperienze della propria vita a una scrittrice che si trova in Grecia per lavoro. E più che un romanzo, questo libro è effettivamente un resoconto, una raccolta di impressioni su tutte le storie che la protagonista deve sorbirsi, convidivendo però quasi nulla di sé. Da una conversazione con il vicino di posto in aereo, a una cena con un'autrice, fino al corso di scrittura che sta tenendo, ogni occasione è solo il pretesto per riflettere sulla famiglia, il matrimonio, l'amore, la scrittura, il successo e la notorietà. Un esperimento che mi ha lasciato freddo e distaccato. Mi sono sentito come Sylvia, la ragazza del corso di scrittura appassionata di D. H. Lawrence che, mentre sta leggendo un suo racconto si rende conto che Lawrence non sarebbe riuscito a trascinarmi fuori dalla mia vita. Sarà stata la neve, o la stranezza di quella donna, o il pavone stesso, ma all’improvviso ho sentito che quegli avvenimenti, e l’universo che lui descrive, non avevano nulla a che fare con me, nel mio moderno appartamento nella calura di Atene. Per qualche ragione non sopportavo piú la sensazione di essere il peso morto della sua visione, cosí ho richiuso il libro e sono andata a letto....more",Notes are private!,0,2,1,"Nov 26, 2020","Nov 28, 2020","Nov 26, 2020",,Kindle Edition,view (with text),/book/show/41794811-resoconto
