,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Danielle's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Medallion Status: True Stories from Secret Rooms,"Hodgman, John",0525561102,9780525561101,0525561102,304        pp,4.15,"5,224","Oct 15, 2019","Oct 15, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ugh, I just wanted to hear about frequent flyer perks and secret airport lounges. I had to read so. much. other. stuff. that wasn’t that! Here are theUgh, I just wanted to hear about frequent flyer perks and secret airport lounges. I had to read so. much. other. stuff. that wasn’t that! Here are the scenarios in which you, as an author, get to indulge your “whatever loosely connected stuff I’m thinking about” impulse to put pen to paper and expect readers to praise you for it:1) You’re a really great writer2) You’re a really humorous writer3) You’re really famous None of these scenarios apply here, so you’ll likely find this book more tedious than rewarding. I did get a few good chuckles out of this book, but at what price?Finally, I’d be remiss if I didn’t point out how supremely annoying it was that the author POINTEDLY avoided name dropping, and then later on would be like, “Oh, I’ll just say it.” Like in so many situations I truly couldn’t care less who or what the actor/town/hotel/airline/famous author were. Either tell me or don’t tell me, whatever. But quit harping on the fact that you’re not telling me! It’s not cute. And if you’re going to make that a thing for several chapters, then don’t give it away later! Otherwise, why was it even a thing? Make up your mind and stick with it! Sheesh.Anyway, the author heavily implied that he has devoted fans of his writing. They’re welcome to him. I won’t be reading any more of his books....more",Notes are private!,0,1,1,not set,"May 09, 2020","Jun 03, 2020",,Hardcover,view (with text),/book/show/44908180-medallion-status
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Man from the Train: The Solving of a Century-Old Serial Killer Mystery,"James, Bill",1476796254,9781476796253,1476796254,464        pp,3.46,"8,237","Sep 19, 2017","Sep 19, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I believe it! The authors make a solid case for a series of family murders in the early 1900s being committed by the same man. I’m not ENTIRELY convinI believe it! The authors make a solid case for a series of family murders in the early 1900s being committed by the same man. I’m not ENTIRELY convinced that they found out who The Man From the Train really was, but it’s a sound guess, and as a reader, I’d much rather hear the authors’ best guess than be left wondering.I appreciated the concession that sometimes there wasn’t enough info preserved, and certain crimes may or may not have been committed by The Man From the Train. But I’m inclined to believe that the majority of “maybes” are him.This book was sad (obviously, since hundreds of innocent people are murdered in their beds) but the authors don’t dwell too much on the gory details. They’re sincere and compassionate, but fairly matter-of-fact, which I prefer.This was a quick read and IMO worth reading whether you’re a fan of true crime or not....more",Notes are private!,0,0,1,"May 20, 2020","Jun 03, 2020","Jun 03, 2020",,Hardcover,view (with text),/book/show/32919543-the-man-from-the-train
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Transcription,"Atkinson, Kate",031617663X,9780316176637,031617663X,343        pp,3.49,"55,718","Sep 06, 2018","Sep 25, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 12, 2020",,Hardcover,view,/book/show/37946414-transcription
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Red, White & Royal Blue","McQuiston, Casey*",,,,423        pp,4.09,"987,958","May 14, 2019","May 14, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 12, 2020",,Paperback,view,/book/show/41150487-red-white-royal-blue
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Good Rain: Across Time and Terrain in the Pacific Northwest        (Vintage Departures),"Egan, Timothy*",0679734856,9780679734857,0679734856,254        pp,4.20,"2,508",1990,"Dec 03, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 12, 2020",,Paperback,view,/book/show/152109.The_Good_Rain
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Five Families: The Rise, Decline, and Resurgence of America's Most Powerful Mafia Empires","Raab, Selwyn",0312300948,9780312300944,0312300948,784        pp,4.14,"5,447","Aug 25, 2005","Sep 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 12, 2020",not set,"May 12, 2020",,Hardcover,view,/book/show/652063.Five_Families
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Worst Hard Time: The Untold Story of Those Who Survived the Great American Dust Bowl,"Egan, Timothy*",0618773479,9780618773473,0618773479,340        pp,4.05,"55,523","Dec 14, 2005","Jan 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 12, 2020",,Paperback,view,/book/show/72223.The_Worst_Hard_Time
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Imaginary Friend,"Chbosky, Stephen",1538731339,9781538731338,1538731339,705        pp,3.55,"52,170","Oct 01, 2019","Oct 01, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 12, 2020",,Hardcover,view,/book/show/43522576-imaginary-friend
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Cook Everything: Simple Recipes for Great Food,"Bittman, Mark*",0028610105,9780028610108,0028610105,944        pp,4.00,"98,826","Jan 01, 1998","Aug 14, 1998",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 28, 2020",,Hardcover,view,/book/show/603204.How_to_Cook_Everything
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Long Way Down,"Reynolds, Jason",1481438255,9781481438254,,306        pp,4.26,"118,828","Oct 24, 2017","Oct 24, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 22, 2020",,Hardcover,view,/book/show/22552026-long-way-down
