,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Charlie 's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Love, Theoretically","Hazelwood, Ali*",1408725797,9781408725795,1408725797,389        pp,4.13,"360,194","Jun 13, 2023","Jun 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Paperback,view,/book/show/61326735-love-theoretically
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Homecoming,"Morton, Kate*",0063020890,9780063020894,0063020890,547        pp,4.08,"69,116","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/61683285-homecoming
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Sinners Bleed,"Cosby, S.A.*",1250831911,9781250831910,1250831911,341        pp,4.26,"50,150","Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/61884832-all-the-sinners-bleed
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The River We Remember,"Krueger, William Kent*",198217921X,9781982179212,198217921X,421        pp,4.32,"46,448","Sep 05, 2023","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/101160844-the-river-we-remember
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"After That Night        (Will Trent, #11)","Slaughter, Karin*",,9780063157781,0063157780,432        pp,4.30,"39,342","Aug 22, 2023","Aug 22, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/63833664-after-that-night
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happiness Falls,"Kim, Angie*",0593448200,9780593448205,0593448200,387        pp,3.76,"47,083","Aug 29, 2023","Aug 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/75495002-happiness-falls
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Housemaid        (The Housemaid, #1)","McFadden, Freida*",,,B09TWSRMCB,338        pp,4.33,"1,064,848","Apr 26, 2022","Apr 26, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Read it in a day. Loved it. Not shamed to say I laughed out loud several times. Very dark but very good. My first by McFadden but certainly not my lasRead it in a day. Loved it. Not shamed to say I laughed out loud several times. Very dark but very good. My first by McFadden but certainly not my last! She wrote with a great sense of pace, I felt propelled to finish it. A long time since I literally “couldn’t put the book down!!!!”...more",Notes are private!,0,1,1,not set,"Feb 18, 2024","Feb 07, 2024",,Kindle Edition,view (with text),/book/show/60556912-the-housemaid
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bee Sting,"Murray, Paul",0374600309,9780374600303,0374600309,656        pp,4.01,"32,048","Jun 08, 2023","Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/62039166-the-bee-sting
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Birnam Wood,"Catton, Eleanor",0374110336,9780374110338,0374110336,432        pp,3.83,"30,740","Mar 02, 2023","Mar 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/60784757-birnam-wood
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Recursion,"Crouch, Blake*",1524759783,9781524759780,1524759783,326        pp,4.16,"234,584","Jun 11, 2019","Jun 11, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/42046112-recursion
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Every Summer After,"Fortune, Carley*",0593438531,9780593438534,0593438531,320        pp,4.22,"512,601","May 10, 2022","May 10, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Paperback,view,/book/show/58014893-every-summer-after
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Maid        (Molly the Maid, #1)","Prose, Nita*",,,,304        pp,3.78,"538,868","Jan 04, 2022","Jan 04, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 11, 2024","Feb 11, 2024","Feb 05, 2024",,Hardcover,view,/book/show/55196813-the-maid
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Halftime: Changing Your Game Plan from Success to Significance,"Buford, Bob",0310257794,9780310257790,0310257794,272        pp,3.89,"1,736",1995,"Jan 01, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 11, 2024","Feb 05, 2024",,Mass Market Paperback,view,/book/show/174111.Halftime
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Of Time and Turtles: Mending the World, Shell by Shattered Shell","Montgomery, Sy",0358458188,9780358458180,0358458188,288        pp,4.10,"1,530","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Hardcover,view,/book/show/75302956-of-time-and-turtles
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fourth Wing        (The Empyrean, #1)","Yarros, Rebecca*",1649374046,9781649374042,1649374046,498        pp,4.59,"1,500,828","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 31, 2023",,Hardcover,view,/book/show/61431922-fourth-wing
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Snow Leopard,"Matthiessen, Peter",0140255087,9780140255089,0140255087,338        pp,4.07,"18,254",Aug 1978,"Jun 01, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 31, 2023",,Paperback,view,/book/show/764165.The_Snow_Leopard
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Journey to the Cross: A 40-Day Lenten Devotional,"Tripp, Paul David",1433567679,9781433567674,1433567679,240        pp,4.57,"1,206",Jan 2021,"Jan 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 31, 2023",,Hardcover,view,/book/show/54101438-journey-to-the-cross
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Treasure by Clive Cussler        (1989-07-27),"Cussler, Clive",,,B01K9A9BEQ,0        pp,3.95,"15,644","Nov 01, 1988",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 31, 2023",,Paperback,view,/book/show/130320606-treasure-by-clive-cussler
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Cyclops        (Dirk Pitt, #8)","Cussler, Clive",0671704648,9780671704643,0671704648,473        pp,3.90,"14,571","Dec 01, 1986","Dec 01, 1986",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 31, 2023",,Mass Market Paperback,view,/book/show/41697.Cyclops
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Road to Character,"Brooks, David",081299325X,9780812993257,081299325X,320        pp,3.66,"24,148","Mar 10, 2015","Apr 14, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 31, 2023",,Hardcover,view,/book/show/22551809-the-road-to-character
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bullet Swallower,"James, Elizabeth Gonzalez*",1668009323,9781668009321,1668009323,272        pp,3.81,"5,072","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 22, 2023",,Hardcover,view,/book/show/123847255-the-bullet-swallower
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women,"Hannah, Kristin*",1250178630,9781250178633,,480        pp,4.69,"225,368","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 22, 2023",,Hardcover,view,/book/show/127305853-the-women
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James,"Everett, Percival",0385550367,9780385550369,0385550367,303        pp,4.63,"6,239","Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 22, 2023",,Hardcover,view,/book/show/173754979-james
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wandering Stars,"Orange, Tommy*",0593318250,9780593318256,0593318250,336        pp,4.01,"4,900","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 22, 2023",,Hardcover,view,/book/show/174147294-wandering-stars
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Demon of Unrest: A Saga of Hubris, Heartbreak, and Heroism at the Dawn of the Civil War","Larson, Erik*",0385348746,9780385348744,0385348746,592        pp,4.31,68,"Apr 30, 2024","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 22, 2023",,Hardcover,view,/book/show/195608683-the-demon-of-unrest
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Soulmate,"Hepworth, Sally*",1250229707,9781250229700,1250229707,327        pp,3.81,"119,920","Oct 25, 2022","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 03, 2023",,Hardcover,view,/book/show/60784540-the-soulmate
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Going Zero,"McCarten, Anthony*",006322707X,9780063227071,006322707X,304        pp,3.89,"9,921","Apr 11, 2023","Apr 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 03, 2023",,Hardcover,view,/book/show/60833953-going-zero
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Plinko Bounce,"Clark, Martin*",1644283778,9781644283776,1644283778,356        pp,3.77,"2,069","Sep 12, 2023","Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 19, 2023",,Hardcover,view,/book/show/126133776-the-plinko-bounce
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Great Fields: The Life and Unlikely Heroism of Joshua Lawrence Chamberlain,"White Jr., Ronald C.",0525510087,9780525510086,0525510087,496        pp,4.53,366,"Oct 31, 2023","Oct 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 18, 2023",,Hardcover,view,/book/show/99160176-on-great-fields
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Be: Life Lessons from the Early Greeks,"Nicolson, Adam",037461010X,9780374610104,B0BQGFJP1D,356        pp,3.84,121,unknown,"Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 18, 2023",,Kindle Edition,view,/book/show/65215225-how-to-be
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Larry McMurtry: A Life,"Daugherty, Tracy",1250282330,9781250282330,1250282330,560        pp,4.21,310,unknown,"Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 01, 2023",,Hardcover,view,/book/show/65214420-larry-mcmurtry
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,August Wilson: A Life,"Hartigan, Patti",1501180665,9781501180668,1501180665,544        pp,4.17,126,unknown,"Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 01, 2023",,Hardcover,view,/book/show/62918722-august-wilson
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Why We Love Baseball: A History in 50 Moments,"Posnanski, Joe*",0593472675,9780593472675,0593472675,377        pp,4.58,"2,366","Sep 05, 2023","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 01, 2023",,Hardcover,view,/book/show/65650219-why-we-love-baseball
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Iliad,Homer,1324001801,9781324001805,1324001801,848        pp,3.91,"454,851",-660,"Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 01, 2023",,Hardcover,view,/book/show/77265004-the-iliad
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ripe,"Etter, Sarah Rose*",1668011638,9781668011638,1668011638,288        pp,3.65,"13,172","Jul 11, 2023","Jul 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 01, 2023",,Hardcover,view,/book/show/62919394-ripe
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,America Fantastica,"O’Brien, Tim",0063318504,9780063318502,0063318504,464        pp,3.47,"2,743","Oct 24, 2023","Oct 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 01, 2023",,Hardcover,view,/book/show/90588971-america-fantastica
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Reformatory,"Due, Tananarive*",1982188340,9781982188344,1982188340,576        pp,4.50,"11,188","Oct 31, 2023","Oct 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 01, 2023",,Hardcover,view,/book/show/62919847-the-reformatory
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Exchange: After The Firm,"Grisham, John*",0385548958,9780385548953,0385548958,352        pp,3.71,"61,390","Oct 17, 2023","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 01, 2023",,Hardcover,view,/book/show/123285511-the-exchange
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Day in the Life of Abed Salama: Anatomy of a Jerusalem Tragedy,"Thrall, Nathan",1250854970,9781250854971,1250854970,272        pp,4.30,"2,597","Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 01, 2023",,Hardcover,view,/book/show/77920745-a-day-in-the-life-of-abed-salama
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This House of Grief,"Garner, Helen",1922079200,9781922079206,1922079200,300        pp,4.04,"7,371","Aug 20, 2014",Aug 2014,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 01, 2023",,Paperback,view,/book/show/22814793-this-house-of-grief
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chenneville,"Jiles, Paulette*",0063252686,9780063252684,0063252686,307        pp,4.16,"3,972","Sep 12, 2023","Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 01, 2023",,Hardcover,view,/book/show/112975135-chenneville
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hidden Pictures,"Rekulak, Jason*",1250819342,9781250819345,1250819342,372        pp,4.15,"250,141","May 10, 2022","May 10, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2023",,Hardcover,view,/book/show/58724923-hidden-pictures
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle*",,,,401        pp,4.18,"845,272","Jul 05, 2022","Jul 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2023",,Hardcover,view,/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Book Lovers,"Henry, Emily*",,,0593440870,377        pp,4.14,"1,049,709","May 03, 2022","May 03, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I’m not a big romance reader, so I may not be the best to  this. It was ok by me. The lead character just seemed more annoying and neurotic thanI’m not a big romance reader, so I may not be the best to  this. It was ok by me. The lead character just seemed more annoying and neurotic than anything else. Also, I used to live in NY and while there is no other place like it and I miss it sometimes, I thought the whole NY as my home thing was a little overdone. I also just thought some of the references to the main male character’s eye color and habit of leaning in when he spoke and other such references were repetitive. Also, glad the fourth time was the charm for the couple in question, as I was starting to lose hope. Innocent enough, albeit more annoying than enjoying (for me). ...more",Notes are private!,0,0,1,"Dec 26, 2022","Dec 31, 2022","Dec 31, 2022",,Hardcover,view (with text),/book/show/58690308-book-lovers
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Purpose of Christmas,"Warren, Rick",1416559000,9781416559009,1416559000,132        pp,4.02,"2,468","Oct 17, 2008","Nov 04, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Another sweet book to help remind me about the true meaning of Christmas. Took my time reading over the month in the quiet of each morning before starAnother sweet book to help remind me about the true meaning of Christmas. Took my time reading over the month in the quiet of each morning before starting my day. Finished stronger than it started. ...more,Notes are private!,0,1,1,Dec 2022,"Dec 23, 2022","Dec 23, 2022",,Hardcover,view (with text),/book/show/4287255-the-purpose-of-christmas
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Because of Bethlehem: Every Day a Christmas, Every Heart a Manger","Lucado, Max*",,,,196        pp,4.28,"2,759",2016,"Sep 13, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A sweet book to help remind me about the true meaning of Christmas. Took my time reading over the month in the quiet of each morning before starting mA sweet book to help remind me about the true meaning of Christmas. Took my time reading over the month in the quiet of each morning before starting my day....more,Notes are private!,0,1,1,Dec 2022,"Dec 23, 2022","Dec 23, 2022",,Kindle Edition,view (with text),/book/show/29580594-because-of-bethlehem
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Parting the Waters: Martin Luther King and the Civil Rights Movement 1954-63,"Branch, Taylor",0333529456,9780333529454,0333529456,"1,062        pp",4.35,"9,697","Nov 15, 1988",1990,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 22, 2022",,Paperback,view,/book/show/99199.Parting_the_Waters
