,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lauren's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Too Late,"Hoover, Colleen*",1538756617,9781538756614,B0C1YY5SQR,370        pp,4.03,"319,742",Apr 2016,"Jun 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Kindle Edition,view,/book/show/127555313-too-late
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dark Matter,"Crouch, Blake*",1101904224,9781101904220,1101904224,352        pp,4.13,"500,006","Jul 26, 2016","Jul 26, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Fast-paced, unique concept, thrilling. Parts were definitely a little bit cheesy (including the ending smh) but overall I liked it.",Notes are private!,0,0,1,"Jan 22, 2024","Jan 24, 2024","Jan 17, 2024",,Hardcover,view (with text),/book/show/27833670-dark-matter
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Upright Women Wanted,"Gailey, Sarah*",1250213584,9781250213587,1250213584,176        pp,3.62,"20,742","Feb 04, 2020","Feb 04, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Hardcover,view,/book/show/45320365-upright-women-wanted
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Such Sharp Teeth,"Harrison, Rachel",0593545826,9780593545829,0593545826,336        pp,3.86,"15,014","Oct 04, 2022","Oct 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Hardcover,view,/book/show/60097467-such-sharp-teeth
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Department of Speculation,"Offill, Jenny*",,,,unknown,3.76,"54,481","Jan 28, 2014",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,,view,/book/show/56497311-the-department-of-speculation
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fourth Wing        (The Empyrean, #1)","Yarros, Rebecca*",1649374046,9781649374042,1649374046,498        pp,4.59,"1,501,641","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Hardcover,view,/book/show/61431922-fourth-wing
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Story of a New Name        (The Neapolitan Novels, #2)","Ferrante, Elena",,,1609451341,471        pp,4.44,"179,029","Sep 22, 2012","Sep 03, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I think I’m hooked! Boy does Ferrante know how to end a book in a way that makes you want to immediately pick up the next one. Beautiful prose, thematI think I’m hooked! Boy does Ferrante know how to end a book in a way that makes you want to immediately pick up the next one. Beautiful prose, thematically beautiful stories. Once again loved the beach/summer part and for me that’s where the story really picked up and became a page turner. I think I’d do 4.5 stars overall but rounding up because I’m ready for book 3. The relationship between these two friends is so deliciously interesting and complex! Love it! ...more",Notes are private!,0,0,1,"Jan 09, 2024","Jan 22, 2024","Jan 06, 2024",,Paperback,view (with text),/book/show/17465515-the-story-of-a-new-name
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Court of Thorns and Roses        (A Court of Thorns and Roses, #1)","Maas, Sarah J.*",1635575567,9781635575569,1635575567,419        pp,4.20,"2,491,531","May 05, 2015","Jun 02, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I fear how much I'll like the rest of the series given that I liked this one quite a bit. Wish me well. I fear how much I'll like the rest of the series given that I liked this one quite a bit. Wish me well. ...more,Notes are private!,0,4,1,"Jan 24, 2024",Feb 2024,"Jan 06, 2024",,Paperback,view (with text),/book/show/50659467-a-court-of-thorns-and-roses
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rock Paper Scissors,"Feeney, Alice*",1250266106,9781250266101,1250266106,294        pp,3.93,"423,135","Aug 19, 2021","Sep 07, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Going back and forth between 3 and 4 stars. It really kept me going - very fast-paced, loved the changing perspectives and short chapters. I didn’t seGoing back and forth between 3 and 4 stars. It really kept me going - very fast-paced, loved the changing perspectives and short chapters. I didn’t see the twist coming and I liked that it was somewhat simple, but I feel like there were some loose ends that were never tied up and I was waiting for another twist to come when the book ended. Clever concept for the story though, prosopagnosia is really intriguing and makes for a good premise of a horror story too. ...more",Notes are private!,0,1,1,"Dec 27, 2023","Dec 28, 2023","Dec 27, 2023",,Hardcover,view (with text),/book/show/56269064-rock-paper-scissors
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Butchering Art: Joseph Lister's Quest to Transform the Grisly World of Victorian Medicine,"Fitzharris, Lindsey*",0374117292,9780374117290,0374117292,304        pp,4.30,"18,495","Oct 31, 2017","Oct 31, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 25, 2023",,Hardcover,view,/book/show/33931044-the-butchering-art
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heaven & Earth Grocery Store,"McBride, James*",0593422945,9780593422946,0593422945,380        pp,4.08,"129,305","Aug 08, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 25, 2023",,Hardcover,view,/book/show/65678550-the-heaven-earth-grocery-store
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House of Eve,"Johnson, Sadeqa*",1982197366,9781982197360,1982197366,384        pp,4.26,"75,108","Feb 07, 2023","Feb 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 24, 2023",,Hardcover,view,/book/show/61273858-the-house-of-eve
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Guncle,"Rowley, Steven*",,,B08H17JJCK,336        pp,4.14,"135,277","May 25, 2021","May 25, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Very cute albeit cliche at times. Some nice comments on grieving sprinkled throughout,Notes are private!,0,3,1,"Jan 06, 2024","Jan 09, 2024","Dec 23, 2023",,Kindle Edition,view (with text),/book/show/56292974-the-guncle
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bright Young Women,"Knoll, Jessica*",1501153226,9781501153228,1501153226,384        pp,4.03,"87,144","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 20, 2023",,Hardcover,view,/book/show/101124639-bright-young-women
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Library Book,"Orlean, Susan*",1476740186,9781476740188,1476740186,317        pp,3.89,"114,951","Oct 16, 2018","Oct 16, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 20, 2023",,Hardcover,view,/book/show/39507318-the-library-book
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Five-Star Weekend,"Hilderbrand, Elin*",0316258776,9780316258777,0316258776,384        pp,4.08,"159,437","Jun 13, 2023","Jun 13, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Fun beach read with some interpersonal/life drama thrown in. It was kind of melodramatic at times, but I enjoyed reading it. This is my second Elin HiFun beach read with some interpersonal/life drama thrown in. It was kind of melodramatic at times, but I enjoyed reading it. This is my second Elin Hilderbrand book and she def has that predictable Nantucket vibe....more",Notes are private!,0,0,1,"Dec 10, 2023","Dec 14, 2023","Dec 10, 2023",,Hardcover,view (with text),/book/show/62873996-the-five-star-weekend
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tennis Partner,"Verghese, Abraham*",0060931132,9780060931131,0060931132,345        pp,3.96,"8,633",1998,"Sep 22, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 30, 2023",,Paperback,view,/book/show/187117.The_Tennis_Partner
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Big Swiss,"Beagin, Jen",1982153083,9781982153083,1982153083,336        pp,3.69,"62,790","Feb 07, 2023","Feb 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Hmmm this was an interesting one. Quite dark and graphic. At times I felt like this could be a book I was assigned to read at school (besides the topiHmmm this was an interesting one. Quite dark and graphic. At times I felt like this could be a book I was assigned to read at school (besides the topic lol) because it felt like there were so many themes and motifs ripe for analysis. I thought the idea of having someone transcribe therapy sessions and then recognizing people's voices from the recordings was clever. Found it a little bit confusing and unsettling overall. ...more,Notes are private!,0,0,1,"Dec 14, 2023","Dec 20, 2023","Nov 25, 2023",,Hardcover,view (with text),/book/show/60701439-big-swiss
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Covenant of Water,"Verghese, Abraham*",0802162177,9780802162175,0802162177,724        pp,4.47,"150,609","May 02, 2023",Jun 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 23, 2023",,Hardcover,view,/book/show/180357146-the-covenant-of-water
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,809","Aug 01, 2023","Aug 01, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Listened audiobook - read by Meryl Streep! Feel good read about being young and in love. Loved that it was set during Covid (without actually being abListened audiobook - read by Meryl Streep! Feel good read about being young and in love. Loved that it was set during Covid (without actually being about Covid at all) with Lara’s adult daughters at home with her listening to her stories. Cute to listen to this with my mom! ...more,Notes are private!,0,3,1,"Nov 23, 2023","Nov 30, 2023","Nov 23, 2023",,Hardcover,view (with text),/book/show/63241104-tom-lake
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hello Beautiful,"Napolitano, Ann*",,,B0B7R4Q5DJ,416        pp,4.18,"297,754","Mar 14, 2023","Mar 14, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I thought this book had a lot of nice elements but for some reason it read to me like a laundry list of events. Perhaps I was never drawn into the worI thought this book had a lot of nice elements but for some reason it read to me like a laundry list of events. Perhaps I was never drawn into the world that Napolitano created, but the story seemed somewhat superficial despite the deep, emotional, sometimes dark subject matter. I never really felt like I got to know any of the characters that well. It was cool to read about a different family structure and the love the sisters had for each other, but otherwise I feel like it fell kinda flat for me. ...more",Notes are private!,0,1,1,"Dec 22, 2023","Dec 27, 2023","Nov 22, 2023",,Kindle Edition,view (with text),/book/show/61771675-hello-beautiful
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Piranesi,"Clarke, Susanna",163557563X,9781635575637,163557563X,272        pp,4.23,"280,864","Sep 15, 2020","Sep 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 21, 2023",,Hardcover,view,/book/show/50202953-piranesi
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Friends, Lovers, and the Big Terrible Thing","Perry, Matthew",1250866448,9781250866448,1250866448,250        pp,3.90,"250,378","Nov 01, 2022","Nov 01, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Pretty repetitive and not very well written but overall a good read and insight into the mind of someone who struggles with addiction despite being hiPretty repetitive and not very well written but overall a good read and insight into the mind of someone who struggles with addiction despite being high achieving in society. Always good to have a reminder that addiction is really hard to break away from despite all the best intentions! ...more,Notes are private!,0,2,1,"Mar 10, 2024","Mar 11, 2024","Nov 20, 2023",,Hardcover,view (with text),/book/show/59641216-friends-lovers-and-the-big-terrible-thing
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chain-Gang All-Stars,"Adjei-Brenyah, Nana Kwame*",0593317335,9780593317334,0593317335,367        pp,4.14,"37,825","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 07, 2024",not set,"Nov 08, 2023",,Hardcover,view,/book/show/61190770-chain-gang-all-stars
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Husband,"Ventura, Maud",0063274825,9780063274822,0063274825,272        pp,3.69,"18,565","Aug 19, 2021","Jul 11, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Maud Ventura did an amazing job at creating a character and keeping me going and interested despite my not being able to relate to the protagonist. PaMaud Ventura did an amazing job at creating a character and keeping me going and interested despite my not being able to relate to the protagonist. Parts of this book definitely made me uneasy but I always commend an author when they're able to stir up emotion in a reader. I thought the ending was ingenious. I also liked the pacing of this book and how it was only a week of the marriage but you could sense how maddening the relationship had been over the course of the 15 years they were together. I enjoyed reading a translation of the original. ...more,Notes are private!,0,0,1,"Nov 18, 2023","Nov 20, 2023","Nov 08, 2023",,Hardcover,view (with text),/book/show/63017297-my-husband
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paper Palace,"Heller, Miranda Cowley",,,,400        pp,3.81,"321,166","Jul 06, 2021","Jul 06, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 31, 2023",,Hardcover,view,/book/show/55994372-the-paper-palace
