,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Francine's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Invisible Boy: A Memoir of Self-Discovery,"Mooney, Harrison",1443463949,9781443463942,,304        pp,4.36,608,"Sep 20, 2022","Sep 20, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 04, 2023",,ebook,view,/book/show/60198129-invisible-boy
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman in Me,"Spears, Britney",1668009048,9781668009048,1668009048,288        pp,3.91,"383,515","Oct 24, 2023","Oct 24, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"You’ve probably already heard everything you need to know about this book. That Britney says Justin Timberlake cheated on her repeatedly; insisted thaYou’ve probably already heard everything you need to know about this book. That Britney says Justin Timberlake cheated on her repeatedly; insisted that she abort their baby; broke up with her via text and trash-talked her afterwards, insinuating that she was the one cheating on him. That she claims her father was a raging alcoholic and once he won legal control of her life, her whole family treated her like a money-making machine, ignoring what she wanted and needed. That Kevin Federline, her first husband, stood on her shoulders to build his own “career.” That her two boys were her world and they have been kept from her and turned against her. That she lived in a lavish prison. Poor Britney. She seems like a kind, talented and hard-working woman, who was endlessly taken advantage of. No wonder her greatest comfort is to have someone hold her in a pool. ...more",Notes are private!,0,0,1,not set,"Oct 28, 2023","Oct 29, 2023",,Hardcover,view (with text),/book/show/63133205-the-woman-in-me
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Marriage Portrait,"O'Farrell, Maggie*",,,,355        pp,4.02,"139,073","Aug 30, 2022","Sep 06, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A Harlequin romance with literary pretentions. The heroine is Not Like The Other Girls. Her husband is tall, dark and handsome. Some memorable passageA Harlequin romance with literary pretentions. The heroine is Not Like The Other Girls. Her husband is tall, dark and handsome. Some memorable passages: Describing a river: its edges lapping at the banks with lassitudinous ochre tongues.Inside a church: Light enters at an oblique angle from invisible lofty windows, high above their heads, warming the apex of the arches, alchemizing the white plaster to lozenges of gold.Later: Lucrezia’s mind leaps like a flea from the sight of her hand up close, the alluvial puckers and creases that striate their innards…Is it parody?The breathless positive s from papers like The Washington Post “one of the most exciting novelists alive” and the Globe and Mail “yet another masterpiece” make me wonder who is doing literary s these days. After reading it, I realized it was a Reese Witherspoon book club pick, which fits. The last time I felt this betrayed by a novel posing as literature was when I read Water for Elephants, another of Witherspoon’s favourites, made into a movie, which naturally, she starred in.This book reads like a movie too, including the “twist” ending, obvious from about the halfway mark. Witherspoon will probably have to settle for playing a secondary character, however, as the heroine in this bodice-ripper is a teenager. ...more",Notes are private!,0,3,1,not set,"Sep 15, 2023","Sep 15, 2023",,Hardcover,view (with text),/book/show/60353768-the-marriage-portrait
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Henry Dundas Viscount Melville,"Lovat-Fraser, J A",0656002263,9780656002269,0656002263,171        pp,5.00,1,unknown,"Aug 24, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Someone on earth cares enough about books and history that they went to the trouble of publishing this very niche title. Thank you Leopold Classic LibSomeone on earth cares enough about books and history that they went to the trouble of publishing this very niche title. Thank you Leopold Classic Library. It’s strictly a book for people with a deep interest in Henry Dundas....more,Notes are private!,0,0,2,not setnot set,"Jan 06, 2023not set","Aug 25, 2023",,Hardcover,view (with text),/book/show/38563858-henry-dundas-viscount-melville
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"How to Survive History: How to Outrun a Tyrannosaurus, Escape Pompeii, Get Off the Titanic, and Survive the Rest of History's Deadliest Catastrophes","Cassidy, Cody",0143136402,9780143136408,0143136402,195        pp,4.07,"1,340",Mar 2023,"Jun 13, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Fun book. Cassidy provides fascinating detail about the eras and places where the historical catastrophes he describes took place. His writing is funnFun book. Cassidy provides fascinating detail about the eras and places where the historical catastrophes he describes took place. His writing is funny and engaging. Great book for a long voyage because you don’t have to follow a plot or remember any characters. Each chapter is complete in and of itself. I’d highly recommend it. ...more,Notes are private!,0,0,1,not set,"Aug 25, 2023","Aug 25, 2023",,Paperback,view (with text),/book/show/62669265-how-to-survive-history
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Wear a Silver Lining: Creating a life you love when it all comes crashing down,"Love, Rachel Lindley",,9798396579873,B0CCCQNV7K,244        pp,4.00,1,unknown,"Jul 21, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,There’s a lot of hard-won wisdom in this book.,Notes are private!,0,0,2,not setnot set,"Aug 08, 2023not set","Aug 08, 2023",,Paperback,view (with text),/book/show/194031632-how-to-wear-a-silver-lining
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,18 Months,"Thrace, Shannon*",,9798986693804,,311        pp,4.31,114,"Oct 12, 2022","Oct 16, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Shannon Thrace was deeply in love with her husband and supported his surprising decision, more than a decade into their relationship, to start crossdrShannon Thrace was deeply in love with her husband and supported his surprising decision, more than a decade into their relationship, to start crossdressing. She comes across a joke and is filled with foreboding: What’s the difference between a cross dresser and a trans woman? The answer: 18 months. Thrace describes her marriage with such tenderness and affection and longing — a meeting of the minds and sexually passionate. She is deeply intelligent and tender and caring. Her story is harrowing — her husband’s transition put her through the wringer. I won’t spoil it by revealing whether or not they stay together. ...more",Notes are private!,0,5,1,not set,"Jul 29, 2023","Jul 29, 2023",,,view (with text),/book/show/50660368-18-months
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The School for Good Mothers,"Chan, Jessamine*",,,,336        pp,3.54,"105,733","Jan 04, 2022","Jan 04, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This novel starts off strong, then falls off. The idea is intriguing — mothers considered bad are sent to re-education schools. But only the main charThis novel starts off strong, then falls off. The idea is intriguing — mothers considered bad are sent to re-education schools. But only the main character is fully drawn. The others are only roughly sketched in, so it’s hard to feel anything when something happens to them. Also, the ordeals the mothers at the schools must endure go on forever — it begins to feel like a list — without meaningfully advancing the story line. So overall, I might recommend this book, with caveats. Would have made a good short story, actually....more",Notes are private!,0,1,1,not set,"Jun 16, 2023","Jun 16, 2023",,Hardcover,view (with text),/book/show/57846320-the-school-for-good-mothers
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Swann's Way: Part Two,"Proust, Marcel",,,B002E209F8,0        pp,5.00,2,unknown,"Jan 01, 1966",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Swann falls in love with a fallen woman and marries her and Marcel falls in love with their daughter. A meditation on love and obsession.,Notes are private!,0,0,1,not set,"May 27, 2023","May 27, 2023",,Hardcover,view (with text),/book/show/148122591-swann-s-way
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Washington Square,"James, Henry",0451528719,9780451528711,0451528719,240        pp,3.70,"23,369","Dec 01, 1880","Apr 06, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book is exquisite. Recommended by author Ann Patchett on her Book Tok as one of Henry James’s more accessible novels, Washington Square is a tighThis book is exquisite. Recommended by author Ann Patchett on her Book Tok as one of Henry James’s more accessible novels, Washington Square is a tightly wound psychological drama masquerading as a romance. In fact it’s an anti-romance, slyly skewering the genre and the characters that populate the genre — the hapless young woman, the handsome suitor, the wise and helpful maiden aunt-facilitator, are inverted here. This book is brilliant, complex, and beautifully written. I will read it again....more",Notes are private!,0,2,1,"May 25, 2023","May 27, 2023","May 27, 2023",,Mass Market Paperback,view (with text),/book/show/133954.Washington_Square
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ghosts of the Tsunami: Death and Life in Japan's Disaster Zone,"Lloyd Parry, Richard*",1911214179,9781911214175,1911214179,276        pp,4.23,"6,236","Aug 31, 2017","Aug 31, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 01, 2023",,Hardcover,view,/book/show/30335545-ghosts-of-the-tsunami
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Plagues and Peoples,"McNeill, William H.",0385121229,9780385121224,0385121229,368        pp,3.89,"4,678",1976,"Jan 01, 1976",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 01, 2023",,Paperback,view,/book/show/46725.Plagues_and_Peoples
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Have Some Questions for You,"Makkai, Rebecca*",0593490142,9780593490143,0593490142,438        pp,3.62,"101,890","Feb 21, 2023","Feb 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 30, 2023",,Hardcover,view,/book/show/61053829-i-have-some-questions-for-you
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Sun: The Brief Transit and Violent Eclipse of Harry Crosby,"Wolff, Geoffrey",1590170660,9781590170663,1590170660,379        pp,3.90,542,"Aug 01, 1976","Aug 31, 2003",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Harry Crosby was not worthy of this long and detailed biography. He was a rich but minor figure in the literary expat community in France in the 1920sHarry Crosby was not worthy of this long and detailed biography. He was a rich but minor figure in the literary expat community in France in the 1920s. A friend of great writers, but not a great writer. A murderer, which is barely dealt with, as if the woman he killed was a footnote and it’s enough to say that she was part of a suicide pact, when in fact, she was a misguided young woman out of her depth with the older, experienced, and manipulative Crosby. He lived every day to it’s fullest, well, bravo, but there are people who do that without ruining the lives of the people who love them. Harry Crosby mattered little in his time; he matters not at all now....more",Notes are private!,0,1,1,not set,"Apr 28, 2023","Apr 28, 2023",,Paperback,view (with text),/book/show/254007.Black_Sun
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lessons in Chemistry,"Garmus, Bonnie*",,,,390        pp,4.30,"1,230,294","Mar 31, 2022","Apr 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 07, 2023","Apr 08, 2023","Apr 08, 2023",,Hardcover,view,/book/show/58065033-lessons-in-chemistry
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Swann's Way        (Remembrance of Things Past #1),"Proust, Marcel",,,B09PZTKW2X,589        pp,4.14,"60,148","Nov 14, 1913","Jan 07, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"One down, 11 volumes to go. This is the year I finish this epic. I first began in 2018, so this is a re-read, which I thought I needed to do, but realOne down, 11 volumes to go. This is the year I finish this epic. I first began in 2018, so this is a re-read, which I thought I needed to do, but really, I have remembered it much better than books I have read more recently. This book lives rent-free until my head, as they say. I loved it as much now as I did five years ago. ...more",Notes are private!,0,0,1,not set,"Apr 02, 2023","Apr 02, 2023",,Kindle Edition,view (with text),/book/show/60658853-swann-s-way
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Friends, Lovers, and the Big Terrible Thing","Perry, Matthew",1250866448,9781250866448,1250866448,250        pp,3.90,"250,276","Nov 01, 2022","Nov 01, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is not a Hollywood tell-all. It’s not funny. It’s barely an autobiography. But it reveals a lot about addiction, which I think was mostly Perry’sThis is not a Hollywood tell-all. It’s not funny. It’s barely an autobiography. But it reveals a lot about addiction, which I think was mostly Perry’s intent. We’ve learned a lot about addiction over the past 100 years or so, the most important being that it’s not a simple choice or moral failing — it’s a disease that takes root more firmly in some people than others — and Matthew Perry’s brain seems to be a particularly fertile breeding ground for all addictions. He was addicted to opioids, alcohol, cigarettes and probably sex, and has quit most of them for now. I’ve read many autobiographies written by people with addictions and it’s striking how many things they have in common. One is that they felt uncomfortable in their own skin and alcohol/drugs made them feel comfortable, and it was such a relief they couldn’t stop. That’s how it was for Perry. This book is a cautionary tale and also perhaps, hopefully, will give the right readers just enough courage to sign up for rehab one more time.I did find Perry’s calculated and casual use of women repellant. Apologizing profusely for being a dog doesn’t make it better. Especially since he takes care to mention repeatedly that he broke up with Julia Roberts and not the other way around, and that, despite all his womanizing only one (or two?) women ever broke up with him, or wouldn’t go out with him, including Jennifer Aniston. Smart girl.I listened to this on Audible. Perry’s voice is slurred, which makes it a bit of a tough go, and it’s too long, with too much detail, particularly at the end, about the view of the ocean and metaphors for life and healing. Too many thank-yous. Can’t you thank people privately and not involve your readers?He doesn’t come off as entirely likeable, and he’s still pretty self-focused, but if this book encourages anyone to check into rehab, or just not get involved with drugs in the first place, it will have done it’s job. ...more",Notes are private!,0,3,1,not set,"Feb 07, 2023","Feb 07, 2023",,Hardcover,view (with text),/book/show/59641216-friends-lovers-and-the-big-terrible-thing
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'm Glad My Mom Died,"McCurdy, Jennette",,,,320        pp,4.47,"965,458","Aug 09, 2022","Aug 09, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** Child celebrities make me uncomfortable. So do child prodigies and athletes. Generally speaking, they’re giving up their one, brief **spoiler alert** Child celebrities make me uncomfortable. So do child prodigies and athletes. Generally speaking, they’re giving up their one, brief childhood to chase a dream that may or may not pan out, and if it does pan out and bring fame, we’ll, that’s not a great outcome either. It doesn’t seem worth it and shouldn’t be encouraged. I mean, maybe if it’s something they are themselves obsessed with and want — maybe — it’s okay? Maybe. Too often it seems to be something their parents want for them. That was Jennette McCurdy’s experience. At the age of six, her mother Debra began pushing her only daughter into acting, eventually making a star out of her — McCurdy landed the lead role in iCarly on Nickelodeon. Debra also introduced her daughter to extreme dieting in order to delay puberty, which triggered anorexia and then bulimia. Debra was a hoarder whose children slept on Costco mats on the living room floor, hemmed in by garbage. Three of them were the product of an affair with another man, while Debra was married to Mark, the man Jennette thought was her father — a passive retail worker whom Debra controlled with her explosive rage. It took McCurdy years to disentangle her life from her overbearing mother, and it sadly seems unlikely that she will ever be fully and truly healed — the abuse she suffered infused every nook and cranny of her life. And in L.A., stars seem hounded at every turn by predators, from overzealous fans to opportunistic real estate agents, contractors, even decorators, and leering and emotionally abusive directors. Even her attempts at recovery are fraught. Her first “therapist” quickly crosses all boundaries, persuading Jennette to take her to an awards show, for “therapeutic” reasons. The therapist ends up spending more time canoodling with stars than she does helping her client. The last chapters of the book are wrenching. McCurdy sits by her mother’s headstone, inscribed with superlatives, and is swamped by anger over who her mother really was and what she did to the people closest to her, the closest being her. McCurdy’s assessment of her mother in these pages is scathing.I actually read this book by accident. It was recommended to me, I thought, by a well-read family member. Turns out I completely messed up the title and read the wrong book entirely.I don’t regret it. Like all people who grew up with a monster in the house — someone whose moods must constantly be read accurately in order to keep all hell from breaking loose — McCurdy is an expert in reading people. Her assessments seem accurate, and even in the case of her mother, she demonstrates an underlying reflexive kindness, understanding and humanity that to me signal deep intelligence. I hope she keeps writing and that she is able to segue into other genres, and put this past as far behind her as she can. I would recommend this book to anyone with an interest in Hollywood or celebrity. It should be required reading for every parent who shows up at an audition with an innocent child in tow....more",Notes are private!,0,1,1,not set,"Jan 27, 2023","Jan 27, 2023",,ebook,view (with text),/book/show/59364173-i-m-glad-my-mom-died
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Spare,Prince Harry,0593593804,9780593593806,0593593804,410        pp,3.86,"354,083","Jan 10, 2023","Jan 10, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Prince Harry strikes me as a tender-hearted man and well-intentioned. This book offers an inside look at what it’s like to grow up a Prince, and of coPrince Harry strikes me as a tender-hearted man and well-intentioned. This book offers an inside look at what it’s like to grow up a Prince, and of course it’s also a love story. The hate directed towards Markle has indeed been unhinged and racist, but one wishes Harry had been able to take the advice of his father and brother and ignore the press. It’s not surprising that Harry, who remains scarred by his mother’s death, essentially at the hands of paparazzi, seemingly can’t. Pretty sure the Prince, who admits he’s not a reader, did not actually write this book, so kudos to the ghost-writer, this book is exceptionally well-written. I’d recommend it. ...more",Notes are private!,0,13,1,not set,"Jan 18, 2023","Jan 18, 2023",,Hardcover,view (with text),/book/show/62296528-spare
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Groundskeeping,"Cole, Lee",0593320506,9780593320501,0593320506,323        pp,3.57,"7,042","Mar 01, 2022","Mar 01, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Morally spongy and flirting with failure, Owen Callahan, 28, takes a job as a groundskeeper and a course on creative writing, falls in love, explains Morally spongy and flirting with failure, Owen Callahan, 28, takes a job as a groundskeeper and a course on creative writing, falls in love, explains Kentucky and illuminates how Trump’s election exposed and deepened fissures in American politics, dividing families and friends. This novel works well as a book club selection, because there are plenty of issues for discussion, including whether class distinctions are becoming entrenched in a country founded on the ideals of equality, and the aggressively vague, pick-your-own-ending. I liked this book well enough even if I don’t feel it quite lives up to the hype....more",Notes are private!,0,0,1,not set,"Jan 09, 2023","Jan 09, 2023",,Hardcover,view (with text),/book/show/58395053-groundskeeping
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Day at the Beach,"Wolff, Geoffrey",0804170096,9780804170093,0804170096,336        pp,3.48,139,1992,"Nov 05, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2023",,Paperback,view,/book/show/17910607-a-day-at-the-beach
