,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,YoSafBridg's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"American Indian Stories, Legends, and Other Writings",Zitkála-Šá,0142437093,9780142437094,0142437093,268        pp,3.91,687,"Feb 25, 2003","Feb 25, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/556734.American_Indian_Stories_Legends_and_Other_Writings
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Woolgathering,"Smith, Patti*",0937815470,9780937815472,0937815470,80        pp,3.85,"6,202",1992,"Jan 01, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/788586.Woolgathering
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stick Out Your Tongue,Ma Jian,0374269882,9780374269883,0374269882,93        pp,3.71,"1,077",1987,"Jan 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/389681.Stick_Out_Your_Tongue
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Moth Presents All These Wonders: True Stories About Facing the Unknown,"Burns, Catherine",1101904402,9781101904404,1101904402,331        pp,4.42,"8,593","Mar 21, 2017","Mar 21, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/30901606-the-moth-presents-all-these-wonders
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eight Ghosts: The English Heritage Book of New Ghost Stories,"Perry, Sarah",1910463736,9781910463734,1910463736,214        pp,3.48,"1,200","Sep 18, 2018","Sep 28, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/35689074-eight-ghosts
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Meet Me at the Intersection,"Lim, Rebecca*",1925591700,9781925591705,1925591700,296        pp,3.95,363,"Sep 01, 2018","Sep 03, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/39930580-meet-me-at-the-intersection
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Woman,"Choi, Susan*",0060542225,9780060542221,0060542225,369        pp,3.54,"1,595","Jan 01, 2003","Sep 07, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/285086.American_Woman
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Feather on the Breath of God,"Nunez, Sigrid",0312422733,9780312422738,0312422733,192        pp,3.98,"1,597","Jan 01, 1995","Dec 27, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/33365.A_Feather_on_the_Breath_of_God
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Foreign Student,"Choi, Susan*",0060929278,9780060929275,0060929278,336        pp,3.42,818,1998,"Sep 21, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/132995.The_Foreign_Student
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sisterhood: The Secret History of Women at the CIA,"Mundy, Liza*",0593238176,9780593238189,B0BSL12WJ7,400        pp,4.25,"1,746","Oct 17, 2023","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/81360005-the-sisterhood
