,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sirpa's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heaven & Earth Grocery Store,"McBride, James*",0593422961,9780593422960,B0BPNP7YQB,400        pp,4.08,"129,164","Aug 08, 2023","Aug 08, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Feb 2024,"Feb 10, 2024","Feb 01, 2024",,Kindle Edition,view,/book/show/85148114-the-heaven-earth-grocery-store
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Home Front,"Hannah, Kristin*",,,B005OQGC1Q,397        pp,4.21,"134,183","Jan 31, 2012",unknown,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Feb 2024,"Feb 01, 2024",,Kindle Edition,view,/book/show/43313245-home-front
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Around the World in Eighty Days,"Verne, Jules",1542099544,,B0756ZS2DT,108        pp,3.94,"247,796","Nov 06, 1872","Nov 21, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 20, 2024","Jan 25, 2024","Jan 20, 2024",,Kindle Edition,view,/book/show/36187619-around-the-world-in-eighty-days
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Echo of Old Books,"Davis, Barbara*",1542038154,9781542038157,B0B9RNFT4S,431        pp,4.31,"72,342","Mar 28, 2023","Mar 28, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 09, 2024","Jan 09, 2024",,Kindle Edition,view,/book/show/62060274-the-echo-of-old-books
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,"Brown, Daniel James*",067002581X,9780670025817,067002581X,404        pp,4.39,"312,292","Jun 04, 2013","Jan 01, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"May 06, 2015","Jan 06, 2024",,Hardcover,view,/book/show/16158542-the-boys-in-the-boat
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Split,"Bremer, Alida*",1662507038,9781662507038,B0BGT8885P,262        pp,2.70,"1,298",unknown,"Jan 01, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 29, 2023",not set,"Dec 29, 2023",,Kindle Edition,view,/book/show/122146114-split
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paris Assignment,"Bowen, Rhys*",166250425X,9781662504259,B0BPYXZRLQ,378        pp,4.33,"11,498","Aug 08, 2023","Aug 08, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 25, 2023","Dec 25, 2023",,Kindle Edition,view,/book/show/68047988-the-paris-assignment
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,North Woods,"Mason, Daniel*",0593597036,9780593597033,0593597036,372        pp,4.18,"27,187","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 20, 2023",,Hardcover,view,/book/show/71872930-north-woods
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Old Testament and Related Studies        (The Collected Works of Hugh Nibley, Volume 01)","Nibley, Hugh",0875790321,9780875790329,0875790321,290        pp,4.12,289,Jan 1986,"Jan 01, 1986",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Nibley is one of my favorite authors. I have a lot more to write about the specifics of this volume's treasures, but seriously, I have another Nibley Nibley is one of my favorite authors. I have a lot more to write about the specifics of this volume's treasures, but seriously, I have another Nibley volume that I have to finish reading first. My friens Zina, Nibley's youngest daughter, recounted how her father was a prolific reader known for sitting in the library with a stack of books guarded by one arm while he plowed through volume after volume, taking notes on whatever interested him along the way. He was a true Christian apologist who engaged the world through his beloved gospel lens. A personal aside, Nibley's curmudgeonly humor, brilliance, and associative mind are reason enough to love spending time with him, but I feel compelled to explain why I have set a goal to read all of his collected works in honor of my Finnish father, Valto Antero Tolvanen. I grew up during the 1960s through the 1980s with my scholarly father reading Nibley, discussing what he discovered, and then clacking away with his lightning fast peculiar two-finger typing method on his huge Finnish-keyed olive green WWII-era typewriter, as he translated, eventually with Hugh's blessing, all of his available works at the time into Finnish. He began this task with Lehi in the Deseet to improve his own knowledge of English. Well, the Finns are known as the most literate nation in the world and Dad didn't want them to miss out on Nibley. A peculiar ability of Dad's was his uncanny way of translating what Vladimir Nobokov called the author's signature (voice), including his sense of humor and irony. They were kindred spirits. Dad and Hugh had met in the early 1970s and when Dad died in 1991, his translations of Nibley were housed at Brigham Young University with FARMS, the Fundation for Ancient Research and Mormon Studies. The binders housing these translations sat awaiting publication for several decades, until my sister and I retrieved them, after realizing that the small Finnish audience Dad was aiming to reach was't exactly high on FARMS' priority list. But, hopefully someday the manuscripts will see the light of day with technology advances to scan his typewritten pages, take them through AI copyediting and into a digital form....more",Notes are private!,1,1,1,not set,"Dec 19, 2022","Dec 19, 2023",,Hardcover,view (with text),/book/show/399213.Old_Testament_and_Related_Studies
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Romney: A Reckoning,"Coppins, McKay",1982196238,9781982196233,,416        pp,4.38,"5,176","Oct 24, 2023","Oct 24, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A thoughtful evaluation of the pitfalls inherent in running for political office. Although I don't always admire politicians, I do admire those who trA thoughtful evaluation of the pitfalls inherent in running for political office. Although I don't always admire politicians, I do admire those who try to help our local, state, or national government. I also think that Romney's honest self-reflections and ruminations illustrate the temptations, quagmires, and hidden agendas that those who succeed in gaining office will experience. Copping is an excellent writer. ...more",Notes are private!,0,0,1,"Oct 28, 2023",Dec 2023,"Dec 04, 2023",,ebook,view (with text),/book/show/101025305-romney
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Centenary at Jalna        (Whiteoaks of Jalna series Book 16),"Roche, Mazo de la",,,B005LG3334,307        pp,3.88,271,1958,"Jul 13, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 27, 2023","Dec 12, 2023","Nov 27, 2023",,Kindle Edition,view,/book/show/19429564-centenary-at-jalna
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Variable Winds at Jalna        (Whiteoaks of Jalna series Book 15),"Roche, Mazo de la",,,B004QO9VVU,296        pp,3.93,260,"Jan 01, 1954",unknown,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 21, 2023","Nov 27, 2023","Nov 21, 2023",,Kindle Edition,view,/book/show/12193193-variable-winds-at-jalna
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Doctrines of Salvation, Volume 3","Smith, Joseph Fielding",,,B000FHQERG,381        pp,4.34,679,"Jul 04, 1976","Jan 01, 1956",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 07, 2023",not set,"Nov 07, 2023",,Hardcover,view,/book/show/130302262-doctrines-of-salvation-volume-3
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Doctrines of Salvation Volume 3 Sermons and Writings of Joseph Fielding Smith,"McConkie, Compiled by Bruce R.",,,B00K5YKQ96,0        pp,0.00,0,unknown,"Jan 01, 1981",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 07, 2023",not set,"Nov 07, 2023",,Hardcover,view,/book/show/167037467-doctrines-of-salvation-volume-3-sermons-and-writings-of-joseph-fielding
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Renny's Daughter        (Whiteoaks of Jalna series Book 14),"Roche, Mazo de la",,,B004QO9VWE,288        pp,3.85,253,1951,"Dec 02, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 30, 2023",Feb 2024,"Oct 30, 2023",,Kindle Edition,view,/book/show/19315827-renny-s-daughter
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Revolutionary: Samuel Adams,"Schiff, Stacy*",0316441112,9780316441117,0316441112,432        pp,3.74,"6,088","Oct 25, 2022","Oct 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 21, 2023",not set,"Oct 21, 2023",,Hardcover,view,/book/show/60468246-the-revolutionary
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Personal Librarian,"Benedict, Marie*",,,,341        pp,4.06,"167,946","Jun 29, 2021","Jun 29, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 21, 2023","Dec 04, 2023","Oct 21, 2023",,Hardcover,view,/book/show/55333938-the-personal-librarian
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Enoch the Prophet        (The Collected Works of Hugh Nibley, Volume #2)","Nibley, Hugh",087579047X,9780875790473,087579047X,309        pp,4.19,359,Sep 1986,"Jan 01, 1986",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 21, 2023","Dec 19, 2023","Oct 21, 2023",,Hardcover,view,/book/show/399210.Enoch_the_Prophet
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Return to Jalna        (Whiteoaks of Jalna, #13)","Roche, Mazo de la",,,B004QO9POI,416        pp,3.97,312,"Jan 30, 1946",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 10, 2023",Feb 2024,"Oct 10, 2023",,Kindle Edition,view,/book/show/12193190-return-to-jalna
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wakefield's Course        (Whiteoaks of Jalna, Book 12)","Roche, Mazo de la",1770705546,9781770705548,B004DNWM9C,361        pp,3.95,267,1941,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 07, 2023",not set,"Sep 07, 2023",,Kindle Edition,view,/book/show/11921871-wakefield-s-course
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Whiteoak Harvest        (Whiteoaks of Jalna series Book 11),"Roche, Mazo de la",,,B004DNWMGU,344        pp,3.99,284,"Jan 01, 1936","Jan 18, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 06, 2023","Sep 14, 2023","Sep 06, 2023",,Kindle Edition,view,/book/show/19315810-whiteoak-harvest
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Master of Jalna        (Whiteoaks of Jalna, Book 10)","Roche, Mazo de la",,,B00436EZIU,414        pp,3.95,367,Jun 1933,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 26, 2023","Sep 06, 2023","Aug 26, 2023",,Kindle Edition,view,/book/show/12193191-the-master-of-jalna
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Finch's Fortune        (Jalna Book 9),"Roche, Mazo de la",8827503749,,B07D3JBWB2,484        pp,3.93,366,1931,"Mar 10, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 15, 2023","Aug 25, 2023","Aug 15, 2023",,Kindle Edition,view,/book/show/40610934-finch-s-fortune
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Apeirogon,"McCann, Colum*",,,,unknown,4.25,"21,705","Feb 25, 2020",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 28, 2023",,,view,/book/show/58409652-apeirogon
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Museum of Extraordinary Things,"Hoffman, Alice*",1471112152,9781471112157,1471112152,361        pp,3.77,"54,452",2014,"Jan 01, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 28, 2023",,Paperback,view,/book/show/22947767-the-museum-of-extraordinary-things
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Jalna        (Whiteoaks of Jalna, Book 7)","Roche, Mazo de la",,,B004322FTU,246        pp,3.83,912,1927,unknown,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 27, 2023","Aug 07, 2023","Jul 27, 2023",,Kindle Edition,view,/book/show/9657410-jalna
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Whiteoak Brothers        (Whiteoaks of Jalna series Book 6),"Roche, Mazo de la",,,B004DNWMHE,280        pp,3.96,350,1954,"Aug 16, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 22, 2023","Jul 29, 2023","Jul 22, 2023",,Kindle Edition,view,/book/show/18928041-the-whiteoak-brothers
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Whiteoak Heritage        (Whiteoaks of Jalna series Book 5),"Roche, Mazo de la",,,B004DNWM06,290        pp,3.90,367,1940,unknown,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jul 22, 2023","Jul 22, 2023",,Kindle Edition,view,/book/show/12396263-whiteoak-heritage
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Young Renny        (Jalna Book 4),"Roche, Mazo de la",,,B07D3J94B7,250        pp,3.91,433,1935,"Feb 28, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jul 08, 2023","Jul 08, 2023",,Kindle Edition,view,/book/show/40610932-young-renny
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"For the Glory: The Untold and Inspiring Story of Eric Liddell, Hero of Chariots of Fire","Hamilton, Duncan",0698170733,9780698170735,B0141ZP1PS,388        pp,4.30,"1,473","Apr 07, 2016","May 10, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jul 07, 2023","Jul 07, 2023",,Kindle Edition,view,/book/show/28435538-for-the-glory
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Biology Of Belief: Unleashing The Power Of Consciousness, Matter And Miracles","Lipton, Bruce H.*",0975991477,9780975991473,0975991477,205        pp,4.16,"15,753",2005,"Jan 01, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is my second time reading this book. The first time in 2006, much of what Dr. Lipton wrote about was considered pseudoscience by the scientific cThis is my second time reading this book. The first time in 2006, much of what Dr. Lipton wrote about was considered pseudoscience by the scientific community. Now many of the ideas that he brought forth, including the intelligence of cells, which was also the subject of Dr. Candace Pert in ""Molecules of Emotion"" (she was nominated for a Nobel prize) are more mainstream. Dr. Lipton's most fascinating ideas include the importance of community throughout systems including cellular life. Recently, I read an article in the New York Times, about the discovery that plants talk to one another and actually use little clicking sounds to express danger or thirst. How little we really understand about the world we live in. Science is still in its infancy. Descarte's idea of the body as mechanical clock, for instance, still prevails. Mind, body, and spirit are still divided. Until we learn to become true scientists, and examine interconnected systems in the forest and not just a solitary spot on a tree, we are merely dabbling at the edges of the billions of galaxies that surround us. I ackowledge the strides we have made in science. Yet, I also llove intrepid explorers who continue to ask questions. Dr. Lipton is one of these. ...more",Notes are private!,0,1,2,not setnot set,Jul 2023Jan 2006,"Jul 01, 2023",,Hardcover,view (with text),/book/show/90556.The_Biology_Of_Belief
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mary Wakefield        (Whiteoaks of Jalna, Book 3)","Roche, Mazo de la",,,B004322H1G,320        pp,3.92,514,"Jan 01, 1949",unknown,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jun 02, 2023","Jun 02, 2023",,Kindle Edition,view,/book/show/10818562-mary-wakefield
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Morning at Jalna        (Whiteoaks of Jalna series Book 2),"Roche, Mazo de la",,,B005UQSKE2,283        pp,3.80,496,1960,"Jul 13, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"May 17, 2023","May 17, 2023",,Kindle Edition,view,/book/show/20630424-morning-at-jalna
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Native Plants of Virginia: Grooming Essential Habitat for Food, Shelter and Wildlife","Smith, Mary",,,B0B1BMMFMH,55        pp,0.00,0,unknown,"May 13, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 23, 2023",not set,"Apr 23, 2023",,Kindle Edition,view,/book/show/128188983-native-plants-of-virginia
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Building of Jalna        (Jalna, #1)","Roche, Mazo de la",8826471312,,B07D3K5ML7,346        pp,3.80,916,1935,"Feb 27, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 22, 2023","May 12, 2023","Apr 22, 2023",,Kindle Edition,view,/book/show/40132592-the-building-of-jalna
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Postcard from Italy,"Petch, Angela*",1800199627,,B09RBCDT1H,374        pp,4.30,"1,919","Mar 11, 2022","Mar 16, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 26, 2023","Mar 29, 2023","Mar 26, 2023",,Kindle Edition,view,/book/show/60375568-the-postcard-from-italy
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tuscan Girl,"Petch, Angela*",1838881972,9781838881979,B083P5XHHR,348        pp,4.26,"2,478","Feb 21, 2020","Feb 25, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 14, 2023","Oct 21, 2023","Mar 14, 2023",,Kindle Edition,view,/book/show/50389521-the-tuscan-girl
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lehi in the Desert, The World of the Jaredites, There Were Jaredites        (The Collected Works of Hugh Nibley, Volume 05)","Nibley, Hugh",0875791328,9780875791326,0875791328,464        pp,4.23,597,1980,"Jan 01, 1988",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"When I was a teen my father began (with Hugh Nibley’s permission) to translate Nibley’s works into Finnish on his manual typewriter. He began on this When I was a teen my father began (with Hugh Nibley’s permission) to translate Nibley’s works into Finnish on his manual typewriter. He began on this labor of love with Lehi in the Desert until his death in 1992. He had by then completed a majority of the volumes and given them to BYU F.A.RM.S. Sadly, Finnish is not a priority language and nothing has been published and F.A.RM.S. is now dissolved. It took several decades for me to begin seriously reading Nibley’s books and after finishing some of the collected works, I am hooked and hope to read the majority of them. One of my favorites this far has been Temple and Cosmos. This is Volume 5 of his series. If you want to read this 3 book volume, Lehi in the Desert is my recommendation as it is very accessible and contains so many details that enrich one’s understanding of the Jewish and Egyptian cultures at the time of Lehi (600 BCE). I have read this one several times and continue to return to it with questions. The relationship between Egypt and Jerusalem is discussed as are naming conventions, habits of the “desert dwellers”, the significance of the honeybee, and much, much more. The second and third books are about the Jaredite civilization. Nibley presents unusual, yet convincing evidence as to the origins of this mysterious group that is fascinating. He hypothesizes that despite a lack of archeological artifacts, he can present his points from a bigger picture of how they fit into a pattern of many civilizations that have acted in identical ways, beginning with large scale migrations and ending with an almost overnight destruction of a people. If you are interested in a thread of thought that extends from the Central Asian steppes to warrior kings, chivalry, intrigues, assassins, final battles, and more, the World of the Jaredites may be fascinating. The final book, And There were Jaredites was not as compelling for me, but basically expanded and then summarized points from the second book within a creative conversation between imaginary scholars. Nibley is somewhat of a legend. What I love about Hugh Nibley is his wide-ranging mind. In w wry book the list of sources that he has consulted (or should I say, digested), to come up with his conclusions is staggering. And best of all, he adds in footnotes that are always worth reading. For me, he is a reader’s delight....more",Notes are private!,0,1,1,not set,"Feb 27, 2023","Feb 27, 2023",,Hardcover,view (with text),/book/show/399211.Lehi_in_the_Desert_The_World_of_the_Jaredites_There_Were_Jaredites
