,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Libby's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The End of the Story,"Davis, Lydia",0312423713,9780312423711,0312423713,231        pp,3.63,"2,838","Dec 01, 1994","Jul 01, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What's so wrong with being a revisionist?Wait (hand up)--I know, I know. Revisionism distorts history; is dangerous ethically, morally, and politicallWhat's so wrong with being a revisionist?Wait (hand up)--I know, I know. Revisionism distorts history; is dangerous ethically, morally, and politically; weakens the structure of the testimonial; subjects fact to well... subjectivity; allows for hateful liars to spread self-replicating viruses of misinformation, seeding them in our culture, spores polluting the transmission of that which we must not forget. Serious business.But... on the small scale? Aren't we all revisionists? At least when it comes to constructing narratives for ourselves about our lives? Put another way: doesn't memory make revisionists of us all?There is the fact that I was born in Los Angeles. There is the fact that I'm Jewish. But these facts are animated by my relationship to them, my interpretation of what they might mean. I didn't grow up in the same Los Angeles as my neighbor, nor do I conceive of my cultural inheritance the same way as say, the other 30 kids in the Valley Beth Shalom confirmation class of 1994, did or do.But, here's the thing: I don't think about these same things the same way I did ten years ago or will ten years from now. If I write about them, I write by artifice and construction, by organization, and by interpretation, and I write and I write and I write, then I revise, until I feel some representational semblance has been reached, until there seems to be some congruency between experience and telling, as I see it. Then I abandon ship.Because there's no end to the story. Memory will continue its revisions.Memory will continue to animate the subject, such that the memory of a thing is part of the relationship to that thing, so that the thing and the memory of the thing, say a love affair, are just one thing. So that say, a novel about a love affair is part of the story of that love affair, so that the end of the story of the love affair becomes a matter of the arbitrary end of the novel, which is part of the story, which is a reconstruction of memory, which is a construction itself, anyway.And I guess I really loved Lydia Davis's The End of the Story.I've heard the book called ""chilly"" or ""clinical"" or even exasperating, but I think these judgments stem from a misreading of the book's project, or a desire for the book to be invested in something other than it is. The book seems to be about a love affair, but it isn't. The book is about writing, and about the operations of memory, about permutations. Davis willfully refuses to engage in the emotional voyeurism that grounds so many other novels that take love as their subject. The tone of the novel is one of reportage: she excises the recreation of emotion in favor of an accounting or an inventory of emotions, so that she has an index from which to chart her revisions of her experience. Her obsession manifests itself in these revisions; it is the obsession of a writer.Okay, yes, the book is cool to the touch; it's disingenuous of me to imply that I found the ""judgments"" I referred to above to be somehow wrong or innacurate--the prevailing sense one has while reading it is of breezes moving through half-lit California coastal winters, of vistas cut short by hills and canyons, of lots of time spent alone in a poorly-lit room--but I suppose what I feel is that they're incorrect as judgments that indicate some sort of failure on the book's part. Because it is exactly the book's singular detachment that allows for it to be so naked. Davis's reporting of her narrator's evasions, revisions, and retrenchments are so precise, so scalpular, so bang-on, that I couldn't help but recognize them. Too often, the book cut close to home, much to my discomfort as a reader. The almost complete lack of heightened emotion laid bare all the fiction in fiction-making, and memory, and writing.I get why the book isn't to everyone's taste, but I would so take down anyone who tries to dismiss it for all those currently acceptable/fashionable reasons to dismiss a piece of literature--it's ""post-modern"" or ""pretentious"" or too ""meta"" (gag) or too ""self-aware"" (reasons that, by the way, are almost always more about a reader's insecurity than about a book, and that are anti-intellectual, conservative, and lazy, to boot). Last time I checked, it wasn't criminal for a book to ask a reader to, you know, do a little work. The End of the Story is a book that asks a lot of its reader--but the work it asks us to do is worthy; it asks us to re-see, see again, see anew how and why we tell stories, how we remember; it crosses the boundaries of passive entertainment/""meaningful"" literature about ""important"" themes to occupy a stranger, less mappable terrain; it stakes out an altogether weirder territory, one where a book or novel is always already unfinished, always already revised....more",Notes are private!,0,1,1,not set,Mar 2009,"Mar 06, 2009",,Paperback,view (with text),/book/show/113861.The_End_of_the_Story
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Other Hand,"Cleave, Chris*",0340963409,9780340963401,0340963409,355        pp,3.72,"242,346",2008,"Jan 01, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2009",,Hardcover,view,/book/show/3162006-the-other-hand
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All Souls,"Marías, Javier",0811214532,9780811214537,0811214532,210        pp,3.65,"3,997",1989,"Nov 01, 2000",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Mar 2009,"Mar 01, 2009",,Paperback,view,/book/show/60032.All_Souls
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oscar and Lucinda,"Carey, Peter",0060915927,9780060915926,0060915927,448        pp,3.73,"21,157",1988,"Jan 01, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 03, 2009",,Paperback,view,/book/show/2175047.Oscar_and_Lucinda
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Letters of Transit: Reflections on Exile, Identity, Language, and Loss","Aciman, André*",1565846079,9781565846074,1565846079,144        pp,3.92,253,1999,"May 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 03, 2009",,Paperback,view,/book/show/166699.Letters_of_Transit
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,False Papers: Essays on Exile and Memory,"Aciman, André*",0312420056,9780312420055,0312420056,184        pp,3.92,375,"Jun 01, 2000","Sep 08, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 03, 2009",,Paperback,view,/book/show/115162.False_Papers
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Great Plains,"Frazier, Ian",0140131701,9780140131703,0140131701,304        pp,3.96,"3,358","Jun 01, 1989","Jun 01, 1990",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 28, 2009",,Paperback,view,/book/show/822943.Great_Plains
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When We Were Orphans,"Ishiguro, Kazuo*",0375724400,9780375724404,0375724400,336        pp,3.53,"41,112","Jan 16, 2000","Oct 30, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Many s here have commented on Ishiguro's unreliable narrators (let's let that classification stand, whether or not it is entirely valid or reallMany s here have commented on Ishiguro's unreliable narrators (let's let that classification stand, whether or not it is entirely valid or really applies to all of his work), as if this aspect of his fiction is so obvious, or that it has been so exhaustively mined, that there is little to nothing left to say about such a narrative strategy.Christopher Banks, When We Were Orphans' narrator, is certainly unreliable, yes. But our relationship to him as an unreliable narrator is a strange one, an inverted one. I think that it's fairly clear to the reader early on that Banks's memories and perceptions do not align with those of the people with whom he surrounds himself and/or encounters. His school chums and his one-time guardian recount for him their memories of his child self as a lonely, melancholy boy, which contravene his insistent accounting of himself as a sociable, friendly, put-on-a-brave-face type of lad. His insistence, which seems to verge on a quiet, private hysteria, his disproportionate insult, and the confluence of multiple others' POV point us to the fact that the schism between how he sees himself and how the world sees/saw him is not just a matter of opinion. The novel shows us, time and again, that Christopher is unwilling, unable, to reconcile not only his memory but his ongoing lived experience (see the scene at the wedding where he is apparently subjugated to teasing and humiliation, but insists that said teasers are his friends, etc., and note that we never get to see the actual scene) to the lived experience and memory of others. (We also never get to see him work, to uncover anything, to solve anything.)Here's where I'm sort of getting to my (excruciatingly long-winded) point...When We Were Orphans tells us, its readers, that it is a mystery novel. The book offers us one story, the disappearance of Christopher's parents, claiming that this story is its central mystery and suggesting, by form and structure, that this will be the riddle we puzzle out as we read, alongside Christopher. Thus, we enter into a sort of contract with the book in which we agree to be careful, astute readers, who by dint of our diligence and hard work will be treated to the satisfaction of resolution.All along, however, there is a secondary mystery that is actually the primary mystery, and that mystery is twofold: one, when will Christopher realize how deeply, irreparably damaged his perception of the world is, and two, WE THINK when we will learn the truth that his distorted vision has necessarily been hiding from us, despite our best efforts to see through it? Usually, in a novel that relies on an unreliable narrator (ignore the inherent contradiction), part of the reader's pleasure is untangling the skeins of the narrator's logic in order to arrive at some approximation of truth. But Orphans rejects that second possibility completely. (I am in no way suggesting that this novel's project is one of relativism, in which we're meant to see that there is no objective truth, or if there is, we cannot access it.) All along the mystery/mysteries is/are just a diversion, a smokescreen, a trick (that I admire deeply and totally respect) that leads us in a circle back to what we see, finally, is an absent center. There is no mystery in the book. The truth isn't the point. There is only the fact of Christopher's mutilating orphaning, his abandonment. His grievous misapprehension of his parents' abduction/leave-taking, the emotional/psychological violence of it,and his child's need to make sense and order of the insensible strand him in mental time; he is marooned in a make-believe world in which detectives are great heroes and even celebrities, a la Sherlock Holmes--a world that history tells us did not exist as such, especially in twentieth century Britain.When Sarah offers Christopher the chance to reject his false understanding of the world, to ""see clearly,"" and to reject a vision of himself (one that is manufactured by an innocent egotism/narcissism that has sustained him all along) in which he is the savior not only of his parents, but also of an entire city and perhaps nation, he is, finally, unable to do so. To give that up would be to negate himself, to reject his very identity. He would be twice-orphaned.There's a lot going on here vis a vis the orphaning, of course--colonialism and imperialism, the patronizing""helping"" of the east by the west, sexual politics and power, issues of class, et al. But as I read I felt more compelled by what's ""missing"" in this novel than what's there.I'll confess to being somewhat befuddled by and disappointed in the final revelation concerning Christopher's mother, and unsure about the necessity of Jennifer. My only thought about Jennifer's utility (and despite its coldness, that word seems apt) is that perhaps she's meant to enact the cycle of violence that ""orphaning"" perpetuates... she is orphaned twice over, and the novel's end suggests how devastating this has been for her.When I finished the book I found myself returning to its title, over and then over again. First person narratives usually require, despite old Bobby D.'s admonition, a looking back. They are necessarily retrospective. My mind lingers on the titular ""When."" Despite how sad the book is, despite its ambiguous ending, the title left me feeling hopeful for Christopher in that it seems to suggest that the time of his orphaning, of Jennifer's, and even of Sarah's (sigh), is past, is gone and that, no longer orphans, having chosen to look forward, to abandon their isolation and to rely on each other, on other people they might, oh they just might... be happy....more",Notes are private!,1,203,1,not set,"Feb 03, 2009","Jan 28, 2009",,Paperback,view (with text),/book/show/136763.When_We_Were_Orphans
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Don't Love Me Yet,"Lethem, Jonathan",038551218X,9780385512183,038551218X,224        pp,2.83,"4,499","May 29, 2007","Mar 13, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm curious to read this book because:A: I want to see if it's as bad-TERRIBLE, AWFUL, WASTE OF TIME-as I've heard (I don't know... sometimes bad reviI'm curious to read this book because:A: I want to see if it's as bad-TERRIBLE, AWFUL, WASTE OF TIME-as I've heard (I don't know... sometimes bad s really produce a perverse, powerful desire in me to read the damned thing being excoriated).B: I loved Motherless Brooklyn, thought Fortress of Solitude was a big, bold, failure, and think his sci-fi stuff is meh.C: It takes place in Los Angeles... but is it about Los Angeles?...more",Notes are private!,0,0,0,not set,not set,"Jan 18, 2009",,Hardcover,view (with text),/book/show/16717.You_Don_t_Love_Me_Yet
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nowhere City,"Lurie, Alison",0805051791,9780805051797,0805051791,343        pp,3.62,516,1965,"Jan 01, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2009",,Paperback,view,/book/show/397789.The_Nowhere_City
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Drood,"Simmons, Dan",0316007021,9780316007023,0316007021,775        pp,3.53,"16,551",2009,"Feb 09, 2009",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I would have imagined that a seasoned novelist of big books steeped in historical context might have avoided the beginner's error of forgoing actual nI would have imagined that a seasoned novelist of big books steeped in historical context might have avoided the beginner's error of forgoing actual narrative for HUNDREDS OF PAGES OF EXPOSITION, but I would have been wrong.Apparently, Mr. Simmons could not forgo even one of the trifling matters of Dickensiana he picked up in the course of his research, and furthermore, he clearly couldn't be bothered to find ways to include these details dramatically.This is a big, baggy mess of a thing, slack and sloppy just where it needs to be taut and running on tension. The book suggests to me that Simmons thought that using a novelist (Wilkie Collins) for a narrator afforded him (Simmons) the luxury of writing about Dickens's work in the style of a literary critic--wrong!--and at that, one working in the 20th century--double wrong! The passage on identity and doubling made me cringe it was so anachronistic in its language and use of theoretical concepts.There are too many poor choices in this book to account for all of them. I really don't understand how the same writer can produce exquisite sci-fi like Hyperion, pretty good historical fiction/horror like The Terror, self-important trash like Carrion Comfort, and then utterly mediocre, structurally unsound work like this. My best guess is that somehow this is an issue of productivity; Simmons pushes out a lot of material, and I suppose much of it is bound to be not-so-great as a result....more",Notes are private!,0,52,1,not set,Feb 2009,"Jan 13, 2009",,Hardcover,view (with text),/book/show/3222979-drood
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Atmospheric Disturbances,"Galchen, Rivka",0374200114,9780374200114,0374200114,240        pp,3.19,"4,154","May 27, 2008","May 27, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2009",,Hardcover,view,/book/show/2410293.Atmospheric_Disturbances
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ruins of California,"Sherrill, Martha",1594482314,9781594482311,1594482314,384        pp,3.63,597,2006,"Jan 02, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2009",,Paperback,view,/book/show/105781.The_Ruins_of_California
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Swan Green: A Novel,"Mitchell, David",1400063795,9781400063796,1400063795,294        pp,3.97,"42,036","Apr 11, 2006","Apr 11, 2006",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2009",,Hardcover,view,/book/show/381619.Black_Swan_Green
