,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Joyce's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stolen Lives,"Yarrow, Joyce*",,9798989794621,B0CXLR3DM3,250        pp,4.64,14,unknown,"Mar 15, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Paperback,view,/book/show/205586506-stolen-lives
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pinocchio's Guide to the End of the World,"Moon, Eva*",,9798986926322,B0BTMVDVJX,334        pp,4.71,45,unknown,"Mar 21, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Only a gifted writer could get away with reworking the plot of this classic tale, creating an alternative history in the 1930’s in which Pinocchio evoOnly a gifted writer could get away with reworking the plot of this classic tale, creating an alternative history in the 1930’s in which Pinocchio evolves into a hero sure to make Gipetto burst with pride. Eva Moon deftly mixes humor and pathos as she sets the stage for Pinocchio’s adventures alongside a troupe of lovable, quirky, and above all brave characters—all of them fully committed to the quest. The identity of their nemesis will surprise you, with nothing less than the free will of humanity at stake. I highly recommend this brilliantly written mixture of allegory, historical fantasy, and magic realism....more",Notes are private!,0,0,1,not set,"Nov 24, 2023","Nov 24, 2023",,Kindle Edition,view (with text),/book/show/123176832-pinocchio-s-guide-to-the-end-of-the-world
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everything Here Belongs to You,"Roychowdhury, Saborna*",1684339596,9781684339594,1684339596,351        pp,4.37,100,unknown,"Jun 09, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,In this coming-of-age story about the friendship between two girls—one Hindu and one Muslim—Saborna Roychowdhury illuminates their commonalities as weIn this coming-of-age story about the friendship between two girls—one Hindu and one Muslim—Saborna Roychowdhury illuminates their commonalities as well as the class differences that inevitably pull them in dramatically different directions. A thought-provoking and authentic story. Highly recommended....more,Notes are private!,1,0,1,Aug 2023,"Sep 09, 2023","Sep 09, 2023",,Paperback,view (with text),/book/show/62801412-everything-here-belongs-to-you
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman at the Wheel,"Haw, Penny*",1728257735,9781728257730,,320        pp,4.10,420,"Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 28, 2023",,Paperback,view,/book/show/146121146-the-woman-at-the-wheel
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"When We Disappeared        (Resilient Women of WWII, Book #3)","Stock, Elaine*",9493276597,9789493276598,B0BZJ96CH6,411        pp,4.71,31,unknown,"May 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2023",,ebook,view,/book/show/123840479-when-we-disappeared
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hidden Star,"Brown, Corinne Joy",,,B01CUXGBRK,288        pp,3.91,43,"Feb 26, 2016","Mar 10, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Mar 2023,"Mar 01, 2023",,Kindle Edition,view,/book/show/29491432-hidden-star
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dos patrias, tres mil destinos: Vida y exilio de los niños de la guerra de España refugiados en la Unión Soviética","Colomina Limonero, Immaculada",8496889602,9788496889606,8496889602,288        pp,0.00,0,unknown,"Mar 01, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2023",,Paperback,view,/book/show/15159994-dos-patrias-tres-mil-destinos
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,España: A Brief History of Spain,"Tremlett, Giles",1639730575,9781639730575,1639730575,320        pp,4.03,558,2022,"Sep 20, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2022",,Hardcover,view,/book/show/60317000-espa-a
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Distant Flickers: Stories of Identity & Loss,Multiple,1735929239,9781735929231,,150        pp,4.73,11,unknown,"Oct 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jul 27, 2022",,Paperback,view,/book/show/61752069-distant-flickers
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Snow in Seattle: A Novel,"Le, Amy M.*",1735119423,9781735119427,B081G75D7K,254        pp,4.62,53,unknown,"Aug 21, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"If Amy M. Le does not have her own brand of tissues, she should think about it. I felt so many emotions reading this second book in Snow trilogy, as IIf Amy M. Le does not have her own brand of tissues, she should think about it. I felt so many emotions reading this second book in Snow trilogy, as I laughed and cried my way through Snow in Seattle. With vivid detail and unfailing humor and empathy, Le takes us along as her mother Snow continues the journey she began as one of the ‘boat people’ who escaped Vietnam with great difficulty after the fall of Saigon. We witness her arrival in the United States with her rebellious nephew and her daughter Dolly, who finally undergoes a successful heart operation after so many years of struggle and hardship. The book is written in first person, allowing Snow to share her many hilarious encounters with English idioms (“picking the short straw,” “a sight for sore eyes,“just to name a few) as she masters the language. Snow, in real life, is the author’s mother, and this book is a beautifully written and heartfelt tribute to a brave, resolute, and loving parent.A highlight in the book for me is Snow’s reunion and friendship with Skyler, a US soldier she first met in Vietnam, where together they witnessed the death of Sam, the American soldier Snow was engaged to marry. Sky’s episodes of PSTD are heartbreaking and through his attempts to readjust to civilian life we relive the hell that draftees who were sent to Vietnam went through when they returned home to hostility and indifference to the trauma they brought back with them. Sky’s friendship with Snow, and his supportive parents, bring him some healing and readers will root for him all the way.Since I live in Seattle, I enjoyed all the scenes set in nearby Kent – the picture Le draws of American suburban life, right down to trips to the mall, friendships formed with neighbors, and a hilarious ugly sweater party, is right on the money.Snow in Seattle is a must read for anyone who wants to see through the eyes of a remarkably resilient and compassionate woman who not only adjusts and eventually succeeds in her new life but also preserves the essence of her Vietnamese way of life while letting go of her painful past. The photographs are the icing on the cake!Highly recommended!...more",Notes are private!,0,2,1,"Mar 17, 2022","Apr 28, 2022","Apr 28, 2022",,Kindle Edition,view (with text),/book/show/55046447-snow-in-seattle
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eternal Graffiti: A Novel,"Marlton, Peter*",1611883326,9781611883329,1611883326,352        pp,4.45,11,unknown,"Sep 06, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"There are many novels set in the cultural turmoil of the 1970’s and Eternal Graffiti should take its place among the best of them. Owen’s struggle to There are many novels set in the cultural turmoil of the 1970’s and Eternal Graffiti should take its place among the best of them. Owen’s struggle to survive total parental neglect and to exchange his justifiable cynicism for true love is chillingly realistic, multilayered, and engaging. Peter Marlton’s writing is visceral and emotionally honest to the point where this reader was moved to both tears and laughter. This is a compelling life story you won’t want to miss. Highly recommended!...more",Notes are private!,0,1,1,"Aug 17, 2022","Sep 02, 2022","Apr 26, 2022",,Paperback,view (with text),/book/show/59795275-eternal-graffiti
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love in the Time of Cholera,"García Márquez, Gabriel",140003468X,9781400034680,140003468X,348        pp,3.94,"504,654",Nov 1985,"Oct 05, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Apr 06, 2022",,Paperback,view,/book/show/9712.Love_in_the_Time_of_Cholera
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La casa de los espíritus,"Allende, Isabel*",8401423023,9788401423024,8401423023,454        pp,4.28,"269,510",1982,Apr 1999,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Apr 06, 2022",,Mass Market Paperback,view,/book/show/106192.La_casa_de_los_esp_ritus
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Hundred Years of Solitude,"García Márquez, Gabriel",,,,417        pp,4.11,"971,242",1967,"Jun 24, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Apr 06, 2022",,Mass Market Paperback,view,/book/show/320.One_Hundred_Years_of_Solitude
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Shadow of the Wind        (The Cemetery of Forgotten Books, #1)","Ruiz Zafón, Carlos",,,,487        pp,4.30,"635,469",May 2001,2005,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 06, 2022",,Paperback,view,/book/show/1232.The_Shadow_of_the_Wind
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bad Blood Sisters,"Richard, Saralyn*",1645993205,9781645993209,1645993205,326        pp,4.30,83,"Mar 09, 2022","Mar 09, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Feb 01, 2022",,Paperback,view,/book/show/59358972-bad-blood-sisters
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Tahkemoni: Jewish Tales from Medieval Spain,"Alharizi, Judah",1874774986,9781874774983,1874774986,732        pp,4.23,13,"Dec 01, 1996","Oct 01, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 30, 2022",,Paperback,view,/book/show/1984986.The_Book_of_Tahkemoni
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A History of Jewish Rhodes,"Menascé, Esther Fintz",,9780983196808,,297        pp,5.00,1,unknown,2014,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,2,"Jan 15, 2022not set","Feb 27, 2024not set","Jan 15, 2022",,Paperback,view,/book/show/60131421-a-history-of-jewish-rhodes
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lamps of Albarracin,"Saavedra, Edith Scott",1724787519,9781724787514,1724787519,380        pp,4.08,12,"Oct 19, 2018","Aug 03, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Set in 15th Century Spain, The Lamps of Albarracín has definitely “lit my lamp.” The novel is packed with meaningful, multi-level descriptions and theSet in 15th Century Spain, The Lamps of Albarracín has definitely “lit my lamp.” The novel is packed with meaningful, multi-level descriptions and the story transported me to a world where the main character - Sarita – describes her home as “ the Paradise of the Three Religions.” Sarita’s belief in La Convivencia (living together), her innate goodness, and her gift with healing herbs (her father is a doctor) give her strength as the Inquisition slowly but surely brings a path of destruction to her door and she loses many of her friends and relatives. Her strong Jewish roots and her lively interactions with her female Muslim friends—Fatima, Xemci and Azizah—are nourished by their shared love for good food, music, and poetry. In fact, one of the wonderful aspects of this book is how often the characters, especially Saritia, burst into song and exchange verse. Edith Scott Saavedra has captured a time when human communication was more direct in its delivery—and deeper. In our age of social media, Zoom, and canned entertainment, a visit to Sarita’s world is quite the tonic!The plot gains excitement as Sarita, pursued by the Inquisition after escaping imprisonment in a monastery, disguises herself and travels the back roads with her Muslim friends toward the port of Valencia, where many families of Jewish origin are setting sail aboard outbound ships. By this time we know these characters well and are sad to bid them goodbye. My hope is that readers will connect with this inspirational story with the power to sustain us, since we, too, are living in challenging times.Highly recommended....more",Notes are private!,0,1,1,not set,not set,"Dec 10, 2021",,Paperback,view (with text),/book/show/41176289-the-lamps-of-albarracin
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Truth of Who You Are,"Myers, Sheila*",,,B09P5JHGP4,284        pp,4.45,128,unknown,"Apr 28, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Dec 09, 2021",,Paperback,view,/book/show/59753784-the-truth-of-who-you-are
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Talk Back to Me: A Radical Guide to Growing Up,"Land, Rachel Van't",1944134549,9781944134549,1944134549,72        pp,5.00,1,unknown,"Oct 19, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Talk Back to Me more than lives up to its subtitle - A Radical Guide to Growing Up. It also offers sage, grounded, and often humorous advice to anyoneTalk Back to Me more than lives up to its subtitle - A Radical Guide to Growing Up. It also offers sage, grounded, and often humorous advice to anyone facing the universal, coming-of-age challenges described therein.I found many useful takeaways, both as a parent and someone who values personal growth at any age. The section that tackles the Yeah But Monster—you know, the one who appears when we dare to want something really difficult to achieve—is especially topical. Thinking about the future is a bit scary these days but Van’t Land tells us: “Let yourself want it. Let yourself feel the way it burns in your belly. Let it be uncomfortable. The thing you want is sacred. It’s calling to you. You don’t have to know why—in fact most of the time you CAN’T KNOW why.” This is only one example of how she urges young people to embrace the unknown and reach beyond their comfort zone. Whether you’re fourteen or forty, that’s great advice.There ‘s a wonderful chapter on friendship—on how to differentiate between friends who sparkle and may briefly light up your life, and those that glow with a longer lasting warmth. I wish that I’d read this book when I was younger. I might have noticed some of the red flags, the obstacles to forming truly reciprocal relationships, that the author points out. Van’t Land freely shares her choices as a parent, not always popular with other adults around her, and I found this aspect of the book to be especially refreshing.Highly recommended....more",Notes are private!,0,0,1,not set,"Nov 20, 2021","Nov 20, 2021",,Paperback,view (with text),/book/show/59464451-talk-back-to-me
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brief Encounters with the Enemy: Fiction,"Sayrafiezadeh, Said",0812993586,9780812993585,0812993586,240        pp,3.71,226,2013,"Aug 13, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 06, 2021",not set,"Nov 06, 2021",,Hardcover,view,/book/show/16156338-brief-encounters-with-the-enemy
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Estrangement: Stories,"Sayrafiezadeh, Said",0393541231,9780393541236,0393541231,176        pp,3.74,430,"Aug 10, 2021","Aug 10, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 06, 2021",,Hardcover,view,/book/show/55298339-american-estrangement
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Truth and Other Lies,Maggie Smith*,1645382621,9781645382621,1645382621,356        pp,3.66,653,"Mar 08, 2022","Mar 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 04, 2021",,Paperback,view,/book/show/58454255-truth-and-other-lies
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mouse in Our House,"Watson, Louise",1662910878,9781662910876,1662910878,0        pp,0.00,0,unknown,"Oct 12, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 27, 2021",,Hardcover,view,/book/show/59468717-the-mouse-in-our-house
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bakul Katha: Tale of the Emancipated Woman,"Devi, Ashapurna",9390873576,9789390873579,B09G776DJ3,432        pp,3.89,455,"Mar 01, 1973","Sep 14, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 06, 2021",,Kindle Edition,view,/book/show/59000176-bakul-katha
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Grief Songs: Poems of Love & Remembrance,"Gauffreau, Elizabeth*",9781735929,,,78        pp,4.79,39,unknown,Sep 2021,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,From the opening lines of the the title poem—“God has had him long enoughthe Innocent criessend him home at once” —Elizabeth Gauffreau’s thematic enseFrom the opening lines of the the title poem—“God has had him long enoughthe Innocent criessend him home at once” —Elizabeth Gauffreau’s thematic ensemble of photos and text pulled me into her intimate yet uniquely universal world. In each tanka (thirty-one-syllable poem) Gauffreau performs a feat that few poets achieve. She has captured the permanence of death while illuminating our view of each life with a burst of temporal insight. I will be reading and re-reading. Highly recommended. ...more,Notes are private!,0,1,1,not set,not set,"Oct 05, 2021",,,view (with text),/book/show/58328057-grief-songs
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lines Between Us,"D’Harlingue, Rebecca*",1631527436,9781631527432,1631527436,376        pp,4.09,138,"Sep 08, 2020","Sep 08, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It is a sad fact of life that although we can closely examine the past, we are unable to alter it—that there is no way to improve the lives of our ancIt is a sad fact of life that although we can closely examine the past, we are unable to alter it—that there is no way to improve the lives of our ancestors or give them a glimpse of future events their actions may engender. But that doesn’t give our passion for finding our roots less value. On the contrary, the empathy felt by Rachel, the protagonist of “The Lines Between Us,” grows stronger with each page she reads in the diaries and mysterious papers she finds after her mother Helen’s death.Rachel’s quest - sparked by Helen’s regretful words — is a meaningful, albeit often painful journey. As she reads the words penned by her female ancestors, she begins to understand their limited choices and precarious status as women in a fiercely patriarchal society. A chain of dramatic events is set in motion in 17th century Spain, as a husband fails to protect his wife from the horrors of the Inquisition and permits his distorted sense of honor to threaten the life of his own daughter. The daughter flees to New Spain and Rachel continues to reconstruct her family tree. Each generation brings more surprises and beautifully constructed characterizations of women whose words express not only their personal struggles but their views of the wider world as well. For example, I was delighted to find a budding friendship between one of Rachel’s ancestor’s who enters a convents and corresponds with the the extraordinary Mexican philosopher and poet, Sor Juana Inés de la Cruz. I recommend this book to lovers of historical fiction as well as anyone who is curious about their own ancestry and in need of inspiration to conduct their own search. ...more",Notes are private!,0,2,1,"Sep 16, 2021","Oct 03, 2021","Sep 16, 2021",,Paperback,view (with text),/book/show/54339830-the-lines-between-us
