,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Novel Currents's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Haven,"Donoghue, Emma*",0316414034,9780316414036,B09N3F653X,272        pp,3.42,"9,268","Aug 23, 2022","Aug 23, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Interesting but not enjoyable. An examination of the limits of faith and physicality. Conversations grew repetitive, revisiting the same themes over aInteresting but not enjoyable. An examination of the limits of faith and physicality. Conversations grew repetitive, revisiting the same themes over and over again without being terribly thought provoking. I wish I’d grown to like it more. ...more",Notes are private!,0,0,1,"Sep 18, 2023","Sep 24, 2023","Sep 18, 2023",,Kindle Edition,view (with text),/book/show/60233405-haven
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sea of Tranquility,"Mandel, Emily St. John*",0593321448,9780593321447,0593321448,259        pp,4.08,"231,626","Apr 05, 2022","May 05, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A compulsive, thoroughly transporting read for me. Flawless writing and lingering subtext to consider. Not earth-shattering philosophically or theoretA compulsive, thoroughly transporting read for me. Flawless writing and lingering subtext to consider. Not earth-shattering philosophically or theoretically. If you’re reasonably well read in cerebral science fiction, you’ve probably considered and reconsidered the concepts at play here. Mandel’s framing of story around the trod-upon ideas, however, is what makes this special. ...more",Notes are private!,0,1,1,not set,"Sep 18, 2023","Sep 18, 2023",,Hardcover,view (with text),/book/show/58446227-sea-of-tranquility
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"None Shall Sleep        (None Shall Sleep, #1)","Marney, Ellie*",0316497835,9780316497831,0316497835,400        pp,3.95,"15,441","Sep 01, 2020","Sep 01, 2020",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Clichés abound in this deeply, deeply boring and predictable serial killer story. The angst. The meaningful shared glances. The cliché dialogue. The sClichés abound in this deeply, deeply boring and predictable serial killer story. The angst. The meaningful shared glances. The cliché dialogue. The silence of the lambs rip offs. The completely unrealistic recruitment of Travis and Emma. Disappointingly dumb and disrespectful YA. ...more",Notes are private!,0,0,1,not set,"Sep 17, 2023","Sep 17, 2023",,Hardcover,view (with text),/book/show/50358134-none-shall-sleep
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Missing Hearts,"Ng, Celeste*",0593492544,9780593492543,0593492544,335        pp,3.81,"174,179","Oct 04, 2022","Oct 04, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Sep 11, 2023","Sep 11, 2023",,Hardcover,view,/book/show/60149573-our-missing-hearts
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tell Me an Ending,"Harkin, Jo*",1982164328,9781982164324,1982164328,448        pp,3.65,"6,187","Mar 01, 2022","Mar 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Sep 2023,"Sep 01, 2023",,Hardcover,view,/book/show/58438576-tell-me-an-ending
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Woman, Eating","Kohda, Claire",0063140888,9780063140882,0063140888,240        pp,3.47,"14,611","Mar 24, 2022","Apr 12, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Aug 23, 2023","Aug 23, 2023",,Hardcover,view,/book/show/58536037-woman-eating
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Tyranny of Faith        (Empire of the Wolf, #2)","Swan, Richard*",,,B0B38S8YB6,496        pp,4.33,"3,683","Feb 14, 2023","Feb 14, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 17, 2023",,Kindle Edition,view,/book/show/60028919-the-tyranny-of-faith
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Justice of Kings        (Empire of the Wolf, #1)","Swan, Richard*",,,B096RTL1DN,496        pp,4.03,"8,964","Feb 22, 2022","Feb 22, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 08, 2023","Jul 30, 2023","Jul 08, 2023",,Kindle Edition,view,/book/show/58293284-the-justice-of-kings
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Babel,"Kuang, R.F.*",0063021420,9780063021426,0063021420,544        pp,4.20,"218,562","Aug 23, 2022","Aug 23, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jul 08, 2023","Jul 08, 2023",,Hardcover,view,/book/show/57945316-babel
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Self-Portrait with Nothing,"Pokwatka, Aimee*",1250820847,9781250820846,1250820847,295        pp,3.51,"1,658","Oct 18, 2022","Oct 18, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jun 10, 2023","Jun 10, 2023",,Hardcover,view,/book/show/59807970-self-portrait-with-nothing
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book Eaters,"Dean, Sunyi*",1250810183,9781250810182,1250810183,298        pp,3.65,"39,257","Aug 02, 2022","Aug 02, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"May 25, 2023","May 25, 2023",,Hardcover,view,/book/show/58724745-the-book-eaters
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Last Argument of Kings        (The First Law, #3)","Abercrombie, Joe",0575077905,9780575077904,0575077905,536        pp,4.34,"159,266","Mar 20, 2008","Mar 20, 2008",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 08, 2023",,Trade Paperback,view,/book/show/944076.Last_Argument_of_Kings
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Before They Are Hanged        (The First Law, #2)","Abercrombie, Joe",0575077883,9780575077881,0575077883,441        pp,4.35,"172,161","Mar 15, 2007","Mar 15, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 27, 2023","Apr 27, 2023",,Trade Paperback,view,/book/show/902715.Before_They_Are_Hanged
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Book Collecting: A Comprehensive Guide,"Ahearn, Allen",,,B00MK84JWU,230        pp,3.78,9,"Aug 08, 2014","Aug 08, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 23, 2023",not set,"Apr 23, 2023",,Kindle Edition,view,/book/show/24183969-book-collecting
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Blade Itself        (The First Law, #1)","Abercrombie, Joe",0575079797,9780575079793,0575079797,515        pp,4.21,"246,768","May 04, 2006","Mar 08, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 03, 2023","Apr 09, 2023",,Paperback,view,/book/show/944073.The_Blade_Itself
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Phasma        (Journey to Star Wars: The Last Jedi, #2)","Dawson, Delilah S.*",152479631X,9781524796310,152479631X,381        pp,3.79,"11,293","Sep 01, 2017","Sep 01, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 23, 2023",,Hardcover,view,/book/show/34859132-phasma
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mountain in the Sea,"Nayler, Ray*",,,B09NTKMJ1K,464        pp,3.95,"17,254","Oct 04, 2022","Oct 04, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 10, 2023","Mar 10, 2023",,Kindle Edition,view,/book/show/60723632-the-mountain-in-the-sea
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Klara and the Sun,"Ishiguro, Kazuo*",,,B08B7V6CQ8,418        pp,3.75,"336,739","Mar 02, 2021","Mar 02, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Does Ishiguro know that his handling of the AI conceit will seem trite for many experienced speculative fiction readers? Does he know this concept andDoes Ishiguro know that his handling of the AI conceit will seem trite for many experienced speculative fiction readers? Does he know this concept and the morality play around which he frames it is simply not new, not groundbreaking?I’d argue he does, and he simply does not care. I found a satisfactory, if predictable conclusion waiting for me here. Even so, this story is beautifully told through the eyes of an almost-person. Moving yet clinical. And oh. So. Tragic. If you’ve read this and enjoyed it, but haven’t seen the film A.l., seek it out. Kubrick (Spielberg) got there first (or if not first, at least before Ishiguro). Keep tissues nearby. Go hug your puppy. Kiss your kitty. Go out of your way not to engage in the kind casual cruelties on display in this novel. The final scene is devastating. ...more",Notes are private!,0,0,1,"Feb 08, 2023","Feb 18, 2023","Feb 08, 2023",,Kindle Edition,view (with text),/book/show/62799943-klara-and-the-sun
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fisherman,"Langan, John",1939905214,9781939905215,1939905214,266        pp,3.93,"26,115","Jun 30, 2016","Jun 30, 2016",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Stories with stories within stories aren’t compelling for me. Immediacy, and therefore the visceral aesthetic of a good horror story, is lost to me. TStories with stories within stories aren’t compelling for me. Immediacy, and therefore the visceral aesthetic of a good horror story, is lost to me. Too many degrees of separation. ...more",Notes are private!,0,0,1,not set,"Feb 06, 2023","Feb 06, 2023",,Paperback,view (with text),/book/show/29901930-the-fisherman
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Legends & Lattes        (Legends & Lattes, #1)","Baldree, Travis*",,,B0B3755RV9,296        pp,4.14,"184,703","Feb 22, 2022","Jun 07, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I don’t know. I think the stakes here were enormous. A just-about-perfect little book. Give it a chance and it might steal your heart.,Notes are private!,0,0,1,not set,"Jan 25, 2023","Jan 25, 2023",,Kindle Edition,view (with text),/book/show/61242426-legends-lattes
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dead Silence,"Barnes, S.A.*",1250819997,9781250819994,1250819997,343        pp,3.80,"25,447","Feb 08, 2022","Feb 08, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 10, 2023","Jan 10, 2023",,Hardcover,view,/book/show/57693184-dead-silence
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Kaiju Preservation Society,"Scalzi, John*",0765389126,9780765389121,0765389126,264        pp,4.00,"52,666","Mar 15, 2022","Mar 15, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Dec 29, 2022","Dec 29, 2022",,Hardcover,view,/book/show/57693406-the-kaiju-preservation-society
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James Patterson by James Patterson: The Stories of My Life,"Patterson, James*",0316397636,9780316397636,B09HQN8ZXX,465        pp,4.19,"7,272","Jun 06, 2022","Jun 06, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 27, 2022",not set,"Dec 27, 2022",,Kindle Edition,view,/book/show/59521530-james-patterson-by-james-patterson
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle*",,,,401        pp,4.18,"845,577","Jul 05, 2022","Jul 05, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 27, 2022","Dec 27, 2022",,Hardcover,view,/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Have Always Been Here,"Nguyen, Lena*",,,B08MX69ZCY,368        pp,3.54,"2,155","Jul 06, 2021","Jul 06, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 29, 2022","Dec 13, 2022","Nov 29, 2022",,Kindle Edition,view,/book/show/48720411-we-have-always-been-here
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Candy House,"Egan, Jennifer*",,,B09841S3P4,342        pp,3.65,"57,146","Apr 05, 2022","Apr 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 25, 2022",not set,"Nov 25, 2022",,Kindle Edition,view,/book/show/58939642-the-candy-house
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Upgrade,"Crouch, Blake*",,,B09JV9NXXW,352        pp,3.81,"91,975","Jul 07, 2022","Jul 12, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 20, 2022","Nov 25, 2022","Nov 20, 2022",,Kindle Edition,view,/book/show/59439117-upgrade
