,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Melissa's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,There's Always This Year: On Basketball and Ascension,"Abdurraqib, Hanif",0593448790,9780593448793,0593448790,352        pp,4.61,473,"Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/181346634-there-s-always-this-year
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hello Beautiful,"Napolitano, Ann*",,,B0B7R4Q5DJ,416        pp,4.18,"297,847","Mar 14, 2023","Mar 14, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 25, 2024","Mar 11, 2024","Feb 25, 2024",,Kindle Edition,view,/book/show/61771675-hello-beautiful
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Given Day        (Coughlin #1),"Lehane, Dennis*",0688163181,9780688163181,0688163181,704        pp,4.06,"26,615","Sep 23, 2008","Sep 23, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Hardcover,view,/book/show/2830067-the-given-day
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Trackers,"Frazier, Charles",0062948083,9780062948083,0062948083,320        pp,3.72,"10,676","Apr 11, 2023","Apr 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/61609871-the-trackers
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Birnam Wood,"Catton, Eleanor",1250321719,9781250321718,1250321719,423        pp,3.83,"30,763","Mar 02, 2023","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Paperback,view,/book/show/127282570-birnam-wood
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Weyward,"Hart, Emilia",1250842727,9781250842725,1250842727,416        pp,4.09,"140,212","Feb 02, 2023","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Paperback,view,/book/show/127280850-weyward
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Gilead        (Gilead, #1)","Robinson, Marilynne",031242440X,9780312424404,031242440X,247        pp,3.85,"110,309","Oct 28, 2004","Jan 10, 2006",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 11, 2024","Feb 19, 2024","Feb 11, 2024",,Paperback,view,/book/show/68210.Gilead
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Swim in a Pond in the Rain: In Which Four Russians Give a Master Class on Writing, Reading, and Life","Saunders, George",,,B0871LKPJ3,403        pp,4.54,"18,706","Jan 12, 2021","Jan 12, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 09, 2024",,Kindle Edition,view,/book/show/53487237-a-swim-in-a-pond-in-the-rain
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Art Thief: A True Story of Love, Crime, and a Dangerous Obsession","Finkel, Michael*",0525657320,9780525657323,0525657320,240        pp,3.99,"26,358","Jun 22, 2023","Jun 27, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 07, 2024","Feb 13, 2024","Feb 06, 2024",,Hardcover,view,/book/show/62873378-the-art-thief
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Short and Tragic Life of Robert Peace: A Brilliant Young Man Who Left Newark for the Ivy League,"Hobbs, Jeff*",147673190X,9781476731902,147673190X,406        pp,4.14,"26,982","Sep 23, 2014","Sep 23, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 02, 2024",,Hardcover,view,/book/show/18775365-the-short-and-tragic-life-of-robert-peace
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Discovery of Witches        (All Souls Trilogy, #1)","Harkness, Deborah*",0143119680,9780143119685,0143119680,579        pp,4.02,"491,106","Feb 08, 2011","Dec 27, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Paperback,view,/book/show/11468955-a-discovery-of-witches
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Children of Blood and Bone        (Legacy of Orïsha, #1)","Adeyemi, Tomi*",1250294622,9781250294623,1250294622,560        pp,4.11,"223,508","Mar 06, 2018","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Paperback,view,/book/show/39280512-children-of-blood-and-bone
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Song of Achilles,"Miller, Madeline*",,,,408        pp,4.33,"1,485,208","Sep 20, 2011","Aug 28, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 27, 2024","Feb 07, 2024","Jan 27, 2024",,Paperback,view,/book/show/13623848-the-song-of-achilles
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Johnstown Flood,"McCullough, David",0844662925,9780844662923,0844662925,302        pp,4.13,"22,979","Jan 01, 1968","Jan 01, 1987",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 21, 2024",Feb 2024,"Jan 21, 2024",,Hardcover,view,/book/show/2371.The_Johnstown_Flood
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pineapple Street,"Jackson, Jenny*",059349069X,9780593490693,059349069X,304        pp,3.58,"153,270","Mar 07, 2023","Mar 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,An enjoyable read. So funny!,Notes are private!,0,0,1,"Jan 19, 2024","Jan 24, 2024","Jan 19, 2024",,Hardcover,view (with text),/book/show/61246258-pineapple-street
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Time Tomorrow,"Straub, Emma*",052553900X,9780525539001,052553900X,310        pp,3.80,"131,403","May 17, 2022","May 17, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 10, 2024","Jan 14, 2024","Jan 10, 2024",,Hardcover,view,/book/show/59089704-this-time-tomorrow
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Round House,"Erdrich, Louise",0062065246,9780062065247,0062065246,323        pp,3.98,"116,340","Oct 02, 2012","Oct 02, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book has lived on my “shelf of shame” for almost 10 years. Each time I have attempted to read it, I’ve abandoned it because of its heavy subject This book has lived on my “shelf of shame” for almost 10 years. Each time I have attempted to read it, I’ve abandoned it because of its heavy subject matter. I finally committed to reading it and was blown away by its intensity. The writing is truly magical....more",Notes are private!,0,1,1,Jan 2024,"Jan 09, 2024","Jan 01, 2024",,Hardcover,view (with text),/book/show/13602426-the-round-house
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Frozen River,"Lawhon, Ariel*",0385546874,9780385546874,0385546874,432        pp,4.48,"58,362","Dec 05, 2023","Dec 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 31, 2023",,Hardcover,view,/book/show/112975658-the-frozen-river
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Weyward,"Hart, Emilia",125028080X,9781250280800,125028080X,329        pp,4.09,"140,212","Feb 02, 2023","Mar 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 22, 2023",,Hardcover,view,/book/show/60654349-weyward
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Once There Were Wolves,"McConaghy, Charlotte*",1250244145,9781250244147,1250244145,258        pp,4.11,"85,505","Aug 03, 2021","Aug 03, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 14, 2023","Dec 24, 2023","Dec 14, 2023",,Hardcover,view,/book/show/54860573-once-there-were-wolves
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wild Robot Protects        (The Wild Robot #3),"Brown, Peter",,,0316669415,288        pp,4.21,"3,525","Aug 26, 2023","Sep 26, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 02, 2023","Jan 13, 2024","Dec 02, 2023",,Hardcover,view,/book/show/75593520-the-wild-robot-protects
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Treasure Hunters        (Treasure Hunters, #1)","Patterson, James*",031620756X,9780316207560,031620756X,452        pp,4.16,"7,394","Sep 16, 2013","Sep 16, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 02, 2023","Dec 02, 2023","Dec 02, 2023",,Hardcover,view,/book/show/17269359-treasure-hunters
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Switchboard Soldiers,"Chiaverini, Jennifer*",0063080699,9780063080690,0063080699,453        pp,4.08,"7,636","Jul 19, 2022","Jul 19, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 22, 2023","Jan 11, 2024","Dec 01, 2023",,Hardcover,view,/book/show/58984691-switchboard-soldiers
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Looking for Jane,"Marshall, Heather*",1668013681,9781668013687,1668013681,400        pp,4.37,"39,372","Mar 01, 2022","Feb 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 15, 2023","Nov 21, 2023","Nov 15, 2023",,Hardcover,view,/book/show/61273371-looking-for-jane
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Cake,"Wilkerson, Charmaine",,,,385        pp,4.11,"176,172","Feb 01, 2022","Feb 01, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 06, 2023","Nov 17, 2023","Nov 06, 2023",,Hardcover,view,/book/show/57926137-black-cake
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Libertie,"Greenidge, Kaitlyn",1616207019,9781616207014,1616207019,336        pp,3.49,"14,749","Mar 30, 2021","Mar 30, 2021",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 28, 2023","Nov 06, 2023","Oct 28, 2023",,Hardcover,view,/book/show/54110460-libertie
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Lost Names,"Harmel, Kristin*",1982131896,9781982131890,1982131896,388        pp,4.43,"198,299","Jul 21, 2020","Jul 21, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 16, 2023",,Hardcover,view,/book/show/52762903-the-book-of-lost-names
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paris Daughter,"Harmel, Kristin*",1982191708,9781982191702,1982191708,384        pp,4.27,"36,993","Jun 06, 2023","Jun 06, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 16, 2023","Oct 25, 2023","Oct 16, 2023",,Hardcover,view,/book/show/62327255-the-paris-daughter
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vaster Wilds,"Groff, Lauren*",0593418395,9780593418390,0593418395,272        pp,3.79,"24,374","Sep 12, 2023","Sep 12, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 02, 2023","Dec 11, 2023","Oct 09, 2023",,Hardcover,view,/book/show/62952130-the-vaster-wilds
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Matrix,"Groff, Lauren*",1594634491,9781594634499,1594634491,260        pp,3.68,"56,700","Sep 07, 2021","Sep 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 09, 2023",,Hardcover,view,/book/show/57185348-matrix
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fates and Furies,"Groff, Lauren*",1594634475,9781594634475,1594634475,390        pp,3.58,"138,703","Sep 15, 2015","Sep 15, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 09, 2023",,Hardcover,view,/book/show/24612118-fates-and-furies
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We All Want Impossible Things,"Newman, Catherine*",0063230925,9780063230927,0063230925,224        pp,4.01,"28,374","Nov 08, 2022","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 07, 2023",,Paperback,view,/book/show/112975133-we-all-want-impossible-things
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hester,"Albanese, Laurie Lico*",1250278554,9781250278555,1250278554,322        pp,3.97,"35,863","Oct 04, 2022","Oct 04, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 07, 2023","Oct 22, 2023","Oct 07, 2023",,Hardcover,view,/book/show/59807978-hester
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Every Word Is a Bird We Teach to Sing: Encounters with the Mysteries and Meanings of Language,"Tammet, Daniel*",0316353051,9780316353052,0316353051,262        pp,3.88,702,"Sep 12, 2017","Sep 12, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 27, 2023",,Hardcover,view,/book/show/6417951-every-word-is-a-bird-we-teach-to-sing
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Chaos Machine: The Inside Story of How Social Media Rewired Our Minds and Our World,"Fisher, Max",031670332X,9780316703321,031670332X,400        pp,4.30,"5,218","Sep 06, 2022","Sep 06, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 26, 2023","Oct 10, 2023","Sep 26, 2023",,Hardcover,view,/book/show/58950736-the-chaos-machine
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Reykjavík: A Crime Story,"Jónasson, Ragnar*",1250907330,9781250907332,B0BQGGBLWY,355        pp,3.67,"6,176",2022,"Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 16, 2023",,Hardcover,view,/book/show/65214641-reykjav-k
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Demon Copperhead,"Kingsolver, Barbara",,,,560        pp,4.51,"398,050","Oct 18, 2022","Oct 18, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 07, 2023","Oct 03, 2023","Sep 07, 2023",,Hardcover,view,/book/show/60194162-demon-copperhead
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fraud,"Smith, Zadie",0525558969,9780525558965,0525558969,464        pp,3.35,"17,318","Sep 05, 2023","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 04, 2023",,Hardcover,view,/book/show/66086834-the-fraud
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sweetness of Water,"Harris, Nathan*",031646127X,9780316461276,031646127X,368        pp,4.16,"51,653","Jun 15, 2021","Jun 15, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 09, 2023","Sep 19, 2023","Aug 26, 2023",,Hardcover,view,/book/show/54404602-the-sweetness-of-water
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Freewater,"Luqman-Dawson, Amina",0316056618,9780316056618,0316056618,416        pp,4.18,"3,968","Feb 01, 2022","Feb 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 20, 2023","Aug 26, 2023","Aug 20, 2023",,Hardcover,view,/book/show/58275990-freewater
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Kind of Spark,"McNicoll, Elle",1913311058,9781913311056,1913311058,193        pp,4.52,"7,688","Jun 04, 2020","Jun 04, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 16, 2023",,Paperback,view,/book/show/51256288-a-kind-of-spark
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hopes and Fears: Working with Today's Independent School Parents,"Evans, Robert",,9781631150432,,121        pp,3.85,113,unknown,2021,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 13, 2023","Aug 13, 2023","Aug 13, 2023",,Paperback,view,/book/show/57409479-hopes-and-fears
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,952","Aug 01, 2023","Aug 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 26, 2023","Sep 03, 2023","Aug 09, 2023",,Hardcover,view,/book/show/63241104-tom-lake
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rabbit Hutch,"Gunty, Tess",0593467876,9780593467879,0593467876,416        pp,3.52,"27,413","Jul 21, 2022","Jun 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 08, 2023",,Paperback,view,/book/show/122769174-the-rabbit-hutch
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Reading List,"Adams, Sara Nisha*",0063025280,9780063025288,0063025280,368        pp,4.08,"101,512","Jul 22, 2021","Aug 03, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 26, 2023","Aug 02, 2023","Jul 26, 2023",,Hardcover,view,/book/show/55276648-the-reading-list
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let Us Descend,"Ward, Jesmyn*",198210449X,9781982104498,B0BT642ZDK,320        pp,3.73,"20,599","Oct 24, 2023","Oct 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 25, 2023",,Hardcover,view,/book/show/87556695-let-us-descend
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cultish: The Language of Fanaticism,"Montell, Amanda*",0062993151,9780062993151,0062993151,309        pp,3.87,"79,248","Jun 15, 2021","Jun 15, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Hardcover,view,/book/show/55338982-cultish
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maybe You Should Talk to Someone,"Gottlieb, Lori*",1328662055,9781328662057,1328662055,415        pp,4.38,"323,544","Apr 02, 2019","Apr 02, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 15, 2023","Jul 25, 2023","Jul 15, 2023",,Hardcover,view,/book/show/37570546-maybe-you-should-talk-to-someone
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paris Library,"Charles, Janet Skeslien*",1982134194,9781982134198,1982134194,368        pp,4.07,"122,694","Feb 09, 2021","Feb 09, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 11, 2023","Jul 14, 2023","Jul 11, 2023",,Hardcover,view,/book/show/52761909-the-paris-library
