,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Amanda's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Every Body Yoga: Let Go of Fear. Get On the Mat. Love Your Body,"Stanley, Jessamyn*",0761193111,9780761193111,0761193111,222        pp,4.34,"3,339","Apr 04, 2017","Apr 04, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,F-bomb heaven! No bullshit. Life is hard but also awesome.,Notes are private!,0,0,1,"Jun 14, 2017","Jun 14, 2017","Jun 14, 2017",,Paperback,view (with text),/book/show/30754069-every-body-yoga
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heart Goes Last,"Atwood, Margaret*",1101912367,9781101912362,1101912367,380        pp,3.40,"69,981",May 2013,"Aug 09, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Nope. I just can't do it. Even though Margaret Atwood is tops in my book, I can't read this one. I started it, but the whole world was full of murder Nope. I just can't do it. Even though Margaret Atwood is tops in my book, I can't read this one. I started it, but the whole world was full of murder and bullies who are more dangerous than murderers. I only want light and joyful things for my heart. No sad stuff, Margaret Atwood! Not for me. ...more",Notes are private!,0,0,1,not set,not set,"May 30, 2017",,Paperback,view (with text),/book/show/28503851-the-heart-goes-last
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"I is for Innocent        (Kinsey Millhone, #9)","Grafton, Sue",1429911581,9781429911580,,304        pp,3.97,"35,038","Apr 21, 1992","May 15, 1992",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"May 29, 2017","May 29, 2017",,ebook,view,/book/show/7648599-i-is-for-innocent
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sharp Objects,"Flynn, Gillian*",,,,254        pp,4.02,"1,040,800","Sep 26, 2006","Jul 31, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Good grief!,Notes are private!,0,0,1,"May 22, 2017","May 23, 2017","May 23, 2017",,Paperback,view (with text),/book/show/18045891-sharp-objects
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"H is for Homicide        (Kinsey Millhone, #8)","Grafton, Sue",1429910879,9781429910873,1429910879,256        pp,3.93,"35,820","May 15, 1991","Apr 01, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 21, 2017","May 22, 2017","May 22, 2017",,Kindle Edition,view,/book/show/8098770-h-is-for-homicide
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Ugly and Wonderful Things,"Greenwood, Bryn*",1466885807,9781466885806,,365        pp,4.00,"164,641","Aug 09, 2016","Aug 09, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Love story.,Notes are private!,0,0,1,not set,"May 21, 2017","May 21, 2017",,ebook,view (with text),/book/show/28595833-all-the-ugly-and-wonderful-things
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"F is for Fugitive        (Kinsey Millhone, #6)","Grafton, Sue",142990979X,9781429909792,142990979X,262        pp,3.95,"38,947","May 15, 1989","Apr 01, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"May 18, 2017","May 20, 2017",,Kindle Edition,view,/book/show/8166484-f-is-for-fugitive
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"G is for Gumshoe        (Kinsey Millhone, #7)","Grafton, Sue",1429910860,9781429910866,1429910860,262        pp,3.96,"36,887","Apr 28, 1990","May 15, 1990",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 19, 2017","May 19, 2017","May 20, 2017",,Kindle Edition,view,/book/show/9192483-g-is-for-gumshoe
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dear Ijeawele, or a Feminist Manifesto in Fifteen Suggestions","Adichie, Chimamanda Ngozi",,,B01N1A4VM0,1        pp,4.51,"82,002","Mar 07, 2017","Mar 07, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 18, 2017","May 18, 2017","May 18, 2017",,Audible Audio,view,/book/show/34808265-dear-ijeawele-or-a-feminist-manifesto-in-fifteen-suggestions
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"E is for Evidence        (Kinsey Millhone, #5)","Grafton, Sue",1429909382,9781429909389,,240        pp,3.94,"39,413","May 15, 1988","May 15, 1988",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,"May 15, 2017not set","May 15, 2017",,ebook,view,/book/show/8114267-e-is-for-evidence
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hag-Seed,"Atwood, Margaret*",0804141304,9780804141307,,256        pp,3.81,"36,482","Oct 06, 2016","Oct 11, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Makes me wanna do plays again! Or do something with prisoners. Not my fave Margaret Atwood, but I have high expectations for her.",Notes are private!,0,0,1,not set,"May 15, 2017","May 15, 2017",,ebook,view (with text),/book/show/28587635-hag-seed
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"D Is For Deadbeat        (Kinsey Millhone, #4)","Grafton, Sue",1429909323,9781429909327,1429909323,230        pp,3.89,"42,617","May 15, 1987","Apr 01, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"May 09, 2017","May 09, 2017",,ebook,view,/book/show/7898364-d-is-for-deadbeat
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"C is for Corpse        (Kinsey Millhone, #3)","Grafton, Sue",1429922370,9781429922371,1429922370,243        pp,3.93,"52,144","Nov 24, 1986","May 15, 1986",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Apr 18, 2017","Apr 18, 2017",,Kindle Edition,view,/book/show/7323919-c-is-for-corpse
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Interworld,"Gaiman, Neil*",0061542857,9780061542855,0061542857,171        pp,3.56,"22,406","Jun 26, 2007","Jul 31, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Apr 18, 2017","Apr 18, 2017",,Kindle Edition,view,/book/show/7413759-interworld
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Under Your Skin        (For Your Love #1),"Schroeder, Shannyn*",1420139495,9781420139495,1420139495,313        pp,3.80,485,"Jun 28, 2016","Jun 28, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,not setnot set,"Feb 13, 2017",,Mass Market Paperback,view,/book/show/27168957-under-your-skin
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Commonwealth,"Patchett, Ann",0062491792,9780062491794,0062491792,322        pp,3.83,"182,205",Sep 2016,"Sep 13, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It's no Bel Canto, but I enjoyed it nonetheless. Recommended by a girl who works at Scuppernong.It's no Bel Canto, but I enjoyed it nonetheless. Recommended by a girl who works at Scuppernong....more",Notes are private!,0,1,1,"Feb 05, 2017","Feb 06, 2017","Feb 06, 2017",,Hardcover,view (with text),/book/show/28214365-commonwealth
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brave Enough,"Strayed, Cheryl*",0345810880,9780345810885,,112        pp,3.91,"10,896","Oct 27, 2015","Oct 27, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Cheryl Strayed is in a special class of women who Just Know. Wise and wonderful and naked, and while--as she herself admits--she's a fuckup, she's a rCheryl Strayed is in a special class of women who Just Know. Wise and wonderful and naked, and while--as she herself admits--she's a fuckup, she's a role model of a fuckup. I wish I knew her in real life.:-)PS. This book is just a bunch of quotes. That's it. Leave your expectations at that level... Read Tiny Beautiful Things or Wild if you're craving something toothier....more",Notes are private!,0,1,1,"Feb 05, 2017","Feb 05, 2017","Feb 05, 2017",,ebook,view (with text),/book/show/25893388-brave-enough
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"B is for Burglar        (Kinsey Millhone, #2)","Grafton, Sue",1429922257,9781429922258,1429922257,230        pp,3.88,"56,526","May 15, 1985","Apr 01, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Having fun with these A, B, C books by Sue Grafton. I find myself nostalgic for the days of phone books and answering machines.",Notes are private!,0,0,1,not set,"Feb 05, 2017","Feb 05, 2017",,Kindle Edition,view (with text),/book/show/7362420-b-is-for-burglar
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gone Girl,"Flynn, Gillian*",0297859404,9780297859406,0297859404,444        pp,4.13,"3,090,699","Dec 06, 2012","May 24, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Hmmm. I mostly liked this book! But maybe not Part III. The endings of books seem to always be my least favorite part.,Notes are private!,0,1,1,not set,"Jan 15, 2017","Jan 15, 2017",,ebook,view (with text),/book/show/15704161-gone-girl
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Five Things I Love About You        (Chase Brothers, #1)","Ballance, Sarah*",1633753379,9781633753372,1633753379,124        pp,3.81,"1,106","Aug 17, 2015","Aug 17, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Cute little love story. With sex scenes. :-),Notes are private!,0,1,1,"Jan 07, 2017","Jan 08, 2017","Jan 08, 2017",,Kindle Edition,view (with text),/book/show/25988685-five-things-i-love-about-you
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Is for Alibi        (Kinsey Millhone, #1)","Grafton, Sue",1429901349,9781429901345,,320        pp,3.86,"184,381","Apr 15, 1982","Apr 01, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm pretty sure I originally read this in the early 90s while at the beach with my family, wearing a blue-with-white-polka-dot pajama set that I reallI'm pretty sure I originally read this in the early 90s while at the beach with my family, wearing a blue-with-white-polka-dot pajama set that I really loved.Now that it's the twenty-teens, I don't remember anything about this book so it was a fun easy read. No cell phones!!! She uses a typewriter and an answering service! So cute. ...more",Notes are private!,0,1,1,not set,"Jan 07, 2017","Jan 07, 2017",,ebook,view (with text),/book/show/7414207-a-is-for-alibi
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Faithful,"Hoffman, Alice*",1476799261,9781476799261,,272        pp,4.00,"36,411","Feb 09, 2017","Nov 01, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 04, 2017","Jan 04, 2017",,ebook,view,/book/show/29432767-faithful
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Year of Yes,"Rhimes, Shonda*",1471157326,9781471157325,1471157326,352        pp,4.06,"91,533","Nov 10, 2015","Nov 10, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 31, 2016",,Paperback,view,/book/show/29540318-year-of-yes
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pussy: A Reclamation,"Thomashauer, Regena",1401950248,9781401950248,1401950248,257        pp,3.90,"3,290","Sep 20, 2016","Jan 01, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"If you're in need of some female empowerment and can move past the author's egotistical blahblahblah, this might be the perfect book for you. If you're in need of some female empowerment and can move past the author's egotistical blahblahblah, this might be the perfect book for you. ...more",Notes are private!,0,0,1,not set,"Dec 31, 2016","Dec 31, 2016",,Hardcover,view (with text),/book/show/28956885-pussy
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Why Not Me?,"Kaling, Mindy*",0804138141,9780804138147,0804138141,228        pp,3.91,"217,449","Sep 15, 2015","Sep 15, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Mindy Kaling love fest!,Notes are private!,0,0,1,not set,"Jul 29, 2016","Jul 29, 2016",,Hardcover,view (with text),/book/show/22716447-why-not-me
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Images You Should Not Masturbate To,"Johnson, Graham",0399536493,9780399536496,0399536493,80        pp,3.79,308,"Feb 01, 2011","Feb 01, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,RiDICKulous! (Get it?),Notes are private!,0,0,1,"Jul 09, 2016","Jul 09, 2016","Jul 10, 2016",,Paperback,view (with text),/book/show/9219816-images-you-should-not-masturbate-to
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Interpreter of Maladies,"Lahiri, Jhumpa",0618101365,9780618101368,0618101365,198        pp,4.17,"193,351","Apr 20, 1999","Jan 01, 2000",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I found this book in one of our neighborhood's Little Libraries. I was donating some of my own books when I came across it, and I thought, ""Why not? TI found this book in one of our neighborhood's Little Libraries. I was donating some of my own books when I came across it, and I thought, ""Why not? This is a book people read."" So I grabbed it. Fascinating, I know!Like most collections of short stories, this one had its good and bad. But I'm especially glad it ended the way it did--with a sweet love story between a man, his wife, and a 103 year old widow. :-)...more",Notes are private!,0,0,1,not set,"Jul 10, 2016","Jul 10, 2016",,Hardcover,view (with text),/book/show/5439.Interpreter_of_Maladies
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"First Frost        (Waverley Family, #2)","Allen, Sarah Addison*",1250019834,9781250019837,1250019834,296        pp,3.98,"36,701","Jan 20, 2015","Jan 20, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jun 27, 2016","Jul 01, 2016",,Hardcover,view,/book/show/21853633-first-frost
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Girl Who Chased the Moon,"Allen, Sarah Addison*",0553807218,9780553807219,0553807218,288        pp,3.97,"60,900","Mar 16, 2010","Mar 16, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,So sweet!,Notes are private!,0,0,1,not set,"Jun 08, 2016","Jun 08, 2016",,Hardcover,view (with text),/book/show/5126859-the-girl-who-chased-the-moon
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Were Liars,"Lockhart, E.*",,,,242        pp,3.67,"1,144,754","May 13, 2014","May 13, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Jeeeeeeezus. The problem with kids is that they always choose passion over pragmatism. This girl fucked up a lot of shit, man. And I'm kinda pissed atJeeeeeeezus. The problem with kids is that they always choose passion over pragmatism. This girl fucked up a lot of shit, man. And I'm kinda pissed at her for it. And sad about her boyfriend. I'm not a happy camper right now. Ughhhhh....more",Notes are private!,0,0,1,"Jun 02, 2016","Jun 03, 2016","Jun 03, 2016",,Kindle Edition,view (with text),/book/show/16143347-we-were-liars
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Is Everyone Hanging Out Without Me?,"Kaling, Mindy*",0307886263,9780307886262,0307886263,222        pp,3.86,"496,398","Nov 01, 2011","Nov 01, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"May 29, 2016","Jun 02, 2016",,Hardcover,view,/book/show/10335308-is-everyone-hanging-out-without-me
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sugar Queen,"Allen, Sarah Addison*",0553805495,9780553805499,0553805495,276        pp,3.99,"55,159","May 20, 2008","May 20, 2008",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 31, 2016",Jun 2016,"Jun 02, 2016",,Hardcover,view,/book/show/2200877.The_Sugar_Queen
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Peach Keeper,"Allen, Sarah Addison*",0553807226,9780553807226,0553807226,273        pp,3.86,"62,525","Mar 22, 2011","Mar 22, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A little bit of love; a little bit of magic. Read it in under 12 hours. Yay, books!",Notes are private!,0,0,1,"Jun 02, 2016","Jun 02, 2016","Jun 02, 2016",,Hardcover,view (with text),/book/show/8546358-the-peach-keeper
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Invisible Man,"Wells, H.G.",0486270718,9780486270715,0486270718,110        pp,3.64,"193,537","Feb 02, 1897","Feb 05, 1992",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I finished this book! I didn't like it much until the end which was ok. I think you should go read some of the other s of this book on GoodReadsI finished this book! I didn't like it much until the end which was ok. I think you should go read some of the other s of this book on GoodReads, because they're more interesting than this one. Love,Amanda...more",Notes are private!,0,2,1,not set,"May 20, 2016","May 20, 2016",,Paperback,view (with text),/book/show/176938.The_Invisible_Man
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Garden Spells        (Waverley Family, #1)","Allen, Sarah Addison*",0553805487,9780553805482,0553805487,304        pp,4.07,"100,756","Aug 28, 2007","Aug 28, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I'm embarrassed to admit that I liked this book--one I'm sure most of you would consider fluffy chick lit--but I DID like it. A lot of sugar. A littleI'm embarrassed to admit that I liked this book--one I'm sure most of you would consider fluffy chick lit--but I DID like it. A lot of sugar. A little spice. So many love stories in so few pages!! And now I reeeeeeally want to eat cake. ...more,Notes are private!,0,0,1,"Apr 30, 2016",May 2016,"May 01, 2016",,Hardcover,view (with text),/book/show/1158967.Garden_Spells
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eggs,"Spinelli, Jerry",0316166464,9780316166461,0316166464,224        pp,3.61,"10,675","Jan 01, 2007","Jun 01, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"So, I kind of hated this book. Primrose is a bitch. And David keeps coming back for more! It's annoying to watch these two going back and forth and baSo, I kind of hated this book. Primrose is a bitch. And David keeps coming back for more! It's annoying to watch these two going back and forth and back and forth over and over again, she's a bully and he's begging for more. I couldn't understand why Jerry Spinelli would care to write such a thing. But... I guess we all love our fair share of assholes. Happens to the best of us. Somehow we survive....more",Notes are private!,0,0,1,not set,"Mar 08, 2016","Mar 08, 2016",,Hardcover,view (with text),/book/show/169413.Eggs
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To Kill a Mockingbird,"Lee, Harper",,,,323        pp,4.26,"6,122,298","Jul 11, 1960","May 23, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 01, 2016",,Paperback,view,/book/show/2657.To_Kill_a_Mockingbird
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Their Eyes Were Watching God,"Hurston, Zora Neale",0061120065,9780061120060,0061120065,238        pp,3.98,"347,138",1937,"May 30, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 01, 2016",,Paperback,view,/book/show/37415.Their_Eyes_Were_Watching_God
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lost Lake        (Lost Lake, #1)","Allen, Sarah Addison*",125001980X,9781250019806,125001980X,296        pp,3.89,"36,370","Jan 21, 2014","Jan 21, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 01, 2016",,Hardcover,view,/book/show/13481275-lost-lake
