,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Tung's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Two Trains Running,"Wilson, August",1559363037,9781559363037,1559363037,120        pp,4.05,"1,090","Jan 01, 1993","Apr 01, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"August Wilson’s brilliant 10-play Century Cycle captures the black experience in America in the 20th century. Each play is set in a different decade, August Wilson’s brilliant 10-play Century Cycle captures the black experience in America in the 20th century. Each play is set in a different decade, and muses on different themes of the black experience. Two Trains Running is chronologically the seventh play in the cycle. The play takes place in 1969 in Pittsburgh. Memphis owns a restaurant in the Hill District. The entirety of the play takes place in this restaurant, with the restaurant itself as a symbol of the play’s larger theme. Various regulars enter each scene: Wolf (a bookie), Risa (a waitress), West (the owner of a funeral parlor), Hambone (a man with some mental/emotional disability causing him to only say the same things over and over), and Sterling (an ex-con who is trying to restart his life). Wilson uses each of these characters to express different struggles of African-American life in the turbulent 1960s. Memphis, for example, has been notified that his diner will be torn down as part of the city’s rebuilding project, and his anger at what he feels is too-low a sale price reflects the anger of the black community continually being undermined while the larger society and culture rebuild and evolve. Sterling’s search for a new life and his to-some-questionable ethics represents a generation of African-Americans willing to do what is needed to be done in order to forge new lives amidst change. Just brilliant framing by Wilson throughout. In comparison to the other works of the Century Cycle, I think this lay works among the better of the plays thematically, but lacks the character connection and big moments of the other plays. Wilson’s prose is still strong throughout this play. Recommended. ...more",Notes are private!,0,1,1,Feb 2021,Feb 2021,"Jun 10, 2021",,Hardcover,view (with text),/book/show/239396.Two_Trains_Running
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Forgive Me, Leonard Peacock","Quick, Matthew*",0316221333,9780316221337,0316221333,277        pp,3.88,"47,054","Aug 13, 2013","Aug 13, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 29, 2021",,Hardcover,view,/book/show/13477676-forgive-me-leonard-peacock
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Seven Guitars,"Wilson, August",0452276926,9780452276925,0452276926,107        pp,3.84,"1,197",1996,"Aug 01, 1997",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"August Wilson’s brilliant 10-play Century Cycle captures the black experience in America in the 20th century. Each play is set in a different decade, August Wilson’s brilliant 10-play Century Cycle captures the black experience in America in the 20th century. Each play is set in a different decade, and muses on different themes of the black experience. Seven Guitars is chronologically the fifth play in the cycle. The play takes place in 1948 in Pittsburgh. A man named Floyd Barton has returned to Pittsburgh to find his old girlfriend Vera. Floyd had been in Chicago recording a record. The record is semi-successful, but Floyd hasn’t seen the fruits of that. He is looking to buy his old guitar back from the pawn shop and to bring Vera back to Chicago with him when he records another album. The play follows his struggles to convince Vera to accompany him; to recover his guitar; and to make a better life for himself. Wilson uses Floyd’s confidence in the face of his failures to explore the African-American fight for a better life in the middle of the 20th century. As amazing as the plays are in the Century Cycle, this one for me was the weakest of the first five. My primary issue with it is that I feel like everything in this play is done better in one of the other plays. For example, Floyd is a lesser version of Levee from Ma Rainey’s Black Bottom. Floyd’s monologues about trying to make something of himself are lesser versions of Boy Willie’s monologues from The Piano Lesson. And the play lacks the powerful, signature scenes of the other plays. Wilson’s strong characterization and tension-filled dialogue is still plenty present throughout this play, but overall, it doesn’t work at the level of the others in the Cycle. ...more",Notes are private!,0,0,1,Feb 2021,Feb 2021,"Feb 22, 2021",,Paperback,view (with text),/book/show/588432.Seven_Guitars
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Monster in the Hollows        (The Wingfeather Saga #3),"Peterson, Andrew*",0525653597,9780525653592,B082S3RTTS,337        pp,4.69,"13,975",May 2011,"Oct 06, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 18, 2021",not set,"Jan 18, 2021",,Kindle Edition,view,/book/show/51539202-the-monster-in-the-hollows
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,North! or Be Eaten,"Peterson, Andrew*",,,B002KOGB3Y,354        pp,4.55,"16,060","Aug 07, 2009",Apr 2020,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book is the second in Peterson’s Wingfeather Saga tetralogy. I found the first book to be better than average (3.5 stars out of 5), but with a shThis book is the second in Peterson’s Wingfeather Saga tetralogy. I found the first book to be better than average (3.5 stars out of 5), but with a shortcoming in the plot advancement. Unfortunately, the same issue carried over to this book. By the end of the first book, the Igiby children (Janner, Tink, and Leeli) find out they are the royal descendants of a defunct kingdom. Unfortunately, their enemies know this about them as well and are after them because of it. The Igiby children, their mother, their grandfather, and a family friend flee their village, attempting to reach the Ice Prairies where they believe they can find a rebel camp, and where they believe the cold weather will keep them safe from Fangs. On the way to the Ice Prairies, however, they run into a gang of thieves (called Stranders). During their flight to the Ice Prairies, the party is forced to split up. At least a third of the book follows Janner’s solo journey as he attempts to rejoin his family. As was true in the first book, Janner and his siblings begin to find out more about their father (who had passed away nine years previously) and their grandfather (who kept the details of his younger days to himself). My big critique of this book is the same critique I had of the first book, which is that Peterson relies on the rash decision-making of the children to advance the plot; and for deus ex machinas to save the family each time. After two books in the tetralogy, I still have no strong personal attachments to the Igiby family (and in many cases, wished they would suffer); and that’s not what I should be feeling. If I hadn’t already purchased the entire tetralogy, I’m not sure I would be finishing it. I rate this book at the same level as the first (3.5 stars out of 5). However, since I rounded up to 4 for the first book, I am rounding down to 3 for this one. ...more",Notes are private!,0,0,1,Jan 2021,Jan 2021,"Jan 14, 2021",,Kindle Edition,view (with text),/book/show/53226358-north-or-be-eaten
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On the Edge of the Dark Sea of Darkness,"Peterson, Andrew*",,,B0015DRQ3A,287        pp,4.33,"24,410","Mar 18, 2008",Oct 2020,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I am fond of fantasy fiction aimed at young adults – I mean, young adults need some jumping off point to get to Tolkien. For me, the best fantasy fictI am fond of fantasy fiction aimed at young adults – I mean, young adults need some jumping off point to get to Tolkien. For me, the best fantasy fiction does three things well: (1) build out a universe and mythology that seems to live and breathe; (2) tell an sweeping epic that feels as if it is centuries old; and most importantly (3) present me a band of characters that I like and am rooting for. This book – the first in Peterson’s Wingfeather Saga tetralogy – hits on 2 of 3 fairly well, but it misses on the most important one. Janner Igiby lives in a quaint village with his grandfather, mother, younger brother Tink, and younger sister Leeli. They live in the land of Skree, a land which has been oppressed by the lizard-like army (called Fangs) of the villain Gnag the Nameless. Janner and his siblings get on the bad side of a few Fangs one day, setting off a series of events that end up with the Igiby family having to flee their quaint village. As they flee, Janner and his siblings begin to find out more about their father (who had passed away nine years previously), their grandfather (who kept the details of his younger days to himself), and the history and events of Skree. To my earlier point about what good fantasy fiction needs to do, this book does build out a unique universe that feels both medieval and believable. The fangs work as characters, the land has dragons and a Dragon Day Festival, and footnotes in each chapter reference imaginary books and poems making the history feel real. My biggest critique is the way Peterson advances the plot. The plot is fairly linear, with one event leading to the next. But most of the events that occur do so because of the rash actions of the Igiby children. Tink is impetuous, and Leeli wanders off twice; and their actions lead to dire situations for the entire family and their village. Moreover, the main characters only survive these dire situations by several deus ex machinas. This is lazy plotting, and after awhile, the manufactured tension irritated me; in turn, my irritation led me to wishing ill on the Igiby children – not what I ought be feeling towards the protagonists of a tetralogy. I’m giving this four stars, but it’s more of a 3.5 star read. I want to like this book more than I do. ...more",Notes are private!,0,0,1,Jan 2021,Jan 2021,"Jan 10, 2021",,Kindle Edition,view (with text),/book/show/55773091-on-the-edge-of-the-dark-sea-of-darkness
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ma Rainey's Black Bottom,"Wilson, August",0452261139,9780452261136,0452261139,111        pp,4.00,"3,568",1984,"Apr 24, 1985",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"August Wilson’s brilliant 10-play Century Cycle captures the black experience in America in the 20th century. Each play is set in a different decade, August Wilson’s brilliant 10-play Century Cycle captures the black experience in America in the 20th century. Each play is set in a different decade, and muses on different themes of the black experience. Ma Rainey’s Black Bottom is chronologically the third play in the cycle. The play takes place in 1927 in Chicago – the only one of the Century Cycle that doesn’t take place in Pittsburgh. A band is rehearsing in a studio and preparing to record an album together. Most of the band are men in their mid-50’s, but they are joined by a thirty-something, brash trumpeter named Levee who brings a swagger and confidence that rubs the band the wrong way. Ma Rainey is the lead vocals and also the unquestioned leader of the band; it is her album they are recording. The play explores several dynamics as these characters attempt to record the album: the dynamic between Ma and Levee, the dynamic between Ma and her white manager and white record label exec, the dynamic between the younger Levee and the older bandmates. As in the earlier plays in the cycle, Wilson uses the different characters and their perspectives to subtly and overtly explore important questions across multiple angles. In Ma Rainey, Wilson explores the changing power dynamics for blacks during the 1920s. For example, in one scene, Toledo calls for the bandmates to recognize that blacks at this time were considered “leftovers”; and that whites held all the control. Ma Rainey’s ability to dictate the details of the rehearsal on her terms, however, represents how blacks who had power ought to use that power. Levee reflected a position where he was willing to play the power dynamic game in subordination to whites only insofar as it allowed him to build his own power so as to change the dynamic later on. Wilson’s framing of these viewpoints was really well done. Throughout, Wilson’s dialogue and prose sparkle with energy and emotion. More than in Gem of the Ocean or Joe Turner’s Come and Gone, the dialogue in Ma Rainey had more overt anger and stridency of tone. Characters essentially argue through the majority of the scenes. This choice of prose was made due to the primary theme of power struggles, and it serves that theme well. My one critique of this play is its lack of subtlety. In both Gem and Joe Turner, the themes are explored symbolically or beneath the surface of the dialogue. In Ma Rainey, the theme is explored expositorily as characters verbalized their viewpoints. I generally prefer my plays to be more understated. Nevertheless, it’s still a terrific play; Wilson is 3-for-3 in his 10-play masterpiece. ...more",Notes are private!,0,0,1,Jan 2021,Jan 2021,"Jan 10, 2021",,Paperback,view (with text),/book/show/516792.Ma_Rainey_s_Black_Bottom
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Joe Turner's Come and Gone,"Wilson, August",0452260094,9780452260092,0452260094,94        pp,3.95,"3,071",1988,"Oct 30, 1988",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"August Wilson’s brilliant 10-play Century Cycle captures the black experience in America in the 20th century. Each play is set in a different decade, August Wilson’s brilliant 10-play Century Cycle captures the black experience in America in the 20th century. Each play is set in a different decade, and muses on different themes of the black experience. Joe Turner’s Come and Gone is chronologically the second play in the cycle. The play takes place in 1911 in the Hill District of Pittsburgh. Seth and Bertha Holly run a boardinghouse. Over a three-week period, several people take up lodging, joining a man named Bynum who already lives there. Bynum claims to have the power to “bind people” together through song. He also seems to be able to read each person’s “song”. Essentially, the plot revolves around these various lodgers trying to live their lives and figure out who they are (figure out their song). Wilson uses this as a powerful metaphor to explore different ways black Americans wrestled with their identities during the 1910s. Seth finds his identity in making money and building a better life for him and his wife. A character named Jeremy and two female boarders (Molly and Mattie) find their identities in their relationships. A man named Loomis is seeking the wife that he hasn’t seen in a decade; his identity is less in the relationship itself, and more in the hold that his past has on him. As in Gem of the Ocean, Wilson uses the different characters and their perspectives to subtly and overtly explore important questions across multiple angles. Throughout, Wilson’s dialogue and prose sparkle with energy and emotion. I also appreciated the magical realism in the play that represents black spirituality as a centering and grounding force for the characters (reflected in a scene between Bynum and Loomis discuss a vision Loomis was having). Overall, Wilson is 2-for-2 in his 10-play masterpiece....more",Notes are private!,0,0,1,Jan 2021,Jan 2021,"Jan 02, 2021",,Paperback,view (with text),/book/show/783918.Joe_Turner_s_Come_and_Gone
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mr. Dickens and His Carol,"Silva, Samantha*",,,B06Y5VGLNP,282        pp,3.78,"17,261","Oct 31, 2017","Oct 31, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Charles Dickens the author needs no introduction. His books are widely read, especially A Christmas Carol. In this book, Silva tells a fictional accouCharles Dickens the author needs no introduction. His books are widely read, especially A Christmas Carol. In this book, Silva tells a fictional account of the writing of A Christmas Carol. It is 1843, and Dickens is at the height of his popularity, making him wealthy. But his wealth makes him prey to friends, family, acquaintances, and businesses that all benefit from his generosity. When his latest work (Martin Chuzzlewit) bombs, Dickens’ publisher requests he write a Christmas novel to rebuild his reputation and wealth. The competing pressures of Dickens trying to satisfy the many people who count on him; writing a new novel on a short deadline; and just living up to being Charles Dickens causes him to lash out at those around him, and to isolate himself from those he loves. But he meets a woman named Eleanor Lovejoy who becomes his muse, and his story merges with her story. Moreover, their story runs somewhat parallel to the plot of A Christmas Carol; just a well-formed construct. The prose is Dickensian and Victorian in its vocabulary and atmosphere, but also with more vibrancy and less dry than most novels of that era. The book isn’t perfect. I found Dickens to be a bit of a creepy philanderer in many parts of the book, making him somewhat unlikable. And the ending is a bit predictable. But Silva captures the Christmas spirit so incredibly well, and the plot comes together at the end so charmingly well that it’s impossible to dislike. This book is a sweet holiday treat....more",Notes are private!,0,1,1,Jan 2021,Jan 2021,"Jan 01, 2021",,Kindle Edition,view (with text),/book/show/35020420-mr-dickens-and-his-carol
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gem of the Ocean,"Wilson, August",1559362804,9781559362801,1559362804,85        pp,4.13,"1,604",2003,"Jul 17, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"August Wilson’s brilliant 10-play Century Cycle captures the black experience in America in the 20th century. Each play is set in a different decade, August Wilson’s brilliant 10-play Century Cycle captures the black experience in America in the 20th century. Each play is set in a different decade, and muses on different themes of the black experience. Gem of the Ocean is chronologically the first play in the cycle, although one of the last published. The play takes place in 1904 in the Hill District of Pittsburgh. Aunt Ester is the mystical matriarch of this district and runs a boardinghouse. The neighborhood is in turmoil due to the recent death of a millworker accused of stealing a bucket of nails. A man named Citizen Barlow comes to the boardinghouse seeking to have “his soul washed”, and we see how that connects to the mill incident. Each character in the play voices a different perspective on the meaning and implication of the millworker’s death, with each perspective wrestling more broadly with how black people (just four decades post-emancipation) ought to utilize their freedom. Citizen Barlow, for example, reflects the tension of how our pasts (or symbolically, America’s past) shackles the present. Another character named Solly Two Kings utilizes his voice and freedom to try and bring voice and freedom to relatives in the South who lack either; and speaks to the need of using our freedom to impact others. A character named Caesar who is a police officer in the Hill District represents a voice calling for submission to law and order regardless of whether the laws are unfair. Wilson’s use of these different characters to voice different perspectives is such strong framing. Throughout, Wilson’s dialogue and prose capture this tension and just-beneath-the-surface anger. I also appreciated the magical realism in the play that represents black spirituality as a centering and grounding force for the characters (reflected in a scene late in the play where Citizen gets his soul washed). Overall, it’s a terrific start to Wilson’s genius 10-play masterpiece. ...more",Notes are private!,0,0,1,Jan 2021,Jan 2021,"Dec 31, 2020",,Paperback,view (with text),/book/show/764325.Gem_of_the_Ocean
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Isaiah: Tyndale Old Testament Commentary,"Motyer, Alec",1783592516,9781783592517,B01C9KYO5K,565        pp,4.24,93,"Apr 16, 1999","Jan 01, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book is exactly what it advertises itself to be: a commentary on the Old Testament book of Isaiah. And it does what a good commentary should do: This book is exactly what it advertises itself to be: a commentary on the Old Testament book of Isaiah. And it does what a good commentary should do: provide historical context, lay out the basic structure, provide insight into all major themes, highlight important words, tie verses to other relevant verses in Scripture, and walk through the book nearly verse-by-verse. Motyer checks all of these boxes. I found the commentary especially useful in breaking down the literary devices used by Isaiah. There were a few areas that were either too in the weeds or too repetitive, but given a book as long and as symbolic as Isaiah, it is understandable. Overall, an incredibly useful commentary for anyone teaching a class on Isaiah, or digging into Isaiah as a personal study....more",Notes are private!,0,0,1,Nov 2020,Dec 2020,"Nov 15, 2020",,Kindle Edition,view (with text),/book/show/31924274-isaiah
