,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Donna's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Leaving Isn't the Hardest Thing,"Hough, Lauren*",,,B08DMWW3PR,314        pp,3.38,"10,004","Apr 13, 2021","Apr 13, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Did not read. Won't read. No one who invokes *Mein Kampf* gets my support :-(.Did not read. Won't read. No one who invokes *Mein Kampf* gets my support :-(....more,Notes are private!,0,2,1,not set,not set,"Apr 23, 2021",,Kindle Edition,view (with text),/book/show/54831125-leaving-isn-t-the-hardest-thing
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"My Sister, the Serial Killer","Braithwaite, Oyinkan*",0385544235,9780385544238,0385544235,226        pp,3.67,"293,700","Jul 17, 2018","Nov 20, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I *loved* this book, and I'm a tough sell. It combined the best of literary and commercial fiction: fine writing, fast pace, a gripping story, an origI *loved* this book, and I'm a tough sell. It combined the best of literary and commercial fiction: fine writing, fast pace, a gripping story, an original premise--oh, and a setting unfamiliar to most American/UK readers: Lagos, Nigeria.As of this writing, there are over 20,000 s, so I won't weigh you, the reader, down with plot summary. Nor will I read all 20K existing s so as to avoid repetition. I mean, I still have to clean the cat boxes.I will only say that among the many layers here is the complicated bond between sisters, when fate has distributed gifts unevenly and unfairly, yet, to paraphrase the lyrics of the Captain and Tennille song, ""love keeps them together.""I'm sorry that I can't identify when I started or finished. I didn't ""stay up all night."" Donna don't do that no more. Actually, did I ever? Yes, when I was 13 and read *1984.* I was hoping there would be a happy ending. Still waiting....more",Notes are private!,0,0,1,"Apr 13, 2021","Apr 13, 2021","Apr 12, 2021",,Hardcover,view (with text),/book/show/38819868-my-sister-the-serial-killer
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vanishing Half,"Bennett, Brit*",,,,343        pp,4.15,"753,499","Jun 02, 2020","Jun 02, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 12, 2021",,Hardcover,view,/book/show/51791252-the-vanishing-half
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The End of the Day,"Clegg, Bill*",1476798206,9781476798202,1476798206,320        pp,3.20,"2,393","Sep 29, 2020","Sep 29, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Thank you to Net Galley for an advance copy.I read Mr. Clegg's *Did You Ever Have a Family,* and came away impressed and moved. This novel follows mucThank you to Net Galley for an advance copy.I read Mr. Clegg's *Did You Ever Have a Family,* and came away impressed and moved. This novel follows much the same format, for lack of a more elegant word: many characters, a lot of backstory and a few secrets. Clegg's writing is elegant, and his insight into complex relationships fascinating. We meet most of the main characters when they're in late middle-age, and it's poignant to share their experiences of looking back, and evaluating (or reevaluating) their lives.For many readers this is more than enough. It isn't for me. I need to want to know what happens next, and through most of *Day* I wasn't all that curious. The title itself sums it up: At the end of the day, it will all come together, and you'll know what you want to know. In *Family,* there was enough suspense to keep me going, but here it was too long a wait. ...more",Notes are private!,0,2,1,not set,"Apr 25, 2020","Apr 25, 2020",,Hardcover,view (with text),/book/show/51592924-the-end-of-the-day
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pachinko,"Lee, Min Jin",,,,496        pp,4.33,"471,176","Feb 07, 2017","Feb 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2019",,Kindle Edition,view,/book/show/34051011-pachinko
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Autism Job Club: The Neurodiverse Workforce in the New Normal of Employment,"Bernick, Michael S.",1632209977,9781632209979,,256        pp,3.35,20,unknown,"Mar 03, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Aug 31, 2018",,ebook,view,/book/show/34082263-the-autism-job-club
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Watch Me,"Gehrman, Jody*",1250144027,9781250144027,1250144027,308        pp,3.63,"1,216","Jan 18, 2018","Jan 23, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A near-perfectly constructed story. Gehrman’s insight into the psychology of your basic crazy person is phenomenal. Sam may be dangerous but he’s compA near-perfectly constructed story. Gehrman’s insight into the psychology of your basic crazy person is phenomenal. Sam may be dangerous but he’s compelling and sympathetic....more,Notes are private!,0,0,1,not set,"Aug 07, 2018","Aug 07, 2018",,Paperback,view (with text),/book/show/34964937-watch-me
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,There There,"Orange, Tommy*",,,,294        pp,3.98,"181,611","Jun 05, 2018","Jun 05, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 01, 2018",,Hardcover,view,/book/show/36692478-there-there
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Less        (Arthur Less, #1)","Greer, Andrew Sean",,,B01MSICPW3,273        pp,3.64,"203,355","Jul 18, 2017","Jul 18, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 01, 2018",,Kindle Edition,view,/book/show/39927096-less
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Guernsey Literary and Potato Peel Pie Society,"Shaffer, Mary Ann",0385340990,9780385340991,B002WTC8RA,277        pp,4.19,"752,838","Jul 29, 2008","Jul 29, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An epistolary novel about a little-known aspect of WWII (okay, little known to *me*--am I the last to find out?): that the Germans occupied the ChanneAn epistolary novel about a little-known aspect of WWII (okay, little known to *me*--am I the last to find out?): that the Germans occupied the Channel Islands, British ""Crown dependencies,"" for most of the war, after the British declared them ""open,"" that is, undefended. I like epistolary novels: they honor the tradition of the early novels that were written as letters or diary entries. The challenge: write the letters as someone *would* have written them, that is, not spelling out what the recipient of the letter already knows. (Some letters remind me of those one-sided phone calls on TV: ""He did what? He robbed a store? With a gun?"" It wasn't easy to write letters in those days. You had to ACTUALLY WRITE THEM, usually by hand, and if you made a mistake you had to cross it out. Then you had to find a stamp. And a mailbox! Granted, it was a different time.I'm giving it four stars because, once accepted on those terms, I did enjoy reading this untold story. (Untold to me; see disclaimer above.)...more",Notes are private!,0,1,1,not set,not set,"Jul 22, 2018",,Hardcover,view (with text),/book/show/2728527-the-guernsey-literary-and-potato-peel-pie-society
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dear Committee Members,"Schumacher, Julie",0385538138,9780385538138,0385538138,181        pp,3.77,"19,462","Aug 19, 2014","Aug 19, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jul 21, 2018",,Hardcover,view,/book/show/19288259-dear-committee-members
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Underground Railroad,"Whitehead, Colson*",0385542364,9780385542364,0385542364,320        pp,4.06,"401,184","Aug 02, 2016","Aug 02, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,2,not setnot set,not setnot set,"Jul 21, 2018",,Hardcover,view,/book/show/30555488-the-underground-railroad
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Man Called Ove,"Backman, Fredrik*",1476738017,9781476738017,,337        pp,4.38,"1,031,659","Aug 27, 2012","Jul 15, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 21, 2018",,Hardcover,view,/book/show/18774964-a-man-called-ove
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bad Blood: Secrets and Lies in a Silicon Valley Startup,"Carreyrou, John",,,152473165X,339        pp,4.41,"259,824","May 21, 2018","May 21, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 21, 2018",,Hardcover,view,/book/show/37976541-bad-blood
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stone in the Crick        (Rebecca Zook's Amish Romance Book 1),"Burgess, Granville Wyche*",,,B00KVOL1G2,263        pp,4.39,28,"Apr 26, 2014","Jun 08, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 22, 2018",,Kindle Edition,view,/book/show/22596416-stone-in-the-crick
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fork in the Crick,"Burgess, Granville Wyche*",0991327497,9780991327492,0991327497,190        pp,5.00,5,unknown,"Sep 13, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 22, 2018",,Paperback,view,/book/show/37507877-fork-in-the-crick
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pride and Prejudice,"Austen, Jane",,,,279        pp,4.29,"4,269,050","Jan 28, 1813","Oct 10, 2000",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Jun 16, 2018",,Paperback,view,/book/show/1885.Pride_and_Prejudice
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lady of the Light        (Auriane #2),"Gillespie, Donna*",0425212688,9780425212684,0425212688,440        pp,3.95,295,2002,"Nov 07, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 16, 2018",,Paperback,view,/book/show/573817.Lady_of_the_Light
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,1984,"Orwell, George",,,,328        pp,4.19,"4,598,209","Jun 08, 1949","Jul 01, 1950",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This is the novel that sets the standard of dystopian novels.,Notes are private!,0,1,1,not set,not set,"Jun 16, 2018",,Mass Market Paperback,view (with text),/book/show/5470.1984
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,"Vance, J.D.",0062300547,9780062300546,0062300547,264        pp,3.87,"412,267","Jun 28, 2016","Jun 28, 2016",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Sep 06, 2017not set","Oct 19, 2023not set","Aug 04, 2017",,Hardcover,view,/book/show/27161156-hillbilly-elegy
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Commonwealth,"Patchett, Ann",0062491792,9780062491794,0062491792,322        pp,3.83,"182,233",Sep 2016,"Sep 13, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 03, 2017",,Hardcover,view,/book/show/28214365-commonwealth
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nest,"Sweeney, Cynthia D'Aprix*",0062443836,9780062443830,,unknown,3.41,"176,125","Mar 22, 2016","Mar 22, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Sweeping, entertaining, contemporary--this novel has it all, and narrator Mia Barron brings so many diverse characters to life.",Notes are private!,0,1,1,not set,"May 21, 2017","Jun 04, 2017",,Audiobook,view (with text),/book/show/25815703-the-nest
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Girl with the Dragon Tattoo        (Millennium, #1)","Larsson, Stieg",0670069019,9780670069019,,480        pp,4.17,"3,182,719",Aug 2005,"Sep 23, 2008",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The character of Lisbeth Salander is a great achievement. Whether or not she has Asperger's Syndrome (I'll sit that one out), she's original, memorablThe character of Lisbeth Salander is a great achievement. Whether or not she has Asperger's Syndrome (I'll sit that one out), she's original, memorable, and best of all, incredibly strong. Or maybe the ""best of all"" is how intelligent she is. Or how resilient.It troubles me that books that describe the brutalization of women are so incredibly popular. That's not Larrsson's fault, and he seems to be *against* it, but... it troubles me....more",Notes are private!,0,2,1,not set,"Jun 04, 2017","Jun 04, 2017",,Hardcover,view (with text),/book/show/2429135.The_Girl_with_the_Dragon_Tattoo
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,There's More Than One Way Home,"Levin, Donna*",0991327462,9780991327461,0991327462,232        pp,3.73,59,unknown,"May 01, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 06, 2017","Jul 22, 2018","May 06, 2017",,Paperback,view,/book/show/32732028-there-s-more-than-one-way-home
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Love with Alice: A Thirtover Novel,"Preiss, Alon",,,,unknown,4.88,8,unknown,"May 01, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I read this book slowly because there was so much to enjoy. There are many stories, each one compelling, and populated with memorable characters.",Notes are private!,0,2,1,not set,"Apr 24, 2017","Apr 24, 2017",,Paperback,view (with text),/book/show/31303133-in-love-with-alice
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Finding Maria,"Szabo, Peter*",0991327446,9780991327447,0991327446,140        pp,4.38,13,unknown,"May 01, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Szabo’s Grandma Maria survived the Holocaust only to find herself a widow trapped behind the Iron Curtain with two children. Spoiler alert: she made iSzabo’s Grandma Maria survived the Holocaust only to find herself a widow trapped behind the Iron Curtain with two children. Spoiler alert: she made it to America. But paradise didn’t await here, either.	Szabo only became interested in Maria’s past when he himself was an adult. Thanks to a strong bond between the two he was able to hear many of her stories before it was too late.	This is a powerful account of the courage, resilience, and sometimes cunning it takes to survive....more",Notes are private!,0,0,1,not set,"Apr 22, 2017","Apr 22, 2017",,Paperback,view (with text),/book/show/32732060-finding-maria
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Inevitable Witness,"Rucker, Ed*",0991327470,9780991327478,0991327470,282        pp,4.57,23,unknown,"May 01, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Inevitable Witness possesses all the necessary qualities to succeed as a legal procedural: an intricate plot, interesting characters, and a solid The Inevitable Witness possesses all the necessary qualities to succeed as a legal procedural: an intricate plot, interesting characters, and a solid foundation in the workings of the criminal justice system.It stands out for the intelligent writing and the author’s sensitivity to such troubling issues as the three strike rule, the use of jailhouse informants, and the system-within-the-system of the drug trade.The novel opens with the poignantly-described death of a policeman, which is all the more poignant because the dude who’s buying it turns out to have been a jerk.Read it for the plot; remember it for its insight....more",Notes are private!,0,2,1,not set,"Apr 14, 2017","Apr 14, 2017",,Paperback,view (with text),/book/show/32673161-the-inevitable-witness
