,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lia's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ελεύθερη: Μεγαλώνοντας στο Τέλος της Ιστορίας,"Ypi, Lea",,9786180703443,,384        pp,4.28,"12,049","Oct 28, 2021",Dec 2022,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Oct 08, 2023","Oct 21, 2023","Oct 08, 2023",,Paperback,view,/book/show/72404258
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kim Jiyoung, Born 1982","Cho, Nam-Joo",1471184307,9781471184307,1471184307,163        pp,4.17,"142,930","Oct 14, 2016",Jan 2021,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Sep 2023,"Sep 29, 2023","Sep 01, 2023",,Paperback,view,/book/show/56953435-kim-jiyoung-born-1982
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lessons in Chemistry,"Garmus, Bonnie*",0857528130,9780857528131,0857528130,386        pp,4.30,"1,230,525","Mar 31, 2022","Apr 05, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 15, 2024","Feb 20, 2024","Jul 26, 2023",,Paperback,view,/book/show/58556597-lessons-in-chemistry
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pachinko,"Lee, Min Jin",1455563927,9781455563920,1455563927,527        pp,4.33,"471,201","Feb 07, 2017","Nov 14, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 26, 2023",,Paperback,view,/book/show/35099568-pachinko
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let the Great World Spin,"McCann, Colum*",1400063736,9781400063734,1400063736,351        pp,3.95,"104,955","Jun 16, 2009","Jun 23, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Having lived some years in New York, I felt and enjoyed the vibe of various city neighborhoods that the author describes with artistry. The Big Apple Having lived some years in New York, I felt and enjoyed the vibe of various city neighborhoods that the author describes with artistry. The Big Apple is one of the many characters of the book who are as diverse as the city itself. I found there was a parallel between the balance of the man walking a tightrope between the twin towers and the city trying to find an equilibrium and merge its different elements into a whole. At the beginning, we read different stories but there is a connection among the characters which is surprising and moving at the same time. Some descriptions were lengthy but colorful at the same time. Finally, despite the sadness and heartbreaking events, there is something promising about the eternal forward movement of the world. And it is about the essence of human relationships. It’s not only about truth but about honesty as well. McCann removes the masks from the faces of his characters. We see them at their worst and at their best. ...more",Notes are private!,0,3,1,"May 26, 2023","Jul 23, 2023","May 26, 2023",,Hardcover,view (with text),/book/show/5941033-let-the-great-world-spin
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret History,"Tartt, Donna",1400031702,9781400031702,1400031702,559        pp,4.17,"741,983","Sep 16, 1992","Sep 11, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 26, 2023",,Paperback,view,/book/show/29044.The_Secret_History
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Poisonwood Bible,"Kingsolver, Barbara",0060786507,9780060786502,0060786507,546        pp,4.10,"743,722","Sep 24, 1998","May 31, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 15, 2023",,Hardcover,view,/book/show/7244.The_Poisonwood_Bible
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'Événement,"Ernaux, Annie*",2070419231,9787780023146,2070419231,130        pp,4.32,"44,446","Mar 14, 2000","Aug 28, 2001",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 13, 2023","May 26, 2023","May 13, 2023",,Pocket Book,view,/book/show/819954.L_v_nement
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",1400044162,9781400044160,1400044162,433        pp,4.34,"158,879","Sep 12, 2006","Sep 12, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 30, 2023",,Hardcover,view,/book/show/18749.Half_of_a_Yellow_Sun
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Gentleman in Moscow,"Towles, Amor*",,,0143110438,462        pp,4.33,"543,356","Sep 06, 2016","Mar 26, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 23, 2023",Sep 2023,"Apr 19, 2023",,Paperback,view,/book/show/34066798-a-gentleman-in-moscow
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Χορεύουν οι ελέφαντες,"Nikolaidou, Sofia",,9789605019006,9605019000,352        pp,3.58,471,"Oct 22, 2012","Oct 22, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 28, 2023","Apr 17, 2023","Mar 28, 2023",,Paperback,view,/book/show/16146899
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Το τρένο των παιδιών,"Ardone, Viola",,9789601689852,,304        pp,4.08,"11,316","Sep 24, 2019",Feb 2021,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 15, 2023","Mar 28, 2023","Mar 15, 2023",,Paperback,view,/book/show/57046092
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bluest Eye,"Morrison, Toni",0307278441,9780307278449,0307278441,206        pp,4.11,"252,666","Jun 01, 1970","May 08, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2023",,Paperback,view,/book/show/292327.The_Bluest_Eye
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Πως έρχονται οι λέξεις: Τέχνη και τεχνική της δημιουργικής γραφής,"Nikolaidou, Sofia",,9789605663308,9605663309,200        pp,4.00,33,"Jan 27, 2014","Jan 27, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2023",,Paperback,view,/book/show/21450038
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Στο τέλος νικάω εγώ,"Nikolaidou, Sofia",,9786180312362,,304        pp,3.74,66,"Nov 23, 2017","Nov 23, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 16, 2024",not set,"Feb 18, 2023",,Paperback,view,/book/show/36668248
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ξανθιά πατημένη,"Νικολαΐδου, Σοφία",9600412626,9789600412628,9600412626,78        pp,3.44,9,"Jan 01, 1997",1997,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2023",,Paperback,view,/book/show/17027365
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Χορεύουν οι ελέφαντες,"Νικολαΐδου, Σοφία",9605660415,9789605660413,B00I5T8QVI,334        pp,3.85,13,unknown,"Jan 30, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 18, 2023",,Kindle Edition,view,/book/show/54667124
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,VOR: Πέρα από τον νόμο,"Nikolaidou, Sofia",9786180327,9786180327397,,296        pp,3.11,38,unknown,Nov 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2023",,Paperback,view,/book/show/59800740-vor
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Γκιακ,"Παπαμάρκος, Δημοσθένης",6188164605,9786188164604,,127        pp,4.36,"2,925",Dec 2014,Dec 2014,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2023",,Paperback,view,/book/show/23865030
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Manifesto: On Never Giving Up,"Evaristo, Bernardine",0802158900,9780802158901,0802158900,198        pp,3.99,"4,784","Oct 07, 2021","Jan 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2023",,Hardcover,view,/book/show/58690669-manifesto
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Απόψε δεν έχουμε φίλους,"Nikolaidou, Sofia",,9786180314205,,256        pp,3.68,346,2010,"Jun 14, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 07, 2023","Feb 21, 2023","Feb 07, 2023",,Mass Market Paperback,view,/book/show/40995286
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Hope: A Survival Guide for Trying Times,"Goodall, Jane*",1250784093,9781250784094,1250784093,272        pp,4.19,"14,078","Oct 19, 2021","Oct 19, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 13, 2022",,Hardcover,view,/book/show/56268863-the-book-of-hope
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Tale for the Time Being,"Ozeki, Ruth*",0670026638,9780670026630,0670026638,432        pp,4.06,"120,636","Mar 11, 2013","Mar 12, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Dec 03, 2022","Mar 07, 2023","Dec 03, 2022",,Hardcover,view,/book/show/15811545-a-tale-for-the-time-being
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Death in Venice and Seven Other Stories,"Mann, Thomas",0679722068,9780679722069,0679722068,402        pp,3.88,"2,795",1936,"Mar 13, 1989",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 06, 2022","Nov 27, 2022","Nov 06, 2022",,Paperback,view,/book/show/323328.Death_in_Venice_and_Seven_Other_Stories
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,"Clear, James*",,,B07D23CFGR,319        pp,4.36,"870,076","Oct 16, 2018","Oct 16, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 06, 2022","Dec 18, 2022","Nov 06, 2022",,Kindle Edition,view,/book/show/40121378-atomic-habits
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Les Années,"Ernaux, Annie*",,,,256        pp,4.18,"29,451","Feb 07, 2008","Feb 07, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2022",,Paperback,view,/book/show/3079197-les-ann-es
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ο Συμβολαιογράφος,"Βασιλειάδης, Νίκος",9602112050,,,52        pp,4.03,39,"Jan 01, 1995",1995,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Oct 2022,"Oct 08, 2022","Oct 01, 2022",,Paperback,view,/book/show/17371768
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Girl, Woman, Other","Evaristo, Bernardine",,,0241984998,453        pp,4.29,"231,189","May 02, 2019","Mar 05, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Sep 24, 2022","Oct 22, 2022","Sep 24, 2022",,Paperback,view,/book/show/49933606-girl-woman-other
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fall of the House of Usher and Other Writings,"Poe, Edgar Allan",0141439815,9780141439815,0141439815,488        pp,4.15,"3,601",1967,2003,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 24, 2022","Dec 28, 2022","Aug 24, 2022",,Paperback,view,/book/show/175515.The_Fall_of_the_House_of_Usher_and_Other_Writings
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beginning Theory: An Introduction to Literary and Cultural Theory,"Barry, Peter",0719062683,9780719062681,0719062683,290        pp,3.85,"2,777",1995,"Sep 07, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 21, 2022",,Paperback,view,/book/show/376554.Beginning_Theory
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where the Crawdads Sing,"Owens, Delia*",0735219117,9780735219113,,384        pp,4.39,"2,989,503","Aug 14, 2018","Aug 14, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jun 09, 2022","Aug 23, 2022","Jun 09, 2022",,ebook,view,/book/show/36809135-where-the-crawdads-sing
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Bones,"Burns, Anna",039332303X,9780393323030,039332303X,359        pp,3.56,739,2001,"May 17, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 05, 2022",,Paperback,view,/book/show/748235.No_Bones
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Milkman,"Burns, Anna",0571338763,9780571338764,0571338763,352        pp,3.54,"61,599","May 15, 2018","May 15, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 05, 2022","Jul 29, 2022","May 05, 2022",,Kindle Edition,view,/book/show/36047860-milkman
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,ΣΟΝΕΤΑ,"Σαίξπηρ, Ουίλιαμ",9608863821,,,109        pp,4.50,2,unknown,2005,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 15, 2022","Jul 09, 2022","Apr 15, 2022",,Paperback,view,/book/show/60817601
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Americanah,"Adichie, Chimamanda Ngozi",000735634X,9780007356348,000735634X,477        pp,4.32,"371,121","May 14, 2013","Feb 23, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2022",,Paperback,view,/book/show/35451545-americanah
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ερωτικά ποιήματα,"Neruda, Pablo",9601632492,9789601632490,9601632492,96        pp,4.31,239,"Apr 01, 2009",May 2009,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 05, 2022","Apr 13, 2022","Apr 05, 2022",,Paperback,view,/book/show/13444955
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Confiteor,"Cabré, Jaume",9604355074,9789604355075,9604355074,736        pp,4.44,"9,131","Sep 01, 2011","Apr 26, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2022",,Paperback,view,/book/show/30043676-confiteor
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Από την αρχή,"Παπαϊωάννου, Θοδωρής",,9789605723682,,312        pp,4.20,10,"Nov 02, 2020","Nov 02, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 26, 2022","Apr 14, 2022","Mar 26, 2022",,Paperback,view,/book/show/55762291
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Σκηνές από τον βίο του Ματίας Αλμοσίνο,"Ζουργός, Ισίδωρος",9601654410,9789601654416,,784        pp,4.30,"1,108",Mar 2014,Mar 2014,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 08, 2022","Apr 30, 2022","Feb 08, 2022",,Paperback,view,/book/show/21476405
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lunch-box,"Turckheim, Emilie de",207289784X,9782072897849,207289784X,256        pp,3.90,60,unknown,"Jan 14, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 25, 2022","Mar 26, 2022","Jan 25, 2022",,Paperback,view,/book/show/55855746-lunch-box
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Περί της εαυτού ψυχής,"Ζουργός, Ισίδωρος",9601698000,9789601698007,9601698000,752        pp,4.26,331,"Oct 14, 2021","Oct 14, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2022",,Paperback,view,/book/show/59118401
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Manual for Cleaning Women,"Berlin, Lucia",1447294890,9781447294894,1447294890,403        pp,4.20,"30,703",Apr 2015,"Aug 25, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 20, 2022","Mar 23, 2022","Jan 20, 2022",,Paperback,view,/book/show/31673067-a-manual-for-cleaning-women
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tipping Point: How Little Things Can Make a Big Difference,"Gladwell, Malcolm",0316346624,9780316346627,0316346624,301        pp,4.00,"814,330","Jan 01, 2002",2002,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 14, 2021",,Paperback,view,/book/show/2612.The_Tipping_Point
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Complete Persepolis,"Satrapi, Marjane",0375714839,9780375714832,0375714839,341        pp,4.39,"181,347",2003,"Oct 30, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 04, 2021","Dec 30, 2021","Dec 04, 2021",,Paperback,view,/book/show/991197.The_Complete_Persepolis
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mindset - Updated Edition: Changing The Way You think To Fulfil Your Potential,"Dweck, Carol S.",147213995X,9782133487514,147213995X,301        pp,4.10,"150,838",2006,"Jan 12, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 06, 2021","Dec 29, 2021","Nov 06, 2021",,Paperback,view,/book/show/33980368-mindset---updated-edition
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Η πλεξούδα,"Colombani, Laetitia",9601680845,9789601680842,,272        pp,3.98,"40,575","May 10, 2017",Feb 2021,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Oct 26, 2021","Nov 06, 2021","Oct 26, 2021",,Paperback,view,/book/show/57375211
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,There but for the,"Smith, Ali",,,,396        pp,3.49,"9,355","Jun 02, 2011",unknown,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Its not easy to write a  of this book. Ali Smith is an expert with words to be sure. She challenges your preconceived ideas and she makes you thIts not easy to write a  of this book. Ali Smith is an expert with words to be sure. She challenges your preconceived ideas and she makes you think. There is a setting and there are characters; the events unfold in a non linear way. The reader makes the connections which can often be called revelations. I don’t know if I would recommend this book but I couldn’t stop reading it....more,Notes are private!,0,0,1,"Oct 15, 2021","May 13, 2023","Oct 15, 2021",,Kindle Edition,view (with text),/book/show/11995444-there-but-for-the
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gambler,"Dostoevsky, Fyodor",,,,188        pp,3.91,"91,375","Mar 10, 1866","Apr 08, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 11, 2021","Sep 23, 2021","Sep 11, 2021",,Paperback,view,/book/show/12857.The_Gambler
