,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sheri's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret Book of Flora Lea,"Henry, Patti Callahan*",1797155989,9781797155982,,unknown,4.08,"45,029","May 02, 2023","May 02, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""The heart can hold much joy and great sorrow at the same time. It's a mystery. And it's also true."" ~ I enjoyed this story quite a lot, but think I w""The heart can hold much joy and great sorrow at the same time. It's a mystery. And it's also true."" ~ I enjoyed this story quite a lot, but think I would have enjoyed it more if someone from London or the English countryside had been allowed to proofread it. And if it had been a bit shorter....more",Notes are private!,0,0,1,"Mar 19, 2024","Mar 20, 2024","Mar 20, 2024",,Audiobook,view (with text),/book/show/61963548-the-secret-book-of-flora-lea
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Maidens,"Michaelides, Alex*",1250262356,9781250262356,,8        pp,3.63,"332,122","Jun 03, 2021","Jun 15, 2021",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I’m wondering if some familiarity with the Greek tragedies would increase appreciation for this one. Familiarity I don’t possess.,Notes are private!,0,2,1,"Mar 16, 2024","Mar 17, 2024","Mar 17, 2024",,Audiobook,view (with text),/book/show/56359253-the-maidens
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Widows,"Quinn, Cate",,,B09GL1GXSW,unknown,3.72,"7,388","Feb 04, 2021","Oct 12, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,An extra star for the pleasure I got from this story—knowing certain cult members would be so incredibly pissed off and offended by it.,Notes are private!,0,0,1,"Mar 14, 2024","Mar 16, 2024","Mar 17, 2024",,Audiobook,view (with text),/book/show/59415097-black-widows
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brass & Unity: One Woman's Journey Through the Hell of Afghanistan and Back,"Sheren, Kelsi",,,B0BW9TRSMN,317        pp,4.80,15,unknown,"Jul 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Kindle Edition,view,/book/show/122932284-brass-unity
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Stranger Times        (Stranger Times, #1)","McDonnell, C.K.",1787633365,9781787633360,1787633365,432        pp,4.20,"9,645","Jan 14, 2021","Aug 15, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Paperback,view,/book/show/53181090-the-stranger-times
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Girl in Seat 2A,"Wilkinson, Diana*",,,B0CSPQWNR1,10        pp,3.91,"8,797","Mar 05, 2024","Feb 16, 2021",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ridiculous and silly, yet something about it kept me listening—so credit for that.",Notes are private!,0,0,1,"Mar 12, 2024","Mar 14, 2024","Mar 14, 2024",,Audible Audio,view (with text),/book/show/208697676-the-girl-in-seat-2a
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Listen for the Lie,"Tintera, Amy*",,,B0C3PCKQGX,unknown,4.22,"34,600","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Audible Audio,view,/book/show/203733673-listen-for-the-lie
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Soulmate,"Hepworth, Sally*",,9781250878328,,11        pp,3.81,"119,919","Oct 25, 2022","Apr 03, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""You cannot go to the beach without coming back feeling a little better."" ~ Yep!""You cannot go to the beach without coming back feeling a little better."" ~ Yep!...more",Notes are private!,0,1,1,"Mar 07, 2024","Mar 08, 2024","Mar 08, 2024",,Audiobook,view (with text),/book/show/61405525-the-soulmate
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Teacher,"McFadden, Freida*",,,,unknown,3.99,"218,666","Feb 06, 2024","Feb 06, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""You know things are seriously bad when even ice cream doesn’t help."" ~ So true!I found some of the situations in The Teacher so absurd that I conside""You know things are seriously bad when even ice cream doesn’t help."" ~ So true!I found some of the situations in The Teacher so absurd that I considered doing a DNF. But I persevered and was glad I did. The twists at the end were so very satisfying. Still absurd, but satisfying nonetheless....more",Notes are private!,0,0,1,"Mar 07, 2024","Mar 07, 2024","Mar 07, 2024",,Audiobook,view (with text),/book/show/207660969-the-teacher
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Law of Innocence        (The Lincoln Lawyer, #6; Harry Bosch Universe #35)","Connelly, Michael*",1549129007,9781549129001,,12        pp,4.35,"63,780","Nov 10, 2020","Nov 10, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""In the law of innocence, for every man not guilty of a crime, there is a man out there who is. And to prove true innocence, the guilty man must be fo""In the law of innocence, for every man not guilty of a crime, there is a man out there who is. And to prove true innocence, the guilty man must be found and exposed to the world.""Not my favorite Connelly, but a darn good legal thriller nonetheless....more",Notes are private!,0,1,1,"Mar 04, 2024","Mar 06, 2024","Mar 07, 2024",,Audiobook,view (with text),/book/show/52043772-the-law-of-innocence
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Last Innocent Year,"Florin, Daisy Alpert*",,,B0B1JN73MH,8        pp,3.76,"10,916","Feb 14, 2023","Feb 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""…she was right, as mothers often are, particularly in the years we are least inclined to listen to them.""Mixed feelings…not gonna rate. Some things I""…she was right, as mothers often are, particularly in the years we are least inclined to listen to them.""Mixed feelings…not gonna rate. Some things I really liked and some things I really didn’t, e.g., regret for a shitty hook-up being portrayed as rape. It’s not!...more",Notes are private!,0,0,1,Mar 2024,"Mar 04, 2024","Mar 07, 2024",,Audible Audio,view (with text),/book/show/123208386-my-last-innocent-year
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Slow Horses        (Slough House, #1)","Herron, Mick",,,B01MS8TC2S,unknown,3.99,"44,579","Jun 01, 2010","Jan 24, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""'How's your career looking?' 'Well, I don't have an arse two inches in front of my nose, so my view beats yours.'"" …some darn funny lines in Slow Hor""'How's your career looking?' 'Well, I don't have an arse two inches in front of my nose, so my view beats yours.'"" …some darn funny lines in Slow Horses. Time to binge the series on Apple....more",Notes are private!,0,0,1,"Feb 28, 2024","Mar 07, 2024","Mar 07, 2024",,Audible Audio,view (with text),/book/show/60779788-slow-horses
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ministry of Time,"Bradley, Kaliane",1668045141,9781668045145,1668045141,352        pp,4.00,790,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Hardcover,view,/book/show/199798179-the-ministry-of-time
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Macho Paradox: Why Some Men Hurt Women and How All Men Can Help,"Katz, Jackson",1402204019,9781402204012,1402204019,304        pp,4.19,948,"Apr 01, 2006","Apr 16, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Paperback,view,/book/show/651653.The_Macho_Paradox
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Do Hard Things: Why We Get Resilience Wrong and the Surprising Science of Real Toughness,"Magness, Steve*",006309861X,9780063098619,006309861X,320        pp,3.87,"5,125",unknown,"Jun 21, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Hardcover,view,/book/show/59088361-do-hard-things
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Presumed Innocent,"Turow, Scott*",1609411684,9781609411688,,unknown,4.10,"115,689",Aug 1987,"Apr 05, 2009",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 21, 2024","Feb 23, 2024","Feb 22, 2024",,Audiobook,view,/book/show/13527844-presumed-innocent
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Greenlights,"McConaughey, Matthew*",,9780593294192,,unknown,4.21,"328,340","Oct 20, 2020","Oct 20, 2020",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Guilt and regret kill many a man before their time. Get off the ride. You are the author of the book of your life. Turn the page."" ~ Seems like a man""Guilt and regret kill many a man before their time. Get off the ride. You are the author of the book of your life. Turn the page."" ~ Seems like a mantra I should live by…turn the page! Five stars for this quote.McConaughey has some interesting stories to tell and an enviable outlook on life. And initially, I thought he had a charming way with words. Then his charm turned tedious with his endless PRESCRIPTIONs [always read in a shouty voice], NOTEs to SELF, and BUMPER STICKERs. Then my listening enjoyment took another turn for the worse when he veered off into the woo woo—apparently, he’s a Pastor Peterson fan. Unfortunately, I’m learning that I can’t always separate the art from the artist. NOTE TO SELF: don’t read their memoirs. But… he is a good actor!...more",Notes are private!,0,0,1,"Feb 21, 2024","Feb 27, 2024","Feb 21, 2024",,Audiobook,view (with text),/book/show/55609949-greenlights
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Drop,"Lehane, Dennis*",0062369369,9780062369369,,unknown,3.76,"14,444","Sep 02, 2014","Sep 02, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""The worst in men is commonplace. The best is a far rarer thing."" ~ I’d like to think this isn’t true, but some days….I’m becoming quite the Dennis Le""The worst in men is commonplace. The best is a far rarer thing."" ~ I’d like to think this isn’t true, but some days….I’m becoming quite the Dennis Lehane fan!...more",Notes are private!,0,0,1,"Feb 20, 2024","Feb 21, 2024","Feb 21, 2024",,Audiobook,view (with text),/book/show/22138444-the-drop
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Matchup,"Child, Lee*",1508233896,9781508233893,1508233896,2        pp,3.84,"6,315","Jun 13, 2017","Jun 13, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Some of these short stories were three-star listens, several were four, and a couple were five. I particularly enjoyed the Reichs/Child story…so easy Some of these short stories were three-star listens, several were four, and a couple were five. I particularly enjoyed the Reichs/Child story…so easy to visualize it happening as I simply pictured the actors who played Temperance Brennan and Jack Reacher. Now I’m curious to check out other collaborative anthologies....more",Notes are private!,0,0,1,"Feb 16, 2024","Feb 20, 2024","Feb 20, 2024",,Audiobook,view (with text),/book/show/32895515-matchup
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Busted        (Will Trent, #6.5)","Slaughter, Karin*",,,B00KQUWQ9W,2        pp,3.84,"14,038","May 20, 2013","Jun 24, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Five stars for the hilarious last line alone!,Notes are private!,0,0,1,"Feb 15, 2024","Feb 16, 2024","Feb 16, 2024",,Audible Audio,view (with text),/book/show/22445633-busted
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'm Glad My Mom Died,"McCurdy, Jennette",,,,320        pp,4.47,"965,464","Aug 09, 2022","Aug 09, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2024",,ebook,view,/book/show/59364173-i-m-glad-my-mom-died
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,After Anna,"Scottoline, Lisa*",125009965X,9781250099655,125009965X,388        pp,3.86,"42,730","Apr 10, 2018","Apr 10, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Something about the writing in this one made it almost impossible for me not to envision characters such as Erica Kane, Palmer Cortlandt, Tad Martin, Something about the writing in this one made it almost impossible for me not to envision characters such as Erica Kane, Palmer Cortlandt, Tad Martin, and/or Liza Colby in the leading roles....more",Notes are private!,0,0,1,"Feb 15, 2024","Feb 15, 2024","Feb 15, 2024",,Hardcover,view (with text),/book/show/34964864-after-anna
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Used To Live Here,"Hurst, Daniel*",,,,unknown,3.95,"8,970","Feb 17, 2022","Nov 22, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 14, 2024","Feb 14, 2024","Feb 15, 2024",,Audiobook,view,/book/show/63890010-we-used-to-live-here
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The End of Race Politics: Arguments for a Colorblind America,"Hughes, Coleman",0593332458,9780593332450,0593332458,256        pp,4.51,551,unknown,"Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Hardcover,view,/book/show/150246196-the-end-of-race-politics
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Starling House,"Harrow, Alix E.*",,9781250882783,,13        pp,3.86,"67,549","Oct 03, 2023","Oct 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Audiobook,view,/book/show/141324812-starling-house
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Locked in Time,"Duncan, Lois",1609418115,9781609418113,,unknown,3.93,"5,443","Apr 01, 1985","Oct 03, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 11, 2024","Feb 12, 2024","Feb 12, 2024",,Audiobook,view,/book/show/13527884-locked-in-time
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Home Front,"Hannah, Kristin*",1427212651,9781427212658,1427212651,15        pp,4.21,"134,186","Jan 31, 2012","Jan 31, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Don’t get me started on the government and its failings with regard to our soldiers. It’s criminal."" ~ Yep!I have thoroughly enjoyed other books read""Don’t get me started on the government and its failings with regard to our soldiers. It’s criminal."" ~ Yep!I have thoroughly enjoyed other books read by Julia Whelen, but her narration in this one didn’t work for me. The daughter’s voices were nails-on-a-chalkboard annoying, i.e., whiny. I don’t know if the author deliberately portrayed the daughters as spoiled brats, but it was over the top and stretched credulity to believe the MC raised such ingrates. I did, however, appreciate many other aspects of the story. And kudos to the author for her thorough research on PTSD....more",Notes are private!,0,0,1,"Feb 08, 2024","Feb 11, 2024","Feb 09, 2024",,Audio CD,view (with text),/book/show/12068118-home-front
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Where Are The Children Now?        (Where Are the Children, #2)","Clark, Mary Higgins",1398511722,9781398511729,,10        pp,4.16,"9,619","Apr 18, 2023","Apr 27, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 08, 2024","Feb 08, 2024","Feb 08, 2024",,Audiobook,view,/book/show/58509909-where-are-the-children-now
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where Are the Children?,"Clark, Mary Higgins",1508285683,9781508285687,,unknown,4.04,"55,638",1975,"Feb 12, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Regret because you really can’t control your life. Most of the time you don’t act; you react."" ~ Yep!As I listened to the audiobook—read by January L""Regret because you really can’t control your life. Most of the time you don’t act; you react."" ~ Yep!As I listened to the audiobook—read by January LaVoy…one of my favs, I didn’t remember anything about the story (my poor ol' brain!), but I do remember loving it when I read it as a teenager. …1975? 1976? Now almost 50 years later, a story this suspenseful is common. Back then, it was quite an original. My 2024 rating might be fewer than five, but I’m sticking with my teenager rating....more",Notes are private!,0,0,1,"Feb 07, 2024","Feb 08, 2024","Feb 07, 2024",,Audiobook,view (with text),/book/show/42527486-where-are-the-children
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Heron's Cry        (Two Rivers, #2)","Cleeves, Ann*",,,,unknown,4.05,"22,543","Sep 07, 2021","Sep 07, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""He spent too much of his time responding to disasters that never happened."" ~ Don’t we all?I’m becoming quite fond of these characters…hoping I can f""He spent too much of his time responding to disasters that never happened."" ~ Don’t we all?I’m becoming quite fond of these characters…hoping I can find Two Rivers #3....more",Notes are private!,0,0,1,"Feb 03, 2024","Feb 05, 2024","Feb 05, 2024",,Audiobook,view (with text),/book/show/58789031-the-heron-s-cry
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"In the Blink of An Eye        (Kat and Lock, #1)","Callaghan, Jo*",1398511161,9781398511163,1398511161,416        pp,4.25,"4,251","Jan 09, 2023","Jan 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Hardcover,view,/book/show/62072146-in-the-blink-of-an-eye
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Pale Blue Eye,"Bayard, Louis",0060733977,9780060733971,0060733977,432        pp,3.79,"9,269","May 23, 2006","May 23, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 02, 2024",,Hardcover,view,/book/show/110076.The_Pale_Blue_Eye
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Long Call        (Two Rivers, #1)","Cleeves, Ann*",1250623154,9781250623157,1250623154,0        pp,3.95,"35,241","Sep 03, 2019","Sep 03, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""He was a man who’d turned his personal likes and dislikes into a moral code; because he didn’t enjoy spending money in the Woodyard cafe, there was s""He was a man who’d turned his personal likes and dislikes into a moral code; because he didn’t enjoy spending money in the Woodyard cafe, there was something morally suspect about the people who did. The Brethren had been much the same. Matthew thought they’d created a God in their own image, hard, cold and inflexible."" My first by Ann Cleeves…definitely not my last!...more",Notes are private!,0,0,1,"Jan 30, 2024","Feb 03, 2024","Jan 31, 2024",,Audiobook,view (with text),/book/show/49800355-the-long-call
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Minds of Billy Milligan,"Keyes, Daniel",,9798212192088,B0B1DQJ3ZS,1        pp,4.29,"29,130",Oct 1981,"Nov 15, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Listened to 20% of the audiobook before remembering I've seen the docu-series on Netflix.Listened to 20% of the audiobook before remembering I've seen the docu-series on Netflix....more,Notes are private!,0,0,1,"Jan 30, 2024","Jan 30, 2024","Jan 30, 2024",,Audio CD,view (with text),/book/show/62345034-the-minds-of-billy-milligan
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Murder Rule,"McTiernan, Dervla*",,,,unknown,3.67,"21,618","May 10, 2022","May 10, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 29, 2024","Jan 30, 2024","Jan 30, 2024",,Audiobook,view,/book/show/59539349-the-murder-rule
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Colors of the Dark,"Whitaker, Chris*",0593798872,9780593798874,0593798872,608        pp,4.66,175,"May 21, 2024","Jun 25, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2024",,Hardcover,view,/book/show/203019740-all-the-colors-of-the-dark
